Attacker,Fast Move,Charged Move,Level,"Alakazam, Tier 3","Alakazam, Tier 3","Banette, Tier 3","Banette, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Dusclops, Tier 3","Dusclops, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
Mega Absol,Snarl,Dark Pulse or Payback,30,1.2019936692089401,0.719359,1.304102899535098,0.5666277,1.1710136196069922,0.915012,1.2174653837117102,0.44712552,1.2017366301713073,0.9180919,1.0669476185220597,0.7298903,1.1855794550943501,0.67004275,1.2553177588543736,0.6980856000000001,1.1160807533290005,0.6224408,1.1668391681127448,0.76949555,1.2124508036293262,0.48146942,1.1740385105116307,0.7738018,1.255467871044443,0.66348,1.3127592981839,0.5173351,1.288448894009423,0.5019537,1.2912855510226002,0.7690842000000002,1.2017583753950805,0.9574736,1.177102750147689,0.72506255,1.2600225032201378,0.674363,1.209393057073977,0.74252725,1.1930222458528437,0.73503894,1.3238992894266493,0.79780126,1.237594433948153,0.4460175,1.1841112993455691,0.6195367
Houndoom,Snarl or Fire Fang,Foul Play,50,1.5273454366792818,0.75508136,1.539551217607946,0.5886976,1.551887358159869,1.0163260000000003,1.5109126497511254,0.48723558,1.5597759995344673,1.0276984,1.4085553094834438,0.7816595,1.6982167707333848,0.69193465,1.6516851242783794,0.7369401000000001,1.46442043318459,0.6946264,1.4604278765725496,0.8376358,1.5108263510460544,0.513891,1.532107040632542,0.86163783,1.5449483641340254,0.67770845,1.4979486679842997,0.5543814,1.5883264296389226,0.53909445,1.5134227221447254,0.8319103,1.5080185685796497,0.999338,1.5098905583612752,0.7854161000000002,1.5177928785617842,0.7101356000000001,1.5235375454802444,0.8034659,1.4760223461531041,0.7910056,1.660336180176515,0.85141367,1.6140106470493043,0.50110155,1.530940282113744,0.6702326000000001
Shadow Banette,Shadow Claw or Hex,Shadow Ball,40,1.373915907663502,0.70610356,1.5757656228333614,0.5586795,1.3526367671653519,0.883076,1.582026911543211,0.45372674,1.349510414467115,0.8927991,1.3302346394157074,0.76497245,1.5491988028162214,0.6478226,1.3799208674535026,0.65021425,1.3249250685142426,0.6189542,1.3000677448416544,0.7606888,1.6133276957726002,0.49188328,1.3373665330216724,0.7591024,1.3749138753912713,0.6387402,1.5677200296223406,0.5203991500000001,1.3943432281063466,0.47839114,1.3948093294503614,0.7499907,1.3748766206172216,0.9347755,1.3374819019087136,0.6986466,1.378100223606944,0.6476383,1.350643914009471,0.7196511,1.3031306471835484,0.71365,1.3800408178734367,0.7502234,1.3071369556708479,0.43627670000000013,1.355074187104796,0.6125670700000001
Deoxys (Attack),Poison Jab or Zen Headbutt,Dark Pulse,35,1.7910234784016885,0.93368256,1.9101311313274574,0.8212991,1.8412023717793895,1.2537241,2.072400282335317,0.6399578,1.6969966150736195,1.1691298,1.5792443855160456,0.9417406,1.6063056025038647,0.80144954,2.0218305461825605,0.9404254,1.5229012646623452,0.76742846,1.6347249107725317,0.9408112000000002,1.7997646508610612,0.63839364,1.5917235986005263,0.9418609,1.7426133979023626,0.8110558,1.84642252109243,0.6582010000000001,1.9888119002359763,0.63131464,1.707679054125601,0.95680016,2.0517266455172667,1.5540869,2.0501017383401186,1.0785161,2.0552677169210933,0.8463764,1.800392900885473,0.91395605,1.5630061101048573,0.8837000000000003,1.8410443604913393,0.9606247,1.4220796893561607,0.4954072,1.9402273696095724,0.80360717
Chandelure,Fire Spin or Hex,Shadow Ball,30,1.3502547252080153,0.7835839,1.4362270118661493,0.60785747,1.3154244447321173,1.0031842,1.3490526852029143,0.49985817,1.3147355012956476,0.98922753,1.2264739816556938,0.8270005,1.3237359987954027,0.70824206,1.4017994250975803,0.7365104600000001,1.2534898620463961,0.6691619,1.2857007794410302,0.8204056,1.4479525220578624,0.5384295,1.2833940286964662,0.8335097,1.2252998029199658,0.6386416,1.3010318697928718,0.55618644,1.2879874331102639,0.5245478,1.3124109660148284,0.8043935000000002,1.1995783368208044,0.9612546,1.2007499796636028,0.72742593,1.3695045990761883,0.69391805,1.3039803448293121,0.8000647,1.2684973420240007,0.786786,1.4027441273962273,0.8285646,1.3246153734444956,0.4748616,1.299637080719274,0.66942155
Gengar,Hex or Shadow Claw or Lick,Shadow Ball,30,1.3946896515174145,0.7960236,1.4636824243382849,0.6023597,1.3235554581771984,0.9996676,1.496977529648873,0.48443457,1.3298363047733113,0.9828107,1.4221522192464082,0.8681967,1.323411079076336,0.68707776,1.4066366083767194,0.7314172000000001,1.3462331429730314,0.7096801,1.3642834606574281,0.84981054,1.4807865950390722,0.5369013,1.3314574626983948,0.8522426,1.367622705652235,0.69745654,1.459204916386609,0.5789534,1.3341120997742126,0.521189,1.3663822793430205,0.8104571700000002,1.4178135501036082,1.0580462,1.3244629690873424,0.7731306,1.4034259498555488,0.707459,1.3691714205305887,0.8161139,1.3577105558389369,0.8197958,1.4095641623032846,0.7977124,1.342060955296448,0.47902098,1.3470592892424007,0.67417467
Shadow Houndoom,Snarl or Fire Fang,Foul Play,30,1.2515369111456933,0.7392857,1.3148194426685285,0.584967,1.2814514952337175,0.98449403,1.2936902075350938,0.47715348,1.3245611089951193,1.0069697,1.1301068643070538,0.7660541,1.2761990865622064,0.7019603,1.477070281688021,0.7607841000000002,1.1928081601423324,0.66646636,1.2331295445310972,0.81135386,1.2867188217074224,0.50696695,1.2783892039959692,0.83381385,1.341608782386734,0.6739788,1.2638354584441285,0.5382934,1.2991092915809175,0.5242083,1.3282042979298752,0.8077202000000002,1.2174032538464095,0.96458334,1.2044301341402104,0.75592864,1.3333348505207727,0.70105666,1.295655863685485,0.7966182,1.2593049210287763,0.7781571,1.4574758742506366,0.86536145,1.3566377724174887,0.49080598,1.2708903225112183,0.65653193
Shadow Dusknoir,Hex,Shadow Ball,40,1.609425101544095,0.86985135,1.6927871066611435,0.67002696,1.6083012796964966,1.1081896,1.6122977868251853,0.5482365,1.6302183692568983,1.121572,1.585903865809919,0.9309793,1.8174667070737347,0.7954175,1.6398404087789678,0.7782819,1.554209571588196,0.7454439,1.5663463840185834,0.92808324,1.7507936286608008,0.6044311,1.6029566617199662,0.93464476,1.6588689732715876,0.76501566,1.6633924415318824,0.6312271400000001,1.6825930629750014,0.59011155,1.6175156091229606,0.9185679,1.6035989586866715,1.1328984,1.5692008044905361,0.86416876,1.691911230781539,0.7798699,1.626437025326542,0.8813086,1.5852872651299905,0.8729182,1.6048066639861331,0.9075062,1.5596737722255734,0.5210188000000001,1.6630513801377569,0.7541691700000003
Bisharp,Snarl,Dark Pulse,30,1.5438530138708886,0.9274531,1.5453485288034656,0.70271957,1.5060841691678948,1.2115878,1.5593660751431155,0.58251005,1.5973297494787688,1.2095033,1.3048671498182431,0.9293521,1.4721608303058862,0.83148104,1.8087262290597503,0.9386259000000002,1.4583060422111294,0.818033,1.4903653848716722,1.0064058,1.4808359989134623,0.6170646,1.5536966622858912,1.0277363,1.5929269290660428,0.82788306,1.5109444021503675,0.659102,1.657560054173985,0.6652424,1.7269378188211846,1.0399472000000003,1.4403141476941277,1.1970164,1.498753978932826,0.94772387,1.586725986475273,0.85896564,1.513086353613203,0.958313,1.5270816807322296,0.94892603,1.6183279810255444,1.0127194,1.663198098178486,0.6010556,1.467825628104395,0.7955841
Hydreigon,Bite,Brutal Swing,45,1.1978229300102214,0.662174,1.2892062612075728,0.53516173,1.2595454974450482,0.9000015,1.2780353308433252,0.44133255,1.3252882401010326,0.9210181,1.1739921004291742,0.70489746,1.2818810380452383,0.5980236500000001,1.3077057535545398,0.6336167,1.2904849261231452,0.62875485,1.2146356048598257,0.73845273,1.2463346089914118,0.4495448200000001,1.3150426904100456,0.7798313,1.310252947232239,0.6000912,1.2627863469622134,0.5007886000000001,1.352786316523843,0.4758596,1.2714661230557203,0.729099,1.2076793377538524,0.88349396,1.3027905469204129,0.7188942,1.254340715816995,0.64351934,1.2530916854809209,0.7237382,1.2581774463294009,0.71648926,1.2519301333486996,0.7225145700000001,1.3352267933618505,0.45512307,1.2530753364973388,0.5952843000000001
Shadow Honchkrow,Snarl,Dark Pulse,50,1.2726130114805314,0.62981087,1.3075027555603118,0.5064156,1.2643172962093718,0.8331380500000002,1.2771628252571992,0.40145934,1.2947559092744565,0.8430776,1.1753755309818588,0.64318854,1.394346754563559,0.5840482,1.2426032036584245,0.5840202600000001,1.2016878979806114,0.5672388,1.1988188542466502,0.6851623,1.2727341151069103,0.42786643,1.2628520717681688,0.7103517,1.4181758411848526,0.6037136,1.262584277482393,0.46468204,1.3395264511468983,0.44703713,1.2621527363291547,0.6875875,1.2188431959686299,0.8339842,1.271241645573955,0.6524555000000001,1.329840979338018,0.6130382400000001,1.2806390351052854,0.6744835,1.2962192354450899,0.6715455,1.341412279633436,0.7171205,1.3230664715719065,0.40952325,1.2815076359951216,0.5522028000000001
Shadow Houndoom,Snarl or Fire Fang,Foul Play,50,1.3152205144649618,0.63948596,1.3422975769186851,0.49164906,1.3114698670465244,0.8434291000000003,1.279430000391888,0.40994298,1.3004843553064762,0.85007596,1.1872365688087043,0.6509253,1.4499400196729695,0.58584905,1.4467783585272562,0.6307730700000002,1.2332048125757766,0.5853563,1.2309302530969264,0.7047593,1.3114481309303956,0.4338142,1.261409521756551,0.7111294,1.3507204351352953,0.5716233,1.2918387105753975,0.45895103,1.3265984593655447,0.45005217,1.2939824367735597,0.7012055,1.2796246814602754,0.8320716,1.2882236711591728,0.6673483000000001,1.3121041183526028,0.5968727500000001,1.309127098157226,0.67625755,1.2514852086991761,0.66623515,1.3952582606856287,0.71351266,1.3181212239723812,0.41665393,1.3068522432754748,0.5621680600000001
Shadow Alakazam,Counter or Confusion or Psycho Cut,Shadow Ball,30,1.6234600615734474,0.88437814,1.6075638360577298,0.67362696,1.5026884434191934,1.126508,1.6503916005193122,0.5253639,1.4812937432438085,1.0527093,1.3748692843670365,0.916184,1.3639287447625665,0.7109634,1.44208030751171,0.7859924000000003,1.3793764847412158,0.74557275,1.4706771302908408,0.9254916,1.472500217925428,0.53690904,1.4520105944914248,0.93736947,1.5370018006208157,0.77968377,1.7204850406930585,0.63375765,1.520326905657139,0.56311446,1.4744216147662408,0.8587186300000003,1.508143123490737,1.1909162,1.4267880694024566,0.8549736,1.5525047876514855,0.7803353,1.5288334985903502,0.8827142,1.5220184920141389,0.8737929,1.6261622096393207,0.9236071,1.5494049837134023,0.5515613,1.5092530388676826,0.7692083
Weavile,Snarl,Foul Play,35,1.4264780776328891,0.79518145,1.4536819839027846,0.6069948,1.4017940284065586,1.0387049,1.4065184886417657,0.50324965,1.4378848084226497,1.0439322,1.2343520132494077,0.80155516,1.4755390375322788,0.73678035,1.6303692250874204,0.7600567,1.3283470105676476,0.7029725,1.304680549818306,0.8539624000000002,1.3869314794427476,0.53075254,1.4445940507221358,0.88019556,1.458564489518037,0.7177542,1.374359752862475,0.5762586000000001,1.521599449003705,0.5692865,1.487244983733886,0.86197966,1.4208371482600957,1.0528964,1.3987201833439171,0.8066588,1.4519659486259058,0.726548,1.3636047196865029,0.835206,1.355144038667349,0.8265067300000002,1.4917568439684301,0.8802013,1.4669637603783041,0.52400297,1.3709827833719612,0.6862235
Mega Gengar,Hex or Shadow Claw or Lick,Shadow Ball,35,1.0,0.5623041,1.0,0.423299,1.0,0.7123204,1.0,0.3410185,1.0,0.72824967,1.0,0.6035239,1.0,0.4835321,1.0,0.5081658,1.0,0.5002543,0.9999999999999999,0.6085992000000001,1.0,0.36859035,1.0,0.6092835,1.0,0.5006017,0.9999999999999999,0.40339264000000014,1.0,0.37774047,1.0,0.5776571,1.0,0.7357977,1.0,0.560218,1.0,0.508649,1.0,0.58020806,0.9999999999999999,0.5784685000000002,1.0,0.5827403,1.0,0.35520157,1.0,0.4770911
Shadow Banette,Shadow Claw,Shadow Ball,45,1.4067881453286435,0.68779266,1.540745638600927,0.5274391,1.3423543879926854,0.86270493,1.5073591606332792,0.42748964,1.3529277480623034,0.8770068,1.3154728203647161,0.7375074,1.5725928642276814,0.6216569500000001,1.3601108919327638,0.6293681,1.3201767740130026,0.6096877,1.3158454381650373,0.7383646,1.5879124512061369,0.4710014500000001,1.3487596169154203,0.7424396,1.3430691249534412,0.60326284,1.5357318534364444,0.4921482500000001,1.420522892702289,0.46560463,1.3505062687522094,0.7109929,1.35917982507216,0.9046775,1.353987417501958,0.681382,1.3843303270554845,0.62807405,1.3194632021592487,0.7032331,1.3083277378891818,0.699,1.378229729724801,0.7161949000000001,1.2673107096130767,0.41692165,1.3584799185538716,0.5908034000000001
Shadow Absol,Snarl,Dark Pulse or Payback,35,1.3215526439825656,0.7416468,1.485428306967722,0.579543,1.3154233226711045,0.9356625,1.3164955849094655,0.45124614,1.327311654924854,0.95466805,1.1958609823588813,0.7461376,1.3195044263147109,0.69535905,1.5747546977788462,0.72638595,1.2094493862239262,0.6319935,1.2262719363431143,0.7691390500000003,1.305434852661302,0.49627104,1.2969787826788302,0.78263944,1.3843317666971737,0.7002646,1.4414853278553297,0.5372610700000001,1.4136307491091498,0.5164222,1.375476045143364,0.7869923,1.3390980651151185,0.98469347,1.285976675256228,0.73011667,1.3441115154062244,0.69480777,1.312869423875843,0.75589895,1.2982486878726351,0.7464769500000001,1.4470850167242184,0.8379561,1.2828244771608104,0.45393,1.3051336019033764,0.6343818
Mega Gyarados,Bite or Waterfall,Crunch,35,1.2199300737290488,0.7456882,1.2871399566119934,0.5813996,1.2573520983618545,0.96160704,1.2992274671929245,0.4850248,1.4084687920658343,1.0374112,1.147961939559059,0.7631943,1.2316960939154802,0.6783005,1.3122588423132968,0.6797745,1.2990288696109975,0.68144447,1.2486767710700222,0.8317487000000002,1.2725182635775372,0.50640607,1.3155629337715447,0.8404086,1.281298585277719,0.67713475,1.264411684234333,0.5416410600000001,1.3350193627500349,0.5169979,1.2992228554503606,0.8045994,1.2526639185611221,1.000237,1.3016626109856628,0.77215666,1.3377634194202797,0.70183885,1.2941023083621157,0.8083466,1.280806432082172,0.7990780500000002,1.303407094054207,0.8124952,1.3693082544070798,0.4955869,1.2624411400400353,0.6484306
Shadow Gardevoir,Charge Beam or Confusion or Charm,Shadow Ball,35,1.5783816309104954,0.89143044,1.7330921336540308,0.70494574,1.5993670846568515,1.1716124,1.527933535961741,0.5330437,1.613488561562409,1.1673564,1.4913174026483014,0.92294425,1.5997386669234577,0.73563325,1.6106774328130304,0.82064635,1.5049456459492263,0.78772426,1.5120387417738788,0.9656296400000002,1.448580302372826,0.52862173,1.5887438174273463,0.9751192,1.612397296316784,0.8060347,1.579532190692764,0.6503723000000001,1.653395652545304,0.6116592,1.575298051571134,0.94260436,1.6565249169962837,1.2021505,1.6146043583318697,0.9266024,1.6664448924518822,0.836955,1.4906250427485754,0.8714126,1.4416773549424,0.8639932000000002,1.5082012299113114,0.8890469,1.6205221412656743,0.57708305,1.4991691191222611,0.7188034
Hoopa (Unbound),Confusion or Astonish,Dark Pulse or Shadow Ball,45,1.2980626563390132,0.6937373,1.4007960667325934,0.55390817,1.3386219659520062,0.92167425,1.3727791394333388,0.44985217,1.429523484510809,0.9611121,1.230739970171745,0.730753,1.2560296267317048,0.5703317000000001,1.400727716517039,0.653478,1.3257493864522945,0.6426567,1.2969679855432683,0.7765863,1.1975490840867056,0.4210056700000001,1.3816839811885335,0.7922332,1.4316370298445174,0.6502636,1.373871549737036,0.5154397500000001,1.4649727309092557,0.5027159,1.3775007244189703,0.77384025,1.3002847038309295,0.9183064,1.3612445474386183,0.73702,1.3566744617656321,0.65814126,1.3271382537989955,0.7412238,1.3144288299688824,0.73618376,1.3703962640627387,0.7681125400000002,1.384353770193304,0.45955533,1.3240100198416362,0.6118461500000001
Shadow Honchkrow,Snarl,Dark Pulse,30,1.2433526854470498,0.74837005,1.474350661600493,0.60704607,1.213680377176758,0.96803945,1.304103314532685,0.47140828,1.3073607536552234,0.9735333,1.1180272983455646,0.76390594,1.2412392390267217,0.705168,1.1984452669702004,0.6886738000000001,1.1601694344962366,0.6563243,1.2214862780381357,0.80389017,1.2477185447132235,0.5057713,1.2329890108233013,0.81438947,1.4410919963012798,0.7229637,1.3839577579351703,0.54861623,1.3287898650697245,0.5320321,1.3359995948497425,0.7965529600000002,1.2191465757501962,0.9962652,1.2227347253652883,0.7560364,1.487247040448365,0.73785883,1.2744489401026868,0.8056784,1.3271752251367004,0.7847103,1.4929408469078516,0.8824027,1.2926823438178459,0.47248024,1.237910633385038,0.6465155
Alakazam,Counter or Confusion or Psycho Cut,Psychic or Shadow Ball,50,1.7570312698432857,0.857405,1.7405331861734916,0.6249456,1.7448667873975439,1.1411363000000003,1.6934587556184653,0.5333638,1.6335305664174418,1.0667238,1.6692044067316614,0.9001969,1.4922328261021636,0.67888254,1.6928744645800897,0.7407586000000002,1.7036783073775057,0.7914609,1.6924613413348824,0.9435316,1.5367879355779759,0.50050974,1.7230550545355623,0.9456134,1.7506663777302762,0.77040887,1.772735016563205,0.6310919,1.7501919117810028,0.5695065,1.627508224354245,0.85480493,1.7019552474483939,1.1254933,1.7450285807845616,0.8977051400000002,1.7818924981507185,0.8194351000000002,1.702443499897539,0.8956959,1.6870901757974568,0.88193876,1.7800298519198618,0.93063277,1.7992242286115008,0.5593225,1.772401218654127,0.7407867000000001
Mega Gengar,Shadow Claw or Lick,Shadow Ball,45,1.0,0.5102364,1.0,0.38941848,1.0,0.655786,1.0,0.3186127,1.0,0.6762935,1.0,0.5562856,0.9999999999999999,0.4573211400000001,1.0,0.4706845,1.0,0.45921367,1.0,0.55655587,0.9999999999999999,0.33904943000000004,1.0,0.5630476,1.0,0.45925805,0.9999999999999999,0.3673769800000001,1.0,0.34966314,1.0,0.5472823,1.0,0.6756993,1.0,0.5172803,1.0,0.4708415,1.0,0.5382112,1.0,0.53589666,0.9999999999999999,0.5461265400000002,1.0,0.3291195,0.9999999999999999,0.45183620000000013
Hoopa,Confusion or Astonish,Psychic or Shadow Ball,50,1.510493526326484,0.67951155,1.5977989013993947,0.5506985,1.3563351790542706,0.9000927000000002,1.4532269500509065,0.45777446,1.4210880760180529,0.91406035,1.2509205981907632,0.6899095,1.5152477629535348,0.5949445,1.3835715388919565,0.6318074000000001,1.2801010103827293,0.602598,1.351453668723012,0.7557973,1.4828717594150953,0.46279466,1.383227788470784,0.7676021,1.3392573474257696,0.61002487,1.3777574812794033,0.49712914,1.4249621027688237,0.48690388,1.3872641028585246,0.7453801,1.2815205020474054,0.8947844,1.3432616157499992,0.6964326000000001,1.333668167657187,0.6197186000000001,1.333231909682271,0.70441407,1.3186364601223444,0.6990781,1.3637759222600054,0.73383856,1.4200105189340813,0.44875216,1.409201581798478,0.6124001000000001
Shadow Absol,Snarl,Dark Pulse or Payback,45,1.322888387759956,0.6766671,1.4932415520193139,0.5279626,1.294561071191515,0.8633788,1.2934318693504958,0.41429767,1.2996786240497238,0.88400805,1.2087846912926212,0.67592055,1.4331642700518474,0.6373532400000002,1.4318255764951777,0.6545017,1.2136021474788106,0.58195746,1.2439122349795904,0.723639,1.3211909131421258,0.4523257000000001,1.2870465313560557,0.73033106,1.3892668657189515,0.63591284,1.4527592802150073,0.48948264000000014,1.4191413421083336,0.4720579,1.3467977464755818,0.71116304,1.3659491011648757,0.89886576,1.2790449878163457,0.67188585,1.3517592736841748,0.6308085,1.2997376681824477,0.7027045,1.2800683581834376,0.69771516,1.4089630618667504,0.7573984000000002,1.2818267817769478,0.4261549,1.299272848764671,0.5762474500000001
Honchkrow,Snarl,Dark Pulse,40,1.4763874665054824,0.7980771,1.5534380787822457,0.6405667,1.5016757654836566,1.0717393,1.4986712181611743,0.5149774,1.556531340432412,1.0889949,1.371251986024939,0.8217608,1.5887460187660103,0.74122566,1.5032780227430957,0.7516453,1.4337126762190582,0.7161391,1.3859594754918394,0.88731366,1.5057881639792174,0.54424894,1.4811744836720273,0.8961575,1.5777563199335354,0.7577976,1.4989202792221175,0.5921114000000001,1.585915164947442,0.5723455,1.4760536585699668,0.87605363,1.4535256577279856,1.0754262,1.4744934007326138,0.8367258,1.5922779174234123,0.7852388,1.5174143806068927,0.8593462,1.486776554558596,0.84562093,1.565608088299036,0.9107238,1.5440527390994212,0.5210290600000002,1.5037747596804945,0.7094427000000001
Shadow Tyranitar,Smack Down or Bite,Crunch,45,1.2816736930842365,0.67135763,1.2549707738846978,0.5172319,1.2766100875564699,0.90068126,1.223465268844647,0.4191311,1.3352054546467573,0.9176657,1.1594566066218372,0.6860932,1.3308451882420405,0.5969995000000001,1.3328024413925657,0.6357676,1.2753352800658808,0.61599135,1.2407358805133994,0.74829555,1.2478494773398467,0.4482006000000001,1.287864290394716,0.7559544,1.3451614111256855,0.60023177,1.2480221463009917,0.4821630000000001,1.3306560296775332,0.46205702,1.2593506617826575,0.7164939,1.2422360284012415,0.88943595,1.2793926513786307,0.69722056,1.2815341669178482,0.629249,1.2348082644681346,0.70472956,1.211663706378368,0.6970818,1.3065721728912227,0.7353195000000001,1.339008193800314,0.4553573,1.2354106847495476,0.5753175600000001
Hydreigon,Bite,Brutal Swing,30,1.1607114672114167,0.73726904,1.2077841436387815,0.58930564,1.2251158985807697,1.020762,1.251157701386985,0.48244295,1.3288656698509291,1.0424575,1.0768485614801016,0.78619903,1.1705125808676131,0.66374826,1.2254953199543546,0.7043133000000001,1.2296624676779269,0.6993196,1.196897112482307,0.82803774,1.20457650594411,0.51315373,1.2733413255177957,0.8767204,1.3225270282368815,0.6981691,1.2218483067459578,0.5537258,1.2970973797970073,0.5488237,1.2551090255693091,0.8150373000000002,1.1363781323579996,0.9995962,1.2383012373864328,0.7993625,1.2289825134156371,0.71046585,1.2351918168148166,0.80441254,1.239795806335077,0.79475814,1.2552186211873888,0.80198485,1.3997014244782553,0.51225144,1.1912247939626956,0.66098857
Hydreigon,Bite,Brutal Swing,50,1.2167160632191207,0.64941293,1.281330489010834,0.50465864,1.292366183779471,0.8842247000000002,1.2814824806657839,0.4234842,1.3419447060567242,0.9013457,1.2089030584387492,0.690939,1.3030368020235374,0.58711785,1.2680292144866618,0.6028172400000001,1.265544090021816,0.5992611,1.2441703076051698,0.72952724,1.266587731188763,0.4405359,1.2785585979306402,0.7321373,1.2917808656238536,0.58887476,1.2636328257662224,0.47713032,1.3576695139494825,0.47047046,1.2800863950365489,0.7189374,1.1989742801868695,0.8656657,1.3284443295273578,0.7028324600000001,1.241449780461946,0.6095798600000001,1.2930067064039994,0.7086497,1.2807825013025609,0.70101565,1.281434411511224,0.71046174,1.4102096706764484,0.44824776,1.301920068955773,0.5857810000000001
Mega Absol,Snarl,Dark Pulse or Payback,40,1.2273804702867361,0.6481939,1.2618144811446708,0.5084782,1.2043388254051082,0.8438152,1.186665543805507,0.40689355,1.222184618336849,0.8519582,1.1104914349153938,0.65612036,1.3178887548780172,0.6025885,1.2945448479925736,0.6265428,1.1594088239574734,0.5778153,1.0978606149472785,0.6974283,1.241936406319736,0.4370574,1.1843544761464535,0.71552813,1.303115651305835,0.6071631,1.238599945851245,0.47374880000000014,1.3088583566573766,0.45645955,1.2217938678075777,0.6988196,1.2373919834867353,0.86022806,1.1785616970007615,0.6554759,1.267902546708756,0.60886294,1.2091764040409474,0.67584056,1.170235554973925,0.66973436,1.2746971440121662,0.7280544,1.2221468637680564,0.4098785000000001,1.2172372349218763,0.5653985000000001
Honchkrow,Snarl,Dark Pulse,45,1.4613670027869332,0.7637375,1.5393555728794337,0.6131015,1.470351558887936,1.017241,1.4920077721681484,0.5017702,1.550744589307382,1.0646372,1.3584104472422154,0.78816676,1.601753124387536,0.7075970000000001,1.4931714777181035,0.7194243,1.4404290698628615,0.70210356,1.4126673002123573,0.8468186,1.4968104062055447,0.5221256000000001,1.5057714655032082,0.87999225,1.6113018086385513,0.74038607,1.4506810836090542,0.5664503600000002,1.6035564704117569,0.5524783,1.4874381849789466,0.8383535,1.4410676239773634,1.0221496,1.4832841814340711,0.8041161,1.5345930094726536,0.74807763,1.504279553413202,0.8319305,1.4716814023510363,0.8192599,1.5662870284900043,0.8646489000000003,1.5290638454070267,0.51156795,1.4818778940600243,0.6768905500000001
Mega Absol,Snarl,Dark Pulse or Payback,35,1.222236574857896,0.680529,1.2719706047983892,0.53269994,1.1830597946132502,0.8678815,1.2064764264415666,0.42950565,1.227405298386985,0.89586717,1.0897422497127767,0.691722,1.2521083919470894,0.63642985,1.2896750376302755,0.65696216,1.1333058182879416,0.60138816,1.118376181317969,0.7282733300000002,1.2108185436170744,0.45693818,1.2033848895850805,0.7465288,1.262150011639227,0.6342869,1.2434014027153526,0.4963494800000001,1.3056273911253962,0.48504367,1.2452882461047434,0.7356727,1.2497421887905256,0.8966366,1.1846343439944278,0.69247174,1.2861841273703403,0.6411482,1.1992295911021746,0.70817626,1.1516273654941915,0.7005234000000001,1.300064603881377,0.7713193,1.209585763060452,0.4354334,1.2118509300868607,0.5887899
Shadow Mewtwo,Confusion or Psycho Cut,Shadow Ball,30,1.2106356326214005,0.72519183,1.2220245763350617,0.5480914,1.1759430034507243,0.95769966,1.2022957103337812,0.43631527,1.2316347176324765,0.94337916,1.1275413288541785,0.75679505,1.1501428657486086,0.5795917,1.1477899366403355,0.6399752500000001,1.182855146411501,0.67255926,1.2506642558304661,0.8170127,1.0693366627888805,0.43445718,1.233363584844024,0.83516854,1.2479029452308592,0.6729921,1.2376622940426643,0.53981555,1.2251155823694535,0.47963583,1.2128133201098963,0.7584703000000003,1.2488503988997954,1.0288997,1.2518921184125076,0.8001594,1.2456638968004663,0.6812793,1.2422291661923701,0.7972526,1.2458063722670818,0.7911167,1.2899468644195047,0.79738283,1.290843054706413,0.47645745,1.2429126395680785,0.6450098
Tyranitar,Smack Down or Bite,Crunch,40,1.5034224225277188,0.8246582,1.5029219226583768,0.63926,1.49568772767531,1.0804197,1.4640799650076641,0.51688814,1.6503825624339532,1.160382,1.374276513390263,0.8434214,1.5862654706410702,0.7480521,1.5729416006365413,0.76992697,1.5175538830330473,0.75146425,1.4244067486266043,0.92727685,1.4837350194548558,0.55749154,1.524938286348256,0.9321066,1.5502162975567852,0.74130005,1.482108882664741,0.6006949000000001,1.549543895106468,0.5715098,1.4580257027855943,0.87779284,1.4405988890857537,1.0666765,1.484362365396597,0.85226303,1.512484098068201,0.7662648,1.520836497590856,0.8977592,1.5066059340384987,0.8870111,1.5083851238236545,0.89798987,1.6214654342464832,0.5527578600000002,1.476706637487805,0.7135009000000001
