Attacker,Fast Move,Charged Move,Level,"Alakazam, Tier 3","Alakazam, Tier 3","Banette, Tier 3","Banette, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Dusclops, Tier 3","Dusclops, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
Shadow Weavile,Snarl,Foul Play,40,1.2320455850642202,0.64193046,1.2495328525303684,0.4973873,1.2024088966124866,0.83798033,1.1800071179323108,0.4113761,1.231373135251916,0.849257,1.0879026415923976,0.6493109,1.3204002112895532,0.59423834,1.4538864668633755,0.6280135,1.141897367770047,0.56673,1.098875967217994,0.7041925,1.2024210506268371,0.42664132,1.2090437459581784,0.7057983,1.2667032426013975,0.58456695,1.1948247668552778,0.4632584500000001,1.3268383930955974,0.46435246,1.2683555618099864,0.6985618,1.2476452629040609,0.8661159,1.2019109964223593,0.65765625,1.255635575241554,0.5980141,1.1897921557165425,0.67361313,1.198485922226746,0.6698129,1.2627075100966516,0.7210482,1.224358104120627,0.4209601300000001,1.180253069475893,0.5540080000000001
Shadow Mewtwo,Confusion or Psycho Cut,Shadow Ball,45,1.2257950147301604,0.66240454,1.2081635723669062,0.46827316,1.223648246145485,0.8723924,1.1837073828269882,0.38998246,1.1990105675655598,0.8303155,1.1444374999723155,0.6619561,1.1215976792907048,0.5021373600000001,1.214479900987263,0.5771876,1.2456396679147164,0.5938695,1.1891892742521377,0.71405756,1.084965393161861,0.37285987000000004,1.275472368487266,0.75341105,1.2328659633342065,0.58851933,1.220365213731054,0.4664626400000001,1.2217441681885612,0.43077946,1.209020228010894,0.67630816,1.2427053169694777,0.8907147,1.296958482414489,0.71799177,1.2715167380135537,0.62636393,1.2195405665977745,0.69954085,1.2223339687419859,0.6944136,1.2451470854794962,0.7081073500000001,1.2812466866548213,0.43682235,1.2449432029668475,0.5839516000000001
Shadow Tyranitar,Smack Down or Bite,Crunch,40,1.2542418516279845,0.6885245,1.2844337562267927,0.54306406,1.2766799162102798,0.922704,1.2249797004471374,0.4285046,1.3294962974100892,0.94037193,1.1765338052681638,0.7237845,1.3296668993291807,0.6244163,1.3220638696416138,0.65074784,1.2708208649258206,0.6276739,1.1781349708913755,0.76269567,1.2362517147627796,0.46253884,1.2558839229138283,0.77332604,1.327850582030912,0.6210723,1.279962390964434,0.5090331400000001,1.3136527166486238,0.47652367,1.2393714694903784,0.743491,1.239690656232157,0.9098379,1.2863855589382847,0.7385361,1.2844112310913067,0.64335716,1.2744712194236099,0.74125814,1.2418335633121134,0.733214,1.2862251221160124,0.7513355,1.3403400212017573,0.4604441500000001,1.2313158009261638,0.5993556400000001
Espeon,Confusion,Psychic or Shadow Ball,35,1.9047779272636405,,1.8957514264771809,,1.8794685481175282,,1.7810473199752237,,1.760931912905509,,1.7567578458966187,,1.4022881298032943,,1.7830768675495836,,1.825759574448694,,1.815548402436247,,1.5933570773405918,,1.9374962176684072,,1.9276952872055868,,1.8934132772520857,,1.7861356225158334,,1.7133184393246048,,2.091276112723106,,2.036050006276367,,1.946155237737113,,1.877240279295658,,1.8218158156588589,,1.9366298627953424,,1.916906719092428,,1.916357006966164,
Trevenant,Shadow Claw,Shadow Ball,45,1.5402436626516451,,1.614928173213972,,1.6243544119904085,,1.6841260340973243,,1.67054546467573,,1.5623533757886172,,1.6356698269342032,,1.614096880107424,,1.5354738070329952,,1.5859200211220752,,1.6883415610197712,,1.623310072400973,,1.6486494438540833,,1.6099973706527855,,1.7381194030206133,,1.6884674533540551,,1.5055181810848632,,1.59030703197251,,1.5915075896379935,,1.5705349849949668,,1.584458997876045,,1.6420140128647593,,1.6377533095674928,,1.6337370078999824,
Mewtwo,Confusion or Psycho Cut,Shadow Ball,45,1.4526516403421583,0.78710675,1.441420969602937,0.579114,1.4934556357608824,1.0533563,1.415857549122887,0.47166064,1.4431198771760394,0.99919045,1.3755040660597957,0.8212153,1.2852705487094185,0.5834278000000002,1.4290875384903268,0.67075133,1.4405375451187048,0.7160002,1.4584647853215567,0.8773784,1.2506902467978258,0.4240059300000001,1.4898401354861115,0.8768788,1.4802612593941966,0.7052023,1.4877487842912906,0.5589316000000001,1.4923383438774616,0.5140244,1.4229635101004359,0.7922505,1.5068217047716397,1.0846426,1.553521537071595,0.8448398,1.4383722918945645,0.71803373,1.4213970275772208,0.8271858,1.4310691816087553,0.81829804,1.4898782928244516,0.8356724400000002,1.5330572684561983,0.5206433,1.4879964902982679,0.6808956000000002
Shadow Gardevoir,Charm or Confusion or Charge Beam,Shadow Ball,45,1.5588465217737666,0.8184262,1.6135516564848358,0.633942,1.6013865908481875,1.094175,1.534321281525323,0.4901806,1.5672407015328231,1.0708696,1.486173536304849,0.8336991,1.5201753729963423,0.6590273000000001,1.5993282834459137,0.74354064,1.5342470880481154,0.73745483,1.570846989973134,0.9137754,1.4248397508663413,0.48007596000000013,1.5831164205277148,0.91186625,1.6356445211447288,0.74589586,1.574679794428614,0.6012826600000001,1.650056193018256,0.5721491,1.5876795051418864,0.8588767,1.696100186660412,1.1172571,1.5872230292902623,0.8392115,1.6149541438204227,0.77444077,1.4184577426819163,0.79744905,1.424003505585337,0.7921469,1.4856670297956642,0.8083525300000002,1.6178389245180618,0.54257333,1.4829617009835399,0.6662593000000001
Giratina (Origin),Shadow Claw,Shadow Ball,45,1.31801191160555,0.7142937,1.3800983316851685,0.55973977,1.3821420164976588,0.9811812,1.401957447644426,0.4767214,1.4539999814278284,1.0033274,1.2716187298762265,0.7459095,1.4208740628573968,0.6560717000000001,1.3508278904170772,0.6710598,1.3597654026313046,0.6670057,1.3459359501043426,0.8198552,1.3734395794002947,0.4893841000000001,1.4063468552612706,0.8295473,1.394981723731177,0.65867335,1.3609225049596396,0.5270765400000001,1.493804332815056,0.52323073,1.3806222057366144,0.78762275,1.27520819195782,0.92851996,1.4050106794995338,0.7696092,1.3426470936868165,0.68028563,1.3383274879551186,0.77262044,1.3429788744280042,0.763495,1.3526720981622657,0.7826311000000002,1.465177607893852,0.49280107,1.35411374039398,0.6346652500000001
Shadow Weavile,Snarl,Foul Play,45,1.2343255429673907,0.62090564,1.2467025901030193,0.4810638,1.1892012154787226,0.80610496,1.1870142492347802,0.39201123,1.2366747765148702,0.8346214,1.0769444066706502,0.6229994,1.347541939636863,0.5757943400000001,1.4459584921070925,0.60503125,1.141724975970569,0.55646056,1.1216332539798413,0.67263186,1.1938720197651715,0.4153035300000001,1.2128945686466128,0.68033034,1.2742996373304118,0.5659705,1.1809878374273715,0.45318907000000014,1.340048776016058,0.4456673,1.2882586483904181,0.67966604,1.2379715905987971,0.82424545,1.2104387765301379,0.63777804,1.2213921702436066,0.57442755,1.161685874094785,0.6458623,1.1745433350405832,0.6434313,1.2627840675966997,0.6824573000000002,1.216658145886667,0.407039,1.185810648564083,0.5403260600000002
Shadow Mismagius,Sucker Punch or Hex,Shadow Ball,50,1.4097055097660716,0.6962292,1.4597975758653363,0.53920656,1.3927444687434156,0.8968447000000003,1.4305067317771492,0.4503396,1.3823473655657195,0.8946872,1.3804697915787107,0.7368597,1.6224428902981933,0.63170373,1.3989588221337883,0.6299405700000001,1.3247480617298066,0.6036948,1.365026407448389,0.73704016,1.4495749978014516,0.47618553,1.3847524108171596,0.7480059,1.4136819728416763,0.6140163,1.4317247167552822,0.50411934,1.4634254510904,0.48252952,1.3842515695527795,0.7335805,1.3818408750573095,0.9186682,1.3664606939996866,0.6921184000000001,1.4346074351366433,0.6279043600000002,1.3903346047257845,0.7069078,1.3815574766986358,0.7043809,1.4093871854263074,0.73435163,1.3900137555291834,0.43606767,1.4244164402339516,0.5999222400000002
