Attacker,Fast Move,Charged Move,Level,"Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Banette, Mega Tier","Mega Banette, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier"
(Boss weights),,,,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Krookodile,Mud-Slap or Snarl,Crunch or Outrage or Earthquake,50,1.4630800590048632,1.535195,1.4621542465928652,1.2189559,1.448424408792386,1.3942968,1.4944265312944625,2.0789852,1.6965749739394091,1.8927338,1.5877948995129947,5.248383,1.6069601152807167,4.4584484,1.4908882473145184,4.3536263
Shadow Cacturne,Sucker Punch,Dark Pulse or Grass Knot,40,1.476839970857082,1.5839779,1.4300123663263637,1.2203441,1.6560617350543112,1.5554558,1.3489036270185257,2.0023084000000004,1.606171242449573,1.866368,1.5350658072172174,5.208265,1.3415874628114703,4.418505,1.6967658551116904,4.5873456
Mega Alakazam,Psycho Cut,Shadow Ball,35,1.2941983278223248,1.3978456000000001,,,,,,,,,,,,,,
Houndoom,Snarl or Fire Fang,Foul Play,30,1.3510202376728755,1.6978965,1.3656957453879033,1.3864115,1.4891870620764118,1.7470255,1.3302592156849482,2.2553415,1.5195199361815734,2.0742576,1.3905241284014689,6.002379,1.404322754148077,4.932016400000001,1.3961112815771786,4.7091703
Chandelure,Fire Spin or Hex,Shadow Ball,45,1.3287357707493075,1.3218503000000001,1.3664165727871036,1.0510423,1.3847026190912761,1.269971,1.1930471010517152,1.6266748,1.3514693516545984,1.5597767,1.311918138597206,4.409922,1.215942496208296,3.6869028,1.2501965840572853,3.6540134
Krookodile,Mud-Slap or Snarl,Crunch,30,1.4018016009248913,,1.4565209457662902,,1.5124048956936418,,1.3414164799950936,,1.6407162794115393,,1.3653416581092492,,1.4143469725758424,,1.6113647070595976,
Hoopa,Astonish or Confusion,Shadow Ball,50,1.458458907761711,1.3053898,1.5227801666075795,1.1089609,1.336875231146699,1.248004,1.2535458205005403,1.715684,1.3436210661542534,1.5191251,1.3633512008255408,4.39839,1.3527551419092738,3.6259108,1.2193784543380863,3.5591877
Darkrai,Snarl,Dark Pulse or Shadow Ball,30,1.128720868125598,1.4238378,1.19196837430561,1.1391501,1.2138270403932743,1.4150212,1.0637113955544062,1.8976107,1.2356022985017734,1.6883358,1.10992445653845,5.0747986,1.135717514835489,4.115925000000001,1.1747836464595747,4.020359
Chandelure,Fire Spin or Hex,Shadow Ball,35,1.3453568741273352,1.4563059000000003,1.3703874976384596,1.1471542,1.416219917039652,1.4020535,1.0716778285511663,1.7523208,1.3460771793827442,1.6535263,1.284938864917322,4.924533,1.1776010249458202,4.121163000000001,1.3044084353692886,4.0457973
Honchkrow,Snarl,Dark Pulse,50,1.3597565321879117,1.4143431,1.7929668654679076,1.1986911,1.4333953649001627,1.425594,1.392273067156551,1.9355971,1.5245751643926333,1.7298466,1.6468977497634916,5.182757,1.400964698781514,4.099344,1.7269272482626388,4.277212
Weavile,Snarl,Foul Play,50,1.3185526790060675,1.3475789,1.3322611624375593,1.0768381,1.3562348358888807,1.3444412,1.4713161988188541,1.8751086,1.420964355918696,1.5614985,1.4526666879350563,4.702949,1.4319938998687827,3.8094459,1.367510715402742,3.8336654
Gardevoir,Confusion or Charge Beam or Charm,Dazzling Gleam or Psychic or Shadow Ball,50,1.6870998969864532,1.7863029,2.02108416606754,1.443906,1.445950963915606,1.4161072,1.8313603255343192,2.405824,1.737114173811378,1.9515437,1.5340390450820327,4.849617,1.4794579201577407,4.1465163,1.6955365541723861,4.888231
Yveltal,Snarl,Dark Pulse,40,1.1328167408071357,1.4122872,1.1900258147983038,1.1399997,1.1987112446933799,1.3894757,1.177554808247023,1.8933951000000004,1.4021840429635246,1.746558,1.3159208695183124,4.978421,1.1620134039729084,4.0743814,1.2602851131904633,4.0651054
