Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Mega Gyarados,Dragon Tail,Twister,50,1.4673274000637633,1.450083407670285,1.5027668467388617,1.5058280247747067,1.4756631535978375,1.4725251666607815,1.52492487661443,1.526152099055899,1.5547440125247234,1.5487491078870568,1.3940274632059861,1.3965267734078406,1.4445786300205927,1.419263764812028,1.4077681639884072,1.3883100733900453,1.6169413151077048,1.617997135106144,1.554288885191224,1.5425065276199428,1.5802057395981117,1.6559756252872706,1.5109490097401033,1.537640826610463,1.5256231274474872,1.5507334707741744,1.56941248713598,1.589097503455767,1.5079317635719782,1.499922170075644,1.5199982144392783,1.5301549039571833,1.6309297220710608,1.6291691269924964,1.5976072994693058,1.5828064881930937,1.5999262306559066,1.6098182875998217,1.586721970215112,1.572415151413344,1.5847125704190568,1.6501337736973496
Mega Gyarados,Bite,Dragon Pulse,50,1.4130550514776683,1.404423444479153,1.417187224629965,1.4631136636760105,1.3619473396485626,1.3881512452946836,1.3851749629864236,1.4092145580868067,1.414779805534709,1.448071715267266,1.2759711391429596,1.299382166015031,1.330396484621468,1.334779196340316,1.3458866686056308,1.353680794864869,1.2986488794309652,1.298027178612321,1.4479276846786477,1.49558381432141,1.2394427169618294,1.3084077769735796,1.1940327092075453,1.2198127646135035,1.2201318280612705,1.2467668136757128,1.1926016543059725,1.2116239207502,1.4187297525088565,1.4171770618003667,1.388959589216001,1.4249999507657891,1.5203493595314095,1.543724690182666,1.4856713659139278,1.499771761124069,1.2505135467340973,1.2591021143109944,1.2142069543277223,1.1880198385092822,1.5216960454923136,1.601369697249178
Shadow Zekrom,Dragon Breath,Outrage,45,0.9945552543611906,0.8952582618678809,0.9191874896224448,0.8996214808267132,0.9879519308505889,0.9498407850855631,0.9537542142131575,0.9542848189455887,0.9529317201635685,0.9519737807239452,1.0781958151608604,0.8746952727745433,1.0103512880765524,0.8982327866409883,1.0993540538359718,0.8811906359962772,0.9793358099495901,1.0139922788259381,1.0526011594698583,0.9689345018045046,0.9789583358446324,1.003717788330766,0.9632611240185933,0.9632694661660125,0.9660689772530276,0.9625630697595016,0.9599962803723656,0.949881973556781,0.9922230696312545,0.9356584248776402,0.9403962106725328,0.9272336740997196,0.9387841844437838,0.9363454764115533,0.9826851558582741,0.9788601535608493,1.062453063627882,0.9660645505287175,1.020523721357158,0.9799875292696916,0.9862249360499961,0.9869926558686153
Zekrom,Dragon Breath,Outrage,40,1.2087841017412557,1.1018017888368976,1.1271131404203714,1.1044133584962335,1.1696196238852692,1.1297164321734665,1.1675777550431607,1.1762885207221565,1.1958739216223648,1.181429003375996,1.2609873852433962,1.0663753088160983,1.233950165862567,1.0800128059411227,1.2583264483885754,1.1064137988600582,1.1866880500367583,1.2269270046894825,1.2470232856063577,1.1811949557296781,1.2122619878063545,1.248895700987871,1.20452619070055,1.1786467344957667,1.1489347727484527,1.1412465637132676,1.1716994251825015,1.1699291735849262,1.2310414495574165,1.1563551327094148,1.166771371422232,1.163760338363757,1.14126033474639,1.1516480845467776,1.1706083165275636,1.1486105289543194,1.2414374406799749,1.2185316896390759,1.182289251284599,1.1705897274593706,1.2196068801940707,1.2281942309598637
Kyurem,Dragon Breath,Dragon Claw or Draco Meteor,45,1.3378755861079532,1.2392995547028722,1.2492158430021008,1.2346816325392411,1.2893497664373408,1.2791047433362033,1.238345478478501,1.2617486718822226,1.236498492665216,1.238686899371547,1.1835305940080703,1.1786580383308987,1.2706744491284208,1.2002387864937287,1.2720238343146033,1.1749492122489784,1.2414453785861743,1.283974187501899,1.3282824665879371,1.3069757055657243,1.2889358363516965,1.3165875716637414,1.2866790710090636,1.2864800344213452,1.2736598310937022,1.2853014153078586,1.2899821070720026,1.3048446356582009,1.3224075182855233,1.236998457279137,1.273951951348722,1.2829251160778583,1.3166591831118089,1.303060271766948,1.3074219779930139,1.312060432312115,1.2980733931292288,1.2997558377936893,1.2895265283502602,1.3023204311926067,1.308569308946134,1.3116338937797967
Mega Salamence,Dragon Tail,Outrage,30,1.150724443116935,1.0411301054994317,1.0757840257251723,1.071879898352596,1.111408519550878,1.0768059439741722,1.0762179987225045,1.0818117758053962,1.1026829662914566,1.095176599447067,1.176274703429279,1.0492088402916036,1.1667746860252997,1.0485931817920195,1.2817816976185554,1.0728721900345544,1.1180593988617356,1.154974224210291,1.1384570358148618,1.0902194635808586,1.1349471683814254,1.1534257351642494,1.1360577220203787,1.1096299164915795,1.0994124800304335,1.0948739442900908,1.0950816891308017,1.0858711273504609,1.126500756080015,1.066861641440369,1.0858424071984356,1.073791841694287,1.1179094389428272,1.1154294856225724,1.1147330869951426,1.103011842152629,1.1378110830541368,1.1175572176480555,1.0956996631423341,1.1030646681031944,1.114857051397812,1.1245245719654022
Mega Salamence,Dragon Tail,Draco Meteor,30,1.2252401090257405,1.0494616642728558,1.073484892242424,1.076653229607317,1.1071096059356917,1.0917358086211586,1.1067970639387361,1.0909956114369088,1.1287329000875956,1.1042006785954688,1.209565031025517,1.0481641067491039,1.1980544895401133,1.0612505057977508,1.4016683626327968,1.0743884515277975,1.130357237053603,1.167375044956071,1.1453780716826694,1.109528096576542,1.1667305191759305,1.162253680865683,1.1573044077792052,1.132478823282534,1.1166821637576863,1.1024694622890505,1.1098993838615103,1.1130093238068246,1.229792814086079,1.0912568513254057,1.099962778936423,1.0851817497313454,1.143924100586326,1.134948244053054,1.152964889776234,1.1301568342927386,1.1616691344348702,1.1485135066100272,1.1224436466930525,1.1192545795104605,1.1462376999642025,1.1432117232782055
Mega Salamence,Bite,Outrage,30,1.4517312324690925,1.2883714028429456,1.2987387979119325,1.3145003446482606,1.369511064900414,1.3460460458702384,1.326857765924496,1.3573460043910768,1.393882947234556,1.4058483693378245,1.3965730785643446,1.2263257984081646,1.43826867411812,1.249458907720119,1.6382737395337785,1.2746224363488476,1.2260180768046114,1.2558968928600305,1.3997643630618644,1.375712984657882,1.2440914591547465,1.2716411527413167,1.2595479402063072,1.2309547599470707,1.1848334872718125,1.177520415029922,1.172652381967359,1.1801652702503052,1.3766875153336473,1.2920252408431603,1.3335987385538666,1.3320703117050725,1.3584847528387596,1.3765928121864117,1.3504543594332883,1.358343526175209,1.2067398406991683,1.2009280552669772,1.1653461644798708,1.1859543699491768,1.3692299290226064,1.3934070949792412
Mega Salamence,Fire Fang,Outrage,30,1.614498966260148,1.4505816598126386,1.3564875313085454,1.3952501499950216,1.4183207337492914,1.4157709287099136,1.3881920756733177,1.422016214194724,1.3982569068292101,1.4242532313002985,1.3602711103190614,1.2491541874623904,1.4091288593481526,1.2424005992033647,1.6117254929515215,1.2760218618307873,1.4375999198621263,1.5322145997178198,1.4644803635408268,1.4533774961433596,1.440470366757982,1.4847160153099275,1.4296687650496451,1.436296307436566,1.42428267386356,1.438444953230426,1.394329951963952,1.4128124715337982,1.578238412471946,1.4468286347388795,1.3685258161226943,1.378594146643113,1.423776319362357,1.4520097754088428,1.4943752229430793,1.507435563535096,1.4516850868551685,1.47210043096147,1.3830893691493364,1.4331111143303361,1.449574292157312,1.491009872342345
Mega Salamence,Bite,Draco Meteor,30,1.8500146325715003,1.439579958650406,1.4549025163630818,1.4756205644156288,1.5483402695597983,1.5277618065753245,1.5050754334030734,1.5471123545326655,1.6655649356806026,1.6219198223368572,1.683429434233827,1.37224911791863,1.7202132093630196,1.4344721230777786,2.228012919502537,1.4453371107027868,1.276202371081094,1.3149739853422866,1.592771948553943,1.5437950362675965,1.3391662032773894,1.3396010467269344,1.3628377071643067,1.3260630539450249,1.2306068716716059,1.2369359613800406,1.2416187722412184,1.256532622405524,1.7621535547584244,1.4931837569273518,1.5307989530837358,1.513658883066123,1.549660888406969,1.542840626369867,1.5381273904605968,1.5234156458567591,1.2797492059467181,1.2578461688648384,1.2379935007953708,1.250041224917912,1.567606586004698,1.553582942132715
Mega Salamence,Fire Fang,Draco Meteor,30,2.6622378817350083,1.7527812955884106,1.6015241094980737,1.6350781832323584,1.6699212485170662,1.6418075773505878,1.6186336160078516,1.7070461392626557,1.661637657567311,1.6764988322931442,1.6735623470257113,1.356642474700498,1.6939964874884694,1.38413968119375,2.1588624516921904,1.4093992920212703,1.6437853951301256,1.8037992073212108,1.7084239745785497,1.6888632775893335,1.7270346632649263,1.7003695933477392,1.7253158795243517,1.6688811347388404,1.6951924735060777,1.707943070668648,1.6655717711699003,1.6967160044785328,2.3767297995023995,1.7764832286908705,1.6681345026130237,1.6392745896984964,1.7162148730692335,1.7039890899323649,1.8747882676461467,1.8436565911062286,1.8040071536667093,1.7906384184249733,1.6788204402852054,1.693076833692054,1.7394207532426051,1.729307572801351
