Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Palkia,Dragon Tail,Outrage,50,1.0868778741832328,1.0039712235486582,1.0323858229329221,1.0272497711138926,1.0641416842652884,1.022025669615002,1.0181130100381433,1.0216863108838767,1.0557202069654859,1.05843494261939,0.9846933313565137,0.9506366321792376,0.981354497598126,0.9563981162060967,1.025203966307437,0.9683660562018866,1.071258716706235,1.1052755696635996,1.099829965065238,1.051148216855597,1.0741619554695572,1.0969543139226947,1.0815323302860604,1.0634902628340412,1.0414106655635447,1.0412552543519464,1.0781118110994594,1.0704118865205536,1.063133720827994,1.0045333739074314,1.0575148145741142,1.0341489144512912,1.0643595516187074,1.0570460914715767,1.055741939090248,1.0513737804521561,1.1128209227584762,1.0943603344196478,1.0747754667508322,1.073912163030603,1.0637517459078984,1.0870925085887981
Latias,Dragon Breath,Outrage,50,1.2829274622974787,1.2305642919365072,1.2763522352635657,1.2484343242036675,1.2975353671750685,1.2604803698104712,1.3165525606747546,1.2956176093293486,1.263615990248905,1.2521203160237873,1.2432946203816182,1.1781795871151866,1.2111332845219047,1.1889685374794234,1.2324055943885814,1.2251260794949441,1.347524200461074,1.3564998999154771,1.345167894433475,1.299082670902758,1.3659994559871032,1.3994516895059492,1.3431296188766582,1.3240507752439843,1.279300957455133,1.2646604652188158,1.274115405614264,1.2746106878531422,1.2875627079483065,1.2403875534445088,1.3186628513435361,1.2828331465715592,1.2938002912339892,1.3024602400935064,1.3031922397543916,1.2901630326963136,1.3056041537099359,1.287683534012285,1.280530002955865,1.2820296961191862,1.3426107893110972,1.36956910513416
Mega Sceptile,Fury Cutter,Dragon Claw,30,1.5416961364375585,1.35823861074703,1.4424274269561586,1.2833775437786898,1.4997341488075244,1.2895675037404968,1.689410276884732,1.4348956260440398,1.5528654455470299,1.4385086418798028,1.45365225549656,1.2891853669757996,1.573021231233899,1.2753002044041926,1.5801538771396066,1.303289718610575,1.343641248827688,1.3654439259408486,1.3896832331811322,1.369154214181104,1.4140384676865247,1.4623997467562313,1.4487316293576853,1.429132987694275,1.3519062788406906,1.2312576219588571,1.2986113056109252,1.2751356659280682,1.3470885471074447,1.2909708921092882,1.6590735696969339,1.4342654354175162,1.3162247756127727,1.3279816117666468,1.6199784241071906,1.4666225962059367,1.4134632905088167,1.3117097859091298,1.268513995050544,1.2687161897881176,1.415314525970543,1.4257827869259416
Mega Sceptile,Bullet Seed,Dragon Claw,30,1.7556572399629014,1.570383977193316,1.7940108131002126,1.503191711557266,1.8945542749629742,1.515388494929138,2.1202455115191055,1.6435928179836965,1.709986759227856,1.6297468309648218,1.7967384177103203,1.4659029962197574,1.882102752473712,1.4659603272117778,1.7783234501575664,1.501335736243255,1.5789017024790108,1.616660411018068,1.5557513261650473,1.5702161021829026,1.5176493925975463,1.5656957416578137,1.5307127906739022,1.5303093714744147,1.8743465281946092,1.5693399551020106,1.547579454426834,1.5518917328849524,1.456503442928321,1.3928156191306604,1.8534539768441658,1.6603453878375745,1.4907155846193472,1.516663096361853,1.9805313698215403,1.6964901451309142,1.8205806439003247,1.5977861337417993,1.5648669691162946,1.6125165939926587,1.5577165047811665,1.5815699782774473
Mega Sceptile,Dragon Breath,Dragon Claw,30,1.3103849694708605,1.1753605509897818,1.3283594309462377,1.1685656010091126,1.412068608834727,1.2041166354627373,1.4057352679542727,1.2300219833132382,1.3504798659601778,1.2557752549921768,1.3244740382068518,1.1593093862039097,1.4096757073512314,1.1453139833883315,1.35357125748392,1.1410508394206902,1.2545930131225769,1.263764841943442,1.2628663450896607,1.2319034291774327,1.2074142983150797,1.224344419910872,1.252804900200893,1.2213492471740683,1.356046311447894,1.2067102115642154,1.2500721693209098,1.2234017218415827,1.2280066085546584,1.1723724660122206,1.3348229636237954,1.2050665941939078,1.1642477392254262,1.1583898978623364,1.4012970124101625,1.256842102656283,1.353864361614667,1.2332948914406052,1.2548696414156466,1.2472830544474056,1.2542928843702807,1.2545058518945005
Mega Sceptile,Dragon Breath,Outrage,30,1.3808051255462557,1.1259275681672534,1.3855043607780337,1.1139066452599506,1.5204169278805615,1.1420382559496223,1.5073944760466793,1.1966256689465522,1.3734651294100333,1.21335520788767,1.4027733496406782,1.1299505363220408,1.5156721283773877,1.1102588055506024,1.4716275881971417,1.1178137381424047,1.2249291782712317,1.1936375867704128,1.2623316793659394,1.1784874125900695,1.1645729158095492,1.1609223691499615,1.2473551280355135,1.175626700887487,1.4048000201141826,1.1496858662066154,1.228338245805252,1.1725118673896837,1.2138289872906514,1.13851892885383,1.519584121901281,1.1965748087579127,1.1298760840896804,1.107731498135419,1.433314402611608,1.211302941048742,1.3882310414285164,1.1869928002112926,1.2243510889696914,1.195690108208089,1.2327329940281915,1.1963724161446685
Gyarados,Dragon Tail,Outrage,35,1.5491528606576646,1.5510732095529154,1.9611176809783166,1.6757684973086031,1.6492295954125695,1.5933777817546586,1.5833687060511787,1.6021024772632884,1.5837948420895231,1.6030092213699554,1.5105094119478775,1.4970906342723154,1.5818764656731927,1.4891944441850145,1.454179864781867,1.470320669958658,1.6422290061516125,1.6940734330595544,1.6502190485127592,1.6084543529878839,1.6772487831773182,1.6760429403320574,1.632287188881962,1.6539610278371584,1.7517250325648432,1.6544132001509657,1.642233270339129,1.6412783092172023,1.579468961942194,1.5741953645829705,1.585704617053024,1.5693509815004094,1.9618047505018328,1.8310953095013343,1.6214368355876105,1.6128869657248976,1.8578822495042921,1.721614055875457,1.78760777426437,1.664747255036914,1.5899427626637335,1.641634174841726
Mega Latias,Dragon Breath,Outrage,40,1.0860625662189274,1.0627900348766435,1.104169573571634,1.0756605528921777,1.139107745716847,1.0794050645946296,1.1124190498214888,1.0901223116804262,1.145013106336089,1.141399040645444,1.021475131475845,1.0306678732912493,1.067693712122183,1.0352315418843978,1.0179277531751503,1.0298474012792183,1.122321319267989,1.119557358852867,1.1477561340916715,1.1252977225058136,1.1211733697825468,1.1549015404789096,1.145292655455917,1.1423995752319527,1.1070619729079816,1.0897645046440714,1.1148404439564412,1.112810208742739,1.0985189569096765,1.07344664922762,1.0992937844762563,1.0805205828542843,1.1228085340450915,1.124533762896731,1.1234434006946845,1.115978074562514,1.1158709984254407,1.102300246763032,1.1099440974701924,1.1042159143902548,1.1262247946775288,1.1555764453946322
Rayquaza,Dragon Tail,Outrage,45,1.1287167134157534,1.036423630455715,1.0832880336217237,1.0694699859821117,1.0793202066687977,1.0576964105097373,1.0626485605272868,1.070895864003421,1.0988259251205326,1.0929703151039614,1.2382091247072207,1.0552752937138201,1.1805403125422858,1.0520957022557873,1.327166318929409,1.046225875347619,1.07882023560933,1.1210411506927496,1.1739103267431605,1.074332589084093,1.1040504328256753,1.1095581703347357,1.0898350581212686,1.081180843891633,1.0900849833324664,1.0782089158482904,1.0847627289513355,1.084508811092128,1.1037273244256356,1.0369865235244016,1.0535895350386753,1.0515441489735324,1.0962130395370533,1.0868822346899143,1.081174763758833,1.0808178779365578,1.2210197956443876,1.1280305824008796,1.1254246937104182,1.0836847956646487,1.1131457713391222,1.1126320170602908
Shadow Hydreigon,Dragon Breath,Dragon Pulse,35,1.2517549022133627,1.1626938161585454,1.4336799732009913,1.1766800908111588,1.3354922804245706,1.1896659685145667,1.339111389288979,1.205063730940557,1.2959310215677886,1.2392858945445848,1.357140042723941,1.1039667588450814,1.5677234138258553,1.1230610543225157,1.4901434024465356,1.1354315312300574,1.2770779862467063,1.2714069787980642,1.276254129692685,1.2041682192569456,1.2354734667929392,1.232604506292573,1.2638057252510222,1.2281436912568888,1.2469704606648848,1.205938348026191,1.2296433329656957,1.2138583346163727,1.257093657780495,1.1932131504366017,1.325899623916273,1.1978335634212132,1.2520389318774818,1.1839666613142714,1.2513892233925699,1.2352357838932961,1.3935734889926648,1.2324188320048615,1.230135769451149,1.2211368707343766,1.2593008357300737,1.247642908630806
Shadow Hydreigon,Dragon Breath,Outrage,35,1.1528616137129937,1.058844020813273,1.3489579316026779,1.0748702655853735,1.2532741940761771,1.0922311367209088,1.228343811087064,1.1014812971467498,1.1810423699991557,1.1389978240227325,1.3010876507758555,1.0112087153951264,1.484351871902362,1.0368382031457526,1.4175200609516732,1.0528061119425693,1.1541443335327999,1.150476246011329,1.1815029885515966,1.1043988802802658,1.1324565012423724,1.1434672069759433,1.1572630495272116,1.1237765535839628,1.153627672086716,1.111506815546842,1.1457544422307069,1.1150202540898102,1.1569065803936025,1.0848410804126154,1.2340105334953466,1.0960715694750516,1.1607826757297293,1.0848385260752893,1.1615112217373624,1.141214722588272,1.3141916096018968,1.1304457049974945,1.1317011450818133,1.1221241420208439,1.1481534651990635,1.1549994269366053
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,50,1.2811862969892729,1.2943634106813344,1.3297696314030054,1.3185732658069822,1.3286913983458437,1.3251561598442312,1.2915538105200948,1.3107518818202106,1.3368019407849272,1.3682269582498219,1.2301474606825678,1.2335905570616532,1.2443664501718357,1.2433294969085251,1.2332670644729145,1.2563566870775373,1.2946097268573644,1.3646473479826162,1.3280190658426694,1.3499904056355134,1.348925312479855,1.4048324382626596,1.3306578147474597,1.3582585732014036,1.3085729688888799,1.3267972564182051,1.318486892189399,1.3683391329881336,1.2923630131959172,1.3002211552205243,1.260094884171595,1.3011104612195248,1.3040328889375543,1.337815076337771,1.3303589015417023,1.3579403822897247,1.3881010001441572,1.3864434779047707,1.3299401090557041,1.3464531929970345,1.334782187944261,1.4015156474917918
Hydreigon,Dragon Breath,Dragon Pulse,50,1.282935513230904,1.1865784197144817,1.2165144047475152,1.2041637058081833,1.2549396464179141,1.2171610457380524,1.275329505315404,1.276251011397193,1.2812388824920389,1.279342862412481,1.2830685195243143,1.1530527736470133,1.3408008773894124,1.1784464238822985,1.305101690484434,1.2016239104984021,1.3071724860591538,1.3403010778977251,1.3359537707282292,1.2956457967348605,1.2949680903417795,1.3534352737333486,1.2729235748851075,1.2547986146865502,1.2980066917917827,1.3017172027913164,1.247928741808525,1.249139783363865,1.3334434859309197,1.2649095657360758,1.2877863707887518,1.2594107255744156,1.2644082008493038,1.2587470324520498,1.2642150011095743,1.2573856127871084,1.336201601115863,1.3292353955106129,1.2319205387010281,1.237238537700534,1.3203321209522245,1.3466484879625553
Hydreigon,Bite,Dragon Pulse,50,1.4996833467247193,1.3846728946004,1.3965733281041754,1.4057198509496318,1.4765837419239383,1.450465988333237,1.4446070500214638,1.4646332311392751,1.4169604998568373,1.4301025676343075,1.5326648893699717,1.3705003548291923,1.5927082480382215,1.4116839117545552,1.4691775654236772,1.357798265046054,1.3071724860591538,1.3403010778977251,1.5475967291489867,1.5421522285949973,1.2949680903417795,1.3534352737333486,1.2729235748851075,1.2547986146865502,1.2980066917917827,1.3017172027913164,1.247928741808525,1.249139783363865,1.554336684888104,1.4770011947281663,1.4735506597056056,1.4728855383367108,1.4549118269439574,1.4682279003337468,1.4518949310449714,1.4597851591573674,1.336201601115863,1.3292353955106129,1.2319205387010281,1.237238537700534,1.4852440804066007,1.5296396634594753
Hydreigon,Dragon Breath,Outrage,50,1.1920460098768852,1.0924693480837169,1.1282048706922854,1.1058394136396492,1.1438798485720483,1.1175333113577806,1.1623430955331504,1.167997144487428,1.1781089045254007,1.17026307484975,1.2147166920955612,1.0539713681198344,1.2440550981263927,1.0817503827555928,1.2084744860446421,1.1010078887188257,1.1950009493246798,1.2386536673293498,1.2326811711996175,1.1870116285658527,1.1892980399288695,1.2443675011517037,1.1685970904939702,1.1547677487410994,1.1736473417167326,1.1840715532895114,1.1422310813920669,1.1398533046797525,1.2336107138063672,1.15284704969477,1.172815888339435,1.152480321085831,1.1577804045749382,1.1549443087565308,1.1730812212871646,1.1555123558117153,1.226412217324374,1.2096768605934682,1.1456511949678168,1.1386874972452508,1.2031170609471855,1.228272692679313
Dragonite,Dragon Breath or Dragon Tail,Dragon Claw or Outrage or Draco Meteor,30,1.3529302781114443,1.2491962149341593,1.3920682520299734,1.2827846498696371,1.3096819750488118,1.2725678174744839,1.3293355040144474,1.3046790578707719,1.2964302038663809,1.287213668892016,1.491028906949788,1.2504641667121577,1.3796756291602748,1.2597998789343354,1.4656082455523394,1.2709564385881367,1.3690302831352807,1.34647282996468,1.3802441107004597,1.3063553503401497,1.3821853071445453,1.3650909334852515,1.3473936899056962,1.321323304270545,1.3314304417768656,1.3120292286037887,1.3384860092261743,1.3302964461996107,1.3454871093655476,1.283450973334972,1.3072796391591848,1.2919137075264666,1.3411829516046714,1.3378947192435997,1.3462161302308648,1.3283093951541538,1.5401218468737248,1.355030079609051,1.3955574487339248,1.3428541574905906,1.346321479981238,1.3443461363493692
Latios,Dragon Breath,Dragon Claw,30,1.4396128668407815,1.321459682535593,1.4336758438453048,1.3397952481923745,1.3687100911233618,1.379706911077213,1.3374064047381848,1.3499050257188845,1.3375729433524202,1.332458948653446,1.4910956033678717,1.2816871177567741,1.3796644978088073,1.2800086031772027,1.5626816511795718,1.3285693358008883,1.4603371094969178,1.5139300150703465,1.4421206123349335,1.4047688750890548,1.4844730962562163,1.5078834177217182,1.4344788942495346,1.4083753750147752,1.3380097289604784,1.3586106875361026,1.372195319271643,1.3953696754456102,1.387223237214838,1.3282113711448322,1.399551180931787,1.3797583059755234,1.4057898830911955,1.3950113594483675,1.3900252579638828,1.4032870820511019,1.53119615437674,1.3899470434661572,1.4076473995013556,1.394826403797069,1.4913901642798564,1.4727739348215705
Haxorus,Dragon Tail,Dragon Claw,30,1.3067512309877207,1.2373422721505332,1.4117470279217343,1.259180742968969,1.4762614112187356,1.2644477089376842,1.4539292484198185,1.2882471247273035,1.346933702269894,1.3071511018803594,1.3911400818071924,1.2141331515395721,1.460209871043565,1.2137552336356645,1.4297176941912113,1.232910995577783,1.351280282740095,1.344002068315898,1.3301859174175443,1.2968196101374827,1.3123654970039984,1.3174619230279403,1.3653262519859597,1.3186982302192995,1.44921820235141,1.3014895973328302,1.3406285400614497,1.3166503392314115,1.3039393564860533,1.246493557751382,1.4017847729744881,1.28365522660538,1.2909788930683297,1.2696969674700527,1.318863905505479,1.3025108399093341,1.4642477988121207,1.3372971278404586,1.3369846538509311,1.3230129974845863,1.3400939554686826,1.3365348867699103
Haxorus,Counter,Dragon Claw,30,1.6161563515423978,1.5333422363238793,1.8178188427190103,1.5657560893594609,1.9222084376879376,1.5819457645079784,2.179050413594072,1.7954141428867882,1.7743303551423206,1.7553942349102605,1.5126628672365314,1.3057624005952548,1.605497790779679,1.311202613836802,1.5403334188122662,1.3208505128707002,1.8028567325327627,1.863447475355467,1.6456845520845305,1.649028178916085,1.9795078517622504,2.0835695002680756,1.9439717880323788,1.986866875071525,2.0874413074437324,1.7766349628402318,1.7987136059200097,1.8074994064788716,1.6400133285311074,1.5927880242015744,1.9302733286462366,1.8022606380359882,1.6080579697470863,1.610677642628778,1.6035721130922083,1.6124745348477556,2.174561473901878,1.8763213797385443,1.8061326341998216,1.8277402549687969,1.6644507149491794,1.6907379659632322
Haxorus,Dragon Tail,Outrage,30,1.3134673196510402,1.2030600390309252,1.4613923341111645,1.2268475310862739,1.5746633275658293,1.2394805752073244,1.5638536907304488,1.2706109830543317,1.403687651741749,1.310083930551749,1.481127037772051,1.214807231421065,1.6039495555387107,1.2265423329097267,1.6047924892227903,1.2469633498118258,1.316989726860877,1.3237246922130144,1.3840276239259142,1.27459865754067,1.2807718693970733,1.2702839506237542,1.3748164433830206,1.3034501946775219,1.5336698936508144,1.2772759657654424,1.3444895789504943,1.2871890633664305,1.2943168023108398,1.2199026271745224,1.5317345343855013,1.3040133759504666,1.2746258253191318,1.230433106756768,1.3234021487622163,1.2671373962654087,1.524870305147691,1.3067463453487,1.3751438556995335,1.342462096962856,1.3203513577058348,1.2938822242803512
Mega Latios,Dragon Breath,Dragon Claw,45,0.9835143552168438,0.939163675073988,0.9472324930740255,0.9523050751667634,0.9616846128546632,0.9476625801135544,0.9501421472147441,0.9707630033490269,0.9815020705510982,0.9915266605565086,0.9383447372171747,0.9103008050937371,0.9434028335099508,0.9160058082848966,0.9130691418368903,0.9255423273351142,1.0179259313642064,1.052449325001758,1.0227487345631743,1.0072341957612314,1.020091790384179,1.0551940915377693,1.0174427252832159,1.0208233511510636,0.9916758894627281,1.0019944742477882,0.9643888378046664,0.9816433844455108,1.0362847766621848,0.9884677444687523,0.9729164574212695,0.9720732394994916,0.9858589289893931,0.9998469606907603,0.9799999770036397,0.994235431606746,0.9747790487410247,0.9963595162195351,0.9930195965536892,1.0173893638787115,1.0135441555864595,1.0421898527891862
Mega Latios,Zen Headbutt,Dragon Claw,45,1.2058933134582623,1.1529746790092845,1.1352336968066976,1.1650329117295164,1.163238270887575,1.156390661486944,0.984294513276709,0.9993124873095314,1.0419754175418767,1.0516621249293032,1.11622498698464,1.0884281927033694,1.1271497897640654,1.1044623578960813,1.0782111960642078,1.1130115869232409,1.3147951856153688,1.3868248956430769,1.208046307546424,1.2153015222581698,1.2161751071647755,1.2772808579261579,1.208378089150062,1.223785271715491,1.2950522845766943,1.3418571585127856,1.2929371856058849,1.3425236407601353,1.2154753143870531,1.1591741941922493,1.00791699243303,1.005364362702525,1.1597653225785707,1.183278994886319,1.1860511684937127,1.2123896075202343,1.2922798083062204,1.3533749617115027,1.2933691530352172,1.3531792502582143,1.2026330958668583,1.23614158519938
Mega Latios,Dragon Breath,Outrage,45,0.9697099731742898,0.8957331159849673,0.9187602797378481,0.9053032703324503,0.9331007104586562,0.899026047315966,0.9256548980112238,0.9165248546059804,0.9574536537597048,0.944397766569008,0.9596159560772225,0.8688917816631155,0.9645134144188033,0.8747015440324771,0.8836272200217881,0.8808210125019166,0.9696949099394442,0.983799538692021,0.9977525859947771,0.9528044488763767,0.9757330416557698,0.9958897152737123,0.9965128648837658,0.9680216703141041,0.9434223024562713,0.944256749524406,0.9339243912366796,0.9239743873150359,1.0002911295078418,0.9360708458221513,0.9496028112078071,0.9246439545968671,0.9420902377088123,0.9395470844817404,0.9415651871191726,0.9323441773259955,0.9474089261164885,0.9463497230508442,0.9532369189097387,0.9560529121436123,0.9742638996484371,0.9751420078020773
Shadow Palkia,Dragon Tail,Outrage,40,1.0196962060781327,0.9094243824128969,1.0631422836794964,0.9472099090669995,0.966267171944158,0.9366908570299246,0.9821734349632155,0.9458575935994513,0.9907260348863921,0.9738847349982335,1.0558545329880695,0.8946652211527901,0.9515484307183599,0.8983417109875452,0.9986945878280973,0.8873238604448586,1.0037235892048757,0.9989598118047983,1.036576711958794,0.9579306011856976,0.9761249091346474,0.9729517102077888,0.995604393280318,0.9768283930979657,0.9780072638799474,0.9589120905458877,1.0067606816792567,0.987463346345173,0.9637888198353232,0.9218689762907555,0.9669697524700803,0.9554536079158108,0.9887375561404405,0.9702161253092477,0.9522638899564015,0.9505513686947186,1.233329896589516,1.0241097575327256,1.0974747233461255,1.006115219561601,1.0018262293387927,0.9851304102107276
Shadow Palkia,Dragon Tail,Draco Meteor,40,1.0616852455373675,0.9278142239061196,1.0684907169280284,0.9529231020678335,0.9642155605771892,0.9333426202537567,0.9621814954183044,0.9800888884420169,1.0172655989456438,1.008805207816914,1.0670467866876499,0.9186451323615905,0.9376014446213636,0.8955401941698651,1.0750266182786783,0.8938559029092167,1.054415009622341,1.019000427562019,1.0159418832759053,0.9773307044052902,0.9866315905878431,0.9975106955136755,0.9974503577606292,0.9894966489241332,1.0023030192499467,0.9806061656710845,1.0209933209686834,1.0147760256179594,1.0405545258113538,0.9501690089207071,0.977438915114312,0.9753921504912589,1.036222640778711,1.0000005511619778,0.9635976461279391,0.9732978646906543,1.271879769257641,1.0677651079016912,1.2324791016635754,1.0220940902115245,1.0228821436643847,1.0097674910981629
Shadow Gyarados,Dragon Breath or Dragon Tail,Outrage,45,1.2279955409905223,1.2136092274163266,1.5515476901582312,1.2989620889971991,1.2810764422011223,1.228522070733056,1.2420998183744303,1.2536246492403316,1.2356541398993477,1.2494099436453492,1.185105128635937,1.1797672379972468,1.2324949995797236,1.1776285681954375,1.1405777607373424,1.1513362315074573,1.2816139608512904,1.3210273572364095,1.2829481241270957,1.245966516505432,1.2900325097495182,1.3010540118854765,1.2671643795474983,1.279675427018077,1.4379360862738102,1.3126749685647574,1.2758294302824844,1.2772518766528858,1.253631265715971,1.2316298207396734,1.2382816341294178,1.2393337363974082,1.5423768235653343,1.4230669738966013,1.2661862314245795,1.2594253014977617,1.4619390360254174,1.333975645930313,1.3891620846647312,1.2764778786319921,1.275826435675275,1.3017404465451348
Mega Salamence,Dragon Tail,Outrage,50,0.8943660674893648,0.8833421256235447,0.9158212490628019,0.8971113423663584,0.9397835032124918,0.9063507745642897,0.9139168533055827,0.9111688134680541,0.9338637818418871,0.9456690599429142,1.0082808700866353,0.8825154277948614,1.0157397309753258,0.8853844377842159,0.9550661560019679,0.893266972950407,0.9570849040514648,0.9616198248266173,0.9339641973532791,0.9243055912736998,0.953932379930641,0.9808287339436271,0.9167184036466699,0.9326594248994067,0.9277850285802675,0.9386087908998628,0.916420515613601,0.9300439946712061,0.9044193920207869,0.9030754668705793,0.9042746454972689,0.9033475981254238,0.9252267021076065,0.9263894701606415,0.9252141558164385,0.9265580277330797,0.9636374579291886,0.9603921135105812,0.9297359416865444,0.9312214257379722,0.9314577975414993,0.9647445677208623
Mega Salamence,Dragon Tail,Draco Meteor,50,0.9256798208184256,0.895132415714778,0.9147362481112657,0.9029532081295696,0.9336856108134511,0.9114859732067108,0.9256719350091596,0.9267949245386675,0.9690625608794855,0.9530865338941598,1.0364736477991563,0.9032026812809705,1.0532602588164106,0.8858300176385767,0.9917814525931078,0.9026761239152193,0.98148041138925,0.9719391568064824,0.9622910631548584,0.9375449767751831,0.9671828150623439,0.9905665647996402,0.9441111371427887,0.9369639729676825,0.9510167272931328,0.947339557737588,0.9222929067513298,0.9452905120432438,0.9489267862142988,0.9181022784904491,0.9223773428099343,0.9244449827384856,0.9449368974651325,0.9396961737968043,0.9398509853542373,0.9357892089933103,0.9763903455695891,0.9753161735370175,0.9540743010180318,0.9419344488359469,0.9351606285756505,0.9763934907403559
Mega Salamence,Bite,Outrage,50,1.0670856104056703,1.090887792530666,1.0989483346741844,1.0982876377643545,1.1322266738225872,1.1186628091744915,1.1102077033484403,1.1343099163986134,1.0899928159259082,1.1191096370839735,1.2362375977054734,1.0620254385236385,1.2823683953890794,1.098670579979249,1.1788619153007849,1.0722249868841875,1.055960216299662,1.0633900065237898,1.1475165303117576,1.1857918553588989,1.0482536295041567,1.0926512138353275,0.9920427663124818,1.0166013433442236,1.025018472162035,1.0357840691483329,0.9944086380176219,1.018374127130986,1.116989924293803,1.1327441338356063,1.0948159001556457,1.1277841782252183,1.1381661114015937,1.1538384941078947,1.128845953308367,1.1496239608630252,1.055289029810323,1.0632458501059876,1.002296790435942,1.0095901642123326,1.1375654079075344,1.2098272714558385
Mega Salamence,Fire Fang,Outrage,50,1.1940452579197032,1.2397194611993314,1.1591832970519307,1.1700883136634108,1.1791577286990431,1.1856791250057082,1.1603955153035532,1.1916992953106642,1.1837765635031112,1.2378694102313859,1.1669753323085308,1.0402070010422908,1.215110543550951,1.0556207026195925,1.1605819742482308,1.054263694764791,1.2256625264635599,1.245293436756154,1.1721597688626288,1.223052898590897,1.2248817243636543,1.2949259529266373,1.1495590176381194,1.2126462725052927,1.1680599624917865,1.1935077740678084,1.165948190946019,1.2133134714078944,1.2161483040065402,1.240898069652547,1.1221334037054325,1.1764709705244625,1.1942944263193807,1.2206226991283924,1.2899115763412383,1.306589951988022,1.2101548851158936,1.230574288164868,1.1779056323871584,1.2036590466579766,1.2134379242751845,1.2776177089884784
Mega Salamence,Bite,Draco Meteor,50,1.2407875181548549,1.1964103202500296,1.2184092182308912,1.215046087432938,1.2691458153118085,1.247491191137209,1.2701366842036028,1.2776931793077002,1.235540081520137,1.209177548518444,1.5303474012505365,1.2411178532079807,1.6111740741376244,1.2209875170309679,1.3454570341505812,1.1930667298133353,1.1304593414163222,1.1279881113989043,1.365502350261834,1.3308158731355793,1.108585445925485,1.1453837780385452,1.0664430305353143,1.0614301636541332,1.1096806882621444,1.0981997533279726,1.0391724999468586,1.0686950663295793,1.3157859877980114,1.284593547686347,1.260173199390021,1.2687857727572012,1.2850413169390813,1.291656638580677,1.2639092379651864,1.2783760713318792,1.1339011578689817,1.1389226387243194,1.0677499701793582,1.0622372354554634,1.2470937775749944,1.3515123740459676
Mega Salamence,Fire Fang,Draco Meteor,50,1.5459177943340752,1.4951504196146501,1.34587936948919,1.3436077140646516,1.3926435388454257,1.3557225301120845,1.3960350716377834,1.4160428751414282,1.4518069620895044,1.4371274647199697,1.4354008019288436,1.1789185579384773,1.4942427564223555,1.1521018272140584,1.3161252289728054,1.1600468572068732,1.4775373622052155,1.4580865981993687,1.4579461049596922,1.4121862768436406,1.434816406129212,1.50732425841556,1.3740077838110172,1.4008247328926642,1.3827675202228156,1.3847358496770936,1.3544938582101365,1.4152792830085437,1.5695228136366846,1.5178414392769526,1.3714234135588392,1.3700887069192447,1.405844448127023,1.4164645127011601,1.5916208161992023,1.5836692939418653,1.4370278829196177,1.4556089727348671,1.426021014074418,1.40639354554945,1.4356468320533797,1.4812737019777504
Naganadel,Dragon Tail,Outrage,50,1.2130680034168162,1.1125255315226246,1.3600937842949998,1.1270908113118447,1.2300217358308063,1.1607371805833973,1.177949209078318,1.126472338758081,1.1417555084583864,1.1285491708125646,1.3603745534897838,1.1111144270512174,1.3147633431238548,1.1104150245660782,1.419404613649609,1.1064893918172969,1.2147305097613001,1.1994588234591566,1.2280536317008426,1.1488023835040497,1.1723468496255063,1.161742161995301,1.186882078928934,1.1640824613047729,1.2163887954893216,1.1778464050772277,1.2442719870633754,1.2146708823149797,1.1918773414420074,1.1309764151030834,1.1558304137446163,1.125949120709813,1.12916811652887,1.1234844423508452,1.194722123038134,1.1607258075857385,1.4655867328313965,1.216464963930736,1.4602157812376226,1.2529389898955028,1.1994358228744357,1.187463156904421
Giratina,Shadow Claw,Dragon Claw,35,1.826477728702866,1.877375679498781,1.8691479064345098,1.9189140345125428,1.9461228432174946,1.9741096434654497,1.9207880142205866,1.9862137171294167,1.8506984778536648,1.925669361834406,1.7657533116152235,1.8365574006579155,1.845707685714925,1.8960418108764925,1.7483498289137327,1.825462639035288,1.699182866513241,1.816779868438763,1.9803360670769659,2.0925879867771395,1.7565069026222153,1.8333358315300023,1.6690470964744677,1.710501165668233,1.6119349251534685,1.6457548553022325,1.62571980095667,1.6882877671036278,1.8625762511567399,1.8866482176095625,1.874370442142909,1.9786899235950688,1.931868663244808,2.018685677100653,1.9116511678568904,1.986604531680449,1.7522788248528494,1.7928407696954896,1.6230586762347516,1.667314758335678,1.9944112434196588,2.1131026863966533
