Attacker,Fast Move,Charged Move,Level,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Shadow Dragonite,Dragon Tail,Outrage,50,0.9398028135798295,0.9328199711546662,0.9436321521689335,0.9168528210453573,0.9166731602765357,0.9242966303331739,0.9623793672259993,0.9616472803586095,1.0830361908783515,0.9078482248663363,1.0272537837364113,0.9137249129202519,1.1579849941318434,0.9090718673539969,0.9436577705313344,0.975350753953485,1.0280071489760707,0.9339016205263595,0.9555635276563473,0.9683418560273537,0.951257067620037,0.9462685809584258,0.9494838862896429,0.9379581772578739,0.947312255197259,0.9426425190466085,0.9662067829117249,0.9056325568861097,0.9844354323190231,0.9039003350798491,0.9259797115662978,0.924247258146785,0.9522642285220445,0.945880578631891,0.9469117524402898,0.9421011792091321,1.0486609315444066,0.9596213539060887,0.9893628923957208,0.9528414370990973,0.9614756660115849,0.9683438434225872
Shadow Dragonite,Dragon Breath,Outrage,50,0.9777029577045391,0.9512145174279456,0.9864167696270005,0.9566188812397614,0.9562582060376328,0.959411838144051,0.9576558503033302,0.9514767918557224,1.1146011203723785,0.9024066255457052,1.048144615477509,0.9084629330340068,1.2133262795353412,0.9055216050174724,0.9817477913345128,1.0033806848170053,1.054134787073946,0.9715126119218263,0.9829439902559848,1.0058198373936018,0.9617588912604609,0.9623750939666534,0.9804742574445932,0.969287975244251,0.9769966454254407,0.9834223918313348,1.005948891566107,0.930459526209897,1.0270552120937901,0.9296336845418858,0.9631018472019541,0.9478783665532967,0.9746267071782968,0.9731557477191997,0.9824120298559976,0.9823843457761037,1.0696888399035123,0.9703746564376486,1.0110143733951178,0.9722665567746486,1.0056762223795648,1.011724203858425
Shadow Dragonite,Dragon Tail,Dragon Pulse,50,1.0181636082330379,1.0066506587010544,1.0124271566808238,0.9936613070597913,0.9952038337155487,1.002055723272232,1.050639467501145,1.0492797765248234,1.126889351279626,0.988064899013339,1.0853471667615455,0.9790069770225015,1.1967894946990223,0.9887523472192479,1.019780202795423,1.0695561967131881,1.1020764803009537,1.0145636610901967,1.0384604539834794,1.049350355311699,1.0433483241330805,1.0319777422107255,1.0304494381101266,1.0135313881910617,1.0238585208087372,1.0276010928278647,1.0442611540401747,0.9838406339739568,1.0547161562911604,0.9805796893466828,1.0009888855409625,1.0002711820346333,1.0374634901119701,1.0288724364997097,1.027637910278285,1.026394603214166,1.1146557199654272,1.0471019873203804,1.0733117741139568,1.0492550079413832,1.0481496784365418,1.04518476119245
Shadow Dragonite,Dragon Breath,Dragon Pulse,50,1.0579880321076267,1.046136628348455,1.0691590246773874,1.0449697090482397,1.0541962544858277,1.0559365977897148,1.057042397358072,1.0374967393360368,1.1824797006053018,0.976081581189401,1.1171935289164274,,1.2798476764259974,0.9849780285159805,1.0659237637541574,1.10723902953316,1.1215182945962996,1.0531949601418193,1.076869965718802,1.0950963893371377,1.0532647287662387,1.0568007418166472,1.0710123564666778,1.060106288150788,1.066264807633486,1.080129229105063,1.090512920493889,1.022306602407422,1.1089606285202704,1.020940880385672,1.0606210337740123,1.0468535072154377,1.0657611565288994,1.061661705596462,1.08295883908005,1.0752042894933964,1.1422027556135954,1.0638142313458754,1.1053524275851567,1.067746425606977,1.1003890940566174,1.1052600487634034
Shadow Dragonite,Steel Wing,Dragon Claw,50,,,1.1762910005673834,,,,,,1.054737580394142,0.9712953697604813,1.0337886472378068,0.9797096096468527,1.1697588434057424,0.9876061146998297,,,,,,,,,1.178893699915526,,1.1943918437828127,,,,,,1.1574638735770493,,,,,,,,1.197764114564278,,,
Shadow Dragonite,Steel Wing,Outrage,50,1.2165452984456135,1.237210378590035,1.1375363950837125,1.1251957139907056,1.0890227829349608,1.1041055534189483,1.1157804343180815,1.1224493117109842,1.1383460010505748,0.9406826697004331,1.0695206655440472,0.9569854171693876,1.2782031096451807,0.9529383156255624,1.121606822913273,1.1835693003796186,1.2375401438464255,1.1561595268485128,1.1530580809761626,1.2060865504603406,1.1218385317444557,1.1523833045196346,1.1165718454826306,1.1285972206900239,1.119286010829644,1.130705510297097,1.2782750704414672,1.205755316244751,1.3147632180224975,,1.1018611844700856,1.116226086123108,1.228017455667286,1.261060259273943,1.240742793051243,1.2702853326472163,1.2673712405142252,1.164446950705098,1.1530992662118722,1.1244485184766229,1.1416057825378412,1.1727397361484857
Shadow Dragonite,Steel Wing,Draco Meteor,50,,,,,,,,,,,,0.9801151709352052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Dragonite,Steel Wing,Dragon Pulse,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Latios,Dragon Breath,Dragon Claw,35,1.0317132477530313,1.0495475781048509,1.0490667384477212,1.0430398845192705,1.0343096091740605,1.0608924649826852,1.0261348879487275,1.0345089098085016,1.087579194031138,1.001229847964028,1.0655462300773244,1.0000040181463834,1.098138600179465,1.0043520110883573,1.0651478525620028,1.1010498892805818,1.1176990348563651,1.0823781081645407,1.1224163711195188,1.161617112402603,1.1156896641263456,1.1074805798332934,1.0379877017442039,1.051454775565167,1.0588481275298491,1.0789615445252665,1.0805283456985302,1.0387059962207772,1.1085804735075984,1.0349264587486273,1.054632709503056,1.0528752451043142,1.0823107135232735,1.0899751719900952,1.0798376138552008,1.0768020942962215,1.0903511073312677,1.1122001889140505,1.0519029576220171,1.0703984746626258,1.1277242011656161,1.1187476553628721
Mega Latios,Zen Headbutt,Dragon Claw,35,1.2293492069164567,1.2822793900645968,1.2477345799375528,1.2730386957688065,1.0759836143181165,1.0935632825323571,1.094021982417651,1.1021170376708695,1.3018559340376672,1.202369995618003,1.2827437119810048,1.2106039751847966,1.3162978473732432,1.203860766925017,1.4258810438508382,1.5370373915660744,1.3137801056634286,1.3026687612353849,1.297929868456843,1.3521311102527565,1.3086929405928658,1.3173964439892947,1.3852472217968506,1.430308866574009,1.3903423761110025,1.4467304963629986,1.312635566727349,1.2499095073698951,1.347859095783565,1.2590972025421627,1.0930199017810311,1.091066616513417,1.2640049340020274,1.2853413327758023,1.2925714591995479,1.3089280626972766,1.3949604839955634,1.4585354704019835,1.388404285911989,1.4482268970166103,1.3296645214516731,1.3331242759920436
Kyurem,Dragon Breath,Dragon Claw or Draco Meteor,40,1.2719937768060818,1.2700019999336243,1.3182631634701976,1.3212305563962263,1.332277486333395,1.3631455102064187,1.276449515487741,1.2603302315554912,1.243762398046347,1.2164340717589734,1.3194443207627615,1.2256604583771078,1.3812390328666013,1.2574321923932865,1.3782587845611414,1.4075588726202997,1.3348411349318168,1.3267713082215227,1.4113092315005478,1.439414363303133,1.3149658829669564,1.3390126516302787,1.301902903702713,1.3093025634924487,1.323598057206628,1.3358176036388631,1.354040284889086,1.2835565334576742,1.3566755723408572,1.2692815326884,1.290484208619138,1.316790178890865,1.3746965394009163,1.3356772108852284,1.3436775973968826,1.3568734396195623,1.3254581744830358,1.321128807986262,1.3399747318222768,1.33972744395954,1.4021228758997137,1.4125871313018672
Mega Rayquaza,Dragon Tail,Outrage,32.5,0.8514699818017765,0.8488548761394663,0.8663910109019325,0.850981440148078,0.8420102205229912,0.8495788370321773,0.8786480402760987,0.8808332865558757,0.9296663968364657,0.8228158675451618,0.9302056118083983,0.8254759385792659,1.0669408364334652,0.8395739615685406,0.8639564749709949,0.9028899691421178,0.8873189791400091,0.8637038103455806,0.8836546136538851,0.895388887986277,0.8896721042585134,0.8723365344463716,0.8695045488752318,0.855749335744606,0.8709676891897714,0.8630138994973703,0.8814126960421066,0.8393064314170572,0.9105933276279051,0.830786135407039,0.8573454488879961,0.8427943762714736,0.8794472800707543,0.8684891143672127,0.8684521866310305,0.8636594444238558,0.9026499052844437,0.8899607714824583,0.8732609480282467,0.8730321227642609,0.8720595157892009,0.8870969180633791
Kyurem,Dragon Breath,Dragon Claw or Draco Meteor,30,1.4701179175751036,1.4335711825215487,1.4279210954400234,1.3690804894989705,1.4441796727388205,1.4479755717379108,1.5225599030550947,1.5405710324736186,,1.367805469063801,1.4904280694240128,,1.4556262679560064,1.3329397093164062,1.4688056242642589,1.5122975747345098,1.5034775639146658,1.4547989818248788,1.4996144216875615,1.5009467815976894,1.4813001953472436,1.4918042513933147,1.4790811134475426,1.4784901226883151,1.4944164180101922,1.5004536922446976,1.507638028878384,1.4441534596691445,1.5389992246951112,1.4366564634503725,1.435863052744282,1.4429974838035857,1.4882013673961232,1.4157562695593604,1.5449542138044143,1.535010233822569,1.6044893612268702,1.559631555554361,1.5429338641356158,1.540676927022186,1.4860687699636017,1.4795953246778604
Mega Salamence,Dragon Tail,Draco Meteor,36.5,1.0095808698880295,1.0089467334018125,1.0639090182529582,1.0259988785442744,1.036236856724154,1.0330350182924293,1.1014691502273384,1.0699290366312306,1.1299596699079568,0.9861119577968857,1.1398742276742555,0.9913380709813161,1.228312916380345,1.0035283664454622,1.092088416523507,1.0800651008986062,1.0951129571473643,1.0400234930178478,1.0817295522165904,1.1029653419760457,1.0834336349274198,1.06556739879389,1.04056469474496,1.04202279079,1.0529314827394667,1.038749479333887,1.1616113955634388,1.0234960701023423,1.0762011791397095,0.9890067523178637,1.0558835866925835,1.0363632723288636,1.0604534666802374,1.0368982735034757,1.0470424159905367,1.023316186598482,1.0571532478883674,1.0678143839828023,1.0728338732898592,1.0598372517296741,1.0842748879917723,1.0840945707755172
Mega Salamence,Dragon Tail,Outrage,36.5,1.0275672217047498,1.005515595684283,1.0374039963830926,1.0158763817837582,1.0181354095010031,1.0140089927419598,1.071394035850558,1.0542660333863687,1.095880242970378,0.9884741580055137,1.0966716064527522,0.9887710184350385,1.1351632776017258,1.0020828900815262,1.0445681445043702,1.070402948661587,1.069733238265308,1.0254294167504736,1.0616718805603436,1.0875298407845104,1.0476788386038864,1.047952425790724,1.0236213654523791,1.0222994136369603,1.0288175144458638,1.0318211190350994,1.0688227451152892,1.0035993146157083,1.0568767752308201,0.9818500763228488,1.0291070686541535,1.0102052672728383,1.0326471611667436,1.0311296285205012,1.0285427286083655,1.0247210873174453,1.0604605622788652,1.0531785088861374,1.043169994300944,1.042745323707302,1.050378869797809,1.073077952946867
Mega Salamence,Bite,Outrage,36.5,1.2518901360959165,1.2550587793390084,1.2298854362538572,1.2186617738708212,1.219572829395692,1.2338438008927948,1.2236774440356855,1.216669292493704,1.3061024142616482,1.1625336482367188,1.369338838990268,1.1984836710132876,1.5408819746015772,1.2249670156937351,1.1624791290544698,1.178638256830293,1.323890751951831,1.2791933102461235,1.178252534141002,1.2249615443677109,1.1259801729479904,1.1350063764554992,1.1194559259360815,1.119476969306468,1.1288711199133155,1.1338077493684096,1.2976890649682726,1.2360719630460413,1.2877588777642879,1.2349849085252944,1.2438737214695952,1.2324289993442004,1.2802335310045148,1.313913845299121,1.2851313406161626,1.2959660757692923,1.1495833094622692,1.1543143044585495,1.128413446319917,1.1410414015300838,1.2973423154218346,1.3461692352978105
Mega Salamence,Bite,Draco Meteor,36.5,1.373438995218665,1.4130051559339019,1.3698683371044886,1.343516762028611,1.3655842587076517,1.3907042229131983,1.3467864594118681,1.3245157825569926,1.6019321994800653,1.3046277118519323,1.6723382983866817,1.335296396938998,2.025053070021148,1.3657178003109796,1.2739518597835446,1.2655818195219912,1.4592185787422793,1.4431300939038467,1.2544570536408246,1.283484020014224,1.2285903486289151,1.1955932782500949,1.181419769781884,1.184896025253502,1.2104504868877588,1.1975870735449816,1.7026388377384603,1.3860195411977312,1.5547816707619082,1.380988686828351,1.4448234822241521,1.391657492692002,1.4984818243314495,1.483363175692434,1.4646142179243007,1.45002612298082,1.1957761453302098,1.2143809424730452,1.2156242284775876,1.2115295076404027,1.466267502626751,1.4924526456931637
Mega Salamence,Fire Fang,Outrage,36.5,1.301689299019441,1.3273875029689302,1.3053805193933639,1.3080092201186866,1.284389222227529,1.309223132444784,1.3432546355674406,1.3523002952404448,1.2803803246416288,1.1688022619006908,1.3355413409705625,1.1712008371645093,1.4727477541795808,1.2000365163220257,1.3128555540001814,1.378645422870429,1.3807828617401214,1.3569344214054868,1.3532347017336612,1.418766977473778,1.3081738475323341,1.3577239707963742,1.2899370602812394,1.3089812649324803,1.326710265217573,1.3478554938377976,1.4653814650753056,1.3719353058230062,1.4422386787774175,1.3658142371901598,1.3162424975268014,1.3136842222734257,1.3246305469400772,1.3820282797536525,1.4074492463694717,1.4291820451140829,1.3301966927424864,1.354411517428221,1.2820200487178355,1.3253979090721635,1.3421305605031246,1.4071877128476102
Mega Salamence,Fire Fang,Draco Meteor,36.5,1.5094333091468644,1.5295289460441561,1.5084605570562324,1.488872056987551,1.5066151311443863,1.5607754124280153,1.572060083954137,1.58964542844299,1.5836509024513907,1.2959613194760549,1.6377785471381785,1.2936775226846084,1.8338097813579426,1.3077220725584648,1.5726281387797345,1.5830758037659531,1.5831916784075244,1.5680208576622408,1.5677670786245383,1.6449635044912512,1.6346502490072257,1.577812966234982,1.5094495209171555,1.5219673656496948,1.6174175730885467,1.577766089327923,2.2418016683108557,1.6857658512151363,2.078348966904223,1.6544387915709946,1.5885050589793026,1.5635592658457025,1.6484563973921953,1.6209727053565226,1.7726012872478016,1.7471002695261875,1.5440422167266497,1.5855051175769694,1.5662594004371226,1.5671920853089185,1.6280737782515626,1.6453234071909106
Mega Gyarados,Dragon Tail,Outrage,45,1.1927990562230129,1.1767292352417975,1.157510176018263,1.1574014691328833,1.152427786170594,1.1708245041186245,1.1881194377082285,1.188950677062426,1.066200124514141,1.0651214055356752,1.092821081932611,1.0911273789327065,1.1006612037770065,1.0766968461170099,1.2347213028048314,1.2545615738778635,1.2027370309500678,1.2008312310637945,1.2020667249113357,1.2567718337584635,1.1756826285237054,1.20779695871154,1.1716110540186961,1.1841015241503647,1.1812652820811684,1.2116737127026496,1.1494753381343232,1.1466975588257204,1.1540262315512861,1.1367273921738488,1.165286073742345,1.1763667252882006,1.2576164155144012,1.2540537963485885,1.2211144266162703,1.2098808815070965,1.224225455496098,1.2248376578049696,1.336033783781701,1.2051338353475236,1.2095997627635358,1.2508230822866864
Mega Gyarados,Dragon Breath,Outrage,45,1.230135721725473,1.2138065160315097,1.2057336041638433,1.2186217482914254,1.1875760625151692,1.1916850512632096,1.2031675493061922,1.2118045705428433,1.1032693139763619,1.1053528336100666,1.1406713953371692,1.134347050126702,1.118169864963174,1.1038579459464595,1.2999823249385867,1.3094465914267581,1.2618126399756908,1.276355036996417,1.2906856396842208,1.3648315053696378,1.2163378489808128,1.255841676851528,1.218025486892121,1.2359110308163306,1.22660164597215,1.2495381189834613,1.1921284412687676,1.1882940587386221,1.1966416336310033,1.1796783169040617,1.2076200116717903,1.232112127961684,1.305824532807549,1.313787812926806,1.2739244182164076,1.2549403921074014,1.2587371455612335,1.2567287962385962,1.3870718349203257,1.2499723677466106,1.2975574035330664,1.352430790182894
Mega Gyarados,Dragon Tail,Dragon Pulse,45,1.29073274193143,1.2798688149580149,1.2535704110950536,1.2558108729440212,1.2526998474769744,1.2677977557525704,1.2765520878391032,1.2719077702624617,1.153983443570051,1.1581172408329066,1.1929308642077203,1.1803555864071973,1.19110455676084,1.1679627431566217,1.3496651134977227,1.3704774836754505,1.3137239325692458,1.2974686647075397,1.3064929878414688,1.3650845394993718,1.2769416113127978,1.3071782533611216,1.263189661164387,1.2757389798556642,1.2890930780905017,1.3113191718480097,1.252625513716328,1.2409698625599186,1.2409043573261884,1.229999468638394,1.2594833952699709,1.2784646934907777,1.3561244935280723,1.3609797712530813,1.3182020525666724,1.3061946799335615,1.3305373336893485,1.33230129329806,1.4161631267690111,1.3007293188842177,1.314845489149579,1.3622612256891953
Mega Gyarados,Bite,Outrage,45,1.3443618567642743,1.3391345512825445,1.3382355578373322,1.370138301780297,1.2864500286696368,1.3032643167339908,1.3286143133360095,1.351443442279998,1.189666983085236,1.205486884914056,1.2291996308518058,1.2370450073662398,1.2547358118825525,1.2490346547658058,1.2061717754853867,1.205480931746805,1.3948029511178466,1.4240912960260375,1.1693230708112974,1.2287778629726898,1.1697242203558267,1.2010115617463428,1.1596749537159723,1.1732275219226824,1.1760970989488992,1.1887317013915424,1.3095709163876152,1.31416150418215,1.308364738682803,1.3063449607597504,1.2906447121472615,1.3281555354679975,1.4186443583243644,1.44179058931341,1.3917694434447416,1.3897424027322507,1.1906123429499424,1.1838769800142837,1.3096732613178965,1.1868085810706888,1.4145237658057366,1.4761982789248491
Mega Gyarados,Dragon Breath,Dragon Pulse,45,1.3372556434655163,1.325113094640601,1.3178192770215644,1.3278910716335852,1.2909867298543785,1.3002560856296275,1.295685357366412,1.2995703942561372,1.2008360842065644,1.207742986839777,1.247797349891282,1.2365320964103186,1.2171636213324601,1.2042741242758643,1.4302707703487292,1.452862063153305,1.3768788316944205,1.3858806211036556,1.4074255139952296,1.4902349684991376,1.3190510090591019,1.3639078519346381,1.327967759734631,1.3489398012941034,1.3337579890633875,1.3629794301743556,1.3026738374070506,1.2899235573370573,1.294584308167189,1.2825625034216468,1.3241409122508503,1.3396755531135387,1.427940991128864,1.4256770933040064,1.370000734999054,1.3680269397054006,1.3672442395589,1.370704165023269,1.4753172315225294,1.3563864101711347,1.4163078358551209,1.4797506660915276
Mega Gyarados,Bite,Dragon Pulse,45,1.4792579150189813,1.4822663800451996,1.4825987175915287,1.516649670431413,1.414558198524596,1.4386418663835734,1.4491437366713726,1.4688102928017277,1.308694281674267,1.3338770118050536,1.3618072579886724,1.3656124426138108,1.3843939527256128,1.3819074947260157,1.3115180102669919,1.3183286756999755,1.5417439012667382,1.5742589308376846,1.2656897145399764,1.327446131979206,1.2629137029523447,1.2997419339071634,1.2573557738863432,1.2710144243649797,1.2731747385803818,1.2954763641979614,1.4491090740673847,1.4444148299397366,,,1.425573956021377,1.4577986005667842,1.5738482643725589,1.5852329743309168,1.519301420104851,1.5325743001345198,1.2827258069953629,1.279375731514541,1.3863540744243072,1.2799870052894264,1.554880876024593,1.6372294968267773
Mega Gyarados,Waterfall,Outrage,45,1.5213171359951294,1.5686647361334067,1.5130194520618352,,1.4906211884953902,1.5456563335877713,,,1.3868994428300183,1.4264455864494967,1.4296681575799726,1.4739641490119815,1.437216225921109,1.4363074885163871,,,1.576553959200195,,,,,,,,,,,,1.326881885560812,1.3331121003919193,1.4953481548002372,1.5672822255964067,1.6270966660946828,1.6799750544088732,1.413901848173253,1.4207708609934586,,,,,,1.6937842060362345
Mega Gyarados,Dragon Breath,Twister,45,,,,,,,1.5904328935308898,1.5868063040603935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Gyarados,Dragon Tail,Twister,45,,,,,,,,,,,,,,,,,,1.5910895133167207,,,,,,,,,1.5481989173549409,1.5325910992125373,,,,,,,,,,,,,1.6133343521127024,1.6790905576487472
Mega Charizard Y,Dragon Breath,Dragon Claw,45,1.2000074838199355,1.1803727543888296,1.1877372532395298,1.1837306280355426,1.2075974956171625,1.244091471362622,1.2040372798255823,1.222149920258193,1.2066393629090173,1.1350360319964383,1.1311154830474404,1.1261447101754454,1.161271984444881,1.1475602329606958,1.274232588234943,1.3237202427109693,1.2380273177723378,1.2594917719898564,1.3114150991356066,,1.2072978985543175,1.219026017865355,1.2681041535695978,1.2772330591530963,1.2063869572090387,1.2363120261226306,1.3380454463632585,1.2689629341686093,1.2892876997034035,1.1813000768059048,1.1839600848403926,1.2134013553193628,1.327704193571026,1.2904742124170914,1.2793929526946295,1.29576671501504,1.3028801636731147,1.301645185121912,1.2086309104588617,1.2276511166790005,1.248751689527212,1.3267220386717655
Mega Charizard Y,Wing Attack,Dragon Claw,45,1.4468020969581892,1.4566549945245253,1.305363002425014,1.3143429676351133,1.3123571580388238,1.3568226054708872,1.3192013366245796,1.3534975780283374,1.3396531552609774,1.269162741171805,1.235132043892059,1.2418609187046452,1.2592311309986561,1.2580372256793853,1.3907937343751493,1.4636942587899475,1.3427697118434658,1.3663659860516693,1.4337889659719407,,1.3279174193202725,1.3478172595035272,1.3753886305129417,1.3872374600415092,1.3227954784476534,1.367812361558988,1.4673363062844746,1.3950871407079362,1.4420064596664337,1.3239912985511542,1.2902373154619713,1.328993698677438,1.5980744972576015,1.5668316049506101,1.3793872301388175,1.406372928260112,1.4147540342787794,1.4268013380756952,1.3230966185704154,1.3514925886073745,1.3612480563389482,1.4334005245255146
Mega Charizard Y,Fire Spin,Dragon Claw,45,1.5164608097890813,1.5326925422969646,1.502086136895616,1.5441041212296227,1.4564848539691877,1.5371749808613069,1.517076916763327,1.5746405486500497,1.3240450782822657,1.2499754667634118,1.2162201492448166,1.2247015331726219,1.2213041459174618,1.2255168458470764,1.5563842948268158,1.656089380660345,1.4946742187272435,1.5454957532936533,1.6022074450104113,,1.5258947893067298,1.5781333751928974,1.5203543594256854,1.5535551954396192,1.5245550015673386,1.5888859931492811,1.815456056052375,1.7283717604076796,1.8168032239157808,,1.4530117223374304,1.5061133135214868,1.6353170632767018,1.6061181551653245,1.6858980215789,1.7408640988518005,1.563061982588222,1.5830761894046395,1.5190301926675434,1.5640090901329273,1.5371081016353598,1.6230665842442744
Mega Charizard Y,Ember,Dragon Claw,45,1.5182540717103907,1.5299907201652394,1.5196168784817863,1.555594744059067,1.5048995333817632,1.5691581740024907,1.534782310290679,1.5933071127993974,1.4079553320918734,1.3133225670304312,1.280116713034628,1.2961582936821925,1.2835918737976446,1.281708421686826,1.5980367860239737,1.7033160440905843,1.5274122044156464,1.575515982552596,1.6615686334113013,,1.5159618178737675,1.5679654136917902,1.5366094520807383,1.5704863177554393,1.5273495221528561,1.5923185258712707,1.8312657259908711,1.748640857058017,,,1.470868379885921,1.524456798949145,1.6848735983491596,1.6462837168747055,1.703871534548007,1.757810470543564,1.5894791068381966,1.621312515214572,1.5354965807205467,1.5811816494713808,1.5681121608764825,1.6579189030304369
Mega Charizard Y,Air Slash,Dragon Claw,45,1.5859264624967073,1.6245056052434863,1.373606337981169,1.3973999734888312,1.3390972569595438,1.3988856127579743,1.3529102103947845,1.3934889080820598,1.3954189543998288,1.3157826346741932,1.2837744208276383,1.2978376616733776,1.2847280851817355,1.2956484581093084,1.414651847248829,1.505942749076831,1.3771184354743344,1.4185216826713685,1.472177199360811,,1.3992148746833215,1.4447614721563793,1.3859393755985632,1.40554715085974,1.3774017430453591,1.4269037523141521,1.5210624508615624,1.4602326160338461,1.4794739942773965,1.3920842820016555,1.3329548207185438,1.3772653481088484,1.7164005227955081,1.69059521084334,1.430467276311971,1.4554774101888204,1.4352964207054268,1.4479797116982143,1.3960877784068964,1.4181535120393711,1.415682279516594,1.4930469654484009
Shadow Latias,Dragon Breath,Outrage,36.5,1.296805800633382,1.2107900981721178,1.1906810745194945,1.1712489330363738,1.2446725167807446,1.2014193215755704,1.2235810746110671,1.213253083656491,,1.1057565168666532,1.2761366847425335,1.1062731301338606,,1.1470960168999207,1.227790617908789,1.27689011187746,1.332190173417985,1.2327847339587108,1.2784458211895644,1.2706615626587032,1.3388958615664108,1.2755957056974987,1.2336877213026958,1.2298788712627633,1.2532592234976663,1.2542508428896695,1.2743214004636931,1.1947757608908411,1.3338047825764918,1.1977695694038766,1.2129887069848904,1.1980351611041855,1.2220214563683642,1.1959962307869527,1.2622445668224258,1.2619515401237398,1.4117893256736347,1.2548309173748187,1.2231281190310554,1.2058821408107576,1.291809367306035,1.2697397787285265
Giratina,Shadow Claw,Dragon Claw,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.651425210909762,,,
Latias,Dragon Breath,Outrage,45,1.302755845319638,1.2795258235375413,1.3300635454602765,1.2879748924069905,,,1.2970863225701155,1.2784000883032614,,,1.2741250594848563,,1.2572326385713035,,,,,1.364070344891768,,,,,,,,,,,1.3286047853138092,1.2623637178244445,1.3470224133822524,,1.3295273455340997,1.3260629250607103,,,1.3209049198108047,1.323797006951185,,,1.3822492729836713,1.4061271837207585
Garchomp,Dragon Tail,Outrage,40,1.1331790619643467,1.130113499674316,1.1847379692629432,1.1554115600159067,1.1468819919769706,1.142238209070777,1.1876259630456512,1.1859153939660383,1.1997472226995523,1.0987002907241636,1.2468343522411374,1.1237864926425567,1.365756900116448,1.150086949278516,1.1957201879118389,1.2284581603077136,1.2318890284387423,1.1899373275766876,1.1902674101160193,1.2219487715947701,1.2056812843805156,1.1982906117472945,1.183501651449091,1.1717585398050836,1.1918199628490849,1.1905637709639811,1.2164042635067231,1.1489396217641024,1.2037015977882477,1.1112538362697773,1.1515808448721914,1.1448111408485746,1.1211602841497204,1.1340446139900342,1.177102046437258,1.1766188575284378,1.2015977549548575,1.1916673061009477,1.1981713705196988,1.1970573268314573,1.1919348353709203,1.2057521427606106
Mega Charizard X,Dragon Breath,Dragon Claw,35,1.27659754957916,1.2885763006285134,1.3300564739664573,1.3181600028544802,1.2848241963354814,1.3018901850972073,1.2708758202368244,1.2764053166865335,1.367420477796996,1.2125189495356634,1.239056143930438,1.2264331913660678,1.3226171289702158,1.207038335708381,1.3246246040016365,1.3734111691751614,1.376263276715076,1.3073954717786171,1.3376756708313178,1.3621480228695055,1.3260146459909874,1.3505143580106587,1.2969654548934444,1.3272960116254144,1.3217867166991395,1.3523032760309188,1.353348056974811,1.3013506034436848,1.3606528340895845,1.2736889658737034,1.2697455772908186,1.2611007719267842,1.2792759789279753,1.279290217279075,1.3109563416753218,1.331353759467093,1.3950989275497865,1.3630966206225725,1.367973648107799,1.3453982357892698,1.3465839278690743,1.3598477957087063
Mega Charizard X,Wing Attack,Dragon Claw,35,1.5979630755053706,1.6476395302913982,1.5441609704936605,1.5647740514446091,1.531464067435231,1.5774586552557883,1.505125551482641,1.5402942592974325,1.6410146543075796,1.411405066251421,1.4126909461170913,1.4270456654734582,1.5868479955383357,1.438922251803558,1.5736685026131751,1.6794111528993514,1.6414559436873515,1.5839879064843403,1.5701917619257009,1.606035975080226,1.5353314029682534,1.569204927553737,1.5228010839430977,1.5678835898969594,1.54203144942,1.578484011218591,1.5804644434980049,1.525381047243591,1.5882542315706083,1.4990653872659996,1.4727214899453893,1.5116968669317437,1.6601137488090307,1.6911633669823842,1.5241359626192394,1.5585419670750496,1.6712824945506757,1.6516732254354343,1.5807475164105993,1.588921454433597,1.6017292882182375,1.6369768776914415
Mega Charizard X,Ember,Dragon Claw,35,1.6059229438778246,1.6615147261745224,1.6762525926499725,1.703267686453107,1.6683228304430486,1.7008368517527022,1.6372168529038424,1.6727147875415043,1.668230775554021,1.4273547499638375,1.4220271635383408,1.429490381752142,1.586148659314011,1.4383489617669358,1.7040103420478587,1.8204821468706858,1.8099641958825652,1.757908385237613,1.7596555213902412,1.816050267210959,1.7084277308019575,1.7558066045838572,1.6424241270349098,1.7027677224578035,1.655372491011735,1.71337410260423,1.8362232441786999,1.7737825528605966,1.8880809553559639,1.7578579122963516,1.6476793946949153,1.6851281829096894,1.6779510039047987,1.7118782387655735,1.7636941777726556,1.8311625801102533,1.8253683089751962,1.792455195994708,1.7222992130741088,1.7271200164468155,1.733270714306271,1.7797709799686996
