Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Mega Sceptile,Bullet Seed,Dragon Claw,40,1.50897618413439,1.4330446283420741,1.57986435342226,1.4228984778744178,1.345331051538299,1.4160949705711638,1.4021355493008085,1.4709865035558642,1.3810613238561837,1.4567543235560891,1.6023766218509863,1.3722287260545325,1.3826840541100671,1.3894890610820805,1.606292944891727,1.4174937534702945,1.4044237359596112,1.5308331801818358,1.4290560427452343,1.5192821457141563,1.450427335775252,1.5572298508372429,1.3487669886043387,1.4539427123284188,1.3391488491885042,1.4111835166182904,1.3948665672933596,1.4787748232918208,1.3403552251135895,1.3455165202377097,1.5481817829006093,1.5278432685217525,1.331002277978351,1.411881883085442,1.5882164222151647,1.5332294171403387,1.5724437652404617,1.4565579775838018,1.3560464455753103,1.4199253898062671,1.4266177683691623,1.503006450202252
Mega Sceptile,Dragon Breath,Dragon Claw,40,1.1345830616199932,1.0907519494475417,1.1490956589059114,1.1016872350222806,1.0675624208980492,1.1077133652984212,1.078988518071751,1.1173780425891402,1.0415993701382122,1.0776731192657458,1.159001146384837,1.0885916479990927,1.0990931352329134,1.0815091742842367,1.160824281649084,1.0892733203775682,1.1327055923719742,1.2127090517940347,1.1456801956137836,1.1860179916381146,1.174023851564866,1.2550776480627508,1.1003233502989824,1.1565134107735404,1.0651747679980377,1.1111794284779855,1.1079924989181131,1.1620368322354184,1.1159877349468428,1.118432558953005,1.134166278573369,1.1284346256840143,1.0870506192136586,1.1475259075355264,1.1617560324322223,1.1732246210083543,1.2065061738901983,1.1646811667671906,1.0826740670638542,1.1308967705214519,1.1286860073347447,1.184919049464802
Mega Sceptile,Dragon Breath,Outrage,40,1.1799608732790212,1.0456478411418388,1.1886687225849535,1.047169932470239,1.0633081703895517,1.057136347231993,1.1119498158098882,1.0654433356484019,1.034751140528639,1.0486018619361843,1.2433110672721308,1.0575136816776918,1.1621370377897207,1.0513655286758004,1.2833842309827874,1.0370779254580789,1.1107252894563302,1.137862293380612,1.1270583973555914,1.1333713190346097,1.1275416811905592,1.169621921649076,1.0685900994630606,1.1023109163569482,1.0483169126364418,1.054710764073423,1.0903976535077173,1.09464826657691,1.0887709270608898,1.0678652630325494,1.2523989016959676,1.0910030271277213,1.0452671018980986,1.077028814313893,1.2115321049186278,1.1274248011873667,1.2317743505111916,1.1081448357267873,1.0580614596699685,1.0767117628370284,1.0943180575847025,1.1265591301668705
Drampa,Dragon Tail,Outrage,45,1.3829771209713713,1.3263021574804597,1.4846714230415727,1.3369443379386636,1.356192861573873,1.3532691037967273,1.322444387583109,1.3490839232696892,1.3671111328408183,1.385700990987042,1.5550568533964184,1.3372700647727689,1.5608677892983114,1.342699104805558,1.5855362472237646,1.341442254303165,1.4166268472773267,1.4533615852801591,1.434553906992891,1.4357764931399333,1.3898307990331373,1.4478863688744887,1.327963232146868,1.3815893747854573,1.3348268672580843,1.3480086668574467,1.391639178727701,1.3960032697023608,1.376097286877956,1.3709452947371163,1.3449082159351107,1.3764407963674468,1.363524399715334,1.3428861108312833,1.392923112819283,1.4053671309408844,1.5535104402943931,1.4009393119729436,1.38653266918361,1.3946066462122921,1.3750459663873897,1.4031326714173549
Mega Garchomp,Dragon Tail,Outrage,35,0.9785023466847911,0.9663987802749892,0.9436499826635087,0.9715754926223599,0.9609583539143928,0.9713262185234524,0.9439773691884669,0.9719064387339417,0.9742474871279584,0.9980637144986226,1.0115306870612446,0.9563442071108268,0.9909876918309733,0.9556487393030401,1.0648012388950583,0.9669714741810106,0.9991394687624998,1.0543431962897698,1.0179576773881938,1.040760418396148,1.004969552206965,1.0615508279094927,0.9757338949937915,1.010662507893053,0.9650169657822657,0.9867462491312702,0.9860364475645526,1.0179141222291677,1.0092583289609312,0.9993246034138227,0.9596237435479489,0.9862226879341793,0.9488575987313512,0.9803853390483185,0.9975500839323097,1.033213213991743,0.9716254518947202,0.9945698628312198,0.9686078115054173,0.9968454010775032,1.0059830843694406,1.046493137342596
Dragonite,Dragon Tail,Dragon Claw or Outrage or Draco Meteor,40,1.2340163670931417,1.1923234475600908,1.1755150038617264,1.20701054682412,1.1841717932214721,1.2049091855555056,1.1647415043072462,1.2034539199798548,1.2023962059931281,1.2226863200628513,1.2207114877482654,1.2027075746466664,1.200514299166779,1.1886045309032227,1.3384816594947253,1.217045217934481,1.2636295823828931,1.313302558891255,1.2638069219507042,1.2899151736525138,1.2522490604708216,1.310483678954356,1.2162590531726893,1.2585382701818475,1.2018838150525326,1.2278516822697356,1.2077068808001152,1.2510208203106217,1.2361078550669629,1.221303087474091,1.174081674234486,1.2362323902666201,1.1782834896938539,1.2169246317376652,1.2370941921434173,1.2679935965156748,1.2192868851549115,1.233834472397882,1.2234129616968823,1.239764112339646,1.2237196497609748,1.2737112018843735
Dragonite,Dragon Tail,Dragon Claw or Outrage or Draco Meteor,50,1.159620489175859,1.118842363400902,1.089892917355387,1.1311317518295043,1.1116549500150512,1.1296581797861565,1.1087513656874333,1.1382684911032317,1.093081635887286,1.1282239111449794,1.1390629620477757,1.1237751303354493,1.137842639747116,1.1139667637181656,1.1714824229594671,1.1231997848417548,1.1551031880736424,1.213156614523086,1.1624869817215824,1.1968439165018943,1.1623094989114222,1.2314184652483728,1.1192158225514586,1.1580814266401658,1.1232345366092964,1.1492302031805732,1.1286204741068422,1.167601096311968,1.1567348017162142,1.1393642713345316,1.1140193852602165,1.1606439438040905,1.1127550539598152,1.1421705461623701,1.1428664017991976,1.1799878152322558,1.1193557100621274,1.1428708866942212,1.1160151465653603,1.148641108802229,1.164693839013288,1.1963286522158283
Shadow Gyarados,Dragon Breath or Dragon Tail,Outrage,40,1.29400699872333,1.3181498388089312,1.5011071505229383,1.347986490378706,1.3262434701911419,1.3362587542263933,1.2941883653584498,1.3305958661809083,1.2791403802773684,1.3123354115175692,1.3245322304274032,1.3152355760077452,1.2712445194743522,1.276536408397,1.226692636035536,1.2847831933647975,1.4197554621031123,1.4676165663073912,1.362032662671879,1.3993366338128086,1.3799031232559424,1.4470177924826237,1.3331419223874525,1.3843270457309709,1.4326119128408488,1.359697477617432,1.3557743905370967,1.3769832187334712,1.3432782224603785,1.341897659741526,1.3140426708580741,1.3675413319361973,1.4192000103987599,1.400625225441866,1.374201994931655,1.3910565101010428,1.4568031200624605,1.3781290356002383,1.4277613686244266,1.3857984671568082,1.358875736704533,1.4008368367174533
Shadow Palkia,Dragon Tail,Outrage,45,0.9662297822313252,0.9117040329913572,0.9453689553892638,0.9369942376805426,0.93765311060885,0.9378094435047839,0.9409596568824554,0.9428766961939459,0.9177243039656341,0.9433124390959393,1.0032973754673646,0.9094274962226013,0.8729524112300724,0.9023435220639573,0.9538147209883399,0.901369898667407,0.9467357109652867,1.0020172754889136,1.0071581664226525,0.9882986430803133,0.9652969445539689,1.0010209582149994,0.9200735696093097,0.9612890785575949,0.9151318425248355,0.9342545276153879,0.9409203250468817,0.9711362215704188,0.945659414060901,0.9350484313309592,0.9116869445414677,0.9528806225016494,0.9133815792466748,0.940811558221682,0.9331555307827417,0.9699431593547257,1.0278620615649896,0.9652952255495817,1.0088497164790187,0.9720711345217528,0.9755011578560283,0.9835614260015703
Shadow Palkia,Dragon Tail,Draco Meteor,45,1.0127171027857123,0.9237910669838442,0.9484436600726849,0.9363998436963967,0.9366319574375375,0.9529521139034827,0.9252395283758371,0.9744936294996608,0.9290562525921106,0.955149322426519,1.027051441487789,0.9394036368350057,0.8764233269683109,0.9009229617676116,1.026434966685175,0.915381211826763,1.0319650598371908,1.0370763559312872,0.9899551718412751,1.0076902178014582,0.9683979146547503,1.0096495789499749,0.9599350756673602,0.9770391622557392,0.9385699685213197,0.9547639098973877,0.9778544982449391,0.9971572823003317,1.0184087433158064,0.9553773103958978,0.92319148523305,0.9632742461287693,0.9591686191421672,0.9657198379093292,0.9522622836069504,0.9868722090076544,1.0245817776807487,1.005018482817825,1.1321922890825058,1.0002076871176733,1.0028822167228202,1.0191915879026407
Salamence,Dragon Tail,Outrage,40,1.1788807553477778,1.142002443123892,1.1742675103147537,1.1560320899369465,1.1347439882517492,1.1479408130308457,1.146030063400389,1.168738043888828,1.1674427543977368,1.1966092665212276,1.3388377359102013,1.1769442970392485,1.2204081796908168,1.154891375428331,1.329836288867296,1.140581621321488,1.1841212527432134,1.2528859147468676,1.2521923535538013,1.2268765187991488,1.1933534858294428,1.2508890526993488,1.1572359694364043,1.202538914339717,1.1369249008625977,1.1688287478026247,1.1547877097658314,1.1889945665240178,1.1842158143273385,1.1599461915447045,1.139565626576629,1.1841211627275197,1.1327011753848353,1.1606705900321386,1.190254130182577,1.2060586813229546,1.272648389830195,1.2106865469507977,1.1745088199667026,1.1870621029387165,1.1860023654054483,1.2227754753172924
Salamence,Dragon Tail,Draco Meteor,40,1.2781450627772624,1.1551695950476224,1.1611156261408604,1.1660689093420755,1.144448269611047,1.1536702473552298,1.1596219533493357,1.1929467574823425,1.1935577412643767,1.2238487657339003,1.409974358247287,1.201214843860765,1.2391893550535527,1.141697871372893,1.4640672716546363,1.17274691143809,1.2988962281488847,1.3007210732856942,1.2314423497803872,1.254165849093626,1.2409594721493646,1.2599271995839976,1.1714137993872025,1.2243682379315752,1.1809443604104493,1.2016973958546258,1.1742885993172092,1.2138443044669904,1.2887162255191995,1.1950537898493288,1.1317212907983079,1.1990773081848876,1.183404878968183,1.1881395643569503,1.2168823845849726,1.2309467175661575,1.2539361556478976,1.2401110449175026,1.2963571679560109,1.2218659733284836,1.221871055587028,1.2510311378792849
Salamence,Bite,Outrage,40,1.4414063576329252,1.3864085160318524,1.4077909641107114,1.3831071028246555,1.4002022348951655,1.4269684224181372,1.3747466624426816,1.4290736069988181,1.40143151938983,1.46325103768718,1.8460725179553032,1.4113597420431576,1.5074861113067342,1.4113950666717638,1.724436944752915,1.35750321002221,1.2563258775580803,1.3522837590944963,1.518893484068646,1.5363266569061025,1.3023369657350423,1.3806421750981435,1.2469264770073782,1.3114312594557713,1.2424414373901314,1.295706635051715,1.2486243208155021,1.320351973842381,1.4225582459783204,1.4022647182498484,1.3580936857220476,1.4459992432180695,1.3595338755853363,1.4296832602712126,1.414090906144882,1.4886772397612302,1.4065174596948762,1.315368860799775,1.23895806179646,1.2595752180995394,1.4084001709452676,1.481379886102746
Salamence,Fire Fang,Outrage,40,1.625200914793758,1.5497028757221452,1.49282599483024,1.4777203156158674,1.4369936851488738,1.4996865026501751,1.4225345534151324,1.5224764736224325,1.4318169556905045,1.4757386882824803,1.744842280941251,1.3877798617046704,1.4367579031242264,1.3794747146303625,1.7317917996946142,1.3805199368406442,1.481776413227965,1.6128690500643235,1.553574932455889,1.6065461186663246,1.4844884827913303,1.6125063571791838,1.450111668156988,1.557624583098484,1.418025428232697,1.494386983361269,1.4343261047266431,1.515795547434726,1.6139838723481845,1.566477257927072,1.4261798036247912,1.543185081693639,1.4438450714752264,1.5061726389128096,1.573361375582503,1.652886428890862,1.602367798824056,1.5342422414718169,1.4812065611167056,1.5292372943195889,1.4830794001013745,1.570977071469036
Salamence,Splash,Outrage,40,1.7133242098882224,1.628358606500914,1.6280873172100907,1.6650443135391575,1.5617323680608568,1.6577523653666089,1.5366572845463073,1.6677165706116248,1.554363512524741,1.6469958492512806,3.9488967565005697,1.7577259451598661,1.7142500709274084,1.707139220945417,2.2889367018323155,1.7249965297057193,1.6378395909233412,1.733081804521032,1.7515357795118713,1.809563340527976,1.6031196368741154,1.787774025375383,1.5428259036221166,1.734244618950955,1.532913617595356,1.6417284657209437,1.5790392845121892,1.6661364619897099,1.661680267628223,1.65593288455742,1.536999844762681,1.7145573795940543,1.567281601669001,1.6509006300998605,1.6182116908957749,1.7059971093582904,1.7793939707901174,1.7199964107440862,1.6716118653334278,1.7000200951319262,1.6113976763370006,1.6889988769293458
Salamence,Bite,Draco Meteor,40,1.8457745896745867,1.5524986911836292,1.5397317521964142,1.5640872291517227,1.5993420713443465,1.6231246289172616,1.5866769829375378,1.6637667385556407,1.6155204620784764,1.6763840605854208,2.348764294365701,1.6929612781178227,1.8808701233633875,1.6129898769987945,2.3595073049694615,1.5814955233203778,1.448985416373877,1.4506999924325141,1.6396502799873214,1.7288990687214165,1.4224347948654945,1.457347375318335,1.3282704784991122,1.4046392080248509,1.3723314664159274,1.3953297085155962,1.3488945520988602,1.4265230562100302,1.813845443956968,1.6168380276186967,1.5158972717041177,1.6465513059339465,1.6277113954160967,1.6413760159101027,1.6431710209927992,1.6645721396581783,1.444678280561404,1.443728237823357,1.4200623510406247,1.3495598717054929,1.6375165230527644,1.6851526084061341
Salamence,Fire Fang,Draco Meteor,40,2.522611754548711,1.9054474315052765,1.733572069353303,1.7267842368183044,1.7498956394763845,1.7632155348331313,1.736935092785515,1.8175522819672396,1.6644569802375806,1.7379894663371245,2.184041350870726,1.5927275452376422,1.7604746200604844,1.520114208218726,2.32957818573015,1.551271429067185,1.9200808639906595,1.9717257110733937,1.8038277511961722,1.8906804220186257,1.846199121137835,1.8622049268852965,1.7439790309661944,1.8788474659592231,1.7628862270553125,1.7926004660479948,1.7158263211040052,1.7945145934509783,2.4087712247563546,1.9775723679069404,1.685908817479722,1.8367897892653393,1.7942215390814644,1.8097286898537348,2.012395408675814,2.025818096972604,1.9377125339036674,1.8565305956314686,1.9407485492774172,1.8895171891962284,1.8496178578172675,1.896150749873282
Shadow Zekrom,Dragon Breath,Outrage,35,1.0830698862018608,1.0277377223839745,1.1627575477945966,1.0388245675508583,1.0320548961300955,1.0418007553872481,1.0506796960355465,1.0417077895968125,1.0186615099823653,1.031736705634026,1.2121520843544802,1.0339297505093918,1.120158072545157,1.0297633539710294,1.2430138638256525,1.015867920599667,1.0976875925665668,1.1270170052215651,1.1202624786802107,1.1226472763497501,1.1049339329558074,1.1554427930064362,1.0519733691575517,1.0926803324193637,1.0229295613425453,1.0378676260169248,1.0739837476559118,1.0788248305043997,1.0743978178922418,1.0566477257927072,1.0470490355881554,1.0539789265339388,1.0392683172531676,1.0696619428133194,1.0737437698893648,1.0973938855798457,1.2001463454344294,1.0895204828104244,1.0617515545661416,1.0717699320694731,1.0831668604708946,1.1050816462426827
Tyrantrum,Dragon Tail or Rock Throw,Outrage,30,1.5413833959422099,1.4875428235531838,1.6855619132881912,1.53146710744772,1.5937822748432098,1.5197919109368165,1.5403695174503376,1.5292754647398796,1.5231157253020335,1.567975675466074,1.7589513211781436,1.5437651652941107,1.7148134659457892,1.5124278904679598,1.7480935070794006,1.523578480705164,1.5390882260732315,1.624133793148182,1.6179908834316936,1.6255943127103678,1.6014834370482116,1.6586551923153845,1.5486932494798002,1.5980560841134566,1.5646784677650138,1.5436114631454152,1.6312660479876904,1.5945088233879885,1.5821974390747624,1.5820039370225243,1.537070186672876,1.5574596382970465,1.5308761930139831,1.5137962297995964,1.560842822977361,1.5818485848170016,1.750862161472113,1.5792735272024896,1.649713784699185,1.612625356015012,1.564934355029468,1.6207102179552162
Shadow Garchomp,Dragon Tail,Outrage,30,1.1177567346638868,1.079208648291191,1.2125453821641445,1.093738132758997,1.0999100254290424,1.1046266221616847,1.117436934686633,1.1081299525207848,1.0912701088770724,1.1195388656418488,1.2576226489996476,1.105641590679851,1.2293903059838587,1.103920223265397,1.317364918795114,1.1077201034147697,1.1562123652717267,1.1837450405941556,1.1733619609678052,1.1778183629420556,1.127753110970158,1.1875763099598664,1.09557480495154,1.1384240169176199,1.115035362413638,1.1036752381341728,1.1425859498966195,1.1465499831706496,1.1368840959919027,1.1377883459667846,1.1238211666084525,1.1335792874607056,1.0562345440306242,1.0879442626466793,1.1459352781432488,1.1496879273580443,1.248211847504727,1.1313565907249188,1.200019533815392,1.1656725750845063,1.1475297414949759,1.1728038005506027
Eternatus,Dragon Tail,Dragon Pulse,40,1.1854569835686142,1.2005069941309918,1.168174971977259,1.2092065023766587,1.2010707140255554,1.221091303400573,1.2020161404962368,1.228444476936636,1.2385239047384624,1.2708009495132733,1.1695089989184286,1.1924853056148552,1.1534788636322477,1.1869083094728834,1.1230761556079956,1.179025975152693,1.2539561734467735,1.3166754954000497,1.2468718397657466,1.2941187568864807,1.2499538092598623,1.329999980952272,1.1970593345679692,1.2784817368530346,1.2120452965945792,1.2433064878786642,1.2394114535750347,1.2748819541279992,1.242005946466913,1.2285984869627993,1.2152607986960065,1.2404189467147901,1.1774743361854099,1.228353518842878,1.2271260151272594,1.2815135037040397,1.250319147755235,1.271750150785751,1.2276363073005951,1.2555011826939377,1.2342745261735095,1.297345379011499
Eternatus,Dragon Tail,Outrage,40,1.091560200960717,1.0998760068701379,1.0789296505366974,1.112769747547666,1.1119809207342324,1.1228394045379781,1.090480600130781,1.1280070508056033,1.1372705876799305,1.1642681565752784,1.0795805770812152,1.090390216435837,1.064561044856304,1.0917689999939635,1.022474493337035,1.0787952005830095,1.1589431465605777,1.212644187630404,1.1619775708269815,1.188723529500551,1.1518237247069982,1.2311175111476826,1.0916780736289398,1.1672140595930787,1.1166886063529702,1.1352503985936797,1.1455498389190748,1.167281819493196,1.1389084251537782,1.123396630831575,1.1194308611790273,1.1426194357123451,1.0775162561864498,1.1224778945110796,1.1299103641819679,1.173587571536901,1.1523315362385338,1.1593740633707184,1.128625683823868,1.1596608750026662,1.1416361052307265,1.1906934215887972
Shadow Rayquaza,Dragon Tail,Outrage,45,0.949278543677728,0.9134123827805689,1.0452106337817584,0.9194394351055691,0.9130406581947542,0.9186420325937457,0.9403199668579644,0.925219220756012,0.9232768997852131,0.9353228378847704,1.121318302054176,0.9407667410669076,1.0163243706575824,0.9117964856223603,1.113775766935036,0.9271390026374238,0.9684522329488329,1.002479973189479,0.9728012316423408,0.9784311653811903,0.9403177541966906,0.9898247037602119,0.91471900731882,0.9477342170727263,0.9331474592208004,0.9159216712317567,0.9445785449824493,0.9469750444775689,0.9447198127495525,0.9309402339142115,0.9351835681297783,0.946559552916521,0.9187661871321845,0.9318588758290574,0.9554769882883641,0.9609795775515098,1.0534290344901591,0.9511380161405508,0.9466468634193382,0.9510554434793542,0.9338680342288083,0.9658805172088215
Salamence,Dragon Tail,Outrage,50,1.108610634018204,1.0724009662279452,1.0365442227289654,1.081771367454728,1.0629389586566014,1.0800174959794173,1.0533501480425485,1.0845487443798663,1.0723118759968036,1.0956830190206122,1.1639269554368215,1.0769070294049736,1.1447965439739871,1.0741166267930549,1.269338214880622,1.0745007114103278,1.1105155619939242,1.1565561453389692,1.163985027093113,1.1427142921829956,1.111164444749208,1.1750333811431304,1.0751757661028873,1.1165247682938717,1.0615722987612934,1.0854323208372512,1.070335144491994,1.1141587728999374,1.1049916087090808,1.0934782366009133,1.0581800364807699,1.0951046881670352,1.0598676107874136,1.084324194339825,1.102015023559378,1.1311839316616004,1.0992262748333956,1.1095204088051478,1.0952340858342793,1.1054859710158595,1.0931154775038014,1.1273840404702982
Salamence,Dragon Tail,Draco Meteor,50,1.189777455293588,1.085079493373256,1.060492429732174,1.0970494943064761,1.077544442615017,1.0922064725145149,1.0611259356735834,1.1136028560636522,1.0888027568254697,1.1173909964831594,1.1975488428804641,1.1145675941716662,1.165394668271001,1.0762716127383614,1.3967262111327041,1.0893752602720712,1.155334536923925,1.1843288180668317,1.1218661796446954,1.1571362806212548,1.1638980794175966,1.199673521943935,1.0954180033648773,1.1350273555200516,1.0753329790278403,1.1124418462041619,1.1180054815598404,1.1442419579747078,1.186457833297982,1.123422679184761,1.052768560561959,1.1140412155082082,1.1119946446386269,1.1126055717855645,1.1471958831040048,1.160281545910001,1.1189024277430981,1.143329719408994,1.1016431980223695,1.1341894533113746,1.131478775952374,1.1656181361002613
Salamence,Bite,Outrage,50,1.364339575851649,1.312506773698761,1.231015624856676,1.3160084609415275,1.265702724682802,1.2994007793361173,1.275720615889494,1.3503165957930734,1.3242785081581938,1.3812189578956953,1.402447916455686,1.2505944592749827,1.3506208411890048,1.2740816158169126,1.7142711514436426,1.2875485841199334,1.225225673235965,1.2802304839947676,1.4310974597376722,1.452243671984665,1.229909885199344,1.3244970923643373,1.147781257548725,1.209578034216649,1.1384064429091207,1.1685311311884223,1.1428898398807519,1.2051892099822088,1.3461807532439503,1.3342822376279626,1.2830534210424185,1.3604513525051423,1.284376838062061,1.3689610014005829,1.3250999734268363,1.3931402350104671,1.1657893957839194,1.1712861377016182,1.1656153207980124,1.1971242631317196,1.3217647117286344,1.4200781180118667
Salamence,Fire Fang,Outrage,50,1.522597059066653,1.4405723890261488,1.285281594149989,1.3849526594544417,1.335994318796037,1.3877621278570251,1.302004768229135,1.3787066483085784,1.3282977546843442,1.3972967869630748,1.3705921908102876,1.2527089924371009,1.312179191809846,1.277327173547799,1.6557619898667408,1.2576606746252084,1.370696533010454,1.4709786921222472,1.4462779043967822,1.4942229031138212,1.3890003180970558,1.529942075859481,1.3470866688986172,1.4363343179342876,1.3265622828175463,1.3935260210130411,1.3288397365004567,1.4186873106698081,1.5063799859338893,1.4695773840755253,1.324933539022781,1.4031488919936352,1.3502204862070197,1.41762394834416,1.454446468037669,1.5498279225619123,1.3390968026020256,1.381408394418522,1.3382459756411078,1.392662245737643,1.4080523172028583,1.486488366776986
Salamence,Splash,Outrage,50,1.5962949015861936,1.4910899455348696,1.3872366733750021,1.5234464577604188,1.4517937536692496,1.5439170703880547,1.412837664948642,1.524842311332058,1.4248793720264488,1.5330289675729079,1.6470552492678128,1.5888549519369044,1.5961765599502602,1.5686506890522285,2.3597025090227652,1.5985281614380902,1.4704814002010789,1.618938173641366,1.59512399438516,1.6646982023455543,1.51286959735008,1.6705885938395837,1.4376862018841619,1.597216983730776,1.4117558562609869,1.5187212297126038,1.434491513199019,1.549856229263836,1.5267181679821085,1.5138149301718076,1.429888520200256,1.5689738813210694,1.4488624731500768,1.5470332662829958,1.5082311994866842,1.570681374804752,1.4865587916418441,1.5592449241630928,1.4750635129658507,1.5568394735749016,1.498235884592067,1.5886381029050756
Salamence,Bite,Draco Meteor,50,1.7541115203394655,1.4803071355750066,1.4266611385580075,1.4987901147143698,1.4065919262374829,1.4469274765043298,1.446493483284798,1.5609248902373147,1.540547352591099,1.615449653205113,1.6810234826604231,1.4547785613883006,1.6450973566713012,1.4384983913060099,2.330111743475847,1.468212104386452,1.3563637149868648,1.3970270591669278,1.527598750245272,1.6527591203417205,1.355232506090511,1.4249681426751009,1.207045900486085,1.286768912602186,1.1903634356731123,1.250756714770451,1.2473145165168051,1.292309467711689,1.6772329950768612,1.552708842671668,1.4550393914697093,1.5604164241083556,1.5356921187148431,1.5670183830578204,1.5497955162647206,1.6184936256813423,1.226634684052973,1.2434607087485339,1.247958211106658,1.3042537689598692,1.5574704075851993,1.60397348360615
Salamence,Fire Fang,Draco Meteor,50,2.369602395363575,1.7945222590629792,1.5658520656108224,1.6430884271124377,1.5544445941248768,1.6071886522274943,1.5216255843517603,1.6383943983461473,1.5887606086865629,1.6669673233908684,1.6796806325775837,1.445643940161142,1.627952038986935,1.407551907796381,2.1564321904497503,1.4220029671016103,1.6964443627636456,1.7290883341801708,1.624488702398382,1.7335365945693026,1.6898306085558583,1.7688120122591175,1.575737285298368,1.7318417405823696,1.6091705163321206,1.681017129307878,1.6706909650430348,1.7331268933019184,2.205028448522872,1.8664910263423273,1.5657041952885473,1.6760973337990452,1.6872800418550087,1.6974155831917044,1.8705465646084347,1.9280871859019644,1.602531535498481,1.6290800034042427,1.6109739627712423,1.6453725626232791,1.7500720554180704,1.7991492491328502
Mega Charizard X,Dragon Breath,Dragon Claw,30,1.3765460106358551,1.3728427491573059,1.3425048569693612,1.3784822039541875,1.3457218837781337,1.404762498731874,1.303162302559166,1.3857371462920316,1.2972640800072832,1.339053959733354,1.3998290549819132,1.3434394785771866,1.2752104179787398,1.3309161004211376,1.3350222098833981,1.3173779323986676,1.4021578145101132,1.509309088550394,1.4363689191432842,1.4973057823796658,1.397634653150399,1.4950104476787487,1.3615844588438215,1.4304796857187658,1.3396508728179553,1.4141073545644087,1.372871087176035,1.453024955522431,1.3822074862967055,1.39554238253123,1.3657561027671052,1.438351379671673,1.3710537518400931,1.4406182062789012,1.3984224614527094,1.4718810559267876,1.4511491169320372,1.4040086808189425,1.3819029304090988,1.4333374870756868,1.4597235059681763,1.5327032211256546
Mega Charizard X,Wing Attack,Dragon Claw,30,1.6251696868943852,1.6271168382670351,1.7019976407695567,1.7623983430350416,1.5848347112248682,1.6772723568514554,1.5688732926368631,1.6828254397615072,1.5460046936167486,1.6168405417890368,1.7558909192548096,1.6148693809926966,1.5296557052800173,1.6169537633781164,1.618371737923376,1.5847619378123265,1.6913611744737893,1.842440622263543,1.67710141427558,1.7719008950538089,1.7227717491719,1.8656468513153408,1.624638190933478,1.7357215203820873,1.5853709987326765,1.6860161072728017,1.5950531326633648,1.7005279607635715,1.639356828947907,1.642934756317656,1.5942533084953623,1.7104120580587572,1.709712116830068,1.822031722717066,1.6359314542001802,1.7422370715077353,1.8187490518073939,1.7090371543491052,1.6200897432874963,1.6955295628579095,1.6668753789121122,1.7667491576970094
Mega Charizard X,Air Slash,Dragon Claw,30,1.7605150766461235,1.7382863230985424,1.9077386794546987,1.9816856940008403,1.669201255319892,1.7710305165139095,1.6810261846450023,1.8022322135711761,1.7426013156963043,1.8333631180181609,1.8771282047127356,1.714586633071785,1.6005670168434987,1.713656494033043,1.7476054969461412,1.6880856121599113,1.810155565885774,1.9602036734738002,1.8336490423075182,1.92784100342626,1.8169437158688526,1.9652531347798177,1.7102137163247404,1.8251704687519865,1.7105482196148973,1.8321605821511795,1.71207770351493,1.819479732653748,1.8035265749020395,1.8116331945328228,1.700619979042962,1.8272499708930026,1.909001101618632,2.0519775516769623,1.7475128166905392,1.8575127518779448,1.9627281675183441,1.8206593130090176,1.6982833817749503,1.780322038522031,1.8178339644394088,1.9195165826848346
Mega Charizard X,Ember,Dragon Claw,30,1.930652020169549,1.9012684037951082,1.7706354695437292,1.8331587453884015,1.722422627689882,1.819902840768293,1.7029177988164719,1.819361690893657,1.6781736705634027,1.761341221217036,1.776311152339557,1.613036380502546,1.526653614682074,1.5984321521488487,1.6173480011104944,1.5843389956968352,1.8357423162992832,1.993863850120539,1.8728359470514544,1.9637450379605452,1.8689573464229319,2.0244649017042002,1.7582945920404125,1.879061478935614,1.7207146069253096,1.8302882138915009,1.7903005241140548,1.9154454969466748,1.9644495796912154,1.9736502301558063,1.7249485776380642,1.8521000698567935,1.7304868894384344,1.8325832144516765,1.9103739038569973,2.039477351238893,2.0590895130822826,1.8521217312794402,1.7491218202821626,1.8476149099143095,1.8631145830227496,1.9785225160758122
