Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Mega Gyarados,Bite,Dragon Pulse,50,1.476076673677636,1.527068159482719,1.4545976558128613,1.5512380456179038,1.4150505337770527,1.4885220055182187,1.4360228745029708,1.5262394755760256,1.4521677630802534,1.5423158884996275,1.385606591510271,1.46593454669189,1.3899619104725072,1.4692094561829583,1.434886434619656,1.5104542615213772,1.3637495810856097,1.428248343261154,1.5278477955715213,1.6466273225363381,1.3377505014314368,1.4170671451455912,1.2454983112045328,1.3111070615806448,1.268778872490904,1.3259834021503618,1.2562811944030388,1.3141953166322065,1.507611700920251,1.567506167877915,1.4599463461016027,1.5637734311328442,1.5038621644368908,1.588059623889851,1.5548800642940936,1.6358018290114134,1.2711285064625109,1.3230099056062699,1.2481670208573998,1.2792067025684721,1.5995209557033105,1.6832642595187692
Shadow Zekrom,Dragon Breath,Outrage,45,0.9846413843144098,0.9430807241198783,0.9216372252074416,0.9468549403496284,0.9798896023656161,0.9910507732657443,0.9538306263276106,0.9921307973177695,0.9430797813691739,0.9759570156420173,1.071760450128209,0.9350044356586448,0.9931587747768049,0.9549766895311144,1.0676815831482511,0.9358472723486952,1.0153857796131933,1.067292245489238,1.0544465910977616,1.0463299775104524,1.0006819086585257,1.0700289715941234,0.9509656011221909,1.000813673098357,0.9612689587506643,0.991560443154409,0.965266144155407,0.9918872914362648,1.0066255846924992,0.995694579337702,0.9468797298870648,0.9790114293476151,0.9487861072567096,0.9797549142264784,1.0074631702432417,1.0473488408267495,1.0265697444227773,0.9857105061590892,1.002415906363421,1.0048924349125412,1.0078316785433872,1.0329169027102776
Zekrom,Dragon Breath,Outrage,40,1.2087768766589821,1.1675542125517786,1.1382369613992476,1.168130942793248,1.174395997877864,1.1831207039637042,1.1804575712898993,1.2255689179694005,1.1903974738091465,1.215945146726101,1.2642660098921266,1.1494675184211487,1.2217824611106527,1.1524567040988998,1.2452261764297614,1.179381680316491,1.245796261662036,1.3100852963751741,1.265376662188882,1.2884473155932563,1.2485595155781841,1.3324285662584738,1.1957349968427788,1.2333652587014285,1.1529422345774907,1.1833023997383592,1.1839457614078952,1.2272789344617012,1.2551864131789783,1.2349877758799692,1.1840750766484263,1.234396223852214,1.1642094180269003,1.2085048857923693,1.2084794317231724,1.2370391014381914,1.2234099041261641,1.248503243281246,1.180189343293334,1.2123875823311028,1.2438454734289435,1.289841676853812
Kyurem,Dragon Breath,Dragon Claw or Draco Meteor,45,1.3198820687564867,1.3009065275494365,1.249683998877256,1.2976758094490297,1.2880167509034877,1.3264912744623563,1.2442295898266946,1.3159926567646711,1.2359360090095861,1.2791631402723782,1.2051684537577525,1.267289954347148,1.2603086197425686,1.2671538692158948,1.2666574125485843,1.2520539804275403,1.3041437389866055,1.4005945881666142,1.3510293873484975,1.4265995502090472,1.3292875959291195,1.4102899635616966,1.279750982128857,1.354166048642395,1.2719463635991988,1.3358914189934998,1.3051247776121555,1.3800625090157232,1.3389672200081122,1.3211966613453603,1.2934640237513098,1.3650963441611363,1.3081380045429583,1.3587377205268272,1.330505343798407,1.3882436435048058,1.282267225653189,1.3313364242870518,1.2957958514217587,1.358646463761966,1.3326575032052237,1.3782064661041376
Mega Salamence,Dragon Tail,Outrage,30,1.1429539755871303,1.0947252404089018,1.0741928441568687,1.1053728446338515,1.115245617273787,1.1188961567054339,1.0884092229086197,1.1242562334239052,1.102018727261079,1.127113729166175,1.1790568047864607,1.111488963514176,1.152643831730005,1.1028055059790296,1.2452326832315381,1.1275680177679068,1.1747829753191856,1.2181165609020441,1.1617021116024935,1.1777202541771694,1.1718238389933657,1.2292908340428612,1.1289544724474185,1.1549348002051134,1.0996394260251012,1.1250267773189977,1.1092407558782515,1.1387873250949656,1.1503529551856688,1.1367185028895066,1.1085885046765243,1.1410403811076182,1.1090244988285147,1.1397365864120703,1.1517910960457836,1.1753342709555321,1.1170522958286926,1.1349883996728967,1.104957210840594,1.144769147348958,1.141069600564517,1.1803373187433535
Mega Salamence,Dragon Tail,Draco Meteor,30,1.2134831047879717,1.1050249363961167,1.0723986549084286,1.1150134013828832,1.1124282989151495,1.1373068498755157,1.1197073265830804,1.1370520646757076,1.128014856376002,1.1376929120317765,1.2125470402611975,1.1135791916974194,1.1800047083726535,1.1177435224663823,1.3596808196835093,1.1304548688228764,1.1876131068853308,1.239147684889893,1.1696036405898602,1.1976363334490514,1.2048030750651908,1.2397289889275558,1.149421317387601,1.1786224344929588,1.1169715056620744,1.1359977106414292,1.124039044092898,1.1692494109727363,1.2495246175543573,1.1630831575069493,1.1231929405829162,1.1536291574494508,1.1365389677280984,1.16108329081757,1.1903059802580838,1.2102585374389951,1.1431687579324405,1.1675618221579198,1.1320497146828057,1.166511181986679,1.1718795034636293,1.199936392458531
Mega Salamence,Bite,Outrage,30,1.4400617210246425,1.3663014227063566,1.2973382523716137,1.3735252516543048,1.37538355610771,1.4135919811203081,1.342601731021514,1.4167692201467834,1.392310662130403,1.4531211539823248,1.4069180071537657,1.3122622669253798,1.4222142631497403,1.3309523186723193,1.5956434793170462,1.3496755274847307,1.287841212527432,1.3474405682100734,1.4284258826015426,1.502679123964198,1.2844873399276566,1.3576058529858266,1.2520564316196756,1.2922951090618604,1.1848542577981276,1.2184277012387066,1.1880675097369813,1.2434543443765926,1.404891880728312,1.3807059847952041,1.3621395583498273,1.4239773741607482,1.34738357450874,1.4151444940190883,1.394050851961553,1.4596120318100212,1.185182478510718,1.2223978819689845,1.1756348209344125,1.2385628949563465,1.400558553723526,1.4639971376606338
Mega Salamence,Fire Fang,Outrage,30,1.6048733892373963,1.529709672382597,1.3552256220498153,1.4451533958425442,1.4248013823819479,1.4756594670378742,1.4041947419510747,1.4802142860043945,1.3963686849443477,1.466353983673497,1.3707157411195685,1.323756496518312,1.391728556280144,1.3099799391130953,1.5654280607995559,1.342001839255969,1.5102150247024355,1.6157684781786141,1.4938191478121745,1.5709288635986296,1.4870618308295094,1.5830109505387648,1.419948552128052,1.494149605665199,1.4243636809615308,1.4805952332284045,1.411599749963937,1.481821416550464,1.6108189974360978,1.5437891423021535,1.3985063259207513,1.4677858307137035,1.4129672536550015,1.484666703495608,1.5416323700021388,1.609410140578517,1.4271908337064434,1.496464397911571,1.3961502666814856,1.489207566995935,1.486239899818122,1.564984048421241
Mega Salamence,Bite,Draco Meteor,30,1.8242475453952625,1.5283595249685424,1.45398124723671,1.5482899248385138,1.5562374330803734,1.6097199146488912,1.525486062880514,1.6198352645879786,1.6641248529029953,1.683829107841914,1.690785982508517,1.4752757602394853,1.6911428266735347,1.5262028986673695,2.157815970294281,1.5356204018600779,1.3404849677300785,1.4340299023794336,1.6251754637525848,1.6876065989464628,1.3825717099335806,1.436943449200662,1.3536914060016867,1.3954663152050923,1.2309750214627366,1.285134704223049,1.2576083088907053,1.3267009664855507,1.7863086134461599,1.5971845451399354,1.5626431094035005,1.6172187293825435,1.5386785125873739,1.59444186280786,1.5872571958182913,1.641048408526745,1.2592811867486151,1.283566943323059,1.2493615024422882,1.3079708070496867,1.5998191160539472,1.6330341791148613
Mega Salamence,Fire Fang,Draco Meteor,30,2.6127703739081714,1.8559034506828807,1.6001801527445776,1.6972223088537186,1.6788756005927346,1.7153843211410305,1.640252545560145,1.7792785108828533,1.6618185067420164,1.7314447033276799,1.6805191543487685,1.4460307944082347,1.6659268753508643,1.462030193948735,2.0900237715158245,1.4888690310938368,1.7268634933676392,1.9257651268634932,1.744294597980469,1.8275436584003744,1.7828368543058342,1.8141494141871286,1.712061432318926,1.7396479168697319,1.6961089080577245,1.7623155226687381,1.6860720296196565,1.7833860652978795,2.3976560203326,1.8955219159680126,1.7026429153568516,1.7454447549190824,1.7035735988483374,1.747274387529287,1.9335379250896034,1.9731319389983861,1.7757214589400225,1.8229386755275652,1.6942609874904997,1.7660208158623563,1.7732092986274686,1.8165816909667352
