Attacker,Fast Move,Charged Move,Level,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Zekrom,Dragon Breath,Outrage,50,1.0858257214823892,1.120683993373608,1.1059155369951819,1.131451018741653,1.0951858756442592,1.1259742580611096,1.1280949378399248,1.1711863520954369,1.1313825887233,1.0941635644061687,1.1175020674585048,1.104692879290605,1.0386872744308717,1.0915463631315936,1.1655246970303024,1.2099955676154852,1.1821313751830107,1.2149864911777581,1.1362483976098912,1.21587932883426,1.1171477367598013,1.1690490619451026,1.092743550958669,1.138679530681493,1.119040246189354,1.1724017887195268,1.158197230687937,1.1410239235518045,1.1375827768950282,1.112947638160493,1.1054764815461637,1.1311391508518647,1.1124495903863465,1.1597866954365692,1.1484402849161648,1.1868482283477324,1.1021809355007013,1.1313519653951327,1.120345142310581,1.1532888097058365,1.1425007702475725,1.2016160291004503
Haxorus,Dragon Tail,Dragon Claw,36.5,1.255594916830706,1.1981441698939448,1.2051969046086606,1.2078312802167372,1.1867488719117187,1.2267223907754667,1.2395295593327782,1.2722213417944317,1.2748285486281865,1.1852100152716285,1.2787678550948012,1.1864495449579162,1.2990634543309274,1.1971409112992784,1.2818412773915957,1.3415336050421076,1.2402079905815586,1.298443089369538,1.2485633251237627,1.3133598858660145,1.222238702869469,1.2608606288167414,1.2168545848493522,1.246446179632885,1.231479540318315,1.2690888108861855,1.2225441054437336,1.2270225615950523,1.204041257565877,1.1932713061528146,1.2168228742189622,1.245088194201886,1.1745496849500696,1.2198265356856195,1.241728292641826,1.278648787032296,1.3086584323462263,1.265234911249172,1.1995592542573053,1.244430898005418,1.2474532136716459,1.2953278273055249
Haxorus,Counter,Dragon Claw,36.5,1.6326021431205318,1.513127117757887,1.501550855589982,1.5346934295279577,1.6233383290078103,1.735405929012684,1.6235420958752147,1.69038230047914,1.3753377379356162,1.2679259346277085,1.3842716207868615,1.2704436936982253,1.389581742781788,1.2754003852026652,1.7493346017880886,1.8814023632176948,1.5364323124990567,1.6520648121594494,1.8265494850446764,1.9989676131482657,1.7573050468921503,1.9160221556404073,1.6649049507379095,1.7483471648746987,1.6599259508582969,1.758878684425638,1.522626715935266,1.5356862438646826,1.5101150839938646,1.497971105008404,1.6633897038848138,1.7642236193580936,1.473332055152423,1.56956607924505,1.5346844598842446,1.6054760160994483,1.9094101409430493,1.7597446447931737,1.6121415011624867,1.7496202693645786,1.5306657920629714,1.6143097090948846
Mega Charizard X,Dragon Breath,Dragon Claw,50,1.1304364576320005,1.2054438416930688,1.1685950495691697,1.2160836613829473,1.1420436776287197,1.216964579449501,1.1765619257316073,1.240654071678811,1.1120398763686743,1.1724336980430443,1.1077432608901239,1.1688977780102898,1.140199888950583,1.1620150263742366,1.2225727289434707,1.3204116712251759,1.2265557786062518,1.297375213197893,1.2109402529919218,1.3050931719609826,1.1784741086677375,1.2518445375836451,1.1664118392543232,1.2285483013777034,1.1889176323508197,1.2665499831706495,1.2115442580126594,1.2186461554491295,1.2056485759159419,1.1966439192850646,1.1566296037567432,1.2184383125703417,1.1934396823178837,1.2522934140103792,1.2219280450577155,1.2873142309013488,1.1456026064658411,1.2135107733181376,1.163349847265771,1.2392645406241616,1.2111869763558842,1.2839182245544987
Mega Charizard X,Wing Attack,Dragon Claw,50,1.4381215682461526,1.5544485069520246,1.3552299174595572,1.4261119177223294,1.3478918659859551,1.4429193421955786,1.3681698940901565,1.4483626290997496,1.2877770261238015,1.3826920194601866,1.2952592321328322,1.3833923221331743,1.349421762215436,1.3702109938922822,1.4475302969697623,1.569667354947514,1.4318483691304544,1.5291647170694158,1.460846442932055,1.5911119492111383,1.3946187390609703,1.4811032898668035,1.3608078165242632,1.44664731613589,1.410141847381834,1.5043688993604847,1.4492168748674326,1.4685019592082789,1.4549133425792407,1.4423450315493629,1.3832663872394924,1.4696365506267706,1.5015711876358744,1.6020752025320981,1.455629297885165,1.5531204023565859,1.3618506499513416,1.4562462303562245,1.343957932693657,1.4410645704862013,1.4226124809922776,1.5068825347605275
Mega Charizard X,Fire Spin,Dragon Claw,50,1.4513119779560553,1.5720840296976846,1.50324889693837,1.5861785088835336,1.4613850609025518,1.5655347199376148,1.4697418510788238,1.555520900419121,1.24318751696285,1.3163374017167417,1.2391169185511894,1.3121188280578766,1.30585004858412,1.3167380968906164,1.5613496070312751,1.7057372352731321,1.546311110440282,1.6633322264652168,1.5738147075126143,1.7166326664723799,1.506225446778575,1.6113630295761696,1.5037717182453703,1.6055827644004743,1.5132721065538297,1.6237264990142808,1.731145643785049,1.7272216454372589,1.764771255637095,1.7123194063025249,1.4789774711840726,1.5719549229634804,1.4817030569104634,1.571681576971946,1.7162407399005775,1.8404119488499004,1.4941036295887897,1.6042262563320766,1.480259058806888,1.5918499084492732,1.5521532146655137,1.6516890783863563
Mega Charizard X,Ember,Dragon Claw,50,1.45198342301222,1.5699779670625014,1.517195786994766,1.6007108157417247,1.4527807223826523,1.5597308021915983,1.478243130696321,1.5671006801023695,1.2718329599818523,1.3530986822650621,1.2787396853438822,1.3490594321380638,1.3686168274569686,1.378912756801777,1.5981535334753136,1.7489000118917633,1.5794907400419604,1.6943195025130937,1.5806261750067143,1.724465092181479,1.5029538028622647,1.603741201100154,1.521342545276154,1.6210735456440866,1.5201269413857768,1.6290811174688655,1.6769297178219111,1.6795996740234658,1.7127345536706557,1.6643129402904193,1.496815209376334,1.5821908836884386,1.5201232253053822,1.6215013859597243,1.679735046114161,1.7973634236604856,1.4670843031108118,1.578545500294171,1.493113207441261,1.6077306758363337,1.5763439577804943,1.6810876889591222
Mega Charizard X,Air Slash,Dragon Claw,50,1.5544503415013584,1.7043091729301239,1.4524889361213809,1.52691836262912,1.4330681158184173,1.5330932972670004,1.4589097793797818,1.5435483000812618,1.373249535167279,1.4744797721813314,1.3776416686955593,1.4770808894397638,1.4576190310938368,1.4830150784286509,1.532143436287175,1.6623755418860335,1.5141314355576352,1.6345410773851752,1.5620927357680139,1.7048440276801582,1.4756533752601,1.5819712078383843,1.4527975144106946,1.5371620130002863,1.4825503678415155,1.5720652017117853,1.5368342320015183,1.5353122639367993,1.5487825711582794,1.5162908603286276,1.463242713548337,1.5513156362789613,1.6394847414445828,1.753984837308151,1.5270430550064489,1.6236980770103246,1.4663757025875945,1.5687009483776193,1.4257350159357765,1.5324659870246071,1.5274257829193874,1.621783595217508
Guzzlord,Dragon Tail,Dragon Claw,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.474951064010864,,,,,
Kyurem,Dragon Breath,Dragon Claw or Draco Meteor,36.5,1.299411293118789,1.3416572951771533,1.3295979749900628,1.3811080010843515,1.355119347881712,1.4402610747604716,1.2943052806560273,1.3108855155391759,1.3008186727051039,1.3364193905121466,1.3276806033155795,1.317203468098763,1.3931453012215438,,1.459294494113577,1.551596198960011,1.4714729899023442,1.522323517425626,1.4818332295232162,1.5525403002302869,1.411017218509368,1.5014578309678897,1.3072711663464291,1.3796361555128573,1.359638409385969,1.4204087127951146,1.3844550870573176,1.3725975045677647,1.3629453419914215,1.3540619230875208,1.336474463461016,1.406777564326464,1.4036441154392338,1.407030211647261,1.3854761457246372,1.453202066225509,1.3406398126186396,1.3709893765425476,1.362993299003214,1.4282519592753629,1.4461572100142124,1.5103610721846208
Shadow Dragonite,Dragon Tail,Dragon Claw,40,1.0452087992324246,1.0463443852700365,1.0195299701803315,1.0573658572281512,1.0,1.0592616961736383,1.025643770673662,1.0664566565398739,1.11534737891057,1.0363886042055717,1.0355482135347605,1.0237269787740926,1.1105657447251527,1.0269099632148808,1.0769029524005145,1.1402298353531313,1.0813849938870692,1.1158626779164718,1.0793033103046303,1.1366922096697696,1.0321104222200561,1.0803311479995084,1.0121597645231184,1.0605617104779037,1.0457219791316055,1.0927499158532479,1.0776817709903213,1.0767124001324744,1.048935955252257,1.0424350413769665,1.0133989211006325,1.065781813948073,1.0245703199893412,1.0602153193231707,1.0618279744119876,1.1016682761794272,1.1427885558240303,1.0979570843401134,1.047929696226718,1.0910219665612515,1.0688551636403392,1.1145432680362166
Shadow Dragonite,Dragon Tail,Draco Meteor,40,1.0729233360178905,1.0322990755705908,1.0272484911380868,1.0291910105258606,1.0225130273381178,1.0757169605179255,1.0268593229997336,1.0500467001379088,1.25690970295265,1.054761142820107,1.1169708664411744,1.0273729493930424,1.2990634543309274,1.0274803928373126,1.1198732986670414,1.1153198343801687,1.0736155343908955,1.0985087467737311,1.0644003680021028,1.1122501652390395,1.0182016976950168,1.0617459220992767,1.024803564858346,1.0468500878950167,1.0393883733230753,1.0894494398230514,1.1597805984423084,1.0759532766967712,1.1150288858069197,1.024455119079328,1.0,1.0623593161796094,1.05711518901371,1.051252888093095,1.0679722083595284,1.0838512939834468,1.2375384364905218,1.112533348627757,1.1535964111666066,1.0850327191407816,1.062991343411153,1.0820437898168302
Shadow Dragonite,Dragon Breath,Dragon Claw,40,1.0852148165542395,1.0958753827328547,1.043558668908547,1.090947493767473,1.0286906052889164,1.105965160247428,1.0275235776689045,1.0782193591459777,1.155549839384598,1.0746507171994184,1.0789618239511294,1.0690621686281532,1.1456287305663522,1.0600078949194893,1.1083318018183586,1.1981492091977384,1.1231189531040104,1.1744562510376888,1.1505589555749842,1.23904708026903,1.070264062347701,1.1426216377713834,1.0351629123911532,1.0974318302604147,1.0806962542674423,1.1492138289176324,1.0977836572632111,1.1071554826201666,1.089331998493713,1.0903606822377545,1.0398571816664726,1.1082828812046415,1.0778444670473046,1.1337443009921067,1.0981910804907609,1.1552002385103473,1.1908244557836973,1.1477126819142205,1.061852591542307,1.1260638351615413,1.1119492729856784,1.1810032101931085
Shadow Dragonite,Dragon Breath,Draco Meteor,40,1.1035933317800815,1.0764493398374222,1.050838127264956,1.0604359692057457,1.058971297210139,1.1088244731188035,1.0231941208404003,1.044775653886227,,1.1000818267622123,1.166286039675082,1.0682774398525514,,1.067698934619656,1.16790304969676,1.1608696122204083,1.1043650853546254,1.1600342625994295,1.1438674887666025,1.2190469659826628,1.071035356638852,1.1236316942623332,1.057166918768652,1.067948162380933,1.0679347982882146,1.1401644467952108,1.1847609691475862,1.1030844971365417,1.1778006374165342,1.0702076655308284,1.0340382077851515,1.1033249893274342,1.1200211874733939,1.1289316249037302,1.107543537860277,1.14309000524982,1.3022902782968426,1.1633037435569156,1.1640234271068737,1.103890709425515,1.1123666974765696,1.1516741703688242
Shadow Dragonite,Dragon Tail,Outrage,40,1.0707970933400355,1.0185766465538908,1.0,1.019007751783276,1.0081494478358168,1.0302949072551002,1.0070370532718758,1.0320469159363799,1.169727743728303,1.0255627615316998,1.1034574345002988,1.0290289283220686,1.2206977026651862,1.0197329608550807,1.0530523994335195,1.088924444060064,1.09660317268652,1.0752796099799256,1.0436059634626482,1.0943033960194057,1.022161997228426,1.0539778867384,1.0065541065369363,1.0200367932627448,1.028429100351012,1.0518574794441504,1.0602051865992386,1.048829498643625,1.0374606207004233,1.0040890178825648,1.0096344161136337,1.0373976403927503,1.006866431178082,1.0183668097579364,1.0349663946698122,1.058768819957094,1.160677481304417,1.0611218829902571,1.0572363243646177,1.0587080963174267,1.0468409910850054,1.0652076686842185
Shadow Dragonite,Dragon Tail,Dragon Pulse,40,1.1528729959841715,1.1028723538919047,1.0939011876310742,1.1073990363906392,1.0792565786534423,1.113499287202544,1.0935882565169452,1.1255390746966176,1.2367345450715581,1.121917824866424,1.1567847851151034,1.0939923981915018,1.2629008189894504,1.1049568815935593,1.129602923211641,1.1859396114636598,1.1717469397612184,1.173494030458998,1.1316293235961348,1.1885420297639795,1.1041480376493324,1.1323066360974203,1.0907223743918892,1.1096815338702424,1.1072673943357214,1.1426398038178582,1.147777889413577,1.136696175729633,1.1113146027168272,1.0867657999393812,1.0819968370396242,1.1262443241355222,1.0868263959522826,1.1080951096581733,1.1198222838662009,1.1462139722990972,1.2309945199092696,1.1596525082238365,1.1347664867085858,1.150471000703891,1.134520011528867,1.1659659898426706
Shadow Dragonite,Dragon Breath,Outrage,40,1.1105334319097842,1.034625284125828,1.0271586828787205,1.0334485872661867,1.0289667889185379,1.042361694955181,1.0004821747090935,1.0278835227751684,1.2079290942749623,1.0249024762722645,1.1378748337481663,1.031360981273152,1.2192206586618546,1.0234461757357025,1.068812229056983,1.1078172127868886,1.1202851191644152,1.1122779345840943,1.0891509856246797,1.1627514061985116,1.052573029279518,1.083041272720338,1.026291647929357,1.0402534646989086,1.046370149540799,1.0829311919988458,1.0681127223878153,1.054615954244207,1.068128254819659,1.031876337518484,1.028929929755113,1.0533264446773003,1.048302239957885,1.0654731923218157,1.0620418559734528,1.0978702581485633,1.1938346204084351,1.0802494717873385,1.0600473975681524,1.0661444177631985,1.0805728654203564,1.1058369857976287
Shadow Dragonite,Dragon Breath,Dragon Pulse,40,1.1972452407203908,1.1313995960322367,1.111794651751843,1.1276574513413862,1.1073907551591509,1.1374561863102273,1.0951780843165089,1.1248486881813247,1.2785148037575498,1.128413330470747,,,1.2980028456413104,1.112797577734592,1.152424298115696,1.2228948876228365,1.1996513365432508,1.217993902162921,1.202212584071909,1.2701101149149423,1.143134421338577,1.1793937287841096,1.107791177793222,1.1389215485875477,1.1356080203875558,1.1831687262585948,1.159527557297074,1.152068425302626,1.1489993295186312,1.121426931307806,1.115537800287189,1.1568139480731168,1.137422862323668,1.1648690893610936,1.162783312053198,1.1896384105359352,1.271544786143252,1.1888050367991239,1.1446658651066557,1.1654873406282031,1.1743442956955583,1.2046274486418795
Shadow Dragonite,Steel Wing,Outrage,40,,1.3576490617197432,1.2164029796384719,1.25646910512722,1.212673579380455,1.2488983116244876,1.2277044774810923,,1.23813005594196,1.064675548786169,1.1637326529667777,1.0638829587091814,1.2821436007773461,1.0781380136035537,1.2724835407184787,1.3323747851374579,1.3263550329796387,1.337392269029327,1.2496204740217562,1.3535182105802508,1.2388257680099337,1.3105052825183183,1.2085393074690325,1.2508433833449164,1.236080203875559,1.2878299754772322,,,,,1.2006005743780805,1.265875441456126,1.3286983027273997,1.3820439412600047,1.352100900246936,,,1.2626484268328333,1.2489472508400101,1.286896739087726,1.2665553534690956,1.3315244938728048
Shadow Dragonite,Steel Wing,Dragon Claw,40,,,1.2754835093741528,,1.2423531657548545,,,,1.176016657012189,1.0959175737149756,1.0957872137500577,1.0946242054621147,1.1843442011382566,1.0977712034980567,,,,,,,,,,,,,,,,,1.2576357356308456,,,,,,1.4475080573244872,,1.3033320872106273,,,
Shadow Dragonite,Steel Wing,Dragon Pulse,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Dragonite,Steel Wing,Draco Meteor,40,,,,,,,,,,,,1.111443558885846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reshiram,Dragon Breath,Draco Meteor,45,1.1217682120298738,1.1785530175584717,1.1628888988675843,1.1774977090578282,1.13521016355757,1.1909322415956916,1.2113080084835774,1.2318459536100725,1.1093480999582765,1.1587054358085256,1.1288906953300588,1.1583643032916353,1.1920027068295393,1.1504589464186563,1.2608793418449529,1.349235143403855,1.223325736193078,1.2734970491902253,1.2969159823770422,1.3404667074288044,1.171807922294219,1.244178211360063,1.1475851355218512,1.183325293324067,1.1879655719574937,1.2522440736644707,1.3057611514860585,1.2057131480923302,1.282123864544394,1.1704400378408661,1.1992883339154732,1.2477854426204058,1.190544277594897,1.227599608746657,1.2066970853776304,1.2604364480105774,1.1333149553563169,1.1879197486780808,1.1677977194831846,1.217300224638877,1.223560630907302,1.2619338680342287
Garchomp,Dragon Tail,Outrage,32.5,1.2216135595210358,1.2632725057925895,1.2587359321182607,1.2796928557529674,1.267479783764464,1.2964810956367048,1.300713483695414,1.3322310190071247,1.3900463009847568,1.2824198036967873,1.3265779587796058,1.2768603605325692,1.4832753504997225,1.2857201728206553,1.3221132744510868,1.3803807526405119,1.3903030806152175,1.3614402366685283,1.3143275104429168,1.3798002655253268,1.276008933452559,1.3239796242694954,1.26580924737337,1.2920992600466048,1.2707563590902533,1.323362023368755,1.347658066988922,1.3313276101380191,1.2843116544357394,1.2495164267935377,1.2653054294252337,1.3154325299802072,1.244315615362868,1.2862193683403254,1.3013007887692736,1.337514825880965,1.3126371410281554,1.300293985961199,1.3177096489189606,1.3126084042556774,1.3150461651609568,1.3663695001838656
Latias,Dragon Breath,Outrage,35,1.4412953385935978,,1.494070160207956,1.5227073531343913,1.427213429022838,1.4769447592125517,,,,,,,,,,,1.5761663622779347,1.6048329886948516,,,,,,,,,1.506033914955848,1.4942377321559477,,,1.483612760507626,,1.4795193173214094,,,,,,,,,
Dialga,Dragon Breath,Draco Meteor,35,1.2588567455461728,1.2897597290737544,1.1980737791481852,1.2265696072219145,1.2625754935766997,1.3004329584546712,1.2250499876927434,1.2533035711275133,1.2258884482486239,1.2647055249267813,1.3864366673574962,1.2609786573894286,1.218019069267074,1.2289808613270405,1.3175187295272484,1.3969686814196602,1.355768795375304,1.3485011999456629,1.3187370594498635,1.390160324725665,1.307373488665788,1.355335703721283,1.2805919627161604,1.3150173745962963,1.3139106601913737,1.3572111362215704,1.2951203992096185,1.3194477004885927,1.2779246305463963,1.3016468124580949,1.2384226918151122,1.2813700663639538,1.3015737873258613,1.2696755911857511,1.3746978112786876,1.3913092792191377,1.2985724382148447,1.330635224291492,1.3157528994805576,1.352931138810211,1.3197570987010148,1.3700269338183408
Dialga,Metal Claw,Draco Meteor,35,1.5896186522299864,1.6518594074772561,1.4993039859899115,1.49323028667129,1.4413109787054297,1.4949515257114774,1.516179827563534,1.556937920849167,1.195292530674909,1.2321469803089165,1.3555666446003616,1.2310583576632788,1.2119829261521378,1.2171818607717935,1.5962984183954767,1.681136420146809,1.5763135254252638,1.5944561001011275,1.519060108914908,1.6056910801395055,1.4984150326104921,1.5567770069543623,1.4594644536200483,1.5168537672212912,1.499277780449103,1.5428763764004423,1.7019193915104696,1.6762394364624849,1.670025808940364,1.6551962306088521,1.4613895680521596,1.5172580238289284,1.860156176375967,1.7114864052461745,1.8273457298222189,1.7838240726938057,1.4950064939630197,1.5418425833761948,1.5438517316053766,1.5532391893242086,1.5461005595475914,1.5988351868968464
Mega Latias,Dragon Breath,Outrage,30,1.218876411915031,1.262632248075099,1.2005168964261301,1.2131931659240853,1.2255445488256103,1.2534431569413476,1.239409858618283,1.2515889848367856,1.2635429367705975,1.1842094603079443,1.2223961592556747,1.1828739987162642,1.1963969669627985,1.2175072008606331,1.2922627863482556,1.3603204289683353,1.3150951655019396,1.3382526074290977,1.2986131349321997,1.362986836115254,1.303226722380672,1.319650629113393,1.2485572952863744,1.2834095090143494,1.27366062412848,1.3116103284127518,1.2951185386129624,1.2791155467735393,1.3134546322914848,1.2548178219458654,1.2444284355959172,1.2669596771063762,1.20183343136331,1.2416509331262247,1.2919839783266684,1.332196952511812,1.2476309060836037,1.2947213886350097,1.2634381984882623,1.3069548241226903,1.2947811999960246,1.3283739328344117
Shadow Salamence,Dragon Tail,Outrage,40,1.0912688293557247,0.9788696607734827,1.0454745784416937,0.9857021924857097,1.0342041240714341,0.9950469715246555,1.0233821015399245,1.005558496559026,1.1544297849414453,0.9892004877199095,1.1337499773635928,0.9727839963620778,1.157822477096058,0.9775341823986675,0.9999999999999999,1.0439497951373498,1.024164943474258,1.0348059710503676,1.0,1.0497964750274764,1.0,1.0096432975797462,1.0199370426393035,0.9786124851804915,0.9999999999999999,1.0035255084868009,1.0,0.9788580401963302,1.0,0.965575833279756,1.0099837000814995,1.0081451080839834,1.0,0.9927533641613238,1.0,1.0214302843328515,1.0928784722350704,1.0152413867108725,1.0,1.0090439319998699,1.0,1.0228589602154705
Shadow Salamence,Dragon Tail,Draco Meteor,40,1.1237605326063627,1.0005888903361444,1.0428867700792142,1.001332155847266,1.0161242501411378,1.0462059273880746,1.0379333250161007,1.0523842359216786,1.2299737101145172,1.0128836642186152,1.1604045981081998,0.976228754474463,1.219799764019989,0.9981715887007219,1.030081836953114,1.087097436784467,1.0,1.0497486906253302,1.041364045889786,1.076602342489576,1.0089821881873313,1.0255289934609502,1.0,0.9976043497812845,1.094734817521758,1.0551887291436264,1.078993491632897,1.0228630117105952,1.075549473258815,0.986472808765855,1.0143958357589165,1.0454990879807504,1.0415787917290862,1.012618245274251,1.0904168097944793,1.0570286017979014,1.1730456131522178,1.0596732297012776,1.0550584162117196,1.0411130682347605,1.0334436526630688,1.0481230805927428
Shadow Salamence,Bite,Outrage,40,1.397477127756181,1.159372804273766,1.2952779149848406,1.189129541761672,1.2373574912778773,1.182307595455967,1.1704521315156808,1.1462658434854152,1.5419422918784915,1.1761280548320325,1.617507097771169,1.1735276777863404,1.46233646238201,1.1544888256524155,1.0767775483508286,1.1515507940454697,1.2402004437534904,1.2899906419331955,1.0963224551759343,1.170820023733469,1.0623773663266474,1.0815198735416394,1.0861714566043907,1.0502007276889744,1.064630475549358,1.0795941722363802,1.1949607600165222,1.1607313633335938,1.1863166692689915,1.1644001947151372,1.2296275274576007,1.1960113711336204,1.2013264918158508,1.2159237510926821,1.1820229306958927,1.2337433810137985,1.217747575402126,1.0926694073287426,1.0546812115007023,1.0671873438838388,1.1863700965045667,1.2541021894908415
