Attacker,Fast Move,Charged Move,Level,"Zacian (Hero), Tier 5","Zacian (Hero), Tier 5","Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Tapu Bulu, Tier 5","Tapu Bulu, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Tapu Koko, Tier 5","Tapu Koko, Tier 5","Tapu Lele, Tier 5","Tapu Lele, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Grotle, Tier 3","Grotle, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togekiss, Tier 3","Togekiss, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Wigglytuff, Tier 3","Wigglytuff, Tier 3"
Shadow Weezing,Acid,Sludge Bomb,35,1.512901318453687,1.4851381618533288,1.59811128392661,1.4341555488902373,1.598239038735985,1.435867462920988,1.5019846043287375,1.472896478433074,1.507716012496541,1.5041771974220872,1.505634971145801,1.5181053732022503,1.5513026375508292,1.5247756497360676,1.6919144980190657,1.6029760642187887,1.6586521261473834,1.5739197305677186,1.465240288726192,1.4621444501312655,1.664238800072903,1.4098905836086657,1.5600687872419687,1.5468822627570977,1.4876063142112947,1.5416529343381178,1.4497620931037414,1.5235796109299675,1.7897134263947825,1.7729586185351653,1.5097027819788236,1.501754583505133,1.484292614725482,1.5370270355082067,1.7202633287238949,1.7836182275278452,1.4987190193691806,1.4951988549490784,1.5091368593986325,1.521237250934445,1.7515491426288758,1.7399124398584043,1.4610050188698478,1.5145861441162112,1.5901645127650403,1.5521334677942324,1.490887120301215,1.5600174916631575,1.454255012080912,1.494394013688527
Drapion,Infestation or Poison Sting,Sludge Bomb,35,1.8615199537856453,1.8819425061404789,1.749643151212436,1.7443247883401318,1.7353204300000116,1.7467002163125789,1.7753754659292083,1.7676796537367025,1.885281673477736,1.8674192397001792,1.7902242331501619,1.8113231955431655,1.8006088647979663,1.772301762399767,1.804531316983653,1.8187117669702177,1.9719155569615114,1.9329408136342692,1.85216958639353,1.8414921242664097,1.5249469667504407,1.5251117100475025,1.8169625022013185,1.7968439530307538,1.8650964349874597,1.945734913228277,1.8409296760043896,1.938584778094182,2.027935626586186,2.0477625916197537,1.8292551687713299,1.8663974982198996,1.7634937462334108,1.859283446365662,2.03455626512115,2.161594489300435,1.7490320536065072,1.784184286789946,1.8048371411491768,1.8666908927647543,1.864645377969193,1.9574478628782426,1.7832292650854318,1.8672386257288072,1.8228254004866402,1.8234324501393764,1.8653012864334486,1.977429720774087,1.8122353907494262,1.8209646281348018
Overqwil,Poison Jab,Sludge Bomb,50,1.2155289189461311,1.2556949341235555,1.140941381828074,1.1506629191282713,1.1414602574438815,1.149196579355208,1.2337839151039798,1.2435298858536672,1.233449903548841,1.2406800909568516,1.245666873126045,1.2525928113021303,1.2433038512286934,1.2509343443325192,1.2576244112012827,1.2659560172532138,1.2608318075516163,1.2819121521338988,1.2273154572030778,1.2424892563371148,1.0771688471834464,1.0927347065207207,1.2143702066060198,1.2424244418274928,1.2567320742782933,1.3092925465483845,1.220865895071022,1.281020983954246,1.341694852027876,1.3964132167606045,1.2546011238731096,1.289366138482488,1.2360584219230037,1.298039747958953,1.421923934147584,1.4849535068993078,1.2109290253349434,1.2610194444089302,1.222879967455313,1.2613925250527915,1.3077449568501742,1.378221348730427,1.2199903333118332,1.2843354009713783,1.2336696010393224,1.280302739715659,1.2457621749626624,1.3220659476755434,1.2124323120848879,1.2652481108666453
Slowking (Galarian),Acid,Sludge Wave,50,1.5847911053959194,1.610424559250267,1.5549659620826213,1.522585567929901,1.5552173045252722,1.5249813475874658,1.6125419273378983,1.615703420737415,1.6505854846019037,1.6354878503623436,1.650062553831576,1.65142459986613,1.669688544982799,1.655621898828025,1.6789887354254225,1.6582006122912345,1.6987607468939676,1.6828351598334013,1.5875183650299791,1.6204238774080577,1.5141625551302875,1.485814696202623,1.6903951449834986,1.703043153572774,1.6602059446646336,1.7194287619747615,1.6427799841551367,1.713802494034027,1.9223666638337655,1.9105817534790401,1.6876730788080174,1.7439361156631816,1.6812782281511367,1.755596291218866,1.902506949242543,2.010386412807037,1.652174724028658,1.693836086731406,1.6857833661916655,1.7090571729399973,1.7932163435033535,1.8131313706082175,1.6376484902675452,1.6975932652627705,1.6760404865685132,1.7559119028812922,1.6645276908827504,1.762737594572857,1.6270905129294742,1.6956112352109296
Qwilfish (Hisuian),Poison Jab,Sludge Bomb,30,1.8078478542062775,1.8202856192546273,1.81293940616137,1.6732850241836272,1.812871472497103,1.6770963836331914,1.7902565611429504,1.767699213644992,1.8781781358657947,1.8105318248719666,1.7998461764191225,1.7666720973897807,1.872692052378303,1.84625277535,2.0179102207426185,1.8211031729506315,2.074396015890142,1.8877243597367832,1.7881629655474927,1.7595414394024296,1.904549478418024,1.6147717899349159,1.8568368611046016,1.7927505906442671,1.8122367309468976,1.8191211480543894,1.7736128537492544,1.8068304673570608,1.9978282702258152,1.9643853231105466,1.789595688390506,1.7914234807988134,1.7031637646759918,1.7656669310683009,1.9549619566299379,2.055641590429252,1.7406307909326584,1.714261211715031,1.8483415081290515,1.808054893750923,1.9208762122135608,1.9112639289584763,1.7639926308048561,1.7935391571711428,1.813646789211501,1.7862836284276271,1.8169508647238812,1.849497052480588,1.8140980699043696,1.7512278542480808
Shadow Venomoth,Bug Bite,Poison Fang,30,2.7654725767281643,2.7475205412116908,2.918347725068049,2.6092549783872814,2.1743708829344053,1.9593213120354585,1.9490065408437087,1.9283709932474737,2.595974798374969,2.5847959285980697,2.930656960405031,2.7085839227218726,3.016722142012511,2.708734348315187,2.942334765175546,2.4658357237838526,2.9199919950455433,2.7577979369135264,2.8064335275453307,2.7027225495032634,3.146441289783661,2.284385784646488,3.024881457821012,2.8631722986831076,2.7471129167099804,2.826036897565004,2.0310778476644225,2.0749674250557435,2.9547406447011415,2.717107967813324,2.7994788903190897,2.8085128487194213,1.992171922058733,2.0338079960196085,2.846314314966402,2.9159883329095955,2.0773253396189086,2.0483451601692106,1.9420141408562859,1.971903682692654,3.0165105507363212,2.707364850585797,1.982494525535547,2.0209279206830213,2.9295084757960757,2.9039179718383865,2.9828994422199733,2.9547075091610413,2.778235612095541,2.65401433474083
Mega Gengar,Lick,Sludge Bomb,35,1.0458978844275748,1.0579162278235676,1.0499620503346774,1.0058945846827954,1.052958334262142,1.0068045495608269,1.038650638195188,1.0420363701189146,1.1251283141299946,1.1169608059386644,1.0376485669654252,1.0291855560915437,1.0692859962132422,1.065535957221078,1.029429772034093,0.9797761075143395,1.0962906432804596,1.090709838507973,1.2023208391437112,1.2356111554631801,1.1432484908708724,0.8752262452244575,1.101320445582216,1.0827265536043755,1.0639148080743897,1.129201140850865,1.044354508971486,1.1056781452121813,1.0892951256592842,1.086347462843712,1.062444460465572,1.0823455363023002,1.0354138767757317,1.0934222783960172,1.0596040539124798,1.1122123574944278,1.079527434263119,1.0847564169625306,1.0453495803617272,1.0659464079248657,1.0815155502011526,1.0614652544757133,1.0354931721109593,1.0745888254398652,1.0965015235894338,1.1071420828448306,1.0691543353136899,1.1391010205750975,1.1798656819238669,1.2650694777641656
Mega Gengar,Shadow Claw,Sludge Bomb,35,1.07891904359714,1.0827450195152108,1.0789625671782923,1.032685485590419,1.084928683164801,1.0390583300916296,1.0921111361821518,1.0905977077343978,1.2261922045005194,1.2239632001732512,1.1007944220299077,1.1036479209649719,1.104578537584935,1.098219217801652,1.0607389980414446,0.985200936955272,1.1182268694509563,1.1149813361717547,1.325479820707243,1.3561147895728607,1.1296072761376816,0.8679295599266996,1.1337855430155919,1.127053395162997,1.1021738318796954,1.1449101682432916,1.0723697307867448,1.1360575389808847,1.0614215224803523,1.0593484529805086,1.0905433133438265,1.1202183346685775,1.0967167441849914,1.1664618751242926,1.0414459124224096,1.0763884043194474,1.101220260666588,1.1181424533224924,1.0994176522537669,1.1251063858896333,1.056593423294409,1.0700544517421633,1.0873546910262284,1.1336287680927453,1.13815747088644,1.1451551164523155,1.0916800767344086,1.1693063765571903,1.32052343968993,1.4174948636084939
Mega Gengar,Hex,Sludge Bomb,35,1.0552531813961927,1.0639037756425997,1.0780676866778773,1.0377598096600382,1.08673527524587,1.0425825633669838,1.06193917345846,1.0738859711305093,1.1236329802806508,1.131277125635154,1.0582508378922257,1.0701214623871877,1.0792710980412064,1.0901639834878112,1.0946311255354815,1.0606742545731058,1.0978292064148039,1.0932273043741916,1.1562800796565724,1.1947916678701418,1.2500622065321287,0.9710753717695885,1.101827376002952,1.108981650566437,1.0566300243484983,1.1130889283878893,1.0404529113389482,1.0806959061600114,1.1270062832227055,1.1316629771818834,1.0616573888135985,1.090668467153403,1.035376447183064,1.0927178269966418,1.108799077546595,1.1685303180186182,1.07818978537151,1.083476301024519,1.0686580928802354,1.1003606831368766,1.1246355562284573,1.1532204519815845,1.064090792939536,1.100247530556966,1.0970814535683344,1.1163438497544411,1.0573767916980537,1.133204426659733,1.1128875395354043,1.1829898573426771
Mega Gengar,Sucker Punch,Sludge Bomb,35,1.1765519904463255,1.1981374269587755,1.2004637510069176,1.1438155355170485,1.114823482742046,1.056060104513641,1.09557806507265,1.101482563223772,1.2660216804559072,1.259779265206598,1.1791174968680005,1.1827753516622965,1.2099585583799883,1.2035012833745584,1.2280185537634547,1.1742007955294504,1.2243910394215602,1.2235276428332285,1.166480233932452,1.1905223158943052,1.4597127145320095,1.0794672678220036,1.2245199192892413,1.226205464994534,1.2208275561164803,1.2917205039831683,1.1147952657395506,1.1757559552944832,1.2855029413894852,1.294143007272881,1.2205098741900442,1.26288470620447,1.1083016568076867,1.158169972695301,1.3128541323229774,1.377232724641588,1.123302399565776,1.1377959171799699,1.1043928905383358,1.1402405587321867,1.2829457961782798,1.2719809707734788,1.1039198719566636,1.1526478961700228,1.2347198790416363,1.2568387055474357,1.2057806152313075,1.2838515311114609,1.1920128432620345,1.245069137274131
Mega Gengar,Shadow Claw,Sludge Wave,35,1.3283778232931973,1.3111564210204594,1.3448915302478026,1.2556470467311982,1.3504837171557655,1.2608023249725941,1.358332175909052,1.3066252211060854,1.6020887992332034,1.5393728468933103,1.3732789726852432,1.3281024499166565,1.3915049801194639,1.344327109205569,1.2953049519917454,1.1478715045693058,1.3769148900792174,1.35125157888969,1.7287808469922943,1.7535956177331768,1.318091189541894,1.0058568087498754,1.3998741680743727,1.384252189617805,1.321490148594654,1.3649068300246414,1.293502775869743,1.3393008910584892,1.2329440066908117,1.2316629509465529,1.3362985133023513,1.3344450015836615,1.3266669590459763,1.399671867237613,1.1790569395656596,1.213499595137472,1.3253305705162852,1.329101712023819,1.3007358293380746,1.3186806390664119,1.248906650678367,1.2240133349794136,1.2824155941521849,1.3286201542097738,1.4282288864551596,1.3981297687938763,1.3326120925117395,1.378288006578657,1.7661703725493512,1.81081954268215
Mega Gengar,Lick,Sludge Wave,35,1.360319692503908,1.3220735332470765,1.4373953314398145,1.2670273523533042,1.4476198894526453,1.2689566430356245,1.3151016656066097,1.27737179582631,1.485917569350589,1.4279156523587422,1.3131054692666015,1.2709703955516432,1.4226943947857893,1.35303211699652,1.3006364267159427,1.1754371801384713,1.3964399255032713,1.351466141019036,1.6185080220761623,1.6307526591022963,1.53100247403498,1.0488334027201232,1.4482996362652907,1.3807814888060337,1.3194311045843405,1.352032360223075,1.291432891539661,1.3383890039243884,1.3261722559005842,1.285573005153838,1.3860726694051995,1.3583856292644438,1.2781821581071362,1.3257125611444531,1.285860588256604,1.3114128804704173,1.334780118810027,1.3492725246763255,1.300194581264971,1.314835013570989,1.303928710699892,1.2638501598229723,1.2761279490127546,1.3220897388106745,1.3990169952094134,1.3937807429533426,1.3251821944572828,1.4107955503249208,1.5780377636559335,1.6268097880013572
Mega Gengar,Hex,Sludge Wave,35,1.4057722247576008,1.383157500673083,1.4917343662534694,1.363323114673593,1.5064799067420176,1.3655059370529234,1.4138698635200915,1.385468461619439,1.5009797512723133,1.4847045707021085,1.3869232552667603,1.3784312527747733,1.46735443664064,1.437936503606329,1.4923552479893105,1.3437480556579244,1.4395375635801553,1.410323148555457,1.6123529305292557,1.609787160133819,1.845164384955226,1.227256500012213,1.4945162598158648,1.4633965884561504,1.3589368359250893,1.3899640226413215,1.3209402895574078,1.360563979333758,1.4119192691972824,1.4037444946123974,1.4412232752063419,1.4202608829135484,1.317509657969138,1.3662597931315563,1.3468769449638267,1.390999845626783,1.3704609881178238,1.3810512823981094,1.3540781513635067,1.3517087775443892,1.4637865446761715,1.4710072095725812,1.3374118660697139,1.3628898498417898,1.4377021708182813,1.4459537869981818,1.3829773833790635,1.4466411434770465,1.6447509087759042,1.6706457001696076
Mega Gengar,Sucker Punch,Sludge Wave,35,1.6631326055590958,1.5988525200228278,1.749605368991049,1.5385435760821022,1.5430778922428081,1.3626952866037516,1.4179174674598618,1.3845928314544493,1.780321076082118,1.7165944920573173,1.6230039400169018,1.5580488442855451,1.6800502161518376,1.599483657420085,1.7589124696182992,1.5403163783461027,1.6303997494842164,1.607799126295435,1.5356514766928273,1.5329271941854246,2.378375358643809,1.4228851054075258,1.7272421512768221,1.6518378345788074,1.601544676492938,1.665774949890117,1.407197806170139,1.4696443629611753,1.7037308352648581,1.6704459174330637,1.7015784973604293,1.666278318580845,1.3795310601346102,1.447928328757345,1.6698306104791671,1.7355287511141468,1.422497182182313,1.4304053383416342,1.3889550771079566,1.402412427960398,1.7123355042098218,1.683213711599522,1.399220837545303,1.4179555407188689,1.6564164391406424,1.6757088670942268,1.5763386378522826,1.650565617685241,1.6245786677254046,1.672089858024209
Mega Gengar,Poison Jab,Sludge Bomb,35,0.9263213697371866,0.9234825669602452,0.9271885931351936,0.8861709255673923,0.9282631070162491,0.8901085883734791,0.9295395032063464,0.9213863419645797,0.9239290311972377,0.9094383374306695,0.9281072488263994,0.9248732402884755,0.9346063713713835,0.9277240673908906,1.0548927312229348,0.9912158208001778,0.9459964399018339,0.9398644956718923,0.900518476327356,0.9105218383553868,1.1168805041373047,0.8705094869323333,0.9587544695708907,0.940991505892624,0.9395919137509718,0.9741738274873023,0.905369579401738,0.9485680382027536,1.0610606169311987,1.0627395700402837,0.9385624809130315,0.9447836985745427,0.9059293389782704,0.9440300555848354,1.0660812016176224,1.103121961695207,0.9161179418754729,0.9195200448454395,0.9261795983121213,0.956942368597616,1.0561078680095186,1.0716150972457492,0.9267942100600393,0.9583261873040207,0.9543201550619306,0.9477740636111577,0.9215050730177411,0.9653187501049687,0.8984747564026956,0.9209291084571956
Gengar,Lick,Sludge Bomb,45,1.3110042378722793,1.310402395907656,1.3295750041066698,1.2613236537571972,1.333506811185443,1.265103751051594,1.2709978598762413,1.267136101006744,1.3421314703487883,1.369377138067528,1.270876398953269,1.282509748808522,1.3222817166865626,1.3183597668550606,1.2904438798514803,1.2353918933709263,1.3333641625857848,1.3299470861149187,1.4470214087629163,1.4803952943931156,1.3733937360773458,1.0537473832322324,1.2963302366681535,1.2883612378117286,1.3091639409428126,1.3656945324956553,1.289422927297011,1.35061688258274,1.339595253979371,1.298928177187618,1.3071077238126791,1.3199503273035391,1.3000714186874234,1.3670334514696973,1.3081380794992694,1.3684679159909439,1.3284998240658954,1.3311468649234337,1.2885891867095047,1.3067218068667166,1.3636340325477334,1.3568050560212328,1.2527101460858925,1.316592338973956,1.37961270180841,1.3670454141645003,1.2996271980433223,1.3884809280534056,1.4624285664185823,1.5078863314028137
Gengar,Hex,Sludge Bomb,45,1.3246163563473816,1.3319760911524925,1.3539837788901972,1.3048553846835511,1.364198474984077,1.3065955385997667,1.319884089124904,1.3242939923739188,1.3589188647237407,1.4080278645593125,1.3187617210354994,1.3423635259425009,1.3505043888198445,1.3565152826836921,1.362983282247704,1.32126608350561,1.3341024669674322,1.3444855343348519,1.4528919025189022,1.4855403141050747,1.5460482008689853,1.191193286365053,1.329273722439514,1.3481096052169335,1.3003131227132105,1.366594149478989,1.2806456155475874,1.3479370811914166,1.4368346536983474,1.4166132327579828,1.3522954180744784,1.3489956508038603,1.2792736466177637,1.3497171041140037,1.3449423841947934,1.4034389000271865,1.3113747374190439,1.3306446173706532,1.3109433184691377,1.3367883676756656,1.4275463093347018,1.4399117051726058,1.2824268698306427,1.3405407361092998,1.391144336061251,1.369215116357384,1.30531452336773,1.3725190856313951,1.4076507283023896,1.486536171423543
Gengar,Shadow Claw,Sludge Bomb,45,1.3640611675616248,1.3596631788453004,1.4222776771730725,1.3065846941301626,1.4231734712806534,1.3132403545304885,1.3453425808982502,1.3462339316261356,1.4814989432482184,1.5144870041588299,1.3177201766929274,1.3354172979415606,1.3591329662141964,1.3596263106115203,1.2610317794708086,1.1892016099507399,1.380707894075659,1.3666851405488458,1.6487658122186037,1.6947232334622302,1.3289180787616564,1.0463690979958893,1.3530333201261082,1.3574925475963906,1.3695106068969354,1.443679456338882,1.3230967184167937,1.394983858554785,1.3566340207077312,1.3189223538702521,1.3650581499431746,1.380304759652032,1.3215593319536054,1.3996420936979905,1.2979846951846978,1.3454106278616567,1.3570804382337267,1.3694407123685226,1.3706696315017826,1.3851239007163683,1.2945277576539496,1.3081766783933084,1.3051961088058521,1.3644383109837674,1.3825337754755274,1.3595376005810846,1.3441610688575618,1.4206308630817053,1.6323795868994995,1.679488066334743
Gengar,Sucker Punch,Sludge Bomb,45,1.48600384234116,1.491332292516048,1.5362466746278387,1.4480325294621899,1.3997532310840526,1.3105799456081002,1.3886345726100375,1.3872374659511026,1.5189907318657785,1.5733814051790864,1.4472630404772098,1.4922285232203905,1.4912859563865595,1.4903792087220895,1.5498508139032365,1.4919628952079893,1.5018096948708763,1.5076865433094189,1.452180985709648,1.4852860631421985,1.8138153796021088,1.308731824217627,1.5190626154895333,1.53398658785323,1.4717728356849717,1.5286577103333974,1.3452664866649129,1.4215484708982324,1.5841904788683907,1.5900679644749551,1.5101784879637679,1.5067943532545256,1.3642863462139019,1.4113684259079322,1.5638887429287764,1.6553808857236758,1.3748589392652741,1.3788403246526204,1.3957097190396188,1.426090530406359,1.6456280504766598,1.6552231910631092,1.3695246224620958,1.4185752127871685,1.5679680731907912,1.5499564532957266,1.4754871011424944,1.5602185649247369,1.4185293297260517,1.4947028828496576
Gengar,Lick,Sludge Wave,45,1.7052377885490184,1.6568850725286208,1.8827453231835403,1.5799807980446672,1.9455620572884083,1.5819236593510038,1.6238842356426253,1.5482885106188253,1.7944376757075426,1.7529753879101182,1.633949675892664,1.59273229674011,1.7939980959162338,1.6856401673042962,1.6636480046468034,1.505476555843135,1.7201328154965692,1.6655832048386656,1.903804098131167,1.9417013556328606,1.7479999291368953,1.2686263938759244,1.6705401371187976,1.594100162311504,1.6116611261509899,1.6514144420416428,1.6085769341472205,1.6617393337339075,1.6202117416467519,1.5311541691867374,1.6414269842954246,1.6456926635565878,1.6066603502653718,1.6642491056595812,1.5656375010076686,1.6030824708722544,1.6544568954032375,1.6470980507909438,1.621948342289916,1.5956446910921203,1.679758383449229,1.6315998734035528,1.5290979749747593,1.5687657627652487,1.7809193466801299,1.7106353893270356,1.6479068786649609,1.7184235669681265,1.9903253923092237,2.0501874861193055
Gengar,Shadow Claw,Sludge Wave,45,1.6989016746810264,1.6752838202113638,1.8331470125983957,1.6393353798130794,1.854522907773994,1.641930717868017,1.7099033164628694,1.632148270953396,2.0079466931890644,1.918488704586744,1.6362014156697584,1.6022835917866443,1.7150471652668047,1.6543332869456076,1.5092832719234612,1.363876121499139,1.6856800903504203,1.6569020187183858,2.232178189796303,2.235140394516467,1.590646392302978,1.204797391915647,1.709434523763011,1.6495316836448188,1.6642403575993523,1.709445950872549,1.5858888043165404,1.6448880543343882,1.6117838732875525,1.5167982427637519,1.7145813908841043,1.673347139405143,1.5839200579515953,1.638335729079315,1.4611515719795312,1.4989012739217291,1.6421566402138605,1.643237660632902,1.6571132728769797,1.6373432691048564,1.5151867477663752,1.48669087864532,1.5604752956666734,1.6158140867443171,1.7266158559778546,1.632631946385662,1.6172572798473275,1.7011440182182018,2.20449693521719,2.2799082211042947
Gengar,Hex,Sludge Wave,45,1.7668055506003983,1.7618259838060266,1.9433848010195018,1.7317558454463278,2.0465954037345884,1.7507965528288592,1.7261695333519524,1.6825997079295816,1.8540818691873642,1.8684181608909602,1.7603982767692357,1.7406377966439164,1.846772248813631,1.8007283448456617,1.8229094157882866,1.6684539580585398,1.81735780406726,1.768939013347942,2.023900206689627,2.023655121393089,2.2694029353967378,1.5167426163463467,1.8259020963789638,1.7837304699564969,1.6701259811507776,1.6924102377895136,1.6465031799152696,1.6932391878579263,1.794022193577014,1.7467785367898885,1.738295688633523,1.7736155315472657,1.6519102703021513,1.69559381859729,1.6815846786050797,1.719821292603173,1.7046135561226705,1.6996724543644472,1.68338984073039,1.6821523831807403,1.8199772016912756,1.8410855890228146,1.6157600288539709,1.6599352772788198,1.808507521219477,1.787645000134059,1.7143702223717876,1.7599219468743605,1.9721665676146019,2.004743517327728
Gengar,Sucker Punch,Sludge Wave,45,2.119908670164537,2.0583346974812535,2.3883325409084857,1.9902971820731261,2.0594778200684623,1.7082808636920648,1.8651397244149006,1.7514309214340744,2.1795019831641596,2.1582533717801153,2.0057084194502135,1.9968035125606938,2.169601121961388,2.0437526035542666,2.233390894186189,1.9811416109005913,2.0695261182941493,2.0110883530871324,1.9349419462868849,1.9412396833300793,2.8850819207015017,1.785305327375464,2.184875048601738,2.0958995062055177,1.9315414444237842,1.985077576980347,1.7171550002860168,1.7745056177723282,2.1084560219550825,2.014054050366927,2.048499126353504,2.042198300338361,1.7216751368448593,1.779305291637019,1.9950752332814292,2.03414833471116,1.7563499797198654,1.7493589383696995,1.8401351151754117,1.8007274530459965,2.1855649222392706,2.192420549132977,1.7495868893731912,1.7979025179031218,2.119526049703922,2.0791480112003997,1.9775130736497302,2.0482636476338048,1.9026809396189486,1.912646757344258
Gengar,Poison Jab,Sludge Bomb,45,1.1698833131064688,1.1527006706167797,1.2012359251565108,1.1168920104254887,1.2001083989609196,1.1191210862093008,1.1349317704222954,1.1254597421547516,1.1244185458935068,1.129658029508841,1.1202128613710423,1.1173140011077984,1.1446841220340198,1.1347552494963247,1.290725416639471,1.2248717371934816,1.1520810573830023,1.1410163735875793,1.1225021344834318,1.1323415928310625,1.356171988512661,1.080411236848385,1.1861652000943945,1.1745125452324152,1.14352857764067,1.1828238401520355,1.128223251680517,1.1836332582747453,1.3347592492541103,1.3052580524832227,1.1480225293058377,1.1558407946335343,1.1171912984892811,1.1682316521270972,1.2908770977051915,1.3376719278669114,1.136023837357212,1.1377327946050086,1.1443559008325195,1.1538833327702602,1.32563714905608,1.3356450966277489,1.1046309914114136,1.1435142697877985,1.1977147890354927,1.1652547074891735,1.1164746025654024,1.1710288575119914,1.0909611953661458,1.1297487495337921
Crobat,Air Slash,Sludge Bomb,50,1.6887044970913616,1.72054518286843,1.5904187807179122,1.6445886971565187,1.405034104783629,1.4328565333867982,1.4170624348640788,1.4658374787454618,1.678959450408865,1.7303937854172267,1.6749083705478587,1.765754101280085,1.967421313237664,1.9997577593830682,1.813425418075293,1.8190952839248282,1.7504005140023386,1.7955058997484783,1.6779951221710152,1.7412640224104394,1.5092619956607085,1.5808399049468083,1.700044425299406,1.7763343691011144,1.7490608331783795,1.8438165722058157,1.4588278815864366,1.5383946638822692,1.9469213897064324,2.0116618512232387,1.7113314623716365,1.8144011531971738,1.4539622248452342,1.5242528637419157,1.9930143671530347,2.1300039523459993,1.4770064439996218,1.5030972061095982,1.4900144826090025,1.5507893678049396,1.9016340708666395,1.9316660095310356,1.4663434806649978,1.543237397954497,1.7451743593618487,1.8397023301495725,1.7387806407347992,1.8736199345244502,1.7042191212857234,1.7877380708943846
Slowking (Galarian),Acid,Sludge Wave,45,1.6312602772924747,1.6534637850120408,1.7148604517946513,1.6606127812618041,1.7307367319615996,1.668734914374141,1.7455976587049193,1.7354069464861146,1.7577986677307709,1.7335724626928524,1.6795799842557848,1.6846822505732197,1.7422592641065013,1.700360673199854,1.7130978666159378,1.699701175496296,1.7330871963688463,1.7224700988796493,1.715740876599707,1.7489031046576606,1.5487739475017133,1.5106559051379238,1.7411284091852204,1.7344472587139104,1.7613784024573975,1.8177614462100238,1.747148098156046,1.817590122754676,1.9608596033739685,1.9349869379692006,1.739910334788466,1.77415286262,1.7065608782872823,1.7811794745187648,1.9778237815041304,2.0921901838868955,1.6847903190969693,1.7176554398040702,1.7084208539518089,1.727414515053174,1.9614249620016182,1.9633975213429828,1.7439116279649702,1.8051555572173108,1.7079231653713836,1.784442081985314,1.6981400490040264,1.7901250790763756,1.695526885289045,1.7757013342822168
Naganadel,Poison Jab,Sludge Bomb,35,1.1795790615028,1.1896917835651903,1.2770639847929994,1.159890496818179,1.2754025543035283,1.1589682057918924,1.1665114239462775,1.188474658686086,1.210795070363226,1.1907094875054642,1.199878769373444,1.1927233537090272,1.1987618505963007,1.1963482500374383,1.4066650323893533,1.2967671761239552,1.3143794379182288,1.2491532606757083,1.1759985858686222,1.1843174678729915,1.3313262164229003,1.1453289537787348,1.2371120775206257,1.2259595260105975,1.2403265780769812,1.2568302442609725,1.2176397190789332,1.2587518419389598,1.4029335142562862,1.390168637153453,1.2204067944342603,1.221372038127764,1.1731629064418976,1.2277488633124205,1.380170450224755,1.4344421333791122,1.1943377938511819,1.2047108649454215,1.209869952481295,1.241110311020101,1.3720915625945818,1.3823617497795582,1.1557374320675098,1.2158023829169091,1.2200777439202348,1.1989402160003766,1.205789230435245,1.2452098533051592,1.2307398597363164,1.2116251244451066
Shadow Crobat,Air Slash or Bite,Sludge Bomb,40,1.5225085766786604,1.5701483846894415,1.5853179661589796,1.5306796789782038,1.3680914829160824,1.3071952161860891,1.285087894289747,1.3241173306027632,1.5041570649972529,1.5353895142952247,1.5869628355025927,1.6123292520774237,1.873202892890511,1.8570159363132208,1.7728148014403031,1.661022870012209,1.7228165581370467,1.7014806443775312,1.5166371863406924,1.5612287692551203,1.809343957967442,1.4773031381350064,1.586649033636639,1.6434204700362829,1.60235878822663,1.6608949098022106,1.304200247196774,1.3659117490311286,1.7814250682624002,1.85165550412522,1.5394264877304715,1.6157676788869169,1.2883232903560953,1.3565189495819605,1.806957434441154,1.9087835749508077,1.3066960544870114,1.3198065731600217,1.3166746567186098,1.3697280525092996,1.7639022360810535,1.8098696537742753,1.3123606095318014,1.3811255960728086,1.6275269307726066,1.6497930296793657,1.57988688890368,1.679942841076546,1.5394602979100174,1.6100170623033023
