Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latios, Tier 5","Palkia, Tier 5","Reshiram, Tier 5","Zekrom, Tier 5","Mega Ampharos, Mega Tier","Mega Charizard X, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Druddigon, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Dragonite,Steel Wing,Outrage,35,1.4740876359023891,1.564366123818815,1.3110643939634226,1.4218718412378342,1.577615470591134,1.4390707495676622,1.4391434619812091,1.4670276669887214,1.673185902742495,,1.5080491920332353,1.6093377598186878,1.6895245369943677,1.5002428407706683,1.5391269545930086,1.553528139265659
Dragonite(Unscaled),Steel Wing,Outrage,35,3.2644393,2.8212783,2.583436,2.647361,2.9930923,2.5274732,3.2454815,2.827419,3.2714703,,3.1570666,3.0475416,3.1603212,4.330081,3.385741,0.91597366
Dialga,Dragon Breath,Draco Meteor,35,1.1664809855189477,1.2117796405384702,1.3049827009813562,1.060764674756392,1.2502281357698384,1.2583664133324899,1.2186323913109027,1.2513287293028377,1.2693439486686557,1.2219353991840634,1.156904407652493,1.279349074932542,1.3487516003410354,1.1562325400812,1.272589325060749,1.2547473224910346
Dialga(Unscaled),Dragon Breath,Draco Meteor,35,2.5832293,2.1854012,2.5714521,1.9750212,2.3719647,2.210098,2.7481964,2.4117,2.4818647,2.4724548,2.421953,2.4226546,2.5228922,3.3371801,2.7994168,0.7398099
Dialga,Metal Claw,Draco Meteor,35,1.449368471864926,1.181055992128926,1.2813392624921496,1.0629763587900516,1.4417066395112228,1.4432188473749505,1.3952033303357472,1.425250555008939,1.6589211665794306,1.5853955960297172,1.4467523219264102,1.834074709957464,1.771670280242249,1.3245739961709528,1.499744201716153,1.4895050644353653
Dialga(Unscaled),Metal Claw,Draco Meteor,35,3.2096975,2.1299922,2.524863,1.9791391,2.7352426,2.5347586,3.14639,2.7469015,3.2435794,3.2078774,3.028743,3.4731174,3.313978,3.8230562,3.2991076,0.8782251
Mega Charizard X,Dragon Breath,Dragon Claw,35,1.2987889181950818,1.4295441517497272,1.1478346855790762,1.1841915642023748,1.3422888844789405,1.2840541697595391,1.2686592631614422,1.2981735747618977,1.3555716241051838,1.3058358823528249,1.1927636947753717,1.226828189340452,1.3193150551060477,1.2526144100860999,1.3448628185670548,1.3410264133327618
Mega Charizard X(Unscaled),Dragon Breath,Dragon Claw,35,2.8762317,2.5781317,2.2617939,2.2048278,2.5466247,2.255214,2.8610144,2.5019846,2.65046,2.6422184,2.4970236,2.3231978,2.46783,3.6153626,2.9584026,0.7906808
Mega Charizard X,Wing Attack,Dragon Claw,35,1.5151129191541934,1.7162766524558681,1.3225653042711512,1.4173637740345213,1.5766352497370502,1.4834481195401916,1.473027668250598,1.5149034823798313,1.5908034444160193,1.5262192840103581,1.487839131947556,1.588862299019693,1.532895227834889,1.4957745567315746,1.5532694130077176,1.5916441662908385
Mega Charizard X(Unscaled),Wing Attack,Dragon Claw,35,3.3552918,3.0952435,2.6060984,2.6389675,2.9912326,2.6054142,3.3218954,2.9196906,3.1103933,3.0881405,3.1147573,3.008768,2.86734,4.3171844,3.4168513,0.9384472
