Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Shadow Flygon(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Tangrowth,Vine Whip,Power Whip,40,1.2858704253315063,,1.2488120487521304,,,,,1.2991706437536064,1.2652009637419321,,1.279132325107469,,,,,1.3169165752967888,,
Tangrowth(Unscaled),Vine Whip,Power Whip,40,2.9129746,,2.8324125,,,,,0.8799236,0.593995,,0.5060457,,,,,0.534363,,
Shadow Entei,Fire Fang,Iron Head,40,,,,,,,,,,,,,,,1.3350885701923467,,,
Shadow Entei(Unscaled),Fire Fang,Iron Head,40,,,,,,,,,,,,,,,0.6337278,,,
Darmanitan,Fire Fang,Focus Blast,40,,,,,,,,,,,,,,,1.4383300618040733,,,
Darmanitan(Unscaled),Fire Fang,Focus Blast,40,,,,,,,,,,,,,,,0.68273354,,,
Shadow Victreebel,Razor Leaf,Leaf Blade,40,,,1.271605810274789,1.352784809766011,,,,,1.2292084623146284,,1.200261475523334,1.2817302520722382,1.3494874852123988,1.1650974126964921,,1.2686170900979696,1.226399768841237,
Shadow Victreebel(Unscaled),Razor Leaf,Leaf Blade,40,,,2.8841107,3.3243618,,,,,0.577097,,0.4748431,0.8864601,0.91218114,0.6105439,,0.5147646,0.73682,
Shadow Shiftry,Razor Leaf or Snarl,Leaf Blade,40,1.2705189055500734,,1.253298519830932,,,,1.1663985098422058,1.2904308955429262,1.2400430614985711,1.175021150155719,1.2015961523130056,1.2898228813418897,,1.205115488059612,,1.2606092195965037,1.2644225558223112,
Shadow Shiftry(Unscaled),Razor Leaf or Snarl,Leaf Blade,40,2.8781977,,2.8425882,,,,0.96251345,0.8740042,0.5821837,0.6946185,0.47537112,0.89205706,,0.6315145,,0.51151526,0.75966406,
Simisage,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Simisage(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Darkrai,Feint Attack or Snarl,Focus Blast,40,,,,,,,1.7521223914846462,,,1.8778907440098014,,,,,,,,
Darkrai(Unscaled),Feint Attack or Snarl,Focus Blast,40,,,,,,,1.4458535,,,1.1101227,,,,,,,,
Shadow Lugia,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Lugia(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Mega Beedrill,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Mega Beedrill(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Roserade,Razor Leaf,Grass Knot,40,,,,,,,,1.2548964382506684,1.2671430848687761,,1.210104900105501,1.2988071231724907,,1.2068949724461393,,1.2791871617373758,1.2834814027715082,
Roserade(Unscaled),Razor Leaf,Grass Knot,40,,,,,,,,0.84993684,0.5949068,,0.47873732,0.89827067,,0.632447,,0.5190536,0.7711146,
Shadow Cloyster,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Cloyster(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Salamence,Dragon Tail or Bite,Hydro Pump,40,,,1.192651952494736,,,,1.1525208640026214,1.2771567366960759,,1.121300295943169,,1.2913557348898745,,,,,1.2814987936069155,
Shadow Salamence(Unscaled),Dragon Tail or Bite,Hydro Pump,40,,,2.7050366,,,,0.9510616,0.86501366,,0.6628612,,0.8931172,,,,,0.76992345,
Torterra,Razor Leaf,Frenzy Plant,40,,,1.2589245863967649,,,,,,1.2772576423254436,,1.2789773770236712,,,,,1.2981605512308378,,
Torterra(Unscaled),Razor Leaf,Frenzy Plant,40,,,2.8553486,,,,,,0.59965545,,0.5059844,,,,,0.5267524,,
Shadow Blastoise,Water Gun,Hydro Cannon,40,1.2593420647330384,,,,,,,1.2969524125626535,1.277924540904973,,1.2281727566487515,1.2905969279945753,,1.2796082348240037,,1.2760097326479174,,
Shadow Blastoise(Unscaled),Water Gun,Hydro Cannon,40,2.852878,,,,,,,0.8784212,0.59996855,,0.48588526,0.8925924,,0.6705508,,0.5177643,,
Sharpedo,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Sharpedo(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Chandelure,Hex or Fire Spin,Energy Ball,40,,,,,,,,,,1.6990419282256786,,,,,1.6121809258278228,,,
Chandelure(Unscaled),Hex or Fire Spin,Energy Ball,40,,,,,,,,,,1.0043955,,,,,0.7652555,,,
Feraligatr,Water Gun or Waterfall,Hydro Cannon,40,1.254216592614069,,1.2880277220589786,,,,,1.2853254498325992,1.2604353333304366,,1.2201689677257548,1.303466035569131,,1.292648830730865,,1.2781191877236344,,
Feraligatr(Unscaled),Water Gun or Waterfall,Hydro Cannon,40,2.8412669,,2.921357,,,,,0.8705463,0.5917576,,0.48271883,0.90149283,,0.67738444,,0.51862025,,
Leafeon,Razor Leaf,Leaf Blade,40,,,,,,,,,1.3341544641905496,,,,,,,,,
Leafeon(Unscaled),Razor Leaf,Leaf Blade,40,,,,,,,,,0.62636775,,,,,,,,,
Kyogre,Waterfall,Surf,40,1.1145506446226618,1.306307451923027,1.1896298882912482,1.3209410597532942,1.1643782053265164,1.3011943735940712,1.1346356500693406,1.1527083268123086,1.1208890952987207,1.1274724097292812,1.0994618827461087,1.1393527463936937,1.3131236524910594,1.1411896344509702,1.2688578518113747,1.1443508524446093,1.1963906243550257,1.2617817661629656
