Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Groudon, Tier 5","Kyogre, Tier 5","Regirock, Tier 5","Suicune, Tier 5","Terrakion, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Swampert, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Donphan, Tier 3","Floatzel, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Kabutops, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Nosepass, Tier 3","Octillery, Tier 3","Omastar, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Poliwrath, Tier 3","Rhydon, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Whiscash, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Shadow Abomasnow,Razor Leaf,Energy Ball,40,1.5675280270505556,,,,,,1.558487001694109,,,,,,,,,,,,,1.4619447493461366,,,,1.5644415717408298,,,1.5265855016852807,,1.5300778545122526,,,,,,,,,,,,,,,1.4410566927525137,,,,1.4002054978874228
(Unscaled),,,,3.843071,,,,,,3.7404966,,,,,,,,,,,,,1.3430787,,,,1.1552539,,,0.96042466,,1.1585703,,,,,,,,,,,,,,,0.977596,,,,0.512937
Vileplume,Razor Leaf or Acid,Solar Beam,40,,,,1.4030177584640962,,1.3845888915171725,,,1.3656595570959857,,,1.4246343511246566,,1.4072406016172005,,1.3918235739693823,1.3661777230161212,1.2714006984958233,,,1.3898464060307565,,1.3842705860910358,1.413610277489898,1.3821670271308941,,,1.40271271232124,,1.369343165375087,1.3214335289690888,1.3758777207405384,1.3585925903432607,1.364572540892467,1.3924982233511114,1.3510975351294174,,1.4236564553705746,1.387917831367982,,,1.3659399381702924,1.3807214598636526,1.3725238185859043,1.3755999860223995,1.3536418537837929,1.3984272442501315,1.3676190143417217
(Unscaled),,,,,,,2.739637,,2.2681816,,,4.0885053,,,3.4895954,,2.173217,,1.9825984,0.75330985,0.79188806,,,1.4537767,,1.0078499,1.0438733,0.6656405,,,0.5893042,,0.65577406,0.95063233,0.9320109,1.1408856,0.8018791,0.7087704,0.7771055,,1.0154299,0.6193409,,,1.0388969,1.0510935,0.9311041,0.97036797,0.88062584,1.0070062,0.5009996
Ludicolo,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Unscaled),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breloom,Counter or Bullet Seed,Grass Knot,40,,1.3707562094120884,,1.2712071571580412,1.2270273271345387,1.2052709056641207,1.3273897308508626,1.3155027816806188,1.080932885393571,1.2349704453986547,1.159632865564477,1.2817714985714854,1.1461463716866251,1.1298199734263354,1.3750424745603693,1.3414735819373083,1.2206604792604132,1.2413315142454897,1.043953352055795,1.2350510485981612,1.1514400456367941,1.0927789517733786,1.1242919493363919,1.2985213927267965,1.2389146296759037,1.1989760740829847,1.2823620783136376,1.1571597595558556,1.2380726277612102,1.1946361512542993,1.1445135114554772,1.2248203223620178,1.0706346073351112,1.2614043221336881,1.1880941498565123,1.1515089293336307,1.1154949939966294,1.300166937521226,1.2219443083933073,1.149458752422387,1.2668647081292812,1.3259653348153742,1.2181053833402886,1.194872759450598,1.080339377842257,1.1975236305484545,1.1413784574928645,1.2068408849075343
(Unscaled),,,,,3.3576221,,2.4822538,2.6056702,1.9744296,3.1858442,3.1050045,3.2360919,2.9068475,2.328006,3.1396575,2.8466089,1.7447933,3.658185,1.9108768,0.6730717,0.77315956,0.62246084,1.134633,1.2044041,0.64558077,0.8185665,0.9588865,0.5966513,0.60800916,0.80677575,0.4861431,0.93746483,0.57210743,0.823357,0.82968557,0.8990713,0.7412532,0.60473037,0.6623089,0.65182656,0.9273504,0.5452773,0.42511794,0.9519284,1.0084933,0.92729974,0.8105877,0.7620869,0.7790615,0.8219056,0.44210178
Roserade,Razor Leaf or Poison Jab,Grass Knot,40,1.2827572532929616,1.2916429166018568,1.2823720681933208,1.1388125875561954,1.1692749634541153,1.128284648195768,1.2428762850602606,1.2003627308306843,1.1670559718276006,1.1453851869695497,1.1625384158529375,1.1466642911842795,1.190526932161159,1.1538173433859724,1.1878612592917799,1.1571174640793958,1.1429009741755345,1.0754604148665992,1.139456959162504,1.1448303960451651,1.1682818544316667,1.1288023420697373,1.1176951648660458,1.1509820705647775,1.1269461860179804,1.1731386078283281,1.1940401686722404,1.1395318828995304,1.18631045481218,1.1429282885164402,1.1119250746815303,1.1404889948046462,1.1129241785257733,1.1257251107835795,1.147247984034954,1.0995901879474468,1.1761550327686832,1.1657792115741181,1.163178060541043,1.1697272001458787,1.18307553314728,1.1841678818690489,1.1434404678314147,1.1366861722114017,1.1418628498271974,1.1264039817730078,1.163998052490275,1.1463117660643498
(Unscaled),,,,3.1449053,3.1638367,3.1444135,2.2237303,2.4830294,1.8483136,2.983005,2.8332374,3.4939268,2.6959836,2.333839,2.8087168,2.956834,1.7818527,3.1602051,1.6482687,0.63019514,0.66984725,0.6794052,1.0517479,1.2220206,0.6668623,0.81376356,0.84993684,0.5427282,0.5949068,0.75120956,0.47873732,0.89827067,0.5473447,0.79991305,0.77256006,0.9345842,0.6615225,0.58394,0.632447,0.68727255,0.8314977,0.5190536,0.43261406,0.8889688,0.900646,0.87046003,0.7711146,0.80548644,0.73279387,0.83819395,0.41992816
