Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Zacian (Hero)(Unscaled),Metal Claw,Iron Head,40,,,,,2.765647,,,,,,,,,,,,,
Garchomp,Mud Shot,Earth Power,40,,,,1.3496112794673767,,1.3547141930345794,,,,,,,,,,,1.2778146675295174,1.3435262279743425
Garchomp(Unscaled),Mud Shot,Earth Power,40,,,,3.3165631,,0.6496284,,,,,,,,,,,0.76771003,0.794929
Alakazam,Confusion,Focus Blast,40,,,,,1.4602717383184443,,,,,,,,,,,,,
Alakazam(Unscaled),Confusion,Focus Blast,40,,,,,2.629161,,,,,,,,,,,,,
Shadow Granbull,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Granbull(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Omastar,Water Gun,Hydro Pump,40,,,,,,,,,,,,,,1.2438589741800838,,,,
Shadow Omastar(Unscaled),Water Gun,Hydro Pump,40,,,,,,,,,,,,,,0.6864033,,,,
Flareon,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Flareon(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Crawdaunt,Waterfall or Snarl,Crabhammer,40,1.2774472639586387,,,,,,1.1434917932741735,,,1.206621049808245,1.2912993696321016,,,1.1884178874903797,,,,
Crawdaunt(Unscaled),Waterfall or Snarl,Crabhammer,40,3.000555,,,,,,0.9436108,,,0.72338766,0.5153989,,,0.65580904,,,,
Greninja,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Greninja(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Torterra,Razor Leaf,Frenzy Plant,40,1.0767947368689939,1.3083929532453413,1.167851547076322,1.2362982167076784,1.1274093216506158,1.2485458834108363,1.12922957455709,1.067417443498471,1.069984638093822,1.0962791935884195,1.0726288546145135,1.0695956893851066,1.2781438941123064,1.0814180069104153,1.3002176792017073,1.0546957420349912,1.1854146942938673,1.2207281683685058
Shadow Torterra(Unscaled),Razor Leaf,Frenzy Plant,40,2.5292487,2.5352254,2.7323585,3.0381052,2.0298555,0.59871733,0.9318416,0.77736586,0.507107,0.65723604,0.4281205,0.77776057,0.8639567,0.5967629,0.6171756,0.4496786,0.7121962,0.72227263
Weavile,Snarl or Ice Shard,Avalanche,40,1.2672976940381495,,,,,,1.1678871043813315,,,,,1.263694970720087,,,,,1.3115223855158264,
Weavile(Unscaled),Snarl or Ice Shard,Avalanche,40,2.976715,,,,,,0.96374184,,,,,0.9189006,,,,,0.7879616,
Shadow Porygon-Z,Hidden Power Water or Lock-On,Solar Beam,40,1.2648765277572005,,,,,,,1.193773060710214,1.2856363159968955,,1.2287366585490516,1.1851542273450266,1.3357451371695401,1.1081472552328717,,,1.2066106279768682,
Shadow Porygon-Z(Unscaled),Hidden Power Water or Lock-On,Solar Beam,40,2.971028,,,,,,,0.8693866,0.60931265,,0.49042812,0.8617894,0.90289205,0.611513,,,0.7249307,
Clawitzer,Water Gun,Crabhammer,40,1.2771199147844834,,1.2508195900113752,,,,,1.18621835453684,1.2781157423394396,,1.2622213703737108,1.2719604848382833,,1.2298345497928092,,1.2395340448157959,,
