Attacker,Fast Move,Charged Move,Level,[Blanks],[Average],[Average T5/Mega only],"Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3"
Electivire,Thunder Shock,Wild Charge,40,0,1.209967419,1.211357141,1.195607405,1.261239055,1.194674795,1.210430744,1.254856725,1.188428175,1.18362949,1.20920745,1.237943247,1.179320706,1.184518485,1.183806342,1.154595359,1.218496147,1.168503788,1.190339107,1.194583699,1.1738139,1.212774899,1.315663768,1.226487781,1.177222282,1.184699141,1.239567092,1.21995463,1.188450805
Shadow Victreebel,Acid or Razor Leaf,Leaf Blade,40,10,1.215879231,1.217008543,,,1.189799171,1.184938053,1.221445566,1.194228922,1.296385545,1.231100359,1.197465878,,1.226661439,1.190084241,,1.219627117,,1.197732964,,1.189613843,1.211054058,,1.228430144,,,1.21890973,1.189025471,
Shadow Exeggutor,Bullet Seed or Confusion,Solar Beam or Seed Bomb,40,2,1.215981879,1.222741146,1.291529207,1.222646387,1.145287374,1.144201348,1.277220357,1.183988753,1.270471902,1.229792875,1.283762093,1.1751029,1.159332002,1.180867121,,1.198470712,,1.148081933,1.175226859,1.179345214,1.184940653,1.130606735,1.163834764,1.186002084,1.201099917,1.184316424,1.098702155,1.220079523
Magnezone,Spark,Wild Charge,40,0,1.227874529,1.226089292,1.171997447,1.316872048,1.228025544,1.223507472,1.226939543,1.22483978,1.212237665,1.212275283,1.229558619,1.216336949,1.239097223,1.234613477,1.214282921,1.225873468,1.221776473,1.208776652,1.203513654,1.221256819,1.229437853,1.394920622,1.25285534,1.188992032,1.195693998,1.242160308,1.250739632,1.283863524
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,40,8,1.22929237,1.227857524,1.272858423,,1.202146448,1.20184672,1.283910807,1.207016893,,1.250164386,1.227821163,1.178452098,1.250433044,1.275849087,,1.217639115,,1.214061264,,1.259941822,1.300149977,,1.250443285,1.165784698,,1.227582027,1.234985994,
Shadow Manectric,Thunder Fang,Wild Charge,40,4,1.24836019,1.26150837,1.30993399,,1.217168901,1.166639192,1.308991596,1.217227016,1.331645361,,1.274781999,,1.161576626,1.157502737,1.212876059,1.196687693,1.174358816,1.207295533,1.172572968,1.152935255,1.164062828,,1.225977573,1.184287058,1.186407527,1.223080158,1.246755388,1.229230449
Zapdos,Thunder Shock,Thunderbolt,40,7,1.24598238,1.246588113,1.222511322,,1.221410992,1.262076232,1.305641247,1.241979887,1.266592163,1.235069925,1.245950189,1.219045783,1.250014933,1.23461639,1.242184129,,,1.225169817,1.243823308,1.235355715,1.267290647,,1.234832232,,,,1.262632188,1.214368898
Shadow Gallade,Low Kick or Confusion,Leaf Blade,40,17,1.252552156,1.251762866,,1.225515782,,,,,,,1.276760089,,,,,1.246852181,1.235186143,,1.254484467,1.3169491,,1.241439883,1.244462807,,,,,1.24287313
Breloom,Bullet Seed or Counter,Grass Knot or Dynamic Punch,40,18,1.247126676,1.245717461,,,,1.29982524,,,,1.217314672,1.222589033,,,,,1.191731822,,1.313697512,,,,,1.239678718,,,,1.287928058,1.241428965
Roserade,Poison Jab or Razor Leaf,Grass Knot,40,11,1.254861253,1.257931083,,,1.27117802,1.216799357,1.296324279,1.240488807,1.257569257,1.269835966,1.252991712,,1.271678102,1.197096807,,1.232153891,,1.194970473,1.242207098,1.235671223,1.258568295,,,,,,1.211439387,
Hariyama,Counter,Dynamic Punch,40,23,1.259792366,1.259976799,,,,,,,,1.266579558,1.25337404,,,,,,,,,,,,1.256349624,,,,,
Shadow Porygon-Z,Charge Beam or Lock-On or Hidden Power Grass,Solar Beam,40,11,1.275812046,1.291608069,1.316013018,,1.320244809,1.239969066,,1.251819425,1.328166123,,,,1.228800345,1.20273431,,1.238032036,1.187488712,1.234713121,1.204218994,1.171383791,1.192025686,,,,,,1.180892492,1.20876506
Mewtwo,Confusion or Psycho Cut,Thunderbolt,40,18,1.276210162,1.276141422,1.284336877,1.175811717,,,1.317552933,1.302140003,1.29968824,,,,1.311977008,,,,,,,,,1.191219571,,,,,1.328519552,
Shadow Vileplume,Razor Leaf,Solar Beam,40,16,1.275949298,1.278921011,,,1.318961871,1.243118976,,1.293461866,1.2610356,,,,1.27178382,1.249246283,,,,1.255065249,,1.244315115,1.277919641,,,,,,1.250384033,
Luxray,Spark,Wild Charge,40,13,1.276352707,1.277474761,1.270824217,,1.296540973,1.28236226,1.324532824,1.256618481,1.236041477,,,,1.270143722,1.261383144,,,1.236595816,1.271165423,,1.252503323,1.284470518,,,,,,1.297865432,
Shadow Cacturne,Poison Jab or Sucker Punch,Grass Knot,40,17,1.280645151,1.288053873,,,1.258714582,1.239668539,1.353777608,1.300054764,,,,,,1.231778802,,,,1.288317433,,,,,,1.129897103,,1.201183482,1.288627683,
Shadow Magneton,Thunder Shock or Spark,Discharge,40,14,1.29257576,1.296568675,1.245893892,,1.291724427,1.293979208,1.357243167,1.253712793,1.334939996,,,,1.273462864,1.270327318,1.240965979,,1.241400743,,,1.23441076,1.280156792,,,,,,,
Tangrowth,Vine Whip,Power Whip,40,15,1.293833321,1.29374085,1.287569253,,1.289967785,1.276451975,1.287875314,1.299999917,1.340582436,1.274704774,1.291497249,,1.306768415,,,,,1.284312277,,,,,,,,,1.297118311,
Shadow Arcanine,Snarl or Thunder Fang,Wild Charge,40,15,1.300104146,1.308309047,1.253806069,,1.310716462,,1.383199736,1.288114435,1.30583237,,,,1.255129451,1.238668914,1.212787511,,,,,1.238470052,1.281426085,,,,1.205833952,,,
Exeggutor (Alola),Bullet Seed,Solar Beam,40,24,1.311688697,1.312892619,,,,1.312892619,,,,,,,,,,,,1.300987161,,,,,,,,,,
Shadow Tangela,Vine Whip,Power Whip,40,17,1.318978633,1.320409152,,,1.315575448,1.301494895,1.344337471,1.270340597,1.367921721,,,,,,,,,1.28201978,,1.306094752,1.334037207,,,,,,1.289548404,
Sceptile,Bullet Seed or Fury Cutter,Frenzy Plant,40,14,1.318110279,1.321423295,1.363204349,,1.303430952,1.269921347,1.384958161,1.296657341,1.360177197,1.27214018,,,1.28892834,,,,,1.232995575,,1.29723268,1.312973124,,,,,,1.249333521,
Shadow Ho-Oh,Hidden Power Flying or Hidden Power Grass,Solar Beam,40,19,1.318851846,1.321757702,1.337744587,1.305770816,,,,,,,,,1.308955649,1.295296767,,,,,,1.272196648,1.339714555,1.326435963,,,,,,
Heracross,Counter,Close Combat,40,25,1.320549371,1.320549371,,,,,,,,1.320549371,,,,,,,,,,,,,,,,,,
Shadow Absol,Snarl,Thunder,40,23,1.323526932,1.328685693,,,,,,,,,,1.328685693,,,,,,,,,,,,1.312392148,1.286513286,,,
Venusaur,Vine Whip,Frenzy Plant,40,20,1.325797561,1.327895714,1.325924676,,1.319062622,,1.340590479,,1.326095111,,,,,,,,,1.257363846,,,,,,,,,1.318697751,
Torterra,Razor Leaf,Frenzy Plant,40,25,1.329091225,1.329091225,1.329091225,,,,,,,,,,,,,,,,,,,,,,,,,
