Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Victini,Victini,Volcanion,Volcanion,Entei,Entei,Reshiram,Reshiram,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Flareon,Flareon,Lampent,Lampent,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Torracat,Torracat,Typhlosion,Typhlosion
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,17.5,0.0,17.5,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Unscaled: Aerodactyl,Rock Throw,Rock Slide,30,3.6026702,3.5234418,3.1084538,2.9804664,3.4454792,3.2769961,2.5341449,2.5222785,3.5567024,3.1584578,2.390075,2.3046598,1.8058227,1.8411425,1.7448738,1.7109864,0.94572604,0.94975585,0.9987535,0.9959332,0.67579705,0.6896457,0.84645,0.8733191,1.020563,1.0548105,1.0313717,1.0628431,0.5933525,0.6190974,0.99714303,0.9763644
Gigalith,Smack Down,Meteor Beam,35,1.602232511552646,1.575210663704326,1.561743908111542,1.5431494514237416,1.5013055166218405,1.3445504066529903,1.5713851050048249,1.5694226776445586,1.5759852395267357,1.5129925225918146,1.591658284333117,1.5313379686711384,1.545718921483541,1.5257322569906466,1.607468253793268,1.5962813717110853,1.5036555925957718,1.533204660406573,1.5521484510985675,1.5481686062025326,1.564488457451499,1.60853480379611,1.558886946654757,1.6263285341025027,1.4890417271048408,1.5479589680235777,1.5143458919815675,1.5575525980456388,1.529690221325197,1.5947209869108492,1.6326308972397767,1.5619453218667692
Unscaled: Gigalith,Smack Down,Meteor Beam,35,3.0150092,2.9641607,2.6437204,2.6122437,3.1972053,2.863377,2.1164238,2.1137807,2.7571597,2.646955,2.018609,1.9421082,1.5833309,1.5628579,1.487301,1.4769504,0.80141723,0.81716627,0.87834746,0.8760953,0.5812079,0.59757113,0.7462635,0.77854884,0.86734045,0.9016587,0.90365255,0.9294352,0.5256013,0.54794586,0.88838696,0.8499238
Landorus (Therian),Mud Shot,Bulldoze or Earthquake,35,1.550786922272723,1.4453434455950194,1.5739298707549776,1.5048146851589457,1.524944559272098,1.248016744046006,1.5846854488286914,1.5692239179289433,1.6536652081025986,1.4717893832875903,1.884359279182131,1.5014332824466483,1.6664197092156554,1.5320506124473192,1.6455746179063608,1.570743038271834,1.4483088037667509,1.4731929995398507,1.6247734105872609,1.5117121412341659,1.4890801697376916,1.5241879763859127,1.4718002713928686,1.4975941874465757,1.4168118928248978,1.4666856658133647,1.4369447941245321,1.4701302504724223,1.4910158715736268,1.5768372178763883,1.5267659834411602,1.4533802056954
Unscaled: Landorus (Therian),Mud Shot,Bulldoze or Earthquake,35,2.9182012,2.7197824,2.6643488,2.5473506,3.2475474,2.6577973,2.1343374,2.113513,2.8930595,2.5748708,2.3898249,1.9041818,1.7069687,1.56933,1.5225587,1.4533212,0.77191854,0.7851813,0.9194453,0.8554649,0.5531937,0.56623626,0.70457375,0.7169217,0.82526785,0.85431844,0.85746515,0.87726784,0.5123128,0.541801,0.83078116,0.7908487
Gigalith,Smack Down,Meteor Beam,40,1.5075884210437374,1.4828475820259504,1.4674471919367686,1.4517867495526053,1.3180101376928532,1.2511312481724997,1.5090694422046547,1.5215052518004202,1.4428050523720377,1.4240985566480433,1.5656710659560666,1.49731459128446,1.4958771219906026,1.4742014559718373,1.5298985867950134,1.5218790840560614,1.42219833136093,1.4882971522812567,1.455077776407275,1.4896390897617455,1.5263433987182997,1.5701285608721478,1.5006343014516341,1.5588699010435425,1.4630029101313466,1.5306017024036611,1.452121139888918,1.4882449703170442,1.46854991168069,1.5319043085673236,1.5195181646636444,1.4860819297230663
Unscaled: Gigalith,Smack Down,Meteor Beam,40,2.8369122,2.790356,2.4840949,2.4575849,2.8068564,2.66443,2.0324938,2.049243,2.5241632,2.4914365,1.9856509,1.8989583,1.5322763,1.5100732,1.4155301,1.4081101,0.7580022,0.7932315,0.823416,0.84297395,0.567037,0.5833032,0.71837705,0.74625534,0.8521733,0.8915484,0.8665213,0.8880774,0.5045935,0.52636206,0.8268373,0.80864316
Shadow Mamoswine,Mud-Slap,High Horsepower,45,1.255138673465001,1.1908520933462596,1.4123442920198142,1.2109079382197616,1.2490956705964973,1.0410175220733382,1.4860281646303637,1.2750511488860994,1.4235395344179356,1.177842290797648,1.4322766454717224,1.228450122362226,1.4132082047537275,1.2082699668955312,1.3634514296979263,1.2677338009287062,1.188597492303875,1.1768627015029196,1.3071437381801523,1.261263132820184,1.2556767117376062,1.235161814682885,1.2997875147582407,1.25773256605801,1.1557554624406612,1.1713131884007464,1.2217257722978865,1.178493443168082,1.1941100785759993,1.1864334740794256,1.3055918612779989,1.2221074038435384
Unscaled: Shadow Mamoswine,Mud-Slap,High Horsepower,45,2.3618636,2.240892,2.3908167,2.0498252,2.660095,2.2169683,2.0014606,1.7173057,2.4904585,2.0606153,1.8164744,1.5579729,1.4475958,1.2376708,1.2615258,1.1729636,0.6334978,0.6272434,0.7397014,0.71373796,0.46648425,0.45886296,0.62222856,0.6020962,0.6732071,0.6822692,0.72903794,0.70324,0.41029602,0.40765834,0.7104305,0.6650029
Electivire,Thunder Shock,Wild Charge,50,2.1396207721185396,2.0858483125673475,2.042667291745358,2.0307735077063436,1.1157903203895798,1.0889078771780853,2.2026403190134274,2.231178264225538,3.439967071418577,3.197203265512924,2.393692705662725,2.0981021219361247,3.4100729938408705,3.3163766079975945,2.1674368415523513,2.171109817038612,2.014231135639896,2.061527536015708,2.2469447317983624,2.12929017829216,2.052804240147544,2.1140829288204035,2.1102249435781912,2.165348068874296,2.0447011007888136,2.1310573729021467,2.01911132136139,2.094068256931211,2.045213468237164,2.1811113818071446,2.149949167904696,2.138340852170858
