Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Victini,Victini,Volcanion,Volcanion,Entei,Entei,Reshiram,Reshiram,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Flareon,Flareon,Lampent,Lampent,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Torracat,Torracat,Typhlosion,Typhlosion
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,17.5,0.0,17.5,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Unscaled: Shadow Hippowdon,Bite or Thunder Fang,Earth Power,50,2.8400784,2.9216921,2.4721775,2.4718807,2.5534468,2.5496583,2.1440148,2.213795,2.7184973,2.774558,1.9333701,1.8935537,1.6722732,1.721909,1.459697,1.5148157,0.79732925,0.8385743,0.87947524,0.8911481,0.5552895,0.5826491,0.7527223,0.7787021,0.84002566,0.8759582,0.91002554,0.93737334,0.5076702,0.5523989,0.88744974,0.8596136
Shadow Donphan,Mud-Slap,Earthquake,50,1.4322303151988272,1.382424790558559,1.4244497371869405,1.3925944715743772,1.3042275166230617,1.1550676232018653,1.4524908594289918,1.4567573996972498,1.381473111602329,1.3404303053610347,1.6478961006438277,1.3759143261774738,1.4209712076053393,1.397006246991945,1.4805337919364874,1.4408061264677745,1.3168314901565117,1.3409785653006192,1.447417737749681,1.367321097298881,1.3822919595107706,1.3792927962261563,1.3694437783101283,1.404860109008355,1.2888601078522044,1.3273260835565304,1.3339895899298972,1.356826461477916,1.3233050784687526,1.387592479309434,1.435874080483048,1.3717141075052872
Unscaled: Shadow Donphan,Mud-Slap,Earthquake,50,2.6951067,2.6013849,2.4113088,2.3573842,2.7775047,2.4598513,1.9562908,1.9620372,2.416864,2.3450603,2.0899322,1.7449933,1.4555477,1.4309996,1.3698556,1.3330978,0.70184386,0.71471375,0.81908125,0.77375525,0.51352185,0.51240766,0.6555741,0.67252845,0.7507382,0.77314395,0.7960289,0.8096563,0.4546874,0.47677654,0.78132284,0.74641055
Arcanine (Hisuian),Snarl,Rock Slide,45,1.7198321928289182,1.7514292906659323,1.5642401861720008,1.5799682679621612,1.683793848911872,1.528440540497264,1.6852779859173879,1.766092334987858,1.6684085906055,1.7079821058013018,1.5582789477124528,1.55409268273336,1.673920492652292,1.7106872472135526,1.8292088014799117,1.8860831797522903,1.6767701556861736,1.7491866709632693,1.700302619901981,1.7576937907167345,1.5617312589912449,1.6284496474672914,1.7435368097467474,1.8392895489514023,1.5162992077184148,1.5921896682525805,1.6878431222186554,1.7658914161506456,1.6911821522146855,1.7828117086088195,1.7298936826327715,1.8029322731245603
Unscaled: Arcanine (Hisuian),Snarl,Rock Slide,45,3.236303,3.295761,2.6479461,2.6745706,3.5858355,3.2549925,2.2698207,2.3786657,2.9188528,2.988086,1.9762759,1.9709667,1.714652,1.7523134,1.6924652,1.7450879,0.8936837,0.9322802,0.96218663,0.9946638,0.5801836,0.6049695,0.83465827,0.8804966,0.88321745,0.9274223,1.0071832,1.0537568,0.5810899,0.6125738,0.94131196,0.9810555
Rhyperior,Mud-Slap,Rock Wrecker,40,1.3460426917402801,1.3804745367768634,1.3513133445990853,1.3699952894618042,1.290556652753521,1.1767982942658177,1.365085142217514,1.4082338940777774,1.2988637444475033,1.3192117535052639,1.354235825682261,1.3654506349612736,1.3200552945184818,1.3486596643864839,1.3585988739839983,1.391922393694034,1.3246253020169172,1.3848049431567928,1.340653648385538,1.4017772668041957,1.4197962381078153,1.4453275782187833,1.3795198025717146,1.4464903587850488,1.346648816624986,1.4151450610602245,1.3895387876656762,1.397501896886114,1.3680386570621994,1.4245434871140652,1.453366606364046,1.4134839943220954
Unscaled: Rhyperior,Mud-Slap,Rock Wrecker,40,2.5329227,2.597715,2.2875035,2.3191283,2.748391,2.5061293,1.8385682,1.8966832,2.2723403,2.3079388,1.7174997,1.7317228,1.3521762,1.3814766,1.257036,1.2878684,0.7059978,0.7380723,0.75866437,0.7932537,0.5274547,0.5369396,0.66039765,0.6924575,0.7843991,0.82429695,0.82917666,0.83392847,0.47005785,0.4894729,0.7908413,0.7691394
Shadow Electivire,Thunder Shock,Wild Charge,50,1.7997246294164422,1.7547238213941867,1.9053819818783104,1.814033634920412,1.0153925821487029,0.9373558631466403,1.9716663830424184,1.8803374445484897,3.0301508468329392,2.6176785235777054,2.0641621670678645,1.76963762535357,3.1037160767055245,2.735027378791858,1.9493349000545155,1.822497709794299,1.7263735877147188,1.731111183033861,1.9496026976200729,1.773853781838706,1.7810180385328376,1.805907656381847,1.8447824553868726,1.8299685658875542,1.7290765745156549,1.7892878461714632,1.7279796688598326,1.750971552414411,1.7463285706515046,1.792879524998601,1.8933020352685794,1.7918468884362313
Unscaled: Shadow Electivire,Thunder Shock,Wild Charge,50,3.386641,3.3019605,3.225431,3.0707965,2.162397,1.9962087,2.6555436,2.532537,5.301198,4.5795846,2.6178586,2.24433,3.1792388,2.8015788,1.8036112,1.6862558,0.9201213,0.92264634,1.1032634,1.0038086,0.6616487,0.6708952,0.88312614,0.8760345,1.0071565,1.0422285,1.0311338,1.0448537,0.6000382,0.6160331,1.0302297,0.97502345
Magnezone,Spark,Wild Charge,40,2.315981234752599,2.306818246433875,2.5637022018310254,2.3286565656124094,1.563286952060434,1.2575546576057557,2.740338139502146,2.4770898429553236,3.9840681522406163,3.626002238832588,2.59100099689121,2.3004687509732955,4.310394568953651,3.777031687937419,2.6822143425023706,2.523045586657968,2.366103558440596,2.3578660895335046,2.5791040471723017,2.4023764983882065,2.452438528444716,2.4487925015830405,2.5992374177904374,2.5031805940729734,2.382717037067049,2.4238127064118515,2.396078065521212,2.384993450198086,2.4182034665151027,2.3822535069356703,2.492411573104492,2.39423965403301
Unscaled: Magnezone,Spark,Wild Charge,40,4.3581095,4.340867,4.3398356,3.9419503,3.329202,2.6781094,3.690831,3.3362744,6.9700603,6.34363,3.2860181,2.9175527,4.4152794,3.8689382,2.4817038,2.3344338,1.2610841,1.2566937,1.4594928,1.3594842,0.9110816,0.9097271,1.2442955,1.1983116,1.3878905,1.411828,1.4298068,1.4231923,0.8308943,0.8185419,1.3562318,1.3028121
Mega Manectric,Thunder Fang,Wild Charge,50,1.7691353141543233,1.7576342426280658,1.786373843764905,1.7831410346005396,0.951293723419806,0.9357748744175418,1.841737817744543,1.8582594499590306,2.8620714963138827,2.737368955586427,2.035356639545412,1.7983434874097837,2.9568122866294457,2.9010851939750064,1.8651829721963193,1.8496392953040302,1.7425682144286105,1.7770907591618248,1.8789400227676194,1.8195950671807346,1.7508324085246987,1.8119819452087624,1.7990198564659265,1.8644830041051512,1.715656870603622,1.7932761218667073,1.7074239037261822,1.772776965691754,1.7225509104588321,1.7955134029024404,1.7742179098048239,1.7748032691322377
Unscaled: Mega Manectric,Thunder Fang,Wild Charge,50,3.3290794,3.3074372,3.023974,3.0185015,2.025891,1.9928418,2.480549,2.5028012,5.007146,4.788981,2.5813262,2.280736,3.0287604,2.9716773,1.7257501,1.7113684,0.9287527,0.9471525,1.063276,1.0296932,0.65043473,0.6731518,0.86121887,0.8925571,0.99933976,1.0445516,1.0188676,1.0578656,0.5918682,0.6169381,0.96543074,0.96574926
Thundurus (Therian),Volt Switch,Thunderbolt,40,2.120136302540113,2.1024052492271714,2.1220789080719626,2.1188571456926812,1.1410374458464754,1.1073570187536563,2.183371095451885,2.1869557495684013,3.9974570776101195,3.400009214149642,2.4776153649455264,2.138079091643894,3.835229071014992,3.4846144759565494,2.2988104548376627,2.2251051722117965,2.087098137497848,2.08570277360704,2.2751648107746467,2.094133079244533,2.0580213290821745,2.129389512169412,2.129116327105279,2.1622453916270956,2.0110435973762635,2.065728692528511,2.026856559111851,2.085177270976589,2.0330670710750933,2.117827444792391,2.179859610794488,2.1255778796951694
Unscaled: Thundurus (Therian),Volt Switch,Thunderbolt,40,3.9895773,3.9562118,3.5922556,3.5868018,2.4299724,2.358246,2.9406786,2.9455066,6.993484,5.948259,3.1422176,2.7116032,3.9285517,3.5694056,2.1269615,2.0587661,1.11238,1.1116363,1.2874962,1.1850519,0.7645555,0.7910688,1.0192412,1.0351006,1.1713973,1.2032504,1.209482,1.2442836,0.6985615,0.72768515,1.1861584,1.1566213
Primal Groudon,Dragon Tail or Mud Shot,Precipice Blades,30,1.0883111197626087,1.0433786521954955,1.1112420709780162,1.0945716452538226,1.1313529800926148,0.9258741256114303,1.1041795671151495,1.1195119079121068,1.0950655599322132,1.0551323956697614,1.0863755021022394,1.049006550560078,1.1030709739899038,1.0913963525533201,1.1081868747327734,1.1092417311577352,1.062233023143021,1.1094747121956436,1.0828284366929766,1.1112235669246784,1.1299192022143294,1.1802855168776722,1.1142211576142493,1.1823901289199683,1.0740152962587874,1.1231324969016228,1.077334668927954,1.1173118632263876,1.0376285692574412,1.1109355321857988,1.1050572237810403,1.1306417009896637
Unscaled: Primal Groudon,Dragon Tail or Mud Shot,Precipice Blades,30,2.047935,1.9633831,1.8811108,1.8528911,2.4093482,1.971757,1.4871669,1.5078173,1.9157988,1.8459364,1.3777878,1.3303949,1.129912,1.1179533,1.0253437,1.0263197,0.56614816,0.591327,0.6127633,0.62883186,0.4197653,0.4384764,0.53339505,0.5660286,0.6255949,0.6542048,0.64287573,0.66673124,0.356529,0.38171726,0.6013107,0.61523235
Primal Groudon,Mud Shot,Precipice Blades,35,1.0378820814674556,1.0143196104530288,1.0275057269014973,1.0101902752610734,1.0285429767713599,0.8548218090138003,1.0281194138273801,1.046731995280255,1.031522223248557,0.9815535810804014,1.023122861263069,1.0068970237321295,1.024968345254912,1.0132111334888165,1.0718699405259844,1.0695299966149485,1.0100630559257233,1.0691693907408215,1.048068657696512,1.0723840298686285,1.063981163082838,1.0946326877600199,1.0783403757888816,1.1185388568912313,1.0332247520654276,1.0849848999703509,1.0335679421898056,1.0664259629056771,1.0077425242032279,1.1109355321857988,1.0531986729992995,1.0730451328728183
Unscaled: Primal Groudon,Mud Shot,Precipice Blades,35,1.9530399,1.9087011,1.7393619,1.7100503,2.1904023,1.8204428,1.3847251,1.4097935,1.8046308,1.7172115,1.2975681,1.2769898,1.0499089,1.0378656,0.99174166,0.98957664,0.53834265,0.5698451,0.59309304,0.6068529,0.3952693,0.40665635,0.51621836,0.535462,0.60183513,0.6319845,0.6167589,0.6363662,0.34626016,0.38171726,0.57309216,0.5838915
Electivire,Thunder Shock,Wild Charge,40,2.255639269956011,2.192622461870836,2.372745111915748,2.298902020451085,1.2226974929338223,1.1585162250089416,2.420090724120921,2.346224203929102,3.9200479318692514,3.388624137688204,2.5601308014625275,2.2139839637949423,3.8649335714069544,3.4902822617254348,2.4528886637952096,2.2771414774301797,2.249679513789702,2.264229235941174,2.4605111510795177,2.2422630914694937,2.237808811341946,2.3182302850485064,2.271169980673285,2.282606416001484,2.169380425808647,2.2356274173481325,2.1357716816927486,2.1925328889812223,2.1949195958566103,2.302352827124507,2.354350793649627,2.261962082123789
Unscaled: Electivire,Thunder Shock,Wild Charge,40,4.2445607,4.1259785,4.0165834,3.8915818,2.603877,2.4671955,3.259505,3.1600177,6.858058,5.928341,3.2468672,2.807869,3.958979,3.5752113,2.2695215,2.1069124,1.1990325,1.2067872,1.3923821,1.2688774,0.8313466,0.8612232,1.0872445,1.0927193,1.2636257,1.3022134,1.2744747,1.3083457,0.754174,0.79108804,1.2811068,1.230834
Tyrantrum,Dragon Tail or Rock Throw,Meteor Beam,35,1.53219151631368,1.523087515479565,1.4629235629816209,1.4291257172583038,1.22243622526063,1.2101443888940202,1.4776433557233148,1.5103261500666294,1.5994154730951404,1.3976063902757112,1.4653778018986428,1.439874166040932,1.4203535373750529,1.405622487999508,1.4749594809760536,1.4796805038755165,1.3889169231259941,1.4561324104080975,1.4527467637783502,1.4830565723387914,1.4578177437712831,1.5036286379111208,1.4367052170432715,1.4995497117704122,1.427479598950904,1.4948981969065842,1.4043211850786883,1.4585742645849165,1.440087732290205,1.522331486601725,1.443611971381126,1.4656426308898887
Unscaled: Tyrantrum,Dragon Tail or Rock Throw,Meteor Beam,35,2.8832092,2.8660777,2.4764373,2.4192243,2.6033206,2.5771437,1.9901675,2.0341864,2.7981505,2.4450889,1.8584547,1.8261099,1.454915,1.4398255,1.364698,1.3690661,0.7402639,0.77608836,0.8220969,0.83924896,0.5415797,0.55859846,0.6877732,0.71785784,0.8314816,0.87075174,0.83799773,0.87037206,0.4948139,0.52307284,0.78553337,0.79752123
Tyrantrum,Dragon Tail or Rock Throw,Meteor Beam,40,1.4336953836341402,1.4151530664112455,1.421347303716056,1.4011856213154985,1.158878496773621,1.1313947716506918,1.39676953465725,1.4266967932046601,1.553966165551061,1.3686378926073712,1.4344563544501379,1.3997551888136237,1.389073084631658,1.3809185098986365,1.4362507895211256,1.4403923979437219,1.3655856208285784,1.4234338954096244,1.367645205422807,1.3956997756106557,1.3964958519008384,1.4101467164439283,1.4092319949464776,1.4728053566668813,1.3387457438620882,1.3930373506628442,1.3794727101530033,1.4327091119928566,1.391524204188343,1.4707456927437943,1.376139789364735,1.4002466992217506
Unscaled: Tyrantrum,Dragon Tail or Rock Throw,Meteor Beam,40,2.6978636,2.6629715,2.406057,2.3719273,2.467967,2.4094372,1.8812424,1.92155,2.7186377,2.394409,1.8192388,1.7752293,1.4228734,1.4145204,1.328883,1.332715,0.7278288,0.75866073,0.77393866,0.7898145,0.5187986,0.5238699,0.67462134,0.7050549,0.7797957,0.8114196,0.82316995,0.8549376,0.47812748,0.50534797,0.74881876,0.7619364
Shadow Golem,Mud-Slap or Rock Throw,Earthquake or Stone Edge,40,1.5161040350043427,1.4664825406876805,1.511893134228127,1.4343778432918428,1.3719500321348905,1.2453079467305077,1.5030139902486719,1.4710252585955226,1.513046081265599,1.3973858108497412,1.5067369203071306,1.4315410607133792,1.4348006946959633,1.4188775525146609,1.4953497692069253,1.5117229566588029,1.3979670690744528,1.4314857473344413,1.4382992036988014,1.4311185856508861,1.459437930975449,1.478195117376493,1.4307311063186576,1.4732845555899996,1.4158976847880185,1.4615374578764024,1.4681963541946927,1.4341335466477296,1.407196359788653,1.4621536628816145,1.5493034569500301,1.474286531295737
Unscaled: Shadow Golem,Mud-Slap or Rock Throw,Earthquake or Stone Edge,40,2.8529365,2.759561,2.559333,2.4281151,2.9217277,2.6520286,2.024338,1.9812539,2.6470487,2.444703,1.9109081,1.8155415,1.4697137,1.4534031,1.383564,1.3987132,0.74508744,0.7629522,0.81392115,0.8098577,0.5421816,0.5491499,0.6849133,0.7052843,0.82473534,0.8513197,0.87611383,0.8557876,0.48351243,0.50239575,0.8430448,0.80222476
Shadow Aggron,Smack Down,Meteor Beam,35,1.4339120430708545,1.445005994669551,1.7181496079690919,1.5004825141206861,1.6425590107365327,1.281505493453352,1.564098337724312,1.5575068210889331,1.5121421571810465,1.4321435038644554,1.8143572992771808,1.4842675617214274,1.5098240513582986,1.4728432062620262,1.5797299610783921,1.5746781066710591,1.4924219657707125,1.4961141545379113,1.623239777102108,1.4900986302318784,1.487225796976519,1.5375714925436934,1.5712293478633241,1.5372540606573089,1.4892090283258392,1.4942596538984962,1.4582708432453737,1.503240915621904,1.476065631347955,1.5046790622684534,1.5382128346813824,1.4893912351206775
Unscaled: Shadow Aggron,Smack Down,Meteor Beam,35,2.6982713,2.7191474,2.908484,2.5400171,3.4980211,2.7291155,2.1066096,2.0977318,2.6454673,2.505511,2.3010454,1.8824115,1.5465626,1.5086819,1.4616363,1.4569621,0.79542994,0.7973978,0.91857743,0.843234,0.5525048,0.57120824,0.752172,0.7359075,0.8674379,0.8703798,0.870191,0.8970259,0.5071759,0.51700747,0.8370099,0.8104439
Raikou,Thunder Shock,Wild Charge,45,2.1259510868337754,2.1144356670004507,2.1844960202627575,2.2001898392970416,1.1307208945159004,1.10469334692952,2.242977107216797,2.266072362494955,3.2290367806904348,3.2601564850694196,2.219976507651099,2.1545792457547757,3.3275639855398587,3.369456319380514,2.1694567402947804,2.2064216762619697,2.142935020453423,2.2370041610437927,2.1647339047739544,2.203052034365604,2.1890901401204865,2.295264488091368,2.1703362079698256,2.272951414159054,2.1137716974404204,2.2229399931980764,2.091282230326827,2.1841366008032104,2.1310458739167593,2.2794033396349467,2.1849777375270243,2.219116837368904
Unscaled: Raikou,Thunder Shock,Wild Charge,45,4.0005193,3.9788501,3.6979153,3.7244818,2.4080021,2.3525734,3.0209591,3.052065,5.6491456,5.703589,2.815469,2.7325294,3.4085336,3.4514453,2.0072777,2.0414793,1.1421399,1.1922768,1.2250043,1.2466882,0.8132476,0.8526914,1.0389738,1.0880973,1.2312346,1.2948232,1.2479266,1.3033354,0.732227,0.7832026,1.1889434,1.20752
Gigalith,Smack Down,Meteor Beam,50,1.3621166750125986,1.357277363031991,1.3708450058075372,1.3520402466871164,1.1598409704431787,1.1444319064552788,1.3770019639865512,1.4081340316132638,1.306650901249009,1.3121612142374388,1.392443969912068,1.3717755284536626,1.360741184751443,1.3777493256587459,1.4146908643813463,1.4151925696605137,1.3329276890235409,1.3976240913694107,1.372077327911327,1.39169193947814,1.4019171937097865,1.457097582806667,1.3758485204994364,1.441866820299986,1.333240580872586,1.3970698337099685,1.3786802049851963,1.420614321128604,1.3303799655546977,1.407776307689093,1.39710029176079,1.4119467185548542
Unscaled: Gigalith,Smack Down,Meteor Beam,50,2.56317,2.5540636,2.3205667,2.288734,2.4700167,2.4372013,1.8546184,1.8965487,2.2859638,2.295604,1.7659569,1.7397443,1.3938521,1.4112741,1.3089348,1.309399,0.7104228,0.74490464,0.77644676,0.7875465,0.52081263,0.54131216,0.65864015,0.69024414,0.77658904,0.81376845,0.82269704,0.8477203,0.45711833,0.4837117,0.7602243,0.7683029
Zekrom,Charge Beam,Fusion Bolt or Wild Charge,40,2.0675836085152635,1.9993821193841859,1.9827519514707053,1.9710349750667564,1.0584211703448794,1.0296667470723722,2.003660237751368,2.0044380512667908,3.3691500438529505,3.047196680711195,2.128456170100565,1.9969671420146948,3.155021072248966,3.099574942914072,2.02576400354328,2.0320439658970106,1.9065299446460626,2.012039680719278,1.9954996665437923,2.064319761706928,1.9539018920793274,2.0987171261351403,2.003423744703536,2.1315866873776415,1.929841301615517,2.048911014120086,1.9205396053414423,2.0159120411265454,1.9374140260779524,2.1124977273708194,1.9237173073912,1.9967843094590332
Unscaled: Zekrom,Charge Beam,Fusion Bolt or Wild Charge,40,3.890686,3.7623475,3.3564029,3.3365684,2.2540314,2.1927955,2.6986346,2.6996822,5.8942714,5.3310194,2.699399,2.532639,3.2317922,3.1749969,1.8743268,1.8801373,1.0161409,1.0723754,1.1292361,1.1681808,0.7258751,0.779674,0.9590702,1.0204238,1.1240984,1.1934544,1.1460397,1.2029511,0.66569513,0.72585386,1.04678,1.086539
Ursaluna,Rock Smash,High Horsepower,35,2.1309643321811644,2.09790827722481,2.6298047460060556,2.548432886527306,1.853520307198943,1.8145620758890553,2.2306426450292554,2.2252367816993166,2.1264755214568507,2.0560103120738744,2.955758625695224,2.888598767412578,2.242192236313777,2.2474890489713797,1.8112454395833146,1.846365241443234,2.076323984470315,2.169438303648782,2.1931983769323935,2.1969399075511657,2.857981426016691,2.9837603352546593,2.2214546590919535,2.3327790028150326,2.865278824781457,3.0524201336246612,2.175788743403464,2.2509568304633016,2.0784836826025206,2.202203796200947,2.2575294352013913,2.2376959130701337
Unscaled: Ursaluna,Rock Smash,High Horsepower,35,4.009953,3.9477496,4.451734,4.3139877,3.9472878,3.8643217,3.0043464,2.9970655,3.7202332,3.5969555,3.7486193,3.6634443,2.2967515,2.3021772,1.6758447,1.7083391,1.1066376,1.1562656,1.2411121,1.2432294,1.0617409,1.1084678,1.063445,1.1167377,1.6689742,1.7779807,1.298354,1.3432089,0.71416664,0.75667685,1.228422,1.2176297
Shadow Ursaluna,Rock Smash or Tackle,High Horsepower,45,1.4225541357640004,1.3997405932366014,1.5282622249217601,1.4868196494778299,1.25001602401033,1.2145143302078725,1.536501030105452,1.5339216086335816,1.4684040978501538,1.4049860553105056,1.8584072275756052,1.8366634398920647,1.479370673404059,1.4910088809010351,1.403176717416501,1.4098004808243099,1.4454121056307538,1.5482712319475853,1.4844341158038448,1.4542487304101104,1.8438051513716218,1.9375953094840197,1.4618412268160887,1.5537108044943595,1.7549856879771284,1.861889193886235,1.4068952558064272,1.4712968792128178,1.4629451359158125,1.6173229771388422,1.5406257971229695,1.4993066178756964
Unscaled: Shadow Ursaluna,Rock Smash or Tackle,High Horsepower,45,2.6768985,2.633969,2.5870426,2.5168886,2.662055,2.58645,2.0694401,2.065966,2.5689483,2.4579995,2.3569114,2.329335,1.5153682,1.5272896,1.2982814,1.30441,0.77037466,0.82519644,0.8400285,0.82294685,0.68497413,0.7198172,0.6998062,0.7437856,1.0222481,1.0845175,0.83953375,0.877964,0.5026677,0.5557119,0.8383229,0.8158393
Shadow Flygon,Dragon Tail or Mud Shot,Earth Power,45,1.681353646922493,1.5691185319492427,1.559901162582566,1.5051333287885955,1.2587330856299164,1.217411095621104,1.5696887053102482,1.586654484188468,1.4912767953416186,1.3764371101134325,1.605955626632032,1.5273253297653515,1.5056623187967195,1.462237280259447,1.6337583885944083,1.6128803373465435,1.4795611649046376,1.5335388760444237,1.4924428256022266,1.513669053814919,1.5238911798397567,1.5887027056884047,1.5266795776030695,1.5595215614448328,1.4712167219501777,1.5026760469803118,1.492175739642303,1.548634799203396,1.5083254261214274,1.581032359649305,1.5623720468316866,1.5231204437645596
Unscaled: Shadow Flygon,Dragon Tail or Mud Shot,Earth Power,45,3.1638958,2.9526968,2.640601,2.54789,2.680619,2.592619,2.114139,2.1369894,2.6089637,2.4080536,2.0367415,1.9370192,1.5422996,1.4978179,1.5116258,1.4923085,0.7885754,0.8173444,0.84456056,0.8565723,0.566126,0.5902035,0.73084533,0.7465673,0.8569577,0.8752822,0.890423,0.9241137,0.51826036,0.54324245,0.850156,0.82879746
Shadow Omastar,Rock Throw,Rock Slide,35,1.5977310756325305,1.56532361729749,1.6449184020654062,1.5259555144192445,1.2509489618483927,1.243069985317076,1.5409785808749348,1.5352249437280583,1.603406823226425,1.478473471480035,1.5874999319925123,1.5453353683802005,1.4943899103123692,1.49045964544733,1.5953404311336552,1.5820055760402334,1.5282400581260904,1.5527169209683116,1.4649405345265891,1.5101869369281806,1.564521754869202,1.5814132091636648,1.530626952620721,1.5943595738262968,1.5226735645014449,1.5577127407991624,1.5275214935877732,1.5316681066583824,1.4740110901684673,1.530418539496949,1.548280842364637,1.5202698033830726
Unscaled: Shadow Omastar,Rock Throw,Rock Slide,35,3.0065386,2.9455557,2.7845182,2.5831378,2.6640418,2.6472626,2.0754707,2.0677214,2.8051333,2.5865645,2.0133352,1.9598603,1.5307529,1.526727,1.4760798,1.4637418,0.81452024,0.8275659,0.82899725,0.8546018,0.58122027,0.58749545,0.732735,0.7632448,0.8869304,0.9073401,0.9115148,0.9139892,0.50646996,0.52585155,0.84248835,0.8272463
Mamoswine,Mud-Slap,High Horsepower,45,1.4167312207629994,1.3776197019474001,1.6378857351269218,1.4357113733800362,1.371876920386659,1.1764980993997651,1.765015528056378,1.5085148899760659,1.5713749066009894,1.3830731269668666,1.7029215307133247,1.4377696792577634,1.7304760268389283,1.4404684804648489,1.628743065075563,1.483057557549119,1.3970433182905337,1.410637524819212,1.5467545539656546,1.4454211532460113,1.5032459733273955,1.457161755032863,1.5121385223293329,1.4809093332241523,1.3412629018941862,1.3846578685738606,1.398556028804884,1.4067832282103352,1.4331239628378163,1.434302019299602,1.5532768507771098,1.4520860639197979
Unscaled: Mamoswine,Mud-Slap,High Horsepower,45,2.6659412,2.5923429,2.7726133,2.4303725,2.921572,2.50549,2.3772154,2.0317469,2.749094,2.4196632,2.1597178,1.8234409,1.7725837,1.4755194,1.5069854,1.3721907,0.7445951,0.75184053,0.8752951,0.8179514,0.5584563,0.541336,0.7238843,0.7089344,0.7812619,0.8065387,0.8345575,0.8394669,0.49242115,0.49282593,0.8452069,0.7901445
Shadow Flygon,Dragon Tail or Mud Shot,Earth Power,50,1.5932564232189408,1.5249149052392632,1.4832229462165707,1.458599780411179,1.2076444554552939,1.1895245280523954,1.52673722822189,1.5263860390344184,1.4568909264175844,1.3370539940023431,1.523257102130373,1.4499769641883213,1.4352728067923224,1.4040867569432989,1.5322057609859623,1.5151626964724132,1.394205121493942,1.447049955509525,1.457103871873649,1.4631098299072929,1.4574360482312423,1.4996382506091246,1.47114048508133,1.5294043060221978,1.428847537513157,1.4762081182552673,1.4089836613490734,1.4602596389105074,1.430710108325723,1.4768191241538158,1.5028028405695253,1.4829591189397522
Unscaled: Shadow Flygon,Dragon Tail or Mud Shot,Earth Power,50,2.9981184,2.8695164,2.5108001,2.469118,2.5718198,2.5332313,2.0562897,2.0558167,2.5488062,2.3391535,1.9318597,1.8389227,1.4701973,1.4382524,1.4176648,1.4018958,0.7430824,0.7712476,0.82456255,0.82796127,0.5414379,0.55711603,0.7042579,0.7321497,0.8322784,0.8598651,0.84077996,0.87137777,0.49159175,0.5074348,0.81774175,0.8069439
