Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Victini,Victini,Volcanion,Volcanion,Entei,Entei,Reshiram,Reshiram,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Flareon,Flareon,Lampent,Lampent,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Torracat,Torracat,Typhlosion,Typhlosion
Unscaled: Golem (Alola),Rock Throw,Stone Edge,50,852145,879037,787497,807375,804624,826085,635234,667933,789937,805617,588857,598842,470149,485906,438963,456254,151644,157870,161875,167095,107330,111355,141945,148083,170131,178581,172126,177679,98169,104005,161674,163985
Nihilego,Acid or Poison Jab,Rock Slide,40,1.6275311595680404,1.717258369545088,1.6278306742151314,1.7505956037388144,1.4054308514888634,1.5045928772187036,1.663383137483368,1.7803359681280575,1.6098110047653336,1.714007168226794,1.7458778210442574,1.8942204357353207,1.6556228326461513,1.7489316822761654,1.6584578302294382,1.7752423615374704,1.6430694634763359,1.7309897754822388,1.6741521721864825,1.7529187514891589,1.8914210534274956,2.0047333161945953,1.7011066646325006,1.8133926371008438,1.8819455830865828,2.0157212989843845,1.663857951175424,1.7648116591506067,1.645519947678221,1.768705035971223,1.668500985989655,1.725915524949152
Unscaled: Nihilego,Acid or Poison Jab,Rock Slide,40,870057,918024,784393,843549,809070,866155,653831,699802,795897,847412,625452,678595,485071,512409,437604,468419,155878,164219,168634,176568,125074,132567,144953,154521,195122,208992,176730,187453,100640,108174,161606,167167
Shadow Aggron,Smack Down,Meteor Beam,40,1.3639445029527466,1.4065212958788746,1.5503440804874407,1.4286333903342023,1.561354169199929,1.3008595142389616,1.4230003078308608,1.4671015307589175,1.3748392003300944,1.3807412561387042,1.5996957389496014,1.4441932197239318,1.413524288015728,1.4648206045381318,1.4609151753568155,1.4898052770008565,1.3852218825761569,1.4166543691367133,1.4417242474783576,1.4432531173060121,1.4225807915072513,1.4681295083702572,1.4183966858738895,1.4864512797643497,1.3743212353275913,1.4175596300190005,1.4006326670871894,1.4317199694964082,1.3791039895356443,1.4448332243296271,1.430851667922814,1.4445729270987127
Unscaled: Shadow Aggron,Smack Down,Meteor Beam,40,729147,751908,747055,688407,898831,748871,559343,576678,679726,682644,573083,517375,414140,429169,385480,393103,131416,134398,145222,145376,94071,97083,120863,126662,142491,146974,148771,152073,84346,88366,138588,139917
Rhydon,Mud-Slap,Earthquake,45,1.5903229970051647,1.625658686051101,1.5796490296017134,1.6268739727391963,1.515929154347773,1.4205505199123114,1.580683486273542,1.6600097182966014,1.5694816384980703,1.5613101835745664,1.6068723917989085,1.6197546371896328,1.5882130082188788,1.5963021871501515,1.6029629124314984,1.6544254193479926,1.5048487403815747,1.574786550015811,1.5401675800174728,1.5774958303550155,1.5904849758797466,1.637122506691669,1.5583434063677224,1.621727241788032,1.5434650514559078,1.6267204212922328,1.5417211934059518,1.585414764114972,1.5271909744931327,1.6302648790058862,1.617528934408458,1.5911498394540406
Unscaled: Rhydon,Mud-Slap,Earthquake,45,850166,869056,761176,783932,872681,817774,621324,652505,775958,771918,575654,580269,465321,467691,422961,436540,142765,149400,155138,158898,105174,108258,132788,138189,160028,168660,163757,168398,93403,99707,156669,154114
Landorus,Mud Shot or Rock Throw,Earth Power,50,1.3551246102131178,1.3965734295820886,1.3669624624375343,1.41558198993907,1.1706677737747404,1.213417663469255,1.368132636940212,1.424898174130505,1.3255576411194083,1.3732574979166834,1.3474744937124035,1.3787045178578905,1.3717609152718238,1.4104217295142398,1.3803882332431348,1.4486057105608234,1.3454516707072837,1.3893538526404552,1.3586986736557858,1.4084862203160988,1.3826576133803137,1.4520392577918249,1.3877316308927252,1.4256375350600274,1.3553302919532024,1.3996585681079463,1.357588709905194,1.3974505022736472,1.3488227599738392,1.4435578809679528,1.3670772375770466,1.3880566195525363
Unscaled: Landorus,Mud Shot or Rock Throw,Earth Power,50,724432,746590,658690,682118,673923,698533,537776,560089,655361,678944,482726,493914,401904,413231,364232,382232,127643,131808,136859,141874,91431,96019,118250,121480,140522,145118,144199,148433,82494,88288,132411,134443
Landorus (Therian),Mud Shot,Earthquake,50,1.3471446181818862,1.3824092243170896,1.3289392857735793,1.3489864360068402,1.196913530922015,1.162810896444863,1.3225227883879076,1.3664815441406557,1.3191296995978996,1.3254807808998308,1.345573559993859,1.3440243408840318,1.351872457199028,1.3494559429866477,1.3316051572412853,1.3841856728138193,1.2681564245810055,1.3069779698534836,1.3322909220872052,1.347252005400683,1.3440803302735644,1.4119951003372297,1.3784957341188344,1.4243935642111933,1.2621116694476324,1.3178306536395288,1.276612971558225,1.300789892390107,1.2669555264879007,1.338750817527796,1.3480078879172388,1.3713825536615836
Unscaled: Landorus (Therian),Mud Shot,Earthquake,50,720166,739018,640368,650028,689032,669400,519848,537127,652183,655323,482045,481490,396077,395369,351360,365234,120310,123993,134199,135706,88880,93371,117463,121374,130857,136634,135598,138166,77487,81878,130564,132828
Aggron,Smack Down,Meteor Beam,35,1.7235978428207195,1.7901538945017368,1.9420313615459965,1.7788151843673736,1.5392149028790598,1.539840256812015,1.7860041264599704,1.8183111025178529,1.684907484567277,1.7165880534947127,1.7338888191042443,1.7848204441094782,1.713148158261202,1.779377030827622,1.8004562991260584,1.8576263349781326,1.7235058501106777,1.7831137345841677,1.7319911047573664,1.7723770947502184,1.780210806478443,1.824716076640404,1.7461477978195303,1.8136156130077103,1.7475332992544437,1.8165623402552058,1.736624080891006,1.7780204675334457,1.7463865271419228,1.8146173969914976,1.7571264854372943,1.7684524608443377
Unscaled: Aggron,Smack Down,Meteor Beam,35,921413,956993,935795,857147,886086,886446,702030,714729,833025,848688,621157,639403,501925,521329,475072,490157,163509,169164,174460,178528,117720,120663,148791,154540,181186,188343,184459,188856,106809,110982,170190,171287
Aggron,Smack Down,Meteor Beam,40,1.6180322379706202,1.6838082482364891,1.8457365563727526,1.688557352281972,1.4474303164638318,1.4939566490756921,1.6867146814968212,1.7401067995003472,1.656584493652964,1.6893835810389883,1.6252843724266912,1.6833535708802634,1.6902766021352702,1.7250054610490675,1.7123382677308594,1.7613714744828737,1.6385791082533994,1.6878043638663434,1.669277658645064,1.690066317210706,1.6815975320217158,1.7365372691941263,1.7232986351527384,1.7890647921043057,1.655578167648846,1.7124545480849913,1.6321681086831674,1.6798346780647164,1.6468770438194897,1.7389960758665794,1.7245526910806654,1.7128550337094894
Unscaled: Aggron,Smack Down,Meteor Beam,40,864979,900142,889394,813655,833248,860032,663002,683989,819022,835238,582250,603053,495224,505399,451821,464759,155452,160122,168143,170237,111199,114832,146844,152448,171652,177549,173364,178427,100723,106357,167035,165902
Garchomp,Dragon Tail or Mud Shot,Earth Power,50,1.3157035244029502,1.3811484379530365,1.3388507960752412,1.405452575830525,1.133730201468192,1.19354356806109,1.3390922296876153,1.4137017805852856,1.2424717437561184,1.2507382626354155,1.2900947675473489,1.3746905051012575,1.2355998962400678,1.2795511017666494,1.3438615639993634,1.4196322320000607,1.3231369242120796,1.373616527880257,1.3284886029703757,1.4142343737590342,1.3743554070198254,1.439684243954814,1.353498961401697,1.429275563014165,1.3325199409727915,1.4091299273733855,1.3442198518127983,1.387941666588211,1.353809679529104,1.442364290385873,1.3253043146081338,1.3831524825257855
Unscaled: Garchomp,Dragon Tail or Mud Shot,Earth Power,50,703358,738344,645144,677237,652659,687092,526361,555688,614283,618370,462170,492476,362011,374888,354594,374587,125526,130315,133816,142453,90882,95202,115333,121790,138157,146100,142779,147423,82799,88215,128365,133968
Shadow Magnezone,Spark,Wild Charge,30,2.046712695969038,2.1126364838651144,2.38198122291767,2.217333106436671,1.3600301559563224,1.2011919940799827,2.337881258697494,2.2854431619571938,3.312347796538863,3.1945534421242545,2.289678851065611,2.1795698474507668,3.4500143352538024,3.311935122737078,2.2979625713441116,2.2491150677247957,2.063307684199431,2.10963423632339,2.22262925899452,2.203627591136526,2.150770487093018,2.207661015923904,2.216427456549037,2.2535940195514663,2.1005777336252542,2.168063579633684,2.095879190713351,2.1270700546993417,2.1621975147155004,2.18392740353172,2.216556366602311,2.1583674902175374
Unscaled: Shadow Magnezone,Spark,Wild Charge,30,1094146,1129388,1147791,1068453,782934,691495,918958,898346,1637638,1579400,820266,780820,1010799,970344,606345,593456,195746,200141,223881,221967,142224,145986,188864,192031,217790,224787,222618,225931,132240,133569,214689,209053
Terrakion,Double Kick or Smack Down,Rock Slide,50,1.3230568644579834,1.385175846026933,1.3259799445486695,1.3847849185662346,1.132206769803743,1.1855980989240438,1.3216908818463746,1.3940540306762357,1.286342748036019,1.339869823059684,1.3311839662800597,1.351988164524278,1.3116279387270295,1.364992627583759,1.3027832730745619,1.364762641077533,1.3027722146094656,1.3649414988932222,1.292103486617425,1.3388233658962752,1.3456833063650249,1.4032543439139837,1.3555409512856322,1.4203565267395055,1.306275981134441,1.3765202881916647,1.3088300366231393,1.3718425487445511,1.3250490516677567,1.3825049051667757,1.3250668511310488,1.3733235594742765
Unscaled: Terrakion,Double Kick or Smack Down,Rock Slide,50,707289,740497,638942,667278,651782,682518,519521,547965,635973,662437,476890,484343,384286,399921,343755,360109,123594,129492,130151,134857,88986,92793,115507,121030,135436,142719,139020,145713,81040,84554,128342,133016
Shadow Hippowdon,Bite or Thunder Fang,Earth Power,30,1.8100047326253725,1.861221840411383,1.7044871582023144,1.7767274583699966,1.6252913975618144,1.5269735996414637,1.8083027834524374,1.8981232493709819,2.057420651936473,1.9059433176106988,1.9798852740442991,1.7644963642200169,2.070338311989733,1.9776233514458128,1.888418946267367,1.9608204288605409,1.7515547591440919,1.8255296721829872,1.8237332221428004,1.8546580891112698,1.747395163851377,1.8324285087785623,1.810482214737534,1.8998603466688573,1.6810119501162217,1.7584224689190882,1.7888567743393242,1.8478586290330172,1.7462557226945716,1.883257030739045,1.8893936421735136,1.849974704977441
Unscaled: Shadow Hippowdon,Bite or Thunder Fang,Earth Power,30,967605,994985,821331,856141,935638,879039,710795,746101,1017197,942306,709284,632122,606576,579412,498282,517386,166170,173188,183701,186816,115550,121173,154273,161889,174289,182315,190007,196274,106801,115180,183001,179183
Zapdos,Thunder Shock,Thunderbolt,35,2.3821810107615784,2.435313615931551,2.377071123802567,2.4930768847641662,1.3133665928980638,1.351858864565709,2.392776914211864,2.5048807727826636,3.6850328880834295,3.6933398597098726,2.5068654133344497,2.398501025834275,3.698519373071567,3.7521810064713432,2.352278842728396,2.4365122677763376,2.3348055233477387,2.442089174660061,2.3388134381701216,2.3982705901040426,2.4114355709468143,2.49946315423352,2.49130980741923,2.6017885014845503,2.3215439665898283,2.418890635699887,2.292881553800239,2.3768605778735985,2.3431818181818183,2.4810497056899936,2.3771332996066366,2.4295611055473536
Unscaled: Zapdos,Thunder Shock,Thunderbolt,35,1273483,1301887,1145425,1201324,756071,778230,940536,984601,1821895,1826002,898072,859251,1083607,1099329,620677,642903,221503,231681,235584,241573,159461,165282,212287,221701,240700,250793,243543,252463,143309,151741,230242,235320
Shadow Hippowdon,Bite or Thunder Fang,Earth Power,35,1.7173070052208528,1.786455712540709,1.6387798216924279,1.71224660900171,1.4964598019017707,1.4289597932162994,1.7124834318307285,1.8168660783111534,1.8376772841643676,1.8154909749921115,1.8456447403313374,1.6493851972811902,1.8557156704802993,1.8820925374764492,1.765915516444202,1.856879732587489,1.6772109202065983,1.760767365869084,1.7159379715669922,1.7626578508458421,1.6939676682746836,1.7581774464288416,1.737463473025783,1.7970919247514991,1.6238944454625244,1.7140170330147277,1.7177947032960825,1.7780016381558508,1.7038750817527795,1.770176586003924,1.8316487192458988,1.7791486418121563
Unscaled: Shadow Hippowdon,Bite or Thunder Fang,Earth Power,35,918050,955016,789669,825070,861473,822615,673131,714161,908555,897586,661193,590884,543695,551423,465958,489960,159117,167044,172843,177549,112017,116263,148051,153132,168367,177711,182459,188854,104209,108264,177408,172323
Rampardos,Smack Down,Rock Slide,40,1.2698774942151605,1.3187039714770468,1.3267311938638289,1.2966666943369916,1.1784534302400316,1.1626076564166523,1.2558735909105943,1.3181292024636644,1.266704961933965,1.2714359107126965,1.2692263674301105,1.301877206939385,1.2477814488163177,1.3145427736668214,1.2707779066330127,1.3230741827167232,1.22882892379045,1.282481290186571,1.2465153681200858,1.2931558255897069,1.2968832700712265,1.3320731320035688,1.2758681390900235,1.3336306345424886,1.2405455194297894,1.2975279945216576,1.2586026718886807,1.2874869371192934,1.2446370176586004,1.3038423806409418,1.291543202866081,1.2958794924476291
Unscaled: Rampardos,Smack Down,Rock Slide,40,678860,704962,639304,624817,678405,669283,493650,518121,626264,628603,454694,466391,365580,385140,335310,349109,116579,121669,125559,130257,85759,88086,108718,113640,128621,134529,133685,136753,76122,79743,125095,125515
Omastar,Rock Throw,Rock Slide,30,1.8949544227599997,1.9162175660837244,1.9027671708199825,1.9174061560938358,1.576406090947307,1.6348940546211919,1.8295710974806205,1.8996903882993743,1.9123348516597762,1.8742000469251867,1.8903069128668926,1.9322139876341609,1.8226251262867597,1.8940283428446605,1.8918298201332515,1.9578264395782645,1.8192368504268999,1.8789606830399492,1.8161285839091414,1.8665812882217456,1.9179155261844631,1.974352382536634,1.8549600403703748,1.9360411214514557,1.8586626286397698,1.9363142716601882,1.8726192605703418,1.905589500739053,1.841873773708306,1.945356442119032,1.9212034236038698,1.9262727526146795
Unscaled: Omastar,Rock Throw,Rock Slide,30,1013018,1024385,916875,923929,907496,941166,719155,746717,945466,926612,677193,692206,534000,554920,499182,516596,172591,178257,182935,188017,126826,130558,158063,164972,192708,200759,198904,202406,112649,118978,186082,186573
Rhydon,Mud-Slap,Earthquake,50,1.549547594685243,1.5955719087819196,1.5161746882937925,1.5519378911892154,1.4862370021922129,1.3972717197580575,1.5241876190936543,1.5969450967123155,1.4710783084279253,1.504741061965518,1.5130287931443565,1.5443760554927493,1.4858490566037736,1.5258102831553941,1.5869052762428846,1.6317923763179238,1.4568567513439443,1.5243280278275535,1.481474862997379,1.5156361686919229,1.5567014986314214,1.570281428160963,1.5294856297895811,1.5930220276724836,1.4859424581167233,1.5470915596878887,1.5331726559778567,1.5568788423698654,1.4932799215173316,1.5958960104643558,1.5555922648853464,1.5438842830151667
Unscaled: Rhydon,Mud-Slap,Earthquake,50,828368,852972,730590,747823,855588,804373,599117,627716,727307,743950,542035,553265,435330,447038,418724,430568,138212,144613,149226,152667,102940,103838,130329,135743,154064,160404,162849,165367,91329,97605,150670,149536
Mega Aerodactyl,Rock Throw,Rock Slide,35,1.3114291967444027,1.3559869581564834,1.2721494031510967,1.328497252336759,1.1695664560150363,1.1568405034793998,1.2846799449466129,1.337242700465308,1.252344236697114,1.3038405838140468,1.2668425239710253,1.302273583720638,1.2862852578980422,1.320502143461759,1.311920625175281,1.3814948723196216,1.2658901654896173,1.3189627911879414,1.272337383845604,1.3044535779525057,1.2940705007031923,1.3535318402467977,1.3150884275504335,1.38539625165765,1.265834627366634,1.3320569824750919,1.2938324373687828,1.3371117617707147,1.2684270765206016,1.3243786788750818,1.2937319966548624,1.3272556449198303
Unscaled: Mega Aerodactyl,Rock Throw,Rock Slide,35,701073,724893,613003,640155,673289,665963,504973,525634,619164,644624,453840,466533,376861,386886,346166,364524,120095,125130,128160,131395,85573,89505,112060,118051,131243,138109,137427,142024,77577,80999,125307,128554
Arcanine (Hisuian),Snarl,Rock Slide,30,1.976926113055499,2.050828022379893,1.7630742284129963,1.817751481745887,2.021484381785524,1.8270444730871986,1.897919724834827,2.013941430726608,1.9456031909126947,1.9923948835365408,1.7544613323284344,1.8150092813577299,1.900841001556399,2.016768833792972,2.0697826894361446,2.2259628138951424,1.857067566143143,1.9647517655739433,1.910322849654515,1.9847609403542212,1.73336156184312,1.8084292346545283,1.9688889932051026,2.087124901714567,1.729545432625071,1.821886362978752,1.9141286234783508,1.9932590828210173,1.895519947678221,2.0414650098103335,1.9518671856448166,2.0175826218032773
Unscaled: Arcanine (Hisuian),Snarl,Rock Slide,30,1056839,1096346,849562,875909,1163716,1051782,746021,791626,961914,985048,628527,650218,556916,590881,546137,587347,176180,186396,192423,199921,114622,119586,167771,177846,179321,188895,203313,211718,115930,124856,189052,195417
Shadow Raikou,Thunder Shock,Wild Charge,40,1.8022997192225025,1.863522681995634,1.8342291600949647,1.9189709129546928,1.0079576287968537,1.0279706917456755,1.8567874160779294,1.9527695873285622,3.063472382909523,3.0142515028195564,1.9896523329006683,1.9001297994389315,3.0218885672937774,3.0685498184201188,1.8856978268943616,2.0045250926620737,1.8240328871086748,1.91728681353431,1.84294337225002,1.8908942895719165,1.8864306561616284,1.9968394150649507,1.9240004224806657,2.0073347337785026,1.8916001967573615,1.9863427243178595,1.8832013707786888,1.960919626801736,1.845209287115762,1.9743950294310006,1.8662667644052573,1.9098671236978226
Unscaled: Shadow Raikou,Thunder Shock,Wild Charge,40,963486,996215,883849,924683,580255,591776,729853,767581,1514593,1490258,712783,680712,885365,899036,497564,528918,173046,181893,185636,190466,124744,132045,163946,171047,196123,205946,200028,208283,112853,120754,180761,184984
Aurorus,Rock Throw,Meteor Beam,45,1.5273323144782796,1.5888171616593745,1.7343482808427275,1.6358619859545434,1.377354196993437,1.394570538186543,1.5976243598517323,1.6422013213830509,1.5998131083081852,1.5863039133987589,1.5457270862119499,1.5828497257463467,1.595339677252,1.6268328645932884,1.6261720141589164,1.6706801282488575,1.5327817012754295,1.6073152735322018,1.5664561988722103,1.595504725597649,1.6168131020611853,1.6916236938013216,1.5903463167900858,1.6705002875215642,1.572708596560604,1.6553852682748043,1.5603246184697364,1.6230358605496296,1.5854807063440157,1.6965990843688685,1.602930092817246,1.6518165955996986
Unscaled: Aurorus,Rock Throw,Meteor Beam,45,816492,849361,835720,788263,792907,802818,627983,645505,790954,784275,553749,567048,467409,476636,429085,440829,145415,152486,157786,160712,106915,111862,135515,142345,163060,171632,165733,172394,96968,103764,155255,159990
Golurk,Mud-Slap,Earth Power,50,1.5225978185028817,1.5737401021723312,1.5011538525393058,1.5456269818870056,1.4766239225672864,1.3773333518623387,1.5201654654478938,1.589231516792046,1.5189966100597891,1.5184403847865309,1.9992658655389468,1.6243297184887437,1.5140144171695382,1.5485248341206346,1.6125474679946337,1.666814471200855,1.4695161800358385,1.516116791398756,1.5154475418950044,1.5455881184973395,1.555098522539961,1.5779333706352927,1.5511964417739494,1.6027742897043809,1.4836083756908207,1.5419025665261714,1.511754238963631,1.5469557603773407,1.5183943754087639,1.5655330281229562,1.562251566742724,1.5440907729952404
Unscaled: Golurk,Mud-Slap,Earth Power,50,813961,841301,723352,744782,850054,792895,597536,624684,750998,750723,716227,581908,443582,453693,425490,439809,139413,143834,152648,155684,102834,104344,132179,136574,153822,159866,160574,164313,92865,95748,151315,149556
Shadow Sudowoodo,Rock Throw,Meteor Beam,50,1.5280618496147493,1.5263820481979546,1.5498211113509208,1.4663494263941694,1.4313587203868856,1.338288684220583,1.513311776692879,1.5402558812230807,1.5596455530295061,1.4293654582082669,1.4561850130497285,1.488802355929601,1.5058023646342462,1.5290630205062392,1.4672139224291487,1.5309745245620818,1.4163486876778748,1.464604195214504,1.4749424191883092,1.501399809387658,1.4913726616964327,1.5181242155246721,1.476440835103449,1.5193930361103614,1.4280726459042639,1.4873699134846305,1.431550505098054,1.4727303538981518,1.4445879659908436,1.5173315892740353,1.4822470239631622,1.477425482928441
Unscaled: Shadow Sudowoodo,Rock Throw,Meteor Beam,50,816882,815984,746803,706581,823996,770418,594842,605433,771095,706684,521671,533356,441176,447991,387142,403966,134369,138947,148568,151233,98620,100389,125809,129469,148064,154212,152055,156429,88351,92800,143566,143099
Aerodactyl,Rock Throw,Rock Slide,45,1.5524619940252944,1.596720458971131,1.5596848903425033,1.6113280925738385,1.4083561182196866,1.3968756622671858,1.5729470098429552,1.6382682097218582,1.5275847282788972,1.5832416404398022,1.5503412469120295,1.6082317966754593,1.5448693444010595,1.5995310324113263,1.5817131682470382,1.6616792111027736,1.5602614103510066,1.60769474017076,1.5575808116908902,1.5964280041299341,1.5700545919216053,1.6337502079332193,1.5988663435471946,1.6680475525460328,1.5262584272914033,1.5814372932359833,1.551568957888097,1.6134328779762184,1.5479888816219751,1.6455853499018966,1.5509875383297027,1.5820436313327897
Unscaled: Aerodactyl,Rock Throw,Rock Slide,45,829926,853586,751556,776441,810754,804145,618283,643959,755244,782761,555402,576141,452622,468637,417354,438454,148022,152522,156892,160805,103823,108035,136241,142136,158244,163965,164803,171374,94675,100644,150224,153232
Shadow Tyranitar,Bite or Smack Down,Stone Edge,45,1.239951588796585,1.2927362618245486,1.3259861703717233,1.2741686450948817,1.0598203149699308,1.0896653314202134,1.2369788817853171,1.3045719242990488,1.213543984271972,1.2400526694767842,1.2010802662982036,1.2330220938184762,1.2256095896021626,1.2604681484313136,1.2316438138117654,1.3048260075342415,1.1964372298935384,1.2523769368609676,1.2126916051147645,1.2443312683662933,1.2602719010389098,1.2886113085426527,1.2529955052751405,1.3112978371337034,1.2023032185260558,1.257887173156123,1.2261878983590198,1.2745982281555683,1.224018966644866,1.272334859385219,1.2357909082461773,1.2507511073025182
Unscaled: Shadow Tyranitar,Bite or Smack Down,Stone Edge,45,662862,691080,638945,613976,610111,627292,486223,512792,599981,613087,430281,441724,359084,369297,324984,344294,113506,118813,122152,125339,83338,85212,106769,111737,124656,130419,130242,135384,74861,77816,119695,121144
Lycanroc (Midday),Rock Throw,Stone Edge,45,1.6264387274662497,1.643377036852748,1.6786126375906896,1.599200189265021,1.4825995268155239,1.4408102502457987,1.5740587626217013,1.6254359877172941,1.6332007831651847,1.5581852088575334,1.582456140350877,1.6232606177336737,1.5456270649591788,1.5810317286950824,1.6120926848125157,1.6638394312178337,1.5394539896700747,1.6004532518182775,1.537645937574458,1.5799876896195695,1.6016906861040119,1.649674111936123,1.6030442079074299,1.670089542429968,1.5557430966136514,1.6199592982320772,1.5575284558968903,1.592833538887372,1.564241334205363,1.6266187050359713,1.5938445336940026,1.6225672899222565
Unscaled: Lycanroc (Midday),Rock Throw,Stone Edge,45,869473,878528,808863,770597,853494,829437,618720,638915,807461,770373,566907,581525,452844,463217,425370,439024,146048,151835,154884,159149,105915,109088,136597,142310,161301,167959,165436,169186,95669,99484,154375,157157
Shadow Swampert,Mud Shot or Water Gun,Earthquake,45,1.5650287044017157,1.5548619775639887,1.4873740308468781,1.523153835937111,1.3259865826839494,1.3337531311124002,1.5169243372096277,1.5817443579182493,1.550624590415935,1.5032079028486824,1.5297575681447053,1.5577886641823333,1.552504573628594,1.5626041012478498,1.5525426169740244,1.6302499033585738,1.4921366079898808,1.5616000843259197,1.484542530378842,1.4911841791756015,1.5016710269632676,1.548731985421991,1.483892924622408,1.584173404842098,1.42884424340043,1.4865597361136562,1.5126768784657822,1.55760377340727,1.4543982995421845,1.5130150425114455,1.5398783774017366,1.5356866308062402
Unscaled: Shadow Swampert,Mud Shot or Water Gun,Earthquake,45,836644,831209,716712,733953,763336,767807,596262,621741,766635,743192,548028,558070,454859,457818,409657,430161,141559,148149,149535,150204,99301,102413,126444,134989,148144,154128,160672,165444,88951,92536,149148,148742
Shadow Luxray,Spark,Wild Charge,30,2.26881312115708,2.1756065897599455,2.294452376604187,2.2361350920591705,1.4335474591522284,1.2248182130858785,2.359505740663948,2.2858527550862053,3.5153315911683563,3.252376598894831,2.6122095214169074,2.231171405044034,3.8350592523823828,3.604650765912132,2.222226012082073,2.2413306955908774,2.167028565405291,2.218077369031306,2.2537725359383685,2.189937256770709,2.1482147987962557,2.2291197241671328,2.22803393928014,2.2749762354625576,2.091714007388046,2.1901119780866307,2.127314836608076,2.1489121327094534,2.1262916939175933,2.2236265533028123,2.2572968396708553,2.202938352416449
Unscaled: Shadow Luxray,Spark,Wild Charge,30,1212878,1163051,1105614,1077513,825256,705096,927458,898507,1737994,1607988,935811,799306,1123611,1056105,586361,591402,205586,210429,227018,220588,142055,147405,189853,193853,216871,227073,225957,228251,130044,135997,218635,213370
Krookodile,Mud-Slap or Snarl,Earthquake,45,1.586035575126219,1.5950088573047978,1.5264078661199012,1.5280846877957268,1.4709158308348127,1.4163953904466764,1.59660928122766,1.6491313318391239,1.5307703821166494,1.536816045177628,1.6523356920543202,1.5401331491018715,1.6117296507659122,1.6338264205553887,1.6124186127597002,1.6601670570222313,1.4836196901022451,1.5327184568356698,1.5484473036295767,1.5639544118815027,1.503878899693015,1.5610567544270872,1.5802185163887292,1.6436492941052212,1.4698835852277659,1.5305407933951254,1.5258762721598238,1.575971831251118,1.5372629169391758,1.623348593852191,1.581114426422458,1.5728858007165203
Unscaled: Krookodile,Mud-Slap or Snarl,Earthquake,45,847874,852671,735521,736329,846768,815382,627584,648229,756819,759808,591941,551745,472211,478685,425456,438055,140751,145409,155972,157534,99447,103228,134652,140057,152399,158688,162074,167395,94019,99284,153142,152345
Shadow Luxray,Spark,Wild Charge,35,2.1272421514178235,2.09403146728222,2.1085555260405426,2.058711586671758,1.3933684689598627,1.1796537623724537,2.1591739956700153,2.1069648640328893,3.3932957662154837,3.1806134254577225,2.32375608871024,2.1456852154251975,3.4238729759986892,3.204209103568796,2.161864914235472,2.1655941363288385,2.0012965110150733,2.058079477179298,2.1753732825033754,2.108837661821936,2.0932599392078877,2.161325933431125,2.0921946697022684,2.1960075577096854,1.9937018354375438,2.101146786778677,2.0244217027406157,2.0848169313763334,2.059744931327665,2.1257357750163504,2.1908070660871184,2.1431801521831155
Unscaled: Shadow Luxray,Spark,Wild Charge,35,1137196,1119442,1016037,992019,802126,679096,848713,828191,1677659,1572508,832474,768681,1003140,938782,570434,571418,189863,195250,219121,212419,138421,142922,178278,187124,206709,217849,215028,221443,125974,130010,212195,207582
Shadow Donphan,Mud-Slap,Earthquake,35,1.5674735824103467,1.567793455508645,1.5374192718277357,1.5388055550943835,1.5134312128044691,1.3705569471610668,1.5500301470719178,1.568128566449489,1.773984433782898,1.4893022710172248,1.7669360353947716,1.5588800960236708,1.7124860060617646,1.54497856538241,1.6868552500928518,1.6271952763186819,1.4699061874143564,1.4919679561505217,1.5801167500595663,1.547494241918831,1.509640540172698,1.537919458012612,1.5263287603713136,1.5710178263369752,1.472034413248329,1.5085406197856888,1.5041848291704718,1.4985077718256024,1.489748201438849,1.545356442119032,1.5704905169476653,1.5389388479924013
Unscaled: Shadow Donphan,Mud-Slap,Earthquake,35,837951,838122,740827,741495,871243,788994,609275,616389,877065,736317,632996,558461,501731,452654,445097,429355,139450,141543,159162,155876,99828,101698,130060,133868,152622,156407,159770,159167,91113,94514,152113,149057
Shadow Donphan,Mud-Slap,Earthquake,40,1.4771290734716707,1.4944751742934266,1.4600654956585262,1.4735859080570453,1.446308153573029,1.3104100584705927,1.473973027910846,1.5094498986193403,1.6014251502819556,1.42756328832291,1.6925232731789697,1.4883892308336473,1.642929306719821,1.5085226497010076,1.501360559686503,1.5540282420356095,1.3980183408875302,1.4375566564772846,1.5033952823445318,1.468092288142324,1.4555627807098461,1.4988431351792761,1.4709016441539238,1.5015314924129515,1.4043749578032618,1.4588786759386965,1.4169294933955958,1.4387339126505172,1.4298724656638326,1.4704872465663832,1.472098041442539,1.4682057053181494
Unscaled: Shadow Donphan,Mud-Slap,Earthquake,40,789654,798927,703553,710068,832602,754369,579379,593324,791751,705793,606338,533208,481352,441973,396152,410049,132630,136381,151434,147878,96252,99114,125337,127947,145607,151258,150502,152818,87451,89935,142583,142206
