Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Suicune (Apex), Tier 5","Suicune (Apex), Tier 5","Suicune, Tier 5","Suicune, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Brionne, Tier 3","Brionne, Tier 3","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Feraligatr, Tier 3","Feraligatr, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Politoed, Tier 3","Politoed, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3"
Shadow Exeggutor,Confusion or Extrasensory or Bullet Seed,Seed Bomb or Solar Beam,50,1.1239195159780446,1.1028988187992044,1.155674006153016,1.1063040866687195,1.0704943677078682,1.0937472372351527,1.063462171933032,1.0903865844251743,1.1058246394740572,1.117336097127077,1.0868904816340355,1.0912616356081362,1.0623846183910268,1.0699450828983175,1.1561821745042067,1.0982979271772513,1.0933734226979683,1.0817392616657058,1.1551840409358338,1.1233413805324364,1.1094694762395931,1.1126177229640177,1.1427634791878303,1.121745739880935,1.0879067418529698,1.0996238538091596,1.0426387048138428,1.1084644484038866,1.102995181311464,1.1312915888633814,1.1053445369415633,1.1308271211207597,1.143355098957806,1.1295026345771604,1.102302321454213,1.116359894504202,1.1320928564119603,1.163149958174637,1.126854758092228,1.088697013416926,1.0380505852049073,1.0869281946074936,1.0688901567942435,1.082056402438291,1.1075606849804993,1.1211914782540897,1.0505649251282208,1.1117421514061037,1.0530408550662826,1.0902338376545915,1.0447508574231972,1.0838286349451691,1.1463443341268282,1.1594980726146797,1.0705598587717797,1.11114707084577,1.0764081111675292,1.0886861976922397,1.0731714086470985,1.09026266402852,1.0124578042499874,1.0714776991117665,1.09235006750368,1.097094786046082
Shadow Zapdos,Thunder Shock,Thunderbolt,40,1.0235654628138335,0.9867936198295209,1.0814741228585865,1.109530866128975,1.0474600383821902,1.0882437696434748,1.030206386068357,1.0468617294320781,1.0665761081369591,1.0694115250571377,1.0420357944270047,1.0430856513823616,1.0957422917078778,1.1230889190177655,1.0958522714799062,1.023119443742172,1.0781757344743383,1.0549502760013447,1.039434536854523,1.050413390806469,1.0550276497036906,1.0536780009838411,1.0392894245950466,1.0446106407043407,1.0683450558965788,1.066877477185812,1.0612300406574235,1.1080302165892821,1.0349146855491413,1.061633325022087,1.043083875172594,1.0975980401655905,1.0908211959349474,1.0601430352127321,1.0319871236919373,1.0500879837421597,1.0638444086642638,1.0746411009375023,1.0667694029317007,1.0569893347683104,1.0388791292763493,1.0723233314255618,1.0338506675826373,1.0441193699750497,1.058307922565948,1.0966690001067847,1.0397782960246469,1.0937140253566777,1.0313210110608022,1.0479118849877702,1.1291526868356079,1.1534736591742998,1.0509222664406501,1.0902728190694637,1.0671411480903978,1.0786630212225832,1.062841253352091,1.065269619146554,1.0717409128177096,1.0641455289877118,1.0425843004441953,1.0644204451874995,1.0297109041772876,1.0276273484238747
Shadow Electivire,Thunder Shock,Wild Charge,35,1.1125226490092215,1.0350162495057738,1.1941586912411124,1.1497844192129965,1.086628941093225,1.0811309156647706,1.0599594968884936,1.0836319254007076,1.0593985700648008,1.075239759262366,1.05579411248813,1.0754988780219314,1.2222274673662343,1.1957364125598575,1.1706525810030124,1.093693464369338,1.0536479372119822,1.0630924384606077,1.183052072714704,1.0943107262453695,1.1222825522136641,1.0754527415094337,1.1604218278020841,1.0883259166572474,1.093200184871066,1.0627289496236476,1.0476921621576816,1.0901936518246105,1.081386434437177,1.0705307330561695,1.0884036671422788,1.1010581357631968,1.078880319673021,1.0444285154550699,1.082485287601549,1.0849864049623523,1.0774316976958354,1.097145051475664,1.0666715635901445,1.045060964466922,1.1129226190693604,1.0621568346405963,1.065457752051914,1.0582608390272812,1.0494365843860654,1.0734265805384315,1.0835040836984062,1.078068235590426,1.0696716570812574,1.0590465480206044,1.1634602150170756,1.1374866730257402,1.1183780721273124,1.090252654247939,1.0795202243887443,1.059048274696621,1.0628413620475745,1.0440267949894486,1.067586287017037,1.0409289396040171,1.0690308085778213,1.048502194804262,1.1101184553982546,1.0463032883991368
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,40,1.2790991617777026,1.203391645976998,1.480090608470974,1.4462390909413443,1.1980984228024079,1.2446997198406387,1.2187209196992532,1.2668061148580951,1.243623831043447,1.2872474061513413,1.2352969098728022,1.269230946030133,1.6660862977699917,1.5050356600622017,1.2371482775486635,1.2112607074964985,1.3115962535435017,1.2836884834905964,1.4557981160099083,1.3110139658717774,1.2095448490090168,1.2211367475492794,1.2040892631344522,1.2361310797005298,1.1783746730402367,1.2235222742932905,1.261936674283229,1.2984947293584825,1.239099659182453,1.2617131214544033,1.2835009307694931,1.2992075361184308,1.3043992034338445,1.30267930713868,1.2042269345355532,1.2344866819446427,1.3265994033582815,1.2962614219046644,1.2235028684918807,1.246579823594775,1.226077488250059,1.2408786345321974,1.2794234515772671,1.2406920005060929,1.2670862903895603,1.2998294837221367,1.2970932925456404,1.2922411081811984,1.2330394067313921,1.260716038061387,1.3484173343335153,1.3883140344446696,1.2355590788149056,1.245213824782322,1.1564137772344325,1.2044884608225448,1.2577891493957307,1.1963957198824227,1.207144198286863,1.2338592235586525,1.2172709983456882,1.2509436834895244,1.2655272922919505,1.2292700239424306
Shadow Raikou,Volt Switch or Thunder Shock,Wild Charge,50,0.8919233887496655,0.8884691650047096,1.0044704844976422,1.0204872887436034,0.9175532012804877,0.9466767777079604,0.933767461905664,0.9525640075433786,0.9476795021448563,0.9733537352746899,0.9315458619876249,0.9410886392916115,1.017971084046316,1.03351926666051,0.8994906986490359,0.9223269917545542,0.9493111240396434,0.9477505321113041,0.9353240941343841,0.9378343694193494,0.9438979234824136,0.9514608504578015,0.9146986976839956,0.9347939661542309,0.9374386413380473,0.9547612946792547,0.9309278260030018,1.0098184410525874,0.9514659895752418,0.986014373517575,0.9471734059772093,0.9843814268867636,0.9441299304584977,0.9668201585652041,0.9169565132029508,0.9669516433961762,0.9543655150744587,0.9895108920866216,0.9287570493022552,0.9492386300053632,0.9347494905817264,0.9688325143083447,0.9125915830434443,0.9516548490083478,0.9416371596666289,1.0024990126666815,0.9414612852416351,0.989848074907396,0.912012462585859,0.9623833778867387,0.9969757685504773,1.0445205825459163,0.9314386930027765,0.9794721507670704,0.9135957105233047,0.9644707948234197,0.9146591387280455,0.9523448721352916,0.9302276872528443,0.9560717965735438,0.9204755280537718,0.9460811791596747,0.9247650892256873,0.9417759853216036
Shadow Exeggutor,Confusion or Bullet Seed,Seed Bomb or Solar Beam,35,1.2834388591222539,1.2348987526601,1.2940016509273176,1.2741230160022734,1.1932862700037514,1.2377159838521414,1.1967162421457453,1.2261903193308683,1.2427617935684327,1.2587949925976458,1.2314878215480272,1.2414933255913823,1.2142679132413527,1.22460069898609,1.3209292695888493,1.2316765752226013,1.2296747323146384,1.2396097091392768,1.2937231846996562,1.2831557961122981,1.2982263002171262,1.302088767688388,1.3474114588545467,1.3581791382256758,1.2246581444684743,1.26044315652511,1.198019420770687,1.2926722820527075,1.159858224810891,1.1619210578339991,1.2299788613089806,1.2336886617313465,1.3167337274956612,1.2965828304171954,1.2552089416581749,1.293597185752139,1.3119395191947456,1.2646180752252105,1.2590717366081658,1.256390224927888,1.2008567500250618,1.208726546094668,1.204179533473904,1.1800483867320866,1.2224243651828135,1.2315214425066912,1.2345683289257439,1.260339828008609,1.193821203716966,1.222375499622959,1.1700315706641433,1.1977763559394041,1.2233948482231656,1.2250353265132374,1.2321919027615518,1.2468026755289745,1.2686451263274434,1.2292477806711481,1.2301056886475474,1.222089133600606,1.1735195090788983,1.1973109795427446,1.2349750813959797,1.197662998682752
Mega Sceptile,Bullet Seed,Frenzy Plant,40,0.9376866067586896,0.9242709072250066,0.9731286574173242,0.9924832797292545,0.8880337875103101,0.9075452231759109,0.8727978577683349,0.9138449681986752,0.9617868443076559,0.9532046272217243,0.931840007741951,0.945630648448888,1.0137077362996376,1.0191294027111861,0.9545303329507906,0.894572752651559,0.9242473532848469,0.9326492423190453,1.274875065433716,0.9893794660859242,0.940632998590575,0.9293375495697944,0.9146133717114224,0.9187883807887811,0.9769073258886573,0.9726327432939917,0.9297341029864531,0.9741629827276655,0.9380284397024716,0.951501633392754,0.9525403315504397,0.95242391217673,1.0406370370036742,1.0057133307228965,0.9131921333179861,0.9424040445958811,1.0163745515866125,0.9864609994299004,0.9302783172406449,0.9456919538739547,0.8841429520722361,0.9121617190351545,0.9514023316522897,0.9396683647083783,0.9452215609866893,0.9828552493080192,0.9504050387079211,0.9568537618426141,0.940882322225132,0.9195147682602964,1.0020865524142424,1.0238525883025396,0.9087708140099818,0.9308482475338454,0.9471255336668859,0.9576930188124495,1.0053111097653573,0.9587665236544662,0.9253181685406788,0.9495243662032924,0.8801313035320301,0.9199980401641972,0.9461132745670174,0.9286629675765062
Mega Venusaur,Vine Whip,Frenzy Plant,40,1.1051988334079517,1.077541604040445,1.1456358498007297,1.1582065218773296,1.1053627343178065,1.1316145025540019,1.0559362244127666,1.1193432209787177,1.1016651632391856,1.1301933104495927,1.1005197510478852,1.1248971711636515,1.1411716602694035,1.1665288318279363,1.0348839805596421,1.0333117900433113,1.0682383912222508,1.0855534962179578,1.1148660706458715,1.113425746194826,1.0719659585734278,1.079861230373118,1.0547726508599433,1.0772635021062111,1.110340340627906,1.1169428166758217,1.1081585766293445,1.1544506176632077,1.1147436714232681,1.1393116594652328,1.1233938838730724,1.1557358620437221,1.0983544277139006,1.1127641891925306,1.083180919288631,1.132753819911081,1.1182756880243465,1.1599258821390341,1.10112840878288,1.1194915744416873,1.064965053256186,1.1277469601187033,1.0841674167460043,1.116902434522604,1.1180096377291844,1.165811604937853,1.0985511242215167,1.1594959463533396,1.0656005616048805,1.1191623338256227,1.181809162531861,1.2511115818673317,1.1112245255403304,1.1571638574511605,1.0966543883919484,1.1200750103436203,1.1058416834756466,1.108359614348425,1.1139697502911192,1.1463825532894578,1.06507867804565,1.122336053209132,1.0629939933682735,1.0944787351293777
Zarude,Vine Whip,Power Whip,50,0.9943093569389369,1.0229281925563707,1.1064406750517564,1.1387957748175823,1.020499294999767,1.0884509453277615,1.0541982003497183,1.1289632246570755,1.0413067766848296,1.0859312924722142,1.0393140147459974,1.0906507472797324,1.1376993009539866,1.1764227122074484,1.0166256560877365,1.0280318662192116,1.0640762918349769,1.096692806015905,1.0367785228385584,1.0589930345965903,0.9997244832660807,1.0210651633192145,1.0117293634377669,1.037402077917216,1.0346254794270155,1.0876304627978095,1.0792847063137496,1.1515905741873638,1.0803401063641995,1.1306962905453717,1.1017873622425831,1.1519632812842031,1.0725723357679822,1.124497801994489,1.0545611803641692,1.1173274269442368,1.108396098752203,1.1763321168692453,1.0353727136187456,1.0926626738897278,1.0421364702398692,1.0989981279705792,1.0376797203723471,1.0931033271771504,1.0886373274709182,1.1477965432316395,1.07948011115012,1.1408798634537691,1.063049464403309,1.136442846190884,1.143403526619249,1.2150177381054323,1.0498729646704408,1.1151014104713908,1.0690741812950557,1.1332061855316529,1.0613531656006745,1.123091889608867,1.0483778917415558,1.1036693916661786,1.0611575884972124,1.1204992196532444,1.0575871963565364,1.1088159634128023
Shadow Raikou,Volt Switch or Thunder Shock,Wild Charge,30,1.0991367484126613,1.0681341795262402,1.1618882326807323,1.1989719786752597,1.1246358352469386,1.1615884436624329,1.1147048529617642,1.136480662543612,1.1113568609457936,1.1336541989601108,1.0888109693769543,1.1009504454646077,1.229427659280801,1.22014699468007,1.11077176827596,1.0850991474258966,1.1191641778249675,1.131456473585535,1.0978544002765123,1.115862839034311,1.1581578087324211,1.1399184240501785,1.1487393330535132,1.1338587042211339,1.1250140292304398,1.1329682320333045,1.0903168821441842,1.1572817162523394,1.115994591622179,1.1302284971897687,1.0941258568977743,1.137523992608843,1.1132729833590698,1.1244972814310623,1.1251077420688558,1.144534613932113,1.0979735106581996,1.1444418584750602,1.1198938755397334,1.1099197494361226,1.0907345792079548,1.121363746225238,1.1063378055861708,1.1004395921941716,1.09343410630656,1.1363767494444663,1.1264938023440998,1.1467807186088044,1.1192791046490387,1.1313273267300687,1.2069400306447946,1.2262540026470927,1.108942428216129,1.1329535828349242,1.1251629490432893,1.1290369349086193,1.1184171297870655,1.116099586801884,1.1216709198336912,1.1206615345556044,1.114538052419321,1.1222147593266283,1.096779972079409,1.0809706524292806
Shadow Vileplume,Razor Leaf or Acid,Solar Beam,50,1.3433863257765166,1.2242817002546718,1.239527467160968,1.2458049626870322,1.2222673898056653,1.2090285808006778,1.1474935697364483,1.1684185531975635,1.1959824749293675,1.19069420657303,1.2244161298712295,1.2146852715428862,1.2678380042376471,1.2798248080471488,1.2875519462522143,1.1868651432953332,1.1508539900869013,1.132616514180928,1.2180642765723502,1.2254042019090365,1.175057937380604,1.1818577021668528,1.1910752224462864,1.1800662881174075,1.2750452065041213,1.2567195400713536,1.162574963648226,1.2112710686690131,1.2090482381074743,1.2025881136758387,1.151486196050603,1.1913335786374908,1.2567377740841414,1.2181953711432205,1.1701304530768133,1.1766486028274137,1.2520311621538032,1.2440549759206465,1.2115878953404533,1.1854703819644918,1.1685626081787541,1.1780981933370158,1.2012635649703407,1.1900812491070005,1.1768030062392687,1.2019092399143692,1.1871306338278993,1.1997362681010095,1.1479678439519916,1.1759749492682565,1.2631709097389727,1.2861039057620396,1.2137725121803746,1.192109675915984,1.202678054470268,1.2274692255863282,1.24331872155478,1.2361300681210123,1.208287851796264,1.2021022768118628,1.108283900666392,1.158764193690545,1.2157395416189847,1.1726959376962216
Shaymin (Sky),Magical Leaf,Grass Knot,50,0.957735613291198,0.9749098400451199,1.021602276182437,1.0591070486023362,0.9711144915362891,1.0016171761500718,0.9563579316648961,1.0106447969079833,1.0032451464730803,1.038506143732941,1.0046693642527504,1.028444315411926,1.0326215480562426,1.0690965014541736,1.0042199228045892,0.9919995551225574,0.9926585383604586,1.0038342822112076,1.0118533646079362,1.039288328503553,0.9695725746309086,0.9911808847698802,0.9557606850652071,0.9970890416300993,1.0149077081060405,1.0395487895569122,0.9910733111175476,1.0441412253010298,0.993428329892421,1.016907403542623,1.0169508043532385,1.0413448560560568,1.0561309963007972,1.057442895352051,0.9661325919421444,1.0229854879758118,1.0590531092595423,1.0707788945260102,0.9982682585236577,1.0245802759158646,0.9572381085697965,1.0038069429499226,0.9993267647069671,1.0266078918769654,1.018338923984657,1.0598376535875371,1.0331084778997233,1.0511628992271136,0.9888099963860685,1.0256798031645709,1.059871567470804,1.1165170175337185,0.9717797891831877,1.028124534526165,1.0120570599923737,1.0358241581446774,1.0052788737905687,1.0293959170870852,1.0065920196168419,1.0235200085902547,0.9544555821460599,1.0164470062927267,1.0341638805213784,1.0197866986878634
Electivire,Thunder Shock,Wild Charge,45,1.155040144982731,1.1217562766736826,1.2013282493716388,1.2295580288116725,1.1557762133396277,1.1899534785747103,1.1505103035194197,1.1671521275456844,1.1495190621962947,1.1605071316441744,1.1277045961786212,1.128222774642691,1.294399568871356,1.296806757065281,1.11111698830329,1.1120737275763208,1.1564757733641178,1.1594559538644875,1.1606748376367222,1.1840497803430856,1.1708821414888253,1.1597159745309913,1.1570408266360066,1.1570025493399145,1.149064779478588,1.167206356357577,1.1441681612097558,1.1905350610544014,1.130377845631791,1.17486467414058,1.1638915453432874,1.2013568447584668,1.1526143379938887,1.172433545636828,1.1502874340891864,1.1628854124841828,1.1574789218401975,1.2221754411783303,1.1392172941890717,1.1497473648430534,1.1448059087703977,1.1649226349823198,1.1521622249622234,1.1694422889518885,1.129187606890485,1.1897595313683849,1.1453921570030428,1.191562133495899,1.1460910354756353,1.174557298108975,1.2479853225645363,1.2607614954831972,1.1585043916361681,1.1532242239818211,1.1464017452735036,1.1636558703279498,1.1405190364611235,1.1439176336682706,1.155257982157628,1.1473004244471614,1.1388230693994394,1.158827915687973,1.132770836534489,1.154238429218988
Vikavolt,Spark,Discharge,50,1.1725237628353469,1.1578923938576393,1.2437673982177395,1.2723281744175527,1.200072647543581,1.2385797938775343,1.2022687781538486,1.225706848608126,1.1993864177794242,1.2163686142043766,1.201603890330424,1.2095029062558593,1.2815368851954196,1.3224614148452682,1.1729685275890718,1.189980408821961,1.188811798917962,1.1821958482146644,1.1976800303812813,1.2139891492740302,1.1886475902162519,1.20059851551171,1.1837587392826572,1.2216322638968784,1.219704225108527,1.2446243353799065,1.2141964526910067,1.273385430228487,1.213942278181793,1.249447457330075,1.2032670177303835,1.2607610011869714,1.2213683183944266,1.2532996789832462,1.1975870203673413,1.2334891414857878,1.2243665876038918,1.2733645938160219,1.1822848043755894,1.2066864565817106,1.18080139572476,1.2237261390811751,1.1844057583642866,1.2197285859364813,1.201501594140749,1.2473336915418165,1.1866098958969349,1.2418742025951988,1.1945016448834147,1.2270702831344038,1.281199645486336,1.3293695291497387,1.1904177499166144,1.219260846587439,1.1882474960956149,1.2252606015481602,1.1974269449892159,1.2045711574982025,1.214042336731317,1.2162135600448802,1.1927652606667036,1.2196872066524536,1.1795924581578008,1.1973063866750222
Shadow Torterra,Razor Leaf,Frenzy Plant,45,1.0505486275045643,1.0546453454060212,1.1749241286648036,1.1820874507122392,1.071923682517643,1.1144003000232574,1.102339737518975,1.1243890906495595,1.1202868013802838,1.138554783121376,1.1179388022959722,1.1198729836148862,1.1734365977164005,1.1924703893680502,1.1470288585687145,1.1027364971340654,1.1188640433850985,1.1015553679281214,1.2224906796089758,1.147099689675123,1.0898600260008784,1.09807666028315,1.0556233907636765,1.085967807234097,1.1033111444154329,1.1127615813784733,1.1016540130310506,1.1576369542723453,1.0931814901063008,1.1188763646354065,1.1282229081219588,1.1650094659678634,1.155467478235611,1.1343559153031084,1.0776449306466374,1.1054306622282772,1.2125199169372765,1.178054832369234,1.0989873033380908,1.131153890132367,1.085372214246226,1.1075528792418303,1.129903959376569,1.0965012386932855,1.112060501073778,1.1572744854425543,1.1171878577588839,1.156027672729169,1.1163746501466085,1.1358410997702157,1.1666981086917958,1.2036514046138123,1.0977290207420471,1.1126110854735611,1.1013793260418216,1.1276948365458577,1.1548634241251177,1.1163024591576722,1.0865134515443804,1.113075796562624,1.0723571651781458,1.1097893115010722,1.1189396552896484,1.1162784925006592
Shaymin (Sky),Hidden Power Grass,Grass Knot,35,1.1873935687352457,1.1900940519867895,1.2466926055432843,1.2895971599303448,1.1900156899699919,1.2280002285708553,1.175917599295073,1.2197028902559204,1.22720783386153,1.2670024386004795,1.2164583235046844,1.246962191456031,1.2726462551258613,1.3156043840733547,1.2530672506868943,1.2089496290979431,1.217326445987633,1.2141430206240849,1.527399820667787,1.310877071650232,1.212187465772316,1.2253133542179637,1.184338898300224,1.215817714636638,1.2155984636337382,1.2581497075009473,1.186323072917124,1.2724616904477,1.2105960560666245,1.2613704624510162,1.230092693165786,1.2705925077522573,1.3196359817650254,1.3020464830774505,1.1742796824347033,1.2342821693083603,1.3429045772369834,1.3052273737761788,1.2041335337503352,1.2524294118145614,1.170497289062146,1.21772676717779,1.2556484301573105,1.2237782286004488,1.2225539134841765,1.2704813610114363,1.2396720972875197,1.2808106919661029,1.2127486084574783,1.2274773173460265,1.2905136622086346,1.3413482616424794,1.1875956800982046,1.2104898498147245,1.2147689436349867,1.2577979360151605,1.2603502168474894,1.2376308421881332,1.2113483879167388,1.244369197141799,1.1502770386443677,1.2181515577653745,1.23635175943336,1.23930316381784
Mewtwo,Psycho Cut or Confusion,Thunderbolt or Shadow Ball,40,1.2782599310408986,1.2805969671950042,1.1850354227682904,1.2037394339259144,1.3135470328552465,1.3683226724734903,1.318909984545407,1.3511813979406686,1.3311774059163461,1.358356423761336,1.3277034832731516,1.3495842693231235,1.1764991477898632,1.2116467320492732,1.3006667029596286,1.3135726425088168,1.287073367734342,1.3030401002293648,1.3250675783138266,1.337353854265026,1.5140610090457642,1.541210242264562,1.5110347805031052,1.556708354121865,1.4110232014345672,1.3016646717601486,1.3359255975978086,1.4189647521886646,1.3272410838599122,1.3863643771793213,1.3522161251258202,1.4218354394398844,1.3418166235434565,1.3992803753823608,1.534876747692809,1.60143145371624,1.3545274785161512,1.4227884746939716,1.3239693153223693,1.352477231164477,1.3111131806230496,1.3567865155255001,1.3085686080852699,1.3567939388137313,1.340390831444829,1.4136507941888867,1.334135846136331,1.4189623656734645,1.2964074953935951,1.3640152124759706,1.1738676523175642,1.2279828281822793,1.5165678986397886,1.5384025623335147,1.2713822973967752,1.353530534023885,1.2820584129527748,1.3343132386440393,1.2694568665771442,1.3244665442636236,1.3142573134573547,1.3508910385277888,1.2970004043811976,1.3510689997497434
Celebi,Magical Leaf or Confusion,Psychic or Leaf Storm,30,1.428455477480725,,1.5036594909733603,,1.4056649824594278,,1.4012609355656025,,1.461579711011534,,1.4467571749136592,,1.5088477182813473,,1.3837903960677778,,1.4319895448556323,,1.5006449447601682,,1.4383600960962273,,1.4405935164739965,,1.4442651870806473,,1.4557891236272391,,1.4187056383693422,,1.4694009883256904,,1.5183409263356014,,1.4286969051511778,,1.506538569751615,,1.4721436674080945,,1.3834585203232108,,1.4066117950156245,,1.493345797180549,,1.4834082559938127,,1.4211026474237138,,1.516162636373228,,1.4267751058881584,,1.4454453150649569,,1.4379866646169805,,1.400020383655584,,1.3910156698712624,,1.3946655758117832,
Shadow Magnezone,Spark,Wild Charge,40,1.0010414183421905,0.9936500100298862,1.2367175971003543,1.163223602085104,1.0542625823480662,1.0735463541854797,1.0349067920602373,1.056442547619636,1.053657877452008,1.0610314388906172,1.0270871513853859,1.0276350395867733,1.3255900803658893,1.2548633970303178,1.0508698912760537,1.027814904208815,1.0431570285350964,1.0517917204508,1.0363792675932166,1.0517500075139194,1.0577087415165096,1.0431812409220627,1.059393008477881,1.0636174660621973,1.0180176927138673,1.0238526224186488,1.0465282032227519,1.0885480452936767,1.0504772334640415,1.0643991074652632,1.0563182686588206,1.092551343418001,1.0070156898835276,1.0452523862938683,1.0625118809811527,1.0727810908290183,1.0367484061112167,1.074570852723313,1.0403866378818762,1.0575650107482018,1.0281166642351325,1.0704205927842685,1.0257711384865347,1.0430612890588482,1.038006654541818,1.098338907034729,1.0382138959274636,1.0727501497817193,1.0440962727726255,1.0556096562314043,1.1755412403705003,1.1748893221391994,1.024534983071602,1.04339609710184,1.0112032241539668,1.0489759114467632,1.0127781478600189,1.0373338395437275,1.0402338478487507,1.0558231584413662,1.052822016636874,1.0519840638288727,1.0679009645906192,1.025938451212198
Shadow Exeggutor,Confusion or Extrasensory or Bullet Seed,Seed Bomb or Solar Beam,45,1.2067765962781853,1.1504333928343005,1.1835743629901665,1.1555848846548642,1.0830350858930753,1.136384611974029,1.0937105571614059,1.122876709132484,1.1370933911158256,1.14803260014002,1.1420727864370692,1.148342653916641,1.1143849169425526,1.1134856003818583,1.2011008469850497,1.125522610460696,1.1199182644888985,1.1174760220622477,1.220510996621241,1.1843670086334936,1.1484651182400187,1.1546577585379598,1.1640398122276643,1.1606410523160644,1.131634523477605,1.166948674399634,1.126623931999021,1.172050123025521,1.1060109361327983,1.1344378330760236,1.1204096458550605,1.1612595873639575,1.2269837266101375,1.2288191653528193,1.134779313060822,1.1570243209314304,1.168189039800368,1.21092475524402,1.1683728826815591,1.1279172071001622,1.0467269636004775,1.0897595381966052,1.1114978703519736,1.1190202320170584,1.1929834077152683,1.1792734582769042,1.0967041741080512,1.1395008023339235,1.070401098047532,1.1120281701450088,1.0720432584847506,1.1143891239633448,1.163911853533946,1.2117971516428085,1.127039688634427,1.1337133113272229,1.1189171134827431,1.118218605250613,1.0991429006487887,1.0933589625447295,1.0321536415601087,1.077937777126625,1.134788522076603,1.1303986335760818
Deoxys,Charge Beam or Zen Headbutt,Thunderbolt,45,,1.221270690274208,,1.2271406687188022,,1.2632839069311126,,1.247367709508555,,1.2719962065697725,,1.258960860808187,,1.2080264286013427,,1.340384044758865,,1.250850819967111,,1.3161217874863185,,1.352391135879281,,1.383667737711008,,1.2497994661258216,1.2613315623119632,1.2267900140140844,1.216036246629818,1.1930768869316304,1.2160161668056182,1.2003744004751664,1.2992399672121995,1.2615069272337092,1.3064619448660881,1.3048136403865203,1.2605088585511062,1.2116305880138512,1.3070192590350096,1.2879385057434518,1.3018336452219141,1.2540128750267572,1.2293498066952135,1.1973751793415242,1.2613004832424535,1.2193165958442167,1.2444287004034882,1.2044877035886554,1.2493971156916035,1.2275214203048703,1.2216916184946685,1.1807351206206076,1.3877206898074748,1.3261120731538298,1.2501163754707634,1.1919177274528567,1.2428982253133147,1.1772918986150642,1.297721246836666,1.2150973122390807,1.311022012687135,1.2225951847763672,1.2936307694856795,1.2145769808465245
Sceptile,Fury Cutter or Bullet Seed,Frenzy Plant,35,1.3662586453257821,1.3136210033084086,1.4911649233282664,1.49960591587536,1.3276577084213796,1.360061948890938,1.3283685110611514,1.3417922523902464,1.380493104049203,1.3941814099117327,1.353113147405539,1.356353250712199,1.5211788151193044,1.530047273543441,1.4299939423832222,1.3482607253309165,1.3584807625075737,1.3631911140202788,1.405431217580568,1.3918298491705887,1.3166982304572914,1.2827933092331127,1.3727999854090307,1.333747904048058,1.352319908279406,1.3039900325347895,1.342033495319374,1.3926892120807843,1.3459421715043343,1.373404547592328,1.3840680804783485,1.3925494698291185,1.4320724762804993,1.3954553658563331,1.3291791122630976,1.3351173892908137,1.4144508312595847,1.4157968967600905,1.3875436689842298,1.367635117543263,1.3222531829583464,1.343801051897815,1.3729111593364152,1.3535404466351626,1.383442632120453,1.3911476796395768,1.3864965419821305,1.4025364627854437,1.3013830468163423,1.3457940985720904,1.4565630990099157,1.4678784351378626,1.3346382592458905,1.3071126686557344,1.3174307226877762,1.3095085541037594,1.3189213991903739,1.2860371334827119,1.2995601134326167,1.2673621274712528,1.2727013459657552,1.3209719719563078,1.3839988689206242,1.3453958769999637
