Attacker,Fast Move,Charged Move,Level,Terrakion,Terrakion,Terrakion,Arceus (Rock),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Arceus (Steel),Cobalion,Cobalion,Cobalion,Melmetal,Melmetal,Melmetal,Meltan,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Dialga,Dialga,Dialga,Regirock,Regirock,Regirock,Registeel,Registeel,Registeel,Stakataka,Stakataka,Stakataka,Mega Aggron,Mega Aggron,Mega Aggron,Mega Lucario,Mega Lucario,Mega Lucario,Mega Houndoom,Mega Houndoom,Mega Houndoom,Mega Steelix,Mega Steelix,Mega Steelix,Aggron,Aggron,Aggron,Boldore,Boldore,Boldore,Excadrill,Excadrill,Excadrill,Lairon,Lairon,Lairon,Nosepass,Nosepass,Nosepass,Stunfisk (Galarian),Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Sudowoodo
Krookodile,Mud-Slap,Earthquake,30,2.0082097621459325,1.7061855865217892,1.7509491174516991,1.6267938519389549,1.5755113212900749,1.3342858304403784,1.6173291733776816,1.5746953111989221,1.3309046738941823,1.590323541446389,1.5872461148563972,1.3134105699065497,1.600986749665542,1.54944642444784,1.312467639325464,1.5554430017359038,1.5820214950321825,1.2931281528981289,2.0033790603423607,1.711557674344684,1.6768366181588945,1.7559434493647217,1.5097025526844667,1.5136673926889048,1.5509220162603126,1.5137722704062149,1.3344413872740406,1.6567205713679383,1.5915146623145422,1.3848929990416567,1.6508947433173233,1.6186800890013808,1.3544719236996778,1.5588097502027904,1.5592614436042866,1.3356345475319136,2.182083474802757,1.7944270389923165,1.793587690200992,1.8375487334982576,1.660705243507077,1.535259823237517,1.5329212950819993,1.532741810604998,1.2748769785869858,1.5668033331581581,1.5727548632172232,1.31767148135201,1.5096429856544078,1.5450495642279731,1.2768817961159906,1.5285970943806881,1.4665623022323995,1.3241717382696379,1.5711952981302297,1.6414299302426727,1.3059598146634923,1.5550352733898831,1.6305958461604184,1.2758295778731736,1.557614084257946,1.6015027366134067,1.2829308515988893,1.4841791401433906,1.5212340986458124,1.2654248547586746
Breloom,Counter,Dynamic Punch,50,1.2020043512033152,1.2081794125338812,1.2024504995398124,1.3682393972670537,1.2327332062301153,1.3661351263173314,1.3547680521927696,1.231695787520832,1.3556864101515962,1.1646535671666556,1.1714059143012685,1.1611244135806427,1.1567198516890342,1.1584280835583927,1.1569554619900542,1.2075351383029824,1.2133558818091645,1.1992930256015708,1.2553391536357787,1.2072500321501107,1.2524986002639362,1.2362275931089213,1.1576828947347764,1.2377999576550325,1.1604832430775767,1.1625564223509428,1.1623742918165798,1.2141883641300046,1.2010474405161917,1.2201039019222446,1.2097677716826494,1.2133665903556285,1.2096018369054031,1.197597596353636,1.2038836772411021,1.2011235779870721,1.1663944766837455,1.1599849978355412,1.1610686333088174,1.3042519865504107,1.2572977231702087,1.503940265277325,1.1266546261063097,1.1395756161220412,1.1271580427911636,1.1844843385366324,1.1923268093453119,1.1844843385366324,1.1136936010142877,1.1673044396355239,1.1150265325529731,1.0984616723276193,1.0935758567038496,1.1206481736671206,1.1860033583841525,1.227323237005018,1.1860033583841525,1.2081887741959474,1.266923485121906,1.2081887741959474,1.1606290845125913,1.2035286489466763,1.1573253680173452,1.1323770085152793,1.1778844874376015,1.1331322451352468
Excadrill,Mud-Slap or Metal Claw,Earthquake or Drill Run,50,1.30207530443819,1.2282636016345627,1.1452476953757689,1.1605493697350684,1.1615157445715776,0.9702585649445569,1.1590657568801732,1.1634063654774924,0.9695980844638702,1.1748599743457924,1.17283322589031,0.9879624955847329,1.149759740398623,1.1678965295632027,0.9658636129741672,1.1627464372363008,1.2278158178163407,0.9618645400159764,1.1992912205284907,1.2294235450671687,1.000766757986767,1.1242944298947972,1.1140823146259424,0.9574930361468125,1.1829368142357637,1.1625027449114251,0.9833655851495101,1.220533682648598,1.2063360129890035,1.0312781165944962,1.1715563433267204,1.191593276797632,0.9748872799617684,1.1466091150244064,1.166187616213532,0.9612463631086794,1.2614959568960558,1.255215745635883,1.0420848959025644,1.3157069812506224,1.2706827704468064,1.0972023363853767,1.1927030213143837,1.175506630775888,1.007241997945505,1.1496018293305217,1.1886818155484842,0.9644254474095274,1.1777441778159305,1.2043611962345704,0.990868054151112,1.1661382003344822,1.1563972536105582,0.9903570865916871,1.2036499559147869,1.2616283615357893,0.9978914784124308,1.2118637296278734,1.2686658161560032,0.9631188809819183,1.2103039366810757,1.2521289908892728,1.023402958057682,1.137391688154992,1.1834321416306193,0.9781181732247534
Sirfetch'd,Counter,Close Combat,50,1.2773325741787287,1.268186787512208,1.3037621598302547,1.326521870198255,1.256823250657809,1.3245167636289483,1.3326919641349402,1.259020081219291,1.3310970660200803,1.255072117000595,1.256785328062602,1.2558340784400128,1.286080372163627,1.2184778293566092,1.2854214067513332,1.2959976455399662,1.3016355378863516,1.2963458913742136,1.3754915520537372,1.2876480751388952,1.3749314213027324,1.3445773856302285,1.2633293343114909,1.3441283628788478,1.2909616548128364,1.2477505704812177,1.2898580988427553,1.3203430666646456,1.2884083417967336,1.3203613408720756,1.2625621096220534,1.2644194786655731,1.2573893835127354,1.2422125462833273,1.2402136692169423,1.2491918450786563,1.2683450767796978,1.2295801737453873,1.268266428841802,1.3452712959201318,1.3103370996674486,1.4641179008660117,1.2232710627327492,1.2362314475841676,1.2359096370778002,1.2556638632069996,1.2751368742503864,1.2523953105917756,1.1994214279233828,1.2492854939120264,1.2288010104243339,1.223339633786631,1.176795255455846,1.2447767696115501,1.2666233818318589,1.3234176438782863,1.2669279889993619,1.2576886935114477,1.32407287690838,1.2580125669124291,1.2751017293160243,1.3068531509166512,1.2746041617064323,1.205250399135102,1.2349377093438487,1.2042828942178576
Shadow Golem,Mud-Slap or Rock Throw,Earthquake,35,1.9509854330336542,1.496298132623172,1.6828643502846914,1.4530376236279579,1.388841205238378,1.2059798965315032,1.4344370259345052,1.3923786165235956,1.1953117812226683,1.3956117199549087,1.4302621920630498,1.1690450821599117,1.352515671802171,1.3337487394562964,1.130204428535793,1.395097118493319,1.412018971354725,1.1566074995668472,1.7078857673576626,1.4965415539935754,1.4399341203365352,1.655410055709306,1.422918410889898,1.3613983440494661,1.3694359093795099,1.3233611709256297,1.1493771199093983,1.4805111472665324,1.4301681058657678,1.247851727965264,1.5149571901875918,1.4378615062846871,1.278447458830061,1.4064513968752206,1.409572689757399,1.1691678951449949,1.9942203608356144,1.5769558354801378,1.6682894326605857,1.4255804505638776,1.3944341965349376,1.2183550502666076,1.528230213097963,1.389555058554947,1.2749268672435325,1.4012440064548146,1.4003039796619883,1.165136287742542,1.372714362658966,1.3641436109563956,1.176279403829333,1.4601658919191798,1.4131641397773003,1.2872386880286657,1.3746811191578845,1.4386245187303361,1.147371478372844,1.3345848679591419,1.4016471559671828,1.1294659083506398,1.4536119470956035,1.4104821123717999,1.266857471862962,1.327449587669627,1.3435564774679822,1.160994778851309
Excadrill,Mud-Slap or Metal Claw,Earthquake or Drill Run,30,1.7283053238767438,1.4544955532338242,1.5304509939921664,1.360518562108092,1.3532739677323673,1.1440172175845533,1.3781206363847052,1.388732948782002,1.1464365414603868,1.3778546231780828,1.416875286822356,1.1510477929104703,1.3534995163698265,1.3543069391465488,1.1436872280116404,1.3689678534844922,1.4215308776389428,1.136573089077771,1.5631561896693076,1.4933033436312155,1.3109214467924037,1.3044182836068614,1.3152656746641533,1.0962925669593087,1.3933476058165917,1.36530483399264,1.171838891787512,1.4581358961014463,1.4526869400892322,1.2004807716599886,1.3696326992902024,1.3689189448180314,1.1406422121009978,1.3542546601486118,1.3861085667039423,1.1276966760578162,1.7450189795565982,1.5239905270011775,1.4879783017932293,1.6026036422427299,1.5573399859964403,1.4016159603700389,1.4288835480629036,1.3854122930466568,1.1924996246882102,1.3373724053978093,1.3849332591738706,1.1162449579606601,1.3795348185368228,1.3842418058067063,1.1799295327216939,1.3817743129330762,1.3658928199748006,1.217790737298696,1.3766760875668198,1.4486667999111933,1.1482962098404301,1.3605148792294255,1.4550016796852325,1.1575364503049477,1.4346863373890486,1.4393202229155593,1.2548914911225921,1.358415512490901,1.3825107288039737,1.1397684257739789
Gallade,Confusion,Close Combat,40,1.4282975443875787,1.4480542830946503,1.4401636664410407,1.955470111426823,1.8567175872108066,1.954792418228082,2.399530898617968,2.248683686149281,2.3946465609907497,1.8178709611235002,1.812733173703699,1.818139471535759,2.2530538125921358,2.1705162073009228,2.254865095374707,2.3198171965693275,2.378730403962737,2.3203803339478677,2.0168233406062495,1.9415900725972148,2.0182950574694307,2.3166447978863367,2.232648779994499,2.3212674990121447,1.8355892457697236,1.7527037121266988,1.8371422011917655,2.3408796546595863,2.312821588154945,2.3430886863287035,2.5579302171309735,2.610571726914881,2.5616968252918233,2.1781191454543083,2.2052970386092285,2.1706463841313224,1.7469211535205873,1.775852064634919,1.7539558787880607,2.8028937804963645,2.744121920162398,3.202217462375077,2.143813858197171,2.1618263010015464,2.1738582407516467,2.5109539756353523,2.5627401072538105,2.5109539756353523,1.8006752158168484,1.853632854992949,1.7921391474395794,2.1398760046258687,2.086759963462226,2.2308944279894987,2.610069647991744,2.7146149185265953,2.610069647991744,1.8686748709864076,1.9917830962211978,1.8686748709864076,2.221006944341802,2.2775072869516286,2.2270535664741185,1.7733498900486762,1.828668501823545,1.7736218985254264
Toxicroak,Counter,Dynamic Punch,35,1.589637596141238,1.4909109069963482,1.5861553001851765,1.7214879561666396,1.5707702662015808,1.7238800229416116,1.728875565850631,1.5550885504557668,1.7268521876452114,1.4296962218525509,1.4550994537697732,1.4273882369124489,1.4122607826310833,1.4380215665774665,1.4118442899557615,1.5008743599960817,1.5091679582808561,1.504170873624393,1.4998713010879046,1.5118358688102174,1.4990959566090682,1.5357089558795518,1.4528981615690912,1.540220958490133,1.419846554838419,1.42573318070551,1.42162215980646,1.4634354583625973,1.4532409770048154,1.4638875134109104,1.488160887491399,1.4897820282249863,1.488391675316831,1.5031685564319592,1.5117110906638007,1.5044088578393544,1.408280193637035,1.3853817387174894,1.410708155781786,1.551955615376669,1.4880522839708166,1.5466859339491865,1.4660962997870155,1.4315180705315504,1.4675372791552463,1.4869159426642844,1.4780086283016398,1.4869159426642844,1.4744531158272076,1.4472311339364845,1.4783810358219958,1.4908055674490293,1.4514502222663461,1.6347237070431042,1.45872571702152,1.521954855554183,1.45872571702152,1.5062435042591054,1.5887083142503018,1.5062435042591054,1.5226190981941803,1.5035455661778347,1.5527403338463117,1.41713826586493,1.4390038070859321,1.4528200582101316
Shadow Flygon,Mud Shot,Earth Power,50,1.2943569438663811,1.289426092338864,1.1266204797396848,1.3899029214749579,1.3374665967092345,1.1408629790695557,1.3980833924368468,1.3271263813626535,1.1421787593037083,1.2750459304352082,1.2620971518078599,1.082489041005931,1.2726901583861656,1.2363674564529832,1.0828611691463508,1.2908667646572107,1.3405722284509465,1.0876179227016665,1.4746980695950935,1.3662060092446584,1.2333845962664909,1.3929554726110047,1.2695159937832605,1.189297550063606,1.2688519174755588,1.2591504658027555,1.0634696582495347,1.3717636547067453,1.347752061953774,1.1418691566748018,1.3137089699369955,1.31222421225803,1.0911053642558932,1.2785596831621922,1.2831107343835106,1.0698773316708532,1.3064709536010912,1.2554308791489601,1.0755925733099085,1.331823776433789,1.3228818769060375,1.135802917489829,1.2547811396105955,1.2635089593719397,1.060452321525625,1.3091753143691012,1.3127232384272762,1.101140587365186,1.2457546092316398,1.2955481250990322,1.0697147818557227,1.2293516346743933,1.2114073597625272,1.1065099296345033,1.3144887917899377,1.3940209762576066,1.0975511110656593,1.3172545044587944,1.3947029667910547,1.1108841474188837,1.3294681866104887,1.3716977509879855,1.1073419347417175,1.267129086373257,1.2956080561220855,1.0403077000563161
Buzzwole,Counter,Superpower,45,1.2745710532609138,1.2835306858475612,1.2701566874991632,1.3343694231691443,1.2968888772438214,1.3366949607617689,1.3201891778264583,1.2981767235807298,1.3242367727501942,1.249285348463176,1.254016484440968,1.247974417291604,1.2318515732877853,1.2310993931204768,1.2330882414333069,1.3229861452737108,1.366149956910102,1.3186369392885757,1.283981485474944,1.3009395709865583,1.2834645628973345,1.242438914143781,1.2596336446311294,1.2424451934740135,1.246430440953083,1.2412409881077258,1.2460685655483357,1.3269628772529065,1.337243887403934,1.3292389003137774,1.2986629391104687,1.3188747717933136,1.301880367455269,1.2665828177348948,1.2908384254558316,1.2786334982983685,1.1748592070675532,1.1722119868456402,1.1750470622136124,1.424866536215159,1.3228845112763281,1.4139770843655206,1.2424156339810335,1.2537535479723014,1.2418741413560106,1.2877077461902549,1.3219570062846018,1.2879784007276283,1.2539128259719583,1.3005323117360184,1.257548276010628,1.16488072900755,1.1963010295510552,1.1698433421866774,1.3002210080873706,1.3741228258477853,1.2989739024681168,1.3171809162211043,1.3962064518363209,1.3146018507335335,1.303598488479602,1.344031025678296,1.3027904140870281,1.2698208263322,1.3138357381800836,1.2718585702093679
Swampert,Mud Shot or Water Gun,Earthquake,30,1.7652133786197153,1.739086102674229,1.595905310792287,1.8311331770635724,1.7146089226309897,1.5946628676809624,1.8971566260570216,1.768702599273522,1.58327772362382,1.74054909407851,1.7518544607506554,1.4518552282008208,1.823116938996719,1.7347220158725858,1.533494634890386,1.8000306792205754,1.9144777173157308,1.4909417303182049,1.86364548186074,1.814548865509735,1.530673568945888,1.8578242657525985,1.7639149578153073,1.5454727573536653,1.7164383766406517,1.644127484962582,1.4531359608912138,1.8756638084795692,1.8382762116978508,1.5412061061116697,1.8192763784673045,1.8111350025316801,1.5277422669386085,1.6955387984265122,1.7072880623894968,1.5241890130053295,1.8950548726381482,1.7887098307297649,1.5973267762763326,1.8143714495980046,1.7724010384687685,1.6109462225293982,1.6137558279412487,1.615263726921192,1.4710399789343716,1.7595030861612306,1.8042439492389115,1.4850376826806027,1.7413497410213088,1.7868982812894798,1.4517220232835635,1.6642260236192248,1.6394746717560937,1.5106491204600414,1.7883156441877242,1.8671065401211255,1.5365943556694799,1.813461978156854,1.9343280684272681,1.5417824362688253,1.7961439017013427,1.8587560691516947,1.5750389843782924,1.7404286024221942,1.7839320048716845,1.50181790478321
Shadow Poliwrath,Bubble or Rock Smash,Dynamic Punch,45,1.3137688879302158,1.3655781389235977,1.3242534020858636,1.3191482735467381,1.3499231720815765,1.322016441239813,1.3651334691258388,1.4051245715723166,1.360263386217876,1.3532585739726755,1.3892688900572265,1.3526226589369863,1.3996229777687959,1.397872255983501,1.399397375186873,1.4348458670787634,1.4853036170036509,1.4377721485400181,1.4178183889968436,1.4243070198708363,1.4175813939382123,1.3259366874375769,1.3825447988434283,1.3294232349093895,1.3197851724497707,1.3257561911801032,1.3210565822463434,1.413802710982883,1.4467256325654798,1.4140414546605968,1.3835492113461305,1.415680032741825,1.3840337235850568,1.3236900733140218,1.3826798737651858,1.324411540038613,1.2822422330239973,1.3278490379548014,1.2941674726752317,1.2939593136562182,1.3561081544486142,1.307375785206995,1.2443103134074216,1.3009955252742242,1.2601760530549233,1.346692409637884,1.4033572821047129,1.346692409637884,1.2650159758039043,1.3387168013338555,1.2685168346886393,1.2068003880701024,1.2302698704810282,1.2527985013839658,1.3896060220745114,1.4703905197257585,1.3896060220745114,1.3592611116464846,1.4474435928772262,1.3592611116464846,1.3262503822846605,1.3929199825101335,1.3431133566818712,1.2858242671123241,1.3454964444662998,1.2940296443163455
Heracross,Counter,Close Combat,35,1.5186270743962662,1.4697319398198605,1.536639953320805,1.5406413114799342,1.4589176937507418,1.538542914865864,1.5588616255737118,1.4504126531596215,1.5598251700608972,1.4325284043992186,1.4507057044279348,1.435883327368594,1.5252530208728996,1.4692057908437035,1.5256776340974316,1.523825992251486,1.5231029844027189,1.5208432534230676,1.6130117652665759,1.518673552403105,1.6121540613615144,1.5806678462692345,1.4491352222875304,1.581883808184894,1.4409895018483863,1.4133398427169015,1.4391454208689607,1.4490656995652929,1.4318334167041415,1.448834998223107,1.538658228145481,1.5061037908430466,1.5403441601035672,1.534655803702137,1.5150536563548131,1.5336956891327609,1.364273532091077,1.3446452940504852,1.365777123180294,1.6549816036277538,1.5322527836355928,1.6591141779362835,1.4484616918768767,1.473859433491941,1.4522703754161546,1.4953580684198169,1.4895106569551488,1.4953580684198169,1.4542940485914342,1.484020082580673,1.4582783361479257,1.400623254230765,1.3718868432965718,1.4248104593402269,1.4982183767828778,1.5431165354399727,1.4982183767828778,1.4626216458985095,1.5372450862997717,1.4626216458985095,1.4358883983013848,1.4805815439680357,1.4392871654803348,1.4333973660141772,1.464166863218742,1.4319220060180287
Shadow Nidoking,Double Kick,Earth Power,50,1.483637960313984,1.317803601061694,1.2701723933669038,1.588178113959687,1.3695632207658324,1.3785823307256566,1.5716799256518565,1.372007737610681,1.366615773592201,1.262410349191768,1.2672394564976215,1.093655440910806,1.270050465210252,1.2634162052536295,1.1005953620684117,1.2829951050910249,1.3098817384988886,1.1160618292801252,1.3040134563722503,1.2917454073591357,1.1382830127479866,1.419487162035939,1.286219316040159,1.2394261016261996,1.2403701089275534,1.2348083806735421,1.0735622097108228,1.3055051681479724,1.2892775035243116,1.1334627686182173,1.3279710145823533,1.3176425020540923,1.138600052055545,1.2775976699961724,1.2726327822397676,1.1097142042472297,1.2445484980306145,1.2363375220781354,1.0773603239807594,1.5159276850301722,1.3679268804182176,1.329874530588144,1.320210571417791,1.268534524727972,1.1537596492976536,1.2950717378012195,1.2946041995755262,1.1284968736620848,1.2989176378299983,1.2898030622761152,1.1337838551583106,1.315371355565973,1.2766696616499418,1.1695518296294052,1.2797532066932233,1.326833900329481,1.1274817401823156,1.2963743352044286,1.362691146689246,1.1219451478811342,1.2872730816953615,1.3153676786628106,1.1994364188713191,1.2570835209813152,1.2789953608414086,1.0891402125050336
Keldeo,Low Kick,Close Combat,50,1.3539199783778788,1.3433215119372222,1.352040019906905,1.3451512067983407,1.2929895771569277,1.3485080632716302,1.3366915309032765,1.2837625937067279,1.3397251308138352,1.2759523473677623,1.3025190920229093,1.2759323353761107,1.276733448462134,1.2660321658385425,1.2773198436142348,1.3362436829896074,1.3998290413470555,1.3375779992777432,1.2602809949223504,1.2702144240068864,1.2646521889745108,1.3120018408565532,1.253547758281639,1.3230547280596783,1.3560198297880937,1.3055774251774699,1.3563996722246796,1.2969248803755222,1.3153086488371035,1.2949861301291996,1.301934277710768,1.32984625067156,1.3015967822007133,1.2713121644410226,1.2705788458707161,1.2739008146648065,1.2489419087020242,1.2393000839723751,1.2478091534200981,1.3197700270004138,1.335758020293307,1.3370043596946615,1.2452887045085699,1.2628023180907622,1.2447649309581135,1.3146243309640449,1.3674410662748482,1.3146243309640449,1.2939421936052231,1.353957918112497,1.2858317547202869,1.2199626112625426,1.266195812875387,1.2290012254643596,1.3317247693390675,1.4210401527715573,1.3317247693390675,1.4018186016588507,1.4986989003490365,1.4018186016588507,1.3451664987471703,1.4017447974446617,1.3449820392721317,1.290480902883838,1.3348823940686263,1.289342582362999
Mamoswine,Mud-Slap,High Horsepower,45,1.3064887662651068,1.2818602707702897,1.0917354876510919,1.2446885982035536,1.2099375670012271,1.044277758357245,1.2507125146885334,1.2177153085669234,1.0524836868480418,1.2478830518636992,1.227695518129893,1.0487415371618798,1.2170394055940978,1.1913291177389282,1.0230641897390342,1.2240543871605827,1.2597547779229021,1.0153122765252234,1.3166826284827726,1.2849825601650182,1.0812471997893551,1.2489477437682837,1.20320707676466,1.0308485264007097,1.237138615240598,1.226825091653296,1.0064379751781354,1.2986933520622905,1.246978313484344,1.1013424805426009,1.2842622239340515,1.2734214403311772,1.0785812452898078,1.2525162878017064,1.2521084922559407,1.0463750065515969,1.3734248149148738,1.233472637360639,1.1556206465929133,1.4061322118944455,1.289216224032871,1.1527697675149402,1.1746538214653572,1.1785844168251158,0.9837291300553694,1.2375853597597863,1.2460875711813362,1.0360544487337437,1.166949971088003,1.2113431004147932,0.9871293367542252,1.1729823248711,1.1492571892056405,1.008994532750027,1.2532705742501353,1.2872369478998034,1.032957072280003,1.2648353390444997,1.3368359158286809,1.0444085499739355,1.2104722306142084,1.2457012876436897,1.0377775707582406,1.1930741430442053,1.2288587329854685,1.023676510741356
Emboar,Ember or Low Kick,Focus Blast,35,1.9170053362098045,1.5557717340820323,1.9192203155286232,1.7654862639849982,1.5085256657650339,1.7606223140649218,1.7212266046167124,1.4975091275622685,1.6251882752604923,1.5374269416586326,1.4881681527999107,1.4588116296483677,1.5533939835422776,1.4869288323073422,1.4776774680264813,1.562861345103512,1.5860490818474273,1.4611575413110487,1.5630364514312756,1.52304557359441,1.4875413741892805,1.896632805378388,1.5247113166545205,1.8949416905952192,1.6484024829841584,1.536865348614654,1.6502994586071082,1.520248874494091,1.4713574114964134,1.4596272651174855,1.578187304753067,1.5738720731893545,1.5797103931182819,1.554906005370497,1.528707903150169,1.5237098762523473,1.4863148838457136,1.459608237654383,1.4374387056967919,1.5813268683377482,1.5441167643234008,1.5754947488532494,1.636371216103095,1.4961556489384555,1.571178898772705,1.5662183498754252,1.562278792826955,1.5662183498754252,1.6417919906409613,1.5493667506250013,1.6219314443322035,1.5506058324743837,1.488436476903044,1.5125670469298802,1.5283147996668853,1.6030679481579193,1.5283147996668853,1.5683654597675292,1.6569104890275468,1.5683654597675292,1.5161687091358707,1.5368088291223672,1.4726132155923322,1.5661105719224493,1.5661263649379802,1.5980671192038223
Shadow Dugtrio (Alola),Mud-Slap,Earthquake,50,1.8641557127184365,1.53870454048162,1.578665465638584,1.5213937243633033,1.370728204093442,1.2694243533358813,1.5907157988640481,1.396172048871327,1.3387582322750604,1.6328547552960861,1.472311855220429,1.3777338226362437,1.5973815117511783,1.3655321115681114,1.3447283510447088,1.3518754131966655,1.3372861003265755,1.1149293674143146,1.6138920776415822,1.4771493161430185,1.3681992176445321,1.548247360440493,1.325165646452743,1.3269595599485884,1.555642276097887,1.3339012207628957,1.3169153677875645,1.6633709933589678,1.4107162226118475,1.4203865626468464,1.4549003000303558,1.3992669565373297,1.19568396472835,1.404148859412313,1.3564060578120376,1.1834252052742553,2.516788663148164,1.9347748934784457,2.0655884431214178,2.2819536414806443,1.8499269809006273,2.038265169315683,1.4764155103489143,1.36431151302891,1.2445085491380903,1.3502710042897579,1.3373557248994818,1.1374482030170896,1.4377763487475739,1.421580743802522,1.3470224746993542,1.6621384793892378,1.4949819975184058,1.6377897253418898,1.351546267229674,1.3888792487421608,1.1355455710655096,1.30599536216696,1.3636245322321447,1.09448218788546,1.4393487702152676,1.4190382110674162,1.2248638703432322,1.4109321668533679,1.3906732551398995,1.18983228500705
Mega Blaziken,Counter or Fire Spin,Focus Blast,40,1.1897699886968598,1.0082992516944964,1.1847574440587216,1.0307365754879636,0.9804008851784637,1.0319260352141244,1.0199654579270332,0.9852251698279768,0.9508432528244493,1.0,0.9874648672971803,0.9118115729153431,1.0054789116771325,0.9559281210158556,0.9483951678843489,1.0,1.004614434078312,0.9300007753773047,0.9999999999999999,0.9654760392560238,0.951188352777996,1.0011229873164111,0.953422004565782,0.9998579048336106,0.9999999999999999,0.970022454689438,1.0022215377520327,1.0,0.9793077022836865,0.9260671463435585,1.0,0.9859205207038257,1.000717216598671,1.028330111184696,1.0032936624441302,0.9575802880562334,1.0302326797836554,0.9570779113282465,0.9407366696432271,1.0174783882847296,1.0026668294958399,1.0223218662330744,1.05452210853088,0.9780874684626278,0.9802886477387193,1.0,0.9996993923097162,1.0,1.074603565487835,0.9899005478075662,1.0689999464956736,1.0565774509191366,0.9697660654851048,0.9761328837280794,0.9999999999999999,1.048607216892415,0.9999999999999999,0.9999999999999999,1.0642980384654304,0.9999999999999999,1.0,1.0030598820151926,0.926668760698375,1.0,0.9846649660311142,1.0132673246719075
Shadow Mamoswine,Mud-Slap,High Horsepower,45,1.2660080785786032,1.0970947477939894,1.0617655847263487,1.1061194073410732,1.047227700532336,0.9221248646921377,1.108043504844159,1.0496511436966542,0.925457135104226,1.0682270968584282,1.0591111489331277,0.8923027468498599,1.0576074620298561,1.0131629527735164,0.8852500631630044,1.0199762516670114,1.0715940844788268,0.8559155620523143,1.1315484458350884,1.0793699090324185,0.9478980720371235,1.1301449932798506,1.0226875746081914,0.9512661687056513,1.0254527608152304,1.0010567000385022,0.8778529978458572,1.1379018430843495,1.0779257679798833,0.954872560561734,1.1196426838157334,1.0799615827605884,0.9385410722576712,1.0620417082560014,1.0653663235787465,0.8783111165882748,1.2658304050490663,1.0919762792569863,1.0753614102409552,1.1765061024246932,1.0965976543190594,1.0110196650097105,1.010139324681914,1.0065344965150766,0.867091458064226,1.058699139949919,1.0619615225743642,0.8931327464548111,1.0182548056973117,1.0269745029074915,0.8768369349431104,1.0138994567248554,0.9794839173614606,0.8734144189278853,1.0588376772981252,1.0784783949466736,0.882129232141577,1.0402576624373419,1.1031663095591049,0.8646736294243953,1.0659792285455427,1.066038941388424,0.8938491464399615,1.0321317957333913,1.027739319595899,0.8602406305830156
Shadow Torterra,Razor Leaf,Earthquake,45,1.3234697470807284,1.3180912783226089,1.109375719440322,1.3572888430421337,1.3089621755257086,1.131179183368506,2.1121198887107053,2.0146385718262,1.780086343536405,1.989845760002984,2.0208204372561887,1.5975796370407587,1.8622230449520438,1.8953704405832568,1.586253671546202,2.0153810639162137,2.1168220260717248,1.665710979336007,2.1081395415246496,2.0552163825542173,1.7601658847247685,2.2561152447503154,2.3080792344119043,1.8658499587463193,1.2585583365480775,1.2560438839906776,1.0652246495897608,2.045184030532243,2.0627459649371014,1.7049093195089378,1.9828634011807091,1.9984616411839733,1.6920701228993085,1.9075380557875583,1.9211839602643286,1.690864050757198,2.028146962717878,1.973914194443575,1.66787491397003,2.5189846835829623,2.211702794859892,2.120707034878875,1.613480637524275,1.64026585722417,1.3060572168987903,1.9528662925332527,1.9886488312082435,1.6255948256735469,1.2866085886717387,1.3243520254823373,1.0708122600000265,1.5206581590742434,1.553455085025454,1.3046602144198476,2.000243954359492,2.097297165723029,1.6530461918495913,1.3468578532132514,1.4228781786109292,1.1314908267329817,1.634251827217215,1.6983180488444298,1.3826181910995092,1.2460901363323327,1.2975973723218506,1.0775746090891027
Shadow Poliwrath,Bubble or Rock Smash,Dynamic Punch,30,1.5578119150023297,1.550447670901733,1.6627247386795014,1.766083721218203,1.6171838584072513,1.7719167966557687,1.808532614075604,1.6664547092398299,1.8130793105094782,1.511458808132407,1.5535271718159658,1.5103141902118433,1.559318553247528,1.6164675473688221,1.5603120624124827,1.6406321970023148,1.6824738455998618,1.6428110536321343,1.677391983012925,1.6079229295377886,1.6762281982368938,1.8154554471645252,1.628947388277169,1.8207042582822213,1.5250020753412812,1.5102498002658746,1.52672672401778,1.620492291989834,1.6091025343041403,1.6199828879311071,1.5318301109797017,1.6047639478875775,1.5375872564069433,1.5309222421689939,1.5508671725103458,1.5281555265933269,1.4746698333319899,1.5260474658584522,1.4728669301263224,1.4862968525108278,1.5177485994088098,1.5042103823167519,1.4448951690233418,1.4741692592520808,1.4849440622004888,1.5262906176860274,1.5805470952347043,1.5262906176860274,1.4344430845772833,1.4959136571882947,1.4655790329620817,1.4495453285735584,1.424147320978516,1.4762588800168044,1.5650587608833968,1.664660026401644,1.5650587608833968,1.5504527911940498,1.639450561974282,1.5504527911940498,1.4901898218065728,1.5553461786609946,1.49792850489261,1.4312704726298222,1.486797539499023,1.4345784897380751
