Attacker,Fast Move,Charged Move,Level,Terrakion,Terrakion,Terrakion,Arceus (Rock),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Arceus (Steel),Cobalion,Cobalion,Cobalion,Melmetal,Melmetal,Melmetal,Meltan,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Dialga,Dialga,Dialga,Regirock,Regirock,Regirock,Registeel,Registeel,Registeel,Stakataka,Stakataka,Stakataka,Mega Aggron,Mega Aggron,Mega Aggron,Mega Lucario,Mega Lucario,Mega Lucario,Mega Houndoom,Mega Houndoom,Mega Houndoom,Mega Steelix,Mega Steelix,Mega Steelix,Aggron,Aggron,Aggron,Boldore,Boldore,Boldore,Excadrill,Excadrill,Excadrill,Lairon,Lairon,Lairon,Nosepass,Nosepass,Nosepass,Stunfisk (Galarian),Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Sudowoodo
Donphan,Mud-Slap,Earthquake,50,1.4852687130223259,1.4977756704941352,1.2489166958708693,1.4566159263372045,1.4732105508078077,1.2364826384747327,1.4705463605623776,1.4617033850782555,1.251056892551216,1.4241373950885918,1.4586225952405625,1.1834144993610334,1.3933660948772673,1.4618414119856407,1.1500716530638604,1.427670013692378,1.4938118058725087,1.1909858512094935,1.4283326544657782,1.4564588395578466,1.199911513125553,1.430186720640844,1.4599853778595493,1.1964296676904644,1.373435851643467,1.4205094569980206,1.1445397541615137,1.43827448716117,1.4921868210694385,1.2058219193215076,1.4327687399756774,1.4920047764245554,1.1922224474328922,1.396429687114648,1.451910113283241,1.1600803998618898,1.4369978422804601,1.486372392755556,1.1904323029047894,1.4431655294047705,1.4768276007847438,1.2205110082107447,1.410334072806752,1.4422801430921997,1.1689437536325609,1.4166045548654242,1.4683540372670807,1.1662836438923394,1.3832572298325723,1.4409219395520765,1.1655577299412916,1.3844825601473467,1.4187176240359158,1.1692298837343156,1.4274056353003721,1.5064061669324826,1.1884768740031897,1.4396418376947488,1.5131320863034017,1.2069001259787273,1.4192337164750957,1.4724425287356322,1.1881226053639846,1.4059347834060814,1.4506290576972454,1.165535707735759
Shadow Hariyama,Counter,Dynamic Punch,30,1.2304252819064505,1.2738007380073801,1.2832587767218455,1.3393363830169693,1.2987250799239987,1.3441528224133268,1.3173447904179554,1.295726762634861,1.3220760425376168,1.1976030117777088,1.272797292163161,1.1983283252167307,1.1776278428019937,1.270495954010829,1.1775724885037324,1.2466073330290584,1.338981439221056,1.24481971702419,1.253048583507732,1.2857732769639172,1.2531946570782477,1.2933450657717271,1.2905973683867835,1.2918233213838572,1.213036314714354,1.270905688159425,1.212340918160518,1.2654521834038623,1.321360343016893,1.2646405967150622,1.2122336394240092,1.292044873715565,1.2125927525248075,1.1733303464263989,1.2404227158382797,1.1733776162838494,1.2414585750376788,1.294931708357278,1.2434717237540707,1.2033893266925166,1.2525249856328482,1.2057177961119516,1.1725353842123791,1.2286262166520683,1.1887662800121155,1.218488612836439,1.2753519668737059,1.218488612836439,1.1866492715807784,1.2540226136116546,1.1834203087627746,1.1990215264187867,1.223679060665362,1.1914354783009093,1.2195773524720892,1.3064327485380116,1.2195773524720892,1.269395142643002,1.3479803536972366,1.269395142643002,1.2492911877394635,1.3052490421455938,1.2451532567049808,1.2112295051901845,1.2688533910428053,1.2112478450647397
Rhydon,Mud-Slap,Earthquake,35,1.7270424045022574,1.6521284710053805,1.5105526809458039,1.5449985132372286,1.570972342852535,1.3149501136491542,1.5673741718629852,1.5723169703868614,1.3257445258170562,1.558285842572445,1.5936431457880014,1.2815684039650468,1.502065535388823,1.560839499187112,1.2628447598956059,1.5518218469496425,1.6062604594553478,1.3025977483645215,1.5611992078317907,1.5876947062376225,1.3365352472716547,1.6349097092128786,1.5865506073025126,1.3432612582110015,1.50697964779745,1.5272119998050782,1.2455724443847387,1.5904698217897033,1.6020618131524178,1.324471179834943,1.5982890353737422,1.6080688087138906,1.3503621975077993,1.539242202528732,1.5737533088900217,1.2676994787984415,1.9375092615683767,1.7889591262139433,1.5913488819253943,1.5398482036106138,1.5784941903862286,1.3060830850733551,1.5713087042297336,1.5785431282181421,1.3358880639166988,1.514927536231884,1.563871635610766,1.2779296066252588,1.4832028701891715,1.524342248314851,1.2632202652750597,1.5019224128007367,1.5611373316449868,1.2713134568896052,1.5119218500797447,1.6014619883040935,1.2593168527379053,1.5319730820137463,1.6031590361830041,1.2581447639094867,1.5641091954022988,1.6018199233716475,1.2995114942528736,1.4901973370502146,1.5449510325349374,1.2642959322158236
Shadow Hippowdon,Thunder Fang or Fire Fang,Earth Power,30,1.6224638726834197,1.6980663382052816,1.411008266507246,1.6247125171985695,1.675976433550104,1.3860308137884227,1.4635283925495373,1.4999261266524964,1.2251793947086536,1.4511380513245606,1.478282043311574,1.211914136704314,1.4802005875756252,1.5149815383164504,1.2485448995114472,1.4956336528221512,1.555705157462346,1.2602997109386886,1.4759835386322457,1.5147801171397672,1.2567832914308188,1.7120647541303826,1.6886525865003785,1.464416667751855,1.5920695818006292,1.641307082113426,1.3723585138005925,1.5073359482823379,1.5506343190699305,1.2511352639571554,1.6835200133951391,1.7620556250771102,1.4205170347392355,1.444346936091153,1.4840227881817136,1.2395862448825243,1.4846700713095586,1.5296966542697186,1.2364058247584764,1.6457225521345955,1.7088191192110287,1.4482320146379808,1.4259530611743712,1.4752822141635082,1.2311802650643835,1.710351966873706,1.76055900621118,1.425248447204969,1.5760056534029137,1.6460752337464666,1.328158295281583,1.4167952112351792,1.4525152526764131,1.2528721077472085,1.7247208931419458,1.8070839978734714,1.4309011164274321,1.656237541660687,1.7404439554130988,1.3969206971886015,1.488764367816092,1.530699233716475,1.2549616858237547,1.5948721710743499,1.6361277188864027,1.3436158896673147
Zapdos (Galarian),Counter,Close Combat,50,1.2192397287101364,1.2646828423591499,1.2248386897276795,1.2454704134208479,1.2529579859320323,1.2468496588845415,1.2497691457890514,1.2525326805615717,1.2480230484844212,1.2024021690325701,1.2553535039546853,1.1999240147825787,1.2082367195812755,1.262250213729096,1.207043526929866,1.2486840103453523,1.3122280541609617,1.2456983112733913,1.2460974479261768,1.2829599561779288,1.2397348202873717,1.2630794674266708,1.276395660982139,1.2657099644492233,1.2000582131206052,1.215196258555814,1.2004124965921616,1.269956415879997,1.3215179469655347,1.2699033902524166,1.226501224950209,1.2878324550117208,1.2263492077480305,1.2152772068857798,1.2609234474934645,1.2159615922132159,1.2180561729934474,1.2636212822709185,1.2150671712188406,1.200033688493728,1.24262321071162,1.2054502698382292,1.1782922257058426,1.2391739454317734,1.1820782750349954,1.2377639751552794,1.285031055900621,1.2376811594202897,1.1900413133289844,1.2431071972167862,1.1843661665579472,1.160884079659261,1.205709681132727,1.1666398066075745,1.2227006911217437,1.309582668793195,1.2238437001594895,1.2438724903921288,1.3176896458243634,1.2423735030059482,1.202787356321839,1.2573946360153256,1.2037452107279694,1.213017642959322,1.260453728496497,1.2144389832373546
Chesnaught,Vine Whip,Superpower,50,1.4810509390010103,1.5499453709620896,1.4211156692572513,1.5272749570350759,1.5676443461855716,1.3893016918856351,1.9042786099722304,2.0017393815457662,1.7950770129647726,1.8729699858391187,1.9885175974855802,1.7639104755983837,1.8579096166817355,1.987805653108964,1.8576410458272086,2.0060094325270046,2.1426517571884984,1.942727825954663,1.8146087616051239,1.9296810258859223,1.8138236161636025,1.9970420860920375,2.148176604203214,1.8868197960713693,1.4521197083022184,1.4976550121891952,1.3645524240759983,1.9029086029661946,2.011811458543533,1.9028599961409125,1.9047909653312654,2.0297513086698276,1.8152682552831487,1.9121253349994247,2.029381299222308,1.7635150688084709,1.8335772965978872,1.9569576515915441,1.760999128960789,1.8768024995541228,1.9403845772754595,1.9105042044561291,1.6079597082490853,1.690065815862933,1.6079044523940111,1.9643478260869565,2.0525155279503102,1.8770496894409936,1.4782126549249837,1.525146771037182,1.389552076538378,1.6354322550938183,1.7169333486819385,1.576228847703465,1.9937533227006912,2.0939526847421583,1.9221158958001063,1.5398746591398365,1.622582085506068,1.464167822800555,1.7820019157088123,1.8712547892720306,1.6929501915708811,1.504621648387925,1.5649873454865568,1.394527381432711
Mega Lopunny,Double Kick,Focus Blast,40,1.2881547754025027,1.2746088354738296,1.3091570636376755,1.2624816674590469,1.2396359195165754,1.264702571847601,1.2600744777658013,1.233112384866709,1.2612446987478467,1.2250630331917245,1.2337961523848997,1.225196007322212,1.2341425311675451,1.2212449796726716,1.235255767610355,1.2085501293169025,1.265829910238856,1.2129240833713677,1.26675843083276,1.2468320294394428,1.2676882452912341,1.2876431751252462,1.2370349424509013,1.2889454013740347,1.2270338044381577,1.2092893389649917,1.2274275990775458,1.2462053535262778,1.2381881732229418,1.246264270890256,1.2246175335319105,1.236684174348309,1.2253137282549307,1.2010469245819702,1.2117319675769882,1.1984635241117378,1.538891358640456,1.3654280561368508,1.5419779457208844,1.2105332690389532,1.221333403792928,1.2889944314901545,1.1673372408091096,1.1934016322988892,1.1742605947985822,1.1848033126293995,1.2194616977225672,1.1848033126293995,1.1529028049575996,1.1766797129810829,1.1566862361382908,1.1907217681593185,1.1898238747553815,1.2055139864164843,1.1845959595959596,1.2410154173312067,1.1845959595959596,1.17208056259867,1.2682230620804034,1.17208056259867,1.1993103448275861,1.2351340996168583,1.2029693486590038,1.1749257235080512,1.204269522796464,1.1839122620401277
Shadow Machamp,Karate Chop or Counter,Dynamic Punch,35,1.1051413139829722,1.1555793770228207,1.1512853284957432,1.2069909769459373,1.155176034392099,1.20961675119655,1.197199864341671,1.1519238970205536,1.2008314109473586,1.0850758125237454,1.1300262494387456,1.0863382032949953,1.0734736052254459,1.1410099494225727,1.0736806713041267,1.1053932755210711,1.1589000456412597,1.103164460672448,1.1469766984563956,1.1686166551961459,1.1468924252426367,1.1308272299229267,1.1326336037623177,1.130579806935657,1.0746682049681342,1.1057345191951837,1.0749342468315335,1.1110842709786322,1.1449676470025054,1.1114436668988992,1.10473764915311,1.1625746867123747,1.1043014258772936,1.069940892126075,1.124046382006215,1.0695997270679536,1.0879930316863102,1.1369374839616744,1.0873786056866934,1.107951805637208,1.1277289331316427,1.0934327253991427,1.0574087869088649,1.1087005460097088,1.0846417374078046,1.0799068322981367,1.1235196687370599,1.0799068322981367,1.0653294194390084,1.1217329854316156,1.060806697108067,1.0795096120640038,1.1013813744675953,1.0859675377000115,1.0951621477937268,1.1696703880914407,1.0951621477937268,1.1267202474923856,1.1896537977004897,1.1267202474923856,1.0961015325670498,1.1487164750957854,1.0961015325670498,1.0889575615302791,1.1297729523530058,1.0890492609030553
Cobalion,Double Kick,Sacred Sword,45,1.3251953245789443,1.39358881856975,1.3239501948092107,1.304633491977361,1.3790438687415267,1.304505815174388,1.3017222563606632,1.3777631150375915,1.3016886775663434,1.2848150450730496,1.3451766656305046,1.2849773771284496,1.2732308663767742,1.3544991768610832,1.2759452771507709,1.3701734367868554,1.4458846797504945,1.3696865966834018,1.3105172970771242,1.3704411702740285,1.310834726182283,1.3139053579168845,1.3835763225502797,1.3128059068982645,1.3203486465449459,1.3811115545142167,1.3200404594358595,1.3502769852574026,1.4153350114962506,1.349983871371611,1.3298068279958406,1.4052580326770892,1.3302959268202408,1.3103142828957104,1.3736394501899016,1.3103718288091286,1.2700944408904118,1.3411907575872575,1.2714714779836707,1.2776724553627459,1.359512375567255,1.334523439925489,1.278962254111445,1.352951890568849,1.2782828117453484,1.3200207039337473,1.3821635610766045,1.3213871635610765,1.2830615351163297,1.3366710154381387,1.2845509893455098,1.245688960515713,1.3136180499597099,1.266282951536779,1.360725677830941,1.4298644338118023,1.360725677830941,1.3880862396147284,1.4712003061761472,1.3880862396147284,1.3609003831417623,1.4219061302681992,1.3697126436781608,1.3326853244323809,1.3890345890034113,1.3358031031067747
Golurk,Mud-Slap,Earth Power,50,1.3617431816776269,1.3985281081861098,1.1462512111154632,1.3687490865228735,1.4149311301245018,1.139387789729745,1.3671606107311112,1.4090333672479156,1.1341388886090655,1.3193624149483647,1.362325147653093,1.10378717231375,1.3135451967845304,1.3848394827858383,1.0909450618840553,1.3722006694051423,1.4155446523657387,1.1430359044576297,1.385978341784064,1.4227074174473644,1.1615475371153279,1.361797518700899,1.384575316115422,1.1361124081697953,1.3285353605196508,1.3706990447516656,1.1144019523785065,1.3866938079323392,1.4419686058826042,1.1388328764782734,1.376324091862453,1.4184482789008936,1.1519092479334474,1.365174035283866,1.4051150096183884,1.1276779401851336,1.3433701627506045,1.3785514726345502,1.1176155934090162,1.405305607482809,1.4525983076486093,1.2445025002146817,1.3188610745012648,1.3604891985035896,1.1145556201344151,1.3644616977225672,1.4036335403726707,1.126366459627329,1.3247336377473364,1.3781691672102632,1.1148184387910416,1.3100725221595488,1.3499597099113618,1.096822838724531,1.350930356193514,1.4120946305156832,1.1405502392344498,1.3828477571002569,1.4573506195282975,1.1515252993988105,1.3617241379310345,1.4104214559386972,1.1526819923371647,1.3360598613505483,1.3763250559366174,1.125022924843194
Conkeldurr,Counter,Dynamic Punch,40,1.208254138407306,1.2693871240388381,1.2051516213486158,1.2007364935582012,1.2759935691210291,1.2021174189798287,1.2000658144368668,1.2712696477920264,1.2005090545218884,1.1619521293130246,1.225456774772908,1.1619124097675544,1.1851375759327711,1.264277821172814,1.184622985974861,1.224684314620417,1.30012931690248,1.225840559866119,1.2145975251766226,1.27279520204503,1.2146860120510696,1.173317012097682,1.230674497387176,1.1720222271417435,1.1576390233366127,1.2134524990155133,1.157233375346875,1.2410633405850788,1.299207414161083,1.2406538649054302,1.2042758693621447,1.282848934557696,1.2047297178208225,1.170311241183144,1.2345427566136697,1.1723253481527762,1.1605531279704786,1.2241064619543807,1.1601736295589506,1.1551090912693958,1.2337585129502533,1.170843599516471,1.1621820741820088,1.2280081696804985,1.1641835640435827,1.2012422360248447,1.2628881987577638,1.2012422360248447,1.1669602087410307,1.2208306153511632,1.169036747118939,1.126361229423276,1.1881662253942673,1.1322550938183493,1.1880116959064326,1.272900053163211,1.1880116959064326,1.2660941810585404,1.3470155799008119,1.264435726929149,1.2079693486590037,1.2653256704980842,1.2190134099616858,1.1992352272310458,1.252989399552507,1.2009316656274072
Lucario,Counter or Bullet Punch,Aura Sphere,35,1.3852295450328806,1.2703663237749696,1.3823372982333175,1.1413583803861551,1.1913673681611012,1.1420270036438287,1.1446121145574149,1.190772883108859,1.1450268126672645,1.201763202431527,1.203208648499292,1.2016544054156737,1.1586536194535506,1.2217267670834642,1.1589385915816364,1.1958200212992545,1.2540354480450329,1.194987068309752,1.2680646656460244,1.266818826635954,1.2685211455538858,1.1426402823226507,1.1993671180430887,1.1429490959759347,1.2428764656996967,1.1932372685139454,1.2424247213474888,1.1827631359945325,1.217911762409838,1.1831637740695844,1.1744077938558612,1.2288233427921815,1.17494536193313,1.1570715706746026,1.2110208645040366,1.157821722760231,1.354343088249645,1.2417332596022135,1.357881459153321,1.2309610468534287,1.2074385515268815,1.3153209985005319,1.1739945480889662,1.2022118714134857,1.175627665583379,1.1646997929606624,1.2145238095238093,1.1646997929606624,1.1397042835399,1.1763209393346379,1.1386388345292455,1.1695982502590077,1.1850811557499712,1.2574191320363761,1.1722886762360447,1.234742158426369,1.1722886762360447,1.1790412859398174,1.2426047297836038,1.1790412859398174,1.1902203065134098,1.2163409961685823,1.216139846743295,1.1752375013754905,1.2064427979312622,1.1921193559036056
Gallade,Confusion,Close Combat,45,1.4226947576738338,1.4566327897915852,1.4242099404234267,1.8577176427502256,1.8756142346195652,1.8560796837647187,2.2628850228503694,2.2491848747678866,2.2588589254114244,1.750467999861845,1.7944841639899147,1.7531672020170623,2.1358373977739373,2.2240598482472165,2.1367476684564557,2.228426897915716,2.379503270956945,2.232565038795071,1.811240642161889,1.8418908100060396,1.8108333216287205,2.2734619312759397,2.2489149664862773,2.280142351932225,1.7842097568877844,1.8123021972160431,1.7864157970917147,2.1740742977418446,2.239799563127746,2.175902208959269,2.551586707087086,2.644339231894531,2.553298552972487,2.1071176074053373,2.178793097778728,2.108213034971474,1.7517899675077075,1.8473693531539932,1.7517285249077459,2.606851975400794,2.664181865021435,2.8616525857570334,2.0801701061731026,2.168100590214393,2.091767696199216,2.500269151138716,2.5777536231884057,2.500269151138716,1.7327788649706457,1.7855403348554033,1.7266797129810827,2.098238747553816,2.170024174053183,2.131552895130655,2.537094630515683,2.6667729930887827,2.537094630515683,1.8330622398698753,1.9522397104083946,1.8330622398698753,2.1759386973180077,2.2425574712643677,2.1926053639846743,1.7720812089645306,1.8397094963870446,1.7895315996038585
Golurk,Mud-Slap,Earth Power,30,1.5949225916840175,1.6358139726648664,1.3947123214248902,1.6247998750111297,1.6515817643926196,1.3674571988717403,1.6248728203165137,1.6439136756355628,1.364529712196154,1.5332763444202675,1.5720978827755328,1.29482955134183,1.5452049851670984,1.6002497093899342,1.2911677091726173,1.5803134033165982,1.6450821542674579,1.3249125209189108,1.6388752335070298,1.6677556638622415,1.3727179515990844,1.7134413933076733,1.6312076660198942,1.4178192919237789,1.5545840198398744,1.6004196086023714,1.2877677375510188,1.6028498328956264,1.6579611351608516,1.3347890832016285,1.6032218834270406,1.644158573770203,1.3431557008653965,1.571459693198073,1.6030010193847521,1.3215357360122326,1.8698681875517293,1.6638258499860852,1.5366685822300772,1.7885914906828195,1.7513789162873958,1.5625218810069557,1.5770737317758006,1.598817934004044,1.3685012974893378,1.5760041407867493,1.6117805383022774,1.331687370600414,1.5538704066101325,1.5931724287888671,1.2865731680800174,1.584908483941522,1.5883504086566134,1.3400943939219523,1.5830675172780435,1.64481658692185,1.3143009037745879,1.599953754644469,1.682565500964774,1.326563970084039,1.5827298850574711,1.6204885057471263,1.3377969348659002,1.548573157759601,1.5861332208487693,1.3068444411840223
Golem,Mud-Slap,Earthquake,30,2.0810818610979407,1.8467253499350638,1.7414892081881714,1.7867797390353346,1.7858053634336997,1.4993523762164995,1.7817949208715713,1.7640065545806514,1.4936552868132718,1.68782682278175,1.7339515766932616,1.4178081718647464,1.6956067138613313,1.7413683172498344,1.4114915523190377,1.7166134185303514,1.7851285562148183,1.434828084588468,1.9446605896315856,1.8681124204671546,1.6020646937370957,2.0432729782472405,1.7870562431516852,1.667612330966382,1.664335507764603,1.6775019459250158,1.4180861053710165,1.7648814214403232,1.7556696915823289,1.516288441738828,1.773293882299029,1.7995686236494706,1.4981119022859863,1.7396355699511683,1.7625450091251378,1.4786915703457688,2.4672854297909868,2.0483119549228173,2.012454776439293,1.6736575795808095,1.733801449265789,1.4347368003857663,1.873859068918377,1.744560368044925,1.6046627755629959,1.6745755693581779,1.7232401656314698,1.4279503105590061,1.6851815612089585,1.7159165035877364,1.403022396173081,1.6738574882007597,1.7296880395994014,1.4874179808909866,1.727950558213716,1.7850079744816587,1.4323763955342903,1.6540369006043791,1.7288746431931623,1.3988024047584877,1.7100095785440612,1.758103448275862,1.4616858237547892,1.685782929244764,1.7172358141070314,1.391290393573708
Blaziken,Counter or Fire Spin,Focus Blast,35,1.6271702158362367,1.487688882475417,1.6303222082500155,1.6320673730329793,1.4532140115211516,1.6279850752537157,1.6130346163790643,1.4504511311016868,1.492918232277952,1.4198096915690948,1.436315753117121,1.323306738507236,1.3952973448388268,1.4061160349101107,1.3175430072145102,1.401171458998935,1.4529780921953446,1.3000570515746235,1.3918507802295041,1.3985603325982836,1.308466648875655,1.6338772298299107,1.4461166683099522,1.6335721368230516,1.438180168291234,1.415241301287142,1.4354038502316013,1.4378591197451234,1.4211265883753095,1.3497452560474992,1.466886687699385,1.4800725276274742,1.4712489204575498,1.4128199963828285,1.3996871968563491,1.3653857220367966,1.459131635349012,1.4706756156006375,1.390048467368558,1.458434343767959,1.4648880022723219,1.4335841254533084,1.4293461799785527,1.3774486529850443,1.3844702396057598,1.4113871635610764,1.4197412008281574,1.4071221532091096,1.4156990650141335,1.427571211132855,1.4506305718634485,1.4654311039484287,1.4174398526533902,1.4331414757683896,1.3877060074428496,1.4258240297713982,1.3889021796916534,1.3899360538359726,1.4545440048477891,1.393723388987227,1.4164750957854406,1.4218773946360153,1.3440421455938696,1.3975993104207167,1.4045226130653266,1.4083556468473755
Cobalion,Double Kick,Sacred Sword,40,1.3424807767630749,1.4099548537384816,1.3475520006596715,1.3464829240675813,1.4195997332226802,1.346131812859406,1.3450791955864034,1.4169159892144914,1.3441087684305608,1.3504369150001727,1.4090819604186096,1.3504265533796154,1.338591991668153,1.4226116157919664,1.3381225052125298,1.393933515898372,1.4746234596074852,1.3932298798113496,1.3284085003581612,1.3939140694130372,1.329650125707544,1.3273071263401304,1.4007489661253745,1.3266299686907603,1.353379982852153,1.4069018107968216,1.3533444228011047,1.3741458823390782,1.4403041903502194,1.3738586601896845,1.3622481801998696,1.4375341487917939,1.3635039744787354,1.3375293895200673,1.401021028920932,1.3371286233373343,1.3011916250121982,1.377618990823367,1.3016795515413058,1.3416971074134503,1.3897923864004176,1.3683143202520693,1.301523015086895,1.377837490483714,1.3037332492898601,1.3799171842650102,1.4378674948240164,1.3799171842650102,1.3475646879756469,1.405664274842357,1.3423026744944553,1.2906642108898354,1.3621733624956833,1.334269598250259,1.38989898989899,1.4579744816586921,1.38989898989899,1.4319475673348325,1.5087068841793045,1.4319475673348325,1.3943486590038314,1.4543773946360152,1.399310344827586,1.3635880130579907,1.4260077761068113,1.365807137879177
Shadow Dugtrio (Alola),Mud-Slap,Earthquake,45,1.7958976684738917,1.586713805685543,1.5071677420684821,1.5784481556581824,1.4219567142038763,1.3280504256173427,1.598359004321591,1.446136256031591,1.3426833486116847,1.6233101923807551,1.4989223914620247,1.3265827375401513,1.5710861948430297,1.4577308427999436,1.3105929675439298,1.3941046706222426,1.4132701962574168,1.1611859120645063,1.6793193533435398,1.5251639816284395,1.42233942441395,1.6967003447178912,1.455743840934924,1.4406175528936398,1.5831110830142807,1.4415952502308111,1.3274158774310891,1.6603855846885553,1.4836482220948952,1.3586020087875248,1.492293388793909,1.4730643142922608,1.2280302095634243,1.4693732427944297,1.4472221765508624,1.2273926768714754,2.411155807590691,2.044809726725001,1.9635934523874066,2.1614636659686766,1.8706394868780014,1.8274026171335715,1.5101077284522633,1.4468950302474646,1.2681587111878783,1.3962215320910971,1.4174327122153207,1.1721532091097309,1.4941617742987605,1.4301043705153293,1.3610132637529897,1.6569471624266146,1.5567054218947853,1.5046851617359274,1.3909090909090909,1.4435007974481657,1.158107389686337,1.3519510756031832,1.4084421693855749,1.1183881101596262,1.4288793103448276,1.463802681992337,1.224310344827586,1.4004786707258923,1.4204691339911235,1.2068646150460332
Shadow Ursaluna,Rock Smash,High Horsepower,30,1.4083737038487705,1.434970830155229,1.2898740439918366,1.4125539896480992,1.4397928275875973,1.2909384749005886,1.4239692149613676,1.4296776099957356,1.301028854257959,1.3468051669947847,1.389434600904915,1.2292560356439748,1.3700024806926259,1.4236428458669816,1.2555851461866014,1.4033850600943254,1.4532747603833867,1.291834017952229,1.3995210472351365,1.4177886708709637,1.2792027753978399,1.3823726934317568,1.3929579325111945,1.265749031236687,1.3869355006525927,1.3981961834845953,1.2658008452755838,1.4418463523523493,1.4535826912568104,1.321622525286596,1.3739975677247653,1.4418104587835099,1.2534126760315139,1.362894806070272,1.4200913335854393,1.2434027720688579,1.4667758176383634,1.4513645678597373,1.3598765365167829,1.3280929009756453,1.3900599126741398,1.2975585750427712,1.3171890732569849,1.3583424062083025,1.211816157630629,1.3739648033126293,1.4214803312629398,1.2572360248447203,1.32352685366384,1.3928462709284626,1.196477495107632,1.3128467825486358,1.3720732128467825,1.192126165534707,1.3894869750132908,1.4454279638490164,1.2809144072301966,1.390685547529063,1.4806726307228628,1.273445597920554,1.359434865900383,1.4164655172413794,1.2594061302681991,1.3423045886366136,1.3929776620327916,1.238555918277519
Shadow Nidoking,Double Kick,Earth Power,40,1.5346265641427366,1.4489929703766313,1.327726813580985,1.6702914559019442,1.473197111144337,1.4717120283308107,1.6474461647980068,1.4730664490760794,1.4490945478111663,1.3760042137256934,1.387578143888371,1.1840431043415192,1.3505259683414417,1.4038239569302557,1.1717192840024029,1.399486535828389,1.4336109843298341,1.2033089913281607,1.4185274660449176,1.440199727516609,1.2232327204797955,1.5076487188884196,1.416338474646585,1.3078574471528683,1.3320795122741442,1.3608146675991302,1.1597897479055788,1.421095656759221,1.450822412754431,1.2265416832985474,1.444264765496942,1.4576753265065125,1.236587235842572,1.4002893737360453,1.433074102694793,1.2070933559132537,1.3979022773518963,1.4358015187165003,1.2245618600482144,1.486808642750038,1.464977177696896,1.2794196331256977,1.4298271105690126,1.404223184538184,1.2456163688307862,1.3876811594202898,1.427919254658385,1.2074016563146996,1.3787888671450315,1.3924440095672972,1.1859208523592084,1.4340393691723266,1.4182456544261541,1.3319903303787268,1.378575225943647,1.4520334928229666,1.1904837852206274,1.416431453220431,1.4766859621425954,1.2247922945669683,1.412404214559387,1.4420785440613026,1.280478927203065,1.3859076403917396,1.415187250119209,1.2374463558669258
Torterra,Razor Leaf,Earthquake,50,1.5484116349543384,1.5774701601764622,1.29151497660228,1.5549304245421696,1.5779139290352169,1.27399273922181,2.4325485969100793,2.4330522788248765,2.023592460889099,2.1762857044175044,2.2867457603702555,1.8385521362207717,2.190755012126692,2.304245674676639,1.8591089598107293,2.3506351741974747,2.5351932146660583,1.9264034687357372,2.164265348259056,2.2800553394103686,1.9264926892987064,2.5937947058922015,2.6578028466665797,2.139462850275607,1.498271386407368,1.548559883784485,1.2552065841410074,2.2496387629121086,2.3645261497355348,1.996407513731428,2.28861457250119,2.3926648395227104,1.9394354653929535,2.2490730997517305,2.3448110027786457,1.847088176781046,2.2586697315681237,2.3739613489903535,1.9055518810471266,2.8187030590473423,2.4747237213234956,2.201711507593122,1.8906281976767985,1.9844485465663604,1.5954452803313715,2.2579399585921323,2.3289233954451345,1.938022774327122,1.4956947162426615,1.5473798651880843,1.2500217438573602,1.8180384482560148,1.9012547484747324,1.513030965810982,2.301063264221159,2.4251329080276447,1.951634768740032,1.562439203304151,1.6389991867196099,1.2868806710360556,1.9430938697318008,2.016906130268199,1.614971264367816,1.4828705571653888,1.545849686388145,1.2658639914902983
Machamp,Counter,Dynamic Punch,35,1.3027788657774846,1.3816755653590056,1.313743841349028,1.2984008480427651,1.341001221329418,1.2954777212378603,1.2943214900925768,1.3406417579170402,1.2921892366532688,1.2675836700860015,1.3286878734500744,1.269396953683556,1.307199954076434,1.3635670309799557,1.3074582741349867,1.3249429484253765,1.4084512399208886,1.3273162939297125,1.3818363133278089,1.3933269660238494,1.3790398471845724,1.3572546094158398,1.3494319503070462,1.355180349033841,1.2753032811390805,1.3240943052553804,1.2779386760334475,1.3062789707725686,1.359783301935288,1.3063010647840605,1.3084847630294165,1.3846079278072512,1.3088659076087916,1.3026545107775276,1.3618260962496507,1.3028004307722663,1.2637694673649438,1.3352235968498019,1.2626562720244614,1.2869995442144966,1.3402339698917345,1.3161466968762179,1.2786286724678493,1.3463866763807826,1.3013040381797494,1.299855072463768,1.3513146997929606,1.299855072463768,1.2846053489889107,1.3428245270711023,1.2907697325505545,1.2511453896627145,1.3070334983308391,1.29709911361805,1.3065656565656565,1.3865231259968103,1.3065656565656565,1.3264204500151495,1.4002934188075078,1.3244590090736579,1.30683908045977,1.3520977011494253,1.3050766283524904,1.3015258775629974,1.3474305835748084,1.3008289623298976
