Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Fire),Victini,Victini,Victini,Volcanion,Volcanion,Volcanion,Entei,Entei,Entei,Reshiram,Reshiram,Reshiram,Blacephalon,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Arcanine,Flareon,Flareon,Flareon,Lampent,Lampent,Lampent,Magmar,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Ninetales,Torracat,Torracat,Torracat,Typhlosion,Typhlosion,Typhlosion
Terrakion,Smack Down or Double Kick,Rock Slide,45,1.1208992721117865,1.179307936941655,1.1227922368710674,1.120451653184397,1.1523280370930158,1.118824227825903,1.0790499070987918,1.1236931316411702,1.0815489021197935,1.098046832891635,1.1554337015394691,1.1048360360653537,1.0887896758541682,1.1303760361210324,1.0912763663319631,1.1138618217259764,1.131689675321892,1.1072468803512328,1.0933720408157575,1.1352977101791197,1.0997582176710254,1.0651358568562075,1.1166181373806257,1.070727034081137,1.1279364482298468,1.1796931674682285,1.1258049204259473,1.0952134666203341,1.1347146909320125,1.1000218194160478,1.1278519738054575,1.1840989790025924,1.1252226904694622,1.1014503484723674,1.1543644659996484,1.09795174143628,1.1515357690321417,1.2078022149174938,1.147420711363953,1.0871781446347173,1.1383208081803622,1.0927759640261179,1.1389452470758044,1.2000299568349242,1.1322866596767385,1.1096371407022543,1.1364870527109696,1.13254839520657
Hippowdon,Thunder Fang,Earth Power,35,1.6606705072447268,1.7334836168226426,1.4089972751629969,1.6495525433212441,1.7116471796411477,1.395713423018004,1.472430339920298,1.525477404590301,1.3223751056414932,1.6157001848827346,1.7058595013250946,1.3859208441554478,1.7333529887458723,1.8160994676191118,1.5193577734348676,1.6154422331969887,1.7056238282281118,1.5171656826226934,1.733205609796228,1.825110782041736,1.5309283381717687,1.6293740476441925,1.7399212467751912,1.4121599806888645,1.6925226362879175,1.7582596702401103,1.4356735359180346,1.6603848298489612,1.7352739144840517,1.438335905869423,1.684608863387844,1.74798196360777,1.4065682937916968,1.6056199846357468,1.68850365132401,1.3986653462047518,1.7160692182210162,1.802132944233591,1.484912821437647,1.6666487002587163,1.7283171122335839,1.4264198595540223,1.6515203093724042,1.7789457917455302,1.458734459891883,1.6752451185787314,1.700201122936395,1.508396882594486
Aurorus,Rock Throw,Meteor Beam,40,1.2758005631835811,1.3292088864600649,1.2780396353727865,1.490148447122323,1.3656555248873254,1.486161766762993,1.280711999924033,1.2912365831347117,1.278573847755969,1.3355855535193821,1.384973040476912,1.3404221997587777,1.3439584877687176,1.3530628748567963,1.349683267066514,1.30879051707995,1.350932566854451,1.4840729267957016,1.3316573104992653,1.3513317549158224,1.336099747062777,1.308754884359489,1.3505725449964547,1.2939245357029707,1.3735457696337892,1.444853435073484,1.3724889617310154,1.3485288056698157,1.3793103448275863,1.3377079915631593,1.3413276652209705,1.4091975771276923,1.3518570849356808,1.3219273807650658,1.3730551724776248,1.321677480262488,1.3666581960964332,1.4318105434007427,1.3724373109491683,1.3012504619933472,1.3571593569052605,1.306447887150425,1.3435640463513936,1.4385816800337696,1.3454567736488787,1.3307801893907651,1.356750188552753,1.344749853347859
Flygon,Mud Shot,Earth Power,50,1.477054443609536,1.4802999597726012,1.2258487601612131,1.413956281281879,1.4461755504075386,1.1967768789598126,1.3309071399405559,1.3642392071586158,1.1218446033419114,1.3920510593638324,1.4414832924177738,1.1748494395551423,1.4868151492688186,1.4178094885100074,1.2387778826066447,1.3937762696874598,1.418611629391818,1.1535447016169607,1.41212592759916,1.4415553268802273,1.1813980986483057,1.4232246579062506,1.4753285156073201,1.1674184934296878,1.4397932955390167,1.4881019550946202,1.1772660916915196,1.3886684499325215,1.4056795131845843,1.1871459395682988,1.4341266233367327,1.4710225946357705,1.1803024904473467,1.3667706376165045,1.432957248502911,1.1529020852808605,1.4242526087990097,1.4884540662835783,1.1995557049290522,1.4277134409264507,1.4665285819884193,1.147637674017494,1.4184561336619508,1.4684023475265187,1.1890820953444354,1.4009134333361268,1.4188804156540686,1.193220481019023
Golem (Alola),Rock Throw,Stone Edge,40,1.419946717671972,1.4424042322259414,1.4217106511525528,1.4531014906124509,1.4942016574491386,1.4713665255321544,1.4838206294492082,1.422105423088245,1.5626679581042457,1.3897751101872624,1.443340255418854,1.4078728722722678,1.4525995687040907,1.468771480557989,1.4569377990430623,1.4209399443641015,1.4464386031012615,1.4154305013773607,1.4336660280489812,1.468424677972152,1.443535320577712,1.434207866270386,1.475461279664469,1.4334565424015209,1.4459460669729618,1.5042496216090349,1.453415370285786,1.4101888591677914,1.4403562221701431,1.4096231706035898,1.4512906832450763,1.499662124804954,1.450135764396555,1.4060883166887257,1.4668326499634405,1.4076339975750396,1.4273348033871351,1.504094564353108,1.4281709306424244,1.4194052605642478,1.4755143525933225,1.426596957003819,1.443075205272403,1.5210174430479717,1.4457032366998461,1.471063437526188,1.477960278220062,1.4776753540601695
Shadow Aggron,Smack Down,Meteor Beam,50,1.0329819128507562,1.0745831151186707,1.0321439685467282,1.21450114465662,1.1059105905472857,1.2125018338388474,1.0888591351799626,1.081854352429517,1.230303202955113,1.0671557550598683,1.094259686004438,1.0632587768451154,1.0537216119684616,1.0797004515129052,1.0721948918390727,1.0504603611144325,1.0707248234022728,1.230324948842498,1.0616614656973065,1.0964033832793716,1.0698854113506624,1.0706184089434698,1.1202963052366368,1.083478418297301,1.0952560072364472,1.1391224912007307,1.1093706619378991,1.07376578877189,1.0808853834156276,1.0935648885189466,1.086913786536595,1.1128994606283251,1.0837930483714415,1.073230102829429,1.1061892024471738,1.0807733957776071,1.098982711839398,1.1500684476723693,1.116188899181087,1.0483014044597758,1.0877710360970803,1.0518048540101022,1.081918326774602,1.1456038344748702,1.0904560247280055,1.0685075002095032,1.0694628341573789,1.0748177323388923
Rhydon,Mud-Slap,Earthquake,40,1.3739766681087808,1.3816411260635593,1.1391442949199626,1.3188286631570687,1.3641543358773938,1.1216867223243865,1.4495199840469477,1.3595340062736012,1.215282327879542,1.2899201282179054,1.3447991815532183,1.1004468507900735,1.3561425972100547,1.366625109508727,1.131551991374082,1.3512574480133743,1.3631675010547357,1.1125058941113033,1.3521376960124043,1.3610783436097795,1.1434463602975011,1.3472443914729268,1.3781331563145904,1.1365448154127002,1.3348648091924376,1.3823763848213726,1.1155950813652524,1.3250608115206517,1.3418536806122368,1.1155136048099692,1.3306753817989705,1.3823395707142068,1.120320428548611,1.2787131049674667,1.337985801949224,1.0793665485038364,1.3306391455107345,1.4001442729381675,1.1305424170635539,1.3118455094246642,1.3419828754465934,1.1290578415670813,1.307643077928621,1.3820177289995779,1.096624409373766,1.3658593815469706,1.3471968490739965,1.1485376686499624
Arcanine (Hisuian),Snarl,Rock Slide,30,1.6042975005882307,1.6642697209129342,1.6041882035050967,1.4551570960180962,1.4911293376685852,1.4508172950621117,1.8417482519696007,1.6645965681945514,1.8493338651017484,1.5173421632296917,1.6100987871773957,1.5193638732221053,1.620584271177303,1.6595592694925534,1.653758676460678,1.4233066133620913,1.466231536484831,1.4246512603809682,1.5530847465189759,1.6478037407937265,1.566467830679863,1.6478946336164628,1.7722402425961408,1.6532625258361873,1.57786793483615,1.6693624224186572,1.5798740786515848,1.5550212941338097,1.6156146206250053,1.5627389024025602,1.4066542983867996,1.469130493543512,1.4251944318167857,1.5528169339985005,1.6460668437566524,1.5520116990457502,1.4693870859325688,1.5484339008615389,1.4768302579698502,1.5654875569791795,1.6302051250461993,1.556139891585561,1.5785890330750691,1.7001320824085295,1.575198464031373,1.584278890471801,1.637618369228191,1.6068130394703763
Mega Aerodactyl,Rock Throw,Rock Slide or Earth Power,45,0.983247185979613,1.022290532899181,0.9758089122663205,0.9764756858557289,1.0249129139784579,0.9788741764784152,0.9267726405150557,0.9724651580903184,0.9308637754924398,0.9605868247153029,1.009325493274865,0.9618783597708186,0.9766914886447874,1.0128866500438034,0.9763595929644855,0.9631914159178231,0.9885208657180438,0.9555792698747178,0.9765301028760106,1.008076143306924,0.9782117031571139,0.9566374485162108,0.9984038139492781,0.9606083007709368,1.0087141871982948,1.0518641912284945,1.0020061438154348,0.9604664506275103,0.9959997737245744,0.9704791382138789,0.9889668390854026,1.0155176862306643,0.9788920150876633,0.9585998167396315,1.0147718963745915,0.9595809076016031,1.0107794837324064,1.056553352296481,1.0065168741956374,0.9645266108168042,1.0047816311445115,0.9591828877664161,1.0012527403695584,1.0439956971091655,0.9928920600770708,0.9596916114975279,0.9892566831475741,0.957102153691444
Krookodile,Snarl or Mud-Slap,Earthquake,40,1.320610849253516,1.3232506774142132,1.0977419526227505,1.3198692600844077,1.3223240452949665,1.1196413522983544,1.4027370246924131,1.3089606143191308,1.2762995881960073,1.3366228493907413,1.3690515658082874,1.1755552075303612,1.3632522407170296,1.336976885234854,1.2320591010175888,1.4660690959053693,1.307791056292429,1.2221420046521176,1.3789289628458365,1.3683373909260514,1.303954131075583,1.31855226830409,1.3457206221806497,1.1933044672087867,1.3112657513635508,1.3457015681954556,1.1126306456379806,1.3201150772164891,1.331719774047825,1.138787648594264,1.2769593689719994,1.3041859665073534,1.1283434286346157,1.28229501217108,1.3154484788463852,1.090954527364105,1.2885130870310104,1.3252944889377085,1.1098851554622882,1.2733229641493162,1.319237402981397,1.1126185782924725,1.3058865180626098,1.3796211822056401,1.097427797219461,1.3352719349702507,1.3215452945613007,1.1149668985167185
Shadow Sudowoodo,Rock Throw,Meteor Beam,40,1.327003210601817,1.3404938102936599,1.3224628276066215,1.4536473775251535,1.3194990805217315,1.445986195884695,1.42007014278615,1.3182697268672827,1.6111823300952437,1.3229569847639542,1.3282634650156713,1.3179433880523854,1.4163454410674574,1.305746681043197,1.4414313632994138,1.2837994851536079,1.3269748375030175,1.4665428809287993,1.2697253386207532,1.3011124218111645,1.284129095589076,1.304829292578791,1.3228852043510404,1.29742166166287,1.290434097280063,1.3236698102223774,1.2961301127560296,1.2408378655762347,1.2728154319840315,1.2595540757861052,1.312712707793245,1.346401936332027,1.3054637490631642,1.2346750830687783,1.282785557602066,1.2407559952981684,1.312670606848046,1.3580018198063792,1.321646678853358,1.2589626709375386,1.2810305531600346,1.2602254527534804,1.2811585125069787,1.320129631394763,1.2885115538065606,1.2948294645101819,1.2918293807089585,1.2749182938070898
Groudon,Mud Shot or Dragon Tail,Earthquake,45,1.141176917063248,1.1799212150192409,0.9653315724358827,1.2032336975991211,1.2353710836878755,0.9954503737619456,1.155235228391369,1.1661792122863828,0.9455348862237163,1.1788684525782904,1.1966367206806288,0.9657672023316783,1.1372851944201092,1.14657490396927,0.9932289911719119,1.2096904830125508,1.1961785853681648,1.0189130469114858,1.1515977991394,1.1677751842649065,0.989762595966948,1.164880889519183,1.2078360967367199,0.9964093357271095,1.1750629158942116,1.2307244507733506,0.9823656376223613,1.211422060237751,1.2110745658340272,0.9831263182563863,1.1920605472349524,1.227334717597769,0.9790763106485976,1.119082217265348,1.1638699406717696,0.9863943059707709,1.1961374199736046,1.2463542392471576,0.9735390315679026,1.1507176296661328,1.1862911174079094,0.9966197486756191,1.1955364315962909,1.2962186304279741,1.0253271422541157,1.156398223414062,1.1619961451437193,1.00470962876058
Shadow Omastar,Rock Throw,Rock Slide,35,1.2495404209455716,1.2734233516254145,1.24916547122982,1.293953278903859,1.2661045168730232,1.291592318006421,1.154428079904535,1.1990428168532605,1.2771542160055962,1.1939397514150953,1.2454811527408,1.1995797934764258,1.273069276905452,1.248444976076555,1.2776669586899387,1.2247230049702305,1.2503750798102153,1.2256502699446574,1.2030525367623477,1.2464701732076178,1.2153591736454472,1.227937781935036,1.2611770740612225,1.233697931596337,1.262464511853265,1.312035967292691,1.2668171274528244,1.1922371366461133,1.2311403473327784,1.208310773134642,1.2382450148050768,1.2793920703763315,1.251760022606922,1.2072693279527595,1.2610534694519775,1.2118508371666836,1.2679132067119705,1.3258846964120303,1.2698067890254199,1.2273238265368978,1.2531338548724897,1.2279013182210177,1.2256430506951348,1.2722395457454485,1.2297416903824943,1.2271180759239086,1.229221486633705,1.2359423447582336
Arcanine (Hisuian),Snarl,Rock Slide,40,1.4278844183345856,1.5028212309583988,1.4290715060986254,1.3006506289640771,1.363248504781628,1.3013432229845685,1.6731349330699814,1.5057180931037868,1.6776454687317008,1.4146885163211387,1.5056268216237545,1.4207272054232267,1.414138419030932,1.5018060516207292,1.4136767976278726,1.2663258422656851,1.3150444793892235,1.2764986835544707,1.4086065585199687,1.485884875915747,1.4030932521257045,1.524538720335531,1.6372704916796164,1.528120332513616,1.489534914962788,1.5762468989852854,1.4840180194703423,1.427070622176608,1.4822979885730911,1.4242098542947885,1.3195316435478124,1.372854492511457,1.3095305377744468,1.4227483501939042,1.5053173273604028,1.4221004600020362,1.3368937052733398,1.4126533924633784,1.3409185923551736,1.4567882222495996,1.5135826044104965,1.4554715412098065,1.4810523019104291,1.580114108307575,1.470458475741772,1.4445235900444147,1.4848906394033354,1.4472219894410459
Shadow Golurk,Mud-Slap,Earth Power,50,1.0408027263550181,1.0690696844805732,0.8634272225637756,1.0390547968106556,1.0824528063705003,0.9286031095083265,1.147972474653955,1.0642996641629239,1.0151189990092648,1.0521454736272609,1.077339559820446,0.9586647764830788,1.1859997304400567,1.0648241121369364,0.9997607655502393,1.4239902174673258,1.1062113216571647,1.1613373371928013,1.1499385086464373,1.0752313943338716,0.9966172783731703,1.178483170647074,1.1333675301359323,0.9742769639274023,1.058500586617946,1.091100423618761,0.8968179334927501,1.1042806461779657,1.0702908447346517,0.9584622968571961,1.0434691796390265,1.0861397451806711,0.8846555515966139,1.0178169802763715,1.056801458678489,0.853234360393547,1.0642260494626652,1.0933183595511144,0.8982219999836053,1.0571947763952199,1.063893679931009,0.8779182579770851,1.0457114067457345,1.1004370974550306,0.9009790438322962,1.0869772898684322,1.051965138691025,0.9389172881924077
Excadrill,Mud-Slap,Earthquake or Drill Run,50,1.0746362456451943,1.122593376900365,0.8983415685649444,1.1862071436126114,1.1529541011460214,0.986371592045063,1.1965438218322588,1.1294365470504262,0.993498498070757,1.1976333382825228,1.1408322367149857,0.9655922857729786,1.149218276164162,1.1221999460880114,0.9552547341465059,1.184275300684281,1.124738572192429,0.9899016106434677,1.233011793511756,1.1520774595844245,0.9940823286956861,1.1302837831721557,1.1472534435677324,0.9372026009685742,1.1375641473440985,1.1732896280573542,0.9602801436542268,1.1360076933644732,1.1479760471299387,0.9337497878667885,1.1126168741015592,1.1562703493015198,0.918553648437788,1.1127421489592106,1.1390742574715622,0.9577390483418639,1.1264109647433007,1.1820708085022666,0.946151765294161,1.0874938400887026,1.120988357767648,0.9366376124183812,1.1084165089393918,1.1759419382072196,0.9175642369857977,1.1168440459230706,1.1279141875471383,0.9671918210005866
Rampardos,Smack Down,Rock Slide,30,1.129775106071301,1.1614803682704495,1.1304961632169774,1.1943613293711042,1.1747776363779039,1.201544859962948,1.2285939473359353,1.126953378470343,1.2823500365590785,1.0947600287188581,1.1480770365067128,1.134549477996107,1.2069310600444774,1.155313700384123,1.2267504548824044,1.3793348509494878,1.1696669291285289,1.375540058523731,1.1255901636144088,1.1533268077203023,1.2140373186981124,1.1071647330386374,1.156012853974624,1.1429868895493567,1.13638195545286,1.1871893387785808,1.1439229067590926,1.1113355907000801,1.1384724792513516,1.1861761877439534,1.1449546018601566,1.1775872025162488,1.1348920642331461,1.08659515193025,1.1426746758235147,1.088585100376702,1.1578723020550696,1.2128435704273266,1.159339623414842,1.1201798694098803,1.1399993840088702,1.1184242946901564,1.1326406949985703,1.2006154767902613,1.1282833371914105,1.1470795273610996,1.1494511019860891,1.1703343668817565
Groudon,Mud Shot or Dragon Tail,Earthquake,35,1.294045585991757,1.300277037745444,1.0899924858255345,1.3141067413621925,1.300157624846043,1.125267399292394,1.2436702149547205,1.234489296578007,1.0738430080366668,1.2856265368758681,1.3212464635329484,1.0707618836479458,1.2285059640137477,1.244435271918593,1.0939669115169486,1.305194263140202,1.301753681422438,1.2478256651603312,1.2727204276786386,1.2905487371265552,1.1146667335960312,1.3180091426157536,1.3534812847939894,1.0926813813496674,1.2979840045854716,1.3605595708285194,1.0652265419991582,1.2601763332067268,1.2645078913554708,1.0796974374308042,1.290142644764163,1.3447432762836187,1.089850229140814,1.248327054968855,1.2814805216441603,1.0325055764834372,1.271626595404579,1.3154167110688493,1.0818011164758057,1.2745703461870148,1.3158109523222865,1.032354934088949,1.244624790642574,1.3348493307370743,1.0640940099946894,1.2800972094192575,1.2767032598675943,1.0736612754546218
Gigalith,Smack Down or Mud-Slap,Meteor Beam,50,1.0999461104659547,1.1296111604466,1.066452626545529,1.1161306170910368,1.1473195246689707,1.0957451526948048,1.0814824310679367,1.113178044295043,1.04155073798694,1.0866345443932124,1.141487156853373,1.051864793567952,1.0945211941505493,1.1273316935103443,1.1081710357840826,1.0978501440532082,1.1302547835366472,1.0944118184546034,1.1145942267845739,1.1651398405407893,1.09213384757395,1.1176017983495015,1.1607380474631506,1.08398835297135,1.1357102555146565,1.1863564308552084,1.1006206507429002,1.1215583911817235,1.1307791147782098,1.0805540515423095,1.13589954663292,1.181002813578897,1.0882284282045926,1.0813935192469666,1.1405366381903501,1.0435474764677026,1.134444344254904,1.1854399095015207,1.1108442426080611,1.1257853886904028,1.1622751632376493,1.0502879758531476,1.1113441087160774,1.1723743515026077,1.0861667506365829,1.1142294477499373,1.1502220732422694,1.104081119584346
Landorus,Mud Shot or Rock Throw,Earth Power,50,1.099725998284643,1.1297857321766058,0.9243041798544223,1.125721167788578,1.1631690099999659,0.9250053735742969,1.065564196792297,1.1039907953419619,0.9001968809250239,1.0952095235964472,1.14156647947883,0.902396560245534,1.1005340656378462,1.146790551923984,0.9264859491879507,1.0888346918930871,1.113561757877804,1.0135051292869084,1.1185263269443677,1.1575043155496434,0.9328614813141581,1.1010304301253715,1.1505423713471026,0.9386358493127952,1.1413167109988627,1.1761286797961614,0.9397709055410767,1.1128387060278158,1.1472325707312738,0.9414350710747276,1.1256527134449754,1.175301937560664,0.9425980759543439,1.0981831307905185,1.1294114380385587,0.9270105420989792,1.1422481986376043,1.1876449902041954,0.9517997229303801,1.1129111740790931,1.145042811383516,0.9410265492176912,1.1203311591933443,1.2005882433039665,0.9397322948297226,1.1078437945194002,1.1304868851085226,0.9603201206737619
Hippowdon,Thunder Fang or Bite,Earth Power,50,1.4880236203140773,1.5668769117501953,1.2617574060158936,1.3992309818117303,1.480322482693679,1.2278122558435487,1.3028167899546415,1.3545470947402407,1.1342667768186956,1.4548725448121986,1.5272290166231748,1.241340104909257,1.5307938540332906,1.5972858683199678,1.2984163353325695,1.364433183903041,1.4497528421461108,1.1837563932776674,1.5537373078220906,1.6086723723949836,1.3143226051139612,1.4670488662251258,1.5422023746662041,1.2536396964530876,1.5129638088073296,1.5707389594920158,1.272710174910664,1.502274876154611,1.5345272055793056,1.2879435604438232,1.4462164121340197,1.5396174024155005,1.2866656018478702,1.4423146339883195,1.5421452569810168,1.2511407495163962,1.5410317154544186,1.6103155150789812,1.3021206482445427,1.477339226315141,1.5363126770974498,1.2866052728840704,1.5305900134805757,1.5772818257329213,1.2757254319911764,1.535649040475991,1.5486382301181598,1.3091510936059667
Lycanroc (Midday),Rock Throw,Stone Edge,40,1.339916964577119,1.3494880494265697,1.3381833913974086,1.4928829993756418,1.3959573662321179,1.4909058652136977,1.3871163275060379,1.3249706419520966,1.5025987015987872,1.3307021272701016,1.3705831026536468,1.3404832171629755,1.4573438237077971,1.3855077835433656,1.457783543365456,1.2921471260426092,1.3327369658355877,1.4072114592804335,1.340266099998048,1.376377280827247,1.3625005926037475,1.3583814854487577,1.3947256460932669,1.3725902569286244,1.3767520173388144,1.423815793008947,1.3859229604950876,1.3146521419393422,1.3525936820668645,1.3372635219770008,1.3439446621862368,1.3783956457102138,1.3378751950461354,1.278361393149024,1.3347463509898836,1.2786298047999407,1.3363608790812436,1.3923486158814995,1.349771704470002,1.340596895404706,1.3765630774916842,1.3362618578292471,1.3332153215593894,1.3773880363294708,1.3396560410680973,1.3186960529623735,1.338942428559457,1.318629011983575
