Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3"
Magnezone,Charge Beam,Wild Charge,40,1.2164049279384608,1.2386043655215202,1.262180720404532,1.2650203384297756,1.2690270900731775,1.2588464974245297,1.2546875893345315,1.2630392315257524,1.2735339501243033,1.275070311014979,1.2684522701890544,1.2574924642041159,1.2533089680760745,1.2301183603183212,1.2526072074712045,1.262349408533711,1.2628992307889042,1.2671992195336508,1.2492157610969317,1.2641816818616554,1.27372305115118,1.2614600552661774,1.2655185159961446,1.2565691090000997,1.247544025310875,1.3094242381051102,1.2613738639086867,1.2790134881303479,1.270426484714758,1.2705063417128615,1.2792834253525913,1.2862586020002336,1.2423499174622452,1.2338066145246742,1.2774275085258775,1.2838239389603596,1.2734031215765906,1.282844425708822,1.322846251420417,1.30679578017491,1.2499778240322075,1.2794436527308404,1.2548668298231291,1.2836803803819894,1.2597727885043122,1.2831331989938362,1.2586846340808548,1.282458957544636,1.2923155949149991,1.281608296823328,1.3069184091489068,1.2821392635217703
Magnezone,Spark,Zap Cannon,40,1.3635756609186003,1.3403962477093627,1.438008216002832,1.40362006032639,1.4016289286250987,1.3645487285112048,1.37188219623381,1.3813280297331987,1.4885684718843388,1.4299679875185487,1.3986736356183291,1.3652834684288977,1.3795944797336959,1.329146164539882,1.4074623749341253,1.359098134044269,1.4314109566980442,1.3890169361388813,1.394869679608944,1.3846064251284802,1.4187210573519706,1.39403340981188,1.3880603507241016,1.3711681535229123,1.379777975268398,1.4402505312532392,1.397813398895816,1.402316384516909,1.358805601457476,1.3490925786970183,1.3947041972620289,1.3832476733275054,1.3432775786768418,1.339035561829139,1.3983789481103737,1.4068569639606112,1.3600248871109957,1.3746740762056329,1.4978590241625045,1.4605423724039803,1.417943602714373,1.4018895120210697,1.3466177545797202,1.3728388241628449,1.3599956008349448,1.368143063389425,1.3972957525932332,1.4335866221210694,1.4247763333546486,1.4273943558289883,1.421929418459961,1.38253886492577
Magnezone,Charge Beam,Zap Cannon,40,1.4721204004772301,1.441735254849956,1.498476996331966,1.477223767241032,1.5094949131260953,1.4807219217932048,1.4632010090901586,1.4768711987454646,1.5759743865571867,1.5191918924579395,1.498378592317293,1.4586356645913912,1.473314585515196,1.424999026888352,1.510774651837378,1.4671065330347248,1.538912767375264,1.4948365796261422,1.458390774639847,1.46881069074719,1.4422401468873103,1.408752751844576,1.4722481534934186,1.4533361780244698,1.4408263140958808,1.5151833687502159,1.473419796095337,1.4925777153522604,1.4785539228599527,1.4653600809126393,1.4402046994413567,1.4622136166174606,1.4205712735638563,1.4235422862320957,1.4698742489400536,1.4875351416731208,1.4549321902566197,1.484287702247485,1.5607101644600652,1.5321876922809758,1.4645358744748338,1.4657627273616933,1.4547647089135856,1.5054832101528792,1.4807108417153814,1.4986757050779822,1.459682238705414,1.4881993409444338,1.491547773617223,1.4871436531052116,1.5133575876924559,1.466440693958962
Zekrom,Charge Beam,Wild Charge,40,1.114666980310754,1.1228807845045625,1.0580292948943841,1.075914699417297,1.0672100497130648,1.0651262896486882,1.0506324410554,1.092013002028323,1.041691348101974,1.0538008728319805,1.072631738541238,1.091487317229341,1.117501300652867,1.0842235176691537,1.0745650993030458,1.1018359151254111,1.0654135777885765,1.067881936592839,1.1019670365071292,1.1180820917915648,1.1015510632234482,1.0928279993941952,1.1063754299328556,1.1125228024054648,1.1178610254319026,1.1430660654434883,1.0691593683718987,1.1069262036998477,1.1135727185158422,1.0951367188780465,1.0813193352992212,1.1170222446633733,1.0959996602987723,1.1032005993415757,1.102692054562338,1.100652761293113,1.1161761068466274,1.1001624208841556,1.0637370107085495,1.1066684840580996,1.0814589897154938,1.12204137816742,1.0911593045860308,1.1051329949256543,1.0921330705589316,1.105607522060558,1.0777608378221615,1.1072391425540016,1.0880992510503602,1.1133442665111004,1.0728172017756419,1.0983890043302282
Zekrom,Dragon Breath,Wild Charge,40,1.2685441956263164,1.2706955546597019,1.207979531141877,1.2263307946507491,1.195915651287935,1.2107438914366784,1.217619932487462,1.2946042252148913,1.2074576329662319,1.2278410869110898,1.2330361821096283,1.266479359046348,1.2806495187528335,1.232373469506732,1.20197217684842,1.2324648986799387,1.2037438368819422,1.2105301429001853,1.2103890118047527,1.2419128739814784,1.2994333896126657,1.3074532632309903,1.580562786255909,1.6409011221262033,1.2274661907305937,1.2728791981963303,1.2286081047943116,1.2800386595916944,1.3196628997301458,1.3246925099188909,1.2450634222086252,1.3281501282354102,1.299082200075624,1.3192901672749295,1.2890445034009255,1.2954975281384846,1.27736389384044,1.307679774973673,1.2540837539529435,1.3105561734721625,1.2300602221272066,1.2767981530333583,1.284880444450751,1.3285580992580266,1.278488023108766,1.3291008513865967,1.2643224038899892,1.308541822353481,1.2482839052631485,1.3261324282297577,1.2529789878359345,1.315527816020629
Shadow Victreebel,Razor Leaf,Leaf Blade,40,1.409168491290262,1.2646913688875563,1.181286462827695,1.1777406537549255,1.1861555051923975,1.2086504792187123,1.1790870094295398,1.1988656870692613,1.2207655282204415,1.1794244649068784,1.1982713134535086,1.2204746856916195,1.307981279567962,1.2293949112513372,1.2231264138658073,1.2292958394693791,1.1936378409476396,1.1941034190218756,1.42887496066283,1.2867411357513605,1.2372725899604116,1.1942250730444413,1.2068197684256547,1.1828042530301397,1.2507134197856862,1.2674425987353581,1.210818470023831,1.1961624532146646,1.2934208686925122,1.2192958407112875,1.2140795536546898,1.2005966250888491,1.2645111296481246,1.1845187402173383,1.2190692143079018,1.2096889961928807,1.2191382646965643,1.191004357055731,1.19416799532547,1.184026145900121,1.217810622031418,1.2111571186006025,1.2363447973526531,1.2656665938649216,1.3126772311380193,1.2780821647001046,1.2124379306134603,1.2344748438483137,1.1937768028066373,1.1966410914685692,1.2758478524503902,1.2262652351280328
Shadow Victreebel,Razor Leaf,Solar Beam,40,1.7118473093694948,1.363580639861085,1.2389466691294182,1.2228723077281791,1.2569520355759518,1.2716421234457922,1.2340006392509224,1.2336836347828404,1.3602822965974393,1.2418067406841367,1.2955472722569175,1.2571560118095337,1.3746134983483353,1.2894711257078837,1.2927308716099477,1.2971594161167808,1.2592195580682848,1.2283014822762393,1.6060008920150906,1.3661198592400385,1.2936735590935227,1.2323491364006125,1.254001652943563,1.2028345828941653,1.3333440842600155,1.3673620469230503,1.2977142575800202,1.2546632997270355,1.3738548800993964,1.2554825077673393,1.3007506123561907,1.2318293199334691,1.3613394494071482,1.2302934983424667,1.2638412961464918,1.238427136664018,1.2519873426901744,1.2239831952580353,1.238475081407879,1.209163212343801,1.3419066154538093,1.2875639912937693,1.3231379961628107,1.3065375278739495,1.4334393924609605,1.3270094330465947,1.2547491004532212,1.2453742768373883,1.253966159171601,1.2248656777448133,1.3966667193608049,1.300519901693739
Shadow Victreebel,Acid,Leaf Blade,40,1.5942644191842634,1.3727632560674394,1.2873971102070336,1.2998153749626404,1.2811181129631566,1.3286523359474032,1.3026043260514637,1.340280678604446,1.368240929994657,1.3142146517429028,1.3011113149076077,1.3359371050794384,1.4022808883697886,1.35407473109975,1.2982860752652743,1.3190601453539677,1.3024204756467075,1.3431361614870116,1.6035138638634618,1.4406150932571944,1.3753454709712143,1.3335401539973524,1.1927658083837236,1.1845429163808918,1.3652042958148347,1.4097847776510832,1.3207692086436933,1.325580916973641,1.4045609272185342,1.3229852746863713,1.3246150566433545,1.3123131727622972,1.3783166715376878,1.314608784858504,1.3404417146336924,1.3539462715879258,1.3529240446899227,1.3545880536720016,1.3280754413936675,1.3408551230833676,1.3490684851095094,1.342393013300074,1.3570231837018791,1.4065076796501033,1.4597628067031678,1.4167340519411373,1.3519178668187652,1.385265685171105,1.325326312603125,1.3570698714264289,1.3559716385091773,1.3274479408779478
Shadow Victreebel,Acid,Solar Beam,40,2.279973529216075,1.53497763907008,1.479161377990532,1.415297434962598,1.4308429506029976,1.410144750766271,1.4172772542197298,1.445603122351626,1.6980837835622644,1.460692785909593,1.4124734209870695,1.4399743516528656,1.6136086252221402,1.4887695870642552,1.4380126039998473,1.4286103404886021,1.5061604480642685,1.4665879215301716,2.059599134677472,1.6309284222203668,1.4575686084939465,1.3861200214694858,1.2367327962881458,1.204845415379842,1.62727548419353,1.5619408883590753,1.4976507180600456,1.4349248234637255,1.518306846292583,1.4165313205698453,1.411050486245126,1.3988344106947486,1.466233557970621,1.3753455565563701,1.4406123879096047,1.4263656846276869,1.4512375993862197,1.4071137108492997,1.4524319594560866,1.4333164913599583,1.5290917781104156,1.4457190533438766,1.5563125046209823,1.551971523850633,1.6334533191655511,1.611254373874342,1.473299952478984,1.477663725174481,1.4124206569892148,1.4029531767533518,1.4771814808708985,1.4047042173198745
Shadow Victreebel,Razor Leaf,Leaf Tornado,40,2.003992207109999,1.8032215720797689,1.7733096976893226,1.7074567530157896,1.8140716121389282,1.7453320309895919,1.715484015390692,1.6964975929479598,1.8093030315587102,1.7171351284467005,1.8135285802832912,1.7586255090846246,1.9990499774042254,1.7675084801616443,1.8917280625930268,1.7953756968617147,1.862873205377873,1.7548400734981893,2.087550610513707,1.8736454498937356,1.7996829751572172,1.6837718786089577,1.741306005210832,1.6704482965542564,1.9374897480334055,1.8389155955219239,1.8153969842373268,1.7308140238191687,1.8812841693518998,1.734371600950974,1.8009751412758859,1.7109891302407687,1.8063295484540094,1.6794749813686949,1.7608964444979913,1.7048457789758498,1.7440026642950113,1.6670151448555068,1.7354699047770055,1.6791596728367115,1.8427206396109648,1.7347723900774115,1.9135519689679095,1.8492744330349051,1.9474083105069364,1.8590168067064514,1.8085968827033163,1.7541897336718568,1.7277696464429548,1.7016005984549427,1.8355631234375245,1.7421163529252277
Shadow Victreebel,Acid,Leaf Tornado,40,2.512995986689023,2.1704903063730225,2.1040859544232853,2.0591969658751035,2.155492478709022,2.0932381002702627,2.104001781424593,2.116222740645157,2.229967147602498,2.104247099033441,2.158361305819489,2.11564011798604,2.3643908444263104,2.13781061855908,2.2011840056440533,2.1061572091963594,2.243390571437645,2.170044747073882,2.5669460471618826,2.288958014216525,2.202440046134722,2.086811687491579,1.860064901789791,1.7838074689751586,2.31986263509045,2.2700483310873847,2.173537512420639,2.120774266312377,2.24276957917572,2.072393449032368,2.1445092145748306,2.0643355099570924,2.196940386945207,2.065985388105521,2.1375909857234063,2.0993275618845493,2.1893842348549333,2.1349066796392817,2.133584090155005,2.121543341437822,2.2366272557582247,2.11865989197931,2.311779602853172,2.2724957023129275,2.4126247967963796,2.2870426894297644,2.2271762239150465,2.19348022561623,2.1065328158289107,2.1292359356342887,2.1731919323768594,2.070966006464655
Shadow Shiftry,Razor Leaf,Leaf Blade,40,1.2739393684124645,1.2185478549040067,1.3662290744676753,1.3049702501446687,1.1988922308938055,1.2118143251556615,1.193499592650891,1.2215112491473525,1.2738919184051372,1.226296659437403,1.2046093283207056,1.224993385258485,1.432627706262736,1.2590353636698763,1.2347611738453246,1.2399717857410395,1.221215150611527,1.2298379810631044,1.2114490973087124,1.2699555433947884,1.2611729862292742,1.2209966142074522,1.2761176660434028,1.2398013841671192,1.2894762584944297,1.31852950831001,1.2090306941484354,1.2120481488953152,1.3254909931416794,1.2336156524475537,1.234728582191401,1.2227219503039464,1.2975857415075858,1.2260966581695536,1.2899407184112237,1.2685504342731269,1.307158365237439,1.2390013513628115,1.272720359163635,1.2743976484229682,1.2408748709676505,1.2317547397452848,1.2281294188727265,1.257784981594824,1.3590931294575352,1.261789093529453,1.2555623452016804,1.2650018456019072,1.2431070082740954,1.2498795093248214,1.2845560707034893,1.2415244103135439
Shadow Shiftry,Bullet Seed,Leaf Blade,40,1.3597611589678833,1.3048978562058877,1.4404474313200517,1.4170760142188834,1.2399949246955517,1.2742366055049041,1.2536515213740205,1.2867709790163633,1.3335639621411577,1.3081875046220972,1.2728217365186434,1.3064841316791242,1.622596482970069,1.3863470322208276,1.2811492165741167,1.3078148435440233,1.2802385906256244,1.3197401110358267,1.268950870534367,1.338561930497909,1.3015115488985505,1.2746302834400156,1.3326394105462356,1.295452652202177,1.3505939993436615,1.3841211430150997,1.2671204501499282,1.27724122961443,1.3691054850720086,1.3027417232318093,1.2992791033532713,1.2851817333555406,1.3421608575527295,1.2914747796962325,1.3293899151633173,1.3279018283728463,1.3621937301275273,1.3115952470981962,1.3133917062328044,1.358482864824423,1.2832237171152068,1.3081256674502844,1.2583004792378794,1.3023000386522698,1.3829792956823181,1.30823445527177,1.3146999514834727,1.3403829651125094,1.2665906745338507,1.2946395547929022,1.311932587635998,1.298195648715351
Shadow Shiftry,Snarl,Leaf Blade,40,1.3597611589678833,1.3048978562058877,1.538641312066728,1.517994317109929,1.2399949246955517,1.2742366055049041,1.2709774324537724,1.3060306793932634,1.3335639621411577,1.3081875046220972,1.2728217365186434,1.3064841316791242,1.622596482970069,1.3863470322208276,1.373765091454604,1.419753788281052,1.3468716528468736,1.4087985138833665,1.1782973738542546,1.2266803695734299,1.3179945366691432,1.2935788870924214,1.4249416830687465,1.3954227127411882,1.3505939993436615,1.3841211430150997,1.3417638855441887,1.3769632894329549,1.3886878883011726,1.3261855734003871,1.3069690925868822,1.306862491627001,1.3661235128155553,1.3150508792753317,1.3474960024063423,1.351262554189843,1.3793988541241224,1.335983785400895,1.3885169084678874,1.456976226495508,1.3676218388121795,1.3990384287068447,1.1685735858300328,1.1973178480433413,1.2784853782303192,1.2014970574774764,1.2146141179288334,1.223804026418732,1.2774895630970584,1.3197157091359337,1.3335581867495319,1.3224330478497373
Shadow Shiftry,Feint Attack,Leaf Blade,40,1.4549657377830354,1.3884852658486067,1.6016383384508899,1.543387943624713,1.3099467576153088,1.3512872907414915,1.3359170706032104,1.3841896015583683,1.369617766179354,1.3400010811712497,1.3485450439099749,1.3912456799248403,1.7111018239545883,1.445621640453123,1.4156970535713715,1.4590926100661126,1.420104587864008,1.4785795015850325,1.2131426758018595,1.26619157010843,1.3750129679236252,1.3531901258016918,1.5114481232217476,1.4737367058562254,1.3689417862866928,1.4310816618292388,1.437221457404858,1.4734923813886625,1.4639334229230587,1.4016799832405467,1.376156705540193,1.3792609816455983,1.436560873480113,1.3853439066461795,1.4006714154227202,1.3943764836198311,1.4418922220144055,1.4011853047116969,1.4620434625582481,1.53405615344985,1.4353994843849114,1.4793884780311974,1.209424190123831,1.2476802370397286,1.347012086795646,1.252169475860435,1.2569035622023166,1.263801534222241,1.359943377725477,1.3874943616229687,1.410184482178466,1.3982804237448956
Shadow Shiftry,Splash,Leaf Blade,40,1.735208098481065,1.6495439375887189,1.8820899166152587,1.7957715355249517,1.530904866265982,1.6011024820413349,1.566061532676699,1.6536564389358446,1.6602923912664502,1.6159084671957926,1.5800158176923862,1.6407947617622856,2.282402602839475,1.8255166342208053,1.5749881260331737,1.632635908834096,1.5663617768217015,1.6348591977068414,1.5452619832755863,1.6975510841773997,1.6541619242907324,1.6215399373663466,1.6620968751859633,1.644604129179913,1.6501293996437718,1.7263694887875334,1.5535210300805824,1.6120904790208976,1.7253292039947432,1.685895090111863,1.6184100649833046,1.6412629257910039,1.686776491990657,1.641273748781625,1.6580300612486258,1.7052382152807812,1.7311142326028788,1.6921719582127386,1.6341085066462302,1.6923551038674194,1.5650214689372623,1.6085385062114397,1.5781193591341602,1.6791736230184073,1.857137712544748,1.6954861899204947,1.6233321162721857,1.6892517868288142,1.6044808424132933,1.6756847568982092,1.6592845189890852,1.6600009909977964
Shadow Shiftry,Razor Leaf,Leaf Tornado,40,1.894761150358565,1.7588241499838837,2.0633548780875848,1.9569682173615366,1.7783563184107687,1.7440902942964356,1.7472855712850475,1.7299632179292455,1.9011997961351472,1.8099941003698716,1.824732449693989,1.7483436277382867,2.068758827140061,1.7893633348791573,1.9167136613427362,1.8180884466484397,1.9006843193525909,1.8047254312479721,,,1.8462696490202266,1.7414448296677485,1.8946133598963788,1.7778870411619214,2.0232589379851422,1.9308130118171452,1.804925987593963,1.749916033833092,1.9281338666255794,1.7636385119369387,1.8260347012054885,1.7342769129283697,1.8729568736536966,1.768490579737382,1.9086576691098907,1.802836197054889,1.8717837416931633,1.734805612556883,1.935926493603352,1.866605091156383,1.865970588801272,1.774374195041563,,,,,,,1.7939604853961675,1.7719210420613636,1.8373697796105302,1.781761516890495
Zapdos,Thunder Shock,Thunderbolt,40,1.231305141303858,1.2211809767340382,1.2215941029237465,1.2120117028109214,1.2145368822831955,1.210061395499507,1.2521864514129395,1.2528976803424845,1.304540556564921,1.2354616337919941,1.2429719430131074,1.2467302228336778,1.2714503455559198,1.228988494033549,1.2293151658974981,1.2202683958117309,1.2425076467210652,1.2394320090930715,1.2194899004998314,1.2272015236596268,1.2554762429061446,1.2389332104876387,1.2363649661135108,1.2517566210343163,1.2397817498016668,1.2457843111848244,1.23690430645251,1.2591584417682238,1.2543552837527026,1.2357024636754341,1.2445643069345014,1.261768107933907,1.2430447806788394,1.2308623475248253,1.2672802675826502,1.2642266254438288,1.2762104029650778,1.2834560445923406,1.2444113234028933,1.276485210278846,1.2135113158690531,1.2343500364664475,1.2238657028635527,1.2420698327511406,1.2227367199831325,1.2330218018526602,1.2945301641334326,1.2785230258308198,1.2690652443358728,1.270960489421228,1.2148137375124302,1.2366078367517506
Zapdos,Charge Beam,Thunderbolt,40,1.2894101367526192,1.2946188316649803,1.2620479846504091,1.2574366689488667,1.2552861355447016,1.2633383488052494,1.2855732475451442,1.280357024534538,1.3437550142484518,1.2804372324950746,1.2607903542684216,1.2695809783259626,1.3373007151135436,1.2951686283599433,1.288119187114736,1.291155703986502,1.2716766941320006,1.2758997931303055,1.285905283959931,1.2933074540451128,1.2807686210748133,1.2575282141765283,1.2774321127239388,1.2806840135178763,1.2986180588531275,1.3106882320928785,1.2597969142077434,1.2886862283046838,1.3109685283111885,1.2905750274605914,1.2786250017312464,1.2769768571795568,1.2965668555814047,1.2927709026488077,1.2931500382342889,1.2953370017300516,1.299802086394919,1.2800700158589926,1.259713596950985,1.2872634780653012,1.2781760623328748,1.2930246578904319,1.28157075312117,1.2876330579697042,1.2752735693411668,1.283422509015298,1.311497260441228,1.2973890402036936,1.2948924041725778,1.3064076403373386,1.2592363414911385,1.2892579710421561
Zapdos,Thunder Shock,Zap Cannon,40,1.3572240149471895,1.2897562160332492,1.3261294248695372,1.2918482004888006,1.2949426727071942,1.2890692999293356,1.352974054079372,1.3454698733906272,1.4757288013319854,1.3441590443418399,1.3252577222697604,1.3136624810495057,1.3943794754578318,1.3006625261132971,1.3690750505083467,1.2979671124470404,1.384672508425235,1.3394924935980355,1.3533790142645417,1.3050217447192283,1.302518363656704,1.2623582847062107,1.3067553766555022,1.281952583667609,1.3413031762388767,1.3261220025223732,1.3361539611840634,1.3333255812234523,1.3154057096239176,1.2942923094252856,1.3104789493110558,1.304711579557367,1.300062885167764,1.2878320406520964,1.3344009428665797,1.3338919434413945,1.3496834718283246,1.3309099605177463,1.3284500350883375,1.3491117602567337,1.304904561280188,1.2893484399432251,1.29185692915838,1.2982507082685624,1.2833110112565727,1.2775150492788727,1.3654544025161839,1.3483142355495166,1.3328723708805439,1.3335611386468194,1.2937167659951174,1.305104572026257
Zapdos,Thunder Shock,Thunder,40,1.4028458079485377,1.3800084487593074,1.3885163638009879,1.38453251287182,1.3674764014870946,1.3621057476123013,1.4174209744690824,1.430834851457963,1.477195083950955,1.4185128836048033,1.390150657798256,1.411727697619103,1.4606764238017433,1.3907363822051435,1.3879664624152428,1.3818165646680847,1.4342826050480866,1.4242233245904679,1.3724629129450732,1.3820604619750538,1.4092148429685531,1.3963092989228536,1.3815631518117686,1.38435803999525,1.3888116276913642,1.4012885050620227,1.398450573451597,1.452977161743446,1.398544475272947,1.3880901792105296,1.4153414185293813,1.4183198856158317,1.381893084638023,1.3771126662231683,1.4272138800713705,1.422595482880536,1.4477997618166063,1.4392416050131145,1.4112885347756254,1.4582501380214812,1.3738491683997631,1.3998871647390523,1.3652385621818055,1.3865138528054894,1.3616483510079451,1.3807372797753061,1.4643058022780222,1.467754636010718,1.4270442838869457,1.4462652974276877,1.3742662905810732,1.3993625081043783
Zapdos,Charge Beam,Zap Cannon,40,1.4924725639790453,1.4104765962184396,1.4008537118551503,1.3697961599687982,1.3740529891280164,1.3598568837475502,1.4150144943539595,1.3999884220928875,1.5363019722573672,1.433917098291205,1.388554963401882,1.363069158090273,1.4996300410024619,1.402987901888506,1.4792982213682777,1.4111462178364464,1.454188671863692,1.3887458575071832,1.4474927330244536,1.4060515293220988,1.3974378146156434,1.3516009670871525,1.3688610124316034,1.3480986729978168,1.4376472331425736,1.417083894820497,1.3865660160166993,1.371789134678847,1.418865591761679,1.3736108040067732,1.387469842920892,1.3912826421017093,1.4081356888647834,1.3744899883057142,1.3692558615664665,1.3693482571238897,1.3895721478111174,1.3565986298918178,1.3503972763228596,1.369692335895119,1.4054572759682604,1.4233505843560725,1.3901889543024986,1.3940943283508134,1.3864120191644604,1.3816988223815725,1.403521503479458,1.3861526463105893,1.4149939819420765,1.4134359469615525,1.362399209286815,1.372365231127427
Zapdos,Charge Beam,Thunder,40,1.5399035500281086,1.537472761505262,1.4912749606830427,1.477941176470588,1.4423154779749332,1.456767356339321,1.498960334127011,1.5006380405596365,1.5454626562049631,1.5001376220273026,1.4669102175224533,1.471055439503464,1.6051944404842728,1.5381710749651751,1.5255774096261563,1.5274633074096389,1.5040012664201092,1.502184966077313,1.4982826598277188,1.506967196514232,1.4820542629532034,1.458920402743166,1.485954214956838,1.4947131124137292,1.500592312193286,1.5212574720984071,1.4541568912147946,1.4864073243376406,1.5219066704225976,1.5016991892644138,1.4784752918410176,1.4914819076978805,1.5108231237612142,1.500098043611066,1.4859735318729719,1.49559038010843,1.4944907493997701,1.4995577035722358,1.4625151290927827,1.5000644443431048,1.4812720123568248,1.4964852916280034,1.4888199486034737,1.5144133445156027,1.4831903031882439,1.5049708438104912,1.5261422684946202,1.5102441229623669,1.5064112700068362,1.5286189386510034,1.4502696057951507,1.4847529046634609
Tapu Koko,Volt Switch,Thunderbolt,40,1.290072568606002,1.2901228526818302,1.2856882926902793,1.2948703491342124,1.3066371302255486,1.2960435383125595,1.275098808489137,1.2928069450957997,1.309891004956245,1.3030051294419,1.2877788725392625,1.2895662869964428,1.3200600742196182,1.3122490714929718,1.2713529966650523,1.2887455452592502,1.3320042854802094,1.3067539166053261,1.3134247443197788,1.316015000177727,1.2830082673281429,1.2647677214669566,1.2741975710422169,1.2664375731417092,1.258546693988923,1.304153061400781,1.2791693320319453,1.2969511492683181,1.281330392592355,1.2691114092423739,1.3021581915052443,1.3022950311283368,1.291369240147148,1.265756302679572,1.2880569850726449,1.295295510666975,1.2896761240233143,1.2885354806579068,1.277567189027774,1.2857378656975282,1.2800220852413573,1.3034830493522114,1.3010992523530602,1.3023484977745818,1.298931274850837,1.2930740988306457,1.302604725574183,1.2894455116374348,1.3191313847353674,1.3036972111533012,1.2759848873211128,1.276924670331918
Tapu Koko,Quick Attack,Thunderbolt,40,1.445477606787887,1.4447475832148924,1.4235983101663432,1.4296758251424961,1.4348477624798204,1.4271080413635697,1.4349358086622293,1.4478982267192466,1.4529322822951372,1.4447987583364854,1.4432241216453985,1.4350655531130727,1.472716157384625,1.4604687263051719,1.407133508174429,1.4151203449302536,1.4689475531757323,1.44259316520319,1.4489637217114935,1.4493563381248042,1.473606166120189,1.4503931811930775,1.4578981206044943,1.4422585774586594,1.4005038459045196,1.4486552382433227,1.421096456065755,1.445122724012088,1.4821602098138604,1.4681842604175919,1.4611939614032934,1.4528815872653984,1.4501091974574047,1.4169947391564446,1.4331145004257815,1.4420130960882729,1.4650260513086726,1.4362105429694478,1.4444544717810488,1.4690273402551737,1.4390688196993555,1.4395853468455628,1.467598082451021,1.4746001790598486,1.4724181017871756,1.4688982659978527,1.4733690526628314,1.471631885190883,1.4666614921976298,1.448702695882318,1.413887013228487,1.4211379139700466
Tapu Koko,Volt Switch,Thunder,40,1.5096508471105607,1.4909632393674477,1.4719483215463947,1.494358072947027,1.49417725780487,1.4952047018691232,1.436142548507383,1.481599917370576,1.550727582852498,1.5109427628750642,1.4788165950562748,1.4781130613023732,1.5542360697622615,1.502918806558262,1.4510280072060637,1.4838364286900416,1.4987528319497614,1.5032537962434123,1.5022976798583174,1.497952210389355,1.442123115567169,1.4378612796823502,1.4420781996564638,1.4297619988361536,1.4285539716211728,1.4968456299022148,1.470591078595,1.4896099192392402,1.4476787964036413,1.447923290932075,1.4503185459855092,1.4749572849769597,1.472131900511714,1.456347587923382,1.4825631808305648,1.4884791576559813,1.468944358985125,1.4835378691573151,1.4405489049208824,1.4656986398204581,1.455083682423036,1.4690510937434145,1.4892750640216101,1.50439516570852,1.4930035493671043,1.5009923850998204,1.4629981105784478,1.474630780003166,1.4903275535133622,1.4893058700841026,1.460016967512558,1.468226260703309
Tapu Koko,Quick Attack,Thunder,40,1.7720826033624821,1.755969932831915,1.7244532159409751,1.7510468091239957,1.7285980437701784,1.7203391295201589,1.7299921068341888,1.74262428397116,1.8239095886394996,1.7775135014748178,1.7687735369059652,1.7578256376906833,1.833789815662699,1.7805572909135328,1.695086342453521,1.7195489432307591,1.758515382395074,1.7604645117211497,1.7525157367308615,1.7463844909437647,1.7637813624127991,1.7357295928742553,1.7710602070840904,1.761785826777316,1.6688253675885534,1.7266476408900866,1.7120626801460408,1.743294470023402,1.8052971271576992,1.788897636809768,1.74138367324464,1.7823611894525566,1.7199997075831923,1.6924103980268703,1.7320018129527768,1.7424278809885434,1.7352197279976183,1.7303188599188597,1.7466942088093746,1.780047360364458,1.7453590394647855,1.7319089631742453,1.7675408756229456,1.7846304652739364,1.7613962507577874,1.7799803529600098,1.7643664698970614,1.7948820861423371,1.771452706519967,1.7844139454131456,1.6837975310537847,1.7033724507354497
