Attacker,Fast Move,Charged Move,Level,"Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Poison), Tier 5","Arceus (Poison), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Vileplume, Tier 3","Vileplume, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Garbodor, Tier 3","Garbodor, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Nidorino, Tier 3","Nidorino, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Seviper, Tier 3","Seviper, Tier 3","Toxicroak, Tier 3","Toxicroak, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
Delphox,Scratch,Psychic,40,2.0122626815367672,1.9961697525866589,2.0208812016168016,1.9905713740435649,2.4912618310599157,2.1860363455952885,2.5791959845272032,2.3233101727238026,2.0225953301645667,2.1220983650736387,1.9258043356934307,2.0556305511375754,2.9372958713651354,2.4048730546607118,2.057217521068919,2.0677030614966445,1.8754937944495964,1.9709470815232355,2.075508016078539,2.1505017135344127,2.0795565436641965,2.1329112647333317,2.143963543379341,2.171997268031297,2.0088329428081484,2.0731905380956333,2.1396027600916523,2.1602694736909624,2.110959367820641,2.1789515109693656,2.447940812548558,2.506622822637178,2.111943403324535,2.1181747052522963,2.1101822379353767,2.179208736647036,2.5066232104887267,2.537665291589554,2.184074732613342,2.218944953120202,2.113730425072871,2.1148719134448717,2.1837271522803463,2.1699738140756795,2.170816918617373,2.2161454835073937,2.176313815955468,2.2317008300825636,2.1551585219861913,2.2047109216313276,2.183578821443824,2.1640210810892833,2.1242015613910574,2.1311121643725595,2.180015999998995,2.1919059938318832,2.2231871603977607,2.239483477184785,2.1177386767157635,2.113648071128331,2.210815199173735,2.2126924754566213,2.31785193813539,2.445250523392731,2.115376815882745,2.178075147910665,2.1125662778271668,2.187991398131357
Latias,Zen Headbutt,Psychic,40,1.769092065350002,1.6928707526207936,1.7732143077241447,1.6911999184675486,1.729489693022453,1.7072605974827475,1.7600699894239977,1.7423445438606597,1.659908476507541,1.731783514653239,1.6568116642829076,1.6870416981358427,1.5136064161018947,1.7151655766500948,1.6715670592902563,1.6847460229818223,1.620060098947259,1.6938081646967051,1.6962234806925773,1.7507154593365297,1.7210532259690958,1.778774111181199,1.778247348231896,1.7575464831706666,1.6542928162025872,1.72256773270184,1.7354521613803569,1.7601186645918125,1.7475590625030606,1.7836425552972082,1.6886140823772,1.7052989630962345,1.7255983370599763,1.717501217690004,1.7657721016106476,1.777838653480113,1.7871303237094702,1.7577792130561465,1.7511786941625762,1.7621465206509022,1.765935077716053,1.7670150033820884,1.781353620615531,1.764240501747857,1.7570796183056159,1.7735650129109093,1.7547080141558564,1.769207313542869,1.7281913594460652,1.7105625413778411,1.7207716205216534,1.7524544646516578,1.707459622600746,1.7532922935877295,1.7771236306648688,1.7923320939135052,1.7293577531872701,1.7418616653352255,1.7838339304917932,1.756609907724393,1.7841449379149203,1.75666871231123,1.7377135388826923,1.7961223460836844,1.6934805184804915,1.7406817647605457,1.7297493922567775,1.7632879954784175
Latias,Charm,Psychic,40,1.8597201641289147,1.8218371130890896,2.4312811223088566,2.4031310943238315,1.7929638212415362,1.788168394946407,1.8171535724735337,1.8168076660242265,2.2026584082699228,2.3718451377918996,2.0076080576943744,2.090398786207127,2.0025067236419183,2.402474996597074,1.7558419049199006,1.7768194961780697,2.177482206667881,2.3388296991373205,2.326793268948578,2.4525950797075944,2.3861331324642165,2.5139745622573924,2.478979025109054,2.471745360256609,2.0639558297165483,2.14116300505937,2.1446475849795825,2.1828506350212487,2.4229656209308565,2.4828901550119378,2.311469487065534,2.353781970097451,2.428376630869851,2.46852109439423,1.8409660072901013,1.8664773773227976,2.4146674629460705,2.40257249338155,1.8680711619071282,1.8817785412827073,1.842552888983674,1.8449530390287003,1.8718698249665005,1.8670514649215062,1.822414755015324,1.8556726212356778,1.826763244817752,1.857513340588864,2.160664825860543,2.160360238209728,2.364643972876339,2.4743951730485505,2.4143746262393813,2.503210878047144,2.5011624832485686,2.549437838517606,1.8062728019346785,1.8280913898387177,1.85147668826057,1.8286908678105112,2.4558185992273884,2.4765889213868166,2.4141287119229546,2.546230755456659,2.3180968502498707,2.424247691828334,2.4625446410367555,2.529852375391155
Latias,Dragon Breath,Psychic,40,2.070151444172846,1.981833537324233,2.0780565802742013,1.9813828299045315,1.9861517994379032,1.9724701652705545,2.0145030819783396,2.0040754374139014,1.9036108760893344,2.017690637477878,1.849962046168453,1.9017792453994748,1.6837721994138428,1.9346949357981316,1.8862371029995006,1.9042481013587034,1.8520890574988047,1.9632817105560842,1.9208511216435147,2.012722201755318,1.9724194352616682,2.0453020806240225,2.0990401372592578,2.0830148102988573,1.8888433894996517,1.9861338594832636,2.0061558675859,2.1014029833548173,1.997233552641749,2.066043822590279,1.9605030968652528,1.9975946605286428,2.0164343142312915,2.0194028501207093,2.0413043704999607,2.1101393400995945,2.044039434665269,2.0638869998686102,2.059626901989503,2.097676436568008,2.1148971302123316,2.1371259200045545,2.034711476945257,2.029463976258095,2.0283955796567237,2.0916990871246006,2.1006080815198196,2.1077603343063127,2.079921299131254,2.067308178203593,1.9730620294410226,2.0496999526097173,1.9339603475659195,2.021017608387799,2.095240430406377,2.154911432978516,2.06958026790876,2.110945388590691,2.028925583947797,2.0205306364932283,2.030274677551709,2.019808447683242,2.2824815465946555,2.425575695427331,1.9723503485284208,2.0632587539243925,2.521064569607504,2.6249219751911497
Latias,Splash,Psychic,40,2.4156979824732976,2.4080534260253863,2.4263837623469726,2.4052843047847574,2.3204136207077224,2.3559527931183517,2.330425567168492,2.3990589966808744,2.2389697549095353,2.4124603337259996,2.2457809589544233,2.338655998316597,2.0243460219189515,2.4014364884397743,2.2795788273898316,2.350137714807268,2.1556177791585522,2.323351676224323,2.332743091855612,2.4476621354499675,2.302075847735131,2.46222987247411,2.4063813941051717,2.43636235570834,2.297487891053565,2.404880598528643,2.43522105780399,2.5244763402727015,2.408113122089867,2.4737168608439064,2.310774912541491,2.381114646698647,2.4030407025994047,2.438209959389401,2.4821085519070856,2.552285994633977,2.4151422157990976,2.4643829468212304,2.441153418187812,2.479533822361481,2.4586062023798196,2.469128300344173,2.4449637849664794,2.4533758553004144,2.4264702477292603,2.497365186953924,2.413678953295956,2.4446302174968846,2.3848701449903396,2.421815956476691,2.3476634930895357,2.445569150029399,2.384435518403804,2.465348438450734,2.4480223562971597,2.5240464194265297,2.4048280289950794,2.4566500657949537,2.415757131201528,2.442821812803812,2.386781689687317,2.4184198395568948,2.3691169246075274,2.52099065562006,2.3414594972206793,2.426685871821082,2.4133947270899268,2.484535431349151
Beheeyem,Confusion,Psychic,40,1.776823700672556,1.7467154855657852,1.7855047981955439,1.744116674133198,1.7320834884942795,1.743218721976627,1.7910209486061395,1.7527130272197597,1.779613084197393,1.8012300627177353,1.7900294234149772,1.7777273086479035,1.7638510147154831,1.8153547793283593,1.8813908585960768,1.7480320490058328,1.7770449310714493,1.7598311022961706,1.7355446455287977,1.7317363417559946,1.7878250439815966,1.7613868526998644,1.771743856993247,1.7171620976011384,1.7681748916868594,1.7273375030999014,1.7270689478928984,1.737983808395645,1.7012800061955138,1.7288893968292585,1.8029273118940596,1.7850254913920056,1.7448075039288875,1.697119947273336,1.740571045463987,1.7395563885299656,1.796998285116989,1.7897056865063508,1.713171479030895,1.7262013356893433,1.7179783667784094,1.708429117215847,1.7204033147476785,1.718198067776836,1.7796538195357852,1.7401791438569307,1.7108922906269963,1.7148299646402692,1.7056574371376099,1.701053293989706,1.73333327921741,1.7118795525307107,1.7094782112520077,1.7141227513621553,1.7650999598084949,1.777538030252113,1.74762812814501,1.735849290732472,1.748262392470495,1.696293281120691,1.771688591970052,1.719463085095117,1.7385632143066805,1.767679831337368,1.7324507913679659,1.6943639978061662,1.7164776598567213,1.7193561450708046
Beheeyem,Astonish,Psychic,40,2.07672481026108,2.064634367394412,2.0812813257684124,2.0634820216692944,2.052261421688835,2.0947185922052145,2.113500192702957,2.0832807510565625,2.0599291349784328,2.136256463756548,2.159033190130836,2.130799453419323,2.083942761899837,2.034207377543282,2.4934218859096577,2.290832315856048,2.1922109501762956,2.1428465357136703,2.0811721588266754,2.093459340940756,2.130223352746987,2.1333765881048143,2.1217639111055897,2.0763837186694816,2.1164544292715286,2.076192117538339,2.07874603295109,2.1334662531925166,2.078192935380398,2.117871123060136,2.0123227222558544,1.9855806616863094,2.1133974926532266,2.0905883846699402,2.125653732566688,2.160579690580006,2.0052915970732452,2.0049295243461165,2.1007064886602387,2.120243227465855,2.087138959085749,2.092536767745895,2.1160608288447547,2.0946072324245613,2.150315464228167,2.1414689808417307,2.057481629536352,2.0903509207412037,2.071231993992205,2.0437929006857534,2.0936233262328856,2.0953308151544503,2.0716088007314504,2.0931447954323192,2.086168615576886,2.108414386014844,2.095718315361101,2.0978755158356304,2.0979807508446062,2.071852882824374,2.102159400855219,2.0612827134534313,2.1657468543985896,2.231995164068188,2.10275885307758,2.0483873318865693,2.094584120050865,2.119112579003118
Shadow Slowbro,Confusion,Psychic,40,1.733288514304472,1.7444323953934802,1.7398353227844567,1.7406695841098123,1.754121358763895,1.7301396696564526,1.7568116235233207,1.7599367125771785,1.7443991550106832,1.8063373807697445,1.656425793376899,1.7435943666254234,1.7930818360959646,1.8127807413841155,1.7364949503482976,1.715354811754042,1.8991494024594648,1.8465470728127127,1.8267841567366132,1.7862230938675274,1.7893071239883336,1.7809109443179922,1.7722798149619883,1.735376013705218,1.6810845385157605,1.7130255914163044,1.7337967460186041,1.7560139802949954,1.7427754409714624,1.7587357034699413,1.7451192854570097,1.7661094996404352,1.7841585505885957,1.7385936985474462,1.7401367872365483,1.7597457129382392,1.7958258195471961,1.7945979728601418,1.7751968762495085,1.780497804496587,1.7578589011806605,1.756195089474782,1.751241416159099,1.7435606896052525,1.7611855921299822,1.7659276346915562,1.7560609084896934,1.7511377150189618,1.723839474768388,1.7158487375291127,1.7067983918444205,1.730763717194627,1.7352224232434044,1.7567805221605157,1.732716130117502,1.780978901983744,1.7034898186983904,1.7251278813611426,1.756471169407439,1.7306150214693519,1.7571507332372878,1.7406262272173354,1.7490658204929355,1.801558949135826,1.864762134280351,1.7956130616915476,1.730210330440225,1.7636747518649358
Shadow Slowbro,Water Gun,Psychic,40,1.9607086448308766,1.9604119313349537,1.9676861405768709,1.9520596423211793,2.179183426163997,2.191946353451137,1.8565364009178678,1.8597824649735855,1.9960811867695938,2.036272209834793,1.7136740802974,1.812122432650169,2.091552535108303,2.015835596549109,2.0123359529398717,1.9868204411097343,2.4690035528912078,2.2660314486447355,2.360090194480052,2.2729853672820433,2.2356181697623425,2.254611720048596,2.0915814591966337,2.08740012657383,1.779432003872121,1.8265363868752824,1.8229382554130902,1.8548102621889466,2.038144569035278,2.0690349183942067,2.027657737047536,2.0221095586666333,2.234751337788056,2.2278986320660854,2.096094616417345,2.1913185501803767,2.0432687677199124,2.033319400589176,2.118023029221452,2.1416760907839594,2.1362193381427357,2.1650788376150203,2.06516302639053,2.062700428767899,2.0754575929673176,2.1179384407009345,2.0806646916277325,2.1427954431505847,1.8492545848329847,1.8866951876710745,1.7758796934575738,1.7970515533091054,1.8213272335464004,1.840153326047532,2.1714608164846827,2.20590234206122,2.2168328186270085,2.2851351536823086,2.1236234406779686,2.150535181188428,2.11256608097519,2.0887463560141186,2.209435413853726,2.2976802710709823,2.300906126708068,2.2066937433834233,2.0818253295770885,2.116044545066227
Shadow Slowking,Confusion,Psychic,40,1.733288514304472,1.7444323953934802,1.7398353227844567,1.7406695841098123,1.754121358763895,1.7301396696564526,1.7568116235233207,1.7599367125771785,1.7443991550106832,1.8063373807697445,1.656425793376899,1.7435943666254234,1.7930818360959646,1.8127807413841155,1.7364949503482976,1.715354811754042,1.8991494024594648,1.8465470728127127,1.8267841567366132,1.7862230938675274,1.7893071239883336,1.7809109443179922,1.7722798149619883,1.735376013705218,1.6810845385157605,1.7130255914163044,1.7337967460186041,1.7560139802949954,1.7427754409714624,1.7587357034699413,1.7451192854570097,1.7661094996404352,1.7841585505885957,1.7385936985474462,1.7401367872365483,1.7597457129382392,1.7958258195471961,1.7945979728601418,1.7751968762495085,1.780497804496587,1.7578589011806605,1.756195089474782,1.751241416159099,1.7435606896052525,1.7611855921299822,1.7659276346915562,1.7560609084896934,1.7511377150189618,1.723839474768388,1.7158487375291127,1.7067983918444205,1.730763717194627,1.7352224232434044,1.7567805221605157,1.732716130117502,1.780978901983744,1.7034898186983904,1.7251278813611426,1.756471169407439,1.7306150214693519,1.7571507332372878,1.7406262272173354,1.7490658204929355,1.801558949135826,1.864762134280351,1.7956130616915476,1.730210330440225,1.7636747518649358
Shadow Slowking,Water Gun,Psychic,40,1.9607086448308766,1.9604119313349537,1.9676861405768709,1.9520596423211793,2.179183426163997,2.191946353451137,1.8565364009178678,1.8597824649735855,1.9960811867695938,2.036272209834793,1.7136740802974,1.812122432650169,2.091552535108303,2.015835596549109,2.0123359529398717,1.9868204411097343,2.4690035528912078,2.2660314486447355,2.360090194480052,2.2729853672820433,2.2356181697623425,2.254611720048596,2.0915814591966337,2.08740012657383,1.779432003872121,1.8265363868752824,1.8229382554130902,1.8548102621889466,2.038144569035278,2.0690349183942067,2.027657737047536,2.0221095586666333,2.234751337788056,2.2278986320660854,2.096094616417345,2.1913185501803767,2.0432687677199124,2.033319400589176,2.118023029221452,2.1416760907839594,2.1362193381427357,2.1650788376150203,2.06516302639053,2.062700428767899,2.0754575929673176,2.1179384407009345,2.0806646916277325,2.1427954431505847,1.8492545848329847,1.8866951876710745,1.7758796934575738,1.7970515533091054,1.8213272335464004,1.840153326047532,2.1714608164846827,2.20590234206122,2.2168328186270085,2.2851351536823086,2.1236234406779686,2.150535181188428,2.11256608097519,2.0887463560141186,2.209435413853726,2.2976802710709823,2.300906126708068,2.2066937433834233,2.0818253295770885,2.116044545066227
Alakazam,Confusion,Psychic,40,1.594136250239787,1.4941001894545216,1.5993249742712123,1.495015731419971,1.5477368378495289,1.5019603448337029,1.5374762837588205,1.502140794520197,1.499884710757584,1.5543314701188382,1.6299133982220362,1.5345985583699047,1.5300174588514968,1.586725996409103,1.5698133726847323,1.471030406060271,1.5274933199103644,1.4872288053224176,1.5343636084523564,1.4927995854117182,1.5172667770889354,1.4908510116422444,1.5233963799963945,1.4556434701700727,1.5249424160999194,1.4768030434236812,1.5012317354348255,1.4696450657196192,1.448213658223629,1.4563363156120854,1.664880140140884,1.5290972227604496,1.5040828344496013,1.427823804475683,1.5290128496465194,1.4767994906310833,1.6164818217692118,1.5778359469680983,1.4621688316864063,1.4407302067858505,1.4850681130013605,1.449113850218698,1.483330574212256,1.4440459509748402,1.5471629935154614,1.4801604109761648,1.4565164405710402,1.4328662225061022,1.4583487844816239,1.4276144250658178,1.5404154461880548,1.479453169816502,1.4853649509669031,1.4572543132581095,1.4713727354918618,1.457688649997127,1.486083632652645,1.4541540126460928,1.5052406622335979,1.4519624754531095,1.5401706867589873,1.4517500356021809,1.4976241015326084,1.5123351781282839,1.5261979110161619,1.4569406225458306,1.4387161488417177,1.4496668275796913
Alakazam,Psycho Cut,Psychic,40,1.6720020991865652,1.5275256472770453,1.6842488158211566,1.5232313484463276,1.589980017324845,1.5084962884541284,1.6004727114121846,1.5145912121673393,1.535044271069088,1.5463659431442287,1.6587111380863457,1.536227269289707,1.5610382434574428,1.5475931267379226,1.623497626531418,1.4935572239332342,1.5717073470353118,1.5215564662694143,1.586363451656637,1.4905801315178346,1.5690731308456103,1.5315594004530055,1.568189383744555,1.4934982785378743,1.5880898244102803,1.507790569821604,1.5655521767434244,1.4931208990382532,1.4978243382030973,1.485396354854877,1.6518953450387148,1.5179933352065833,1.5849815858474159,1.4970977815866433,1.5948856355521652,1.511365834529906,1.6267401769699585,1.5537949681500565,1.4986869927240594,1.475177159775026,1.546279034589364,1.503396321705262,1.5392100400201096,1.5029106996112562,1.5796003890480448,1.5262535852548702,1.5236696266291547,1.4900771946038978,1.5277179039040183,1.4748796853841135,1.5461600123314103,1.5121634370675263,1.5601668923636933,1.514813455288383,1.534969843185317,1.5228563597761284,1.532790662649421,1.4918189959120458,1.5545191208129596,1.5045343444638246,1.5747141830817972,1.491915988644142,1.5308627861732576,1.5640964982004655,1.5841839358030367,1.476336953887586,1.4813892166691487,1.4681128840293836
Alakazam,Psycho Cut,Future Sight,40,1.8491081456271867,1.695741610580442,1.8538351860832247,1.6941072696360673,1.7881369409718808,1.6523100737467529,1.7553386695555793,1.6646781154981385,1.7665147798256247,1.71151667477114,2.0378119360155056,1.6860607945473565,1.8087689456188765,1.7368830495401186,1.793966554804368,1.639942645988948,1.8266850163805632,1.700557600909219,1.7324822034806187,1.6286084960297655,1.7261832176799596,1.6664701426598623,1.7642964326412527,1.6181160970624475,1.748108828001741,1.6458558009708335,1.713460677421611,1.658608013631177,1.6440971829978897,1.6281502870452986,1.860325142462196,1.6725258707053898,1.7034982491419062,1.6201922341010504,1.7526396900708061,1.6834023225492756,1.8205267270843462,1.722763474571988,1.6281179829888142,1.6046003044538786,1.68643017107165,1.638163590834879,1.6990610080232131,1.6320620116750901,1.7693408002335045,1.6670172519184128,1.6507175980438549,1.627217902429396,1.6321903819627404,1.6149601695089648,1.77881994320373,1.6364995262822106,1.7351276775479298,1.6641272294175173,1.7100387592786275,1.6828046970591783,1.6550594311272735,1.6399087425220404,1.7142562467307365,1.626769073156594,1.7750171446254555,1.6440398962366178,1.7253604323148557,1.682709479218035,1.7311910146959015,1.6034326207018443,1.6274238100259266,1.5884542227086973
Alakazam,Confusion,Future Sight,40,1.7967612096480252,1.6056682550192671,1.8013001596361364,1.6016926026649945,1.6738635963956487,1.5889437121802938,1.732279358739668,1.6102617604644833,1.6576164753177218,1.6743579873031924,1.890035285801187,1.6907813834108638,1.7043277960395213,1.7108694637637005,1.7680023767277002,1.568500832189151,1.7329612511082206,1.6167805453020054,1.636790925221987,1.5892534246932533,1.6412118583522328,1.5928817120703713,1.6517746313903352,1.5555086656116208,1.6498114873430616,1.5958125501037475,1.6283541551717646,1.5571456126481489,1.5334107066286526,1.527126141454789,1.9002949295728995,1.6676129249333451,1.5993877818203648,1.5020529262435058,1.6433646781150972,1.5587919903549508,1.7800362129380443,1.7068821108268142,1.5524978384728814,1.5355985405330237,1.5863336558585381,1.5368316502287291,1.6002693595688382,1.5246858753550003,1.6326702075080266,1.5630585282986513,1.5752829955174776,1.5559269241985165,1.5817239870291897,1.5331452565727526,1.6553070761995934,1.5671340320814955,1.5894933550144328,1.547989906880524,1.5908411213662272,1.5529910492808527,1.5852269741151221,1.548878251980664,1.606820987973119,1.5426151832296895,1.6357788638806594,1.5593078676076244,1.6169818087066499,1.610685543078735,1.5960145817933438,1.542141465823389,1.5309154616737803,1.5143316494926191
Alakazam,Counter,Psychic,40,1.940908627400383,1.775218395364584,2.177742444617867,1.9869605527017795,1.8340919449622517,1.8030416387802473,1.6371487068598263,1.5732727514159197,2.1046976069526817,2.189921275608914,2.015820707146355,1.8616231474707203,,2.346489347221592,1.6295755618815104,1.5160476691864213,2.06500021643566,2.005135773059184,2.081959215873637,1.999346403436967,2.0191230976024617,2.034595501458289,2.1809044112069853,2.089540960140851,1.901856936782141,1.8149208753814738,1.816639696612294,1.7916473762206242,1.9774101139729352,1.9825546567677772,,2.3005513300883815,2.0541963931340077,1.9744509797841874,1.866750108549353,1.817124227925642,2.384090070892798,2.354290950822573,1.798678329776161,1.8019775008686731,1.8031148220022375,1.7750226618324005,1.7981342123779496,1.7620374778058325,1.8769722555763124,1.8100552536241317,1.7740595074863053,1.7790216852697778,1.772621969584892,1.7631322628499468,2.044752698494172,2.0105381499834,1.9838502678391865,1.9508680284984086,1.9923835182554888,2.0392565647181433,1.7910179105250317,1.7637641556915973,1.8157361596110186,1.7588126165360467,2.070717610180328,2.006458590992218,2.165316146201848,2.1638189783338126,2.1142864109194868,1.974562645428025,2.098618137504363,2.1464835504403332
Celebi,Confusion,Psychic,40,1.7494401247844564,1.733891947777025,1.7499034451718074,1.7295876739846332,1.7593333161704474,1.7563902942531124,1.7519655157786196,1.7562977984160966,1.7675437044075717,1.8469568625171937,1.8387661777780375,1.8296127671036855,1.540108619485078,1.7835154492834409,1.720166130658931,1.7555771297792095,1.6347326015685053,1.7255126394840357,1.7129954919178374,1.775895592086982,1.7523223168886841,1.7941375784337867,1.826827506949729,1.790897183692711,1.8032060813396746,1.7811782722963008,1.7772532449249572,1.8096736823947657,1.7577763848057446,1.7757161723599164,1.7098313716380527,1.7750565883023828,1.7883936504421,1.7691453543114863,1.7727899590472687,1.7967103160062576,1.7964410077614619,1.7756149314169054,1.7697691558265995,1.7946997507186524,1.7906496368511604,1.7900222483907242,1.7760269266302775,1.7771180154901454,1.7816512358632772,1.8050081276769008,1.7837705952605272,1.7865750679224404,1.7767823894574695,1.7822882930953297,1.7213453224382478,1.765395044455412,1.7573737868060226,1.801337152948703,1.7916280171648682,1.807651449351012,1.7592166684838926,1.7864334735843463,1.7657370049495726,1.7574514466236622,1.7786481697777212,1.764447840668618,1.748519680027684,1.8350641714398626,1.7373854292190307,1.767407358817516,1.73236551284223,1.7897473002047748
Celebi,Magical Leaf,Psychic,40,1.934493688267737,1.9241335749641661,2.126932106489906,2.1243074596103564,1.733321464351901,1.7242186011441727,1.7304851727492276,1.7197106019810553,2.2085334799959977,2.4023820722027547,2.184925218931306,2.20498428491719,1.8688646586731483,2.2176321469545432,1.9113098803801487,1.9542531412043724,2.1066763330466594,2.2757936618977292,2.2056014655063785,2.3245108481384706,2.266344315799858,2.4103809112756474,2.3802198648699444,2.3276506836648796,2.1668136848326567,2.1696012244049783,2.161507087036859,2.2361692369825854,2.174218857949492,2.2204176237408815,2.0642840849493305,2.178451544899079,2.296868119272583,2.292978717015908,1.9624506662614685,2.005719004381297,2.1669127317603882,2.1984938586483915,1.9973382484492295,2.0204068646400386,2.020665645976382,2.034988978438871,2.0321997500828184,2.020207017827718,1.9734850080588586,2.0215064526777597,2.0321806403859743,2.0153979270761946,2.1529586667707314,2.1559861049602023,1.9471967388633054,2.000728454983814,1.9576308134033549,2.0306089128068048,2.180847520235616,2.225995805488006,1.7531368716157438,1.7714347812108642,1.9816917141251036,1.9695912229611094,2.190239173932792,2.194806421076292,2.3092122324423583,2.4250784550605657,2.2420778701165203,2.3083311012352157,2.1703247422671152,2.260967386074183
Celebi,Charge Beam,Psychic,40,2.0441172613519027,2.033172184072224,2.049207784515926,2.0288780681956453,1.901230977751461,1.9121189803855607,2.0422338895433176,2.0561578715914752,2.0255532011781114,2.1378989588645063,2.1119073406251916,2.1184860157122247,1.798374386681341,2.108628523648714,1.9833503808630732,2.032895031708162,1.9871367051886157,2.1112027353701586,2.109016533739196,2.194092887884537,2.1605880498471035,2.281099461189643,2.101073964112817,2.083806859626246,2.102684893967938,2.0940502457107883,2.085021128701259,2.1421413987213214,2.0610762720364115,2.120225129280283,1.9938692222011156,2.0735010159030507,2.1923848151676526,2.173571014778302,2.10101388850921,2.1459950313738756,2.092747695352681,2.1199749770216885,2.1131671007807693,2.139216645858185,2.1365123776368256,2.1392274043473147,2.115333353540981,2.104467276110347,2.0983405571346765,2.113419665819361,2.1155036606052646,2.1126803240472394,2.040756763914091,2.0461260721099865,2.155376907679537,2.244653637419206,2.198755232648659,2.262687542643847,2.092131412471146,2.138795986722694,1.9501741399096513,1.9901225784702823,2.0638976767270174,2.0633278963886523,2.051880381982078,2.049389579902011,2.13073932060983,2.26479514631628,2.1433346228839305,2.1932638011993197,2.0634943245863457,2.151736741078337
Victini,Confusion,Psychic,40,1.7487116195410182,1.7307130168374663,1.7502752748812314,1.7269422354759694,1.765940688693417,1.764237795209094,1.824960308266721,1.7996002714329749,1.6106402356222829,1.7072190325770675,1.6802800172944183,1.7243721170314232,1.5075263025216015,1.7438279351045831,1.6939377084157965,1.7278857150853895,1.6181123939046969,1.7051018674042315,1.688435946280637,1.768252249316016,1.7366223577321154,1.790543381732486,1.762199585008167,1.7721766029409551,1.6793343154537157,1.7498571267476173,1.7734110134662968,1.8195544760287237,1.7358328593262295,1.7694265776977973,1.7008880741664472,1.7340652362972413,1.755308849090884,1.7775350029456127,1.7698331047809062,1.7951401611910676,1.7811438574832723,1.7585690990388314,1.7639365408194176,1.7851724173961165,1.8007834312925386,1.7962986803367718,1.7788536058185112,1.782372572479658,1.8125231909403041,1.8034957948861068,1.7837705952605272,1.7865750679224404,1.7896328910713137,1.7814864594839017,1.7259623613807829,1.7727616657563703,1.773040174752717,1.8018166981066814,1.797532890822831,1.80278735581177,1.79527843559608,1.7948783155288688,1.7608788776822861,1.7582176417942494,1.768623505910484,1.7614977204785873,1.7288108766693546,1.8150457660277415,1.6972507602586517,1.7599143785383309,1.7124467859800785,1.780190971606398
Victini,Quick Attack,Psychic,40,2.012415168951704,1.9868615393276283,2.016411224669064,1.983004574250889,2.00245695167572,2.0083819602224016,2.174008631207147,2.1823996218300494,1.8122460658715935,1.9213772684060042,1.8749653887903441,1.9457805502839778,1.8496895387917724,2.1997085799104217,1.9186516505259388,1.9445863452898813,1.8713263015312525,1.982688334443297,1.9348226463915845,2.0451998847275723,1.9793992023834328,2.0902603579277117,2.034452953750175,2.021271948279369,1.9106942113542864,2.0008569794653535,2.064576741511307,2.099993167688631,2.0196531571705365,2.0622862087466953,2.1208599361807288,2.1796041102376433,2.0632878149901606,2.031636783383055,2.0709656579009104,2.074017042469422,2.2311069492480122,2.1961687910380685,2.082472947933812,2.0955334695524743,2.1095884905557876,2.114349253452141,2.083649615896268,2.060073831532962,2.0722493583418347,2.1048876009798336,2.074319460036387,2.104952398723925,2.0194754362660037,2.027757872307419,1.9971349128835287,2.028829419079682,2.02553960138884,2.0606935400279567,2.0691299540613795,2.1368920597605143,2.0971226125379165,2.1123611222612935,2.047562935198402,2.0594864012994747,2.0286323935994734,2.0399674824657357,2.130447114656747,2.200536978955292,1.9673821117367472,2.0547476271430414,2.0151419809959106,2.093286287302896
