Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
(Boss weights),,,,6.25,0.0,6.25,0.0,12.5,0.0,12.5,0.0,12.5,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Swampert,Mud Shot,Surf,40,1.4565508807204937,1.419884065680332,1.3053717602681325,1.2610398231903623,1.5199864938275733,1.5044713769316078,1.24703193321615,1.231863625553378,1.3055263183943353,1.3189091088502063,1.3005351925375974,1.2654835887631988,1.40200358343896,1.3770817362871333,1.4547637414171755,1.429842730318035,1.4253482322934878,1.3986570699130418,1.426709965126003,1.381566252972119,1.4250404637432994,1.4090591173456077,1.4618602358856072,1.4357901823248365,1.2353570893215522,1.244973979914659,1.4608912238915501,1.439870918930055,1.4655847181121626,1.4121745840618842,1.4533203671022508,1.4051239106128297,1.239776484302762,1.2301065851439419,1.2598174760730925,1.2305873076637264
Shadow Swampert,Water Gun,Muddy Water,40,1.4414206540141412,1.406616475167662,1.4459749012367273,1.409413077817502,1.4556345127608676,1.4866083291482193,1.3872172179371935,1.3703818918795803,1.4448621967354829,1.463852137973014,1.4317342142234493,1.4148257791509582,1.4044878944442605,1.3721603261929294,1.4753904816154926,1.4554784341556137,1.3866745787980677,1.3667586004646288,1.417427978955003,1.3580449866941438,1.380157639656239,1.3723950802446463,1.469742556979503,1.4479071216745039,1.3817709252383774,1.3753510852474546,1.394007966232178,1.3706078780656308,1.4190411628258148,1.3708287613984722,1.4550537540900812,1.4047719562460383,1.3861173860773588,1.382919762264943,1.4011517928325357,1.372255552606773
Shadow Swampert,Mud Shot,Muddy Water,40,1.6117818783765843,1.613969268526445,1.4804308892896203,1.454171377639432,1.6521381397932868,1.6745757796372633,1.4286602094205592,1.4140356559671192,1.4755491178809343,1.5014304526981141,1.4703902171566032,1.446106911621605,1.582378231066288,1.5629530547753303,1.6307565016835288,1.6145499955753693,1.573816911691854,1.573846580092066,1.5854923023678746,1.549073208487082,1.588216476373332,1.58335572207266,1.6345931698750298,1.615322983170193,1.4305243193674693,1.4210011493263686,1.652777562438399,1.6232551944119333,1.6344896845210881,1.6062717048064927,1.6122902458605064,1.5708913923789836,1.428792273726829,1.422426376751094,1.4420247757722504,1.4119926186663607
Shadow Swampert,Splash,Surf,40,1.95414810416298,1.920671368296195,1.9648947088109034,1.9155360768432754,2.094091797949773,2.008957212451549,1.8627335501968387,1.8689847707720895,1.9140412612416424,1.9340550525288298,1.9023042137446504,1.8855008811274778,1.8110741133994734,1.8092574383177122,1.9184060766531894,1.8876313716682025,1.8693067416547355,1.8599892497081945,1.885931440765468,1.8425698219037805,1.8108294908067881,1.8093728857709341,1.9377501780960105,1.9150103366192455,1.9116617334273418,1.9269250918273453,1.9089152140909185,1.9123941270599603,1.891878972474436,1.8568141972425194,1.885555477722003,1.8219784375247465,1.8540760612969716,1.8636062436316354,1.8886213170802124,1.8612101226175752
Shadow Swampert,Splash,Muddy Water,40,1.9824798131943762,2.0588165793420004,,,2.0698420552626087,2.1030178630009915,,,,,,,1.9538309893490273,1.9553285523380515,2.0202426523293857,2.014862442029855,1.9240747930294435,1.957171758969757,1.9728466907199902,1.9542375688584037,1.9513970629849604,1.9829373769282053,2.0473717001494114,,,,,,2.029643017037199,1.9948467350245345,1.9757336361096662,1.940673283146127,,,,
Shadow Feraligatr,Water Gun,Hydro Cannon,40,1.0649296800711499,1.0618134622949154,1.0658053538099332,1.0599227880510005,1.1203112494794312,1.1084865315910095,1.0346742919664011,1.043247001118703,1.0844038533661962,1.1071885456137458,1.0914264119110195,1.0766126770156568,1.0391752218981987,1.020351538700104,1.099512819812836,1.0854297089122225,1.0595568327604763,1.016243000178153,1.0551165222549543,1.0229646339734901,1.0397134440829616,1.027158806435319,1.1012392320428794,1.0824142396255687,1.0851978560518984,1.0901545019778702,1.0945003710969443,1.073040207296952,1.0747402586453036,1.0663640224383153,1.0774383853610872,1.061342370228933,1.0475861809969003,1.03997832925691,1.0613097045165552,1.0289579550315084
Shadow Feraligatr,Waterfall,Hydro Cannon,40,1.0857666336856475,1.0779506825572136,1.084632097839526,1.0780465265183907,1.1100611299577292,1.1082363839753733,1.0811163994374917,1.0862812586372506,1.101643256774131,1.100345955502467,1.1066578160336435,1.0583599163860704,1.0572443687893691,1.0265394497089242,1.1074871672651583,1.0750574000954272,1.0879558423124402,1.038310609614881,1.093561527429386,1.035964989114838,1.0386296169791636,1.0265614199396502,1.0992905491165532,1.0642505852525463,1.0553251532896335,1.0495495855728925,1.0851420349125598,1.0576763986594606,1.0629336956396116,1.0444309079749792,1.0918932852645513,1.0488188072369922,1.0648444030743993,1.0307551139996503,1.0971349072753231,1.0533007051774101
Shadow Feraligatr,Ice Fang,Hydro Cannon,40,1.08921209541314,1.075956596855507,1.196485867566624,1.1775966908067472,1.1231816633018628,1.1169554274475757,1.1581971676884477,1.1659336502665687,1.1796002336040015,1.189464771674178,1.1703621412992509,1.1275994550652881,1.031749532224764,1.0053292540839394,1.0969983651384463,1.070771544870036,1.1687711419535878,1.1065310977862028,1.0673096688313082,1.0341220125525745,1.1312005062007295,1.0986262932860356,1.095432127967257,1.0663647238696476,1.1436158196995725,1.1477845836052274,1.1701808719991538,1.1483519430537228,1.136133609471245,1.116649086197681,1.1571334753324531,1.1319762982218695,1.0584480226476782,1.035668441075992,1.1803509499659979,1.123495943560665
Shadow Feraligatr,Bite,Hydro Cannon,40,1.2792718183407583,1.2991199005674625,1.2866454321343321,1.3013861737335186,1.3510569416355498,1.3454670992014977,1.2904013982629425,1.328467699722574,1.3978388330358291,1.4905808333442763,1.320861405309374,1.31650622695611,1.10814874207389,1.0980117816078845,1.3112426431119824,1.3054199740287065,1.3907128699988052,1.389859867063543,1.11609813228945,1.087486443315141,1.427649220041686,1.4649068738862985,1.306516184332896,1.296803251187118,1.3361935140692442,1.3637489643947547,1.4886861621543745,1.520261270173357,1.3027918133988778,1.3032208137114651,1.4293664349356463,1.433140641307333,1.3047112963456076,1.3117047852204842,1.3188535088323496,1.298346576807814
Shadow Feraligatr,Waterfall,Hydro Pump,40,1.3162188831862034,1.2893016245306719,1.3187373191260885,1.2910340783783676,1.384392666870345,1.3152122925514265,1.3211372118146558,1.2867430205427177,1.3333437817232363,1.3242944696889989,1.3334797053655814,1.2528771183939453,1.2587465807843778,1.2096694523079545,1.3273810371730816,1.2707793845774018,1.3237374998033309,1.2340713005123094,1.3160070244577404,1.2409694084746599,1.2376606330828783,1.2139280098208935,1.3091036183046127,1.2510560501191161,1.2236034242494738,1.2108369934367007,1.2514288746602786,1.2174461910605852,1.2534030157791558,1.2243097777795313,1.2995442276308864,1.2511915598111492,1.2599744660345868,1.2116198449801137,1.3065663942251124,1.2340531254543585
