Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,25.0,0.0,25.0,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,3.75,0.0,3.75,0.0,3.75,0.0,3.75,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Pinsir,Fury Cutter,Close Combat,40,1.4643022980655627,1.362626876643684,1.4360890790257923,1.3988812795820431,1.5490845631900054,1.4508069633002791,1.5215684992164544,1.4101490242023988,1.5757825594251917,1.3676704870534429,1.4444996392983926,1.3551432135888195,1.4193068558072388,1.3758021313919955,1.4957142645651111,1.4321868678641418,1.4018101200626347,1.4095459010180198
Shadow Pinsir,Rock Smash,Close Combat,40,,,,,,,,,,,,,,,1.6312946716565973,1.5499961340977897,1.502170020780977,1.4826590997169247
Machamp,Karate Chop,Dynamic Punch,40,1.1598840651229456,1.153889981290001,1.1708313540405013,1.2151633593649322,1.1888710717296789,1.2206953201616328,1.1552485476704826,1.1766091121395628,1.1704410604740236,1.1825231900424185,1.1852493117918035,1.1998510233918345,1.1891982465969897,1.2064735956445714,1.1831738729003543,1.210084333269977,1.2019002070564928,1.2064455076256846
Machamp,Counter,Dynamic Punch,40,1.1390629039551925,1.1374284629074576,1.1513308633120154,1.18486354331974,1.1761174874903675,1.1985261847901132,1.144232504355114,1.1544053304189426,1.1602462774220437,1.1664710268338943,1.1568502928528897,1.1733186401781142,1.171663298597674,1.1949399813281596,1.1815956229667641,1.1886132369170908,1.1773475583058466,1.184439075745362
Machamp,Counter,Cross Chop,40,1.3200758414689295,1.2903930078926962,1.3292488727283867,1.3570265551060936,1.3564689811313202,1.3621202173268565,1.2910536251794325,1.2912872772829547,1.3397413914846565,1.3286231428366497,1.318024403077576,1.3272102878814551,1.3598078732039516,1.3638176979307997,1.3509131938490204,1.3504151118626824,1.340466809286752,1.3401814462135901
Machamp,Bullet Punch,Dynamic Punch,40,1.3739212633171,1.4159566710353877,1.3783834931444783,1.4475893089552567,1.384140320214441,1.459995688415125,1.4848933986385218,1.5584491307991777,1.4741082862880308,1.5457685449447294,1.4261564838282947,1.4574890720460176,1.528378979724763,1.5781878664491618,1.5292866965634881,1.6075542955494126,1.4730219231301593,1.4890992696453038
Machamp,Counter,Close Combat,40,1.3292259976403753,1.2766950358058402,1.3103166825988573,1.3359297162228836,1.336884977505942,1.345804073540641,1.2880613223384234,1.277277237382699,1.3206888190050392,1.3141642994280263,1.2790005717775934,1.2962504979854281,1.3372269899817082,1.3341266482617031,1.3473725032855823,1.340964594109135,1.2975298932515027,1.2986862412787004
Machamp,Counter,Submission,40,1.3586698100257941,1.3122381335578328,1.375603302494228,1.3806088118614144,1.4124525917040658,1.4006782129055166,1.3525863670559262,1.3281407210051999,1.3837652545612988,1.3628583676812294,1.3458710653559565,1.3552150695459575,1.4017658864055091,1.391450270141211,1.3922030177091314,1.3826751601802338,1.3777328585189292,1.367023144421757
Machamp,Karate Chop,Cross Chop,40,1.3884260495150644,1.3684260431568156,1.4229644084647792,1.4527565240293856,1.4318836421037082,1.4505034742877907,1.3706357425104951,1.3755717717809783,1.4010223096344416,1.3956811558907962,1.4116206966854334,1.4369178456445737,1.4190550950977707,1.4307124965508562,1.4197203540209637,1.432378181912038,1.423272340020847,1.4268056912164127
Machamp,Karate Chop,Close Combat,40,1.3855146247043102,1.3454101459972432,1.427489269701568,1.4341535742834979,1.4283707228264604,1.4319624499054155,1.374220140913245,1.3688911407843918,1.39304237004991,1.387837592138822,1.381184590773292,1.391072845221578,1.3958620482020607,1.411422062223264,1.3961058227068146,1.4157717829439114,1.3664284355700267,1.382075630543014
Machamp,Karate Chop,Submission,40,1.4437679213997408,1.3926596615094111,1.458771430285286,1.4770910804765063,1.4954726755166703,1.4850142190082536,1.4285353903523499,1.4133046699994907,1.4538291489134514,1.423231910432475,1.4464725527545363,1.4620465057864658,1.474363328484391,1.4688070538380924,1.4743725162937737,1.4656860708543464,1.4630027758187394,1.4575043025636876
Shadow Scizor,Fury Cutter,X-Scissor,40,1.158278349812249,1.1354125131491586,1.2752974810121895,1.2132467997870375,1.2614157174643768,1.2357038533807163,1.2837593194441783,1.2041961347585457,1.2765971004708547,1.1740293543151579,1.268164113468404,1.2461317002515149,1.2802872869837107,1.2594040809265579,1.2322844878073993,1.238937746295611,1.238935683488869,1.248913561810591
Shadow Scizor,Bullet Punch,X-Scissor,40,1.2721899455736827,1.265421710185034,1.4303833042554903,1.3791150967700863,1.4014348028723358,1.4057790203903797,1.6025268409156612,1.5282709323054529,1.596638020411748,1.5016692160005873,1.3923107376268709,1.3722317905778427,1.5506695505757415,1.519129057300818,1.5319335302871975,1.5407179687927168,1.4168744450481106,1.420120764502929
Terrakion,Smack Down,Sacred Sword,40,1.158241338569084,1.2057864290013225,1.2437625154908116,1.254483994699555,1.2007867119212063,1.2405606602348662,1.290088376948346,1.2440405440620044,1.336716278076487,1.248789080288172,1.2229766691690116,1.2739732680355051,1.265932300344615,1.2755813862054273,1.26506541917824,1.2788513187594293,1.298383801195636,1.327506773944498
