Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Regice,Regice,Mega Glalie,Mega Glalie,Cryogonal,Cryogonal,Glaceon,Glaceon,Glalie,Glalie,Jynx,Jynx,Piloswine,Piloswine
(Boss weights),,,,12.5,0.0,12.5,0.0,12.5,0.0,12.5,0.0,35.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Charizard Y,Fire Spin,Blast Burn,45,0.9836414479373311,0.9702259210395715,0.9815653128293391,0.9930161200805692,0.971527293461642,0.9718972044261658,0.9598406517830546,0.9719789890068543,0.9958746453892798,0.9973553161257266,0.9984377418911204,1.0387559210476323,1.063880039087464,1.045016624811692,1.0267090020951744,1.0609642890219775,0.9613206678269166,0.9877541462200883,0.9962307611074463,1.007841766639905
Shadow Scizor,Bullet Punch,Iron Head,50,1.2634379087930265,1.2565374022946179,1.2957475663978948,1.304504517987765,1.2973507073993886,1.2904054090830548,1.3262345319929996,1.2843078476851517,1.3287950832009916,1.318052207057672,1.3305583199072508,1.3832083551679453,1.3657942030794412,1.386999231364135,1.3778378165667042,1.4226217226380198,1.2531538333366918,1.2929933692409898,1.3158426008609976,1.3471088804337596
Lucario,Counter,Flash Cannon,40,1.6449276622319982,1.6075163631060667,2.206006123759814,2.138392581644934,1.6199683720387315,1.599695950565162,1.923030776352236,1.6500911351002567,1.663590105817882,1.617593388161162,1.6028686247464963,1.6553630301936737,1.6993349285358237,1.6671948898749405,1.6775503114142287,1.70588536919549,2.2353271053600725,2.098474810372339,1.6553471672052138,1.6436471501054488
Reshiram,Fire Fang,Fusion Flare,40,1.1822070504884843,1.142137247955278,1.1199831877225475,1.127080463210671,1.1435251263484483,1.1292756576070448,1.1567246482284146,1.105212647192057,1.1251179570101792,1.125523847005889,1.148349631129777,1.1833991190264859,1.2331883221066153,1.210425798990267,1.1699655892146414,1.213069420589471,1.1345996774148541,1.1342038910291439,1.1832016680887014,1.1771343445023816
Reshiram,Fire Fang,Overheat,40,1.2470582427112387,1.2281202095628498,1.2038207771313114,1.2098578813786567,1.2284530551891422,1.2100457631614583,1.2222113443190528,1.1944616758131816,1.2180081309499515,1.2248895925202588,1.2133871737491766,1.261939801583535,1.307037923845802,1.289888607046961,1.2333613299408812,1.3122920079291478,1.2219158180612515,1.2327630687312712,1.2553211419815138,1.2392630487334466
Reshiram,Dragon Breath,Fusion Flare,40,1.540891903777619,1.4896188888499038,1.4720463958992012,1.4851691517158374,1.5299449729433272,1.524694193638362,1.535215238085808,1.4658039155500655,1.5033937663656327,1.4871492432975315,1.5477004260934204,1.6433399752273692,1.570270697278334,1.5812103684475374,1.543785707102486,1.6249259176375048,1.5086455396532077,1.5701714657928567,1.5400991697997828,1.555890824849361
Reshiram,Dragon Breath,Overheat,40,1.5912751283996287,1.5790414173220033,1.542897124576731,1.5723834646013006,1.6184561034434783,1.603094060122855,1.5742244852661482,1.5337296410622003,1.5766404143388948,1.59697459905888,1.6340877120391022,1.7052804920077498,1.6291485995106956,1.6293486186278465,1.6157256931346566,1.6950473829001809,1.574278388466775,1.5874807408134388,1.591130170745793,1.6069847900462582
Metagross,Bullet Punch,Meteor Mash,50,1.1284436163056946,1.1343294078852788,1.0852913774717976,1.1177073441465712,1.1186017398329677,1.1286906528980438,1.1568040252917438,1.1278233522039511,1.1305933743066583,1.1329972011554186,1.1681030401974895,1.2278608954055903,1.1729566569948628,1.2224492230300052,1.1802227618381727,1.2314418464882277,1.0943494551636783,1.137787085001792,1.1516780083324902,1.1780682700384284
Shadow Arcanine,Fire Fang,Flamethrower,40,1.3392344946768349,1.3044446459246268,1.2942871931104583,1.2817268753234927,1.2988357613897767,1.279492789714497,1.2953049539703796,1.2648584868685417,1.2984098082372304,1.2619907794755154,1.3133931486228214,1.3392323166462512,1.3256791999867286,1.3440186621312147,1.329562668610662,1.3687431457666623,1.2898541151709373,1.2835317162842939,1.3495233937598674,1.3282254597384489
Mega Blaziken,Counter or Fire Spin,Blast Burn,45,0.9729282567365364,0.9683722343610581,1.0152200999008474,1.0034633790432717,0.9738939257767011,0.9474217112871427,0.9690092389290861,0.9456857080854862,0.9362932932695525,0.9353844730462978,0.972357790929784,0.9970907282327977,0.9596524944327222,0.9867187938183665,0.9601123865710091,1.0098634380337557,0.9854014127491924,0.9696258075063559,0.9715814719848852,0.9857115335926432
Shadow Charizard,Fire Spin,Blast Burn,30,1.5121009204573834,1.3604868416708351,1.45279978049252,1.4244231505559402,1.3555902896978294,1.3310777999975736,1.3250053426869548,1.2915876815379017,1.4226864681183211,1.387280461885673,1.435988809553361,1.3739424585398152,1.5114211705858143,1.474697423687414,1.436483620792112,1.4062985609637721,1.3669489613967267,1.3340704899993339,1.4066485388538035,1.3700310932935784
Emboar,Ember or Low Kick,Blast Burn,45,1.3533739529801143,1.3477358371248005,1.4550551200743331,1.421891131773084,1.3756576179744924,1.3516100717645851,1.3140286995116082,1.3024756237329167,1.339032387368168,1.3679855997696864,1.382759345648526,1.4269824995801943,1.3509880486207606,1.417941793804937,1.3758817838277655,1.4436274461091803,1.37506342104332,1.363552382037057,1.3766827914062858,1.4112502314212383
Shadow Mewtwo,Confusion or Psycho Cut,Flamethrower,40,1.3669328275076753,1.3908622044257262,1.5150665693849426,1.5181645183619252,1.3546684905916706,1.3538006288650342,1.3771126716982813,1.3663968506613793,1.414135069200898,1.4052026714301113,1.384190245936825,1.4201995428998162,1.4623697841578855,1.4492569984966968,1.4526973333529427,1.4809204378282528,1.431029175051513,1.4981966211900775,1.3629453837041452,1.3938610518167065
Shadow Aggron,Iron Tail or Smack Down,Heavy Slam,40,1.450912596551356,1.454436619492359,1.4759052376230832,1.489007090341047,1.4866150048215754,1.492789605201334,1.8564015291223883,1.5539560637227843,1.485698864611676,1.4884680041976799,1.5433173124273347,1.5763196238541393,1.5086287077990865,1.5748784836465413,1.538830883928291,1.6114339841186494,1.5062237532496963,1.493670387953348,1.565387601300643,1.5669360800180632
Mega Blaziken,Counter or Fire Spin,Blast Burn or Blaze Kick,40,1.0152734570801154,0.9928139884930666,1.109485292375233,1.0540011848415118,1.0,0.9703794710508192,1.0,0.9659580489744928,1.0,0.9742726913876413,0.9999999999999999,1.0230624758714189,1.0,1.0327761184125812,1.0,1.0285718430976303,1.0197460403254524,1.019121426059298,1.0,1.0012326632906048
Emboar,Ember or Low Kick,Blast Burn,40,1.4315628917801986,1.3949725553976489,1.5590048329061668,1.474688168422103,1.4169316811772972,1.3874797953417997,1.3981834039228112,1.3865372952554464,1.3896637887653125,1.4100985947541214,1.4169731707313438,1.4661568107823075,1.402892962123552,1.4655204802354727,1.4512562897962897,1.517689934060238,1.4404425955511322,1.4326973786508188,1.4061110229857074,1.4437313896453194
Heatran,Fire Spin,Flamethrower,30,1.5001278226157435,1.4902145318892586,1.4970202607898526,1.522832644254454,1.4968617953835506,1.5247529946721672,1.68705650541241,1.5286411752426075,1.4784024723949012,1.5127941645769456,1.5518503557880803,1.6128401077622845,1.531163247040199,1.6112344070799816,1.5530529088183749,1.6228075893728429,1.4930920129044323,1.535684213025396,1.577447575081003,1.5958903564837053
Dialga,Metal Claw,Iron Head,50,1.256597742849256,1.2499763243535618,1.2793662220392992,1.3012322601163637,1.2884578161055595,1.2945935072510528,1.2873950543633867,1.2461713768950036,1.2656791301625934,1.2694157367907286,1.2800960419963587,1.3407421865862148,1.3452743429664287,1.3877204693339569,1.3261641215988196,1.4085381438209446,1.255430369787631,1.2995848160357053,1.314694221295703,1.3584035624068518
Shadow Alakazam,Counter,Fire Punch,30,1.7343985252478646,1.5862359675866686,2.0251503688598707,1.8967353999463703,1.658592618022036,1.5737672084558947,1.6432711848883232,1.5391876805477511,1.9993231253036543,1.6561187711383916,1.7277807337591833,1.624209949609912,1.7626084325595102,1.7244080990363218,1.7444643631540264,1.6877388373630295,1.8865780222257296,1.8601101653791097,1.662846916452846,1.6058479870660385
Lucario,Counter,Flash Cannon,35,1.6916089990019485,1.657472494591344,2.378788094213608,2.232941337873147,1.7239263592465555,1.7014368764890844,2.1590579790863713,1.6901482502803364,1.7559684145492953,1.7114398046468007,1.7440671069199913,1.7535741589843845,1.805757106326908,1.7600133978050034,1.7182723774446185,1.726351578297157,2.3301867707172073,2.181727109954392,1.764872708377427,1.7308418784290664
Shadow Mewtwo,Confusion or Psycho Cut,Flamethrower,50,1.2517911984969303,1.261339082142539,1.3228577878385372,1.3682277390105948,1.2280980084264723,1.2705633390418427,1.2330188367877206,1.2332365873803672,1.2850673340623775,1.2871216751832726,1.2811428368789464,1.345163831482339,1.3373122549627572,1.3572791712320056,1.3208083295008588,1.3827592703816427,1.3586428546999403,1.426012920575333,1.2524839949292792,1.29724517042103
Shadow Alakazam,Counter,Fire Punch,35,1.6726590633427818,1.5145701739432924,1.8513560199302814,1.7880534550602085,1.5955162135107068,1.5246867615374349,1.5520720136442734,1.4861967247472434,1.8511132798236392,1.5617928479294445,1.6707054925180724,1.5678348562804487,1.6979447482737293,1.6579249675521908,1.6571309267380585,1.5841893630645911,1.8322992003773027,1.795208223799706,1.576432635542149,1.5100528502038497
Shadow Arcanine,Fire Fang,Flamethrower,35,1.379453233844903,1.336985748140595,1.3838662002132713,1.3674793681676738,1.3760925598221279,1.3617462551774693,1.4159885373579648,1.3668389115935895,1.3529547547130556,1.3231506644408662,1.394365798452463,1.4106364223827408,1.4284411069304412,1.4175463847650525,1.3985465547279354,1.4367484689645083,1.332109418289136,1.3128090150803988,1.4073465804225809,1.3823012572083022
Shadow Aggron,Iron Tail or Smack Down,Heavy Slam,35,1.5368828793974474,1.5404838029080836,1.5734597995747042,1.5865221908343154,1.5680836732153312,1.5723349442412091,1.9087242158627056,1.5932675543365702,1.5689297959419453,1.5662296940526372,1.6258006665932596,1.6581034261057874,1.5899571760018136,1.661184678788415,1.6025668967211373,1.6778506157729944,1.576365507927934,1.5524629507531813,1.6562757242103956,1.6283191549623122
Shadow Metagross,Bullet Punch,Meteor Mash,30,1.1051983232570817,1.0983087360185604,1.088588180270518,1.078531993838824,1.1419459141970505,1.1020346578539437,1.1696950419039933,1.1332667457136798,1.1588670115577089,1.140001674281556,1.142088306248481,1.171898157757226,1.1693790006785798,1.188187970572227,1.2118552847008544,1.2292183818861815,1.0842273490938348,1.1053106954703902,1.1652429381726408,1.170026542193339
Mega Scizor,Bullet Punch,Iron Head,45,1.3409165264499148,1.3286194733149332,1.297041762545289,1.3151120174109343,1.298637717759191,1.3233222933845885,1.3826829694942888,1.3628910991247893,1.3507122036809303,1.3478626375264968,1.3669148300386846,1.4256222845801025,1.407999184756205,1.484025882410562,1.3975568620639076,1.4686188901180188,1.3105875591481588,1.3542231315167474,1.3637268915676068,1.4074973411411953
Mega Blaziken,Counter or Fire Spin,Blast Burn or Blaze Kick,30,1.2893614737668144,1.135029223768962,1.2094810269457903,1.1834020915570689,1.1000817640397578,1.0768456830259232,1.1141649277148895,1.0644515762783047,1.1047681096562838,1.067713417476353,1.089995454030052,1.0909803396857216,1.119941210810828,1.103371333279089,1.1093825933179398,1.1336285829330932,1.154750819068627,1.1362380810918251,1.127547456266357,1.1143756442789359
Emboar,Low Kick,Blast Burn,30,1.8884839275221963,1.5929830869461852,1.9925111531002313,1.7746105675390842,1.5336668160737545,1.4928075843278414,1.590466377377702,1.5098511721318848,1.5261918219447355,1.504222923192275,1.5582702904697487,1.5845878953827934,1.6130649137871789,1.6205815879716783,1.5685815855990644,1.6242403452446774,1.7283254359921054,1.714041603020315,1.568555697292626,1.5680103606017881
Darmanitan,Fire Fang,Overheat,40,1.371877699735257,1.3110655986698996,1.3144222650428101,1.300788106685624,1.2841143542395053,1.3006100115427086,1.3613835950218534,1.29737865912172,1.279922264492809,1.285262588636536,1.325034318273622,1.334772244819628,1.371960463835801,1.3516799472935406,1.3380117347257172,1.3581275556179173,1.310109063176684,1.2887311909452128,1.3499963988867039,1.32345603924374
Emboar,Low Kick,Blast Burn,35,1.6508045528035227,1.4625495778386428,1.8044256200150912,1.6914458184448642,1.4842214311406559,1.4461113116685405,1.494433580293365,1.4581947328945315,1.4851472675044022,1.4522354241814628,1.4912475551070343,1.5330515557095876,1.5370114205228145,1.566810255956533,1.51330898834199,1.5819402603008765,1.6381595544284038,1.6454204732531588,1.4990488200499386,1.5252061803057546
Excadrill,Metal Claw,Iron Head,40,1.3952394303893043,1.4019903792522883,1.4970013532137265,1.4814689540343853,1.5174358727182766,1.491084375220982,1.5077136847872454,1.4466326219927272,1.4859543510538697,1.484258700687066,1.5357336928786807,1.5698946231948168,1.5843466871636231,1.552437634244663,1.5508455227223672,1.603498476218717,1.487903708280627,1.4777997584548548,1.5387277642300314,1.5320644895322486
Darmanitan,Fire Fang,Overheat,35,1.4022618082480673,1.3763365872727797,1.3473827599324018,1.3360149165310333,1.3220552294721273,1.3252715804439128,1.43940402842722,1.3289744846473042,1.3636462048169995,1.3604292594908634,1.373005178174159,1.3676869446328872,1.3967309671777477,1.3642844853260068,1.3831209870811487,1.4367335630565616,1.345379856551068,1.3151111478884694,1.4051660510898563,1.3874981276420133
Victini,Quick Attack,V-Create,50,1.2927843771162535,1.3328508158964139,1.2836766006273423,1.3331861635455446,1.2965220281460221,1.3538755510001148,1.290962731561129,1.347238099010097,1.295119363594544,1.3636951652243503,1.3756470110210344,1.4636148819947554,1.3756435962678897,1.4897845686673055,1.3984519121497458,1.5049396191480895,1.3067031096692598,1.3764705299588587,1.3384913279447719,1.433240440811616
Reshiram,Fire Fang,Fusion Flare,45,1.1570729842295873,1.1117573311962634,1.088823452378725,1.0991956796936873,1.1326948612158982,1.1046553477955459,1.1343544260138934,1.0823732174197174,1.1171116154046112,1.1000362447907652,1.0846150132631764,1.1318826409656706,1.1814422389501682,1.1798423072031372,1.1113112588098886,1.1716180780441539,1.0709815204366389,1.101340536678445,1.1313491714567365,1.1246770596711104
Reshiram,Fire Fang,Overheat,45,1.23264192165726,1.1934725181893653,1.1736431382086443,1.1797406569010782,1.2069390903261479,1.1803242997239523,1.205985335871419,1.158656184273605,1.1934066416612443,1.1777268657378825,1.1633493204661474,1.212706172253074,1.2873893950369664,1.265593946972815,1.2088778792748651,1.2589843869557802,1.1546769310492753,1.1765789464180227,1.2150371886749187,1.213259608455149
Reshiram,Dragon Breath,Fusion Flare,45,1.5086145198004477,1.4566215064707742,1.4174775347813342,1.452975386476593,1.5165927664454633,1.4952394114694147,1.5099633891860715,1.4318219511410246,1.4809743614189173,1.4458284206593661,1.4099019599224547,1.4649451481269515,1.5316689825804837,1.5560096976093292,1.5105106525568004,1.603515965817374,1.3672853650232943,1.417480275263659,1.507298617128309,1.5469037274394672
Reshiram,Dragon Breath,Overheat,45,1.565900890173256,1.513784452981822,1.5029237149146601,1.515942354342444,1.57102705842145,1.557803001016777,1.550472631828222,1.507934447087596,1.5319345137527085,1.53815084173155,1.4733549690312315,1.5433575422498809,1.5943601244668724,1.5980285635514926,1.5556304384205142,1.662859167789247,1.4469768699120704,1.5116403331726045,1.5491870762892541,1.5593763932221305
Ho-Oh,Incinerate,Sacred Fire++,40,1.2971634143314716,1.3659643771307435,1.3139963207553051,1.3796953086512138,1.2698902967255365,1.3544459647462666,1.2512182563945153,1.3070458282897541,1.298897298911858,1.3820573139686507,1.3334006313698148,1.4405742792268543,1.3440131955739847,1.452740901776552,1.3327253047860683,1.422799420935288,1.253030094586335,1.3444517172481538,1.307939460646018,1.3727906286218254
Cobalion,Double Kick,Iron Head,30,1.97850556628679,1.976038175802568,2.3913186288265704,2.427595582411963,1.9841700622077778,2.0163591470964692,2.0712017208815308,2.023914609422767,2.00437144816901,2.010870384542319,2.0917531992766376,2.1684392870143046,2.0539820946551766,2.1473050741816557,2.1100437597708224,2.2240580559277614,2.346926827751101,2.413323028217586,2.060844454440173,2.09201374697385
Ho-Oh,Incinerate or Steel Wing,Sacred Fire++,30,1.4671967837966877,1.461760700124314,1.435512668450165,1.4984448643356467,1.412297383714671,1.465362201799246,1.3617564279331351,1.4338647553461936,1.4587998759200036,1.5097185821535675,1.4406284553878832,1.5482107488423866,1.5538862719106643,1.578274495429658,1.4483935604887705,1.5668508109410157,1.4089048838382254,1.484823165978088,1.4284787969542094,1.4945484005091931
Empoleon,Metal Claw,Flash Cannon,40,1.8209076813319054,1.7865333337059337,1.7643904489302127,1.7724693718469184,1.892331481756542,1.8784643290304748,1.9690642747931615,1.867405360179613,1.7785241337236704,1.812289555371403,1.8051809753467176,1.877764217182038,1.8598562737828814,1.9499471908452546,1.8920023245266577,1.9851229101420194,1.7762213118269203,1.8228085566352359,1.853377137304927,1.8922471786492425
Mega Scizor,Bullet Punch or Fury Cutter,Iron Head,30,1.4779346597698344,1.467731724031076,1.4608621904601549,1.4818138302184471,1.5174619397193223,1.5183888210709677,1.5531412111355622,1.530274758506424,1.5027491797077075,1.5009520861947383,1.5796527391517674,1.6481289631031435,1.567705128215256,1.631801775683142,1.5814669480372097,1.6525236099644602,1.4716080647904781,1.5196829572448278,1.5284054049396671,1.5816607450813875
Volcanion,Incinerate,Overheat,30,1.604314587706859,1.618544298091862,1.5730163944649194,1.6105321185589832,1.511181650492557,1.5644277353328309,1.5301740106952753,1.5460663796880532,1.453386874337068,1.5230481411130519,1.5269136767837717,1.6147732252353035,1.5249158884853924,1.620358343885948,1.5063559983957266,1.613081385064916,1.4903439469539281,1.5483130846150246,1.5686118790785926,1.5781097822585743
Volcanion,Incinerate,Overheat,35,1.5220325307004565,1.5361271734631556,1.4628101696817766,1.523977275987004,1.3960741456991252,1.4708933243230038,1.4531388182719067,1.471062728508165,1.3988319479220943,1.4605362679207419,1.4496825494502743,1.5339425717793158,1.4313450811649455,1.5271461174409244,1.4600197711963003,1.5835534571570418,1.425096543360969,1.4781127760496564,1.476025422534309,1.511853406852013
Empoleon,Metal Claw,Flash Cannon,30,2.064811085936438,2.0130662658315037,2.040217262517227,2.005769454785824,1.9648409164261342,1.9659226149978266,2.072783486270326,1.9779478223703046,2.005293359724206,1.9806409140403185,1.9999965730151164,2.086344374134965,2.0520985023055127,2.157255314291492,2.0785366452803324,2.179668063317117,1.974444178657205,1.9893186816127555,2.040277899901423,2.0354164632295406
Shadow Houndoom,Fire Fang,Flamethrower,45,1.3376785260179052,1.2889458173904376,1.2485557530291407,1.245791156093515,1.2938583850328853,1.294361581983888,1.5321793542073556,1.3023951740065696,1.2687194892713305,1.2648026566832833,1.3286785441989415,1.33207096123499,1.365054416733353,1.3492847262653065,1.3125427849244429,1.365885782586004,1.3173170131328653,1.2505057846089638,1.3421648832686977,1.308730600935229
Empoleon,Waterfall,Flash Cannon,35,2.394373755605436,2.397112885585718,2.55510827580616,2.5486561527572507,2.5536121704587322,2.515807696137242,2.521377225053777,2.4338411980160686,2.47317040123817,2.5076978205926297,2.5755507872454775,2.676403823382735,2.4974996820391206,2.6373027753837452,2.6023493300887472,2.7325719130560246,2.4942521179604076,2.5357772243061665,1.942070017130695,1.9494534923950235
Dialga,Metal Claw,Iron Head,35,1.387520807400091,1.3796948030636442,1.3727097325376187,1.3918352197257402,1.4461704405891513,1.4500191212655469,1.444830465610011,1.4179824528832767,1.4532362359614543,1.4625200450013067,1.4844974378818012,1.5546424544721331,1.534755533506757,1.5284238066987446,1.4664618462417833,1.5327796815382577,1.4536741557686939,1.4694130538224293,1.4463310399617533,1.4746490461026456
Heatran,Fire Spin,Flamethrower,45,1.3151574231250467,1.3103769090462911,1.3055994612089123,1.3396232203992293,1.3222278618752787,1.3427366350878884,1.3858462114779893,1.3716915978305804,1.2828385201229622,1.3290549138519911,1.3608809526541177,1.4209899546133102,1.3588090804887354,1.4285535979347157,1.4046969907158056,1.4765721857347678,1.2992586548989997,1.3545625151355483,1.4078023532281223,1.4044219020152537
Mega Charizard X,Fire Spin,Blast Burn,30,1.3607581671665203,1.3202550614909583,1.3455064199701918,1.2985617520687955,1.3574431780363057,1.308366119281504,1.332367606567008,1.2832999157546967,1.334027506590869,1.3116899371451691,1.3167365448751005,1.3485979683343616,1.4190520578981087,1.3759644326195475,1.3551648573544357,1.3899155769122986,1.3155197423202691,1.2841220705072873,1.376372454973933,1.3306927967571425
Shadow Charizard,Fire Spin,Blast Burn,50,1.1949381830165247,1.150101528416934,1.1955637039392861,1.1443160408832682,1.1848195185332007,1.1268645419820256,1.1490043624379815,1.1252533341254536,1.2077712964269705,1.1488167431912746,1.1756687351252093,1.1824994609948776,1.256869937806062,1.196487341997142,1.2136859289421456,1.2182610489545789,1.1421426100741539,1.1254072894517573,1.1793196679552616,1.1758059092722704
Shadow Alakazam,Counter,Fire Punch,40,1.5614300483749088,1.4293992740710426,1.7676909933337075,1.7283515112965284,1.5067263792257914,1.4296137963401057,1.4198803238122113,1.385736428543728,1.8009591543398764,1.5126431739681858,1.5714531563201275,1.4587886889830928,1.5762498627435955,1.5572223411558292,1.5845059049257466,1.5069228998867548,1.7018607367531502,1.6654462184125511,1.49027860686845,1.4435336598048154
Entei,Fire Fang,Overheat,50,1.2552772886535848,1.2691036591733633,1.2978153767484206,1.3195173329841168,1.236322502467075,1.264485192030733,1.3110009018620603,1.2645412674091143,1.231430562049039,1.273025891719304,1.2845108180227816,1.356970390403608,1.2953607730280698,1.348635311905798,1.3494952462078376,1.4279797406849006,1.2570072987903818,1.3064221812623498,1.3118204003289167,1.3476056352341765
Empoleon,Metal Claw,Flash Cannon,50,1.7474230805415993,1.7357548422260096,1.7159092785562393,1.7197826377066456,1.641864871508265,1.6945661724210255,1.7363139338100908,1.654226251034501,1.6393231206072123,1.6668897085223748,1.7530830571506348,1.8242505072310125,1.695179871061926,1.784778481987615,1.7438889951072847,1.8357151516765566,1.7126442629534886,1.7602198389608252,1.7163156943587126,1.7477169162628488
Heatran,Fire Spin,Flamethrower,40,1.383701860942035,1.3752709503078455,1.334236307285528,1.3580517713380602,1.3866784946367008,1.413172458951031,1.422981805159839,1.3990053525884596,1.3497358133990898,1.3814250554708498,1.4253806523459425,1.4900394684359046,1.423471990608897,1.4961658104763567,1.4541818822862562,1.5263039588899032,1.349227796191345,1.3949756107370739,1.4505524063611128,1.4595938739539653
Mega Charizard X,Fire Spin,Blast Burn,50,1.168010253133284,1.1160548103376309,1.0974165715675452,1.103814017298686,1.0919573847704667,1.0890990861904024,1.1397940652030591,1.1093194613251347,1.120918703885343,1.1154782281169873,1.104475269759585,1.1401834986505874,1.166779210335269,1.1661135068991586,1.1266829266935396,1.190424484484142,1.1031481289210952,1.1104901587927347,1.140606683754649,1.1287854439023877
Shadow Metagross,Bullet Punch,Meteor Mash,40,0.9999999999999999,0.9939505230221987,1.0,1.0085986068758224,1.0476972017812123,1.0092566270568477,1.0426820866101125,1.020564228998702,1.0594846641210385,1.0352179137324666,1.0403664549435672,1.0742252145925784,1.0474961666952372,1.100206101847017,1.0846864254082529,1.101602842218778,1.0007175071366374,1.036669041253414,1.053937209839744,1.076168119410266
Reshiram,Fire Fang,Fusion Flare,30,1.3206841728795187,1.2541623856440403,1.2450520644304341,1.2252166202084072,1.2725138283527873,1.238308622144229,1.2814083982913302,1.2287690696793645,1.276480007364021,1.2647487650118832,1.2303724581270872,1.2753034036366864,1.324024492072307,1.2943195992665966,1.293999895062408,1.3496982447995274,1.2300752736170653,1.227776140536276,1.3027888081817294,1.2808651862482543
Reshiram,Fire Fang,Overheat,30,1.3871559695697306,1.3505773804478178,1.3340490773826226,1.331109972000324,1.3905045511235097,1.3191219541091812,1.3613385431750988,1.3156013060084806,1.3818058195021161,1.3383681930650928,1.3167990351994556,1.3706835449148833,1.4350715194738202,1.4030511604979623,1.3881972834678376,1.4342052428251904,1.32357716767842,1.312818211612722,1.4212838609590275,1.387025343442373
Reshiram,Dragon Breath,Fusion Flare,30,1.6920219643758887,1.607225372592575,1.5799524816193664,1.5731940957476662,1.688502069894756,1.6383010151703388,1.6399024866804133,1.5545102591966413,1.7635249896502159,1.7031883909590673,1.650163996126613,1.7206757000994868,1.7887766524288657,1.789340845373057,1.7294546902134962,1.8114496055101774,1.6003941720587918,1.6126500315079908,1.751749964320258,1.7583237635036228
Reshiram,Dragon Breath,Overheat,30,1.7302595565000283,1.689415469765708,1.6512570420119854,1.6848149963519352,1.7986629650432227,1.7125182482669268,1.7196985486869367,1.629201435388143,1.8087786127790655,1.7588485075764175,1.7292521022689766,1.8002561000703425,1.9195517107085276,1.8684820587117728,1.7724537628672765,1.88691404378998,1.700381693588002,1.7147708130403594,1.845481530707334,1.795688296470158
Mega Charizard Y,Fire Spin,Blast Burn,40,1.0454699716730596,1.022792014388169,1.037794947586353,1.0412954932370493,1.005470354169119,1.0118985749930132,1.0144407671355853,0.9975896024298293,1.037923299118971,1.0400277043110753,1.0533287570668524,1.0765374310933913,1.1024482592728055,1.0832455550648996,1.0482635412223877,1.1037912282507896,1.0,1.004172225947432,1.0420798262982014,1.0591160526142538
Reshiram,Fire Fang,Fusion Flare,35,1.2002072692876824,1.167483282406112,1.192394065814828,1.1922714908424223,1.2207048167336811,1.1909698006415432,1.2332066765846739,1.1882769071329615,1.1800772001128084,1.181931707628642,1.2104414567427342,1.2450610964355036,1.292498651134903,1.2745737941778004,1.2288613357044988,1.2903661924467988,1.2033993106902998,1.1964698419950888,1.2401622224215478,1.2422776003241445
Reshiram,Fire Fang,Overheat,35,1.3039464482235088,1.265760657896276,1.2795201267156815,1.2829822086692984,1.325776580772346,1.281095664363699,1.3101306008480638,1.2798926429344097,1.2910827717367184,1.2843984433173505,1.2789348156185283,1.3238362145584575,1.3730147036170124,1.3506861240292318,1.3016301100930485,1.3592551179931798,1.2862429961055055,1.2800156017394708,1.3220038185056575,1.302281426783181
Reshiram,Dragon Breath,Fusion Flare,35,1.5880797700062317,1.530053063463049,1.5228663186974227,1.523009896544628,1.609392711010734,1.5695458297771279,1.573567190373757,1.5021798575338485,1.5314530110415698,1.5446947465365501,1.6048135131675931,1.686733947816556,1.7373782170333816,1.7412517310106257,1.5752418433877988,1.65881052444549,1.5568283236144473,1.5850148465778628,1.5724982314777955,1.5786629839575927
