Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Regice,Regice,Mega Glalie,Mega Glalie,Cryogonal,Cryogonal,Glaceon,Glaceon,Glalie,Glalie,Jynx,Jynx,Piloswine,Piloswine
(Boss weights),,,,12.5,0.0,12.5,0.0,12.5,0.0,12.5,0.0,35.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Victini,Quick Attack,V-Create,45,1.3405946411584475,1.3644248649867152,1.3509353388334924,1.400542033811635,1.3378329786144576,1.3934826923310226,1.3564615982513941,1.3973447877241143,1.3530004276110397,1.4101037608402684,1.4114687625112885,1.5177214603306384,1.413761441654376,1.523833636548201,1.4515741831264326,1.574033550615097,1.3236422933365026,1.42466732580411,1.402170786443377,1.4971685307767053
Primal Groudon,Mud Shot,Fire Punch,30,1.3497397024393005,1.3689385040738153,1.3548469621287236,1.3945781153536752,1.3688241290588699,1.3958882338803469,1.3855365419159578,1.3804682091560863,1.3439584853317201,1.3816435574326713,1.4452289590950613,1.525279749991023,1.4218646489909383,1.4819242597436248,1.4245929991521518,1.53081389039825,1.3545642715548118,1.4229366213080932,1.3924373969650792,1.4619311511323183
Primal Groudon,Mud Shot,Fire Punch,35,1.299516126711853,1.3224244752053624,1.298280682718151,1.3412046720171615,1.3183371023921637,1.3584233409938622,1.3312322340187648,1.3418669039727311,1.2775478608528785,1.3309201057732656,1.3972171988749356,1.4726585014033502,1.343066675408945,1.4283755398422757,1.3834954234887693,1.473666547286906,1.2971837119623975,1.3712460904623416,1.3290927094467144,1.4062751718924051
Shadow Ho-Oh,Incinerate,Sacred Fire+,40,1.2147809622341614,1.2472342963706553,1.1855005331786803,1.239125412356026,1.162416761835812,1.2099451565599384,1.1410315882756281,1.202740241448194,1.1743448404771302,1.2283418295881947,1.1866443694116864,1.2745773298393979,1.2982859341216655,1.3068912115612945,1.2000444991038568,1.2959208293567683,1.1611993643814713,1.2065396501879875,1.168538951011162,1.222967458749579
Shadow Houndoom,Fire Fang,Flamethrower,40,1.394763433458289,1.3194023759688516,1.326954146633491,1.3163660037790208,1.3136034005796382,1.3159391022393685,1.556007449232097,1.3357783449139682,1.344421906741343,1.3324935312382662,1.3500361993903245,1.3603341995658456,1.3996361421589267,1.3740235836126518,1.3417978353441733,1.3926420860957291,1.3638984361020494,1.3031324474520307,1.42935764534027,1.3718778016330058
Reshiram,Fire Fang,Fusion Flare,50,1.0833636329857697,1.0465884454358372,1.0720010975374004,1.0770920746574872,1.0632355935554505,1.0466360507826713,1.0689610928620876,1.0195590612383316,1.043109697377718,1.0475513103894922,1.0595589857853136,1.1157607779792083,1.1015059891190233,1.1370777143787045,1.087445210851024,1.152365408594786,1.0264857565350687,1.0690854362391882,1.0703235125303279,1.080443347860033
Reshiram,Fire Fang,Overheat,50,1.1410701102389849,1.1263501199100336,1.152669497814279,1.1584421454361775,1.1577463421767682,1.1234199817935386,1.13779346616202,1.0974483822178875,1.1246886082869187,1.126978018068621,1.13839397184419,1.184237836326904,1.1653907521966949,1.2043639241981263,1.1754690690485379,1.2376206434502843,1.0923830549905467,1.1157213871457305,1.1477291556295124,1.1702592227162647
Reshiram,Dragon Breath,Fusion Flare,50,1.4343957410953436,1.406743517556255,1.3947857993626798,1.4289535853927748,1.3653906077261715,1.3575098483534453,1.4723625072920457,1.4063614692842945,1.4173925213388712,1.4126244586470067,1.3668278889221819,1.4562473859927803,1.4322595761522232,1.5175339823158454,1.4536134107062577,1.5849798531748192,1.333391407000965,1.3748732935918149,1.4421927642808448,1.5231078137972571
Reshiram,Dragon Breath,Overheat,50,1.49786215381418,1.4727331590598756,1.4661219887876575,1.4810546336657124,1.4614355387109172,1.4195722629184397,1.519446307852636,1.4744244956627282,1.5023328401286544,1.475933435449636,1.4432225339454026,1.5087892477306282,1.480763169307651,1.5827105118261697,1.4994678193372155,1.6221308611520637,1.4066586209507703,1.4716785189114945,1.4790958687056186,1.536881055890604
Shadow Houndoom,Fire Fang,Flamethrower,30,1.5633887358985004,1.4349620418581288,1.4601674991737288,1.4505470849780804,1.6553893825224748,1.4483916551059244,1.7071789622727913,1.4707264486520337,1.51352117379113,1.43753027737421,1.48227362269105,1.4704885196751396,1.5601247038619015,1.4889516296581269,1.5193079206814901,1.5228153801940627,1.4988707704264703,1.4354017709403117,1.5732652023317542,1.5088569712913948
Primal Groudon,Mud Shot,Fire Punch,50,1.1655314258887062,1.1887828254428485,1.169495793812633,1.2151462655666347,1.149628739234793,1.2051034706927668,1.1997166519381781,1.23107686290624,1.128363668043272,1.1926144693149745,1.2307581578257658,1.3143321424809193,1.226046502074843,1.3285132781253184,1.2452510771009082,1.3452981400209316,1.1617660365469802,1.2467330355012,1.1868294031121576,1.2675225091673743
Shadow Houndoom,Fire Fang,Flamethrower,35,1.519294694471346,1.395895931483766,1.37640159891244,1.349767159934896,1.448010322751005,1.3961481388215902,1.6708845014221037,1.4264338822892608,1.4099906940002718,1.362085811978416,1.4281224190520094,1.4330062003096504,1.4889013878893638,1.438274906211415,1.426499683398515,1.4512857041213045,1.4283701931072466,1.3653368448035637,1.5079958854519002,1.4440665362017935
