Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Regice,Regice,Mega Glalie,Mega Glalie,Cryogonal,Cryogonal,Glaceon,Glaceon,Glalie,Glalie,Jynx,Jynx,Piloswine,Piloswine
Volcanion,Incinerate,Overheat,50,1.36147655794288,1.414842115822599,1.282897530683709,1.3736137507570854,1.299284501457497,1.3990872240815806,1.3339059527523076,1.3960109954644442,1.3029328152334814,1.3842055241555646,1.3022784681370472,1.38553410073406,1.3189124808582662,1.4104972820976653,1.3149955237242614,1.406636078782453,1.2786321488156713,1.3570123369916807,1.3315517548548015,1.3853554249064672
Mega Scizor,Bullet Punch,Iron Head,50,1.334196535056269,1.3881249698127087,1.2768756570107838,1.3457129828811707,1.319104498120467,1.3865615829301088,1.3069694080638288,1.355529292192605,1.3139172049522272,1.3805510698425516,1.3588926373607744,1.4219658568837201,1.351178056184907,1.4144017480544835,1.364794091316025,1.4266450313339303,1.3037487657333529,1.354401933968153,1.343208368328625,1.3914382428545977
Shadow Blaziken,Fire Spin,Overheat,30,1.7549980865901549,1.4384420756967227,1.6065053639926763,1.4004232715830218,1.3400041222138253,1.3989930020512922,1.604917497404174,1.392122748514631,1.3983313147624816,1.4268898869600324,1.3487632868259107,1.390526726227813,1.3811152802528948,1.392157038337199,1.3639324082363473,1.3742166517457475,1.466149882531864,1.4132835465162468,1.4687332977017638,1.4137970527601742
Shadow Blaziken,Fire Spin,Blast Burn,30,1.5281141209646558,1.3216404795785297,1.5283463169106744,1.3238340886781814,1.3435511890623926,1.2997281301834385,1.404240019800037,1.2900456484585408,1.289214944152873,1.3041818059480554,1.2730771186871683,1.3003627918015834,1.2819006510428328,1.3090796743890316,1.281054162936437,1.304610564010743,1.3541862919792529,1.3010021677694672,1.332506171896872,1.3212313252398769
Shadow Blaziken,Counter,Blast Burn,30,1.4676280777104471,1.2727073448930533,1.8511953245198165,1.5257147929241244,1.304001491848813,1.2557127013259788,1.3311336546445878,1.2308242058383747,1.2500042053559413,1.2659887632889248,1.236594503873735,1.2524793598589519,1.2506917889797344,1.2673305452819543,1.2862242614145032,1.3051253357206805,1.4677728722377963,1.457978186110386,1.289913720699397,1.2884121045532055
Shadow Blaziken,Counter,Overheat,30,1.639004581037551,1.3749261572414202,2.038519106395717,1.7029110363888251,1.2972018019963294,1.337931237547479,1.4837228170532213,1.3008214379337664,1.3578715852509757,1.3726365899609743,1.2917846305118077,1.3348788716157798,1.3211691905397298,1.330419909194301,1.3517233661593555,1.3700984780662488,1.739436379938485,1.647822583391027,1.3986790868137742,1.3540759970476701
Shadow Blaziken,Counter,Blaze Kick,30,1.3671276188636203,1.3089971131661173,1.6425461038825422,1.5670238020648413,1.2582939923640897,1.3016263115019582,1.3121010153377062,1.2780894721503395,1.2606185237518504,1.3169660880096892,1.276247308729042,1.3275297947005271,1.2655574162465186,1.3234438106154907,1.3140331244404655,1.3739480752014324,1.5127626008693775,1.5423623012405088,1.3164719655900843,1.327848616731567
Shadow Blaziken,Fire Spin,Blaze Kick,30,1.4303165857337647,1.3524593818385824,1.3772216536830892,1.3154260910730073,1.294428140979713,1.348344734853318,1.3905161922419587,1.3494882305474154,1.2976256560355268,1.3532204615798682,1.324851238408463,1.3765914523539085,1.3138259288778242,1.3680944235987356,1.3158572068039391,1.3786145926589077,1.310615260643067,1.3168915774778966,1.3557812221628363,1.3779364230994375
Mega Scizor,Bullet Punch,Iron Head,35,1.4789283418724666,1.5385096952291075,1.412157223115641,1.4783525824439756,1.454201222923435,1.5269367043881947,1.4615122131960219,1.5065001823302242,1.4788933185304804,1.547831718476652,1.4985081458626477,1.5683879498872633,1.4749030599908657,1.543723750078358,1.5396374216651747,1.6012197851387646,1.4655824036137057,1.5149644190718314,1.487567127331959,1.540021887964165
Shadow Blaziken,Fire Spin,Overheat,35,1.6701913038309064,1.3660260149431735,1.4893677380728612,1.3694019200378718,1.2541600007851836,1.316328874144886,1.5062849008606864,1.3032891200845895,1.2904807562912126,1.3467273920064595,1.2787224303660127,1.320782545306593,1.3113095184790493,1.340234805269238,1.320512533572068,1.3544315129811997,1.3147465071672586,1.3470814559239124,1.3946323585553944,1.3289430149398083
Shadow Blaziken,Fire Spin,Blast Burn,35,1.4514532626424375,1.267383235557471,1.4347932025925385,1.2891143320593415,1.2071883557274234,1.2320865272311483,1.3291844054204065,1.224182699278148,1.2100070649979815,1.2367110752254071,1.2242528014647296,1.2402139454456067,1.195733744078376,1.2383425721117252,1.200313339301701,1.2460496866606983,1.2065850253663075,1.2325869093963158,1.257488992390115,1.2482247843017487
Shadow Blaziken,Counter,Blast Burn,35,1.4317581449955972,1.2443498679189902,1.6968578350493932,1.479231497532076,1.1845848832530157,1.2104566824030545,1.300146303529298,1.2003128171557362,1.1788621988965147,1.2075301103485399,1.2095292183023378,1.2324579992201672,1.1816024429777823,1.2237903767451441,1.1964413607878246,1.2441025067144136,1.3584650830221656,1.3976097787967177,1.239253264106284,1.2232954111628618
Shadow Blaziken,Counter,Overheat,35,1.6264429525214283,1.338125527116547,1.869243541279422,1.660677861086165,1.2292304219380294,1.2909203333104322,1.4587033025934826,1.2666751607654647,1.2364839860045755,1.2921797200915086,1.2681692576330377,1.2996677233966807,1.2910976385145119,1.3130916027116337,1.2772381378692927,1.3310989256938228,1.5714966688987504,1.5989739981159699,1.3649054490850323,1.2937313888676798
Shadow Blaziken,Counter,Blaze Kick,35,1.3383094373831983,1.2803052538890518,1.5673736276741643,1.5202324512854786,1.1962998223522137,1.2726137780089708,1.2824873650280377,1.2484816798398422,1.1994936751446643,1.256652873099179,1.2381795988946718,1.2892332208791768,1.2249635075716192,1.2926827084098256,1.2426253357206805,1.315465532676813,1.4181071173205915,1.4894165181763497,1.2565218497874833,1.2741594767249498
Shadow Blaziken,Fire Spin,Blaze Kick,35,1.3652773701203404,1.2873328552904852,1.321923101021282,1.2816548665789491,1.2085270937411055,1.283527829850717,1.3100199611321754,1.271297122111457,1.2312567285695062,1.292739032431705,1.2523945954193296,1.3014053944089377,1.2423724108286245,1.3090886295861803,1.2484892569382273,1.3298008057296329,1.2100466467670725,1.2528572563529263,1.2828510345880737,1.299445165559543
Mega Alakazam,Counter,Fire Punch,45,1.2240231392553678,1.24900892800749,1.4104637886983702,1.467556720480636,1.2188758134011208,1.253492594737307,1.2418401732796154,1.2612770145293024,1.2289606042255417,1.2712370475037007,1.2419092342380524,1.277984979741299,1.2481843337781082,1.2927633051841636,1.2460496866606983,1.2832363473589974,1.3975984292183545,1.4618143435971354,1.232165126873839,1.2721870148380037
Blaziken,Counter or Fire Spin,Blast Burn,35,1.6229337960193644,1.4598091048585748,1.677615686110705,1.524313750060915,1.3838899957796382,1.4129025292726256,1.4417400014937898,1.4162372021024359,1.3917457273583635,1.408049892342888,1.4012748571719191,1.431993490091037,1.4273778287228993,1.4726642607036995,1.4092547000895255,1.451544315129812,1.3989830777786605,1.444812675209116,1.4265353388816777,1.448957776590059
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,40,1.3004499299654844,1.3313802929932046,1.2765971888640588,1.3140441928948852,1.2794605788765987,1.3390285316085468,1.312967999215028,1.3127995817388591,1.2888827210335083,1.3354233952361727,1.306787936324953,1.346101683421771,1.3149990597042993,1.3493153751779845,1.3246978513876455,1.37132945389436,1.2512569658037203,1.302715954102305,1.315899315364842,1.3593189279987785
Primal Groudon,Mud Shot,Fire Punch,40,1.2834428744988908,1.374203519931043,1.236499516161595,1.3362676914294467,1.2567589584539736,1.3593000088333154,1.3034370345636594,1.3821187504301968,1.2729612434396447,1.3764424370878752,1.2995490531812095,1.3800667943784224,1.3111393697332248,1.3986495562699812,1.3463518352730528,1.455259623992838,1.2500652600755882,1.3372981193748652,1.3147031126721134,1.3980809854674099
Mega Alakazam,Counter,Fire Punch,40,1.2786482038097289,1.3020401035842066,1.461038825421357,1.520604902431723,1.3014437563182741,1.3180464632386861,1.259225250319627,1.2734484723070412,1.2730705826941193,1.30818951016014,1.2626171868377778,1.3005068913489413,1.2980379163047275,1.32284381240653,1.3029879140555058,1.342032229185318,1.4636870240270574,1.5348375307857312,1.281896617546003,1.3180117584179585
Shadow Ho-Oh,Incinerate,Sacred Fire+,45,1.179925544207198,1.242313851229598,1.1254150915812118,1.2047036750833664,1.1497325468411084,1.2315388616800966,1.1340442015327454,1.2162875808953073,1.15761253532499,1.234574754407213,1.1778273178836014,1.253072710936308,1.191668084572882,1.2687275560371463,1.1609892569382274,1.258661593554163,1.122155511922732,1.2029872090251847,1.1595785294342216,1.222799114300985
Dialga,Metal Claw,Iron Head,30,1.5249560658807444,1.5899822777379409,1.4564353988708116,1.5280730700417007,1.5306152894873732,1.578454562407373,1.4781972593350878,1.502134508447967,1.500618187323375,1.5768360584039833,1.5436282570735924,1.610541305711428,1.503541780472297,1.5829743791809576,1.5525850492390332,1.629196508504924,1.485012881771442,1.5366421137454742,1.5287724924282915,1.5945763660889263
Victini,Quick Attack,V-Create,45,1.367586465690518,1.4585644596196214,1.3459897106019785,1.4559689647250476,1.3812655196443118,1.4907691854701777,1.4085573651891328,1.4778897143786054,1.3744238662360382,1.49350272507065,1.429289504467086,1.5368810076796582,1.4263658914451003,1.5374282464828464,1.45294315129812,1.577585049239033,1.3549694128863112,1.4583867709314597,1.434730599882925,1.5350334682242754
Primal Groudon,Mud Shot,Fire Punch,30,1.3780860700047928,1.4639034303908929,1.3211642753214567,1.4284980820506394,1.3833207376799788,1.4934486244565057,1.3931186083737168,1.4600535714024196,1.3664925649306958,1.4650492867716325,1.4361554240764913,1.5445352365775509,1.3962674738284364,1.495141805546849,1.4278088630259624,1.534265890778872,1.3773734805751965,1.4566162367068063,1.4074597236008246,1.498905601791759
Primal Groudon,Mud Shot,Fire Punch,35,1.3259707304024104,1.414468722250913,1.2762525845324868,1.3778777942538099,1.3404654175704458,1.4537575941974934,1.3446026592387237,1.419464959645708,1.3153259991925716,1.4165741488359576,1.3913404648481869,1.4912523098309798,1.3423930077820663,1.4411151011489518,1.3866159355416294,1.4769919427036706,1.32536971251518,1.4037045023777366,1.3584408643200734,1.441831462675931
Shadow Ho-Oh,Incinerate,Sacred Fire+,40,1.234769814937972,1.3010350989957384,1.1580341541181958,1.2458142756695418,1.1769214914562212,1.2732379989596319,1.171712600702667,1.260077589199021,1.1827689745660073,1.281687357017898,1.1990438571210607,1.2906657399087935,1.2534499897015232,1.318545317775171,1.2011414503133393,1.2988473589973142,1.168575287428072,1.235095166214575,1.1834644066071112,1.2507444452928151
Shadow Houndoom,Fire Fang,Flamethrower,40,1.3552867699784137,1.3541591585455113,1.2880961828978787,1.333314188648246,1.292139330827289,1.358444158724862,1.4556014920323888,1.3488672826352794,1.3275719956937155,1.3812954178441663,1.3354298404733247,1.3775069083018292,1.3325781117071291,1.3856734756015654,1.335351387645479,1.3957811101163833,1.3201489064681247,1.3338364979741002,1.3639128553612787,1.387175180066682
Reshiram,Fire Fang,Fusion Flare,50,1.0850631425248836,1.1051818110888603,1.0561739868980737,1.0943293442771316,1.0730259993914828,1.1141166193920717,1.072384366757612,1.0768759876220477,1.0589128313820482,1.1062567285695062,1.072931323851018,1.1298421686134232,1.0948176274100674,1.1472144859269078,1.0898948075201433,1.1549574753804834,1.0462041335164398,1.0943944432464334,1.079331144536917,1.1075691634216487
Reshiram,Fire Fang,Overheat,50,1.1428685543166897,1.1874788688961297,1.1354260214559706,1.1750677025681724,1.1684866567864398,1.193587013063492,1.141857307927191,1.1580004891429307,1.1428769681065805,1.1866547234557934,1.1527624730872903,1.1991879566684185,1.1592413156975652,1.2151038355109387,1.1781222023276634,1.2404095792300807,1.1135184827883644,1.1421307698419003,1.1591840370568325,1.1998549286096054
Reshiram,Dragon Breath,Fusion Flare,50,1.4372587338799865,1.5018372449870518,1.3750426404349672,1.4643212687008764,1.379072894481141,1.453092151108581,1.4766009545609649,1.4876901469918442,1.4429879895034317,1.503305409769883,1.384084628816519,1.4746300032210486,1.4332524380524236,1.531070056507294,1.4568934646374216,1.5885519247985675,1.3604512592357194,1.407415814502491,1.4724364358249982,1.5616298897966456
Reshiram,Dragon Breath,Overheat,50,1.5002136331380291,1.5714872210229869,1.444370766413957,1.5141879520756318,1.4760077340583195,1.5187354618351703,1.5248430422347095,1.559687885804164,1.5274609742968646,1.5685388911317455,1.4614406564158204,1.52783664197196,1.4824433359900417,1.5968280691699428,1.5028536257833482,1.6257833482542525,1.4370722627654382,1.5065089831912744,1.5114530045048484,1.5757425364587312
Shadow Houndoom,Fire Fang,Flamethrower,30,1.511608638952566,1.4654601657793151,1.3971007985074106,1.4505719039563363,1.5530558363677407,1.481580574558089,1.5892122016264734,1.4713756193003498,1.4638507603283542,1.478527452563585,1.4464797328224863,1.4887602353060845,1.4574762463395632,1.4946044937179292,1.4715420769919427,1.526253357206804,1.4452212600301897,1.4641183080048574,1.5063755058410324,1.5214043928635057
Primal Groudon,Mud Shot,Fire Punch,50,1.1897210880057068,1.2716819058305127,1.1606378312900734,1.2611717939614182,1.1838625143541375,1.2899682982127259,1.2228939394605076,1.3022683637290264,1.170182344233616,1.2729402166599382,1.2436977639140827,1.3309203722854188,1.2369813821451279,1.3403601780293193,1.2480528200537153,1.348332587287377,1.1892655687841196,1.2762373877810438,1.216767198595098,1.2995724211651525
Shadow Houndoom,Fire Fang,Flamethrower,35,1.4679736060902162,1.4281932581096997,1.3243544760273733,1.363299986772763,1.4002414439526143,1.4374473681627686,1.5547071220089421,1.433871244107219,1.3806435876732608,1.4085629457677298,1.4026226117619136,1.450760337023412,1.4050346118369796,1.4491568681884532,1.4008840644583707,1.4545546105640108,1.377543724250644,1.3954079605942638,1.4337507317197324,1.4565422106843808
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,30,1.4714418936441354,1.4365398119285313,1.39311000187966,1.43213731264315,1.3728424627283167,1.435205669025489,1.4752916917462255,1.423413251087025,1.3957492262145068,1.4477736845646616,1.411226202383576,1.451684269415295,1.409440568834123,1.4674433807660276,1.4236571172784245,1.481971799462847,1.378440340941334,1.4154853647187007,1.4539461963299485,1.4812297981726097
Chandelure,Fire Spin,Overheat,35,1.3961668641999159,1.4036291625952524,1.3765811769456222,1.3868392473005995,1.3489159559119417,1.3843512911362588,1.365915524722953,1.3779361390220362,1.3988065199838515,1.433732001076571,1.4045721938732263,1.4056826080322782,1.3889331673636796,1.396733144080167,1.3886974037600717,1.4510071620411817,1.3251200217911905,1.3622217934603729,1.4058308518490241,1.4012496500470846
Shadow Entei,Fire Fang,Overheat,45,1.1609846444215743,1.1774956994720474,1.0970600725409523,1.1232621847218451,1.1348003179993522,1.1819309627332242,1.1287280672849784,1.1417782249383812,1.126211142511102,1.1824535728704078,1.1390730160882907,1.2063335989285775,1.1376861561607279,1.196933740496297,1.1655102954341987,1.238921217547001,1.1099093168688783,1.138237864463335,1.1465857321014992,1.1922577689547225
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,35,1.3833098646494744,1.3948349080262898,1.3069728423939906,1.348073000424664,1.3374522755601794,1.4067977268935192,1.4197402856067496,1.384404834606716,1.3313273785493205,1.3828261674068094,1.371836167291098,1.4023513655551223,1.3480706027743201,1.3867122784708106,1.3690017905102956,1.4062444046553269,1.317742795855134,1.3550034616214006,1.3673869333944162,1.4113410195719123
Shadow Moltres,Fire Spin,Overheat,50,1.1233684930132675,1.133028426211114,1.049099155545345,1.08491189964008,1.0595286935526613,1.1103084790012465,1.0773812400505545,1.0927160173806836,1.0928710806082627,1.1200545014129997,1.088256734534728,1.1291301473205961,1.1213518765615624,1.1625099626568278,1.0993173679498658,1.159098030438675,1.0638640774495227,1.1122019316982374,1.0946018172100482,1.1203456262248352
Mega Alakazam,Counter,Fire Punch,50,1.1940309043555153,1.2288289560212964,1.3264308041463906,1.3930038358987211,1.1628510015998115,1.2051782857479365,1.1714416682410038,1.1941560600269174,1.1883957408155026,1.219368187323375,1.179878617322461,1.221269093190025,1.2046531204384465,1.244154495061209,1.2119404655326769,1.2636526410026858,1.3667162264921857,1.4303192636393558,1.1827772263368201,1.220368532233845
Lucario,Counter,Flash Cannon,50,1.533453091735927,1.5435272874536043,1.8847211489595734,1.9148862109535445,1.497388283097942,1.5397096783691737,1.5738964627936505,1.5409525399552155,1.549724128650249,1.563786838918046,1.5144099547357892,1.5617763235967246,1.4970850833281095,1.5561983397064487,1.561291405550582,1.6169538943598927,1.9414361756460747,1.971750899454085,1.5328446718077933,1.573770074571785
Mega Houndoom,Fire Fang,Flamethrower,35,1.294185834822573,1.329295976637823,1.2211733255362252,1.2765658611975523,1.294114067545418,1.3345922443491318,1.288531355672813,1.3207400996152758,1.262132451890728,1.3257594872830036,1.302490379236103,1.3526031159408005,1.3100020596953441,1.363885480938863,1.3090644583706357,1.3685877350044764,1.2512456162253571,1.2820370223246205,1.3207350283780002,1.3544450383039373
Shadow Houndoom,Fire Fang,Flamethrower,50,1.2346360620167711,1.2613940769748062,1.187175845672953,1.2440285986786686,1.220915327765073,1.27185411288977,1.323109660279983,1.295108424242158,1.2100112703539228,1.2638650585385547,1.2505297777476392,1.2887076813535185,1.2497783588705706,1.296954337449739,1.2526186213070725,1.3163048343777977,1.2562734794402388,1.2593946134901088,1.274986638161411,1.3011631162352701
Shadow Metagross,Bullet Punch,Meteor Mash,50,0.9540075719014836,0.9907747637960564,0.9298904227842637,0.9764642203239977,0.9577257157439124,1.0166910400738072,0.9687959029153796,0.990155632392978,0.9783634436818732,0.9972202597227829,0.9968891450658619,1.0534100734060048,0.9871492920916655,1.0382566022190978,1.0070165622202327,1.0590868397493285,0.9477805899510833,0.9874133175952513,0.9890305667964674,1.0150543381435952
Entei,Fire Fang,Overheat,45,1.401712037391372,1.4253510085341794,1.3040332630201263,1.3698544307762996,1.3439810770755838,1.4171562613483566,1.3502893119340622,1.3606345384702128,1.361774155564527,1.416784416633024,1.370429077593368,1.4363419058436604,1.3650317461738921,1.4336016907412217,1.368218442256043,1.452898388540734,1.311443779863578,1.3674652986641544,1.3631620472881831,1.41360616935176
Shadow Ho-Oh,Incinerate,Sacred Fire+,30,1.3385472203542224,1.4006178641887699,1.2592921339710255,1.3442893144810397,1.270829448310383,1.385760695672657,1.2857561285655077,1.3642913944527677,1.3154689812945768,1.400770421208451,1.3121789546849305,1.4043263769983216,1.355592968379199,1.4445897176426339,1.3101723366159357,1.429800805729633,1.2671577250905128,1.3535507155909157,1.3033519126517523,1.3890840141508234
Victini,Quick Attack,V-Create,30,1.5625016254695283,1.6598514599502885,1.487355805712774,1.6097199306614314,1.563339778381933,1.7054266000569258,1.6022989717746954,1.6813350965910838,1.5739974431435877,1.659374579464406,1.6243070507060877,1.7292454269584823,1.5870400386864516,1.7005113417571889,1.614861235452104,1.711750223813787,1.5421012609381561,1.6491731832162435,1.6154081087271894,1.6996385940800693
Blaziken,Counter or Fire Spin,Blast Burn or Blaze Kick,45,1.3680360241201102,1.3436502658339309,1.4002718545282402,1.3821957909539622,1.281878944320669,1.306521931159029,1.2990449996851325,1.3062166551703431,1.3069447248015071,1.3296157986812005,1.2871819214403173,1.3161205011273671,1.3197005382073486,1.3659004002973125,1.3204565801253358,1.3668531781557745,1.297790237092692,1.325437809985359,1.3263342750248148,1.346707897482884
Entei,Fire Fang,Overheat,40,1.415425427173392,1.4420218240183091,1.325466608188356,1.3900085628955117,1.3555625349652065,1.4499200094222031,1.4372586321279035,1.4577411262296305,1.3875277553492127,1.4463018099851972,1.4093444318239612,1.4681031413701324,1.3850824325897535,1.4558374452613574,1.4207923008057297,1.500167860340197,1.378099853590439,1.428821119295418,1.4281133083912347,1.4512483774910285
Shadow Scizor,Bullet Punch or Fury Cutter,Iron Head,30,1.5347423212819473,1.570801737301832,1.466418481930898,1.5101553852258724,1.5134884725234818,1.5542198710335962,1.5004122566916656,1.535368402245371,1.5439039160274526,1.5811423428879021,1.533092037228542,1.5946310203943241,1.5568968450840446,1.630848863137722,1.5593666069829901,1.632385854968666,1.4870217571417221,1.5485478214484332,1.5236949937644755,1.5714412969891325
Shadow Aggron,Iron Tail or Smack Down,Heavy Slam,45,1.4478846603976177,1.5052925287847432,1.391402644055053,1.453187764109633,1.481460834061264,1.5424538950013251,1.6521022162275363,1.5503824541208826,1.4564661552953841,1.5310481429148164,1.5115364402325937,1.5692016885076372,1.4956701621786204,1.5600490744803748,1.4933191584601613,1.5606759176365264,1.4874984394329749,1.5003802108751658,1.5121529103357003,1.55818126288463
Shadow Entei,Fire Fang,Overheat,30,1.3285361857382232,1.3462287249259715,1.2648162458316798,1.2922035880620706,1.2932071805038916,1.3410405645469983,1.3407100187895322,1.336074876945405,1.2711319136051675,1.3180889180460234,1.3090341939749437,1.3443131537457407,1.288634959298629,1.3534079002749246,1.294930617726052,1.3614704565801254,1.2842501901054375,1.3106720085348829,1.3241454786083329,1.3359420732483267
Shadow Typhlosion,Ember or Incinerate or Shadow Claw,Blast Burn,50,1.1928048359111731,1.2381117802885346,1.1540712043051176,1.1831432788231937,1.1763836406999912,1.2293501624348544,1.1852152887920366,1.2220181685844291,1.1890517763423496,1.234894361458754,1.1684015121976028,1.2369928967399597,1.1774382763036528,1.2488917943528528,1.1698634735899731,1.2615935541629364,1.1366148747574027,1.1886867402875982,1.1945356442951314,1.2291873457025784
Metagross,Bullet Punch,Meteor Mash,40,1.2215728600461446,1.2640598470015196,1.1963670349407907,1.2525601665239516,1.2346069665413644,1.300497610097461,1.2733811053165736,1.298769673724091,1.2478847059615126,1.2775997510429282,1.2704918032786885,1.3244613219862003,1.2504410434595719,1.3248229109763852,1.266965085049239,1.3294315129811998,1.191853272650921,1.2509505271879149,1.2652897610139728,1.312310707286656
Mega Aggron,Iron Tail,Heavy Slam,50,1.3684428559220962,1.4256668140425706,1.3451107955138781,1.4148444407315357,1.366604179139635,1.4466084976493567,1.3861065833659183,1.4348114529741793,1.3573501211142511,1.4256282801776343,1.4110990557241425,1.4757997524878363,1.3990614953388198,1.4721000832833335,1.416215308863026,1.4867054610564012,1.334596919724432,1.3895061798454187,1.398729989056018,1.441169733526762
Ho-Oh,Incinerate,Sacred Fire++,50,1.247169825340977,1.3527045955274508,1.2023140702992836,1.30413072687148,1.2245742832746083,1.3376524973745425,1.2326562950791342,1.309369723224184,1.2208905261741354,1.3343552348270757,1.2548019055046027,1.359469035550206,1.2729185883027214,1.3697511350712386,1.2738249776186212,1.3741718889883616,1.198027443280482,1.2888354197641556,1.241912906263521,1.3157466086381107
Shadow Charizard,Fire Spin,Blast Burn,35,1.3000133752921201,1.301819039728333,1.2640713435391908,1.2936411798695377,1.2694691177480935,1.303911195736453,1.2682641430406236,1.2953764277042354,1.2949174068093123,1.3312222446507873,1.289945242172004,1.3220879176767761,1.3313512496977622,1.344569120689192,1.295389435989257,1.3371307072515668,1.260461473856246,1.2808453165964884,1.3306609656155355,1.3333206077727724
Metagross,Bullet Punch,Meteor Mash,30,1.3375180659327595,1.382256560395017,1.2819194113183379,1.338587679176848,1.3652674040849175,1.3844769205099767,1.3495731715353962,1.3741694455550233,1.3475768739066074,1.3859255147355674,1.3597826639768085,1.3970705409666537,1.3997510455192672,1.4391270473819482,1.3760743061772605,1.4249328558639212,1.308038906354629,1.3454471166396167,1.3668397342902956,1.4184291568043572
Shadow Blaziken,Fire Spin,Overheat,50,1.3465185229219068,1.202109952331945,1.2999136748745153,1.209200935652973,1.1243063393759753,1.1771334910243703,1.2262915789797415,1.1818630487663786,1.1696146211815368,1.1976685506661284,1.1610693881702747,1.1788360147151067,1.171653218945615,1.201617308605049,1.1817367949865711,1.213753357206804,1.1656924945238283,1.178699111328014,1.172418620040213,1.209259117864142
Shadow Blaziken,Fire Spin,Blast Burn,50,1.2471140949571433,1.1224675184746222,1.220301372151793,1.119020766762042,1.0644046836200889,1.0960475821252957,1.1093102645325976,1.0981009831187107,1.0761716121652536,1.0962479814291481,1.0762879956600606,1.1096343262074695,1.0817878155587595,1.1126205593416139,1.0938003581020592,1.1200425246195167,1.0607542929780158,1.088969344788841,1.086177496118704,1.1232216029116082
