Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Arceus (Steel),Arceus (Steel),Glastrier,Glastrier,Melmetal,Melmetal,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Regice,Regice,Registeel,Registeel,Mega Lucario,Mega Lucario,Mega Aggron,Mega Aggron,Mega Glalie,Mega Glalie,Mega Steelix,Mega Steelix,Cryogonal,Cryogonal,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Piloswine,Piloswine,Stunfisk (Galarian),Stunfisk (Galarian)
Mega Lopunny,Double Kick,Focus Blast,35,1.4801544103168085,1.4602865284800837,1.4853555791123196,1.4404516753468222,1.4186854063815797,1.4377104046639906,1.4602552795837864,1.420557276106223,1.3973547070529901,1.4649669443788578,1.5847967000589276,1.4906430956590062,1.4196851124377494,1.4340955488879952,1.451278288644122,1.3909906901748172,1.3985010057590035,1.3980358118282445,1.9694606295625856,1.5975814086136075,1.4225336103697708,1.4277689625227894,1.3901056385412462,1.4259941461445298,1.3919795960707553,1.4209347741766718,1.415888246562802,1.4404784104972281,1.3801878451622824,1.3947054828748255,1.5006223862018322,1.46521353667601,1.4161369740376009,1.4584601611459267,1.3917436563080605,1.3921763253671324,1.3977802181399466,1.4155640612838911
Darmanitan,Fire Fang,Overheat,50,1.2437201145816692,1.2601048474287857,1.2391206157533299,1.2323344241139327,1.2083052793781346,1.2561347375033125,1.2276573392310621,1.2366999154537355,1.2191537086383106,1.2785315546261002,1.2119316440777843,1.2413042624238853,1.211472284945405,1.2270040056914844,1.2279186382495126,1.2250628636536047,1.2093550985741077,1.2453273944115135,1.2014727027144785,1.2425958860972584,1.3242326560489572,1.278339781856538,1.19913201453371,1.2468165455524156,1.2553918871379475,1.2338288487385105,1.2301354535745164,1.2631172970315494,1.2414310059838807,1.2418282229027588,1.205226253055961,1.2707245650012986,1.2113361683079678,1.293218442256043,1.2304980784403554,1.2428673233055916,1.2506903500261213,1.2720032411800455
Mega Lopunny,Double Kick,Focus Blast,50,1.288192960880986,1.2653732263805344,1.2723473291238419,1.255928469373646,1.2236673962330817,1.2541364452776116,1.2513941018155799,1.2627109953442583,1.2491946908624818,1.3045965865011635,1.3197831467295227,1.3324690630524456,1.2678922175136873,1.2874450957344798,1.2534683016342352,1.240441575977517,1.2586867267366564,1.2676858790139185,1.3426509441062182,1.3463822134904004,1.2450749498742877,1.2610606191491585,1.238086226618221,1.2675068967837437,1.2209230477805542,1.2535269391400041,1.2364249749944902,1.2519962025531048,1.20110708199326,1.2319362402777956,1.310754296255832,1.3301602084769897,1.23107654431513,1.3233885407341093,1.2335394874144208,1.2774172202285512,1.2163594298081948,1.2628660987493736
Volcanion,Incinerate,Overheat,35,1.5340364030867202,1.5922244968475179,1.5254496013273724,1.5622970917638384,1.4229941013083123,1.5512165438181515,1.4841333324217834,1.5811450435606969,1.4895520626032988,1.567165311835936,1.4896499705362405,1.5729546258102534,1.467592950601627,1.5345471558043862,1.4689709106406161,1.536982281017007,1.4657985207805533,1.5513779951924558,1.5024894934267072,1.5610965654101028,1.54871628164967,1.5940112845367291,1.428542591844974,1.5450225407078455,1.4531981490334744,1.489978441471753,1.4778849577025446,1.553308356078458,1.5669310508309522,1.580257037786861,1.444106136996606,1.5400789848388512,1.4584265890778871,1.5871195165622203,1.4821460385329974,1.5499605507622611,1.4811766336506988,1.5498384740865523
Terrakion,Double Kick,Sacred Sword,35,1.149355570994936,1.2182438984518098,1.1442964465133427,1.2041941282204913,1.1743068301157165,1.2483673088814078,1.172813932130543,1.2367227042042968,1.2149037002057543,1.2879212061928693,1.169459831074445,1.234723237085052,1.1623638992854712,1.2139255776547373,1.1818557262674148,1.2306059953692516,1.199133799175618,1.2556427051270207,1.2399340888295616,1.2085153746519264,1.1460579139519975,1.1981591019654734,1.1519226887363747,1.2204321423765307,1.1406288054410478,1.1776954925537384,1.1983996473799312,1.2679234407581332,1.145189190574427,1.173212203528824,1.1900651042832708,1.2666857710872506,1.2060205908683974,1.2850940017905104,1.1720241276628236,1.2314143188007431,1.2243451003806254,1.2754896420841642
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,35,1.3833098646494744,1.3948349080262898,1.3788339401760612,1.38737521316311,1.3374522755601794,1.4067977268935192,1.348749923087967,1.4033198651817518,1.364151516173643,1.386303841872702,1.3670163032802987,1.4171439795717933,1.3377617618856135,1.3828257910854032,1.4197402856067496,1.384404834606716,1.3887335540978398,1.4044934167764815,1.3677518507809125,1.409342433088675,1.453102338290588,1.4499402128694638,1.3313273785493205,1.3828261674068094,1.3239913044262634,1.3400136206601059,1.371836167291098,1.4023513655551223,1.3461168842817421,1.363312532834463,1.3480706027743201,1.3867122784708106,1.3690017905102956,1.4062444046553269,1.3673869333944162,1.4113410195719123,1.3776721077265894,1.4087405243461666
Darmanitan,Fire Fang,Overheat,35,1.360178039999554,1.402230329961026,1.357964695580034,1.399614693275568,1.3079313356954274,1.3739476086252418,1.3406621955138067,1.393397643187417,1.3604622727426046,1.4228083785880525,1.3682262816735415,1.376719701433903,1.3684636858548052,1.3908410405518266,1.4118173417278461,1.3656768112567312,1.3685292253629566,1.385026590614753,1.3462594222473965,1.4019828805241203,1.5266291424752325,1.460642791217884,1.3475894899744314,1.4102030345848473,1.4188961853131399,1.3763879993866193,1.3585790089341718,1.3849492261006662,1.3348538626142,1.3848135002498623,1.3475870221282922,1.3764496225384402,1.3636414503133394,1.4399731423455686,1.3746659540352753,1.412053650963325,1.4051261821244656,1.4139967801435076
Mega Charizard Y,Fire Spin,Blast Burn,40,1.0511567770004422,1.0697187101759964,1.0395778218186846,1.0547117112964925,1.0154111908290557,1.0663146426923946,1.0390394085863455,1.070501557611101,1.0433855027490133,1.088297298208925,1.0392300137497545,1.0669730897662542,1.0242564725169352,1.0603598935939869,1.0248994254767312,1.047987264709802,1.037735818473872,1.073087315442007,1.0147626762153361,1.0417767496761876,1.1535551746557124,1.1124157183321435,1.035547873772036,1.0813315839052617,1.0,1.038636220131516,1.056563310559954,1.0901215522064183,1.0012941583486028,1.0517919608420998,1.0641998083587811,1.092901215220253,1.0473925693822739,1.1062779767233661,1.0524547606322059,1.0838868952177343,1.0435533568603201,1.0727666243749534
Reshiram,Fire Fang,Fusion Flare,35,1.1967133934973788,1.2117253012227245,1.184650412499424,1.1997197769276857,1.2154229685828417,1.253773297869208,1.1921501869816984,1.2251277879187719,1.194728808985732,1.2406187809896447,1.2411534079748576,1.2547083087802005,1.203888149958242,1.235059853382412,1.2375433308876187,1.2402555845038348,1.2175583964262733,1.2618717653218186,1.1914236258273554,1.2248584929949575,1.1893410685301458,1.219980267973648,1.1805695734086934,1.2371274054635986,1.1756704341472655,1.1987579040419987,1.225719226270195,1.2607777984979742,1.2320771882167523,1.2145355765411376,1.246823143811511,1.2853394467479202,1.2263876454789615,1.2932743957027752,1.2339976075946146,1.2736886309841948,1.2328425362233855,1.2619065388675061
Reshiram,Fire Fang,Overheat,35,1.301551533885931,1.311441819336957,1.2977241093238696,1.3000359496704612,1.3197836819221294,1.3426619686515453,1.276616690936686,1.3038082281062777,1.2622525044692547,1.3201925995884911,1.3368076998625025,1.34045649184836,1.2973046645426707,1.3113013857527298,1.3160024427856543,1.3328559064008891,1.297296202104881,1.3385525823125812,1.2912806334443734,1.3169915353262482,1.290131258894188,1.3111817847026783,1.2931848001614856,1.3410123132821963,1.2557662297832421,1.2799000550238588,1.2950819672131146,1.3405496126265108,1.3377368886383147,1.3002959906718092,1.323596048967018,1.362730260506685,1.301521933751119,1.3623209489704566,1.3239418696393577,1.3347967727978418,1.3155246127109699,1.3588434104890557
Reshiram,Dragon Breath,Fusion Flare,35,1.5842123253316887,1.6034671729462424,1.9276913859058855,1.9016287966078258,1.6021533659838842,1.671092484811605,1.8548857941765629,1.9174044524660847,1.852417613923837,1.9741626471481093,1.848842270673738,1.873945393832253,1.8976074113025456,1.9844199480342726,1.5789855995735376,1.5865131285083922,1.8036703314871456,1.8888332385115738,1.8285834247665975,1.9276006987217826,1.9326269510382046,2.0031712185208255,1.530118759251783,1.627367615394967,1.7146201098673113,1.7459318425776422,1.6250699306626883,1.7080288877210232,1.9186730392219673,1.8921235729021182,1.6679681553189394,1.756785800639401,1.5780438675022381,1.6625559534467325,1.5883535669746254,1.6185894988674252,1.9207190302048127,1.9940507287324214
Reshiram,Dragon Breath,Overheat,35,1.6890244582077851,1.717066129673457,2.002560722680555,2.0256662211365626,1.6969662469206082,1.7510810996496118,1.9102077650388665,1.9858823690273535,1.8960054980267815,2.0230630417917492,1.9155906501669613,1.938723237085052,1.9971484580407683,2.008411565467537,1.6574212794748888,1.670262013657925,1.842060987410588,1.9599106568311377,1.953058096101972,1.986568222418512,2.036565627173819,2.0578775795987214,1.630748721571794,1.689392410173597,1.7338198284338044,1.7879078305265153,1.7162849441402344,1.778247749504128,1.9217610804300194,1.9457478569506554,1.7292575246044042,1.8397825678132305,1.6719225604297225,1.7544986571172785,1.65375022269731,1.712415056883256,1.9779301227170472,2.0372095998635293
Ho-Oh,Incinerate,Sacred Fire++,45,1.2991867079319197,1.3943890649556199,1.294342996727658,1.3800857261372539,1.2766947696958395,1.372826759056602,1.3089265814823172,1.3887601324482184,1.3220435457213207,1.3987840253651296,1.2740129640542133,1.3709432331565508,1.3126179281759411,1.374014043119181,1.2759337284553773,1.3571270614665207,1.3078449202281557,1.382554741331103,1.235806718661496,1.3303322097274428,1.360550496255916,1.3957589782993174,1.2769815637195532,1.3986088682546092,1.233903266252334,1.3298702880183293,1.2967009680099004,1.3955363046094902,1.2568199582281563,1.330433222710557,1.3150617460843401,1.4133539899880896,1.3141450313339302,1.4015331244404656,1.303173754803899,1.3835229441856915,1.3071124710799313,1.3687801861546172
Keldeo,Low Kick,Sacred Sword,40,1.2264381225548293,1.3067548940565403,1.2133548416831819,1.2907056275061068,1.1876863584166772,1.295081806314839,1.2018536369706458,1.3026209342020405,1.2554938105035922,1.353480116031976,1.2270045177764684,1.3189157336476134,1.196847257879922,1.2703938414426676,1.2030748637649067,1.277247384769495,1.2715208923943224,1.3540984882007692,1.1398116936873417,1.2270132812592836,1.159226995594393,1.2336676562990174,1.2002968981294577,1.298412057596555,1.1494754692813522,1.2301485644185062,1.2427568786342753,1.3337515045688033,1.1851287110951656,1.2671219712209936,1.2513544735687356,1.352270590237044,1.2755035810205908,1.37113921217547,1.2386297116387976,1.3231401593240184,1.2538675594127493,1.3272099197168232
Primal Groudon,Mud Shot,Fire Blast or Fire Punch,30,1.3780860700047928,1.4639034303908929,1.2383407844402452,1.291137023551643,1.3833207376799788,1.4934486244565057,1.2675171428376097,1.3387137573408263,1.2879718015313522,1.3861436233008397,1.2992480848556276,1.3745354547240227,1.2553048346685638,1.31274165609824,1.3931186083737168,1.4600535714024196,1.3345052330265,1.390454933730126,1.2200973615726785,1.2876365062326458,1.2380823562039944,1.2973239007579098,1.3664925649306958,1.4650492867716325,1.2223166848576146,1.2762581069988546,1.4361554240764913,1.5445352365775509,1.214240867214228,1.2771292748869214,1.3962674738284364,1.495141805546849,1.4278088630259624,1.534265890778872,1.4074597236008246,1.498905601791759,1.3126885801712282,1.3532779631742242
Mega Blaziken,Counter,Blast Burn,40,1.0,1.0192492745761703,1.0,1.0170585795271234,1.0,1.0177530008735167,1.0,1.0167770781631356,0.9999999999999999,1.0402275103720442,1.0,1.0244117069338048,1.0,1.021998437934981,1.0,1.0096290861374844,1.0,1.0291775468557267,0.9999999999999999,1.0163074692724816,0.9999999999999999,1.0230737404920276,1.0,1.0204716727223793,1.0205369787391418,1.0082039671300096,1.0,1.0359740281756997,1.0,1.0007431800417719,1.0,1.0419819642329426,1.0,1.03088630259624,1.0,1.0238222493700848,1.0,1.0393419551565681
Mega Gallade,Low Kick,Close Combat,40,1.322155056789261,1.3426935609114519,1.3044402451951882,1.3356740563211504,1.2565999587778618,1.311352773170277,1.286019329418226,1.3418267006674827,1.3366445171518195,1.4111630181805914,1.2835937929679828,1.3162239245727756,1.300115608277398,1.3527773052058523,1.296212657085909,1.3246869265567998,1.2673406305565955,1.3227246424733405,1.266203492816712,1.3104915214627209,1.2476778496637826,1.295050625832587,1.3114150181671378,1.3684438500874714,1.231630149466449,1.2896622797918114,1.2829013172393917,1.327004255174869,1.2686083313045373,1.3111489819714772,1.3336079593792258,1.3888615257864902,1.2845456580125336,1.368509400179051,1.3120434705148762,1.3826830571886692,1.3005981256596975,1.351081637222394
Shadow Mewtwo,Confusion or Psycho Cut,Flamethrower,35,1.410077168004815,1.464934442491817,1.5915306263538738,1.6268756049223394,1.4103447937420868,1.4645931276806659,1.559388623399945,1.6526538639466015,1.5916871858872734,1.7141110399028567,1.4490135533294048,1.5038601453545473,1.4005536824522873,1.4764762287729283,1.44487696004991,1.48903455780161,1.573759172181727,1.6637377278761385,1.423198038508918,1.4432367771655819,1.4856920076200175,1.5660249969310787,1.4374285089489975,1.5058244179787377,1.4654770388143712,1.5450180857109355,1.421219929815044,1.4988556800650992,1.4692156887869507,1.5606268339248877,1.4453240438088244,1.5148163736824667,1.4707363473589974,1.545053715308863,1.4285459774503069,1.4919574457254843,1.6305267983751452,1.7184651306600707
Entei,Fire Fang,Overheat,30,1.572354757331332,1.5848290749127818,1.5578651426464487,1.5653039590726827,1.5126404742508859,1.5663431055973775,1.5469710332191617,1.5770362318345172,1.5738860592977366,1.632930819307181,1.5524069927322726,1.5882789235906503,1.504214482353305,1.5341044418324106,1.5069541772659838,1.5152183495966034,1.5509792575375194,1.6069597550518926,1.5255385980408853,1.5675886572579525,1.582035672230128,1.5853273743219956,1.4891754138070246,1.55175531556991,1.5559258891765364,1.5471288370121143,1.5220048485259463,1.589816400223778,1.534436144176928,1.5313865433158644,1.522132769752926,1.5823922913662944,1.5386190689346464,1.6156557743957027,1.5730319920592504,1.6098215876409356,1.5381105199748382,1.5903852099836875
Lucario,Counter,Aura Sphere,35,1.260140143338547,1.319985287178668,1.2529603170945292,1.3043425358344471,1.2808385760695673,1.357821900733165,1.2865343551809085,1.3550532914931874,1.3195728066920767,1.3844655445744931,1.426478098605382,1.4277729326262032,1.3326057873735655,1.3498349005536825,1.4719277357222253,1.3353543430473604,1.295497020003339,1.3459503004309932,1.4988651712541738,1.3735982983510322,1.2811927418878184,1.3432372344246568,1.290615327681335,1.3471142847530615,1.2939333940700517,1.329965001217741,1.3238340651329954,1.3716835912997778,1.3032174570429123,1.3167484591827583,1.3141751815666223,1.3749361942203158,1.297996866606983,1.3672336615935543,1.326766944083887,1.3732152401313278,1.3239367543420084,1.353651125350506
Shadow Charizard,Fire Spin,Blast Burn,35,1.3000133752921201,1.301819039728333,1.2945863483430888,1.2904530580264553,1.2694691177480935,1.303911195736453,1.5296812081684,1.3682001216919282,1.3004646338584005,1.346569636050865,1.2975745433117265,1.308120212139069,1.5183484642271645,1.3594914782393517,1.2682641430406236,1.2953764277042354,1.2904641727733501,1.3136249953399564,1.2809582470163707,1.2901002531084007,1.5898716508977162,1.42214033380769,1.2949174068093123,1.3312222446507873,1.2492490596332344,1.2906680437665186,1.289945242172004,1.3220879176767761,1.4479966172494652,1.301846418000333,1.3313512496977622,1.344569120689192,1.295389435989257,1.3371307072515668,1.3306609656155355,1.3333206077727724,1.3088076935378974,1.3330952203256108
Pheromosa,Low Kick,Close Combat or Focus Blast,30,1.9542787931028076,1.5644150353144866,1.90621744941697,1.5411107526386136,1.7345039111957365,1.462206169580025,1.6793941838550819,1.4620396387527261,1.4757226700846626,1.4947423010759942,1.616873698683952,1.5401264977411118,1.5474206594698259,1.5549873952179158,1.7616746262230403,1.4810530339309955,1.5580868372809982,1.45388015502142,1.8161498211604958,1.5776535781764311,1.700725629356163,1.6114541230387318,2.020942672587808,1.6092551473556722,1.4942270049882285,1.5229656957812034,1.4654500144099547,1.4527946835743468,1.3781376933229117,1.4226003613392617,1.6575801266264878,1.5997564186375564,1.4713965980304387,1.5197515666965085,1.4626759308747552,1.489768649309002,1.4572302837098718,1.4404912946595163
Blaziken,Counter or Fire Spin,Blast Burn or Blaze Kick,45,1.3784668942943232,1.3436502658339309,1.3619707793704199,1.3299423883486197,1.281878944320669,1.306521931159029,1.2788044109905587,1.319958615628981,1.3086231321887543,1.358733598677775,1.3210245531329798,1.3551239442152818,1.3057858269665006,1.3294487921061586,1.2990449996851325,1.3062166551703431,1.2917252211292056,1.3263505617176192,1.296025920835297,1.322453765136001,1.3091403838197382,1.3324028061305677,1.3069447248015071,1.3296157986812005,1.314348598695664,1.309078485671246,1.2871819214403173,1.3161205011273671,1.308573478723268,1.3030380687569674,1.3197005382073486,1.3659004002973125,1.3204565801253358,1.3668531781557745,1.3300246875874884,1.346707897482884,1.3216551341784568,1.3431279519793589
Terrakion,Double Kick,Sacred Sword,40,1.1012528190285822,1.172258901071138,1.095681430612527,1.159806424851362,1.0969976542640376,1.1800425962095262,1.1144656151937158,1.186040522956248,1.1728168111444663,1.2397122811751609,1.128042427813789,1.198005892751915,1.1309853382412076,1.1839930867023416,1.1446486445322168,1.1942834715088888,1.1645927445955648,1.2229121788419426,1.0971080681768668,1.13733606378807,1.1066779724206286,1.1576266100469657,1.1114881913605168,1.188912999596286,1.1023872236404146,1.1592128882113637,1.1454049197280756,1.2080882228287588,1.1135912253501274,1.1357841190113143,1.151217459052361,1.2222859036241682,1.1489592658907788,1.2359444941808415,1.1480237204448858,1.205263291848006,1.1577409828025547,1.2165300182316379
Entei,Fire Fang,Overheat,45,1.401712037391372,1.4253510085341794,1.3905756556205926,1.4117361847259988,1.3522529861513246,1.4171562613483566,1.357104279043693,1.4323436178964617,1.3653742368536443,1.4544979255911221,1.3690779807503437,1.426814378314673,1.3199256085867177,1.376708991926753,1.3472665843617782,1.3602742715211904,1.3831868863938068,1.4463381781579292,1.3120838466139324,1.3609349562902784,1.3682591715276862,1.3953156896888794,1.3663874310321626,1.4139121585250976,1.3200584515744942,1.3665310614192547,1.3726244765795854,1.4363419058436604,1.35228015324885,1.3563932703765873,1.3642795096134042,1.4336016907412217,1.3695837063563117,1.452898388540734,1.3619403934743326,1.4075488025247513,1.3872037358864735,1.4183894320471677
Keldeo,Low Kick,Sacred Sword,45,1.1494781778393701,1.223339513213674,1.138124164631055,1.2079439553855371,1.1643840725509633,1.2685524159117454,1.169372830795806,1.2668722211967285,1.2268357675312846,1.327967416602017,1.2106100962482813,1.303035160086427,1.1719450802684896,1.2450760153422624,1.1855843427398154,1.2583816984389895,1.253054152139487,1.3368036476391003,1.1151227318278862,1.2008943955700087,1.1418750880894033,1.2148199338931651,1.1716458081011978,1.2722000740142645,1.12350375695691,1.2038228051343576,1.2263973417871734,1.3160865953515182,1.1303768435349744,1.2123957305587945,1.1810382655574163,1.2710111313100558,1.2415734109221128,1.3509735899731423,1.212809549260645,1.290117329668372,1.2291748851193587,1.3006514345420235
Breloom,Counter,Dynamic Punch,50,1.432861606595505,1.380075644707657,1.4112070793197216,1.3671936212379592,1.3347060959690638,1.3779559708304299,1.281956095193169,1.3513706294025019,1.3213647249300096,1.3745783721793097,1.348051070516598,1.3741536043999214,1.2735972346809366,1.324737464814872,1.3903126267707633,1.3696602506930744,1.3192364984350358,1.3602432623872067,1.285279706568539,1.3442908013514958,1.3006724347229104,1.359966264600108,1.374318732337505,1.3955389584174405,1.2285993270852689,1.2880047988021035,1.3097123094919219,1.3615372878769898,1.2388426892866753,1.2950809169304103,1.3479720956056849,1.4280494685090492,1.3240264100268577,1.39227842435094,1.290104604107811,1.3508818813468735,1.3030609960231574,1.3543334790442785
Lucario,Counter,Aura Sphere,50,1.1436302028957508,1.1885321731505871,1.1332976909250125,1.1761607595520118,1.148986622434658,1.1975286346638925,1.151843723864152,1.2082618336284479,1.185895706142274,1.2552619152022126,1.2174991160872128,1.2275089373404047,1.1553887376658727,1.2196673265489189,1.164237793760352,1.1947037829494147,1.1606426483960535,1.217041334182677,1.393233014208135,1.2434791908453187,1.1476014676262918,1.1994184962741024,1.156481294576773,1.2101963060153411,1.1659420355219599,1.1908268011293421,1.160628613084239,1.2172088765321172,1.1450610560844663,1.1565419063849416,1.153948794182704,1.2142262261903696,1.1853849597135184,1.2585720680393913,1.1793667761064877,1.2279784174492887,1.1862825583998806,1.241681148913032
Mega Gallade,Low Kick,Close Combat,45,1.2838199834294992,1.3125712884493206,1.2816278748214038,1.3038963912061574,1.2328285257196698,1.288211449939639,1.266163491054276,1.3152094400120327,1.2741213276216816,1.3520044186595608,1.2641587114515813,1.2922333529758396,1.2008413498716322,1.2618392155649727,1.274114819712753,1.3034194605661462,1.2459708856676506,1.3026629515987598,1.237177227373733,1.2913202435227618,1.222844594379555,1.2767985014571692,1.2395833333333333,1.2922007468712151,1.214146543870252,1.2692628606994345,1.2710427721362334,1.3079407327038162,1.2004023422984764,1.2419179170457313,1.3118378751108206,1.3658556243115691,1.2869628469113699,1.350749776186213,1.248555648876333,1.3202896337583672,1.2780378066593456,1.323520945059866
Shadow Alakazam,Counter,Fire Punch or Focus Blast,35,1.570755295315304,1.5195056343418056,1.5635267548509009,1.5278628381803936,1.51990145945999,1.473885775417865,1.5392114636530825,1.4408757261065648,1.5090312679191822,1.4847286403346036,1.5765562757807896,1.5321532115497938,1.4105466454267066,1.4361138606204955,1.4898473551865992,1.4356169278602047,1.4680742430062874,1.4502558566619175,1.5821612050970246,1.4943258562708694,1.533658108544331,1.5121620208504776,1.6521161351096758,1.523852778899206,1.468077141645845,1.4229620876593212,1.463500432298642,1.5074338413548747,1.4792101790038825,1.4617454480222443,1.4782343933301691,1.5020373073513213,1.5065465532676814,1.5011414503133393,1.4500521747983,1.4653864752742358,1.4463232863859776,1.446291301056582
