Attacker,Fast Move,Charged Move,Level,"Regice, Tier 5","Arceus (Bug), Tier 5","Arceus (Grass), Tier 5","Arceus (Ice), Tier 5","Arceus (Steel), Tier 5","Genesect (Chill), Tier 5","Genesect (Shock), Tier 5","Genesect, Tier 5","Genesect (Burn), Tier 5","Genesect (Douse), Tier 5","Shaymin, Tier 5","Zacian (Crowned Sword), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Registeel, Tier 5","Mega Abomasnow, Mega Tier","Mega Aggron, Mega Tier","Mega Beedrill, Mega Tier","Mega Glalie, Mega Tier","Mega Lucario, Mega Tier","Mega Mawile, Mega Tier","Mega Metagross, Mega Tier","Mega Scizor, Mega Tier","Mega Steelix, Mega Tier","Mega Venusaur, Mega Tier","Piloswine, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Cryogonal, Tier 3","Durant, Tier 3","Excadrill, Tier 3","Galvantula, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Gloom, Tier 3","Jynx, Tier 3","Mawile, Tier 3","Meganium, Tier 3","Metagross, Tier 3","Metang, Tier 3","Parasect, Tier 3","Pinsir, Tier 3","Skarmory, Tier 3","Stunfisk (Galarian), Tier 3","Tangela, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Delphox,Fire Spin,Flamethrower,40,1.5121239001012048,1.4856868190716281,1.4843565059292194,1.4804127597538725,1.4854719195906392,1.5140087052329494,1.5438055904996755,1.5229451471067652,1.552154039503002,1.5428098820159268,1.5444173482486423,1.507783717541193,1.5694238720925069,1.5492706153016218,1.497209983726472,1.494023089560819,1.3498746097662093,1.58557348184936,1.5251795603776086,1.5091139108324083,1.5366389665214937,1.6333644920762591,1.5816934641684297,1.6814116267254227,1.538334453563875,1.4975119690531222,1.5298753634777833,1.5021925290348637,1.5473593087292252,1.5134213131026557,1.5237103277123074,1.6718112394060018,1.5247644407069183,1.416602092733199,1.5445609667372027,1.520592522720322,1.4881047714116495,1.5119184345461745,1.5197269671922655,1.5771508298730719,1.5078417237097868,1.5799455977712298,1.5202417939375539,1.5465335840806678,1.5269064269708383,1.52948254202845,1.5404360632049372,1.5521088187098013
Infernape,Fire Spin,Blast Burn,40,1.484620847711129,1.67484337486643,1.678131572076142,1.6716390802105894,1.6944801674706902,1.3885809999750145,1.4185482201586335,1.4128981721153484,1.421682530983573,1.414104821339728,1.4740586706301941,1.5045620413973093,1.4461505158791246,1.4643806968629476,1.479541791452853,1.4610496073647916,1.2587124317708007,1.518891244630358,1.4576539424522463,1.5514403840944642,1.4550714601749855,,1.4334371577868261,1.5328750046309305,1.4530107233811642,1.4021304278103832,1.4149402958469801,1.3815779305103066,1.4438898160008113,1.4159605951758523,1.394347117446884,1.5965802315472473,1.3967892288646557,1.3979442735772196,1.4436760936424238,1.4395276020718955,1.5446595852814808,1.4228087079138236,1.4563254675088568,1.5788173035584674,1.497993517322432,1.475388862350933,1.4662088969972313,1.4944259071710582,1.43865656887168,1.452509883613523,1.4624905970630848,1.4617649818142486
Emboar,Ember or Low Kick,Blast Burn,40,1.3838528667792627,1.4098195087100636,1.4134192946635764,1.3760599816174675,1.3987731572772437,1.3512510260308264,1.3764733555018547,1.3712880660042581,1.388403226403352,1.3843747199500622,1.4102719746654158,1.421803394858578,1.3653393133656828,1.3540341288674178,1.3942418327167896,1.3698062076552857,1.2016711777685776,1.4572539614392737,1.3494850852272726,1.4412196852857797,1.4099371358671795,1.7094891749844903,1.3819746028431263,1.5046786513214452,1.3419397295414044,1.3396416561864992,1.377953888084692,1.3661348261723267,1.4170386272738862,1.351891574473745,1.3568940899068878,1.4782142568994134,1.3429482603787979,1.2763366818683566,1.3914291092524549,1.3735024008225492,1.4338463069310308,1.381496132621768,1.419975786513389,1.506554394451574,1.4269832507583482,1.446344085909112,1.4018033538274606,1.4379485999365758,1.3659065524124003,1.3736164788472198,1.4177958821590817,1.407382465889299
Victini,Confusion or Quick Attack,V-Create,40,1.387287499573344,1.3589280226440605,1.3570174961228914,1.3519952168725569,1.3849328619279035,1.4986993482498585,1.5069242259198494,1.5182567982421347,1.5378003930010735,1.4747538843892054,1.4155189738801115,1.3686223005897589,1.4444341241309486,1.3895990271917869,1.4662934905062222,1.4388846525715,1.2551891925751588,1.2986992594031572,1.4092498120799435,1.431325281541696,1.4810255126554386,1.3860744666085854,1.4848728106539248,1.4597375880814583,1.2764209189179192,1.3676297893329632,1.2949949841125363,1.3032681689036294,1.4578669404149425,1.3798926159112117,1.4692006478049044,1.4859349914468392,1.394084131477289,1.338280821296012,1.4565903338313229,1.3269291891745636,1.4067857570440545,1.5088230214797465,1.4454779144870062,1.433462335952518,1.4900241871188096,1.5459380029218464,1.4564776886494708,1.4907337791194555,1.472003714388405,1.442750600406429,1.3195226250119347,1.3204032873422313
Shadow Ninetales,Fire Spin,Weather Ball Fire,40,1.5901682402565116,1.618146450907533,1.6127760900234946,1.6136053424740355,1.6214090278479978,1.5660569412960164,1.5949347185279314,1.5773330310497131,1.6051009540335976,1.5833586022070254,1.5991289754881806,1.6070987176867368,1.619675936406746,1.6052714981591214,1.6542333414626071,1.595926635358474,1.4045861551045873,1.6155028510669012,1.5901983800185708,1.6443976239366285,1.5874697515525953,1.7114312314280795,1.6052562506615755,1.6839405208313756,1.5826767877954482,1.60187705000763,1.5969893345254875,1.5420246059093923,1.6158583265377082,1.5750333762313122,1.5718231284377082,,1.5560303353689224,1.542276338850234,1.590263521287409,1.5905652987419312,1.6104911749618036,1.5660069534044319,1.6047289848261619,1.657279065927763,1.5852327904521741,1.6581797238635687,1.6253804555414135,1.5934728704847514,1.6081323456475969,1.614115093293922,1.619928804968969,1.5955956302689196
Shadow Arcanine,Fire Fang,Flamethrower,40,1.2758087034549066,1.283196071463506,1.2796431876555256,1.2805922256623032,1.2832983842418613,1.2474606982677519,1.2775213721350054,1.2619158752731578,1.276891889991221,1.2710867946218052,1.273960005256305,1.263469633980401,1.3090887608767554,1.2604662292331172,1.283909871271009,1.2711664556663216,1.1331890829625475,1.293237180419101,1.2498245158295012,1.3157798888581278,1.2981020862984731,1.3510297016954482,1.2602185183038694,1.3713734400145035,1.2383952050021894,1.270746007489855,1.2561333375885564,1.227314588565194,1.2554016441401092,1.2392933224189933,1.259472385541819,1.373708527143027,1.2352711955102373,1.2141447126857496,1.2705623188826567,1.2844423779446879,1.2996717122262915,1.2340892882594674,1.2834938466748314,1.3590939207683228,1.268051123747234,1.3250094857222894,1.2962360597764162,1.2559548216307397,1.289330425037706,1.2941548124884537,1.2846914434180903,1.2777557318412898
Typhlosion,Incinerate or Ember or Shadow Claw,Blast Burn,40,1.4674353466976409,1.45196306720041,1.4482608582192154,1.450119454899426,1.4509853585832189,1.4322505635574267,1.4555244163472059,1.444471105712664,1.466112260969152,1.4478935223097436,1.4644689368554056,1.4978695124051447,1.477607219504875,1.4611224916219523,1.4549907580338337,1.4412305849596099,1.323048604183931,1.5379355935299919,1.4314931906614785,1.5682976245138132,1.4499605070422041,1.6330609869685107,1.459213977201408,1.6017954707295414,1.4677361024610132,1.4309591203122634,1.4076770970660495,1.4019780216997535,1.439831963171109,1.422818517493956,1.4556580754558552,1.6207724859283057,1.3971920966397289,1.3607407542327947,1.434959253701281,1.4297135478877496,1.4469368859718328,1.3947053953970199,1.4338780117194303,1.5463490087731429,1.416878457755594,1.4788958793464904,1.4883731225682986,1.4540547340530923,1.4537856737426167,1.4639600036948088,1.464052808728716,1.4559968646778476
Shadow Charizard,Fire Spin,Blast Burn,40,1.2001956243798066,1.2414817199481445,1.2410162468914672,1.2379026948784655,1.2530831846422141,1.2157521531456796,1.3899870556813392,1.197798131844395,1.1931007054527876,1.1808031368683232,1.1955475871941759,1.5227341250977067,1.2294757640086398,1.3905309797653054,1.2106340530843716,1.2317831188879496,1.255755306786212,1.2525353710475033,1.2417641962548638,1.2437891121354923,1.202820683255951,1.2507286630892638,1.2034190543656642,1.2034084885980882,1.202814841307525,1.2436103239553877,1.195011728242426,1.1507820560516007,1.193642997884621,1.2048196197762748,1.2559985796569266,1.4069327060713388,1.1989470006183893,1.2745672953771021,1.2280009668823686,1.197142452424124,1.2410032063657939,1.1600085676879857,1.1693506129497993,1.2127527384578438,1.194143893914801,1.21814366940838,1.1842916818162839,1.2000122687769412,1.2216507980583566,1.1880530205061888,1.192067785739601,1.1919003319276749
Mega Charizard Y,Fire Spin,Blast Burn,40,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
Shadow Entei,Fire Fang,Overheat or Flamethrower,40,1.1796045648704343,1.160541932000956,1.1531914352083508,1.1546778455766673,1.167519715383728,1.1317112964353384,1.1802643078414279,1.159221342573426,1.1558116886647052,1.1684202943112394,1.1851297542132089,1.152082390016888,1.1591551889113263,1.149742056083544,1.1653307172908551,1.1232745216983868,1.0340365438262262,1.1541680369465757,1.1243154735585426,1.1965545130628488,1.1493371294921595,1.2887792573071153,1.1509054025596408,1.218872509381163,1.1578384524785874,1.1234984959873948,1.1223328205443552,1.140130912708847,1.1478309229749475,1.115832042738556,1.135555429510036,1.2514422976681192,1.1216052587091372,1.0631355841548549,1.1242662548025373,1.129534318393893,1.1525261627238572,1.120705876047491,1.142423381725477,1.185345243494119,1.142516905835213,1.1710804107030306,1.181582379426858,1.1262111316889751,1.1280621872065224,1.1478839830038794,1.143464817074583,1.156270901841091
Heatmor,Fire Spin,Flamethrower,40,,,,,,,,,,,,,,,,,,,,1.79798658105493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandelure,Incinerate or Fire Spin,Overheat,40,1.2342412985807054,1.3265158135728161,1.3244720167555863,1.3177930348566862,1.32937528358828,1.2477653843375611,1.2892274917225623,1.2212761852456067,1.2802233915539782,1.2521254824584445,1.3037982494038498,1.337579478314812,1.3635083920103526,1.2514631532666556,1.2069839052303393,1.3083342888190712,1.1762409539809502,1.2889242747472551,1.247477104151928,1.4010315814851648,1.237689294966629,1.541485929235652,1.29740628857195,1.4219349640241477,1.2590673186613965,1.2804642476236732,1.2607537357961387,1.2342837537419575,1.26800551456735,1.288329136689375,1.2601825570785479,1.4159295023755756,1.2232411454810923,1.2634758152043497,1.283539400695288,1.2338970928810549,1.2847146183798341,1.2318008238686362,1.25319877490404,1.2903502395648059,1.2692357896098236,1.245963367865195,1.2234216372001785,1.2621884172932898,1.3015713651086624,1.2766449288749309,1.2381383236175467,1.270718144030563
Blaziken,Counter or Fire Spin,Blast Burn or Blaze Kick,40,1.3669846333903715,1.5626407669858313,1.5558736679812448,1.516674815092219,1.5156349280633121,1.2933570756437125,1.3248249068558648,1.3260253445152315,1.3254935281706797,1.3123291695379833,1.3677831533526992,1.3988853686885498,1.3269238149570666,1.3237007375627636,1.3651256266289693,1.3558155160039564,1.1643819009144427,1.3937090743177236,1.3484316274982313,1.3778125725005237,1.3593191244465357,1.6931828405068114,1.341660843205278,1.4092358117764001,1.3603560729855892,1.2988473811751822,1.3069600746774355,1.2894822509651014,1.3420960129974053,1.2923622872287364,1.3086420520486843,1.430360637874501,1.30583979476863,1.276960159314172,1.3330903075199745,1.335509610944632,1.4203461114886056,1.335312234961827,1.341402187491428,1.4555521247774015,1.400719453372242,1.3606459419749048,1.3936062438858363,1.3962809484874823,1.2998822740613716,1.3442698318861999,1.3451666626919285,1.3303615590814337
