Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Reshiram,Dragon Breath,Draco Meteor,35,1.2269254498629611,1.2265284754694636,1.2604322224245736,1.315281571865072,1.2477418776895488,1.2689371275196826,1.270260566894252,1.3133273293008954,1.2586567992153206,1.2729434323294369,1.4218576099804154,1.2482744786768705,1.3503627374759999,1.4035363145528814,1.3596327637666303,1.3644482945152883,1.3637975536279274,1.389534795706738,1.3637975536279274,1.389534795706738,1.3181494510633325,1.3712151002752655,1.2741049667078326,1.3417396872692582,1.3242375046165211,1.365112950880217,1.4494401907636134,1.3434564727360794,1.4142383247999242,1.2798051974118771,1.2415410140937517,1.2902492387915474,1.2214500917426745,1.2933681074831482,1.286826118106604,1.2882721077753023,1.330582967213168,1.3936303209193432,1.2896267342627172,1.3322081726291544,1.370595145090854,1.4011510597280845,1.332514724967555,1.390795647399421
Tyrantrum,Rock Throw or Dragon Tail,Outrage,30,1.5755682109521927,1.5136947895456794,1.5439385661385296,1.534563629373318,1.5362186930610064,1.5743726780722127,1.7678934365377827,1.534833530087099,1.7136402373333763,1.514198195880433,1.7383031223308343,1.5090978111762017,1.525402361551975,1.6136620377728046,1.6179388923144433,1.6300212216241163,1.5882533266724193,1.6522359477421016,1.5882533266724193,1.6522359477421016,1.5513556025549735,1.603991880201082,1.5575229189945046,1.5469128784166126,1.6270851286470518,1.596537224547581,1.5989027366381638,1.570262113675739,1.5354480131084844,1.487625036037384,1.6760460918555253,1.5204514376356044,1.5353094164099408,1.555223757595736,1.5449483598485965,1.528440523042598,1.5670202851678308,1.5800220159177034,1.7318028555504739,1.57948029055439,1.640989641586529,1.6141454449396648,1.5759209344115004,1.628721174004193
Exeggutor (Alola),Dragon Tail,Draco Meteor or Dragon Pulse,40,1.3737083859186567,1.3779262388495683,1.3993747344138894,1.4742325826099274,1.4456047745089091,1.4653092579634306,1.6465612715567077,1.413777226055878,1.507151356305575,1.3784450322393917,1.714167392823557,1.4036123788899724,1.5005906027584368,1.5181325785072137,1.4269783206545794,1.4948383411574675,1.414040147145647,1.4871436789439425,1.414040147145647,1.4871436789439425,1.3799194396913628,1.4394766768341287,1.3921516737563626,1.426507295525977,1.4209978610119416,1.4541983411301245,1.5473648912982731,1.4704167365263883,1.5284266534316713,1.380781035030162,1.4973690447973453,1.3683647236858898,1.5625534761626596,1.500151490545778,1.37855486091346,1.4051780824606688,1.5846525024435072,1.4866979045911957,1.6166180002258963,1.4726211923987773,1.4778943700364764,1.445256655969155,1.483508036338225,1.4971748028351801
Shadow Flygon,Dragon Tail,Dragon Claw,45,1.3535387786090347,1.2763107184740305,1.281337137538194,1.3138023836985775,1.2746458162199439,1.3117484897961944,1.3459052904450692,1.2741124782455244,1.40466466208937,1.2645820938721037,1.3556321015986956,1.263830053404885,1.3455756336630684,1.3956050564186706,1.308386891769717,1.370130091203807,1.3397387861997971,1.4223927819913107,1.3397387861997971,1.4223927819913107,1.273715870805922,1.3312559118300369,1.2934693117440652,1.3017711171662125,1.334884356149206,1.3351478825557062,1.3486223662884926,1.3334805044803368,1.2510756474868714,1.2490228851073457,1.316219665615257,1.2570550804966543,1.2889954843698115,1.3233486924548012,1.2596729184455284,1.3188472648876415,1.3258355820092935,1.375806519699051,1.3812970887161133,1.3337968526360424,1.322134856089432,1.3506258325230578,1.3347109913147648,1.386712588599381
Latios,Dragon Breath,Dragon Claw,45,1.1898066900109665,1.2417210163206098,1.2208927740342783,1.3009894979663692,1.22340621524503,1.28671054455228,1.2213946393726598,1.212806438919112,1.1919268865269896,1.2088324677204099,1.1990281001147474,1.1855776614009508,1.2958941296233457,1.4065365765657414,1.3127144386483225,1.3715675630690782,1.301495299514056,1.4061038194286752,1.301495299514056,1.4061038194286752,1.217976214515735,1.290227545673869,1.1809375387973,1.2459944850658982,1.2286081958635973,1.307291025483196,1.23419773095624,1.2459751485683415,1.2197733020461936,1.2178938840453835,1.1495760934964538,1.230191259321385,1.2234546146444094,1.2949533045541695,1.2326276772891294,1.2994965207918265,1.250432687468137,1.3163408116015445,1.2503726361904268,1.3296159208696634,1.19735503560529,1.2727640608577868,1.3004991514425477,1.3741938704202854
Giratina,Dragon Breath or Shadow Claw,Dragon Claw,45,1.5611679648280687,1.6662669355065476,1.5890750521054655,1.719607843137255,1.6004653151737032,1.717111023220123,1.542675283264571,1.6527316319203573,1.5437101027479863,1.6632893023106239,1.5112353007152288,1.608697058848905,1.7028409066504018,1.81834562502953,1.7199956119279902,1.8453772039659093,1.6668199433822306,1.7992131795267725,1.6668199433822306,1.7992131795267725,1.5900670627371376,1.7270323410315547,1.5682081038166742,1.6742480674860656,1.6262253016127048,1.7416479441093193,1.6718120680340542,1.7723411389929022,1.6143981665638765,1.7247911656405897,1.624438893649607,1.7472514449286196,1.6306878640317817,1.7625937120516184,1.620496412833322,1.723158407841059,1.7478722816998367,1.869271558876344,1.570611086320132,1.6567756831972094,1.6053551255318312,1.718794085081749,1.691853848457622,1.81842867125886
Latias,Dragon Breath,Outrage,30,1.5187198237433692,1.5504761211632012,1.5314231368501994,1.591865476840891,1.5485741377387001,1.612179324659169,1.666185938393759,1.4773226072105183,1.5519428052290525,1.4874298531941923,1.7294317858282935,1.5187370046675353,1.6364550089556853,1.7111179358540973,1.67878178042239,1.6513525475405992,1.645196572656948,1.7453846677869114,1.645196572656948,1.7453846677869114,1.5608145306139802,1.588319818048485,1.50424891694274,1.558458954906919,1.5374149790717717,1.595296534531577,1.5828964772071015,1.560334581493694,1.579003069107842,1.512263658624704,1.4701259868361076,1.5144985140481704,1.508807054369351,1.5723458250417508,1.5370248598993042,1.5872648222119716,1.5796258592864636,1.6211541146711088,1.6213303436029707,1.6016477463148364,1.5768484119534856,1.5919482023122362,1.6018069282220224,1.6666267345512629
Zekrom,Dragon Breath,Outrage,45,1.1380974671379636,1.1542741736729891,1.1043626945102087,1.1463202412027762,1.147007818917521,1.1941841519026708,1.2034555640747908,1.112952888629255,1.18375046228554,1.1252834011352126,1.0880813928408122,1.1127585046632216,1.230197626421205,1.2880724014552452,1.1985186474146312,1.2384803652691667,1.220650347427222,1.2930707570734365,1.220650347427222,1.2930707570734365,1.1474742536480642,1.1979020310125306,1.12472474336607,1.1556760041558034,1.1458320509663917,1.1895697402437524,1.1901376702248552,1.1631457366940516,1.1723353319636087,1.134163075092785,1.0940561926814594,1.1370266377377067,1.1639442805653386,1.1913895197628508,1.1550087838965168,1.1922282962512227,1.179033572650905,1.2131257732360476,1.129327440281,1.1602557811843257,1.1446333526300703,1.1818078607037876,1.1870819606668663,1.2221024258760107
Shadow Rayquaza,Dragon Tail,Outrage,45,0.9080690007658297,0.9136398747545789,0.9369635160565775,0.9219166717254498,0.925623941505167,0.9377005013166746,1.1229650183974913,0.942148307714776,1.0152192439420495,0.9108050200189739,1.1075970390054095,0.9219956516862658,0.9619608870638666,0.9957605460176192,0.9752263072482628,0.9808702757298008,0.9341629199025084,0.9833458225471942,0.9341629199025084,0.9833458225471942,0.917594668990658,0.9507136708080476,0.9321855866805193,0.9149775547409483,0.9446748430382864,0.9470715868521483,0.9459024944577954,0.9321056651576967,0.9429441539152109,0.907317322394999,1.0387751381114738,0.9137783288055865,0.9345148787954441,0.9458827293506267,0.9252796288844616,0.9377831866079112,0.9574099149562117,0.9629236359385502,1.0542697163891415,0.9518970653858474,0.9478684599517769,0.9522827290457108,0.9380353399221324,0.9701906758510532
Shadow Zekrom,Dragon Breath,Outrage,50,0.9115904944481477,0.9292012709796832,0.9054169448997349,0.9376353224468322,0.9257253541837801,0.963009725475879,1.0455332838406335,0.9143735725210039,0.9698690324966636,0.9278332073772734,1.0056338271200187,0.9039531693512903,0.9551700291650379,1.0057943499718658,1.010323317685065,1.0122714703445772,0.9776802609867237,1.0365271659324524,0.9776802609867237,1.0365271659324524,0.9324016112061728,0.9820918047422177,0.9382101947869497,0.9682809610622128,0.9295172657885019,0.9685230210513358,0.9570055328899569,0.9467110043033589,0.9565653727269078,0.9167198864320618,0.8915565117508706,0.9204332050978176,0.9304234221350715,0.9564046566981849,0.9331507853163348,0.9728664291579564,0.9542049428657712,0.9873229878003241,0.9675737079013685,0.9623808721445885,0.9307307093517982,0.9463318401780545,0.9666467006089647,1.0088150144753918
Mega Ampharos,Charge Beam or Volt Switch,Dragon Pulse,35,1.533335097663971,1.6036690358319012,1.5065359477124183,1.5897569760618386,1.5390793757035506,1.623050763806491,1.740009168319804,1.5804276656078475,1.5897195735717389,1.58045577334341,1.702865228157057,1.555417274193966,1.5550398817935422,1.6933075043060308,1.6424364391552206,1.6989933914122406,1.5555921401214103,1.6867667317619632,1.5555921401214103,1.6867667317619632,1.5323548479663305,1.6482639147208555,1.5074833865877324,1.5739092649586053,1.5151998953588577,1.6090037547704052,1.5129175282699008,1.502859591274055,1.5959342532141698,1.52747052233223,1.5307236494247634,1.6214177621383121,1.5254613190100033,1.644520768747864,1.569579256264047,1.653234011509031,1.5755993492640255,1.6338181381287769,1.559770844944461,1.610203102925356,1.588958144815454,1.6450172265530594,1.5771787960467205,1.656533892382949
Flygon,Dragon Tail,Dragon Claw,35,1.6293714737508953,1.6307906572076492,1.5938505433133006,1.6531900685970984,1.6245195574350706,1.6874841542689667,1.746072024048584,1.6446160461823685,1.7648474055731538,1.6303162837066458,1.720700647933257,1.608397249519011,1.7369004308178666,1.8108396008813938,1.7110189784114425,1.7833578586208594,1.731396748262864,1.824999621538974,1.731396748262864,1.824999621538974,1.6706868882252288,1.727431954172025,1.6764239834290604,1.7063853004789629,1.756649713775699,1.755076249538348,1.7036420201568583,1.7119078224259021,1.6459650902668044,1.6384273468091861,1.7411253122322097,1.6519463234087552,1.6274011251505818,1.6813705410272757,1.5935362298927285,1.6675270632342405,1.7066167898973565,1.759844654645586,1.8050904418122802,1.7359634196244569,1.6988596190486895,1.7165965052297905,1.7220225616452032,1.7844763901367675
Latias,Dragon Breath,Outrage,50,1.2872010493356467,1.324632426522521,1.3348752504097614,1.3666686901798903,1.27442186322134,1.3115194661636598,1.2742443235524399,1.2733396619080652,1.2278324034024217,1.278070781945941,1.2508260933334485,1.299425401399398,1.400486656672952,1.4728816689789659,1.3852651568168322,1.4335263832829588,1.3964625247891973,1.4908450277790393,1.3964625247891973,1.4908450277790393,1.3341318510803373,1.3832672625437077,1.2902381092401283,1.3359682825946326,1.316137433829866,1.3731456974024376,1.3384601054416065,1.3338493638108013,1.2877461946347177,1.2970301546231857,1.2720677521104162,1.3087279158386056,1.3300918396284724,1.3598227681806834,1.3190108383795756,1.3778547663679814,1.349884237836855,1.394416139810819,1.305209870554057,1.3407570486102753,1.3143865604784093,1.3661909927328113,1.3981331736048717,1.4538284915643407
Shadow Latias,Dragon Breath,Outrage,40,1.1576269532380705,1.1753419355478991,1.1745178979744633,1.230298063497845,1.1847392511011727,1.2246764090446587,1.3155423304570772,1.1448188851160848,1.2099419530157098,1.15239745300767,1.3753397120104913,1.182898789546792,1.2587527328800368,1.318678510220649,1.3040669105325078,1.295097842657356,1.2486053711188823,1.3150252811965424,1.2486053711188823,1.3150252811965424,1.1988798078455964,1.239155710960666,1.1465116734949914,1.1895252190618077,1.1826411116582545,1.2247553243875418,1.2123884573110528,1.1976247694629185,1.2238295605081362,1.168696924688254,1.1437289186281838,1.1689609276715227,1.178366180523406,1.2353460165258008,1.1800126278735774,1.2221655167450185,1.223938900957595,1.2495169811565825,1.2934077186147748,1.2536777571837776,1.2030664950568504,1.2121636887867224,1.2542677448337824,1.2971748028351802
Haxorus,Dragon Tail,Dragon Claw,45,1.091051039328584,1.1273113420546401,1.1025556972014812,1.1554786620530566,1.1241071458753773,1.1613796856883047,1.1924150409126129,1.1194559048441994,1.1126047177244296,1.1109244102844464,1.1891473336381755,1.105401313121727,1.1613569688977847,1.2258787095222345,1.1818137112119023,1.2088003540720174,1.171157106741148,1.2403889822426086,1.171157106741148,1.2403889822426086,1.130246250969806,1.178469779256252,1.1083514659661915,1.1602875737557092,1.1503600886372032,1.1935053243875418,1.1565174463011607,1.1548147320181077,1.1351976673320658,1.1126136318019422,1.119406713220413,1.1216985432202309,1.0998407531382781,1.1518323084492943,1.112584363028465,1.1562224992066685,1.164028328446319,1.2070730194603827,1.2312455214221834,1.1829342808630718,1.1286579025758334,1.168844949781647,1.1872716382150343,1.2344115004492362
Mega Latias,Dragon Breath,Outrage,45,1.0950737131826926,1.122471562573916,1.0792326837855886,1.1232582609927355,1.111133083858144,1.1595153826131344,1.01876057297942,1.0512188591527012,1.0289491244713866,1.05332363203679,1.0258504663221377,1.069954791341334,1.1456168684738395,1.2021235927547,1.1355082030466839,1.1844692513419557,1.1359034621614668,1.204838245757452,1.1359034621614668,1.204838245757452,1.1051365167763123,1.1705774197319616,1.0911597697318984,1.130318088853168,1.12288409454635,1.1703650129262588,1.0969243093202183,1.1343411762514204,1.0598895705073699,1.1015104681757968,1.068441300344595,1.1087315623461629,1.0870573749233459,1.128636076079764,1.0722471399174935,1.1179921026718094,1.1495199036235344,1.1877035579411546,1.0869061660411317,1.1276545120919286,1.0936157776116635,1.1463475773227745,1.1570530098831986,1.1930917440351403
Mega Altaria,Dragon Breath,Dragon Pulse,35,1.6418811293259872,1.669106956480028,1.6391104635868796,1.7217062263501892,1.6825064819603748,1.740493406485679,1.705859205439329,1.5992531470460567,1.6553560804618033,1.5936630702191636,1.7867902715107804,1.6370301189746954,1.7626485634393267,1.851999244028469,1.7186640590422655,1.787507612926655,1.6562097885159788,1.752804396203279,1.6562097885159788,1.752804396203279,1.6132446248844206,1.6991593244837446,1.6091747855121896,1.6773208136488085,1.6637191462513852,1.7214410470269605,1.6241081242198998,1.66377913150394,1.5869203455209637,1.60551563566296,1.5641840027713458,1.6231225044213904,1.8453657224159956,1.706525243172624,1.6593058595296282,1.714116065206937,1.693501407654915,1.7390529258764966,1.6957251916877596,1.7255416417471037,1.6944048830111902,1.7273494714005497,1.7370769691524408,1.8008984725965858
Shadow Garchomp,Dragon Tail,Outrage,35,1.0449987015629212,1.0565109589743504,1.0288431574900343,1.0545478459701734,1.0617958157128804,1.090037556495313,1.2089646695145253,1.0434785254420875,1.1187330160312587,1.045312022639932,1.264000448635544,1.033164519830554,1.0621013431380548,1.1358085673909961,1.1508551066188015,1.1262100297707989,1.0702802125437123,1.1245117852763522,1.0702802125437123,1.1245117852763522,1.0469035295618072,1.0831195332178423,1.0293961016472926,1.054526950646567,1.0630039702080514,1.095215745414256,1.1008588088451723,1.0943273905996758,1.0567073326496874,1.0234544067790425,1.0424635805057707,1.0331358141739748,1.0276561140372351,1.0659674671023132,1.012788175599415,1.0420776450651514,1.0766595553304175,1.1025363765955858,1.1828935454782796,1.0812059895828512,1.1483079759221686,1.1062380917587946,1.087601078167116,1.1219526804432465
Necrozma (Ultra),Psycho Cut,Outrage,35,1.0957006019124242,1.1124793862775877,1.0219976122543961,1.0482648374107124,1.0513232664347698,1.065234550623519,1.3297491693745664,1.1076628492379341,1.1314157193163,1.10081040665048,1.282817258664274,1.0955334880550787,1.2035775493636522,1.2634045349701262,1.208686869451075,1.209572049494426,1.1545729445781674,1.2231879286071121,1.1545729445781674,1.2231879286071121,1.1577515384043109,1.1812628200359228,1.1536193388613358,1.1874881566136735,1.1570271143666135,1.2099843807706514,1.1896980197097562,1.1454535293131392,1.1767802467694082,1.1050375701132396,1.1154557222819845,1.120358451692891,1.0484987892875581,1.0600532761951393,1.0941529019573204,1.1344345100810345,1.1655057978497139,1.206089122253287,1.2183583269607146,1.1966000766565879,1.1874900940294397,1.2248186013050588,1.174283717679944,1.193341319756414
Latios,Dragon Breath,Dragon Claw,35,1.3037697680842513,1.3693267810504273,1.2827394322021894,1.3594407009449807,1.2820066864759432,1.3435033347869152,1.4116900134279373,1.3262278854852516,1.312384428615073,1.3173248540785645,1.39389122313579,1.3021021163519029,1.3593334564650599,1.4730448901049338,1.4238537107579639,1.4663158730939314,1.3539537823394947,1.4564296743721332,1.3539537823394947,1.4564296743721332,1.3232764026314952,1.4095673337513683,1.3045400192107894,1.3778497637857017,1.3447002339037302,1.4307560322540935,1.367026211367574,1.3789768810894392,1.3630360446827068,1.342809492703114,1.2890076029682571,1.3539591955804329,1.3358896857964888,1.4086730155344467,1.3469524622717741,1.4170535179750912,1.3762351481853103,1.4407080163268486,1.3378453944018471,1.378340070101894,1.3404573888704665,1.4122963304350757,1.371079165418788,1.446670659878207
Giratina,Dragon Breath or Shadow Claw,Dragon Claw,35,1.7921127804251926,1.8808530979716263,1.7902608308545296,1.923296707743985,1.6941410515142603,1.8054431565034261,1.6198149297568774,1.7258084145703263,1.633624640221254,1.7352269621006258,1.6505193819182622,1.7723907960692626,1.8585731896414717,1.9851962734039763,1.854943957511358,1.9985927907003138,1.8245416836974129,1.9767700622189928,1.8245416836974129,1.9767700622189928,1.6759817623364617,1.806959220329256,1.6545357719274172,1.7413812818954644,1.698596962329189,1.810651468053675,1.753078485068649,1.8409564261629314,1.6845241788038143,1.7932786173322484,1.6924517293562091,1.8145021605557277,1.697229783283685,1.8303111979387592,1.8018667006899531,1.9174640874398459,1.8177939271136743,1.9342769654402048,1.7662307363291123,1.864627984098387,1.6738600405793518,1.7676410582105742,1.8831286812418888,2.010422282120395
Druddigon,Dragon Tail,Dragon Claw,45,1.4338615849533471,1.482087357523409,1.409397195410672,1.475991015601287,1.4613626145540717,1.50112314541564,1.5715940300445028,1.4692212201978896,1.4654009422585264,1.459099789358589,1.544904535532798,1.432478193724279,1.5518055263237016,1.628472207308011,1.5427515481193708,1.5795697419738002,1.5344853686967317,1.6243622931710493,1.5344853686967317,1.6243622931710493,1.4786685230255816,1.5380748424397659,1.4334074974352942,1.4974222257071725,1.508550181583159,1.5567389665148346,1.4928314610927924,1.4881238473145924,1.489165063991446,1.4548319289397529,1.4684103050303572,1.468257151712947,1.440893236734882,1.5068098030138135,1.4439711718077817,1.5001553948173376,1.519111310271822,1.5733945103081903,1.647887962878955,1.5726922941613233,1.4912113667148148,1.5461688483220268,1.544524308675252,1.5998203054806828
Kyurem (Black),Dragon Tail,Outrage,45,0.9773840379904495,0.9902030027804748,0.9503814322426597,0.9902061959974908,0.9835060729292376,1.009086576003732,0.9646451738532501,0.9700204055967319,0.937396488237848,0.9682409834220387,0.9368221936552582,0.9494379114289906,1.015153792958297,1.0620240278678594,1.0383048423887757,1.0518889515155871,1.0035537490349244,1.0668551402576563,1.0035537490349244,1.0668551402576563,0.9793752856277435,1.0211539892231989,0.9635615758074738,0.9891759616829696,0.981187676966638,1.0217957497230088,1.010529257251439,0.9921347268019151,1.009143459807825,0.9684403750077549,0.9482268857002206,0.9777818294528415,0.9772206696124509,1.0044695770626346,0.965855669293657,1.004190752863354,1.0138492461658857,1.0454313723580086,0.9796878558559893,0.9996556008376677,0.9845202700044401,1.0111688764240712,1.012378955775182,1.053968253968254
Kyurem,Dragon Breath,Draco Meteor or Dragon Claw,50,1.2643915623092663,1.295123996605869,1.2177967988020801,1.2872882899289748,1.2167332609922892,1.2726268588098884,1.1772203763879254,1.2397515628739844,1.1759800453441818,1.2460444437298002,1.183513506518157,1.2265393807103973,1.2746302826732183,1.369547662716429,1.2865146224934085,1.3513862146448121,1.3025720211332636,1.370080006660914,1.3025720211332636,1.370080006660914,1.2747850485168615,1.3402280770743218,1.2506681303458596,1.3114761596717175,1.2812172996429891,1.3470873599655302,1.317353154865031,1.3122077534976435,1.2955868345856705,1.255962134288978,1.2169653764107426,1.2710831950699217,1.2078935057820912,1.2857402555221333,1.22944453713609,1.2663270880974113,1.306108930084849,1.3742933312551346,1.256410731181641,1.3164278400432536,1.2602451622331008,1.3401999741461195,1.3120994309673555,1.3605271039233302
