Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Shadow Latios,Dragon Breath,Dragon Claw,45,1.006379294038429,1.0105777937467788,1.0201238728788944,1.0352316006618711,1.0060794578900618,1.0229182246333175,1.1050136615781636,0.949658199197693,1.020205553012239,0.9465744961521186,1.1132087840619866,0.9464914216927401,1.0519498696971326,1.0936645377569865,1.074327624844718,1.0504585251775278,1.0528373059902378,1.077065954127371,1.0528373059902378,1.077065954127371,1.0589963459745573,1.0542904610752193,0.9955376221911333,1.0191668873630433,1.0223648307004707,1.0463402464304519,1.0618775109254561,1.0100955373832852,1.072267213252309,0.9745325979777559,1.0519077719894692,1.0240180426932342,1.0260482496288028,1.0260004924873438,1.005131300134661,1.0124498453206583,1.0522091697547036,1.0666685782417598,1.0677695867230532,1.0311630059171408,1.0351360624633006,1.0388498606064258,1.1141123184026942,1.1022988578860482
Shadow Flygon,Dragon Tail,Dragon Claw,50,1.2965444962682768,1.205207623910723,1.235758596813315,1.2212416783818059,1.248646410291642,1.253673611711777,1.3372120075959528,1.1728156035767798,1.4060502969171387,1.1767634947049594,1.367807334401492,1.1755415308024721,1.2826487119777314,1.2786417656729654,1.2821463396590114,1.2608669696443489,1.2678794854551187,1.2790181184863427,1.2678794854551187,1.2790181184863427,1.2345658549344154,1.211619974063209,1.2366976470976776,1.208069441178874,1.2999695598908367,1.2575156118889208,1.2958526254585474,1.2276359806158006,1.207539738932926,1.1498291030663474,1.3573791051600774,1.1922506956996273,1.238353864978916,1.2126796257305534,1.1605576600934617,1.189304270119868,1.2746722129568038,1.2711877903260154,1.4081297840720213,1.2726509904056713,1.3200126788302624,1.2580312480641471,1.301906011056874,1.3028005687458628
Garchomp,Dragon Tail,Outrage,50,1.0748784186344966,1.050443494248671,1.075717184485008,1.0716865196312997,1.1233515995962269,1.1248337193437534,1.137913722232285,1.022044882343165,1.1538037830085721,1.0361918342905123,1.2047197497126907,1.045050907776236,1.1031588180666547,1.1283367576186252,1.1273048789133904,1.110129065204592,1.0811724251047545,1.1360805419039706,1.0811724251047545,1.1360805419039706,1.057506074093921,1.0664168336700741,1.0747777201883797,1.0739506345986702,1.0905604710849186,1.0905552605218984,1.143159415786762,1.0703009141653135,1.0357350896244923,1.0012055181739565,1.05267607682947,1.0549943236385286,1.0720989564606647,1.0688500315851341,1.0347195524662902,1.0600029558602218,1.0942831446925338,1.096264643190453,1.1303823831006183,1.1278051007999401,1.0757138210010089,1.0824669577439805,1.1107114115134145,1.148198497903672
Latios,Dragon Breath,Dragon Claw,50,1.1477708536873987,1.1380535306450204,1.139966309614498,1.1660715982768097,1.1930749565694088,1.2145156572849676,1.1733049647841276,1.0991372735257667,1.1722392238714003,1.0982839122331596,1.1223790220778773,1.0993368009540139,1.162977666846829,1.2033342216319114,1.2187554008357744,1.2015885264413617,1.2417377350210161,1.2849330742755463,1.2417377350210161,1.2849330742755463,1.1894393356135107,1.1870158496030652,1.14127308350593,1.1593229891397692,1.1511975124355298,1.1719301342699564,1.1852109502292663,1.1416506861188473,1.1623749799322813,1.0990003729806783,1.1250083580272168,1.149065789270245,1.1852400077667504,1.1855228216332263,1.186827387371888,1.2026607317630058,1.1898322788155962,1.1983812805783585,1.1578263258583097,1.179904672414073,1.1359959565863138,1.1625907088661294,1.2136331080316058,1.2424652834760497
Shadow Haxorus,Dragon Tail,Outrage,30,1.3750347197553485,1.063891816455241,1.3172808227860893,1.0929191343340237,1.2642490402375501,1.1108023918112213,1.3548413317622572,1.090865335689521,1.3760424644664928,1.0532015955634917,1.3310468042231223,1.0453929955678047,1.1057388026220154,1.125261971937874,1.4142561514299308,1.1016722682945124,1.1394094223013083,1.114557554349853,1.1394094223013083,1.114557554349853,1.3754169389300666,1.0965002305695066,1.2455617205349303,1.0613528170270259,1.1169639049710023,1.109647857645751,1.1372109730229158,1.0972868958708106,1.0978361300417263,0.99129291399764,1.2547462822303652,1.048258577465035,1.5179899843461249,1.1181223828432272,1.136728118970171,1.038702276698716,1.1190439307475994,1.0981056142871712,1.3328169952024604,1.166165567981563,1.3086847434023243,1.2119663208540437,1.1854500118948115,1.1407655509290886
Mega Latios,Dragon Breath,Dragon Claw,50,0.9218826999457427,0.9106772580964116,0.937751119723462,0.950557463586196,0.9631209407922787,0.9767154759500228,0.8939110238385846,0.8911374258544434,0.8894902506601171,0.8946189870753715,0.879571305366733,0.8999856597813419,0.9580799504803128,0.983309686433318,0.9796269942634261,0.9740757827808255,1.0023468528572805,1.0339282431485588,1.0023468528572805,1.0339282431485588,0.9530276715304986,0.962212745025668,0.9160669229578856,0.9215969222857276,0.9345545989888173,0.9563123990974471,0.9467455866795511,0.923372798338383,0.8990726410184653,0.8914550563132921,0.9274796980413955,0.9321513726808218,0.9502721241172779,0.9493986917945119,0.9538340389725136,0.9765495044816057,0.9570861452499385,0.9708833971447282,0.9624555009693245,0.9799913366791789,0.9205211329947651,0.9370481426541055,0.9959863979329742,1.0323595701923227
Druddigon,Dragon Tail,Dragon Claw,35,1.6685074510020423,1.5627966225563243,1.663921117932439,1.6135341884702985,1.6907426083148696,1.640584499986684,1.7301593498765688,1.5211511781044382,1.7981375690763566,1.5154036207184591,1.7955722483010301,1.5225172306238977,1.6577873473730294,1.6481976802079725,1.6289761197005024,1.6052977254068672,1.6189001448008213,1.6283817432579482,1.6189001448008213,1.6283817432579482,1.607096232239085,1.571706433071505,1.6332474623795092,1.5763130330555883,1.6484736906167765,1.612381423217352,1.6143699865217553,1.5546081861593362,1.564141569690882,1.472175010876582,1.7534956070614496,1.5389794817085305,1.6499222278222376,1.5843574296242913,1.603366386195492,1.6037491838211038,1.6468416799478227,1.6354332163277747,1.7968350850155324,1.643814787756016,1.651872975580303,1.635169090889085,1.6638270931158088,1.6733377520120465
Palkia,Dragon Tail,Draco Meteor,50,1.031548480725049,1.0034284881645117,1.04165011069881,1.0351138507769906,1.105688765223097,1.0817688853840122,0.9772324098247303,0.976757396101282,0.9854913615229235,0.9635676595726215,1.079470894982568,0.9875886994460406,1.0819438269776724,1.1135152465616356,1.1083123293695523,1.0771683745552179,1.0957099790530347,1.0977384943582962,1.0957099790530347,1.0977384943582962,1.0452256847139707,1.0550150348633853,1.0529925488905498,1.0350096353099405,1.0986461706738675,1.09158002195106,1.1479512807731769,1.02015538470982,1.142474059897108,0.975617637087375,1.0458018370677684,1.0380594270309373,1.0747760386327798,1.040334569523669,1.099744725322342,1.0740452136798675,1.0765020341851765,1.0738127498566983,1.1347954902179451,1.119303948731485,1.0868890159176587,1.071508821532029,1.1046322764549306,1.1044283048175894
Haxorus,Dragon Tail,Dragon Claw,40,1.1779968839330683,1.134746182637,1.1949385810476356,1.174823393266633,1.1820797755915247,1.1676420824341023,1.298408730694634,1.1227597390614035,1.240067378602439,1.118032427647466,1.2877971664074173,1.1122087197185506,1.2190857399793897,1.2225007523572746,1.228605806033318,1.188845276908107,1.2048280500025685,1.2156366112174875,1.2048280500025685,1.2156366112174875,1.15431467998684,1.145909829096049,1.158309695177655,1.1460407070028937,1.20486349783845,1.1931394184094612,1.2065241623683642,1.1481026386048847,1.1722088652996527,1.0942648764240805,1.3116905672027213,1.1524917313193974,1.1744587349512667,1.1572371826374397,1.1516391983670475,1.160106136429879,1.1986502622749087,1.19917979224848,1.344392158724129,1.2159185841430795,1.2027280883933809,1.18821032316731,1.219342108778371,1.223639116925787
Dragonite,Dragon Breath or Dragon Tail,Draco Meteor or Outrage or Dragon Claw,35,1.2385521194549645,1.2049757516052089,1.2100398506808976,1.2274930002843256,1.250906851486586,1.2439619634987416,1.3255393960573327,1.2110467945587515,1.289503268583628,1.2037878360522711,1.4346310221344303,1.1821209500784384,1.2464491384658059,1.2840735203936107,1.3470950824523313,1.2612385163204138,1.2820233939508043,1.2868082618607988,1.2820233939508043,1.2868082618607988,1.2069430812288169,1.2151397474489263,1.220242930995858,1.2087587835889966,1.2468632410619045,1.237531591643591,1.2768342739712717,1.2095841098669913,1.2718526178247904,1.1657765734182637,1.2628377143590022,1.2265951285437973,1.21851842692948,1.2184778660696107,1.2716802509644294,1.25627710777771,1.2798850427268103,1.264767827516508,1.3763638085411791,1.2932242680750416,1.2917190569153396,1.2510847007991204,1.2845377201229256,1.2957942405364158
Salamence,Dragon Tail,Draco Meteor or Outrage,40,1.1235111005924872,1.0909223621470725,1.144847557324569,1.1426483903256692,1.1705306439323147,1.1766239128800369,1.4050162430585378,1.1294344659205122,1.232691043451659,1.1070931410730673,1.3921498700002914,1.097713730571817,1.145760368548271,1.1854484005707848,1.2393167486788825,1.1600864750228366,1.1731977408672873,1.1641336736096135,1.1731977408672873,1.1641336736096135,1.1285179507018699,1.1366864792400866,1.1290679995743298,1.1214753878714578,1.1263932524459424,1.1328116760797227,1.1816360461975295,1.1004154742488743,1.1649986977202587,1.0687341307391856,1.192889935870676,1.1230939325664988,1.1252923652947675,1.126794163841799,1.1562237101170494,1.1405263535986683,1.1646307356241046,1.1516044758199213,1.3267617806501726,1.1953257923914387,1.1753236138289467,1.1492687878579897,1.183276361213839,1.1881141783187055
Mega Latias,Dragon Breath,Outrage,30,1.1647101573554974,1.1254488905742823,1.2035211836496797,1.2037662592966039,1.2390681354152993,1.211362753085864,1.2689608666776326,1.098697941834767,1.2050157516874482,1.0979688784841928,1.1829995986469988,1.1385546156027926,1.222707006790159,1.2530088907649404,1.2960477955342475,1.231844920363039,1.2480057617845262,1.2693081973223452,1.2480057617845262,1.2693081973223452,1.2823187477615163,1.239807494967114,1.2098293586654287,1.1981839738719358,1.2317084227292263,1.2140101201639202,1.2670408524185164,1.1898103188451699,1.2543576414234574,1.1486579243358495,1.2023623498184808,1.1976375994884052,1.231078097188007,1.1903923491227602,1.1877982456100213,1.1807751034207905,1.2550506639897514,1.237073365512303,1.2421316903959891,1.249098890665832,1.2197984895194478,1.2226827775027607,1.2737905775280927,1.270398796355311
Hydreigon,Dragon Breath,Dragon Pulse,45,1.2442858002649064,1.2150828771533828,1.310685159021637,1.306547210939482,1.304420457617376,1.2913612305699513,1.4557398789435048,1.231432809079472,1.4768271740474677,1.249967889122006,1.3936284994677959,1.2274760897772705,1.3311279318145193,1.3698064578006865,1.403212707389525,1.3248667066024544,1.3296985102438825,1.379203285176782,1.3296985102438825,1.379203285176782,1.302162363765774,1.2989472633769046,1.3071139474411766,1.3104864177975286,1.31124349878052,1.3204073159639564,1.3642487203065228,1.2900229995923136,1.3426358626984884,1.2314607504526454,1.2905737928258598,1.2885748619436401,1.3285203293646495,1.2874884401549374,1.2999290319008698,1.2812864306340594,1.362067739533749,1.358333510139234,1.3837065643121134,1.3630490706961815,1.3120464632683846,1.3208721595660213,1.3585276046563204,1.3796245310454585
Dialga,Dragon Breath or Metal Claw,Draco Meteor,35,1.164780750797457,1.1204801530610629,1.2261394611820942,1.2164401554164863,1.1998207155023466,1.1839238581778784,1.1345206222946458,1.1260269651626023,1.3686311436462768,1.1473944626092691,1.1566821523716038,1.119658997102237,1.2475633430700868,1.26209613283996,1.2986476975100414,1.2280164277883212,1.2490511021994444,1.2748935506658152,1.2490511021994444,1.2748935506658152,1.2583076220993124,1.2251159226926873,1.2266263294252995,1.2126841509511304,1.2465172596773704,1.24251054513744,1.2492633552292334,1.2156789118551574,1.2117763920206386,1.186281149828133,1.241142328775769,1.1971610335210754,1.1794249542970698,1.1663504228011696,1.3172285012644767,1.207667483112475,1.3453792451059756,1.3157441201089384,1.297799311018316,1.2794202288515293,1.2742351165542325,1.2510122668412296,1.2762644269647958,1.312118756443023
Druddigon,Dragon Tail,Dragon Claw,40,1.5194741512609302,1.462826353255919,1.552892552367104,1.5179858077706125,1.5876448305046198,1.574135094298178,1.6598405711856012,1.4394545246630581,1.59170676910326,1.4385156963612735,1.673212673521695,1.4360458275301613,1.5759288971597591,1.568545582084172,1.6004360741408241,1.5424830127338993,1.5367340100440088,1.543773056199564,1.5367340100440088,1.543773056199564,1.5282070577963933,1.5218367777501336,1.5418386181575583,1.5198397167019289,1.5808691886069581,1.5577129254893658,1.5706183257344506,1.4976542535249682,1.526526007520726,1.4306189005654855,1.716898372218754,1.5028082211051152,1.544344664729166,1.5259782494351573,1.4965803076565474,1.5159180393953022,1.57704954065827,1.577422297801443,1.7906731641486555,1.6049982500733784,1.5579246427862983,1.529985743611024,1.5744596977912118,1.5748578877443578
Zekrom,Dragon Breath,Outrage,30,1.2875697619326674,1.237899265873456,1.2842156529849094,1.2435387186396287,1.2486745980475502,1.249082094953614,1.556666747737951,1.1875801779002666,1.3772908833311999,1.1909830810387434,1.6201875077363603,1.1871490289190563,1.2679590780496688,1.3144916843788048,1.418988850517196,1.3125975489838466,1.3068266559719715,1.3067419606599664,1.3068266559719715,1.3067419606599664,1.249636203695856,1.2546845822818724,1.269214569415626,1.2550313627526153,1.2873197718356981,1.28739803449226,1.334108717311357,1.2359308696597129,1.3127632145017216,1.1773596848143513,1.2743948826315,1.2185097288957596,1.2811201234724912,1.270292598192608,1.2648999834819576,1.269184791138276,1.3127373841148287,1.2925635793278953,1.4527830510516087,1.3012498096794662,1.3501462691769894,1.3007639092500687,1.3292527980371227,1.3203972739890362
Guzzlord,Snarl or Dragon Tail,Dragon Claw,45,1.4353162699330313,1.4453757449078823,1.4313627569974747,1.4724141526787877,1.48277329808764,1.5105844316384462,1.431584583057851,1.4004116607815313,1.52417656209658,1.4393218312746934,1.4231036792038263,1.4211652394253869,1.4855775249246903,1.5777188411038314,1.5515238448504927,1.5688528599127236,1.5008207465964767,1.609674405457424,1.5008207465964767,1.609674405457424,1.434976608131175,1.4932514560965586,1.448810911193061,1.4834972662140682,1.458983177384656,1.5184407035844087,1.5047959138583993,1.4484070737892425,1.485206199142581,1.410743638108828,1.4474367406963562,1.4837497899404077,1.4596490098701582,1.468172285785015,1.4832479138536043,1.517077871359682,1.4960747758463668,1.5479915278755139,1.516204491329083,1.5335792452775985,1.4371812168746867,1.4887407902031113,1.5499623564194454,1.6202311028335095
Dragonite,Dragon Tail,Draco Meteor or Outrage or Dragon Claw,40,1.155023651065667,1.1408434196730348,1.159768722523983,1.1656871156739794,1.2117436177476333,1.1988856880440315,1.2358399934460267,1.1532095268146472,1.2190526531612942,1.1372386380648423,1.3818904101446803,1.1455678192797747,1.1985489325547425,1.2334407924360495,1.2531240848762213,1.2097775549228396,1.2085874996707886,1.222349549130452,1.2085874996707886,1.222349549130452,1.1821317973576553,1.179314326841845,1.1907675463464626,1.1779649487911312,1.1852353069417623,1.1817007215170827,1.2151189178694817,1.1483020830396653,1.2133118695644372,1.1073431601697377,1.1785797766410693,1.1693921059161654,1.1574728935698737,1.1623583182996469,1.2019276235204113,1.1918097048303606,1.217476051529791,1.1963240588503543,1.2589805993530383,1.2158192020795282,1.2108095052563101,1.172884446651068,1.210372852520025,1.225209944486638
Mega Latias,Dragon Breath,Outrage,50,0.991853245284607,0.9660213400354868,1.029012680855333,1.0306818341880082,1.0677394668884608,1.073137893512032,0.9519444627565987,0.9446374332148625,0.9688486514516069,0.9484994673499629,0.9373337061213112,0.9344606995776127,1.0631344586266354,1.0704943780244516,1.0717790982389552,1.0577933867568683,1.0656809536984186,1.0937819612023503,1.0656809536984186,1.0937819612023503,1.0105025321635348,1.0081929638935443,1.0149076785065239,1.0194449692727097,0.9983324114110497,1.0089738400557238,1.0131850266515752,1.0171047346209348,0.9406497527123552,0.9357764618635744,1.0043193574951925,0.9771442490309379,1.0168067193905508,1.0242047585477432,1.0067310336496775,1.0249310794975404,1.0678054031942419,1.073234483595534,1.0494529547956801,1.0559246681887824,0.9910151800055285,0.9948509881809545,1.0796211131423463,1.1244488037551135
Shadow Dialga,Dragon Breath,Outrage,40,0.9636969604545494,0.9286298944220774,0.9631989019363927,0.9519197434600238,0.9602995726821051,0.9542291414730744,0.8833482888518663,0.8828627678632575,1.035310900558252,0.891746148321881,0.8956442956370245,0.8965139996023979,0.9858525987331067,0.9786953836777669,0.9797036463155127,0.9747005072804037,0.9766881890457776,1.0124081761224413,0.9766881890457776,1.0124081761224413,0.9699488987799866,0.9655564015846414,0.9566541277710745,0.9361267691921045,0.9605972534913899,0.972885428472934,0.975148623593467,0.9555276899855701,0.93808016319966,0.9282412821222941,0.9624797449325263,0.9435853059925092,0.9450482124698214,0.9450417358163906,1.0532626794278077,0.9590027678016223,1.0398055626302574,1.013278019570327,0.9872695199895505,0.9692585137883426,0.9672466591166754,0.9607184232777877,1.0047149252535121,1.0291841261723598
Shadow Dialga,Dragon Breath,Draco Meteor,40,0.9826679524326909,0.9426909315030928,1.013946374308456,0.9915971121158731,0.9801013297974511,0.9585722477402069,0.9146406312636901,0.9057807132694279,1.0891348071069182,0.9131069335630273,0.9628565253909873,0.9329389051863406,0.9984321985983429,1.0172605395636916,1.04795171537223,0.9935308134056836,1.0036064870142114,1.0276575044661915,1.0036064870142114,1.0276575044661915,1.0359470847538874,1.0102948031638146,0.9764228695922935,0.960336900663897,1.0245992243347466,1.0070157625784033,1.0284247808560538,0.9908915876036937,1.0129815221782847,0.9503663601499489,1.0038775163111433,0.9645231336759682,0.9755435678588419,0.9751127722745849,1.094837082227364,0.9869333590789062,1.1004218751539652,1.0542837909587883,0.9912217427871591,0.9885889462869193,0.99034607017966,0.9950159479331459,1.0398087331241035,1.0703670938197443
Mega Latias,Dragon Breath,Outrage,40,1.1111557096745146,1.0605207533406311,1.112166035020653,1.0882292928198014,1.1437904329907989,1.143330331510164,1.0290392007395408,1.0360698412048217,1.0682899655675921,1.0318114657530977,1.0174374173525877,1.0250159776581125,1.120027974712415,1.11614597995037,1.1467086369189574,1.1324436489253815,1.1156373152733448,1.14734100267463,1.1156373152733448,1.14734100267463,1.1145733370516084,1.1089046194099426,1.0834788557059194,1.0668638867366205,1.1042605523280171,1.097338684095236,1.104147634469037,1.0721753919358068,1.0443057393917554,1.0300906648610975,1.089781307370348,1.0731683120384234,1.097155296803438,1.075550358531833,1.1046864111418544,1.1184175257802715,1.1261503739067513,1.1180283694906579,1.1221154517808969,1.1019814480085712,1.0927847084650222,1.0865815591471748,1.1414300998528095,1.1734709654219309
Goodra,Dragon Breath,Draco Meteor,45,1.3257947531876786,1.2869568207971902,1.4025248359003644,1.3981045664630178,1.507621889065154,1.520950973809191,1.3682745769199014,1.319619698871381,1.3672222246329488,1.3278314526049948,1.3549596526262364,1.3125812768680731,1.4420488770627555,1.431162553925728,1.482558061874441,1.4174915667330095,1.3945749106305394,1.4619839824684877,1.3945749106305394,1.4619839824684877,1.4328220249470738,1.3887385934166483,1.4325707307647109,1.420220027500305,1.460059679704607,1.4359466008996349,1.5156391929208524,1.3869811870412905,1.3575279286864823,1.3133362660899452,1.3797908351411765,1.3839382415927373,1.4859629985518463,1.4410152854254625,1.3645221732985158,1.3518235964582754,1.480686714709934,1.462524236094201,1.4995161723992043,1.5068964811321728,1.3815736400456016,1.3705883297008956,1.4400178782624329,1.4720845943741991
Shadow Dragonite,Dragon Breath or Dragon Tail,Draco Meteor or Dragon Claw or Outrage,30,1.2797283238537502,1.0740659152688636,1.1831914850854877,1.1237341956967455,1.1938476216109586,1.1327084733195585,1.310973126362611,1.1112633508938004,1.2871410578798574,1.083933658492134,1.26130884935759,1.0847253011373783,1.1355891849347433,1.1275872811551133,1.1298218610419541,1.1193610136977012,1.141209354138271,1.1439676363775755,1.141209354138271,1.1439676363775755,1.1369069100678677,1.1002224927388833,1.1961981539907887,1.0947426050752678,1.1428270555775326,1.1143910852685712,1.1551279313583238,1.0775974313556245,1.151105531221005,1.068210745238676,1.2703209811956429,1.0932564217403504,1.1620449529467858,1.1143828024047617,1.1984803400977995,1.1289169609181287,1.1555883344324889,1.1266774182408827,1.3238040255067172,1.1597010235550242,1.1521113419662778,1.1376154619477945,1.1391428356976656,1.1487203430115966
Dialga,Dragon Breath or Metal Claw,Draco Meteor,40,1.1221011775981669,1.0985658218230574,1.1949067356886984,1.1809711064051984,1.162240096988506,1.1643304924820475,1.0726953407266078,1.0523973845550243,1.2548444575105824,1.0636332373623083,1.1127753459036747,1.0441779722122917,1.2445026413545608,1.2398118661597293,1.2209697820348553,1.2071065494349222,1.21568187940149,1.2504393438929544,1.21568187940149,1.2504393438929544,1.1538036450031577,1.1358285077778476,1.111232853368313,1.0995222665564124,1.1379803982787635,1.1404023721817629,1.2323057796098007,1.1840544724239828,1.1144360498193542,1.078691793309532,1.1314042575625889,1.099241352198269,1.1586783361568926,1.1436052010013036,1.2048198824153311,1.1832644318960195,1.227025345621506,1.2037504393145777,1.2517845097680793,1.2298664944320292,1.1638928483214686,1.1317736617241156,1.2375097480208177,1.2752903839458631
Kyurem (Black),Dragon Tail,Outrage,50,0.9231570925819416,0.904697857805802,0.9142238019450277,0.923126027284235,0.955180054004535,0.9486220406096946,0.8918282918728385,0.8650432461966368,0.8990866841830059,0.8755707817046102,0.8616936404159875,0.8558138622306051,0.9468444381228263,0.9684573303285213,0.983544777231258,0.9378821942215039,0.9463333683622853,0.9777673241418408,0.9463333683622853,0.9777673241418408,0.8891753540335537,0.9050983201234322,0.9198616177779815,0.9166175824201396,0.9251380694989065,0.9208251822759156,0.958511108805087,0.9144065963222647,0.9304109723252216,0.8709733243636896,0.9228186689559679,0.9019533324259267,0.932934122883181,0.9149611479299045,0.9118210158001253,0.9149056343912049,0.9588550328028949,0.9494957125826706,0.9645166435581802,0.9567022629580559,0.9228766196497432,0.9232476651067175,0.9435622777143812,0.9691906142514687
Rayquaza,Dragon Tail,Outrage,35,1.1466310863651934,1.115116544794933,1.1745498126830378,1.1611065616415637,1.2238312863821794,1.205036228101166,1.4644636825180228,1.1555807552131503,1.2820635252970798,1.139014825245225,1.45450183321085,1.1413423887341856,1.2045346177754424,1.2058458232982656,1.2652997393213725,1.1818510340320727,1.1819912420666596,1.18629198030834,1.1819912420666596,1.18629198030834,1.1615468616573847,1.162952663533473,1.1632996857504367,1.1445368539976892,1.189349306974276,1.1572893900848404,1.236097623202176,1.1514957932719947,1.1768104477271701,1.0876434265914368,1.3043015388655237,1.1416521240795081,1.1587819626117843,1.1446728675062503,1.209035048906675,1.1871450279548421,1.197498523485786,1.1791652459313855,1.4479932496803793,1.2229265724681715,1.2276668295696147,1.202440237121361,1.225598652515021,1.2087427756511295
Reshiram,Dragon Breath,Draco Meteor,30,1.3255584009137327,1.2788603865352965,1.2869042475194998,1.2988538287446787,1.2869836437953823,1.2648763592166539,1.5187380806544073,1.2769404678623828,1.285806449513238,1.2303225407515246,1.4601091760952882,1.2029673576805433,1.3564379812882301,1.340789299166177,1.450602992718055,1.3522386817491054,1.3586404212027205,1.327678078542907,1.3586404212027205,1.327678078542907,1.3368443350530355,1.3004690335127764,1.2823998764159958,1.2946655530263358,1.3089363135808532,1.3328423246114067,1.48259319953461,1.3090973354823348,1.410207787584351,1.2199818699379028,1.3022283932640004,1.257938123477781,1.3095178281988518,1.3234336704333312,1.388900882136675,1.3415731673781017,1.3352766299203342,1.3317809331392285,1.4296518757601013,1.3536690085031966,1.469532204295738,1.346544845495602,1.3891559178702477,1.3596927449281668
Shadow Dragonite,Dragon Breath or Dragon Tail,Draco Meteor or Dragon Claw or Outrage,50,0.9196581014798829,0.8990984402922025,0.9110321398171597,0.9205498379588996,0.9541674630807568,0.9525389131263262,1.0049075862027768,0.9046613428434217,0.9746442852400613,0.9023901992393193,1.0742462079931858,0.8992412379677053,0.9391075107633213,0.9722289812969016,1.0119825858045743,0.9470074360710583,0.9530115728529622,0.9633646881567115,0.9530115728529622,0.9633646881567115,0.9178727137848668,0.9199991023282053,0.9283395807040331,0.918808987800644,0.9313752176452174,0.9301713691650553,0.9632484889709728,0.9073355663112258,0.954457022100924,0.8719239158218016,0.938440309745067,0.9197078353051689,0.9099125638702701,0.9182707832537556,0.9524255670012522,0.9428409843289075,0.9563490643831214,0.9432207158162212,1.00505769297014,0.9608030929975683,0.9699779938158484,0.9426787506245644,0.9743800598005826,0.9722486961293307
Shadow Exeggutor (Alola),Dragon Tail,Draco Meteor or Dragon Pulse,35,1.53799533630761,1.208878301883804,1.624648163065608,1.3551588729882933,1.4625733299991963,1.3689281134448763,1.5241223340081451,1.2250754869664042,1.639268620512342,1.2285408751949976,1.5760523542051321,1.2253067638223694,1.3013021673418337,1.2619793290457166,1.4090951872580864,1.2783580226236582,1.2593898756246213,1.2523801912059254,1.2593898756246213,1.2523801912059254,1.3069527186696595,1.2446388602575633,1.443827857005216,1.2334206303482325,1.3426934671628235,1.2662514334258868,1.368071755208999,1.2217397233130851,1.4070176629874636,1.1837288270412447,1.421621728488187,1.2040702515316293,1.8239478120425454,1.3489764794115693,1.2891780283497194,1.1867158333901473,1.5762304336899307,1.3825538471617593,1.4956780578094595,1.322240699061717,1.3600727914162811,1.3475672190472798,1.3264348514166275,1.3177831463451972
Shadow Zekrom,Dragon Breath,Outrage,30,1.2061449781137703,1.0206280372715273,1.2125833038680252,1.0947614328874926,1.1848316877513123,1.1309838587388052,1.271290386033722,1.0013480767864538,1.3580487651414723,1.0132963985914607,1.3384880792965042,0.9961664584882408,1.1293598820345696,1.1246221408895865,1.172367037973591,1.10280776672294,1.1063764252893735,1.1167077930899787,1.1063764252893735,1.1167077930899787,1.1003861925319174,1.0569855839377809,1.1724128872841026,1.072741913584816,1.1711542814362645,1.1208412933367737,1.1503452638095026,1.077265323880767,1.086655440061423,0.9875345880164073,1.2475657546721943,1.0189559296876367,1.2190270077756478,1.0775440556358922,1.062890730632824,1.0557239135040257,1.1485047946653206,1.1170978526117012,1.3242395984571247,1.1168597711060262,1.1666868598234825,1.1128621979058655,1.1516251365995087,1.1471192716728345
Kyurem (Black),Dragon Tail,Outrage,40,0.9835357087423191,0.9685415259134498,0.9847953442976013,0.9970447284211644,1.0236477124434096,1.0418179735596023,0.9671125800658938,0.9384680684745137,0.9977446447517155,0.9444077712664052,1.034893243275606,0.927267334280307,1.0012181465955712,1.0433710471271012,1.0524126387520307,1.010250927582306,1.023090163739924,1.0385668760494018,1.023090163739924,1.0385668760494018,0.9912751541762699,0.9848120311715391,0.9941860116475775,0.9791685592555673,0.9952568244828099,0.9964867778837028,1.0376514103170857,0.9663017883217736,1.0289217657264222,0.9462835555292567,0.9867306210996403,0.9746970896322698,1.000287720422105,0.982139744984715,1.008578949608074,0.9890938824217371,1.0308558402806214,1.0362602418331874,1.0422368593942823,1.0287932871971084,0.9944297891232585,0.998125714346854,1.0215591659807537,1.044857561220115
