Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Mega Ampharos,Charge Beam or Volt Switch,Dragon Pulse,35,1.5162302468462607,1.526820484949795,1.5095359312799423,1.5382133450871658,1.5458560110035948,1.5857262483393146,1.729031552303886,1.493284737498648,1.6066299742028147,1.4947055020253717,1.7504431473808038,1.481936835520577,1.493108197851311,1.6126073836875443,1.6350108761658357,1.5926928811204764,1.5213620195242514,1.584704673340247,1.5213620195242514,1.584704673340247,1.4953945335888736,1.5417431624293825,1.4926289051064054,1.506217641204883,1.4835653631783268,1.5287323471335441,1.4866309746104736,1.4184339243086876,1.5632791549392777,1.4206974205160714,1.527074964216998,1.5528999122755658,1.5074638524233674,1.5625313692456568,1.5290502034098548,1.565380013351703,1.5313757384013624,1.5421679409859481,1.6090895559984673,1.5921812507299988,1.5851787173408112,1.5876590408674034,1.5627548638330298,1.6003090021885604
Flygon,Dragon Tail,Dragon Claw,35,1.6834400003258159,1.5716193094784818,1.6398699662689729,1.6123084205197464,1.6523621033062401,1.6486767191997507,1.7964513925379857,1.5880061861656973,1.8594547008806626,1.56918321208584,1.7989855665843475,1.555154241025894,1.7368241740903811,1.7255770802904162,1.7159836996225968,1.6864664945249268,1.7076531653960199,1.7158028987804972,1.7076531653960199,1.7158028987804972,1.676786321304531,1.6359865116838592,1.6994453219095698,1.6437974801142794,1.808079175964048,1.6958941909725538,1.7289328193165387,1.658924673585939,1.6171879099937965,1.541720726230727,1.8232821307532567,1.594574620137485,1.639194861697935,1.6048474021946828,1.53648725754282,1.5777000936632488,1.7021540817706131,1.6962547716509624,1.93853850859563,1.7415660019964925,1.761716656229652,1.6776042956285455,1.738199307853417,1.7397064080594662
Latias,Dragon Breath,Outrage,50,1.2611169964119526,1.2298943315728716,1.3208270150638013,1.29857468079064,1.2645167296452469,1.2523962538566673,1.2392946968926015,1.1806164745810588,1.2002397467579946,1.184743698782607,1.2246755633729463,1.2201018703742335,1.3348514528686797,1.3469246701660471,1.3486531946746347,1.3100688532709157,1.3505001273819581,1.3915754240697924,1.3505001273819581,1.3915754240697924,1.3043890568795835,1.2846932491435665,1.2523883315864086,1.246821681295577,1.2602542838122812,1.2627083026778543,1.2966187620129035,1.2388940441193086,1.2350036788796417,1.183569012823454,1.2695636767614402,1.239660771817873,1.3094224447574172,1.2740338141496166,1.2827690278926134,1.2938785782037794,1.3018453120884546,1.2932872554963035,1.3008822772095474,1.2890389374007651,1.2645820986175418,1.2671129101021938,1.353409909629115,1.3877724728189769
Shadow Latias,Dragon Breath,Outrage,40,1.1367880979456857,1.116958762116844,1.1768168459276438,1.1823936809009297,1.190746261410326,1.1905435735333942,1.340283862568812,1.0801360845513759,1.2215081047422125,1.078773570577757,1.4202108214117641,1.115685573538055,1.210654740846019,1.2513552470132538,1.3043519048445948,1.2053128297656563,1.2253193088883403,1.2357975896778113,1.2253193088883403,1.2357975896778113,1.200574509948664,1.1682518889839721,1.1218729546055224,1.125255270153398,1.144787425702582,1.1439638962172562,1.1946054829124608,1.1207157685868718,1.2094132756870435,1.0822829327630787,1.1633677362153385,1.125588135175217,1.1806949017354291,1.1729038801826965,1.1632389822140492,1.1576675975033506,1.1922747746568108,1.1754012776364267,1.3290126291051296,1.226787720921604,1.1878918022085458,1.152807261171441,1.2654032298760352,1.2455439406217783
Haxorus,Dragon Tail,Dragon Claw,45,1.089823638576058,1.0815281851104854,1.1233513833050481,1.1248240084610668,1.1394393606187354,1.1374375350137416,1.225263177657266,1.0677069499212009,1.1478530732062928,1.0656728205283974,1.23596699960788,1.0566854128237333,1.1439062901840409,1.1676980649271964,1.1835810482425,1.1373131092476694,1.1519915784489023,1.165360191065114,1.1519915784489023,1.165360191065114,1.1145240676288615,1.1065853681320132,1.1056502717675618,1.119644943012899,1.1415591692778537,1.1417140793164409,1.151105502007141,1.0995248723705575,1.1213091282292051,1.0400457083213495,1.1592051218294943,1.09349315858403,1.1060801252310006,1.1046841774440797,1.102297380586221,1.11281502675145,1.1413658606477735,1.1492040583035137,1.311170158320027,1.1808149758831565,1.147627336496678,1.1319132711108513,1.1865140229440527,1.1909828422111883
Mega Latias,Dragon Breath,Outrage,45,1.070562217937341,1.0325725381555293,1.0600841196269795,1.057272597552996,1.094136381130513,1.0978177114794636,0.9712579895217498,0.9717726321691283,1.0049078114050027,0.9742965439582731,0.9881750037581759,0.9897156106696997,1.091344466378054,1.0936526071252877,1.0931591639788787,1.081451641905451,1.0842442990380772,1.1182451381683545,1.0842442990380772,1.1182451381683545,1.0669986115705794,1.0714551305360605,1.0493875530107624,1.044809628454107,1.068445903726303,1.073114099241634,1.048661492908076,1.041574217423026,0.9992121813840444,0.9991449575582909,1.0603651070169664,1.0447954266700024,1.0547239270867517,1.0506544298477685,1.0352413578837505,1.049655797855766,1.1001232433298087,1.0983674941567498,1.0803444716902557,1.0801266334535606,1.0507778154757235,1.0576610172232328,1.1083177598231848,1.1388816841526759
Mega Altaria,Dragon Breath,Dragon Pulse,35,1.6222886122370113,1.5714604742340725,1.6142407991269918,1.6366521375000203,1.6800881315170928,1.6671461570496378,1.6950447630830385,1.4726124133363971,1.6609938533704487,1.4906054527742278,1.7825735469997057,1.5218538296030009,1.7132778211710051,1.758934195349603,1.6507932870886504,1.6296946556257572,1.5987666505950708,1.621062795784948,1.5987666505950708,1.621062795784948,1.5447174407149296,1.5396688912523022,1.5676163726251047,1.582148233320657,1.6101033129593374,1.6045345758372438,1.5410616602214624,1.5125290094179764,1.5019052570874818,1.449191155750232,1.5461840884959837,1.530629058459046,1.852388825299928,1.5856862557302027,1.6382330910839633,1.6267946441276986,1.6310732272042228,1.6244815777276762,1.7213217462474149,1.6760972653291204,1.653231074295599,1.6293345553384802,1.6581503207358583,1.7190690581811074
Shadow Garchomp,Dragon Tail,Outrage,35,1.043205675350716,1.0147560657188743,1.0325252462155659,1.017556647019973,1.0681595728659383,1.0557125339119209,1.2412382742654353,0.9982815554507318,1.1464879812021183,1.0051108910117745,1.3189556050490265,0.9950541538015861,1.0327684402316963,1.0822704352952084,1.1553560364518525,1.0592569682983142,1.045257753545508,1.0568349872996146,1.045257753545508,1.0568349872996146,1.0315814721452898,1.0175255039037332,1.016955881101233,1.011949108951991,1.0585852779501894,1.055195441966208,1.1033160161578985,1.0503836131253834,1.0294275449868535,0.9541404492937862,1.0572776428918498,0.9950856574225239,1.0152203972452112,1.0118322570312905,0.9757004496476532,0.9835891189569017,1.0550339214326656,1.0567345426738572,1.261479902966873,1.0727133526505495,1.182691147378818,1.0780904937527764,1.0794074390703643,1.0868677462321434
Necrozma (Ultra),Psycho Cut,Outrage,35,1.0828404990956348,1.0656221250707631,1.0285715224213874,1.0141626109764827,1.0627563147290215,1.0357862887307663,1.3711271660700461,1.0519263177230576,1.1522364792591935,1.0376047129222417,1.333063956509608,1.040190698939949,1.1703264121895907,1.2036676391392462,1.2119340874552649,1.1357629088323509,1.1362361121722653,1.151492950445159,1.1362361121722653,1.151492950445159,1.1684934515526075,1.1151650827544033,1.1339469184863789,1.1281532022783203,1.1223934158491988,1.1417116303518215,1.173008499831947,1.0824955667351077,1.1672608328091072,1.0278340590046704,1.1474063501743463,1.0889670238756963,1.0592886593405904,1.009831494487125,1.0779160178797513,1.0785938524513277,1.1369795947644266,1.1436142990669886,1.265399852474573,1.1746553584026487,1.1826892628192756,1.1684338465191608,1.1832902702984642,1.1524900781156242
Latios,Dragon Breath,Dragon Claw,35,1.2841140319399122,1.3013065669549384,1.2894724198313967,1.305779971618659,1.2944028921203203,1.3049850611964195,1.4501039312532575,1.249070080365111,1.3376155069504863,1.231137137315227,1.4490359881781198,1.2277431583163025,1.3117025354803893,1.3730450132258327,1.4238621126168662,1.3676037191657873,1.3301811796481964,1.3685702685555878,1.3301811796481964,1.3685702685555878,1.327397991220132,1.3280987562005426,1.2757144991120084,1.2996138357877545,1.302813224659052,1.329419036812836,1.3504092759757134,1.2922899680149114,1.3508109783394746,1.2449580433113505,1.315205830519232,1.3026548744344235,1.3462550419765649,1.333372127833176,1.3290931228663243,1.3389721018957315,1.3412086972168915,1.3541664243907985,1.377405896767451,1.3422070473632917,1.3247666322562308,1.334708990874902,1.3971780672393985,1.3815882563223785
