Attacker,Fast Move,Charged Move,Level,Arceus (Grass),Arceus (Grass),Arceus (Grass),Shaymin,Shaymin,Shaymin,Mega Venusaur,Mega Venusaur,Mega Venusaur,Amoonguss,Amoonguss,Amoonguss,Bellossom,Bellossom,Bellossom,Gloom,Gloom,Gloom,Grotle,Grotle,Grotle,Meganium,Meganium,Meganium,Tangela,Tangela,Tangela,Venusaur,Venusaur,Venusaur,Vileplume,Vileplume,Vileplume
Kyurem (White),Dragon Breath,Blizzard,35,1.549290998766954,1.5206993287195711,1.5496233415336529,1.5103900004813362,1.5607709844490016,1.5338385106556047,1.54305931380485,1.5439897004696261,1.5694925852297201,1.5337653446144668,1.6639514779847409,1.5278822656039102,1.498265740281714,1.5848518186437697,1.5032308045439446,1.5222171745531945,1.6028652020686305,1.5150693162078717,1.5254948869479612,1.6048628779700174,1.523317999221428,1.5345412921574713,1.594640364579495,1.5456057854718357,1.553177199703973,1.6266827110381563,1.5454762287944537,1.5290234325493408,1.6066699009435748,1.5370627475406407,1.5014946930959654,1.5583744031672093,1.5162396332953065
Shadow Houndoom,Fire Fang,Flamethrower,45,1.2957270072963527,1.2403726016063565,1.0811571343779913,1.3339153326468347,1.3076459400542706,1.1188563761443502,1.3298591523802918,1.3001785356955753,1.1565794752830376,1.3076382080900217,1.334225105849424,1.0931270690365573,1.29040322334851,1.3127107125988204,1.0938061193547448,1.3219800499570287,1.3229608585156958,1.1093048832703305,1.2678543167156793,1.3090191096964965,1.0583785310523786,1.3294996101213699,1.2992214715419563,1.1488245442312848,1.321755486962236,1.3166661200501262,1.1247068286631114,1.2788530263797964,1.2720800308103404,1.1047459761862564,1.2946635303453,1.27995594623534,1.1154484804942775
Avalugg (Hisuian),Powder Snow,Avalanche,35,1.6300397492340926,1.6459875056706108,1.628804305467568,1.8872233867336885,1.8059334798042261,2.014935990965024,1.8480112031861238,1.7292329283306471,1.860816400681496,1.7333946496313033,1.7791680874643028,1.7335726267351492,1.7403900246186876,1.8119899913506563,1.777318916956829,1.6952843530191282,1.7751166059285044,1.7107015764729687,1.7368175475405307,1.7913356529765627,1.760926129252107,1.735791683898656,1.7770165475153152,1.8139905939542995,1.7674218310592864,1.7952887374394153,1.8270478170176954,1.7252928269389145,1.7348533451074564,1.7578397740968523,1.7052333000620725,1.704998833723074,1.7643611274809028
Avalugg (Hisuian),Powder Snow,Glaciate,35,1.507278016814985,1.5165944059298102,1.5062265806265949,1.779860158320677,1.682916811602039,1.962614376561908,1.6982849813822112,1.6063586226221638,1.7033740782862181,1.5364348013724907,1.6282181066450707,1.5330664009775088,1.5911191920207695,1.665218152704741,1.6172610285159719,1.545244727225939,1.6198587266285447,1.5432773584393318,1.5883735767412217,1.6136504063567116,1.6174605343978612,1.6167733182075625,1.6330543027703555,1.6950162522802585,1.6080315337343223,1.6253941072328433,1.6905282191776907,1.5889955996236258,1.597980473340087,1.6567004702708579,1.5671347363871964,1.5502696362898485,1.6298357765029208
Avalugg (Hisuian),Powder Snow,Blizzard,35,1.858015595928751,1.8759587579213686,1.857952195001069,2.1764903727047438,2.061027267550987,2.3622631629141115,2.0692184886089433,1.9608739852726909,2.1009998702838373,1.9157221914382738,2.0040117553244396,1.9149923454527373,1.966718365279196,2.064015131099634,2.0097841073517357,1.912121757568057,1.9799189747913044,1.9141905940500472,1.9340709790709185,2.019100005541405,1.9847286588906037,1.9135961419867116,1.9963248492548313,2.038431805813899,1.9790548207843819,2.0390082121749775,2.0601680112963154,1.937159825034254,1.975629302679952,2.027080866158812,1.9358459437809572,1.9587192094130448,2.0096875201653623
Arcanine,Fire Fang,Flamethrower,45,1.4315788579639357,1.4111682557700338,1.1813890548715293,1.4637214800005969,1.456015004265191,1.25748218681087,1.4552011656354735,1.4434188655567388,1.2301839288042618,1.4653108927226746,1.5394643193313726,1.234244242217581,1.475184063304311,1.5417297000005337,1.2395221629317332,1.4969184457981366,1.5455812342509385,1.2506936089215495,1.4812192539811613,1.5465923349443877,1.2307284623831805,1.4995782724930558,1.5364889436987006,1.2543943790135028,1.5094852458411185,1.5714946116310178,1.2505382197201673,1.4323260347868942,1.4693408092239522,1.2218460922496877,1.4500870629899445,1.4728612505853633,1.2192102845644144
Moltres,Fire Spin,Overheat,30,1.502124055980671,1.4296559462975655,1.2494393339555183,1.453704050591741,1.4468242384651473,1.2314572387253568,1.4857192392532506,1.4763960995321839,1.2544142041544704,1.4694750507935157,1.509993091371496,1.230818410518165,1.4660174464306348,1.5200542344676435,1.2166883603389276,1.4731643495956244,1.4981025793028588,1.220077542126108,1.4570290471098362,1.5103864059182552,1.2019878208757657,1.4563806007539943,1.5020007706299365,1.2501431748115024,1.474995717856826,1.5232306290717172,1.2304593289351495,1.4697306275803372,1.4675316690524787,1.196316236206708,1.4624004446915853,1.4709275775697086,1.2189658920739646
Moltres,Fire Spin,Overheat,45,1.2816309676310533,1.23814452613677,1.0820306083091686,1.2505638318157055,1.279994159226884,1.0796313647358409,1.2978152379286039,1.2847085425299747,1.101157909484933,1.3249959152067972,1.3817019468479605,1.0944172198897462,1.3091696991602233,1.3657861371837923,1.0839452992288945,1.3132454183428524,1.3467878244723448,1.1114781434848997,1.2883883451499392,1.359535956305629,1.0946975645827368,1.2957300928474582,1.331815692694687,1.0960512778849818,1.2919667859607875,1.374077452873046,1.0904435491223023,1.2700154986243393,1.3100042939698662,1.057391965013409,1.2846477132706573,1.322322999059878,1.0776786852667457
Flareon,Fire Spin,Overheat,45,1.3965756004852243,1.3451651421799526,1.1616179577007395,1.3942290476201036,1.388719335566502,1.2029739989089312,1.3721249183408264,1.3720393626545493,1.1859212210614805,1.385451964607931,1.411622169060711,1.1507885870877912,1.3603366373493575,1.4026476497048495,1.1260733546315316,1.3951701560317882,1.4143118717776475,1.138747701194136,1.3580145847358478,1.4073650696001367,1.1561647786720244,1.3480923877378697,1.3676285694003798,1.166124128441376,1.372200573008429,1.3952476574658779,1.1812940406171277,1.3507052751231257,1.3295212805637937,1.1240354758313766,1.3580232008836735,1.3549590658174115,1.154281805054312
Calyrex (Ice Rider),Confusion,Glaciate,50,1.2048180708131906,1.2091142455739257,1.2053863809411514,1.3398686173713965,1.300991870451844,1.3455001320827542,1.070430681123818,1.0696707354638293,1.0722105075454922,1.0625868906554141,1.1204609955529035,1.066242336572752,1.2949123158355313,1.3640028019534465,1.2977178853723461,1.063749829426342,1.1161419452397547,1.0553178135269867,1.3157542151752815,1.395066336864888,1.3261330764572572,1.278379566560492,1.3092853940921962,1.2991105245685783,1.3185836057148959,1.3623458576636496,1.3171725635677876,1.0403419370673546,1.069334414996202,1.0394761586299694,1.0382416818988447,1.0619984667490348,1.0435803367746868
Calyrex (Ice Rider),Confusion,Avalanche,50,1.2564380169748612,1.289740440898744,1.2556369869720836,1.370935608053913,1.3861559051241217,1.3511213367266242,1.1403592567900713,1.1650668339904613,1.1437462061374182,1.1601830342554311,1.2244158745719849,1.1628811955656908,1.3615483547908118,1.427550165935499,1.36140808492371,1.1639590091592469,1.2288368990436531,1.1656601054480338,1.3607527673855953,1.4448206765700278,1.3542161205289465,1.3620093954670356,1.4278893212344799,1.3873635203061827,1.3563819983687309,1.445093441039936,1.3821854414207049,1.1270005120300837,1.1812675031737503,1.1354802909406416,1.131556422565845,1.1732545885561603,1.1304941592304778
Mega Glalie,Frost Breath,Avalanche,40,1.348581797688589,1.345480348210485,1.3540027019087226,1.4982018822706582,1.4579066019378253,1.5839968091539973,1.4963151559761443,1.4409639787935862,1.5093858191072915,1.3870222567949648,1.4388902726865864,1.402031429819701,1.4187654082040824,1.4676792121468953,1.4420369127060289,1.4045448957315168,1.4539353734649374,1.432478209823874,1.394963682115509,1.4432725952534178,1.4306921960970642,1.4400312418936547,1.4720880797701,1.4619493970209383,1.4311104818905565,1.4493196618609385,1.4600072100697419,1.4091033472798544,1.4049873500861005,1.4845650720063823,1.400939146031357,1.3904219023522466,1.44802715721646
Mega Glalie,Ice Shard,Avalanche,40,1.3835383413238154,1.3924550897605252,1.379309114745187,1.5124483575013503,1.4777485665859225,1.6098696837440745,1.5257771489728122,1.476830078865416,1.5561551157272635,1.4157770475469929,1.4681420540116221,1.4310480247360868,1.4304463099261508,1.482359144240162,1.4538252811897694,1.4160586835253974,1.467286808134052,1.4342642062507354,1.4028883902876768,1.4535892349660762,1.4360548498526322,1.4406654780074555,1.461962459091932,1.4695089496633904,1.4537435301911183,1.47647205292633,1.4843224449011938,1.4282711106658834,1.413373281407832,1.4824068725815678,1.433720545590456,1.4173311301558262,1.456242634625906
Mega Glalie,Ice Fang,Avalanche,40,1.3875462891721806,1.3915958048470483,1.388769092722233,1.4999572911448569,1.4826693460054452,1.6093923036425168,1.5336724891459081,1.4761662471840364,1.5524751318697194,1.39068414070159,1.449276192404416,1.4042200353778613,1.404140182392154,1.4533643502049205,1.4348173882976771,1.3949513634492419,1.4592819052370096,1.4241131516042633,1.3904992303170194,1.4421046725493436,1.4167148901895532,1.4227849541584199,1.4641239899511715,1.441897505444384,1.4449114864118184,1.4669229159849249,1.4695205958432647,1.4171842575424425,1.4130825243952085,1.4883779992002295,1.4240160353765838,1.4083766773751065,1.4668125364467275
Frosmoth,Powder Snow,Ice Beam,50,1.5710419135589053,1.6037784754599937,1.570189373424969,1.583735341047142,1.6289504417234526,1.6146091977910322,1.5708388512980165,1.6233951814635268,1.5774392085369995,1.5622397276330935,1.6516978087748464,1.5622555784067176,1.5772334739074112,1.6392450498736348,1.5828993020429016,1.5882537164433923,1.6722476572545908,1.6030759285651843,1.5749562649575664,1.6395561291020813,1.593307291908308,1.6016821915562065,1.6547926528463075,1.612213849130113,1.608523996663701,1.68661459527881,1.619768491618901,1.602550706635946,1.615896607632642,1.6038339789590559,1.5985280526525643,1.6387973298762684,1.5952473953806114
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam or Flamethrower,40,1.2793079156732687,1.3214308125510854,1.1749873098221975,1.3425564279884046,1.3763087117133097,1.380471521345766,1.1859597672080893,1.150927437046601,1.1125767026419529,1.1418519253583963,1.1518008166034412,1.0440903698336248,1.3192079660059954,1.3839774824331192,1.2145906146613177,1.122955221421508,1.1590164462222934,1.0303467466003566,1.3161085746005396,1.382106407815688,1.2164806769290486,1.344120389334861,1.4040376570798698,1.260126144773609,1.366358192418694,1.404545030919774,1.2639035115869632,1.1292783982820185,1.1212060300518867,1.0633357440118467,1.1348568404017778,1.1163488613263985,1.058139432264135
Solgaleo,Fire Spin,Flamethrower,35,1.5989364232084364,1.6137666945783962,1.317201585972457,1.6856738555210682,1.6999260852080325,1.4189911323229425,1.6144994011939922,1.6535403630108496,1.3967321917640627,1.6972136826364324,1.7954062504439996,1.425392140147479,1.727542399950959,1.8230650429617365,1.4440998061603372,1.7420754428813985,1.8102613675384265,1.425057410710777,1.7270666905088734,1.81917837436676,1.4407707028071508,1.7636864621761288,1.8071320391218382,1.4643097616275251,1.7041891167536618,1.7828054833334925,1.4431440615701345,1.6635511475097515,1.724456330785534,1.3901552830011423,1.6556243766684215,1.7130752716210615,1.3950668274935607
Mega Mewtwo Y,Psycho Cut,Ice Beam,30,1.1392167961997413,1.1533379164526656,1.138444843690983,1.2431154074787432,1.2712037477335085,1.267848180419947,1.0859074617630606,1.0989645499469236,1.1145557120864291,1.0962599278234801,1.1752193134350626,1.1036140651861956,1.2404028531297346,1.308627285605877,1.2288719158408348,1.1148958724440161,1.173863910692846,1.109966989772226,1.229394796160838,1.310716999739233,1.2399663925477724,1.2431248756885929,1.293766573308874,1.2332893781206054,1.2287421438925425,1.2903377369552127,1.2397368510826687,1.0750213427845483,1.1125604766880393,1.0901891068263954,1.0933930306637536,1.1252915531772099,1.1040965593995857
Shadow Moltres,Fire Spin,Overheat,45,1.1249645774170791,1.073728034501296,0.9396695957329027,1.0946322731606823,1.092463862164468,0.926554196218447,1.0923229650902633,1.0839121959002318,0.9106516242843405,1.1039952385519232,1.1371704637483484,0.9291146299532559,1.0886028236155498,1.1413986727570813,0.8989906114240559,1.115931585383473,1.1404578718296645,0.9447581955844825,1.0910075220023705,1.1521052006738832,0.9174493648673692,1.0946177236564396,1.1304274235374585,0.9300955695293556,1.1124159346568003,1.1389465376470995,0.939102345000012,1.080905343951249,1.085086677036246,0.904176971893762,1.0934612844223475,1.1008172415159065,0.9192887745520191
Darmanitan (Galarian Zen),Ice Fang,Avalanche,35,1.152623819163967,1.1396083431424078,1.1543890029117463,1.1608417282957944,1.190370840539641,1.187536051518688,1.1715175316254374,1.1910651205304488,1.2064282738331664,1.1354500332111448,1.1776052544648568,1.144701468216757,1.1363018106108833,1.1862981686913041,1.1376278309467422,1.1529848929313016,1.1898271990023719,1.1505572760277643,1.142251211933082,1.203211873072161,1.1495308103433668,1.1855952577651352,1.2020867996871425,1.2285200289765112,1.1651676296055573,1.201742955989729,1.1718934780028805,1.1337161726907123,1.166670628901811,1.1347717941104571,1.1227484584971188,1.1623084837605502,1.1341243234506724
Darmanitan (Galarian Standard),Ice Fang,Avalanche,30,1.5699269765201733,1.5020984757797464,1.5761324734655378,1.721556187200375,1.5771879087125047,1.7814673899458737,1.6655877935414758,1.5644556094196058,1.7227476229596939,1.490051019955103,1.5193559923916287,1.5050464290027423,1.5295748149293562,1.5360487187244776,1.5372338320725518,1.5059469625056472,1.5110696145613935,1.5172963121373626,1.4897316849835114,1.511133628429785,1.594234761850954,1.5822247854699973,1.5391887125129446,1.6527194925414443,1.619254126395093,1.5467204635187841,1.6389618636082786,1.5582860911938203,1.4979257289132715,1.562341736714885,1.5748929870052002,1.5097537831893306,1.5823061524910431
Blaziken,Fire Spin,Blast Burn,30,1.8235328355852567,1.508982347662909,1.5254621922631881,1.5834450407166745,1.5276064944553716,1.34692280151148,1.5439323840255383,1.5033587939011281,1.392874392856293,1.490199737507637,1.5026955195146556,1.2593151044996662,1.485687841516058,1.4926420309892057,1.2853039160364481,1.5359059182729045,1.5273052249332342,1.2826450483340726,1.477537319716797,1.5177452446894648,1.2361153760467856,1.6035849805276774,1.5280342844208874,1.3439579358741331,1.5381811465388253,1.524303164108191,1.294605109252088,1.4822421638329035,1.4824285801650072,1.2698931393379285,1.5227031908430317,1.4900584455833976,1.3105994986321086
Crabominable,Frost Breath,Glaciate,35,1.7376205816697874,1.4991157843828875,1.7378977671282427,1.7497645917875637,1.5013145635757426,1.7581869578485478,1.7055327462922798,1.5063795548556915,1.6935576316845304,1.4961241084494836,1.5140026266996294,1.4908844731682367,1.5119217161207203,1.4967926139460206,1.5362260793470097,1.4804294869980767,1.5012968181009385,1.498060071946279,1.4698367175941176,1.4959104602566335,1.4864972256984879,1.4840086063889395,1.4754010725024602,1.5546855857917952,1.5005731570785705,1.5068057898903489,1.5787629181435427,1.4778428531634458,1.4350416141260622,1.4951599794794475,1.5398769006768187,1.4686919000200598,1.5499486601466104
Crabominable,Frost Breath,Avalanche,35,1.7348737077502012,1.5888129587699118,1.7348502758864637,1.716528111148282,1.6088082263309171,1.7524688265818475,1.6908379496533696,1.6077526523938666,1.7091664747738935,1.6012011956012107,1.644186318073967,1.6008141392452724,1.6113509420862466,1.622119314795647,1.626531341085657,1.6103729865863512,1.6309382977648348,1.6255822791757149,1.5852658369937103,1.6141123852489003,1.6010455304924278,1.6008267871662605,1.614869803565481,1.6749030818521295,1.6225138802498074,1.6356516817904456,1.6827045464967179,1.6020528750169487,1.5517419433960007,1.6332392288823658,1.6501086473237105,1.5792110647122142,1.687900955282908
Shadow Weavile,Ice Shard,Avalanche,50,1.1503337916452665,1.1215339826973922,1.1500363718481894,1.2544955640634925,1.2132121356927164,1.3608092036294075,1.2859215730045583,1.215414386159319,1.3141777419801393,1.1705123662674226,1.197285521716892,1.1653990487759829,1.2171701613310104,1.2159773680957857,1.2166597760055873,1.202923749937127,1.2139245163298713,1.2079391138831663,1.182607644832518,1.2209432859284468,1.1947211220591203,1.2251476602621776,1.2200634668290966,1.281388519432959,1.2119050561126812,1.2171438064573272,1.3007241286156168,1.2055124473480432,1.1765046232725953,1.231696744403534,1.2488558459151586,1.1911524854468585,1.2643873005955895
Delphox,Fire Spin,Flamethrower,35,1.5874840873164169,1.586045750589044,1.325782844078683,1.631234781036645,1.6146534951158753,1.3683561730300264,1.6083189455651319,1.6242152926306137,1.353958706015914,1.6632213433996847,1.6757522235483002,1.401627967691062,1.5900901560205236,1.656249284315449,1.3571909486847504,1.6463807277374023,1.6881505186642243,1.3723749616316685,1.6132275815252148,1.6865143355460508,1.3378216258933997,1.6554272114803799,1.6957054781003416,1.4285730158319074,1.6461369348382469,1.6930095383927748,1.3794772528208001,1.6233093210953278,1.6300960068703518,1.3330085448196836,1.6171482284305785,1.634824117128,1.3491647804073843
Charizard,Fire Spin,Blast Burn,40,1.4446979537837712,1.4127987437723202,1.20601404512907,1.4390282689462626,1.4340797962059313,1.2069003962962161,1.4255272526284284,1.4248200984300994,1.1851319468116808,1.4399681918929288,1.4800644331727832,1.2041527250898656,1.417373454487284,1.4719132234742123,1.1981949165690464,1.454059343707038,1.482479395676005,1.2015983224374336,1.4332240936485348,1.4776002350457718,1.184128496082556,1.4593594947371626,1.492314116167222,1.2016486075203405,1.4552014251845566,1.5058139772276729,1.2062492213536757,1.4361878204389358,1.4432709852406467,1.1859898862991538,1.4093658064411843,1.4118503533407178,1.19231316629865
Mega Mewtwo Y,Psycho Cut,Ice Beam,45,1.0209814103883594,1.0448764156542834,1.0207640286418311,1.1002550363031263,1.1186651004155617,1.094131455638267,0.9542432938922458,0.9631321190961968,0.9516378257694063,0.9751124428128952,1.050806835457426,0.9768257693619199,1.097548858977125,1.1711327506376803,1.0910155479831944,1.0085556653312178,1.048714003515851,1.0115821203746467,1.083624336603167,1.1257191360853795,1.0845066688080716,1.1100158251021592,1.1653083940448181,1.1149507400276006,1.0910584692098806,1.1466754321003754,1.1075995937688876,0.9604210418623533,1.0084279200839579,0.9735515065702329,0.9616730192506975,1.016024349565074,0.9721735114024967
Crabominable,Frost Breath,Glaciate,50,1.3608903708529598,1.3059329578905927,1.3624403211913976,1.3902051841297132,1.3443213676808037,1.5439167814510857,1.3838860180389263,1.3304991860059387,1.5238292278335357,1.298534114239234,1.3582736598326304,1.3236451362544932,1.3398769530547097,1.367361375023526,1.352721960361795,1.30821360141459,1.3279136644652592,1.3160659590433026,1.3013767833850804,1.3526242239539426,1.315165495065591,1.3124966155529016,1.350038491181796,1.3302147020672228,1.3318183117368996,1.3761713987759214,1.3528388694675375,1.293680814250799,1.29809840585344,1.337719942989721,1.3168174527356025,1.327768804997599,1.34501076858998
Crabominable,Frost Breath,Avalanche,50,1.3863695499683244,1.3814407648480074,1.3868102588596425,1.4520291441630961,1.4527646356053505,1.526701845975624,1.4267829352521941,1.4275656734162645,1.4853125774065281,1.4148661386627455,1.47640132826819,1.4348133604705684,1.4183650209035852,1.4724612161394033,1.4444051075037836,1.4130326409522749,1.4495799161791594,1.4196841600288546,1.3964019326062789,1.4644475058516457,1.4211655751948316,1.4305420020890929,1.4663230944220345,1.4586668502022024,1.4511469981334317,1.488177926111255,1.4635490406390488,1.4060832387452165,1.4097389171227745,1.4317872801102955,1.4402924651538418,1.4209345616539046,1.4729521638578993
Shadow Magmortar,Fire Spin,Fire Punch or Fire Blast,40,1.2985620130019364,1.259285513012928,1.081000505608659,1.3109519351247396,1.3205228546922467,1.1252170284191616,1.346812837006446,1.3203526670749208,1.1437474630769815,1.31009456740264,1.317009922495489,1.097794278270321,1.278133553237546,1.3196720309358252,1.0714809801395706,1.3017750774212495,1.312940190316091,1.0981985244791388,1.28872317090483,1.3145673224805619,1.0759072793686022,1.3081922116321258,1.2870708428354525,1.144804732198034,1.33252005071322,1.342830612264905,1.1265001072440954,1.2712177282095785,1.2853337237637867,1.0964648446178062,1.264228225303382,1.2791513958820198,1.092248459166813
