Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Groudon,Groudon,Claydol,Claydol,Donphan,Donphan,Golurk,Golurk,Hippowdon,Hippowdon,Marowak,Marowak,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,25.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kyurem (White),Dragon Breath,Blizzard,40,1.3310796448040594,1.3553056536496726,1.3709744779994704,1.3788029309159022,1.3900710316202782,1.48000061833837,1.3304268702074278,1.4067988268136682,1.3947325970296924,1.4628066288836075,1.3541776330463486,1.440487130302895,1.3381195749168493,1.4271923420134665,1.4126342087261696,1.5350504119204116
Kyurem (White),Steel Wing,Blizzard,40,1.449676003702815,1.4882109918743787,1.4419228315363137,1.446511495652143,1.5286638480742623,1.615888204422665,1.4204388847662461,1.4915279691861902,1.463709980965081,1.5295578951896502,1.4377749029754203,1.526261319534282,1.4302840197218392,1.5136601678339328,1.7279144236584085,1.8845334047130438
Mewtwo,Psycho Cut or Confusion,Ice Beam,35,1.4978383104193096,1.6165152398258307,1.4852147981751973,1.5656585941484757,1.716909235656482,1.8331800369457174,1.4896374430191879,1.5936075479698928,1.5768870917440072,1.632518524094766,1.5400990319846544,1.6435473078467233,1.5316423749132437,1.6301524206123865,1.5344456671524453,1.6611248252684174
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam,35,1.2593410361024446,1.3375098570302053,1.3556765613809354,1.3605851168758696,1.402437799024571,1.492630179550004,1.254770486589632,1.3405685713276088,1.3098390097540518,1.3481561938765634,1.3079091760717312,1.3859213989383057,1.2710220563712897,1.350738667604085,1.2956210530490042,1.3863228543953048
Shadow Victreebel,Razor Leaf,Leaf Blade,45,1.3521239757259917,1.3063873555730792,1.37432622878276,1.2682946768297343,1.2744340271605128,1.3441594076318413,1.2213329092900809,1.2719265698434572,1.276156882144816,1.3150010216481873,1.2482490966677076,1.2970870321630905,1.231965964504295,1.2901670227053532,1.270677809832555,1.3521597319295324
Shadow Tangela,Vine Whip,Power Whip,35,1.5204477663112421,1.4948452017691227,1.5442312032714225,1.5071682326534457,1.5284860757928256,1.5992703607231467,1.3972931905721049,1.4630640658680518,1.5115231161345135,1.5421618075644983,1.436035151893652,1.5117723156532987,1.4252093417340437,1.4892872916723001,1.479760877970437,1.5823196423083405
Shadow Torterra,Razor Leaf,Frenzy Plant,35,1.2797956594781774,1.3013662700997704,1.3975876635666822,1.282298810537222,1.3381615254407593,1.4088066842377818,1.2567581893353121,1.3080939255804092,1.2669620484583868,1.3335089851269533,1.28863808716599,1.3493420172190747,1.2812615487232182,1.3421396573014972,1.2859054813669215,1.3669611079717257
Mega Venusaur,Vine Whip,Frenzy Plant,35,1.2305979360235884,1.2561353584530464,1.2235365413699526,1.2639299366792787,1.28698629607587,1.3411604665363002,1.2485688540231104,1.2963443937948336,1.2729736414767656,1.3298095432694894,1.282758620689655,1.335495382968283,1.2682638832553654,1.3263657914424525,1.2735627397912144,1.3629162577204097
Shadow Cacturne,Sucker Punch,Grass Knot,35,1.554422806596496,1.4505691363527276,1.6889838294907862,1.4180251683428382,1.2773711344190324,1.3215050355931024,1.491916675500901,1.4394148203116717,1.356350887758504,1.336638454837773,1.4135432930365348,1.467582638176384,1.3792037352514355,1.4424073623392193,1.4282485203580881,1.510602861136722
Darmanitan (Galarian Standard),Ice Fang,Avalanche,30,1.429430520794048,1.4422018034079611,1.7244508975618944,1.4368205640395884,1.3823186143037123,1.4741805084287247,1.3383953496589984,1.4012950987667407,1.4072827384473099,1.456461655930399,1.3931748226792167,1.4673595931659007,1.3578594413347396,1.4244612098104432,1.3540731047199834,1.4526266742011917
Mega Mewtwo Y,Psycho Cut,Ice Beam,35,1.0622192889224122,1.1305876504268524,1.0949117721804684,1.1393393532151748,1.2133190084944232,1.2997086080430362,1.0687215095939786,1.138379448037033,1.0817318549904826,1.1427941540215298,1.1180264977472454,1.1820047285542221,1.093967172331738,1.1668604598757921,1.1279084753492152,1.1803329070378412
Torterra,Razor Leaf,Frenzy Plant,40,1.460208454760517,1.508557616484383,1.4265591594676297,1.4709209850521867,1.4953585976085761,1.5678896884347535,1.4258719389377716,1.4949733206120357,1.4720014625700366,1.5429038467742804,1.46591426149797,1.5346567337288664,1.4606509649099086,1.5275411697898922,1.4954148449969764,1.5838761165472048
Shadow Victreebel,Razor Leaf,Leaf Blade,30,1.538413275276854,1.4488977268831214,1.5373215494827532,1.4398684180127281,1.483981171596627,1.531376807673579,1.4062776069825789,1.4340877769532492,1.4365986643294224,1.473033864948864,1.4242316099388856,1.4669224249453539,1.3986822061779474,1.455819655138224,1.4209915831424917,1.513368824911519
Shadow Tangrowth,Vine Whip,Power Whip or Solar Beam,40,1.1957383344190353,1.2543850927417972,1.2419978282929707,1.2124238702947088,1.2683202065250154,1.348116773201215,1.1823385985370507,1.2500265027032758,1.2066740512114598,1.2803725251916935,1.2200918945443189,1.2883436677521523,1.2170574078580894,1.2830823035252337,1.2348095053980905,1.319691877583797
Mamoswine,Powder Snow or Mud-Slap,Avalanche,30,1.4250625707134776,1.4740511537011005,1.7520344203123916,1.522601214520936,1.4898167399655275,1.5813926525943158,1.4193081027598147,1.493542174635146,1.4771742286556186,1.5554109714261133,1.4594102689922825,1.5263237721372171,1.4280215966757706,1.5175540592917083,1.3832396474635418,1.4789875977753324
Tangrowth,Vine Whip,Power Whip,40,1.4143981211643295,1.484048753728529,1.4286633338724095,1.4894675763429661,1.5049505715765308,1.5908377711993444,1.381877451500053,1.464910420862928,1.4628496456493918,1.5453773108068871,1.4863094972565463,1.5717357362715796,1.4170790405884104,1.4878451096509018,1.498755811993774,1.5875045851550031
Shadow Vileplume,Razor Leaf,Solar Beam,30,1.8962560427880826,1.587549285151027,1.8956212201723504,1.5624543488344402,1.5425996490929748,1.6013727111818763,1.53195342591611,1.50975299480547,1.5492273113445967,1.5910933786443267,1.5341928001070615,1.604701788820984,1.4998693022543108,1.5075308942429897,1.5014226372820192,1.5509323974660203
Venusaur,Vine Whip,Frenzy Plant,40,1.4144392635512737,1.4601587410429595,1.5289510583961712,1.4498365888205071,1.4931480379350588,1.5609952156068603,1.4290434290964344,1.4839835329870312,1.4522245045006292,1.50768386978825,1.4662265245126467,1.5345496721238345,1.4560449960790676,1.5064762986398421,1.4534594374882273,1.5342374763306863
Tapu Bulu,Bullet Seed,Grass Knot,45,1.271675180855076,1.3227311687866425,1.2924340357318669,1.3350098011164209,1.3438115922985954,1.4087216627118773,1.2651595462737197,1.3258595710095762,1.3137750438233302,1.3776764493961522,1.3258955257170897,1.3938885667127625,1.277836366422397,1.3521538087125822,1.3103629459992665,1.381009031516125
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,50,1.2386309870744334,1.2768642644084067,1.276240423251838,1.25303941239508,1.2163952418862412,1.2821246106400574,1.1925774762359094,1.2599915191349518,1.187445556905804,1.2525836944949293,1.2574117856983538,1.3269215327653119,1.2153988985334812,1.2781608573772119,1.258394551348779,1.348095053980906
Glaceon,Frost Breath or Ice Shard,Avalanche,40,1.3970017485514452,1.4213511845578908,1.4996099102349245,1.4492039147596105,1.4682676477635472,1.524381854860526,1.3526449697869183,1.404802289833563,1.4290062051684644,1.4622796735027477,1.4283267163313556,1.4817058482401748,1.3710644204681683,1.429355615045564,1.3871655315309956,1.4580892048101994
Shadow Venusaur,Vine Whip,Frenzy Plant,35,1.3870984331607639,1.2839047553742244,1.3898178574030862,1.2646674640255486,1.3074996715077407,1.3588758608429496,1.251227958585109,1.3086858192869004,1.295234817770226,1.327744738511835,1.300182896908596,1.3403756077976534,1.2783861983180553,1.332612242322634,1.2831494314407796,1.3581377826686098
Venusaur,Vine Whip,Frenzy Plant,35,1.5363390132684198,1.578204820516337,1.5421057027747023,1.4896915003083397,1.5383331143384937,1.5961941273313287,1.4676843704724547,1.5223064419237429,1.539559293234538,1.5937281555486251,1.5077575054646026,1.5700049069902307,1.4884129688218275,1.5538609916804125,1.489238517284795,1.5950391101329446
Sceptile,Fury Cutter or Bullet Seed,Frenzy Plant,40,1.4306322213460418,1.4502057119347207,1.5237634865316843,1.420605625467619,1.3969577752185438,1.4564651141220752,1.3841743524506165,1.423901904660942,1.4237043887855292,1.475926742447869,1.4169692643975553,1.4697952446803764,1.3855763770584895,1.4313476289626206,1.4220424510999414,1.4915286163241432
Shadow Torterra,Razor Leaf,Frenzy Plant,45,1.162258717043234,1.204669660918161,1.250506938977165,1.1939092681418397,1.2452020807086157,1.3020351061609687,1.1412505742252375,1.1980635358139864,1.180121952530999,1.2454429113747083,1.1973234598742026,1.2557255654191015,1.1741254518085864,1.2266118637498535,1.201161903062388,1.2764873251444944
Kyurem (Black),Shadow Claw,Glaciate,50,1.106677066547811,1.144466348956012,1.0957221636742012,1.097078147686741,0.9460963525765386,1.0116943244266843,1.0709919078412664,1.1569843457365985,0.9675223418327293,1.001279748782088,1.10171744658072,1.1891867778917784,1.1143289797463563,1.187032980900102,1.1041548939713886,1.2060395166007396
Kyurem (Black),Shadow Claw,Blizzard,50,1.315507251345699,1.3857441629238523,1.2872873388769324,1.296516205164113,1.0960743242720996,1.1613940438556487,1.2637018975935546,1.3673893070426515,1.104089819006958,1.1647111961887147,1.2974706695811213,1.3810768613106124,1.3020830516571573,1.382205276583471,1.303056439540394,1.4350593343842013
