Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Avalugg (Hisuian),Powder Snow,Glaciate,35,1.272586504803861,1.2885242827692627,1.290566515965953,1.303962643479699,1.2624702438099948,1.3093703953498914,1.329947258465474,1.3396708363093723,1.3538989510660415,1.3812379051678456,1.4591836098766184,1.265018532393257,1.277137174249814,1.2778062283958678,1.5285189357808633,1.2977836519182178,1.4162149883701625,1.2973602911383146,1.3343281601334347,1.3383541059491941,1.3067693982509732,1.3151972318976655,1.2422171582708943,1.280005379659017,1.313258499598615,1.3613900811320971,1.2896629875539736,1.3717354443945808,1.3643030162499268,1.4436640505538225,1.246400933523168,1.3381010168797665,1.252306164046911,1.3413273328470923,1.3276312327367743,1.4615908249356793,1.2457357509597928,1.3437996654039743,1.2018403911079054,1.312319899017221,1.2447711100683176,1.3146119351549004,1.2700139732427331,1.386582791200623,1.2582501107960784,1.3524627190378757,1.3241853420878404,1.4167751432901226
Avalugg (Hisuian),Powder Snow,Blizzard,35,1.5784941021850512,1.5930956117483115,1.60331960552574,1.6137317003654836,1.5609301766203985,1.6106010961074542,1.606146771394576,1.6538101429422905,1.6708386206830692,1.720033559252222,1.7366159489836384,1.5773753385525944,1.5812596510170869,1.5937400613133557,1.8567262574024153,1.6185506810786474,1.7605871025982824,1.6029564931435476,1.6428135562983106,1.6687610476965582,1.6053022794465945,1.6398132743926732,1.520551339279372,1.5939305512540383,1.6318438057168967,1.6793618233727314,1.5749984768828877,1.676676048154779,1.6830157880880585,1.8559856630323877,1.5648426580653092,1.706687228403048,1.5450190770601833,1.633121543717667,1.6118046813273699,1.7906518177839326,1.5592896229823723,1.6651711780942555,1.5154621865576694,1.6478041254670954,1.5511639005174946,1.6326273313796182,1.595886258134241,1.712566510939955,1.5130128537296768,1.605553869047516,1.609532203511815,1.728587999725335
Avalugg (Hisuian),Powder Snow,Rock Slide,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg (Hisuian),Tackle,Rock Slide,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg (Hisuian),Tackle,Blizzard,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg (Hisuian),Bite,Rock Slide,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg (Hisuian),Bite,Blizzard,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg (Hisuian),Powder Snow,Avalanche,45,1.265934154057374,1.3040167650886179,1.2659112270745034,1.3095157503652581,1.274035154613744,1.2966735705810792,1.3373926395994185,1.3706535234473174,1.3304858816296266,1.3641366088242437,1.356721910694592,1.2583481172390265,1.254552326262119,1.2765689527321549,1.3354818151843213,1.3061931026266818,1.3638797586374967,1.281443028743876,1.3027146634431845,1.3232361010363325,1.301623043361767,1.3185967864647348,1.2654659987554804,1.3063197733723928,1.3308100000382879,1.364331390859653,1.3215897864504187,1.4040869846189337,1.3818728041482335,1.468703681163416,1.3264157524740066,1.4151039238610088,1.2881911906057617,1.345126129136907,1.4213761197102328,1.4931487699920143,1.3152877927280235,1.4015333090759277,1.260916659153067,1.3342908664683075,1.2356844371339564,1.3109350726692528,1.3475217336963705,1.4262487207198449,1.2976389387437588,1.3601682185040584,1.3437925606272634,1.4379444619271837
Avalugg (Hisuian),Powder Snow,Glaciate,45,1.1701888509600644,1.197313908508148,1.1411293989081344,1.1840208920627706,1.1537548433886535,1.1874166536264454,1.2295247272200212,1.2588168308351086,1.227935149773304,1.250249263017058,1.303865004590974,1.1456959676522143,1.1550841412695967,1.1810729208519621,1.226933201507689,1.1875936398515046,1.2818506736337143,1.1746397472986052,1.1857412738731763,1.2127647488477051,1.2028591542916103,1.2174536467997845,1.1586734215483758,1.1960795734915408,1.1914906379660437,1.2431127534500606,1.2072272848821122,1.2899737376936227,1.2830341168328705,1.410633263046424,1.1909321460488949,1.293195506480307,1.1354727942078597,1.2315999138916676,1.2366276000597314,1.3178600698474179,1.2018334117158176,1.290998643775077,1.1333517666977229,1.1968825574289463,1.125992181234917,1.1999863416430652,1.202844371865004,1.2884237543025898,1.1212113135343826,1.217110445200046,1.208067704835383,1.3128614658352797
Avalugg (Hisuian),Powder Snow,Blizzard,45,1.4344282452223542,1.4823437690864456,1.4068603737050942,1.461524221341507,1.427347291039284,1.4613735896915516,1.5201456068436106,1.5579033454223383,1.5089377204964627,1.560938415103121,1.5614507870208159,1.4215643980469088,1.427096170958044,1.4562987236605898,1.4914845568066468,1.4614562784077119,1.585145518441981,1.446974400477472,1.4710330352762757,1.5047292952335505,1.5039854040488179,1.506747978777063,1.4386365595186343,1.5053539919816563,1.4922779651758629,1.5318035395903449,1.4846817800221603,1.6049581619422257,1.5358822545711122,1.6927217997275872,1.4332320940808856,1.5621762637278105,1.4220725989587213,1.5539765264470753,1.5464789142145774,1.6481441014063574,1.4633800173807958,1.5965080879095845,1.395418186918322,1.5105466895080095,1.391797699820239,1.4882522902346964,1.4917103546184844,1.629197430531768,1.4431696597472914,1.5074510232873106,1.480746485632799,1.6017707240534624
Shadow Omastar,Rock Throw,Rock Slide,30,1.3036981578764222,1.291347497854689,1.35488937800115,1.36264053680465,1.3587607849461412,1.338061432766101,1.382487858871956,1.3930867485864578,1.5761274070451559,1.4516628906015874,1.7628944279101675,1.371223121797686,1.5775825223127777,1.3454773778439397,1.4110314709107759,1.2982453520783492,1.4127212325011917,1.3134027404456228,1.6005384162833227,1.4321698869932387,1.4623133185367503,1.3210343840135486,1.299141432940372,1.3131359339438489,1.3545609524502351,1.3308043685237583,1.42799469083805,1.3851133216255953,1.4382036981914612,1.438106830982002,1.3860851731578048,1.397410264554966,1.3463455518347323,1.3378670047773566,1.3841493829567808,1.430431076816509,1.3600581362928386,1.3833275745335945,1.2951539486470511,1.3056542341638364,1.2881525584585876,1.281946205752956,1.3664443521197152,1.3902809367489082,1.2448575446850594,1.3129696314324175,1.3399421147929311,1.3788992557249033
Mega Glalie,Frost Breath,Avalanche,40,1.1460495969324191,1.1431453419388222,1.2004187717903063,1.1964334814952826,1.189641577281361,1.193212798413216,1.257172782063823,1.2543911574371311,1.2239050992396645,1.2382701881682903,1.2269891566226128,1.109780598068421,1.167286668704672,1.177824152878398,1.2717772544783499,1.2006305816977818,1.2422365696330182,1.1622853204598123,1.214799253715129,1.2178160739457202,1.2040901982491305,1.1725728626781404,1.1964373965860002,1.221983578780276,1.2232258974368793,1.2108253981624353,1.2308243170698674,1.2384855105231694,1.2634179638817706,1.3076199248247358,1.163449004705415,1.2453906851487986,1.1719915148668596,1.2034189486503797,1.2272971862726088,1.3002041435976301,1.1724395981690325,1.224417073241323,1.204242478886785,1.2047412416473817,1.2008259908927106,1.1762155293409853,1.1837215098064016,1.2347753845867615,1.1772983710409224,1.1967201822397895,1.1973012913277574,1.2488347315648796
Mega Glalie,Ice Shard,Avalanche,40,1.1721872984863424,1.181955404823587,1.2425494645875257,1.2466798789496374,1.221444592271579,1.227120880913057,1.2577346023170224,1.2643686523858357,1.2385228752141901,1.2660497425318789,1.2604824354274546,1.142129134011662,1.1880606219997103,1.1974162884553403,1.2805693056788479,1.2158124732041848,1.2714036255624737,1.2036924533912308,1.2544795552228853,1.2627406224406363,1.2327138319899458,1.1961809615424475,1.222078291086909,1.2543295363169606,1.2236417999405262,1.2194235881649496,1.2627645490791333,1.2675336085637348,1.27181869892443,1.3048796636964946,1.1881961441991788,1.2620787380549288,1.1833036771419259,1.216597343437514,1.2263846255400266,1.2924104687532512,1.1910645156170414,1.251741538277685,1.2188996082910066,1.2314140594476002,1.2088834843757066,1.1923005288337756,1.2187514525765726,1.2746716708070256,1.1754684502037251,1.2115016079133034,1.218536797535068,1.2781115410192188
Mega Glalie,Ice Fang,Avalanche,40,1.1825340433310896,1.1817455148522162,1.2492841849946894,1.2557957013743575,1.2275590323404315,1.2270522289894708,1.2496807945312676,1.2636885428719042,1.2278737057328042,1.2652907390009198,1.2506929162356137,1.154939255574375,1.1900906200625376,1.2062344576883157,1.271129686153603,1.2221476715878115,1.2729144100546712,1.2061861019571332,1.2649388372261499,1.2597173789276908,1.2316171395712878,1.2146191364190169,1.2268360690983104,1.2640697499310969,1.2214300345739895,1.221417224074932,1.2515199300777937,1.2717835714704582,1.243551445655181,1.2815738682161695,1.173741809401855,1.2418289644617067,1.1722322832482412,1.2091216874824529,1.2223445451199333,1.2765982793900403,1.1619918538234144,1.2361221286526896,1.197543153107124,1.2291705987837986,1.1922396167788345,1.1985564311533299,1.2000535343391727,1.2705211090790667,1.1797804108841268,1.2270567888602317,1.1986776439501623,1.2628799542911024
Glaceon,Ice Shard or Frost Breath,Avalanche,45,1.214213611534183,1.199422514361484,1.2088874683321515,1.2150904989226572,1.2197497051998936,1.2143177754954544,1.2574645288050113,1.2735199136853796,1.2368199077686,1.2553859973680839,1.2745117387211842,1.1630477835220736,1.2049263619314834,1.1961128191367518,1.2567089282599726,1.215985978700782,1.240027781351581,1.2046584479278497,1.254314560648325,1.2556298813105888,1.201091395129411,1.1930214739822487,1.2246765337947716,1.2384592580806173,1.2590318963877902,1.2249597019668503,1.2815305696359058,1.2773332546373637,1.291958338204492,1.3396273487938675,1.1899819338775055,1.2685755791913105,1.1907818922607125,1.2316182984722546,1.269590944987655,1.3194159581850866,1.2165467418900864,1.2855386056439293,1.2279531351746662,1.2358408719782805,1.2192554016693182,1.2031241324424866,1.2404285988001886,1.2943856011832768,1.1919191149975024,1.2271472487669355,1.2506687606785978,1.2971427165582021
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam,30,1.2015493033322915,1.2041043916085719,1.2959743433498645,1.326012071980501,1.3721770199188523,1.4501472007485658,1.3125078319169075,1.3593637055160555,1.2548185509736114,1.2988006098163953,1.1697124859258603,1.1878616632667145,1.2806816783911288,1.2473305747898735,1.2151118149804174,1.2408939718185759,1.3770584438706193,1.3739657131997187,1.272454468563032,1.2817643181526597,1.2186740961788118,1.171111117935316,1.290528864049008,1.2684835328448074,1.2225006604665765,1.2346401637701856,1.3577233377731102,1.4199513766980851,1.323133831617638,1.3807730277418535,1.1878083845995202,1.2821701540052393,1.2185881470073967,1.2466530654641608,1.1048347250708481,1.1352913957901896,1.2429413114225645,1.2945273578635286,1.2213782947134313,1.2431420270689948,1.2122887025240316,1.2325294269651577,1.2236598072793796,1.2938191394565035,1.1795286461948051,1.2372508357445398,1.35072912814905,1.4020541463896468
Calyrex (Ice Rider),Confusion,Avalanche,50,1.0652030486264032,1.0970958975920042,1.2136120572038556,1.279349529165404,1.325131364567453,1.404647056451971,1.2786093968960068,1.3202048016269037,1.1278581373961625,1.1701611027559222,1.030474176752268,1.0714242106132978,1.0828180489455814,1.1206225738631626,1.0921243007934531,1.1271277235399166,1.2731387321902266,1.3395805784649681,1.1204603940689313,1.1539808795082156,1.0734536713669232,1.111262113710536,1.1193351385498977,1.1431510216142955,1.109083553169793,1.1590515189454995,1.2708504838603432,1.3556766717480364,1.2087683080900642,1.2864709116380986,1.1500350248025115,1.2099383788943128,1.1075140434109438,1.1893039187570895,1.0286302971783552,1.091275848691056,1.155553880679876,1.2328904616876855,1.098253639086747,1.1779170298239814,1.0757911597397556,1.1506248522589821,1.157005353884038,1.267972976561772,1.1151967912578806,1.1697188231489208,1.316195556821983,1.3892771913410134
Calyrex (Ice Rider),Confusion,Glaciate,50,1.0224213096981627,1.0330068933936114,1.1943067222286499,1.2426046438561615,1.3248547068820251,1.3933627666497428,1.261259887380886,1.2900940231252283,1.0771818822759827,1.10889749915216,0.9872559501469621,1.0188066052782583,1.0424510110606275,1.0669205988129509,1.0483967947615682,1.0732681815376988,1.303075327287704,1.3621241523191077,1.0759249289207955,1.0920740661427168,1.0849352771058067,1.0811917825992492,1.0853166563903813,1.1037172686107315,1.077868371244753,1.1034322565494672,1.2495978152659297,1.296516101260098,1.1911261154436301,1.2488006864590735,1.059298571133948,1.1054075244637578,1.038001981846497,1.111972257159825,0.9571961308647553,1.0097153718637573,1.086861966790101,1.1422405711642936,1.071698674601028,1.128544585700117,1.0150137672958022,1.0735464450904766,1.1051147049737273,1.1805802684248976,1.0294398074127047,1.103359927853609,1.288614342561894,1.3361208612572661
Terrakion,Smack Down,Rock Slide,40,1.1571098913870261,1.1590375137634332,1.2092487500600364,1.2271494229207014,1.1643273762870243,1.193337756758536,1.2298035058472223,1.254270969529876,1.2069675280182939,1.2302746724523748,1.1717424165834567,1.1131990156065419,1.1914701290455978,1.1652477143319109,1.2076478140260838,1.1971185136198337,1.1767765197397608,1.1550849642776877,1.1772901333523687,1.1947990515213713,1.1074424610745204,1.130101347123687,1.1621039960069293,1.1906880754364582,1.1562691040754935,1.185910397339245,1.2662861937244378,1.2579058720854854,1.2393516858165587,1.2977033188035105,1.1692090318675967,1.232055309346704,1.1974519008941267,1.2162485821103919,1.2397894597679497,1.3066429435124152,1.195910802345516,1.249527901490829,1.1877677796812232,1.213784349672908,1.1389587412195858,1.1714858254133995,1.2164509763940272,1.256755927075067,1.1547387779812741,1.214524399540639,1.2088476349280897,1.257052767558433
Shadow Abomasnow,Powder Snow,Weather Ball Ice,35,1.487827526052508,1.4382163523106588,1.6249180665578038,1.5448998371926612,1.6395359457964136,1.5547595212405272,1.5113692028500334,1.5490501716268987,1.4803962725959203,1.5062663497377193,1.5672122978090275,1.3752504377467158,1.6637331489401126,1.4945263897375636,1.8482343889071653,1.5933841422933455,1.6940635244840512,1.4872924873438436,1.4717494826046067,1.4837688402551463,1.77139648060386,1.4746239116565696,1.744172304416719,1.5971639346901818,1.5130998919004461,1.5121944783717935,1.5958882992145587,1.5722103829437977,1.5649029568211439,1.5873520489780883,1.4923722412580014,1.5067714249778457,1.4638766513192114,1.5036647412723108,1.5749728087798502,1.5813655949081757,1.523335632609456,1.512213111407779,1.5704795680181127,1.5590401226219457,1.5724336872714186,1.5399351146048599,1.5462615161470998,1.51959862449157,1.5872029462237776,1.5286750404386935,1.5371516247992798,1.5616267784811264
Shadow Abomasnow,Powder Snow,Weather Ball Ice,45,1.3648573066081349,1.3491865534447598,1.499782158464808,1.4101997297821995,1.471420368210287,1.4133246231490004,1.4058977764413216,1.435959154309881,1.3499288367436868,1.3884137272269097,1.4778808650327508,1.2817638734433043,1.469269358470789,1.369074288854163,1.6510520817796377,1.4053997136891716,1.5040693487451147,1.3638430834097177,1.3749082797170784,1.3758725540350252,1.4022140365881464,1.3570560276625978,1.6332339801236755,1.4560685489790488,1.367364687308959,1.3774844072456054,1.4734655874663654,1.4567588669104643,1.4239323603117822,1.494204116277164,1.3555108526047113,1.3887094360509442,1.3571546314465521,1.3790366856120053,1.4452895342480483,1.471638917536261,1.3841779756847092,1.429644739347048,1.4971462346847795,1.4480129033550726,1.3848182325711282,1.3776799254249026,1.4297497584728067,1.434782856588137,1.4039172139548712,1.3975859435458644,1.4210096789912021,1.434570621678458
Crabominable,Rock Smash,Ice Punch,35,2.1892965100197457,2.0555793899915886,2.564545625664774,2.2837134580474614,1.9668695474508018,1.885436293907677,2.4453377874864293,2.385733541367675,2.003325014723324,2.0813832599041446,2.0526906015907067,1.893396499041874,2.2045138378547278,2.0498429324216163,2.307089529853087,2.087514203019734,2.009378608466052,1.8378602593744713,2.039072491433157,2.0783110945334573,1.7653548838319821,1.726459192063586,2.1077606316932003,1.9349600171997547,1.7809395089191704,1.8003510044835151,2.308303676787585,2.40938670914118,2.4781523197821897,2.694353414867803,1.8190786034376696,1.8915919916656665,1.8148612519278406,1.840337914989097,2.330966357643306,2.4665462832589546,1.834251303835547,1.88671367239211,1.939935182680652,1.915831535078492,2.1229974869091794,2.2042421029277848,2.2921680072007287,2.4067684029167213,1.8581010365620712,1.845899933574275,2.3318073778302297,2.3913927149976075
Crabominable,Bubble,Ice Punch,35,1.8784229718639782,1.7276538599028521,2.0241753069715975,1.863624981587481,1.9356697765031388,1.8303226936518382,1.9548610043868766,1.8997651123486465,1.7693928512057795,1.8134096529467192,1.8142889853093451,1.6518685079496096,1.9270004985876907,1.7933356987481688,2.0773221198047427,1.8226295373466836,1.9739965161202842,1.7827869329419888,1.8099755138891194,1.8051018065118567,1.5700591069998684,1.5095494770654245,2.0181374067202174,1.855237827337571,1.5795740182020759,1.5630026086834443,1.8677495201657852,1.8991824333547311,1.8345821988737596,1.9094750844530275,1.7679251501512951,1.8343615306756038,1.7944447706123703,1.7794897704957024,1.8466892077140393,1.9092668525262748,1.7718882132519613,1.806555084298728,1.8971985293381017,1.8445667858824473,1.759204104347973,1.7700630838039764,1.8532889034327844,1.8798197597226418,1.7765080468356167,1.782120853281531,1.8628439320961427,1.8875600783014561
Crabominable,Frost Breath,Glaciate,35,1.4834474716014885,1.2762100737522504,1.6672125355692562,1.3720443794681931,1.446176003578829,1.2994404663228605,1.4699733351216435,1.3639797809191183,1.3070054624882874,1.2939573367262842,1.4427689736022458,1.175588020904743,1.5184497018972312,1.2929751924450026,1.5707341289432697,1.3107470064548647,1.5297497489588667,1.2639619175538745,1.2958864908820948,1.2722201583936747,1.2803690905475629,1.198200533874629,1.6569207703141324,1.3927093307723126,1.2715269030052185,1.217109402619149,1.342762160801058,1.373481558790589,1.2908347975254229,1.3221273539009881,1.2528532117047606,1.3059240214883627,1.2719595817724316,1.2871795117868308,1.3398755031549547,1.3659438322468815,1.3059651744118492,1.304106809311754,1.3438907622797263,1.336969314459171,1.289761339540428,1.2710883976826242,1.3181517719521174,1.3049619340540364,1.2753113799601075,1.2559166375037312,1.3148385004925969,1.3193782517742123
Crabominable,Frost Breath,Avalanche,35,1.4774528919506602,1.34964452217268,1.5547657868017097,1.4116326291750565,1.4396144376771962,1.3657467445572167,1.5115726804396634,1.4553602051283374,1.3643770447577739,1.3929627223152818,1.3747002248630904,1.2498493911246709,1.4835808299853934,1.3643687266535396,1.5870051661502442,1.3797041490451818,1.518775901545965,1.3592234460940882,1.3885666356059074,1.3649394572125335,1.3131048794175744,1.2657108002515058,1.6172625491438481,1.4438225318683235,1.3176716128274732,1.3109499615206428,1.4666987995858338,1.4650652303206133,1.3872065774955646,1.4454582660712616,1.3576079861412749,1.39174645889189,1.3919556828112263,1.3668962010719885,1.4261842381698628,1.4547726092210598,1.3732215727269355,1.3896831675588348,1.4811088069405625,1.4189358138230195,1.3571843074615628,1.3654388280145784,1.4033873072902576,1.4051355155478396,1.3575299737862419,1.3523259907350131,1.42754838669404,1.4157854325656063
Aggron,Smack Down or Iron Tail,Meteor Beam,40,1.2839448074145074,1.2799731313710319,1.3386182810626772,1.366975192177994,1.3292795898560064,1.367476162589804,1.3687182294641138,1.3925572769711876,1.431467717188034,1.436470694522471,1.4971911156228375,1.306082359626758,1.3096586625726248,1.3065342746118507,1.5599173296080495,1.354228008378999,1.4712438988062668,1.3033978771075578,1.3336418184502252,1.3712384071622616,1.3237994154556474,1.2905648369010703,1.3133318937062726,1.3429758038470245,1.327952923729192,1.3735279891058112,1.3820677914025565,1.4332921130845864,1.4751921809491884,1.544424049578427,1.344852724518489,1.4190352341334551,1.3985376261046745,1.4091852525932231,1.4256499884643308,1.4805994902210116,1.3910227908425152,1.4503069902832029,1.3246353900560013,1.389503882026468,1.2863452275053537,1.3436024420111379,1.3634169912411038,1.4368399075692424,1.3060670559442602,1.3628218783284254,1.410294269386532,1.489146890873312
Darmanitan (Galarian Zen),Ice Fang,Avalanche,45,0.8958649047776841,0.8917539096033733,0.934180717648615,0.9467217478388249,0.9388705414687002,0.9527315333956076,0.9393987136920572,0.9668878554042394,0.9116415221485661,0.9538716090962812,0.9334293190816945,0.8655961780199215,0.8675020709242472,0.8981696030907454,0.9648504729951433,0.9098008502625622,0.9450915252463834,0.8978938169409657,0.9198335263948592,0.9421911290672574,1.1979565514800548,0.9529270593979668,0.905321032098948,0.938345508600351,0.9588588350007721,0.9623217537908229,0.9120565688549587,0.9438853593036122,0.9252207122987766,0.9711600510319007,0.8722695961504326,0.913521894756713,0.8926707997160834,0.9201943609580003,0.9273103698944998,0.9747800627547767,0.8852212563112328,0.9457748530827063,0.8964595517887376,0.9060583055330147,0.8854142336010105,0.8986671739547549,0.9132104534199486,0.9609655446211267,0.86036449573275,0.9366741192245416,0.9115399910623829,0.9537809901954268
Jynx,Frost Breath,Avalanche,40,1.4172841509251308,1.3432823807626177,1.4407063526674408,1.4013043135629035,1.4897928894009311,1.4232882175851425,1.430316197726052,1.441712375686119,1.3908121808977891,1.4133779131417494,1.411207239197362,1.3074267602311322,1.4950639462735287,1.3637145601485015,1.3987229631527738,1.3729417161213526,1.5062230441079671,1.3904486389326496,1.5050450414522338,1.401286801288611,1.6350295151137801,1.3641692890807513,1.5460277185036593,1.4303111583409815,1.4281437889978392,1.3953642265776856,1.458293400266006,1.4157532435354476,1.4659789353383448,1.5000832525309273,1.3085906368722642,1.3742083499394442,1.3900722512135328,1.362440057234944,1.470067009993222,1.4850851070920703,1.4348137395370841,1.4001620611970715,1.392323986415412,1.3827407607770064,1.3958246894832291,1.3582318776679771,1.416666404096337,1.4211422979645099,1.3627921096346376,1.3530914384659753,1.4380680793780827,1.412287056869168
Avalugg,Ice Fang,Avalanche,30,1.5488372256648644,1.5706759974457172,1.6311318221329176,1.6313238356254665,1.5541404694889578,1.6003201630517352,1.614392629067304,1.674410278598793,1.581053673568294,1.6618334248292477,1.558969953010031,1.5218898170858095,1.5648869233248528,1.5972693219337895,1.5729308305513316,1.6010409687579323,1.5666025873385583,1.586472232795341,1.5930683064692117,1.6463012310527834,1.5688551636670445,1.5625927697375843,1.5710437959177104,1.6090920025875401,1.5709396461175413,1.5995064687436586,1.616146080269052,1.6736136409188904,1.650673104276258,1.7723751423432095,1.5856769004519735,1.6836545248088115,1.5274530525178032,1.6200972256407131,1.6494209793773904,1.758114233874138,1.5745536251198757,1.6814152201554764,1.5357448982658612,1.613571364169146,1.569353762924191,1.593135117697318,1.6071874351545061,1.7143519891803018,1.5574198296192272,1.644624564272283,1.5981997715289529,1.678931789531972
Shadow Weavile,Ice Shard or Snarl,Avalanche,30,1.2480547667021258,1.1442826556710093,1.2148050174483065,1.109464736742818,1.2102687242199386,1.2082096220659218,1.130498668403964,1.1174528173800815,1.2223865267417908,1.257029594038345,1.3785994944158153,1.1823504171115689,1.3251677884593143,1.190993487279845,1.3501831681793275,1.2213797947015745,1.2669907468453698,1.1645407135066803,1.2862593869987962,1.204175926666,1.5484395644553424,1.2247124685137571,1.4300812915727832,1.2820805262973456,1.252669625046424,1.2342453993876485,1.1296143360919924,1.1336403693885313,1.0878662649134063,1.1208351463611559,1.1405551182520888,1.1881726027572888,1.1828765226083298,1.17752485964116,1.2091078941355162,1.24319645014409,1.1526559949359907,1.191752074716883,1.2455545337060079,1.2337554173053227,1.347898850378674,1.2393970268825982,1.2274106019297268,1.2243034046669399,1.190672291334437,1.1709251475425306,1.1025905502876818,1.0946360160994608
Shadow Mamoswine,Powder Snow,Avalanche,35,1.1003822523618345,1.0569086225021207,1.0804733935669883,1.0978177143275483,1.0509230540402705,1.0874669695186825,1.1193265307336062,1.1550396777717427,1.0469632885051519,1.0820287364604788,1.0588409833409274,0.9844698013624738,1.1196917107631477,1.09384955368513,1.1556272590300594,1.0958884388556622,1.1529285462996726,1.0669417397724428,1.0310741643910095,1.0505935140822646,1.103223822754237,1.0542780217004604,1.1622482428499314,1.1329321320024361,1.0671226598105767,1.0847270613895705,1.1095513351734034,1.1281777731300981,1.110931392182723,1.1819017505321814,1.03339635366275,1.0968463309723366,1.0613186919060427,1.057241718282741,1.101472330689428,1.1593244388076482,1.0580994568904398,1.0871508828447944,1.0626063174345566,1.0749334295074082,1.0490990404242853,1.0426727600587473,1.0643141265387932,1.1172799034221317,1.0561117493688286,1.0499922982158514,1.1050705186792154,1.1225342146592339
Shadow Mamoswine,Powder Snow,Avalanche,45,0.9656464539063907,0.9635273789854194,0.9672765176151137,1.002304110099065,0.9696654163998831,0.9917009527675221,1.0120847418245535,1.0506156235968376,0.9554980542092246,0.9907899278516284,0.9686068205854751,0.9032000404393487,0.9786588928268973,0.9920800122327772,1.0511568272941165,0.9938685983255168,1.0243989026259357,0.9771972438593017,0.9516244732419743,0.9683177462612449,0.9722652360402991,0.9569750328777408,0.9865115468508633,1.025117514294455,0.9689322265572653,0.9947001545555602,1.0021945063743927,1.022854291405772,1.0006688388608282,1.0897440561972556,0.9473210391745066,1.001532956802891,0.9498531867986291,0.9896858927605022,1.0130852971129893,1.0768084808251033,0.9769472318251728,1.0146817565043669,0.9678580230216692,0.9872015748504793,0.9672083817798923,0.9720569462116099,0.9744181479009153,1.0427057887455153,0.959351702463521,0.9908898566406629,1.0082503311214506,1.027790884732281
Glaceon,Ice Shard or Frost Breath,Avalanche,40,1.2651285868530382,1.23088074867312,1.2849054856845548,1.2844400109902594,1.2849754103569648,1.2876310599160004,1.2982100205404896,1.3057164449513234,1.310077664513277,1.3267785065479367,1.3124058550267819,1.1866450205358952,1.2628769494357583,1.254950555830967,1.3176720807124878,1.2580358011091828,1.3168321144736892,1.2383761682554817,1.2896147979914006,1.2936213063962099,1.2807878834872743,1.2634364974016412,1.2666083238857808,1.287127555693204,1.2982459666869592,1.2599494982368415,1.3121306678840947,1.3043930426826313,1.3300415031773918,1.3698865859782983,1.229091231818657,1.280791354963608,1.254817813887076,1.2751599665502247,1.3100154465648104,1.3776123687414852,1.249584971747931,1.3077288354773298,1.283501257275669,1.2822377302918282,1.2661920055739215,1.2283124385461792,1.2699239491297742,1.3223962588379297,1.2401061842384458,1.2880967801003895,1.2987262610614025,1.332006215940023
Shadow Articuno,Frost Breath,Ice Beam or Blizzard,50,1.171940067427577,1.1946535785519576,1.2751810333362052,1.2610605289634944,1.2321638589761024,1.2599180504675915,1.2703637541643946,1.306872219154535,1.2673497426198355,1.3030890645817073,1.2054571077463974,1.2133878479757476,1.2009298310484067,1.217260209036715,1.219660688112524,1.2526122825943216,1.2230503005820523,1.2371632698928412,1.3343319023935887,1.3233053607765002,1.2325479270325275,1.2384851902379403,1.2322013318444558,1.2594261949614949,1.2638249693377595,1.2947258712734688,1.2576356115550191,1.3087223484795296,1.2876804329555693,1.387825250209476,1.2183853135001659,1.3065506880400855,1.2093616090817192,1.2894163149698281,1.318659925343138,1.3900229074636792,1.2402096797233126,1.3145521771445843,1.2213205902683857,1.2859114998146646,1.2505239022417745,1.2586711238672406,1.2555046969330734,1.3280811765431368,1.226550490300771,1.2896471982870772,1.256243388127951,1.330245498051827
