Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Zekrom,Charge Beam,Wild Charge,30,1.227492682041066,1.2244808959976183,1.1848829685690498,1.209516253827911,1.17503004560733,1.2007055962556057,1.220208176202422,1.2440856265221862,1.1811494763340553,1.211768116257322,1.168229916694162,1.1739548123050496,1.1971274307887585,1.2185821273904587,1.1860494072376593,1.1983081626327337,1.1900125448736283,1.214071584147561,1.203568318790719,1.2241991907559446,1.23035269303659,1.2181675087858457,1.2609464019455983,1.2845150525204647,1.2133643192668413,1.2655531640996207,1.1973379157801813,1.2471389562535027,1.2437027293628684,1.3121776196950279,1.1878400703696084,1.2318116735442848,1.1911383066685035,1.2764050591407488,1.182682514409137,1.2092550499605,1.2127725356084271,1.2604030957686598,1.2006848076631598,1.257298630411841,1.2370692718508352,1.2745401325573307
Shadow Latias,Zen Headbutt,Thunder,50,1.7218165149236948,1.6618479062413682,1.9816827514254685,1.9884736306528699,2.464398714484777,2.455649912669313,2.004576096355523,2.0777004610701875,1.7786063927423632,1.7244243012906029,1.629433337505307,1.6308117546599596,2.462403388772947,2.4150884734147127,1.6994412806077728,1.7147545959627404,1.7665189368665555,1.7682689858214267,1.6594722194230278,1.7116110332327859,2.0576431234430386,2.115499882850318,1.8015914925662175,1.8224801072479815,1.677601894939239,1.7805737984012664,1.657242834967442,1.7183167938742008,1.3792435660744276,1.421619017466049,1.6391763677487603,1.7248689340795944,1.6916142313259859,1.752248395254725,1.6533186574295955,1.6769994835122257,1.6895956669259407,1.7631417108786944,1.6885977459357049,1.7913419630519103,2.0240076828297577,2.1211880617041015
Thundurus (Therian),Volt Switch,Thunderbolt,35,1.1744719075377221,1.1575417775527017,1.1934755669735002,1.1858010575677003,1.1893010868079708,1.1926606999698957,1.1719409992368874,1.1927603031844745,1.1655076705544096,1.1613624285461817,1.156652967267257,1.1630026039112975,1.185166176415261,1.1653903433982233,1.2635572295397268,1.2185372006913338,1.1662149656995215,1.1676248860308553,1.1713332366120746,1.1971356572360363,1.1721118531542336,1.1615407734740697,1.218143300736457,1.2248016672331046,1.1401409923928276,1.1985372796285942,1.1163679050183744,1.177853093895526,1.1909853444722889,1.2342492596542238,1.133313896491592,1.185441764909339,1.1450200070031538,1.2102590583028792,1.1667625116524456,1.1507065478791318,1.1670169819402292,1.201000720386699,1.1286431037369409,1.2000638830443864,1.1637263311130914,1.200929156538779
Nihilego,Poison Jab,Rock Slide,35,1.4709991441182741,1.4893207504619213,1.4726142767133388,1.5382380250960936,1.487048006751632,1.5331321213020657,1.4662005811864478,1.4982156663271315,1.4269748054081193,1.4666169172610122,1.4369259209613472,1.4661940749607059,1.4590539532629063,1.4893027724206327,1.6771419964814052,1.699001703300305,1.4733772687851916,1.5426601866518457,1.67847331455143,1.78359396998066,1.4840425465117726,1.570538093587089,1.773886720754565,1.9151262750443823,1.5557316618466412,1.6623279810284164,1.505344501807686,1.583155837908341,1.7644422204818386,1.9008994645877675,1.5046611072888418,1.6179821372000172,1.544748121119527,1.6249957230583496,1.203203443846141,1.2748138651680612,1.276402646061611,1.3562889178374222,1.5396609703667978,1.6398628072969919,1.5293860341642813,1.6073358546813155
Kyurem (Black),Ice Shard,Glaciate,35,0.982312912180117,0.9549324764880057,0.9901059714749886,0.9622586325308757,0.9597613352601346,0.959954500688736,0.9415422856164773,0.9723788486191932,0.974288972029619,0.9582285660737185,0.979400259713693,0.9664638280439036,1.029777491912953,0.9857405458585446,0.9834947697053004,0.9908017336705018,0.9920145936625439,0.9969734164527251,0.9714256432739856,0.9939280567584216,0.9767680592694813,0.9987592826900413,0.963991515508179,0.9932820547391791,0.9721815448692329,1.024382756644689,0.9618657700147294,1.0144072724026603,0.9717478324069286,1.0349130809215954,0.965072796311794,1.0107039424548767,0.9591437552001879,1.001284163896297,0.9881674730160303,0.975823062539594,0.9987458458616869,1.031526083314341,0.9727540766809427,1.008689857451603,0.9463447409004134,1.0146838199765473
Kyurem (Black),Ice Shard,Blizzard,35,1.1470707411463672,1.133250392855591,1.1668379976880783,1.1394578673330118,1.131349579643285,1.1256310282008377,1.1099964026021918,1.1456644478295281,1.137518284844542,1.1294594187571514,1.1471230428325474,1.1468939914805114,1.2087992667691336,1.1601386771554467,1.152375463252556,1.1655942396761918,1.1658980868817181,1.1913915990835569,1.1421215152549542,1.153767135047137,1.1572251861960723,1.1693829143819434,1.1220686388220245,1.2330015049585485,1.1278344743667952,1.1759864486047198,1.1131797916077744,1.1752849399173773,1.1503665817496809,1.235525795648555,1.1247067824159902,1.185880251701587,1.1356572356228254,1.1959560354189163,1.1496053775269948,1.152525116786509,1.164952759374345,1.2111684684481012,1.0943314183485608,1.1912118111663048,1.1180329024721707,1.193492955166814
Kyurem (Black),Dragon Tail,Avalanche,35,1.1135199830017108,1.128653349247792,1.1199736840640415,1.1401101993071656,1.1268301285468258,1.1507297595459087,1.1227217405988876,1.1597251791552112,1.1060050558349246,1.1317462160163205,1.1169284663465537,1.1336864740651122,1.1444394074024438,1.1521723103817385,1.1252595218966814,1.1609364330697847,1.1336411861489684,1.1659915871780526,1.1333844567992177,1.155403571704749,1.139650450616243,1.161924682705499,1.139851012232601,1.2427072580096912,1.1434488374958305,1.2338837354824228,1.1225223295096682,1.2023522433656186,1.1664000467242615,1.264390016492552,1.135876947902793,1.2110852852806318,1.1607079803730012,1.2206017305446737,1.3306358853765974,1.387314228551216,1.3839129523573264,1.4911255721391816,1.1404730254672453,1.1967435997233562,1.1519532874609526,1.2264833378199238
Kyurem (Black),Dragon Tail,Glaciate,35,1.1003320315426652,1.0687962620029756,1.1212132473488574,1.0990281287349715,1.1123951339031393,1.1058485494746304,1.0903152835098395,1.1117492474015949,1.0921381123020004,1.0821537854277752,1.0905224825146362,1.0951747514667893,1.1593737574849852,1.1118990443665255,1.116987843027586,1.1285024956594005,1.1190129495405057,1.133632868330538,1.0994961895027608,1.1158145637521484,1.133813706014309,1.1320702554083786,1.0802201424992675,1.1259251225780063,1.1263137333858215,1.1988740765534556,1.0855755087061532,1.144693238907156,1.1086868265018266,1.1830615380926381,1.1015034939739843,1.1570216780564297,1.1112776949544632,1.1447732312548295,1.396583407289612,1.4154181041883853,1.3945227697799305,1.4928628863982558,1.103829507698233,1.1483049345712508,1.103818275223282,1.1444924980996702
Kyurem (Black),Ice Shard,Avalanche,35,1.018886241636058,1.0318124293404725,1.0221575515576844,1.0347899960213316,1.0175128671282034,1.03358767798999,1.011418316894995,1.0431022852467786,1.0012203545460974,1.0172983897208903,1.0185375007315762,1.0384173812050845,1.0524295718023569,1.049149007829639,1.041576783071481,1.047138119505078,1.0410690781792757,1.0753658487211304,1.026571910165018,1.0466434231228285,1.0477293339645755,1.0527886894864429,1.0430970903453776,1.1084583562927497,1.0262710385388607,1.0922008511692771,1.0117904968780842,1.0813751308030688,1.0541057704688686,1.1414787492179737,1.023219550618942,1.085395146088411,1.0450524057823818,1.101891911357113,1.0294268229839976,1.0389653277243383,1.0442943112669334,1.0958857609672612,1.038439558467545,1.0859307955419781,1.040167193836401,1.0976360987311435
Kyurem (Black),Ice Shard,Ice Beam,35,1.0936721286533935,1.1207172043984621,1.0955639570282607,1.1182552492048627,1.0878487533010248,1.113676328382168,1.080349932734178,1.1298703238754226,1.0727025861376451,1.1096541791157397,1.094111786610541,1.1190285757248213,1.121980573939631,1.1412759983707736,1.1046511034230375,1.1338109392658648,1.1161658504849088,1.1553290458820886,1.0966013104713994,1.124689434341033,1.1196075232585976,1.1397807860593363,1.1141113311439688,1.192011832383939,1.092142229549411,1.1653460235887296,1.082098205208318,1.1604812561062097,1.1334905616765891,1.215701546824122,1.0954860532245032,1.167516127456814,1.1123052423517361,1.1808915979670522,1.0994329704350976,1.1261482142353767,1.1225238616637572,1.1818047061598256,1.113928170770299,1.1739017684459698,1.1076102334388196,1.1810397186595105
