Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Groudon,Groudon,Claydol,Claydol,Donphan,Donphan,Golurk,Golurk,Hippowdon,Hippowdon,Marowak,Marowak,Stunfisk,Stunfisk
Sceptile,Fury Cutter or Bullet Seed,Frenzy Plant,40,1.4427651631389395,1.3934036556828,1.570069298984537,1.3688804787996132,1.4075912534812889,1.4359051734948005,1.380485616015543,1.370579447014414,1.440550932847341,1.4432918630564011,1.4174126418107933,1.4410704081578634,1.3855678161568683,1.4313438664405933,1.4220449012641414,1.4915347016571843
Shadow Torterra,Razor Leaf,Frenzy Plant,45,1.153076022312881,1.149592034986718,1.2816773555833474,1.1514758607954168,1.2428246578710362,1.2842034526062995,1.1155894512049598,1.1530329397489092,1.1667133199485815,1.217393004627282,1.1748354448275786,1.2311837851691234,1.1741253358045638,1.2266059255627333,1.2011672525193402,1.2764836098747947
Mega Venusaur,Vine Whip,Frenzy Plant,45,1.1372663896696555,1.1219501932515394,1.1160778068586734,1.0879301538209731,1.2113680578068553,1.2661698509399548,1.0956187532452517,1.1425716331370026,1.1474126326858631,1.1978067843102767,1.1497986910323854,1.2056701117608097,1.170226826115808,1.2192945793795138,1.1854673479080786,1.2661995903692933
Mega Latios,Dragon Breath or Zen Headbutt,Solar Beam,35,1.3571739339160687,1.3471647655283683,1.3807934142733806,1.375831514155541,1.4250400676548969,1.4813796780066257,1.3734023070854429,1.3771937749887215,1.4984758784444998,1.4715546582491175,1.4147452084604262,1.4648689459780713,1.3792679107533188,1.42366823728435,1.381711214498665,1.494085165882084
Mega Glalie,Frost Breath,Avalanche,35,1.3955911727440966,1.3572050443075983,1.5850830032355228,1.3425882910331695,1.4616498480921098,1.4797356159387456,1.3619865881344142,1.3381117209523208,1.4271334240203277,1.4230177812622207,1.4330763292479867,1.4343391463652746,1.374547072965053,1.4037025461462533,1.3648915267430373,1.4413557782890785
Mega Glalie,Ice Shard,Avalanche,35,1.4376049328561504,1.3917057625293454,1.6222099473809384,1.3893272045185476,1.4444501999954507,1.4625049068559015,1.3813884070038565,1.353705984701859,1.4579226066959934,1.4426104756576523,1.437521117278005,1.4430717110841846,1.412481436890562,1.4422018254419526,1.3737165953023143,1.4619012825819249
Mega Glalie,Ice Fang,Avalanche,35,1.41411413983768,1.38836038352853,1.71923744363308,1.39367716914503,1.4295014561159738,1.4643280104161998,1.3588557100765755,1.3644093562525472,1.4548503383922207,1.453597697772805,1.4230779111948586,1.441152199170848,1.4016532237879908,1.4325019991040933,1.3666804692550654,1.447607265567242
Tangrowth,Vine Whip,Power Whip,45,1.3360287043957428,1.3402570349019998,1.3696333269725547,1.3665956240108708,1.4633289046335083,1.5464742817001131,1.2948394842344522,1.3677700408809015,1.4015802364722634,1.475212886784086,1.3647767072647794,1.4464106154863254,1.387613448355087,1.4649657809854715,1.4477828140216065,1.5686359075116583
Glaceon,Frost Breath,Avalanche,50,1.2603913884930145,1.2465199661880402,1.3428415889688428,1.29419616631776,1.3256592894383001,1.3827944136938422,1.2917302474934285,1.291498549199415,1.3352015852136538,1.347290429777767,1.3364616332729513,1.3463661777267486,1.3135102214224377,1.3690426377135638,1.3009234558093208,1.3796425026666232
Roserade,Razor Leaf,Grass Knot,30,1.7086873297400282,1.5118965007634046,1.729935130403601,1.435718024264277,1.5944201013572876,1.5524337862852506,1.4573793939250856,1.4066465478089227,1.560382457118586,1.4846985343509735,1.5703176941691865,1.5166550667609606,1.4588410779631342,1.4768096705296758,1.4567925896246947,1.5292092387403393
Shadow Articuno,Frost Breath,Ice Beam,45,1.37516510628364,1.407551635719436,1.3635153516237009,1.3609520218432396,1.5076156316081315,1.5657354840719735,1.3654815851311137,1.4087123098685463,1.419704400315097,1.4917519118178129,1.4717892473078096,1.524099995235475,1.4444808522408574,1.48745453081059,1.4637571763239348,1.545689317528914
Tapu Bulu,Bullet Seed,Grass Knot,40,1.336015902540227,1.3242325005224287,1.4037749916154492,1.293356356297617,1.4052505572429084,1.4620606940622123,1.3168225825173572,1.3426675510852364,1.3481684532753035,1.3921426767133387,1.3530468981852142,1.4048913610441844,1.3491101580158618,1.4178383138728194,1.3638926228620805,1.4594696859071457
Shaymin (Land),Hidden Power Grass,Grass Knot,45,1.39149514376672,1.4144323035997688,1.418251404680183,1.4190380029184693,1.530790111326779,1.6178271993785849,1.3760595429807903,1.4452666126995788,1.4486209838728086,1.5175147397551452,1.457430884024921,1.5430516876227913,1.4552643502302016,1.5299344178339338,1.5047727280146872,1.5973661731998674
Mewtwo,Psycho Cut or Confusion,Ice Beam,45,1.329305659361451,1.354283915033332,1.372795190758572,1.3942595425353552,1.5906256424554686,1.7042704664805368,1.338446283603252,1.405403155788273,1.4489575611061318,1.4874270777394616,1.4225081144843739,1.489572183021288,1.4081424504459636,1.478637503064437,1.4496702422517498,1.5567721813227777
Shadow Venusaur,Vine Whip,Frenzy Plant,40,1.281657011933965,1.194670192197269,1.349159896822355,1.1853650158253317,1.3006145043113528,1.3031198644677602,1.1641667918987624,1.1860204357592645,1.2366332921063021,1.2190273352057017,1.2383319740423693,1.238717184333868,1.2036076929889525,1.2452953668275788,1.2440770969706687,1.3404430339706908
Shadow Tangela,Vine Whip,Power Whip,45,1.345112373934669,1.3058164195092747,1.419983497449801,1.3166963248445267,1.4190629301955062,1.431860599053573,1.3699137419486356,1.3444121741638695,1.4254029552484007,1.3880891925926064,1.4107850473634271,1.4106698268235285,1.3568213089735706,1.4108558411703773,1.3640875472918061,1.448230102589437
Breloom,Bullet Seed,Grass Knot,35,1.8040692486252123,1.573278009236162,1.7212023379483221,1.5154054267247405,1.6190148412782925,1.6101925717393826,1.5138078411484972,1.5243064525477807,1.6221916813705586,1.532518865576801,1.550339449052747,1.5400822674654875,1.4503171933220296,1.499042098629314,1.4453745285157273,1.5256628176179852
Shadow Latios,Dragon Breath or Zen Headbutt,Solar Beam,45,1.3262201297882232,1.3517413347440477,1.389887554143604,1.3510861633255826,1.4130532397374942,1.449093478336325,1.3416944485179556,1.3456104674963312,1.4302932607837378,1.3777100099356523,1.3647287506076324,1.4051637641989851,1.360912252486526,1.4078058436732686,1.3712146592488565,1.4362252035381802
Kyurem (White),Dragon Breath,Blizzard,45,1.2536574712946629,1.2630439611953168,1.3114777764195635,1.2686054872087993,1.3417053949013078,1.4256013356061294,1.2790808826812108,1.3268178592621278,1.337268612507695,1.386152301759415,1.3064711280682528,1.3927748313498274,1.3242112042243666,1.405227304232196,1.336135620533699,1.4264873641906037
Kyurem (White),Steel Wing,Blizzard,45,1.3006313385657777,1.3185233436187456,1.3723605293330687,1.3319448999882098,1.4019235051462966,1.4838244082031005,1.3562389267965056,1.3943777372293151,1.4084000232018996,1.4593551368818518,1.3890335892786352,1.466961179708853,1.3977508955857982,1.4952720546426062,1.6945391601608772,1.8417206924917129
Shadow Articuno,Frost Breath,Ice Beam,30,1.6062995954237131,1.6017289094136937,1.762341499715933,1.5991140632482137,1.6839980865889959,1.7483184714652689,1.578625249726419,1.614348556259327,1.5841884667847967,1.6385654864259533,1.66863615938177,1.7414530493427287,1.6729547528619595,1.7094708117967032,1.6797910076945388,1.7606924811245268
Shaymin (Land),Hidden Power Grass,Grass Knot,30,1.59496849425705,1.6104620340265787,1.6587817645391465,1.6231425331281528,1.6923160559242612,1.7837727560889127,1.5517296330616364,1.6319306884617426,1.6384170316911753,1.7106471458856858,1.6678669844262313,1.7448319695269696,1.6533274333557095,1.7306866649809585,1.6821321831509661,1.8062640693095227
Mewtwo,Psycho Cut or Confusion,Ice Beam,30,1.5460958105927822,1.601613222057597,1.6291603914948458,1.621342792417341,1.7614050481861014,1.8642740158424864,1.5702691286918309,1.6123478694880287,1.7079022301890394,1.6627727392649114,1.6119702307493726,1.6816669796305657,1.6067605015537176,1.7039846669036924,1.6017194854637393,1.708804148505734
Shaymin (Sky),Hidden Power Grass,Grass Knot,30,1.3501169581285193,1.3400629832465127,1.485344218887256,1.3356019289665084,1.4154711137101064,1.475677613385587,1.310617517571463,1.3441966690229974,1.3430007914841544,1.4002486719719183,1.3839943255441132,1.4246859383918886,1.3747265430965767,1.4113775014471843,1.376899108078679,1.4714462445062801
Shadow Torterra,Razor Leaf,Frenzy Plant,30,1.3364305508751386,1.2961862707630092,1.6273372474540504,1.3269310691128913,1.3805355068644982,1.427875569472324,1.3001796985985052,1.292367894516287,1.3541272998415161,1.3614207421239841,1.3714210865421474,1.3864459539373193,1.317472233952296,1.3721238571734784,1.359333604091119,1.4298091616423099
Mega Venusaur,Vine Whip,Frenzy Plant,30,1.30959809704183,1.281828142620201,1.3049423349339733,1.2351508457938822,1.337064910692815,1.3723317442993967,1.2379092460029018,1.2819233107401014,1.2983295380763755,1.3243241417636065,1.3103265941773765,1.3475265731262727,1.3056967086339475,1.3559427299996534,1.311515655673389,1.379637385150362
Shadow Victreebel,Razor Leaf,Leaf Blade,35,1.568776933315511,1.388762747730024,1.5483783044331771,1.3542868520042883,1.4829945780132407,1.460667968271189,1.3840257722355829,1.3226694609692797,1.4440016540709044,1.423089314215467,1.465452989552611,1.4240445025322048,1.4022532758994684,1.3895134475849666,1.3778960178929547,1.4437733812038747
Shadow Exeggutor,Bullet Seed,Seed Bomb or Solar Beam,50,1.2321757694762345,1.1988299480583537,1.3453522489392995,1.1604589457060976,1.2241534785991908,1.2539326904631527,1.130606406344326,1.1329471493315935,1.2445074180589366,1.212785930667485,1.209750896306808,1.2462351688588151,1.1439402437944344,1.1779785688339992,1.176378391975805,1.2481371579061702
Weavile,Snarl or Ice Shard,Avalanche,35,1.433103480410337,1.4090265789112022,1.8316712288379084,1.4694840038732264,1.3860518837559004,1.40552752900618,1.4905582566844806,1.4886059980347264,1.5032138373135195,1.421865638548085,1.4926616193842053,1.4869829750753059,1.4912921849469705,1.5008187342045105,1.4509420332756793,1.5225595557572367
Mamoswine,Powder Snow or Mud-Slap,Avalanche,35,1.380713722271275,1.3821439531000257,1.7600931048517963,1.4417854484203665,1.436095608536736,1.5038344651807496,1.377071493981822,1.3866186895320043,1.4401681015045684,1.4545185512284844,1.4072273796389112,1.44440095128569,1.37261374998556,1.459211217059706,1.3248856610106055,1.41181110400443
Shadow Mamoswine,Powder Snow or Mud-Slap,Avalanche,45,1.0705328584095952,1.0685664086841762,1.3386421447067802,1.1098185739370565,1.1069767898611842,1.1439076242473016,1.0606046160172076,1.062030067507288,1.1181141346346355,1.1251606637988618,1.0924461102635654,1.132037600510458,1.0561823657840657,1.1174167692424195,1.029625919266946,1.0968453776872586
Celebi,Magical Leaf,Leaf Storm,35,1.4621248632743002,1.4756567540142287,1.4769538541022613,1.4445568953920913,1.543159165702996,1.611663017814615,1.4025554309035884,1.460805138707977,1.513914777926012,1.5561096214909467,1.496092778069981,1.5714305065998013,1.5001621263793175,1.5667654239063327,1.5044447834553878,1.6180359978446435
Shadow Weavile,Snarl or Ice Shard,Avalanche,35,1.2953505260997829,1.208967087935569,1.5274163112932597,1.2461417393364698,1.1633180278628439,1.1674496273203863,1.2874793631883623,1.288580300862732,1.2969029767662914,1.2048600495098598,1.3036808602801477,1.2856172379892707,1.2876801118984877,1.2801429920972816,1.217808286017631,1.2716152107759364
Shadow Mamoswine,Powder Snow or Mud-Slap,Avalanche,30,1.2620585477801016,1.2261712756484233,1.6012886021299397,1.2714667044273238,1.2970656849116322,1.3040690556525656,1.2263775568345623,1.2154260668298997,1.3109204230978653,1.2767483286212271,1.262865541055414,1.2751507909890063,1.2419240045231734,1.2427128163429806,1.1743534260844923,1.2284174266251844
Shadow Glaceon,Frost Breath,Avalanche,40,1.1961199082031653,1.156497177002596,1.4723233451369877,1.1572741220216123,1.2666761992697628,1.251780760925529,1.2024424117749344,1.1693010808097364,1.2566438826507798,1.2247306053637552,1.2302907481331937,1.2140240213027207,1.199308271477694,1.2080794610184327,1.1883342158107784,1.2600787409286511
Shadow Tangela,Vine Whip,Power Whip,30,1.6661811688470611,1.5100607523349265,1.6647303983192567,1.5245440575570166,1.6498966503330639,1.6235011870383127,1.5160441609986848,1.4630695468686603,1.652697501492219,1.568719348700226,1.6334498306413765,1.6105589348390477,1.5570373598220506,1.5977898187521737,1.5342274928326098,1.6178064154772047
Shadow Latios,Dragon Breath or Zen Headbutt,Solar Beam,30,1.6137152114282916,1.5590278496836245,1.6450330718614767,1.4871436639770577,1.5586274011854744,1.5553305962500814,1.51309246699056,1.4769983826520783,1.637182540944804,1.5860173003841411,1.623941333437966,1.6094707235507357,1.4964155068868012,1.5461804918245303,1.513606955163411,1.6073047427111349
Mega Mewtwo Y,Psycho Cut,Ice Beam,50,0.9125519840052111,0.9363895566981002,0.9384610177137588,0.9461912607827148,1.1008080780049059,1.168756996436274,0.9315002381301538,0.9767548648696504,0.9609695400223413,1.0273953248172383,0.9812864093013492,1.0502628741047442,0.9946242390248222,1.0346303871523386,0.9999042671527015,1.086097711208499
Roserade,Razor Leaf,Grass Knot,35,1.605947356134442,1.4198216023781327,1.6436107406405034,1.3575700189448725,1.5347265826850844,1.511848199616398,1.3839759820731201,1.3599318737400177,1.5031659366176495,1.4406512249293184,1.4662918573644455,1.4338878555371097,1.4081145335830234,1.4460210769106363,1.3868344835539352,1.462117629993516
Kyurem (White),Dragon Breath,Blizzard,30,1.5309287181389113,1.5134720703047781,1.5940321410001854,1.4973416034296374,1.5818102904287659,1.6600774650144445,1.5316561766815266,1.5126084884508768,1.5759899633073187,1.5938704884935417,1.5345910745187283,1.5845222068906242,1.532179639558002,1.61116206027732,1.501559845426304,1.6204885763360932
Kyurem (White),Steel Wing,Blizzard,30,1.5481779476742983,1.5375077893642937,1.6120044695925955,1.5199530139966202,1.6056061255086016,1.6730463083902627,1.6003451109011553,1.581663509001804,1.6225487848005105,1.6334309434753078,1.612534655691443,1.6456267732674645,1.5842703077529299,1.6691163446493962,1.8269707753645943,1.988286887608667
Mega Latios,Dragon Breath or Zen Headbutt,Solar Beam,50,1.28953697759487,1.2194602323536774,1.1889543968624363,1.18749215680507,1.3321133283274957,1.4059840848118461,1.2065325449840498,1.233817024331045,1.238484841113766,1.3008800443081439,1.2163371514929,1.2927795958748554,1.2465399615453232,1.308173287348591,1.2894461020981554,1.3552997836614118
Darmanitan (Galarian Zen),Ice Fang,Avalanche,45,0.9962361603470056,0.9920676502758988,1.117152783392524,1.006049637625302,1.0642059068311205,1.0682388571390902,1.0070753485576214,0.9901166678849366,1.0509747604497426,1.0637906290521464,1.1012829651414269,1.0770324046869224,1.0606249975933737,1.0600575151553266,1.0015610012791145,1.0645175686539072
Mega Latios,Dragon Breath or Zen Headbutt,Solar Beam,45,1.3303982883166123,1.2538448396285202,1.3084047960173149,1.2804527455481078,1.346699784459814,1.4246185063227483,1.2449658437972126,1.2497486656160792,1.308361665222785,1.3552384837184412,1.2851273015692102,1.3592275926412065,1.2618555215704292,1.3366364544172178,1.293934163859165,1.3867095279241246
Tapu Bulu,Bullet Seed,Grass Knot,35,1.3889145815016952,1.3817957614562486,1.584657210440329,1.3727408950330102,1.4680908657818572,1.5110448187379182,1.378248751348988,1.3930058593486931,1.3737410630586464,1.4386311627706811,1.3896267570743075,1.4415295152983294,1.3987363929359424,1.4503315689020264,1.4202511235815767,1.5071710078939455
Shadow Victreebel,Razor Leaf,Leaf Blade,50,1.3469411095820005,1.2249741609607414,1.3810680461919655,1.1759323406281268,1.3035399744787202,1.3094225319133659,1.1829382884987296,1.1711534564588055,1.280507410574453,1.2497831745063515,1.2779121602200774,1.253290091376116,1.2136327668242417,1.2455056257292076,1.2213033025714726,1.3022831269400792
Leafeon,Razor Leaf,Leaf Blade,30,1.6264517398286433,1.6031869089731594,1.6984839125756046,1.5582949604944398,1.6995283084063493,1.7528906757591531,1.5777789683024324,1.592769893326469,1.6039855811420949,1.640215066639972,1.6116479246445212,1.6559762247087022,1.6098323191276074,1.6777956010725206,1.6384241120425482,1.7356189807972262
Weavile,Snarl or Ice Shard,Avalanche,50,1.2633368507058904,1.2545072415201826,1.4223848269166084,1.2851353823515341,1.1975584925503886,1.2461345382608753,1.2930892616542653,1.2968188323646952,1.2127620551643872,1.2565899195230887,1.3318481250036978,1.3494071124705058,1.3012822503943655,1.3250653960536463,1.2979741253083856,1.3734954127201868
Shaymin (Sky),Hidden Power Grass,Grass Knot,35,1.2940765061477144,1.3021640783699473,1.4071167407862446,1.2597892803584425,1.3756851100698944,1.4336511496152498,1.2350152117269906,1.2873456864391122,1.2807486729074786,1.3438113610720774,1.3157281019471336,1.3624209921858674,1.307800340521551,1.3579238646179752,1.3083075023758952,1.401663175138259
Celebi,Magical Leaf,Leaf Storm,50,1.326972332931079,1.311175925734177,1.3326799123601953,1.3076997399077082,1.3790741485013813,1.4408497027104181,1.2781461594002541,1.338759250338732,1.3405041548240306,1.4075230849545037,1.3324222346992571,1.4101844992250638,1.353122485075709,1.4184497092153885,1.3717191051793414,1.4485387417598063
Kyurem (Black),Shadow Claw,Glaciate,45,1.111312369039842,1.114366835287185,1.1736783782349625,1.1115704733143654,0.9834158477247766,1.0308743896838353,1.0686025202902478,1.132465077649196,0.9900027879701893,1.0050275148333112,1.1629013528448418,1.2094681388737596,1.123959439044332,1.19330791080466,1.1860388333015843,1.2486848027325421
Kyurem (Black),Shadow Claw,Blizzard,45,1.3182632117972863,1.3382148565533263,1.3825555618457137,1.3249599174862636,1.1534924477789203,1.2085276866033845,1.2740169810181439,1.3196532062216213,1.1325889390557202,1.1607044021862176,1.3703476826502465,1.460796989816684,1.319302328715606,1.390575427513063,1.4103070130354611,1.5031893155436704
Kyurem (Black),Shadow Claw,Ice Beam,45,1.2063343769355748,1.2428645657817698,1.2136605286383593,1.2411678172975442,1.1357172355391338,1.210497360039976,1.2012158939278854,1.2455086927721484,1.1112034488501026,1.1491455526262118,1.260781450614141,1.3712372319292931,1.2438411228868218,1.3300196765751207,1.3303377040157416,1.4474001826247442
Kyurem (Black),Dragon Tail,Avalanche,45,1.0826619575919707,1.102221969113641,1.0974014568301929,1.1052655669466542,1.159757190981132,1.23752421587049,1.082677291191182,1.122454591447503,1.1438077310974686,1.1790429590654874,1.1234792990729727,1.1987962256242384,1.1221953179249362,1.1967628632561456,1.1779552752019369,1.2339528145589458
Kyurem (Black),Dragon Tail,Glaciate,45,1.0460165991117771,1.06317254453822,1.1050546906259613,1.0518599562471052,1.1034565899727513,1.1732560514295058,1.0340440614183597,1.0552528999742876,1.081966136453365,1.1215450219763152,1.0967035092128163,1.1427456369562718,1.057210251842192,1.1153997277624537,1.1276905893199378,1.1917715985435549
Kyurem (Black),Dragon Tail,Blizzard,45,1.2230336914715167,1.2381047229433724,1.287369883028186,1.239518941842331,1.2903840463070744,1.3690498594883722,1.2249653625427548,1.2510595543311311,1.2664640866403836,1.3216078916396445,1.2767633958669455,1.3381828257245736,1.2572991846992485,1.3186193282240126,1.3020767498618935,1.3692765323145126
Kyurem (Black),Dragon Tail,Ice Beam,45,1.1581370382154212,1.1853372159352977,1.1574030127821104,1.1837019998317917,1.2355147463930836,1.3179834280008442,1.158299724973671,1.1974104272707229,1.2079283136148373,1.2569913498079295,1.1991780104402263,1.281014021716892,1.1963332002736493,1.2704304266851836,1.2512961477543414,1.3236755801741422
Kyurem (Black),Shadow Claw,Avalanche,45,1.139478004341335,1.1607528526487605,1.1482938455105296,1.156187074296507,1.0653761600040648,1.1319931318055858,1.1213927594812803,1.1683026594151609,1.0388628075421142,1.0796239982486309,1.1846501016899116,1.281300438180599,1.1725683449728468,1.2523648310420112,1.2549929885615572,1.356303522712905
Shadow Exeggutor (Alola),Bullet Seed,Seed Bomb or Solar Beam,30,1.9012682308776987,1.4858614801580652,1.5419492372411328,1.4708707127624567,1.4895984963335895,1.5171826866280025,1.4524137862149655,1.4284056054945335,1.5308603975383535,1.4320934662328162,1.5019099672929368,1.468448723589973,1.3849672827201676,1.426358925502407,1.341361998718327,1.4437159238488877
Tangrowth,Vine Whip,Power Whip,35,1.423885061928976,1.4240392489829112,1.493535482921802,1.4496601023528626,1.5258428693612762,1.603958129953388,1.4298869006622696,1.5001543797712105,1.4754510804787824,1.5374045681546444,1.4860623629615164,1.5781243528576092,1.523553874411339,1.6074297040555818,1.5280906202720879,1.6357156047982186
Torterra,Razor Leaf,Frenzy Plant,45,1.3347199499974585,1.3385791917134342,1.3864354397956233,1.3718452126419172,1.4567656775614364,1.513756212248101,1.3107877726862671,1.367733946796563,1.4114782978038654,1.4734723139591235,1.4120567707170422,1.4818917998164567,1.3931298204721092,1.4617193386206373,1.4292797634084,1.521296411571128
Shadow Weavile,Snarl or Ice Shard,Avalanche,45,1.1354704587770839,1.080841223104337,1.4286859887515222,1.1420908791212097,1.0789957242585773,1.0881173457473108,1.1808520958253295,1.1753589848012882,1.20888202395409,1.1202473247648468,1.1758832199345235,1.174693022898058,1.1821782918473775,1.175323274064015,1.1284868042637382,1.187373358016232
Breloom,Bullet Seed,Grass Knot,45,1.6272872491636434,1.4249227652760963,1.5268209305784806,1.3764025554071373,1.490449350335059,1.504699968031599,1.389470243265048,1.4135177415666587,1.4623143146364694,1.4310575201285836,1.420148740374803,1.417805715125623,1.3578091487731339,1.417068947592026,1.3764221026233183,1.4492541352398967
Crabominable,Frost Breath,Avalanche,50,1.3069155435234847,1.3072879739745806,1.445051075181005,1.2993927895177915,1.3379589787999544,1.3878912638155096,1.2985607918966435,1.299667873888934,1.3270538826694909,1.3428399312175945,1.3117125104282372,1.3487028191352044,1.3078078973275538,1.370993609284571,1.334586389541985,1.408698701200843
Crabominable,Frost Breath,Glaciate,50,1.2834015471418916,1.2247679193031273,1.541901297367293,1.2089766108105549,1.2456068541532206,1.2680153346868055,1.2305345813865607,1.2106465895781775,1.23397076186431,1.236286554686316,1.207215888725608,1.2471765518104727,1.2193772870970183,1.2690839033293584,1.2208495024053652,1.322808072934842
Shadow Cacturne,Sucker Punch,Grass Knot,50,1.3513213679912193,1.228853735035478,1.502999789567111,1.2771218850845256,1.191453123403928,1.213979391537525,1.3299409434191556,1.3125301256967028,1.203922505655463,1.1946233340006998,1.3307282592076002,1.3314918288395765,1.3033852244708308,1.320718612140434,1.2674671462073515,1.3528825866185952
Darmanitan (Galarian Standard),Ice Fang,Avalanche,40,1.3019986896924354,1.2675809011376706,1.6821370068382562,1.2883708557691205,1.3151435857836007,1.340161379049191,1.2592426961690784,1.2623739374378284,1.3101744071821106,1.3280106803582823,1.3137937982077288,1.3239427814798863,1.2637992732630896,1.3013246070139992,1.257903055360144,1.344558046442872
