Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Kyurem,Steel Wing,Glaciate,40,1.3976763796195995,1.4093104822128315,1.4307310512787905,1.4871408037672011,1.38691539744007,1.4708338038272746,1.4198324488415377,1.5152243392826885,1.440672748959439,1.4932971805834385,1.4148154446689947,1.4669686890698475,1.5058641672391795,1.4950436745509863,1.1524267817639704,1.2214941810137538,1.3906974267968055,1.4832475598935226,1.159173952135902,1.2154362672890402,1.4123103052761603,1.4780307040762308,1.475640027613354,1.5410454885948033,1.4195447868869506,1.527680648893164,1.3963906412201548,1.522125004277843,1.4677867528271404,1.5828648357565966,1.3879398870413524,1.4841719657174455,1.4114021009629414,1.4955622021204165,1.1797587160717284,1.2431158177452433,1.1824731042292782,1.2706302539309204,1.4739040535102206,1.5582353839108534,1.4479072762395364,1.5669456965013953
Kyurem,Dragon Breath,Blizzard,40,1.5196800501781675,1.554188740953609,1.6475493539573722,1.7191072935573,1.5050248752914295,1.609125811186907,1.49114969274527,1.5858689986380161,1.6266179902179352,1.6917336797720386,1.5116807922452353,1.573586815950896,1.6058658029901527,1.6109529885170282,1.5733114119457536,1.6958016735596806,1.5654658385093168,1.677469387755102,1.6100855125973257,1.7064354446846366,1.6112030174695606,1.7046166401976355,1.6512198346136333,1.7711176064509495,1.605763606348546,1.7669600031196786,1.626892232577771,1.7447553644151903,1.6338179859989228,1.7629940764674203,1.6250938030727913,1.7586200086891268,1.583163116428363,1.6714448983561911,2.06805724837064,2.256719969054935,1.9905745023737969,2.17593971862886,1.618864573070038,1.6989217468533604,1.6056020605280104,1.7235780210345568
Kyurem,Steel Wing,Blizzard,40,1.6331025500301612,1.6768564401982164,1.6727186198232775,1.747203307861566,1.6342717750131186,1.73024423617246,1.6878082409715225,1.7866393666323044,1.6891964990980675,1.7506954047832985,1.6639087842247016,1.7399239077559512,1.7533164850983085,1.7724813524389047,1.3190313311532174,1.4016753630855054,1.636603371783496,1.757036379769299,1.3338434755992579,1.3853136418418688,1.6619242985706724,1.7351773425092643,1.6953424496570362,1.8071471586152197,1.6755144220145326,1.8428591855038932,1.649068570972268,1.7873969039823867,1.7184060312331717,1.8371459343026386,1.6183597298471504,1.7301927406295667,1.6516875790292773,1.7496109327886393,1.3597363830765525,1.4499587642409337,1.3653904786793851,1.453312426499412,1.7088161418797965,1.7983236424695745,1.6962009014810047,1.8169135007512343
Kyurem,Ice Shard,Glaciate,40,1.150134485809787,1.1581892337748991,1.1655395120672978,1.1978397166892096,1.1336075482726784,1.1923334949618403,1.1314191404628158,1.1990578642595038,1.1775890672635794,1.1949758843353424,1.1534757624055274,1.171877904378468,1.201904832008375,1.2040313082736285,1.167542319899971,1.2219931230162546,1.1555634427684116,1.2054125998225376,1.1398044879765845,1.1971667973906224,1.1476420504676197,1.2037122816304924,1.1663557716316848,1.2233303467826036,1.1533062094604256,1.2078615902562035,1.1716726936722146,1.249381138704783,1.2068605277329025,1.2952180936995152,1.1328448990876419,1.2188968758639758,1.1491708005057875,1.1957251240151736,1.143879956501748,1.2029237247932738,1.1709482120301407,1.2237553900431204,1.157658095224879,1.2266968262999405,1.16282464048079,1.2197681905988411
Calyrex (Ice Rider),Confusion,Glaciate,40,1.186998478334264,1.2526957164549508,1.3819936571060836,1.4394978092738813,1.5692639039262444,1.6216730543138207,1.3931903401337666,1.4559295441816908,1.2408556251400429,1.2964585846560548,1.1875116175138718,1.2557593207066613,1.5894612654169529,1.6306944580757026,1.2732729393094162,1.307525608348562,1.2435634427684117,1.3014622892635315,1.2022363361582462,1.2667342605169016,1.3893704782071643,1.4409078877713077,1.2262679376643215,1.28199403669051,1.2225630760031716,1.318805163068204,1.2398900309145457,1.3004528809847025,1.031308562197092,1.105988152934841,1.213021841304949,1.293495003752123,1.210217877638362,1.2623042505592843,1.2141632060255296,1.2911390557376092,1.212108541312775,1.3062676945860012,1.1901028295471892,1.2458750225503394,1.4193174500965873,1.4852006868426701
Calyrex (Ice Rider),Confusion,Avalanche,40,1.2412216207740174,1.315802442665523,1.3968470499377657,1.4826418191697206,1.5233392670922146,1.6287121971956346,1.42006138627436,1.5043452842122418,1.2508753386491154,1.3371213750115996,1.2351187062736553,1.3028008590039193,1.4957940753099748,1.5998748650505448,1.277432793113398,1.3541766855823796,1.2609547471162377,1.3424347826086955,1.244667419126509,1.321619191552044,1.3952708664196225,1.4904601199929417,1.2995608301631831,1.3887020254689129,1.277339434038294,1.3710727795037112,1.2746375240985157,1.3597494895107287,1.1350565428109853,1.2152073236402798,1.270261463722896,1.3473083455112762,1.2769550627370878,1.3624768991343255,1.2574206120408418,1.3616631512877964,1.276013763665665,1.3732392525806874,1.26186147846963,1.3542415453574057,1.4473814123202404,1.5487872934106033
Shadow Glaceon,Frost Breath,Avalanche,40,1.1008379561997077,1.1169026501944883,1.1119563164973045,1.138796083282274,1.0667082915424009,1.1145791127259201,1.1258716113703005,1.1691601876510889,1.106104397855279,1.1483220884097693,1.1465981941934182,1.1286251586902958,1.1621213236496875,1.1307660221807831,1.174575598730403,1.1602836154659997,1.1761881100266194,1.1816184560780834,1.0883534520689457,1.12748455225451,1.1070010587612493,1.145723045703194,1.1195305729771015,1.171643435218777,1.0956831446361024,1.1419713769481743,1.0906902727552732,1.1506257058441038,1.1269682283252558,1.1862681744749595,1.087167739642166,1.1372684545203209,1.1058505981908375,1.1475658982589243,1.1060160418050315,1.148550909741127,1.0973038895422276,1.1339779607125746,1.1044809258822388,1.159142948335438,1.1099270229663019,1.1676325391714961
Shadow Weavile,Snarl or Ice Shard,Avalanche,45,1.0435218801452222,1.0550503781763372,0.9676362122981237,0.997144541681599,1.0359330060909593,1.0811070667082916,0.9776766601520817,1.012868353215536,1.0594415486534383,1.1016456592935278,1.0954831106066418,1.0921491313065796,1.0971881440769458,1.0977177184545424,1.1881131576416273,1.1517655333269212,1.1607027506654835,1.1422005323868678,1.0543205861534637,1.0996212193675512,0.9579252691018176,1.0039813834480324,0.959960636282185,1.0011897243070957,1.045612301932901,1.108577816484902,1.0591254948038467,1.1039458824334651,1.0898438341410877,1.1375767366720515,1.0160946324894349,1.0972392274576406,1.05350889991246,1.116817430211069,1.1033010502346425,1.11106650999511,1.0573718367524718,1.107234635654863,1.0506237770777536,1.0928657665033792,0.9748121914573944,1.0296200901481005
Xurkitree,Thunder Shock or Spark,Discharge,45,0.9648384810223801,0.9968206626526266,0.9736958724947303,1.0191096056692985,0.962612337347477,1.0026917788656335,0.9966965751218736,1.041451903090914,0.9599166193255763,1.0177874245466008,0.9492309700179157,0.9892110373302854,0.9623511466614323,1.0136380737396538,0.9879382273732807,1.0175140665576607,0.979882874889086,1.0229671694764861,0.9681575574388308,1.0179825148738355,0.9706414328568909,1.0121426680783483,0.9859289396765712,1.05581422675264,0.973261754039334,1.0220587279510212,0.9740477521360696,1.0380670993942573,1.0209369951534732,1.0710177705977382,0.9856728148821045,1.0342726805956002,0.9834403268164577,1.0303350841357846,0.9836224702044272,1.030806396286592,0.986062110719108,1.0414390870682522,0.9738277292849115,1.0113098624776231,1.0014058810903628,1.056997209701653
Frosmoth,Powder Snow,Ice Beam,30,1.7336620942024694,1.751701273495015,2.101842753262968,1.8383852980505042,1.7537196697464648,1.8088753977057608,1.6324364245922778,1.8036790374797738,1.8203490490664942,1.7973129876038016,1.7293129155115068,1.7538629469529485,1.7660037785847482,1.7887366277357934,1.991554054054054,1.8919369770125998,1.7697959183673468,1.898452528837622,1.8149140091443001,1.7644099248177836,1.699907358390683,1.7601574907358393,1.6586960034076053,1.744693976469897,1.622089924737752,1.7299398161989314,1.642474988877608,1.777517938421875,1.7137964458804522,1.8039418416801292,1.6030648919783563,1.7292645839093173,1.7597266802840192,1.831546055831145,1.7643796025310727,1.792887014020158,1.6311337601811926,1.7593884751078008,1.7362789858592027,1.8022925021856484,1.6721399441940332,1.7715174930242543
