Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Kyurem,Steel Wing,Glaciate,40,1.4005743941755502,1.3567057483702356,1.4293033401748283,1.421810175131382,1.3924258718365339,1.4200693444061996,1.388167937413003,1.4491735092778824,1.4259024450348667,1.4170665520412984,1.423295016035275,1.4290921477300045,1.5156874436306937,1.441263288516579,1.1626859090506145,1.1707723987013747,1.414920708012225,1.4546286583558667,1.1664167053978949,1.1765057111605413,1.4112822800655969,1.432370622904911,1.4608497636272602,1.5243473064115909,1.4185366727526227,1.5265983472890443,1.3688881536595034,1.486889296372585,1.4387960682004524,1.551594486520637,1.3750598251981103,1.4704002001469132,1.415862953065617,1.4945188821549065,1.1727578122981672,1.1736977748098618,1.1816607983713028,1.2518790685270933,1.4738929940774577,1.5582228227537935,1.4179127289067046,1.5344911761564195
Kyurem,Dragon Breath,Blizzard,40,1.522873761716136,1.4864162345068395,1.6460102683917215,1.634503123627628,1.5108588355139756,1.5437890231330529,1.458537956445797,1.5037355115010091,1.6097546963362328,1.5944835041305079,1.5213346224235427,1.5239359663550343,1.6172955178111919,1.5407023696673376,1.585758365212785,1.614678241355591,1.5920843048738662,1.6369799622348722,1.624682454728947,1.6512736327080155,1.6198356080466636,1.6519507870495438,1.6361951200261364,1.7519329249210582,1.6046246885057278,1.7657112210353507,1.5943061112339245,1.7043581283823566,1.6015458999656298,1.7281646609718329,1.610016358402275,1.7422962574804786,1.5886048883122916,1.670285681116513,2.0541421835021825,2.1284191794471323,1.9803926379378374,2.143819505293504,1.618856207196039,1.6989111264899757,1.5723424785331712,1.687874620737571
Kyurem,Steel Wing,Blizzard,40,1.633883643413847,1.6145293299285601,1.6718636651737522,1.669253520747457,1.6397222917970316,1.6700682409137257,1.6512229114000125,1.7120583997752576,1.6725657847152298,1.660924208288847,1.6746823707885305,1.6944249549629704,1.7651663228445735,1.7080916297020543,1.3305646080842015,1.3418170797585642,1.664987687626221,1.722841839673327,1.3475533094646819,1.341259491759516,1.6674302841901398,1.68156683167375,1.6776805588855452,1.7875617827506927,1.6743350361155092,1.8415559405077326,1.6152380521671033,1.7460165956214906,1.6844564929997214,1.8008582653801206,1.6033352641539114,1.7141342300011628,1.6561772774682417,1.7483942380549382,1.3538082807060847,1.3698221711407632,1.3670401664188638,1.4318624392289379,1.7088029031028034,1.798314169158569,1.6610637063603846,1.7792756735339692
Kyurem,Ice Shard,Glaciate,40,1.1527098982360067,1.117910885371582,1.1649971129160481,1.147792509952117,1.13804709630747,1.1544480936392723,1.107326444868383,1.1535908742359458,1.1665241663795718,1.1395660127031864,1.160185184517086,1.146382154341041,1.209426665870085,1.1647402869623984,1.1776350993357316,1.1769899514805684,1.1761358662742676,1.1867240317142898,1.1434149360905905,1.1608936789482416,1.1479801534908318,1.1668023757976083,1.160056571911112,1.2100854420713711,1.1524925067734644,1.2070078714196222,1.151836458537575,1.2204586304045184,1.1830245661364396,1.2696289776189902,1.1223326267433147,1.2075849662337403,1.15977907705313,1.194892513929983,1.1379162658327115,1.1379542953176838,1.1718877171309514,1.2056885851200627,1.1576570010774345,1.2266853781949585,1.139073584814949,1.1945067441787813
Calyrex (Ice Rider),Confusion,Glaciate,40,1.153852198554654,1.1853477068296796,1.3435011772050356,1.3462348417489942,1.5692547650448523,1.5747148927626016,1.3392933034589414,1.364415989525208,1.2344126909586677,1.246683531649098,1.1806976594842569,1.2167059697091183,1.5666580746402816,1.5624224820666133,1.2718456175504582,1.25199419251696,1.2579061624000725,1.2703681035236516,1.1884570121261557,1.2257815044697293,1.346444997850215,1.39638779074413,1.2356209805054847,1.2685277133754662,1.221705749085199,1.317871370142894,1.2111883928437717,1.2703471310830354,1.0139236043838584,1.0841457871012516,1.201769084608214,1.2814917701109043,1.209376703374122,1.2614220412729416,1.1613974525632373,1.2168814426520629,1.194220767392032,1.286985797480655,1.190096969595471,1.2458691655814886,1.3899213423893004,1.4544347257066734
Calyrex (Ice Rider),Confusion,Avalanche,40,1.2078217562467422,1.247622785793189,1.3570386640233718,1.3863915500788728,1.5211540446380083,1.5810921870760652,1.3651561716564575,1.4112119566758003,1.2438068950134527,1.2868010976679276,1.2259769623320758,1.2621010531202446,1.4734439532753985,1.5329399279702727,1.2753401821509698,1.2971730621879567,1.2761397495135305,1.3090152030069802,1.2397780284621394,1.280127593104463,1.3535092859289923,1.44441843564153,1.3115738503147556,1.3736608969189552,1.2764319788624354,1.3701002585086277,1.2451307995887342,1.3282648126984957,1.116723866193135,1.191206914080066,1.2599079634839143,1.3348067956479888,1.27720472029867,1.3615256159353246,1.2132137890063932,1.2833494156670457,1.2571812804932339,1.3529698998887285,1.261859183201478,1.3542285813555648,1.4174053932104191,1.5167103694964037
Shadow Glaceon,Frost Breath,Avalanche,40,1.126113826783853,1.0891153355607732,1.1450204640497084,1.1185943156147877,1.1011029665540355,1.1082096459141526,1.1345048977486802,1.139781463859785,1.1449336381257877,1.1208439942864856,1.2145980530105138,1.1223778352709002,1.2145679471606738,1.10651077582839,1.2511520761982338,1.1451613128915241,1.2632804653273084,1.1984845846675185,1.1317393366654545,1.113797483098988,1.1376921964713087,1.1247588626306517,1.1338230653171633,1.1589549102844934,1.0949152278242829,1.1411722168357588,1.127000013190491,1.1252494664049593,1.1215702129746679,1.1628404840727993,1.1059437350780903,1.1267171089915073,1.1658553188353027,1.1585167257119233,1.1319608435884994,1.0997447518759764,1.1197715529312828,1.1172383852330023,1.148589176900491,1.1591411133838534,1.1223618122884114,1.1442944283054408
Shadow Weavile,Snarl or Ice Shard,Avalanche,45,1.063613213558715,1.0193174978787936,0.966672257763266,0.96055339981437,1.0595962006425426,1.0760920513699694,0.9731018300890308,0.9791539855138035,1.089773117913158,1.077558664701982,1.1487212436408802,1.093777482967186,1.1238776136642443,1.072381193515395,1.2746337131485628,1.1429004968494512,1.239122007118604,1.1719543942359703,1.096387953948254,1.0947935508839368,0.9578709710559057,0.986525224776175,0.9563199789758718,0.9903443815606169,1.0449034522090135,1.107803272266144,1.0942333056729723,1.082540639357986,1.0695417454440357,1.115105636059173,1.0202780736848633,1.0870541910513587,1.115340438660711,1.1333979453063843,1.1552166205256125,1.1077342005916975,1.1062502646736767,1.098058442514344,1.0950998258996927,1.0936086243961307,0.96983560041178,1.0082911598064417
Xurkitree,Thunder Shock or Spark,Discharge,45,0.9701000703871968,0.9565046812391648,0.9788142323166373,0.981270798296207,0.9691881892308339,0.9771070860088331,0.9897078344805966,1.0057879633713414,0.9740303775979421,0.9837930381967659,0.9581112471381636,0.9683519436065401,0.9712933797900759,0.9828505297128125,1.001904577216206,0.9711422681070854,0.9899969660627437,0.989667727500825,0.980388680848694,0.9855434462231245,0.9765971379324777,0.9813596532948781,0.9908715364374215,1.0443819976713016,0.9725785157009206,1.0213347420603844,0.9707898852933063,1.0140361703104654,1.0032194911481518,1.0498584497290298,0.9797160931080153,1.0246765904552642,0.9852277859685356,1.0296255282433215,0.9723254075038075,0.9715231151559985,0.9819758524722827,1.0260649567407871,0.973824979776645,1.011313123588444,0.9934410399034864,1.0351092389908434
Frosmoth,Powder Snow,Ice Beam,30,1.821117343491907,1.72680274268755,2.315291832977051,1.8579625732983225,1.8872165890887982,1.8441698172550727,1.6770380444082758,1.796998259349942,1.9462988652676196,1.811590740175685,1.8931171119287782,1.8103633150783758,1.8900245445365687,1.7998687445266732,2.2074477126100893,1.943796164226428,1.9718503735300377,2.0134456282617648,1.993001853332514,1.8153923310026499,1.8056994600805885,1.7844703158471482,1.7021336505710556,1.7270201761132793,1.6995484480441958,1.7295318743223473,1.7304218646375922,1.8075265339623907,1.75428819804297,1.7701381451718534,1.688001218321898,1.738339427670791,1.94483176448819,1.9509355587049817,1.8904530442994525,1.8139403162373289,1.7429480391415777,1.7335328364322482,1.8893256278947608,1.8842501332559105,1.7627266525029215,1.7897490128747657
