Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Zapdos (Galarian),Zapdos (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Aurorus,Rock Throw,Weather Ball Ice,30,1.5805733987645478,1.577311297263066,1.5555498183092433,1.5806886409679852,1.5945071134941997,1.6376417567956612,2.1023172486664765,2.080988868115056,1.5673317374671956,1.5992183594676654,1.5762258355452692,1.5863394433580387,1.7018183956499233,1.6042189759799816,1.7016224408174359,1.6221622853708226,1.64277335894707,1.6337496718404703,1.6054578117242757,1.6517799429938813,1.6512948166993953,1.6448558250180223,1.6064495989797225,1.6398304467172153,1.6972278057919505,1.774197414700548,1.653800500179263,1.7635847397937472,1.638383150085053,1.6954438972619386,1.661230160510918,1.7696177066911531,1.6139287808930218,1.7132020583319412,1.6591620308800592,1.7291212685441377,1.5767663476560545,1.5872108428292364,1.6499456807654307,1.7417870417158279,1.6219660709559194,1.7082131451132274,1.6355635774858297,1.7119798484773576
Shadow Magneton,Spark or Thunder Shock,Discharge,35,1.337893600945886,1.2943320367584914,1.3120437022662506,1.2874465192482993,1.2929342218410784,1.300354817605904,1.561606540135309,1.5381155341878059,1.3021586321319343,1.3107720391126916,1.351053261433627,1.3011535698136762,1.5017502854951579,1.3091832878358685,1.403541181541142,1.3215344713889527,1.5364999863301176,1.3329873041377582,1.2938790476959743,1.2811259279628822,1.412411166191822,1.308583241322579,1.343931564645219,1.2966674235635902,1.4045513417802264,1.387329019096416,1.2591789182230715,1.3155319553708245,1.5548902742029072,1.3740294883430288,1.382636656250674,1.3870926933131762,1.3064955644215954,1.3291339424453006,1.2809517022444048,1.3482052092824879,1.3307157255845032,1.3054943018704872,1.3132227925707907,1.3357302943076006,1.3009610340349724,1.3445101246573905,1.3524809524481385,1.3555039652717291
Shadow Ampharos,Volt Switch,Zap Cannon,50,1.3660380667796381,1.2850052111850476,1.2637825871099095,1.271141029613645,1.2525970253557217,1.275313570939804,1.4563023228934628,1.4000402296179135,1.3094295169033634,1.2968882401488366,1.3193326702996613,1.3107386761494362,1.2806732521660484,1.2768187482501865,1.3091366921773386,1.288648227708593,1.3408896491319955,1.3296420533020015,1.2816794136398992,1.2981944922412794,1.286201627755812,1.264491864822848,1.2926361007410399,1.305742404573621,1.3356012569153968,1.4004195389694896,1.244837726063667,1.299557494609978,1.266652978838419,1.2930934194277894,1.2996700474857108,1.342826792274952,1.242010356778059,1.3164536231529524,1.2569054494184333,1.3111439905130837,1.2552401565289317,1.2690146741159052,1.2454025091942482,1.317975572841849,1.2140439362516076,1.3008827176606783,1.243933886676614,1.310954570489929
Mega Latias,Zen Headbutt,Thunder,35,1.7584607884570054,1.703038435379427,2.1411364359878378,2.167388755662843,2.575089925481258,2.585441535404504,1.4840518087306624,1.4522035203362151,2.05266630513571,2.117739226416894,1.8251774127695937,1.8025541237337364,1.7107455679812753,1.7318040217752597,2.5502712867340955,2.5480787915205543,1.7714697857715298,1.758830908823201,1.8159787897634312,1.8021498654417494,1.7018693968590997,1.7670383808274441,2.147330081302298,2.2094846757294135,1.8798915387216584,1.9268290544842368,1.782602323736971,1.9003286832858342,1.7585028689886382,1.8311622255615232,1.4271352202087544,1.4946049864318485,1.7673899301779776,1.861104294093983,1.8061713834862687,1.8675078958506852,1.7764394828245225,1.8100844158355265,1.7814044913269471,1.8869956758467599,1.7869986273271,1.870494774005889,2.220518111973254,2.340853303527351
Electivire,Thunder Shock,Wild Charge,30,1.304310265988132,1.2634555388162896,1.307353220667128,1.2911634066413809,1.3222226657768439,1.296544062429113,1.4341697676748515,1.4365322284171111,1.3626523404114161,1.3715202734968075,1.4167331669560175,1.3112105390721318,1.3455203830160616,1.3071330422428442,1.4170809535002056,1.3053155345816059,1.5758725420151252,1.3189833329545295,1.3250292777187291,1.3284191394805953,1.3214455971850585,1.2983081598976154,1.3543757147281752,1.3075611262763216,1.3817727304427858,1.3848517423569096,1.306480439773105,1.396065324271639,1.3321243013504331,1.359820788637119,1.3515553819682082,1.4248795117645392,1.3149484141635204,1.3382870930636157,1.3112172013726873,1.3504866629711583,1.3259976836053546,1.292951674607951,1.3095830219702667,1.3389760060514926,1.3105468495787451,1.378978220515151,1.3442062332760971,1.3768563885153804
Crabominable,Frost Breath,Glaciate,35,1.5470424430788705,1.33092083688551,1.7058925907970033,1.403876405224063,1.490913287837153,1.3396385040269803,1.8127110794408452,1.5158099951923758,1.4699733351216435,1.3639797809191183,1.600413498955469,1.3627681899624606,1.6297138629430006,1.359964444566852,1.6163239983351252,1.3354942412734097,1.3733691253679752,1.2852322282468525,1.7531806636176017,1.473619688095839,1.3138815903315755,1.2576514376072134,1.342762160801058,1.373481558790589,1.2908347975254229,1.3221273539009881,1.310162922333982,1.3656613690690975,1.3409099231795436,1.356954894638438,1.3674585812646984,1.394063560781116,1.3395264137190095,1.3376202915752609,1.4506546045737647,1.4431832903620552,1.3482906125769343,1.3287702940154842,1.341991319309724,1.3285629354627613,1.3649052299012856,1.3441479577344484,1.340074347043863,1.3447012302939148
Crabominable,Frost Breath,Avalanche,35,1.5407908775022099,1.4075033992379502,1.5908370286000255,1.4443831195251893,1.4841487406675455,1.4079959591652134,1.762949930117299,1.592904311687766,1.5115726804396634,1.4553602051283374,1.5636624539710162,1.4380154475717972,1.6465958637934612,1.4315108693612137,1.6047290999279755,1.436146975357809,1.4084826891524707,1.3576461252800267,1.7112184722111707,1.5277023439612338,1.361563385017444,1.3546178348385214,1.4666987995858338,1.4650652303206133,1.3872065774955646,1.4454582660712616,1.419709531722826,1.455409612789869,1.467410768750093,1.4409928634837508,1.45554409372935,1.4847209935430166,1.4085111950897977,1.4253958268711928,1.5987737775787039,1.5316615231622073,1.4187732297350308,1.427402339812807,1.4287683892605556,1.4305482148890916,1.4528998878897768,1.447330311867361,1.454947487053226,1.442958765193422
Crabominable,Bubble,Ice Punch,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabominable,Rock Smash,Ice Punch,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxray,Spark or Snarl,Wild Charge,45,1.2221408906942723,1.1964138719230881,1.221388748771079,1.2342642604514265,1.2279088116404595,1.2414609656017128,1.337454114397352,1.3508004184309887,1.2387929881336026,1.2485210080938942,1.2147480168847908,1.2200645391950362,1.2272555894360295,1.2490411216308768,1.219572614036967,1.2205704898492324,1.2341846870305095,1.2184881208720661,1.2333040840087635,1.2357103386875363,1.2218950081560551,1.2317579225038526,1.2270408408869857,1.2300691135557347,1.2755879608177567,1.3023241639701715,1.2412920658087783,1.318294360512329,1.2266967402139468,1.2943734892555507,1.266222474234569,1.3463386286744898,1.2161584402657073,1.27197750944412,1.2304438870662473,1.3115852021928218,1.233320958101108,1.2411944026528305,1.2106206934898183,1.2831497793319282,1.2189854747205933,1.3018779604657658,1.234129079758385,1.285382612504179
