Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Zapdos (Galarian),Zapdos (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Calyrex (Ice Rider),Confusion,Avalanche,50,1.110868000565608,1.144128086901677,1.2417683842444731,1.3090309941184095,1.3661241471814427,1.4480996476245536,1.0594681109867254,1.0816606943803901,1.2786093968960068,1.3202048016269037,1.1412670569725718,1.1811122174175308,1.1331326417777896,1.1694504133530108,1.3451904061102422,1.4153924445159671,1.1514243358825194,1.1919790070131437,1.1843636437977434,1.2095631261287931,1.1460272363921358,1.1976596400666883,1.2708504838603432,1.3556766717480364,1.2087683080900642,1.2864709116380986,1.2026414864926402,1.265285021043451,1.1675501267115984,1.253773664816826,1.0498059883275037,1.113741179912386,1.1852497876471355,1.2645737964617925,1.185503125141258,1.2714952815222496,1.1246104820347655,1.2028401219184466,1.1779304738238114,1.2909050109952152,1.19354218638324,1.2518945289109553,1.3414574495114455,1.4159417482464591
Mega Abomasnow,Powder Snow,Weather Ball Ice,50,1.169069372389794,1.1912058694134802,1.2021191644319236,1.2122392958313575,1.2072307648233214,1.234238936195294,1.3092989311822323,1.3442617629415763,1.1883848185370378,1.2072277031012637,1.1931190282974595,1.2182105330081807,1.2375720623317306,1.2236123125124452,1.2224076282362926,1.2328111787812042,1.2051119761017515,1.2113227966537445,1.3337760149792888,1.2993019646687132,1.2029621597060303,1.2241507257234738,1.2013626656197212,1.2291397171975846,1.234784032280933,1.2982594389868072,1.215338753675698,1.2978791964677239,1.2323838146390331,1.2645342418877301,1.248089142314389,1.330357781111717,1.2191400599141082,1.2872199051135058,1.2840634773839001,1.2863628174480186,1.2360674857439309,1.2123449394790409,1.2112640311959824,1.2787057907725734,1.278310436969557,1.2989238697911123,1.225353862146259,1.2835927790352248
Mega Abomasnow,Powder Snow,Blizzard,50,1.3222562444380177,1.3634248052231461,1.3942084265599042,1.3874836022402475,1.3881766132225095,1.408154840430703,1.524068583204391,1.580523948109163,1.3462837863253174,1.361954784843585,1.4023001504547559,1.4129296317224918,1.4878856544555181,1.4097977451574102,1.4183664991243838,1.403308789457793,1.4071152891542493,1.4204528123889324,1.5990501853069645,1.534582783238253,1.3411233894505108,1.387037743528752,1.342436607599405,1.3752626259178327,1.3310023400438828,1.510149839816131,1.3403289005741728,1.4702342715027037,1.355723644731426,1.4059978476386017,1.3757138021710094,1.4661922605650313,1.3585689005715007,1.465656902715183,1.4428397724645414,1.4558312287464115,1.3867047734672475,1.3917465846330572,1.3751361799708057,1.472709319995283,1.4368328058030286,1.434811546871387,1.363338570662382,1.4337075061442839
Mega Abomasnow,Razor Leaf,Weather Ball Ice,50,1.517076460432455,1.5799199176182348,1.5483920321665134,1.619585757268359,1.5677352680246641,1.6333931505877857,1.6307095312390263,1.7084052632178788,1.5432652822595985,1.6024329471486307,1.5096255222577954,1.573123843199726,1.543182537769041,1.557803399199803,1.5329330323291797,1.5781320516120256,1.3401209241104117,1.3708882887316358,1.7236526086181818,1.685366692528735,1.3515829347235522,1.4000491705778415,1.5618756385247519,1.6331565680291837,1.6204784366118539,1.7933162763262047,1.6136248109995979,1.739923496012181,1.6070072555408428,1.6846007964729046,1.8263918940321406,2.0047423697424023,1.6008704617491922,1.7225736340141367,1.6518296983474674,1.6805731253207705,1.5634536052592853,1.5862075746952289,1.5839262724845884,1.7388155229585835,1.667464179767371,1.7114362924203506,1.638232047970306,1.7374252550386384
Mega Abomasnow,Razor Leaf,Blizzard,50,1.8886741117724164,1.8608126266136298,1.925914702756891,1.956581091279029,1.8998856881465558,1.9677294913780026,2.013822591203891,2.104262137670144,1.8247461849922237,1.9072461737078152,1.8509375149840548,1.90406304108652,1.9706867575890405,1.8702136735383554,1.9790600067382424,1.896344782761065,1.5847910698445358,1.592509612562589,2.2702393066426896,2.1387285843734447,1.5584811474238205,1.5624651049705622,1.828679711094461,1.9312257350129367,1.9458452823794226,2.063194631436171,1.8802929185499286,1.9770217581909035,1.9273250908802364,2.0421061401812146,2.2401757842493684,2.359290329423333,1.8502596507270925,1.9882074841358897,1.9505051333032415,2.005581911705324,1.9043655376649,1.9085910684228868,1.8626464221099446,1.9974525256611029,1.9616252235727494,2.0375497747978204,1.970350851895238,2.028145351169069
Mega Abomasnow,Powder Snow,Avalanche,50,1.1684286213956818,1.1962970462554945,1.1943004581167618,1.2194843953232488,1.217668366941989,1.243611146204109,1.3323444397590112,1.3742121824138094,1.1789893841299375,1.19827837898002,1.1985796475919146,1.231528720216857,1.2554923737838206,1.2362607225184743,1.2270673151308287,1.2417242048594879,1.223782071109082,1.2261426786579535,1.331122430470554,1.3106510767365853,1.1938473047828904,1.229401763629344,1.1911257203506749,1.2210697651568418,1.197106152885677,1.2858718657826977,1.2177076588822735,1.2704211163581365,1.218129429326668,1.2672212419224456,1.238210918548923,1.3210367193615011,1.2154452027753302,1.2633709873535457,1.278360448746883,1.308517699617465,1.2177535870111444,1.2097742929567934,1.2028738327321962,1.2585535380518762,1.2622007266702475,1.3053770303631176,1.2247226207218815,1.2601673861990572
Darmanitan (Galarian Zen),Ice Fang,Avalanche,45,0.9342703786199217,0.9299831462509284,0.9558541161988527,0.9686861037385434,0.9679143910357716,0.9822041711146063,1.1457660117250659,1.1208893454583881,0.9393987136920572,0.9668878554042394,0.9143286227685363,0.9466515455479941,1.001079789719198,0.9439631003546992,0.9985777830122403,0.9487089801885185,1.2849705241098848,1.0221432333587297,0.9579162481868659,0.9928593031993135,0.9907985179524947,0.9943767869111046,0.9120565688549587,0.9438853593036122,0.9252207122987766,0.9711600510319007,0.9121701349198773,0.9553094521120773,0.9410606678271565,0.9700762253333928,0.9464002586972635,0.9948471768616284,0.9079700424235624,0.9700797708530426,0.967677740719361,0.9780390563174266,0.9255942652395058,0.9394486230343849,0.9297263996979142,0.9783451697124745,0.920807277579336,1.002477845122615,0.9290352829413282,0.9720870184286045
Deoxys,Charge Beam,Thunderbolt,30,1.8503994947190425,1.4565148830286874,1.6298841733024192,1.448467496982865,1.707520865200776,1.5164138953243447,1.6952195315690022,1.5836196357053551,1.5412608847076632,1.4639310895916844,1.9553316227989814,1.578995560875162,1.630622683180279,1.5106897849538194,1.8077124727820644,1.5929845568127856,1.91255969044798,1.5279757440286497,1.694492742352668,1.5983166138501899,1.4887236952945384,1.454208844363994,1.5330614212530185,1.478671204090577,1.7840729051683724,1.569350496051394,1.4534927829065274,1.4046361934411746,1.4620373042913326,1.468947852349992,1.6628775928826982,1.5212105297062497,1.5118193031866118,1.4118297935095285,1.6002178807089058,1.5378347666584984,1.6513655112392602,1.4683811837006364,1.4518049688962806,1.3800232918922584,1.4740929013974124,1.4563918942478513,1.5445348927333058,1.5322304940243514
Shadow Ampharos,Volt Switch,Zap Cannon,40,1.4499299465912654,1.3871562842330039,1.4653584684803844,1.4309156583264833,1.3728188579804372,1.3698839457596361,1.5694335339225123,1.522576471330251,1.4223076350451744,1.3952937997870793,1.4712559649431107,1.4055383628994718,1.4368517916146883,1.3801510039778864,1.5004321533850926,1.3791415357472894,1.6031302054665695,1.4504378644547151,1.4077101967835497,1.3746307339582855,1.398115679537534,1.3733465367027917,1.4026100081561446,1.4008755954094068,1.4033889094078773,1.4582918008061596,1.3058178490349972,1.4050349406583234,1.3366880414999083,1.407718645698501,1.3851412826366072,1.4715478862420577,1.313579257262503,1.3649296055803992,1.3372599586774983,1.3885708007408029,1.3734315838115112,1.3617051145024912,1.3493962560666153,1.4007167817106099,1.3407180413684823,1.3969731301731008,1.3614432745543164,1.4338759170300193
Shadow Zapdos,Thunder Shock or Charge Beam,Thunderbolt,45,1.0208320984422672,0.9959283403819923,1.0087350988795847,1.0018732344824641,0.9896133075153233,0.9996984402584369,1.0840251839078903,1.087425129619984,1.0017830082026546,1.0171323831646368,0.9967196524718323,1.0006509057698871,0.990261791535839,0.9978011625480551,1.0039244366987938,1.0141481090024915,1.0339871160533503,1.03304718810516,1.004961628801218,1.0059844198241474,1.0183225352196956,1.0288504920181636,0.997610884733351,1.0287721484155756,1.0609839593228056,1.1067513109202884,1.0250320789246723,1.0769753879348107,1.0020550587931898,1.0467857309349877,1.0256321211559505,1.1084241152814418,1.0032770724111733,1.043986768438179,1.027312516937446,1.071911015390285,1.0104838764781858,1.0035340312885939,1.0161389839186958,1.0791969704653674,1.0130986420543322,1.0707288982259329,1.0460018825343054,1.0883681482919974
Shadow Ampharos,Volt Switch,Thunder or Zap Cannon,35,1.5432976566397714,1.4167610046088015,1.5621248792947287,1.4894662832371885,1.4860345105325177,1.4438822259157278,1.6935220946945058,1.6651489364063543,1.5118289618967435,1.4943288144829616,1.6143970954048943,1.472360729327037,1.5319170981809047,1.4556282831387886,1.5701599314420793,1.4423632943698674,1.664112457347496,1.508321911570024,1.4624551714683194,1.4513944772491632,1.491221738024311,1.4522560991883375,1.4820719126663484,1.4443426940058293,1.4889379637928162,1.5071355008573883,1.341244724689896,1.4371550114203515,1.4582245299768397,1.444090538040756,1.4515248751445193,1.495762024525577,1.3834879879708644,1.4532724018234184,1.4111704632138677,1.4732601498692262,1.4674893489856389,1.4390171307942041,1.408601319425817,1.4696067385179585,1.4114564235072908,1.4724912562151429,1.4087353528842403,1.4864595963759923
Zekrom,Charge Beam,Wild Charge,35,1.1445096378523651,1.1395777205186142,1.1199494038491562,1.1398842024598825,1.1237496730089238,1.1461604790014197,1.2142962290193025,1.2434385952643259,1.132190219161843,1.1586855806250933,1.1178454518897054,1.13536101858376,1.124518700640822,1.1320151488178563,1.1510532184075513,1.1686913262870025,1.1381367983026949,1.1432233945381738,1.1102551886651586,1.1583991226004346,1.1381638672972683,1.1563672675544923,1.1614155182591963,1.1806138338914545,1.1713463794794392,1.2508352081637801,1.1413301837311598,1.18265119049738,1.155121578662858,1.1838400309463943,1.1681153743492072,1.246577613200536,1.1388285852506757,1.2159087444633077,1.1504242012392425,1.1937587579977729,1.11538766449685,1.1455083625637887,1.168788314460098,1.2171941915690925,1.1550343388034519,1.1849537623435658,1.1686560919849778,1.2260584745798548
Shadow Weavile,Snarl or Ice Shard,Avalanche,45,1.0638601012851576,1.01928282123865,0.9665484375708226,0.9602253500817336,1.0597236696453187,1.0763953536975,1.3949446968061014,1.337470285009121,0.9733499525804075,0.9786024328038546,1.0893182499736969,1.0776973439456232,1.1488521723119172,1.094195966452889,1.1240018774121607,1.072573960613716,1.266516841459996,1.1443528891708508,1.2516907719717179,1.1724736731025203,1.0977046977106522,1.096365579191014,0.9577245288678166,0.9866131610180808,0.9566344690509394,0.9898455702400142,1.0447543243268858,1.1074060880956271,1.0951510372497384,1.0823260381176263,1.0696878532178664,1.1149670152720534,1.0200860171656505,1.0867910816062678,1.1158102798428335,1.1329896352022901,1.1555712411358696,1.1074771775173795,1.1066745141361378,1.0979075179898095,1.0954512116032118,1.093387769017425,0.9702285855921942,1.0085283459659586
Mega Mewtwo Y,Psycho Cut,Ice Beam,45,0.9043447965259769,0.9280291562919243,0.9525366330392758,0.9966793890398155,1.0072516171088306,1.0765895993120624,0.8861538211841816,0.9145349156028323,0.99495834118764,1.0339747032934925,0.9090741778141783,0.9453726769987644,0.9056662695702863,0.9282126964746971,1.0122397300325987,1.0639531168149832,0.8960427666392939,0.9202112013323359,0.9448289124963496,0.974360925975625,0.9048044062561235,0.9818209476519459,0.979833510836888,1.071283060536494,0.9668256700794386,1.0291924825149643,0.9531168740807142,1.035394189940983,0.942652066316536,1.0195196365782415,0.8972355826600371,0.931201813256145,0.9464250938274505,0.9951801101388145,0.9500502959686877,1.040765645009301,0.8928170434450982,0.9482530142066344,0.9563002979920213,0.9995253940894073,0.961552686457864,0.9864588247401797,1.0394014856759244,1.1258067489577142
Zapdos,Thunder Shock,Thunderbolt,30,1.3408959277790178,1.297630162822625,1.3751303272342106,1.3421476698283075,1.3335468657465048,1.3366241276911306,1.4826107745084567,1.4584086793342028,1.3339686992716577,1.3305738118180501,1.323302745388256,1.324754530318537,1.3339509853428235,1.3391618064283415,1.3572172604820254,1.3573429327057394,1.393862008629484,1.3727045714393002,1.381544644938387,1.3851322302636708,1.359705558772729,1.3591526617696432,1.3640110239810745,1.381586596752071,1.3981983940264842,1.4433035783435018,1.3663096742547298,1.461696342320672,1.3335561076974196,1.4203092258938004,1.4154318675550588,1.4758496979121636,1.3481125297374539,1.422192839645098,1.353425413922521,1.4343034078627812,1.365968238732606,1.3599772842363076,1.3515310966925145,1.424841105546122,1.3701675666628312,1.4523854350116476,1.3678586626985567,1.4009808923628768
Luxray,Spark or Snarl,Wild Charge,35,1.3618659362034613,1.337447294186259,1.3403146726451836,1.3252705878860283,1.3275309344125172,1.3272227996259738,1.4388935554264426,1.4557799106940672,1.348416360429312,1.3706107143417525,1.3754085274532264,1.344640351744177,1.3460813228362478,1.3380343740279201,1.398949689313783,1.3402688832810197,1.4525724248494092,1.3448366218459216,1.3542396521829063,1.3594507153223636,1.3447045267477773,1.333610485182286,1.3549435967186216,1.337049853249902,1.3571045361910867,1.3968543808893665,1.3197155187100285,1.4078474376966141,1.3200169610045676,1.3690967521164061,1.4067860751176693,1.450139890906065,1.3176433563566177,1.392702879145299,1.3302047676382478,1.4100209553919851,1.3316255610825716,1.3204960565182464,1.3422424923057934,1.3880596821133298,1.3173614361429995,1.4086374291957369,1.337829317663087,1.371681964051162
Kyurem (White),Dragon Breath,Blizzard,40,1.2332345111066823,1.207432746893235,1.2573062904046235,1.2502804020231038,1.192089939100994,1.2486962390273066,1.3643976354627363,1.3976522300496865,1.2700720074232064,1.3289565590392018,1.247332377229526,1.245304641967131,1.2461448575167324,1.264668698458587,1.2892156141082074,1.2788502503206816,1.288291399733388,1.3134977573157753,1.3226787424019737,1.333252994564957,1.2582221380916148,1.2801463835203195,1.2774055004296883,1.3211008668087074,1.2954206556834353,1.4404593646840202,1.328890472576709,1.4178592521721323,1.2693240890899082,1.3465632144575206,1.3264903073841545,1.4332118547630144,1.2709195973770537,1.3444573704181773,1.2657882949569288,1.3630611958436996,1.59394693178122,1.6406604333016253,1.6797538953734554,1.8201472729483488,1.2618968462951872,1.3661917325619555,1.295546209458307,1.3856774700253884
Kyurem (White),Steel Wing,Blizzard,40,1.350400842877522,1.3303438692581546,1.3353936350317908,1.3259323032620045,1.305150608449966,1.3831303601293028,1.4474559241931269,1.5021622375400812,1.2515636428822143,1.2971568448965565,1.3481940771950989,1.3556144154748035,1.3327573640426136,1.351495708105175,1.386348341405856,1.3744608094723918,1.1083922867605376,1.1174144915907165,1.3562665942983056,1.3826589319640534,1.0963195868642817,1.1088542267929107,1.3538930740202189,1.3931582150125348,1.3497995694348217,1.5062825212067688,1.3845998970423128,1.4633121353919016,1.2988067784505974,1.3732734242879603,1.3816259321456381,1.468658701743538,1.3281809161960747,1.3904100340765735,1.3494524108865953,1.4453032692271506,1.064564633183104,1.070745477572653,1.1147238731508393,1.1657505005740485,1.336808891030014,1.4312941018928385,1.3047750137226803,1.4080981983665417
Tapu Koko,Volt Switch,Thunderbolt,40,1.2872333856374623,1.2723543130219779,1.3172869033422139,1.3209547531833985,1.2688465445555575,1.2990784604813967,1.37649170164183,1.3994852375143634,1.3003384391162454,1.3138583069475203,1.2846171749476798,1.3029063642793017,1.2850216740883007,1.2993486279296502,1.285846154523024,1.2992210521957694,1.3671978321872043,1.3282567012893498,1.3131802948275797,1.3276158186066191,1.3152377870055127,1.3054737314331326,1.3114710944337555,1.316964799954883,1.3382731472743348,1.3863125081503826,1.2718050581489022,1.3283024302313728,1.3043799265023137,1.331143082439409,1.3295949601840285,1.3878748135558387,1.2753156085471147,1.332458008020875,1.2988132054655743,1.3566296704905731,1.2959574380178547,1.3016619718910059,1.2842864352834285,1.3418065330947115,1.3013643967044686,1.362670088976144,1.3100055190118487,1.3559328142360938
Crabominable,Frost Breath,Glaciate,30,1.6732379005097058,1.3709158367646177,1.7478228254695212,1.4621857123658657,1.6080272845580843,1.418584646424608,1.9396869596308135,1.6478086106061192,1.5667009211158225,1.4119295615036451,1.7351154223095018,1.411809738718097,1.853921320277536,1.4817290872783937,1.698726339087463,1.392993908901965,1.515433297396365,1.3690023390321922,1.8427094521884781,1.5384372402560766,1.4036193785157447,1.3383231326254021,1.4088869440684377,1.4428850871023202,1.3907077349501107,1.4017530792769672,1.364348855040708,1.3817994202099884,1.4590125918101162,1.4378081621114964,1.4170156516504842,1.4296443942424224,1.4307216027611576,1.3970306901579095,1.5112571483321224,1.4867706787154942,1.424236161261252,1.369402224852704,1.4014483194337601,1.3624670892039146,1.4284873329377257,1.4209987711170498,1.441871317391908,1.428211510449914
Crabominable,Frost Breath,Avalanche,30,1.6283947459302524,1.455971685666198,1.6608982778276842,1.506103054668388,1.584639849562971,1.510247301531093,1.8759311900490232,1.695580834352251,1.6172517041427252,1.5169325953974948,1.6832370071562752,1.4935832456404725,1.8105919120051894,1.5727080621966876,1.6776523819427065,1.4899592236502492,1.561206899107373,1.4621734586219244,1.8204728168682953,1.644845488004403,1.4595439048108518,1.4400438176644592,1.5703113479702508,1.5556280233303867,1.4691494875411726,1.5052674324968593,1.4628759406100116,1.4931536836499077,1.540056040746086,1.5310859506345498,1.5031894420006162,1.5341753848080453,1.534900172607164,1.5110491654882827,1.6471671290377627,1.5933742549956948,1.5298132030576255,1.4957482517749692,1.4764291793885083,1.4723229141016765,1.562396601578128,1.5337948244854973,1.5724716389519107,1.541537253816499
Crabominable,Bubble,Ice Punch,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabominable,Rock Smash,Ice Punch,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manectric,Thunder Fang,Wild Charge,40,1.4465799716780636,1.3492412939793057,1.4359116571273165,1.4143790295282932,1.3848667355794,1.3701590644274568,1.5387221409746774,1.521706480483056,1.380107386014398,1.4109717122445722,1.5177873504853132,1.3651428207412888,1.4241681771099461,1.3503402342665043,1.5358042590812988,1.390979881783501,1.6060787826623728,1.3968960637655554,1.3503436060729292,1.3760457652382934,1.3842693021841426,1.3529122613284663,1.4129376174231965,1.3875008195911258,1.4391757319350735,1.408127179560698,1.3077075641075724,1.39225739236888,1.362816062368887,1.3626840045824469,1.3774073311539201,1.4249722311609183,1.3650896156511092,1.392235089094182,1.3788807108525745,1.3923154767324641,1.3659629731974219,1.3485345415556895,1.3535594068510668,1.3927654906053386,1.3196394522575996,1.3879475323266208,1.3831792629463902,1.4120225462505878
Shadow Raikou,Thunder Shock or Volt Switch,Wild Charge,45,0.9708113522723522,0.9539673718242748,0.960851493352496,0.9861292645772074,0.9683029292295035,0.9921380308585646,1.0350687462829222,1.053819972877528,0.9707763909538162,0.976522340155636,0.9648631538134971,0.9662202910934125,0.9568161850961476,0.9659203794178731,0.965198270213218,0.9824847440519896,0.9687942933016588,0.9825131733199468,0.9777758414074631,1.000494258801204,0.9756409966237181,0.9823825156098205,0.970413397768132,0.995515756755933,0.9919692273614337,1.043415050625012,0.9659507324119537,1.0357001966459465,0.9719770480908951,1.030738498008818,1.0201780069591788,1.0732623419213216,0.9641292244116867,1.0409523924770197,0.9908498320908393,1.0432276278102643,0.9407406384233646,0.9616939785078488,0.9665129098306815,1.0318502878797229,0.9955938580500774,1.0301678082062373,0.9901223085928885,1.0433053435688728
Shadow Mamoswine,Powder Snow,Avalanche,50,0.9696755840056779,0.9713211329853141,0.956420937285212,0.9880235454468103,0.9657878336306975,0.9905510498233427,1.0981695762529973,1.1077652530787263,0.9831560678127758,1.0122593814811465,1.0041170477609924,1.006684412163386,1.0372816196645889,0.9952763780812127,1.050908024120719,1.0010131053905431,0.9876494258155238,0.9870015063222384,0.9944723586867787,1.0328908587977166,0.967588877657493,0.9866404159829566,0.9659805656725668,0.9935577378592343,0.9946630718743575,1.0696779335953817,0.9639956227957658,1.0404718023304869,0.9609625915621482,1.0118853198042046,0.9953274422879073,1.0529035377767835,0.9510071275867895,1.028671924248203,1.0030024022245718,1.0498121498017468,0.9663115467284287,0.9853200430245657,0.9552997609098256,1.0250194761035083,0.9604953289629784,1.016145892414838,0.9818785021745401,1.0320986283008204
Zapdos,Thunder Shock or Charge Beam,Thunderbolt,50,1.1472865791088567,1.143160330122904,1.1371614255242841,1.1401340554134938,1.135789237872447,1.138794737897573,1.2152407478890042,1.2168064927333386,1.1500395384182527,1.1651829639677729,1.1329388139199064,1.128013322688286,1.1269985632788648,1.123153610110288,1.1465960284982637,1.1356461309340995,1.1775618101032619,1.1585572147169627,1.1480758079958888,1.1844058341779762,1.1538272382812829,1.1784343034972318,1.160576995196844,1.196182031541025,1.202620265773523,1.2493004343741851,1.1902930364404103,1.2446110758338613,1.1439327907795613,1.1920184091371213,1.2148997702197626,1.302692617123164,1.167498594253201,1.2279782222637385,1.18465279776868,1.2458812132715607,1.1231252459953953,1.1602996182584955,1.1679680879079517,1.2459797656268616,1.1829459883505444,1.2491893909492897,1.1532768847489083,1.2307838033487792
Mamoswine,Powder Snow,Avalanche,35,1.3011320597258078,1.296077128456032,1.2785148460525697,1.3134229032934412,1.2872125237699616,1.3176546532767441,1.5416657293479954,1.5025836281685374,1.3295901338015612,1.3675104395108773,1.344706930177228,1.354564039106609,1.4052191058035115,1.3360706959640651,1.3757777731524985,1.310408192745994,1.319920625744638,1.3148168186329394,1.338720406855566,1.380778403495969,1.2817261952165242,1.2878344377783413,1.3099273329483014,1.3239951888906862,1.3086242821166192,1.3856205256289922,1.289965901911883,1.3781401921244998,1.289537837422324,1.330668174311517,1.3149042351829932,1.3988465398902745,1.267175988530116,1.3529474107488986,1.351788021146151,1.3734653565563513,1.3141774142974758,1.3215269993255463,1.263962716474981,1.359818339126774,1.3113890408002624,1.3789700702775232,1.3036046703407436,1.371974549896646
Kyurem (White),Dragon Breath,Blizzard,30,1.4373670544456676,1.423612522809847,1.422283988921224,1.41698114757944,1.433624216454238,1.4429326954913508,1.5956592827038836,1.5781244918713437,1.4257369489008307,1.4106513783349817,1.421175229997229,1.4039367296086047,1.4651090656470613,1.4302152993864978,1.498840775266759,1.4471465664718353,1.391059023917683,1.3928146979894733,1.4238040730853636,1.4202674970321423,1.4413008918077002,1.428120100900241,1.4556317031661086,1.4302245875663335,1.3996481698135452,1.4869545908708937,1.3943212386175006,1.5166182814850224,1.4085833395325311,1.497074276305675,1.4073534035685578,1.5013362567567332,1.4127792330259392,1.5001548998470156,1.4242758559236237,1.490958296628775,1.8608288682207244,1.9345245639298057,1.8138312107690173,1.9445267108267583,1.4299572159450162,1.5240464487475889,1.3864493532516755,1.460802104372609
Kyurem (White),Steel Wing,Blizzard,30,1.4582629804566087,1.4416532701705618,1.4887641715211632,1.4768439113517688,1.4600259338559867,1.4670777165620217,1.6524968946160037,1.6583333517316308,1.4842350363906056,1.4958424656439915,1.4431056032096683,1.440922455755193,1.5512745749889694,1.5055825783708223,1.4987156106956538,1.4519767118313913,1.2242400945231204,1.2254916299144463,1.5074493580147392,1.5284339111244105,1.2100260206121785,1.2029007871496054,1.5021241632892663,1.4936004726629115,1.4937404673007617,1.5704915690230454,1.4576869101575132,1.6203579756031428,1.4213286913741885,1.5171908212201013,1.4949189244610153,1.6236938385236275,1.452621218292999,1.5332754348761188,1.5017822572778838,1.5794941248555519,1.178084673577351,1.178423271980542,1.2097924626410146,1.2459683701968873,1.4912182300958787,1.5878828885933893,1.4532782357784586,1.5197229917871997
Mega Ampharos,Charge Beam or Volt Switch,Zap Cannon,40,1.1988280480437714,1.162480634587479,1.1836056066090956,1.1714004515165723,1.1504654897023054,1.1786090774131706,1.2844585443692644,1.2893065653817515,1.1556441638364296,1.1813287674108572,1.1631222872023563,1.1679276871946418,1.169893245966947,1.1558288821483318,1.2339083852873474,1.184799876854758,1.2123116397238225,1.1949204198729129,1.135981900427095,1.1861760262835046,1.1613926957887992,1.1866936846584417,1.168615172027373,1.195038066892107,1.1958164691684938,1.2632961170342074,1.138484099463506,1.2010232893802173,1.1592101527978218,1.224722737168901,1.185620623499793,1.2724848294605788,1.1318031158783703,1.20878002593765,1.1633475941311058,1.2123171161366468,1.1576323552883374,1.1914526061301067,1.1835418218390206,1.2297762585228955,1.159639198365349,1.2294820422727142,1.197883614081141,1.2418563887025036
Vikavolt,Spark,Discharge,50,1.186181967889694,1.1696813037337848,1.2443607477988103,1.2344517164335969,1.2286522144047025,1.2197825256908141,1.3001142027079866,1.3254833864268418,1.2278043385291049,1.2436487945278285,1.20064220368737,1.200661833385002,1.2236839431170818,1.2256312960663915,1.206227837085704,1.1996457261657525,1.228715581129765,1.2145301957823635,1.2519154532840249,1.2557640978504152,1.2193619189436178,1.2094261751694746,1.2394082474061248,1.2307673880704901,1.2334518107742247,1.298953076473869,1.2142474576686488,1.307915606133911,1.212202401321173,1.2450741374436491,1.2481885516388405,1.327056414359412,1.2065374647736262,1.2684498010190326,1.2957322935156375,1.2865272553108151,1.2346358724454225,1.2098102700320736,1.193930665682525,1.263776341620937,1.21991665171839,1.2975435159092763,1.2326345267090868,1.2629945558748583
Mamoswine,Powder Snow,Avalanche,50,1.12901377168198,1.1619264309475659,1.1306695428295304,1.157595558947246,1.141240419807229,1.1631626999576847,1.2334928336443243,1.300850651750242,1.1387069830284644,1.1798829659953842,1.197281774494659,1.1928175186424301,1.1712092500986448,1.186281828559422,1.1782524555297724,1.1900854430106642,1.1384751690700956,1.1745171319861747,1.1543394259182018,1.1968317529812365,1.1466835914033122,1.1879324607792192,1.1474833253400603,1.1890926777091422,1.175487026012983,1.2742193559251145,1.1427775783399587,1.216427275789063,1.1448826863850745,1.1979582124489807,1.192246602625263,1.2532697023455563,1.1267784862542383,1.2200066215266476,1.1952203798270231,1.2250512638227402,1.1147147780820603,1.159433131584965,1.150555091863052,1.2450310731684366,1.177110171232294,1.2182692170192668,1.1595466536139498,1.2326946306829736
Shadow Electivire,Thunder Shock,Wild Charge,30,1.1951885505718338,1.070342798687716,1.2196949122082035,1.119203927033183,1.1034339111702032,1.0968027434844827,1.2443345426285668,1.2451202792181324,1.1785350344346417,1.1559058188214049,1.2447984583310594,1.1171459719954233,1.2051444989194884,1.1162397019900314,1.2745537042593016,1.1195941554293531,1.3317435095232968,1.141929614268854,1.0983952823739014,1.1136950575522886,1.1572985379896537,1.1137030378986827,1.140402019959627,1.1089747007298443,1.1596215165914057,1.1715636971591763,1.0754173149679997,1.1366175001716345,1.1097936411110945,1.129878644508255,1.1398699718519396,1.1628393512994732,1.136837008327053,1.1357654980156748,1.1449828068027055,1.1502651271262778,1.1255265627024706,1.0934843851288847,1.1271508492192144,1.147509625013977,1.1136732659140738,1.1384147200009325,1.14044970122599,1.1343400536886417
