Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Ground),Groudon,Groudon,Groudon,Mega Aerodactyl,Mega Aerodactyl,Mega Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Claydol,Claydol,Claydol,Donphan,Donphan,Donphan,Golurk,Golurk,Golurk,Hippowdon,Hippowdon,Hippowdon,Marowak,Marowak,Marowak,Nidoking,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidoqueen,Stunfisk,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Gyarados,Waterfall,Aqua Tail or Hydro Pump,40,1.172554681955833,1.2374458098831531,1.1714427745339826,1.110980697281727,1.1249644075091878,1.1961642883157302,1.1486859478151523,1.191427224143351,1.1491480666457088,1.1328717441477085,1.1907102678616033,1.1333013617880088,1.166713299070788,1.234187933497283,1.1737744267895798,1.1512256176566509,1.2018545124412754,1.1607802349871754,1.1629073482428114,1.2142917997870075,1.17741214057508,1.1678137038479852,1.2181881140977364,1.166748907068346,1.1203254998002536,1.1713911034686397,1.126795546523544,1.1887635464858357,1.235714134820542,1.1924393180809938,1.160790918519787,1.2067692424804697,1.1597918034502774,1.1388369333016852,1.2222074531212912,1.1315167339188228
Samurott,Fury Cutter or Waterfall,Hydro Cannon,50,1.2472474582463833,1.317288842983917,1.2469734336684866,1.244965731880939,1.216362612985465,1.2617653875442838,1.1861867337315308,1.282631248035209,1.196736875196479,1.1996623005525082,1.2789517329576676,1.198613234221543,1.190679900452089,1.2859867171278365,1.1892882913396263,1.2126695636078377,1.2734700713070612,1.2078746264973161,1.2534504792332268,1.3265921192758252,1.2520447284345047,1.2422196251569062,1.3059948924382117,1.234514998052201,1.2172111927465998,1.2924374272662533,1.2249578795616,1.2505862221940554,1.3233517121913092,1.249255339375119,1.2387504400863996,1.3097351869296718,1.2421569467043476,1.224732969380489,1.316752907666746,1.2246665084262995
Kyurem,Dragon Breath,Glaciate,50,1.3532633516719013,1.4121347217245281,1.3557014677880597,1.2798496838062445,1.268183624143297,1.2975830215541504,1.344690348946872,1.4332316881483809,1.3548035209053757,1.271258579863921,1.385426969996703,1.268560980727153,1.3202615341570088,1.405959621246705,1.325319922835643,1.2868236185909585,1.36337514212934,1.2895560276061453,1.3248455804046857,1.436304579339723,1.3285942492012779,1.3106090118166474,1.3653205211444401,1.3123490455784963,1.2778212009101488,1.3584145345908671,1.283431469612492,1.3365654773221793,1.4199252170606502,1.3376534212138496,1.364353477396211,1.4446537828399608,1.3682262377132635,1.3618229290291954,1.4559886066935677,1.3583099928791835
Kyurem,Steel Wing,Glaciate,50,1.4528431806524595,1.5098736676433184,1.449871067922964,1.3708058802105751,1.3588368705095522,1.3953233122537496,1.1607922037095253,1.2341402074819239,1.163813266268469,1.1363586408096795,1.1808790176742698,1.1345702324930813,1.428770229873209,1.5078489699147364,1.428512524482012,1.3535120270067782,1.416815773932818,1.3564030920292987,1.4213418530351438,1.5273801916932908,1.431150159744409,1.363493918538718,1.4199974029346838,1.364671254815392,1.3270543483924755,1.4124763343928577,1.3612978305803067,1.4044827513361642,1.4982254895747513,1.4155523163698587,1.4148706383869525,1.494837905474199,1.4169449915788872,1.6084215523380014,1.7483123664846902,1.6063707571801566
Kyurem,Dragon Breath,Blizzard,50,1.6060018408830619,1.6533887706133232,1.599333909487574,1.5027381385955039,1.4972900043042083,1.5245902724894878,1.5784878968877711,1.689654196793461,1.589962276013832,1.5019532615971787,1.616930931470991,1.4987960714963684,1.5629537455637856,1.6517958384260827,1.56226898552432,1.51438040422025,1.6239588199518744,1.51800304972103,1.5608200212992545,1.689563365282215,1.5641320553780618,1.5377050599489246,1.6297450547547938,1.5430117300783448,1.5096920431452243,1.6161655637191044,1.529684053288868,1.554164818218307,1.6545091577413018,1.5651393201935062,1.5841778234516095,1.6739364182200527,1.5902676676848124,1.5856254450510325,1.7398053643484452,1.5846570140042726
Kyurem,Steel Wing,Blizzard,50,1.7215032004665445,1.767226660483548,1.7148247296642145,1.6154984604178393,1.618400490017548,1.6393735721617058,1.33821125432254,1.4257717698836843,1.3497327884313108,1.2941981636343656,1.351587087492132,1.2956668564977172,1.6751292208461572,1.7674834700399076,1.674805248354367,1.5898213357072974,1.6920222470979174,1.5905705446308165,1.6583386581469648,1.782353567625133,1.6794888178913738,1.6021728779812148,1.6974159200103884,1.6078171666017402,1.5610355548607853,1.6624546228266721,1.6005332360655167,1.6486469358007478,1.7508185985592666,1.6568857342036885,1.6418029745082927,1.7440076884283444,1.6487206569419466,1.920769048184192,2.092219321148825,1.925107999050558
Kyurem,Ice Shard,Frenzy Plant,50,1.3345998187222023,1.3729193454325725,1.173647267131806,1.1836572525908022,1.2218984869052743,1.0452537827368142,1.7288619930839357,1.7798208110657026,1.538500471549827,1.6852001718470562,1.7530198123669933,1.5157909460580083,1.2670858674363468,1.3410104996539385,1.118316226604032,1.2447445197570801,1.306091509259341,1.1025711087410646,1.2866879659211927,1.347891373801917,1.1373801916932906,1.2758949054235382,1.3468121023243735,1.1337921482058608,1.237741649731645,1.2921682038455526,1.0925346950827644,1.719299913386991,1.7753026174028772,1.5498447303377907,1.7122453445995451,1.7648558895454503,1.534840569781051,1.2669641585568479,1.329788749109898,1.1215475907904107
Shadow Mamoswine,Powder Snow or Mud-Slap,Avalanche,30,1.2614001250676279,1.2891310610372182,1.259445065098403,1.3953729761944178,1.2059795384564447,1.3790782372611994,1.2512606098711097,1.271175730902232,1.248230116315624,1.174664548551789,1.2385177192298855,1.1761132591993126,1.1884268190319112,1.2600689177846172,1.1899951404126232,1.1778798268886677,1.2307387199985897,1.2156752135245432,1.236027689030884,1.2719488817891373,1.2321618743343983,1.198433103925897,1.260009522572826,1.204371726615591,1.1566185538359994,1.1973581366265436,1.1581557327219356,1.161839575807508,1.1990303568033462,1.0947778693199823,1.1434729239816162,1.1852930261768149,1.0620498035073695,1.1070496083550914,1.1764443389508663,1.022796107286969
Shadow Mewtwo,Confusion or Psycho Cut,Ice Beam,40,1.2418020980445887,1.323791657005544,1.2412979630839711,1.1479836440088733,1.175686190113565,1.295397808164752,1.1965231059415278,1.2713423451744734,1.192005658597925,1.1798399424512185,1.2402861453306557,1.1809289732138397,1.2913469892647298,1.3867127100298937,1.284307950579469,1.1819960688567073,1.2682873084008357,1.1906163785884905,1.255346112886049,1.2894888178913737,1.2520873269435568,1.2058607107302082,1.2828030991646107,1.2139116132104057,1.1704271099300019,1.2439685269136573,1.17188612717767,1.0587172824640345,1.1044003633521347,1.063280309271817,1.0365580961624465,1.0898727793478158,1.038575357064695,1.1903061951103726,1.2811773083313553,1.1954426774270117
Crabominable,Frost Breath,Avalanche,30,1.6924021416074704,1.6233022772145052,1.6937564553866908,1.740524120120518,1.4668791179684137,1.7410207595271994,1.56349889971707,1.5704369695064444,1.5541527821439798,1.466854499495449,1.5380611255982177,1.4693922409055942,1.5003460615253215,1.5797045959915768,1.5020910951742825,1.5249750998210714,1.5742642327659913,1.5235912668682186,1.5109052183173588,1.573290734824281,1.5243982960596378,1.4985499718651258,1.5637103406484008,1.5049560663117345,1.4654959790179425,1.5404356208639465,1.480529067444809,1.5426938758265205,1.5943448042757251,1.573842871326869,1.5061612095953107,1.5669740134928112,1.5176843367303245,1.4852029432708285,1.5788464277237124,1.4934251127462617
