Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Ground),Groudon,Groudon,Groudon,Mega Aerodactyl,Mega Aerodactyl,Mega Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Claydol,Claydol,Claydol,Donphan,Donphan,Donphan,Golurk,Golurk,Golurk,Hippowdon,Hippowdon,Hippowdon,Marowak,Marowak,Marowak,Nidoking,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidoqueen,Stunfisk,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Abomasnow,Razor Leaf,Blizzard,50,1.3847410467738877,1.402399822937965,1.2390636088334284,1.3608714366122572,1.2560159586796014,1.2306310631394233,1.6560892801005973,1.744086765168186,1.5337598239547312,1.6227057918452579,1.6899659303220134,1.517929043151595,1.2799269589291236,1.3419087870175386,1.1511626194648563,1.2916802552598874,1.3386159907626947,1.186544207733599,1.3405644302449413,1.3886581469648562,1.1923003194888178,1.3109899147296888,1.3749036921611912,1.16181448296758,1.2559619960745487,1.3136626543692356,1.1533357650287461,1.6748843399454971,1.7313623592538607,1.521505376344086,1.6236476263880562,1.7101329298811527,1.5352021542823975,1.2881272252551625,1.3828815570852124,1.150515072394968
Mega Abomasnow,Powder Snow,Blizzard,50,1.4928841438137195,1.568852188332174,1.4923659563106455,1.4430023507598584,1.38966327848227,1.4612108068734895,1.4714020748192391,1.553803835271927,1.4650550141464949,1.3995543965870376,1.484858475956399,1.40403041293249,1.4588186784867538,1.5699559691931613,1.461984773292886,1.3906375327228016,1.4812829982459699,1.4029421875137724,1.4563578274760383,1.5198828541001064,1.447710330138445,1.4128381595463793,1.502869757174393,1.4141626628576376,1.3471766279332325,1.4586090702238896,1.3464123808035016,1.4516868411601918,1.525793776538437,1.4598200139425819,1.4534555108332619,1.5125365152769452,1.4594597166319354,1.3679373368146215,1.4978779966769524,1.3511891763588892
Mega Abomasnow,Powder Snow,Avalanche,50,1.3131310469846758,1.3809117289545612,1.3138108387259966,1.2742310366519882,1.231955434890574,1.2936777803529451,1.2784501729016031,1.3430556428795977,1.2787613957874882,1.2444524373307757,1.3252705092467705,1.2420345892155982,1.2834317522493999,1.369129839339096,1.2865389429661154,1.246754162516637,1.3255973839387236,1.2456523846879326,1.2684664536741215,1.3354206602768903,1.2687646432374866,1.2549798727437995,1.3131368220577415,1.2513180106479678,1.2326350893648064,1.3030847793236413,1.2276327445156583,1.3107294505355218,1.3587468576377886,1.3088176268035574,1.3011618280951158,1.3549617957428182,1.3002578668417497,1.2444054118205554,1.326437218134346,1.2407215760740564
Swampert,Water Gun or Mud Shot,Hydro Cannon,35,1.3972952368907345,1.487837524504121,1.3956616288301962,1.3721451511439262,1.3651955103797637,1.3902360692646427,1.3041810751336058,1.417896887771141,1.3097736560829927,1.3515770963842182,1.4548252055670454,1.346541577995584,1.3938842829163414,1.4972683228533141,1.3960490082023944,1.3657285395714527,1.4632226560778474,1.3618502816144131,1.3979978700745475,1.5038871139510117,1.4011288604898828,1.3777171795870666,1.4696273211271265,1.3729299225208849,1.3483837910131484,1.4487346499227067,1.3489222378545498,1.410144284597672,1.5022392631556711,1.3500538690664807,1.432531186663241,1.5107381081518274,1.3140742009458288,1.3398148587704724,1.4599287918347972,1.2903868976976027
Shadow Mamoswine,Powder Snow or Mud-Slap,Avalanche,40,1.148886687323904,1.1904154634177189,1.149396091987943,1.2368059464291628,1.0836440088732908,1.29895540178128,1.126416221314052,1.1690191763596354,1.1218107513360578,1.0517439478863813,1.1259479063633366,1.059387145440558,1.0808458627240196,1.1537543993991783,1.0794100755444946,1.086326496434647,1.15704300459221,1.0948410354948745,1.1254206602768904,1.1877316293929712,1.1304153354632587,1.10017746612994,1.144639224343159,1.1094403324243605,1.059281260312994,1.1235735501016102,1.057309850103347,1.048482159832689,1.091503475082916,0.998373365443522,1.0313722131826097,1.0848296270921944,0.9697315710846584,1.0127225255162593,1.0794113458343224,0.9524329456444339
Shadow Swampert,Water Gun or Mud Shot,Hydro Cannon,45,1.107563429663512,1.1806067887832608,1.1070575381350871,1.0359500711849816,1.0283465218686885,1.063521835579247,1.0369695064445144,1.1339673058786546,1.039685633448601,1.0387155431665818,1.1223610986222263,1.0363076861593183,1.0991503085101684,1.1848852106557497,1.0972580146376663,1.0402633689721736,1.117158647193111,1.03938194670921,1.0745260915867945,1.1584771033013843,1.0763152289669862,1.0935809202268105,1.1864606328182488,1.0918841708868978,1.0377954944157852,1.111632188699564,1.041052229343616,1.080518410545662,1.1595369372795066,1.0237446394997571,1.0932507398209206,1.1598203495951205,1.026643068520263,1.0875195822454309,1.1647851887016378,1.0148207927842392
Avalugg (Hisuian),Powder Snow,Blizzard,35,1.829953696872607,1.9138948026671727,1.8292580960210227,1.9508790517498262,1.769898685561037,2.0311243916167268,1.78055957246149,1.904391700723043,1.79231688148381,1.7262436431575898,1.8652199542407257,1.7477744807121662,1.7684038464370389,1.8818973007201025,1.7731456256350597,1.7454805073466546,1.8865521405339658,1.787462649731607,1.814909478168264,1.8731203407880723,1.8313951011714589,1.7961650002164222,1.8791758646063283,1.8219365450374412,1.7020738888020426,1.8353742205547738,1.719920796206555,1.7881361302997656,1.8630563829562499,1.808511312503961,1.7576432302817504,1.8526448003197167,1.7868554518378958,1.7043057203892713,1.8763351530975552,1.714531212912414
Avalugg (Hisuian),Powder Snow,Avalanche,35,1.6034987317580434,1.679180455723952,1.6053659633369168,1.6961013806575507,1.5546535112406052,1.7702380558222695,1.5782364036466519,1.6440207481923923,1.5780697893744104,1.5370420325909941,1.6412193148098193,1.5473228826344554,1.5818325062217444,1.6605578217267734,1.5722900437362863,1.5598177218760192,1.6531250826333372,1.5905529161855572,1.596730564430245,1.6568051118210863,1.5924600638977635,1.5640566160238931,1.6469116564948276,1.582989222178938,1.53895923436333,1.6298872735483647,1.5476612300904937,1.5828844244459936,1.6572765489997254,1.5981156389293787,1.5562882399398628,1.6277106943373965,1.5788206636027138,1.5372798480892476,1.6510989793496322,1.5414194160930454
Avalugg (Hisuian),Powder Snow,Glaciate,35,1.4854521054221737,1.5490117549517648,1.4863022842407763,1.599384167135715,1.4298480283415556,1.6717660497301594,1.450006287331028,1.5308362150267212,1.453549198365294,1.3983754458531907,1.5128635514392192,1.4139815564147908,1.4317007083216753,1.5252993064043472,1.438747110018113,1.4327607026698281,1.5211497271998098,1.4603668479458456,1.4707667731629392,1.5238871139510117,1.4671458998935036,1.4351382937280874,1.509145998355192,1.4602259446825088,1.383495735848401,1.4703420005905545,1.3918156080106994,1.4421382850624247,1.4925745188752984,1.4607917696516468,1.4383736309744701,1.4804221023284139,1.4639985536619946,1.3992214573937811,1.4862378352717778,1.4039876572513648
Mega Swampert,Water Gun or Mud Shot,Hydro Cannon,45,0.9668869402696684,1.0480719911750034,0.9676106462061649,0.9775154785948416,0.9570853888686555,0.9729795053471509,0.9383338572775857,1.0160515561144294,0.9353725243634077,0.9448291020991318,1.0146869286335163,0.9444294577825736,0.9817250062585595,1.0494352570427201,0.9821962389738907,0.9798418728460244,1.0452962900936953,0.9825390249706928,0.9811927582534611,1.0489776357827476,0.9814802981895634,0.9877418517075706,1.0559148162576288,0.9864000346275377,0.969308530040123,1.042189915411738,0.9684661212721241,0.970593827238735,1.045207765595623,0.9273506981853519,0.9820254441304368,1.0359491117391262,0.9298050298307213,0.97846665084263,1.0421837170662236,0.9222027059102778
Darmanitan (Galarian Zen),Ice Fang,Avalanche,30,1.1576062899180035,1.189893762779031,1.1595191922598598,1.1743849948680596,1.0831655795781876,1.2363357944575042,1.4917981766740018,1.233549198365294,1.4925055014146493,1.265064092957268,1.1824176482930193,1.2808100790296637,1.1303694759008645,1.1778829870263743,1.1432473824495266,1.1207107789128539,1.1383215957268649,1.1233374172564852,1.1578168264110755,1.1808413205537807,1.188381256656017,1.1835519196641129,1.1957494697658313,1.2336752802666322,1.1145241693154777,1.1409254337970924,1.1246764976638355,1.1654202843441706,1.189059298223377,1.2388829034370576,1.197929452960711,1.1762914751696116,1.2102423567697183,1.088820318063138,1.174763826252077,1.0795062900545929
Clawitzer,Water Gun,Crabhammer,40,1.4564827891486267,1.4867115645398143,1.4521510929364896,1.344265470317518,1.2678210773764196,1.4096331490249314,1.3522885884941842,1.4092801005972964,1.341147437912606,1.3095644876060306,1.3731478983704504,1.3162485388004677,1.3210788283976616,1.3882589423770746,1.3213733488447434,1.3115739557349742,1.377751139238275,1.3238786105259448,1.370468583599574,1.4303514376996804,1.3800958466453674,1.3872310955287193,1.4562957191706705,1.3965545600138511,1.3086776787730359,1.3705209038959234,1.301017838222778,1.3833048144157847,1.4311637830872257,1.3962756406193886,1.3783791498958065,1.4330830787968751,1.381252795143349,1.3606076430097318,1.446256824115832,1.3647282221694754
Mega Blastoise,Water Gun,Hydro Cannon,30,1.1897743161681529,1.2562867561813622,1.189270181207535,1.1626378174353542,1.1551650498294872,1.1642270635367349,1.1112574662055956,1.2112354605469977,1.116460232631248,1.1657524802925396,1.242943780035768,1.164053991947167,1.1738775089460585,1.2523377560487137,1.1765061039362659,1.1724678941940716,1.2509497324883432,1.1708460772302187,1.2111395101171458,1.2908093716719915,1.2159637912673056,1.182850712028741,1.2481149634246635,1.1784530147599879,1.1566098692095252,1.233182220832682,1.1593194726694804,1.2215603016667722,1.2729577286266558,1.216416333945962,1.172466291760631,1.2197291922392548,1.1704966077664545,1.1564870638499882,1.258124851649656,1.150505577972941
Shadow Feraligatr,Water Gun or Ice Fang or Waterfall,Hydro Cannon,40,1.1585232183132734,1.228847410467739,1.1580629975478314,1.157767440320498,1.118667019832467,1.2177002284541272,1.0996573404589751,1.1766299905690034,1.0968972021376926,1.118744317557374,1.1836965101060057,1.1197534194566836,1.1408691298393392,1.2049052380461514,1.1382258088267778,1.1355363013759003,1.2074779864789826,1.1347606497844924,1.1273588924387645,1.207444089456869,1.1256230031948882,1.139929879236463,1.20283080119465,1.1499805220101287,1.1309294287252705,1.1945356330224237,1.123295642054435,1.1439465956862496,1.211356866721592,1.1487314362971883,1.136022380177557,1.199889621573273,1.13413833461791,1.1221362449560883,1.216396866840731,1.12209826726798
Kyurem (Black),Shadow Claw,Glaciate,45,1.1572655157634395,1.2067322217772252,1.1562765680880813,1.1020213223851936,1.0907724398238585,1.1096861238949773,1.1109399559886828,1.1627632819867966,1.1160672744419993,1.0864230834557245,1.1762831080338498,1.0824466225059697,0.9502334074543125,0.9960902410649859,0.949298305034827,1.0805179237217175,1.174028011599517,1.0961807973345792,0.9840468583599574,1.0181895633652822,0.9861128860489883,1.1502229147729732,1.1969527766956674,1.1629745054754794,1.0828165980581175,1.1497490142948952,1.0847793236412901,1.166740604601052,1.2126560618543634,1.1611530092739295,1.1460801385439563,1.1965877841530834,1.1495437374515904,1.1358556847851888,1.1958509375741753,1.1389983384761453
Kyurem (Black),Dragon Tail,Blizzard,45,1.2748185465455337,1.3305649824694534,1.2742459054404418,1.2106512598086283,1.209750687017846,1.2353342383206967,1.2591637849732789,1.337909462433197,1.266702294875825,1.2323432145390603,1.301881325620198,1.2308945038915367,1.2468449497106338,1.3228606771025078,1.244429882044561,1.234431879280407,1.2967748759398166,1.2378165407701869,1.2594355697550585,1.3382854100106496,1.2659105431309903,1.2614292516123449,1.324330173570532,1.271324070467039,1.2114098622618241,1.2704913761659111,1.2176020009379396,1.2546950588334707,1.3133067156769547,1.258233517121913,1.23966391672138,1.308364971977201,1.2470859143805961,1.2469878946119155,1.3113410871113222,1.2357559933539046
Kyurem (Black),Shadow Claw,Ice Beam,45,1.2569946530075955,1.3431191725863003,1.257537432459968,1.1420653577459192,1.2179568254809126,1.134064496904281,1.175592580949387,1.2802326312480352,1.167934611757309,1.1979638122071357,1.2983844378503133,1.1979837944229637,1.09739791185003,1.1696585035416083,1.0923837012384585,1.2062528095334633,1.2912219156831464,1.2083065234061683,1.1008945686900957,1.1641427050053248,1.0950798722044728,1.245916114790287,1.3570445396701727,1.2548240488248281,1.1984437149358205,1.2814774286557935,1.187857155263752,1.257821577201766,1.354384519509052,1.2633669222806685,1.2658883084506103,1.340869515571922,1.257657503354172,1.274056491811061,1.386166627106575,1.2648184191787326
Kyurem (Black),Dragon Tail,Avalanche,45,1.1275777632568174,1.1852616934718914,1.1273019821111134,1.0324537297619443,1.0800566168923618,1.02429063338079,1.0916818610499843,1.1596353348003772,1.08937755422823,1.0856837414700917,1.1651530138177022,1.0841051464196865,1.120628212113626,1.195775104186608,1.1196636576494323,1.0884683525336483,1.1636536715644366,1.0872519898107587,1.134174653887114,1.1936954206602768,1.1343556975505857,1.1103319915162533,1.1863913777431503,1.125343029043847,1.0812359960398104,1.1530839108609938,1.0748875340871589,1.1265606185436339,1.1859961552274119,1.1304793290660582,1.1182381319402814,1.1943136079472467,1.1213686924914124,1.1281177308331356,1.1817422264419655,1.1235699026821742
Kyurem (Black),Shadow Claw,Avalanche,45,1.1868794924221666,1.2544458731195942,1.1858220386023341,1.0807949541436281,1.1342896401019766,1.0653643677780353,1.116755737189563,1.2009933983024206,1.1109965419679346,1.123829791485578,1.211721567804654,1.1248289022769735,1.0294299556746727,1.0937973993844523,1.0283696820651773,1.1284761090495625,1.2111799599834294,1.130732550042749,1.0302342917997869,1.0937593184238552,1.0282534611288605,1.1705406224299875,1.268043111284249,1.1846253733281393,1.1297743734041998,1.2066593715804284,1.1222274329981068,1.1875171641633395,1.2663561273422481,1.1859539049791918,1.183294796037795,1.263452370757329,1.1860161951795076,1.201898884405412,1.2989223830999288,1.1953857108948494
Kyurem (Black),Dragon Tail,Ice Beam,45,1.206953549320911,1.271950071316653,1.20482458913879,1.0882594444260505,1.1558073701287952,1.0898867662152767,1.1548883998742534,1.2504715498270984,1.1539421565545425,1.1519048047237959,1.23794822607879,1.1493970366373927,1.1938312692358666,1.2735137761939122,1.1889348668031279,1.1625430795131024,1.2412805302636334,1.1593964020343226,1.1981789137380192,1.2721938232161873,1.1991586794462195,1.1855170324200321,1.2677574340994677,1.1977924944812364,1.1526670487902315,1.224063363034756,1.1413683497472773,1.1974776601812536,1.2715740329974439,1.1958193379386104,1.1898413785884883,1.2701226532690093,1.1875005947113508,1.1983574649893187,1.2676762402088773,1.1897270353667222
Kyurem (Black),Shadow Claw,Blizzard,45,1.3731476992474865,1.448019645454354,1.3707306619450126,1.298422342151442,1.2984273085455087,1.3172896732112704,1.3050675888085508,1.4002232002514932,1.3103678088651367,1.2975751581092827,1.3947386825725105,1.2941482080947957,1.11457581692609,1.1677514836467522,1.109355442001561,1.2848580469445499,1.3680907512361948,1.290269979639146,1.1226198083067092,1.1758998935037273,1.1273056443024494,1.3553564472146475,1.4456823789118298,1.3663680041553046,1.2711514077779513,1.3398207493095722,1.277829885536623,1.3532543253691616,1.424530494116653,1.3544584574434375,1.3428677457109417,1.4220071745977372,1.3411074001122814,1.3506384998813197,1.4395917398528364,1.346489437455495
Kyurem (Black),Dragon Tail,Glaciate,45,1.0902735327389108,1.1440157247950087,1.0901962437554016,1.0383653941661424,1.027932655696454,1.0664619408668015,1.0763502043382585,1.1300660169757937,1.0768311851618988,1.0537421694691724,1.115736994075273,1.053832089440398,1.0662229225263964,1.1336681049081831,1.06444107382155,1.0460014279040661,1.0934924594325404,1.0488219791455493,1.076517571884984,1.1359531416400426,1.0719914802981896,1.084716270614206,1.1309180625892743,1.0960221616240315,1.0186198391607177,1.074687787678252,1.0301617077449499,1.078733337558358,1.123317911992733,1.0796417178950926,1.061383726794363,1.1346331344618577,1.0688437859800366,1.079981011155946,1.141352955138856,1.0749299786375506
Shadow Piloswine,Powder Snow,Avalanche,30,1.7939844578880435,1.7567996739810152,1.7941618712365537,1.8801724994205875,1.6254511141277357,1.8547611164453863,1.6748349575605155,1.700899088337001,1.7142219427852876,1.6108863111830471,1.668425101659523,1.6103967468952634,1.5915516809754517,1.69459702239828,1.6162913985303429,1.6523229883740405,1.7010744537385527,1.6499784051545574,1.6794036208732694,1.7083173588924387,1.662364217252396,1.617391680734104,1.699311777691209,1.6481755616153748,1.56065343129592,1.6464488562346933,1.5979799558820975,1.6698988106555126,1.7037835097281198,1.6755075311067453,1.6024188100063752,1.655999923876947,1.636950129884959,1.5510657488725375,1.6655589840968432,1.5547400901970092
Empoleon,Metal Claw or Waterfall,Hydro Cannon,45,1.3228501366609755,1.403255271459989,1.322254660174392,1.3065705393503957,1.2623067244975665,1.3191851802801047,1.2150550141464949,1.3015561144294248,1.2095064445143036,1.2044080768116376,1.2746655476625803,1.2031491972144792,1.3349507414552255,1.413742324060848,1.3346856730528516,1.2974447568596688,1.3504623059769245,1.3273426000193913,1.3322470713525025,1.396038338658147,1.3253993610223642,1.318166471886768,1.3839241656927672,1.3368999697009047,1.2565959738071666,1.3267590710923522,1.2575252288399075,1.3372942941039778,1.4045144390223292,1.3430720155480913,1.3178232613018945,1.3842882018783362,1.3199071298754437,1.2937479230951816,1.3909613102302398,1.2913458343223356
Shadow Swampert,Water Gun or Mud Shot,Hydro Cannon,40,1.1370895779318875,1.209031569036628,1.1363851942412682,1.1179651028043571,1.111460782041519,1.2094195940800583,1.059399559886828,1.156164728072933,1.0582772712983337,1.1043171577296207,1.191659423113429,1.1037476645785251,1.1215854035666426,1.2084173943776046,1.120053897241816,1.1099750557499581,1.1923792231144175,1.11234608163733,1.1013418530351438,1.1894249201277955,1.1066240681576145,1.1248409297493833,1.205263385707484,1.1286239882266373,1.10630851267087,1.1900804196411512,1.1068035363799003,1.1095548936350002,1.1753702178000296,1.090288780446585,1.1109112880972092,1.1893751248893836,1.0783306214495731,1.1031948730121055,1.213007358177071,1.0689864704486114
Mewtwo,Confusion or Psycho Cut,Ice Beam,30,1.5973402050265946,1.6992597823261175,1.5984240073635323,1.491648180644307,1.562750389034202,1.6959772208058803,1.5363533480037723,1.6387582521219741,1.5319207796290475,1.538670583180969,1.6244442446222862,1.5377114368212292,1.6838764781244937,1.8013754104878732,1.6808355545083717,1.5673803248922462,1.6715291794840155,1.569248940089729,1.6426411075612353,1.6840149094781682,1.6469329073482428,1.5684629701770334,1.6642600528069948,1.5733714236246377,1.5481041460406788,1.6417938964445138,1.5501971410209647,1.35596890381731,1.4142953714853075,1.3615564991444324,1.3354267172884968,1.3912439458384478,1.3318584491831045,1.533956800379777,1.6365060526940423,1.53749821979587
Mega Abomasnow,Razor Leaf,Weather Ball Ice,40,1.355834966941394,1.4077889729699347,1.242792802287754,1.3071665066384135,1.2627570108929578,1.2020991292255736,1.5190066016975794,1.639965419679346,1.4342785287645394,1.5207765089070728,1.6246940223201352,1.447062114717901,1.301949725359683,1.379651582311102,1.2270458126555437,1.2898645253981826,1.3479149956369598,1.1998977550174963,1.3314696485623003,1.3968051118210862,1.2163045793397231,1.3196294853482233,1.3893606890879973,1.197922347747046,1.2720719781842182,1.3338978340541572,1.1772619109652094,1.5950524959334136,1.686651034074825,1.4795614424234742,1.5796199556583217,1.6638501137088102,1.4948759670006566,1.3061951103726561,1.3933728934251128,1.1869641585568478
Mega Abomasnow,Powder Snow,Weather Ball Ice,40,1.390922408886828,1.4529924889160573,1.390697568207528,1.3940933019898687,1.334794556832103,1.418746482137536,1.341141150581578,1.426120716755737,1.3468028921722728,1.3296865789447392,1.4096953711197036,1.332464106944819,1.3820813759995287,1.4497989897948664,1.3864770936722282,1.3647854177500816,1.430416119450345,1.3677293681083798,1.3849733759318423,1.4513099041533546,1.3812779552715655,1.3752932519586203,1.4460632818248713,1.3753278794961694,1.3380577701353065,1.4080732287704305,1.3414360898337763,1.379734668441177,1.4438705452394534,1.3796396053826816,1.3671034226827667,1.4314654639224305,1.3736214590886167,1.3584998813197247,1.4355281272252551,1.362221694754332
Mega Abomasnow,Razor Leaf,Blizzard,40,1.5088267532303283,1.5233166810705228,1.3389086795528482,1.4606992682846076,1.3399132536502998,1.3079975499122605,1.7732505501414648,1.8868594781515247,1.6401571832756994,1.732677916654178,1.8209293728581564,1.6154522474997253,1.374872988057196,1.437436494028598,1.2774161721177493,1.3715547407296413,1.430706988797123,1.2533912721567522,1.4320127795527156,1.4878487752928646,1.288817891373802,1.4115569406570576,1.4623815088949488,1.247344500714193,1.3324388168064891,1.3966876834627342,1.2164035224844978,1.793934976867989,1.8784037856222406,1.6313877094027927,1.7873692824450724,1.83763904351384,1.6415555745863186,1.367044861144078,1.4591407548065511,1.2130643247092334
Mega Abomasnow,Powder Snow,Blizzard,40,1.596908089346065,1.6679313954877286,1.5952534024718423,1.572229579843062,1.5192447770089064,1.6157451246564911,1.5600440113171958,1.649050613014775,1.5566802892172271,1.488745016934928,1.5833807910959248,1.488275434862972,1.5372641995670548,1.635221700266541,1.5387883428807045,1.5101848342485436,1.6261094902735054,1.5046230597692438,1.5794781682641108,1.6377742279020233,1.5573908413205537,1.5462494048391984,1.6359780115136564,1.5455395403194392,1.4615965817310197,1.5748180570753652,1.4679450436836712,1.5528973107717008,1.611794156790671,1.5602911042102372,1.5101576698733503,1.5977848191601725,1.5228321581837039,1.4783004984571564,1.611212912413957,1.4647139805364349
Mega Abomasnow,Powder Snow,Avalanche,40,1.3916601673657807,1.4596744728540012,1.3930109680093872,1.3942240837002948,1.3401019766248385,1.4231185643810218,1.3512794718641936,1.4313580635020433,1.3528167243005345,1.3236119853330537,1.3977959615941813,1.3253304558942542,1.3658238473206001,1.4391299865993197,1.3701091198256439,1.353979180806149,1.4144800049359647,1.3583951063435962,1.3754313099041533,1.4329605963791268,1.3753993610223643,1.3581353071029738,1.429641172142146,1.356629009219582,1.3395167873829745,1.3987980476959685,1.3448230941587203,1.3809704882016183,1.4351353064199253,1.3847307602932166,1.3636493391567468,1.4358996317547315,1.3691872912563159,1.3295229052931403,1.4057441253263707,1.3347258485639688
Palkia,Dragon Tail,Aqua Tail,40,1.5136432621572058,1.5811955903121773,1.5142036072876486,1.3332400754891898,1.3955732874217794,1.340686355660034,1.4441496384784658,1.5400345803206539,1.457340458975165,1.4292979248468862,1.5134830001298845,1.4298874002138098,1.494094865036005,1.5786443223820814,1.4992268838264096,1.443320141380131,1.521211426758217,1.4369386441962753,1.466038338658147,1.546506922257721,1.468604898828541,1.4934250963078388,1.5685408821365192,1.4893563606458036,1.4207701526757333,1.50105083980338,1.419953797787157,1.509147178739675,1.580106470625515,1.5021547626592306,1.4632658692776874,1.534241100739345,1.468870429048557,1.4615903156895325,1.5477142178969856,1.4530358414431521
Weavile,Snarl or Ice Shard,Avalanche,50,1.3109107452765894,1.3544384955348048,1.31147811667826,1.261947488660067,1.2280518491540575,1.4084975002483198,1.2835994970135176,1.3334643193964162,1.293819553599497,1.2602583700506549,1.3199052842969758,1.2580203618779287,1.1539163856450734,1.2040879438054988,1.1616475473809769,1.2506853058094543,1.3137158118339753,1.2682696799555764,1.188136315228967,1.254675186368477,1.2071033013844514,1.2790892957624551,1.333064969917327,1.2787083928494136,1.2246278637555799,1.2765879839508103,1.2264603199416393,1.2853264887931217,1.325971227580962,1.285981367640535,1.2790575966049118,1.318337091909071,1.2774209509672385,1.243057203892713,1.3153857108948492,1.2437882743887967
Shadow Mamoswine,Powder Snow or Mud-Slap,Avalanche,35,1.2214452337289126,1.2383539554393879,1.2214487468645265,1.3298248518359104,1.1515478594841573,1.3439310664503528,1.1892549512731845,1.2125998113800691,1.1889405847217855,1.1110311822477994,1.19787389223591,1.1161066650680895,1.1419146774264803,1.2077989014387325,1.1397352261180733,1.1350603333539,1.2018104413281272,1.1602425674067676,1.1726411075612353,1.2115335463258785,1.1711927582534611,1.1340691685062547,1.1924771674674286,1.1386313465783666,1.1161221405867334,1.1658242578986677,1.1141594150035607,1.0972178211546992,1.1408728901282295,1.0573335868348226,1.072383507940586,1.1156309173779415,1.0123795114803078,1.0648563968668407,1.1289057678613814,0.9842012817469736
Gyarados,Waterfall,Hydro Pump,45,1.417492253535971,1.4680603275647648,1.419326110326511,1.262454060854882,1.3035625600105951,1.2684236665231932,1.3805092738132663,1.4327695693178246,1.382895315938384,1.3578615032620969,1.4208054831200232,1.36539479862922,1.3771776105556128,1.447700531609407,1.380108089004079,1.343737054110513,1.409614554044406,1.3484085921042195,1.3911075612353567,1.4403727369542065,1.3913205537806177,1.380695147816301,1.4567978184651345,1.3791715361641346,1.3245010682090563,1.3764785576572351,1.324891876400396,1.3671546570336102,1.4221644802163214,1.3641443268479203,1.3748203971720285,1.4429600449126012,1.3748489433168716,1.3470211250890103,1.43531924994066,1.343612627581296
