Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
(Boss weights),,,,5.555555555555555,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,5.555555555555555,0.0,5.555555555555555,0.0,1.8518518518518516,0.0,1.8518518518518516,0.0,1.8518518518518516,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,15.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kyurem (Black),Shadow Claw,Avalanche,40,1.1188871019892408,1.1505323174506548,1.1220016016888352,1.1858740319886243,1.129701999014288,1.1653516845533287,1.011541163445884,1.0748045482587074,1.1885509402007728,1.2255635059366374,1.064827594890422,1.115970015316563,1.064827594890422,1.115970015316563,1.0221275818166335,1.0241222905404506,1.010562130047955,1.0334883542606221,0.9988808937883239,1.0319158594265405,1.1158581089164668,1.1467722249979488,1.1365609836543766,1.1602987439618087,1.1656515021284122,1.1955937105151813,1.0201631598014618,1.0455800955849077,0.9861531044666019,1.006677887326247,1.2086490425663516,1.260616071618174
Kyurem (Black),Shadow Claw,Ice Beam,40,1.1816945108906556,1.2328271147998247,1.2010956365712204,1.2678551549257493,1.2035786765520835,1.2548062887475564,1.0868644031831418,1.1572568251012256,1.2652857141762055,1.3178332160919712,1.1344510393306986,1.198516032551172,1.1344510393306986,1.198516032551172,1.089184677871711,1.101616715974783,1.0780496318990278,1.1078796316925834,1.0681092145807562,1.114114483500134,1.1754493057621125,1.2361767753213373,1.2039449933084068,1.2402245277522577,1.2289046222544249,1.277129992242602,1.092515026156782,1.1262373323548616,1.0557962741676716,1.090059420236312,1.2848104295196097,1.3443376940223473
Kyurem (Black),Ice Shard,Avalanche,40,0.9974251553377638,1.0103837915883165,0.9932221826674849,1.0370195642476627,1.0517154452564383,1.084607802216201,1.0216361839081778,1.1005823030381647,1.0515300700458583,1.055870853763269,1.0530988168814281,1.0994089784594934,1.0530988168814281,1.0994089784594934,1.0050863686417917,1.0178138311458897,1.005312590235612,1.0261710644225184,0.9982075072877017,1.0336744697497042,0.9904673897554603,1.0130194083832815,1.0214996507110203,1.0205319806788355,1.0290801336115725,1.0462615224863454,1.0272213505504706,1.0569242750713308,0.9936387157573552,1.0334579658304872,1.060243473207734,1.0956622992362306
Kyurem (Black),Dragon Tail,Blizzard,40,1.007345243967259,0.999500386313067,0.9944884532603688,1.0426994317796996,1.0522523988407273,1.0944695667348177,1.0024973405427604,1.0895088458233628,1.0548561304115747,1.0423324532352614,1.0557731165598565,1.0839987167558582,1.0557731165598565,1.0839987167558582,1.0023876084681915,1.0129267693146713,1.0156055830055024,1.0170589600549873,1.0226134287029047,1.0419937395530383,1.0121937348278738,1.015160581644423,1.0204097197078787,1.018649777617384,1.0315447786190886,1.0227944373318267,1.0468557904796019,1.0570613496371566,1.0179347849127958,1.0205852569254465,1.0392526897432295,1.0683877686330383
Mega Latios,Dragon Breath,Dragon Claw,45,0.9453571906028261,0.9321324967679208,0.9454474925317727,0.9662940810579999,0.981591005025244,0.9915952732992344,1.0179482705201133,1.0526946288651544,1.0241359124218523,1.007849888810217,1.020914833457627,1.0567052785350661,1.020914833457627,1.0567052785350661,0.9807360321877953,0.9831015771714217,0.9726022898162082,0.9837821888944209,0.9499595048286301,0.9675645759621597,0.9442506007888934,0.9492232861990391,0.9712243800693914,0.9705110600314473,0.9776256715777426,0.9911454738888608,0.9742024737271167,0.9953769943161194,0.9757210101500738,0.9997796648458834,1.0159478456605298,1.043824975149432
Frosmoth,Powder Snow,Ice Beam,45,1.4974631797986064,1.5248133358079916,1.6820180011497194,1.6887295355669563,1.5991902070230792,1.6370899804036703,1.580107335945893,1.6789656234749426,1.5543575841959496,1.5586009634659221,1.5771523259587017,1.6418239484519885,1.5771523259587017,1.6418239484519885,1.5190939375484582,1.5446635361033567,1.480444672158801,1.506928620396861,1.5231717865710892,1.550435417282149,1.521175785965988,1.5532275971974956,1.5397501473225044,1.5301046346867087,1.8018278061644994,1.6282704608885255,1.5569622437187332,1.5916451825251032,1.5457591236499324,1.5659490128221978,1.5416232266267307,1.579848270808327
Mega Mewtwo Y,Psycho Cut,Ice Beam,35,0.9903966985403925,1.0090006830765965,0.921592093382396,0.9496070791043221,0.9430981066313885,0.9537057343435701,1.1277857715803548,1.1813287692073455,1.0233151802991585,1.0557192789515684,1.0985755517858002,1.1381828350094814,1.0985755517858002,1.1381828350094814,1.0440937607577165,1.0676766273870637,1.060343500135887,1.08388025442164,1.1028411058858438,1.1302434880984211,0.99812019943575,1.0272162893357655,0.9343552280062277,0.9417611895979371,1.0321309093240498,1.0658989046568612,1.1287203269209023,1.1676254051474224,1.0635396800113377,1.1159724211611384,1.0524622539338728,1.1239059430019487
Guzzlord,Dragon Tail,Dragon Claw,35,1.5743482305125092,1.571680427066743,1.590209045860771,1.6297486954443507,1.6768140753998853,1.7132199293022903,1.627162387661968,1.7575287971526465,1.6989813160792206,1.6881968142204362,1.6540480293205024,1.7679263461931432,1.6540480293205024,1.7679263461931432,1.5362208023018435,1.5866406166687361,1.5936176795710462,1.6120807738927814,1.5752446534551332,1.6268920157345241,1.5626190814261045,1.6043575324486965,1.6082133426424645,1.61974230322634,1.6040291841362941,1.6153896102595096,1.6551456273265162,1.6777337180754062,1.5307742436805054,1.5791116156841323,1.6621718233491185,1.7310244973174196
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,50,1.3067770771549267,1.3033001459111977,1.285714730566066,1.3048260079034593,1.3365951436003007,1.3680152997578168,1.2947175010461927,1.3645040707124991,1.323460392648264,1.3509861944782513,1.3512102288093557,1.4059912182241654,1.3512102288093557,1.4059912182241654,1.282021399882837,1.3077184574908782,1.2835957544677994,1.301824655119547,1.2989875037903325,1.348037978416606,1.3251162397282943,1.3139590546588984,1.2574764287268991,1.2986276631892397,1.292822740268509,1.3263145183191345,1.3874451475732845,1.3854981566609124,1.3061044587283428,1.322429579661333,1.340040711449261,1.40347260774731
Calyrex (Ice Rider),Confusion,Avalanche,35,1.3045289292052724,1.3443175613870033,1.142213775969752,1.1846821628560107,1.1738918405221914,1.2109671059923264,1.5270403567258057,1.6583911736868358,1.3415222230086579,1.372628174875223,1.3775409716088791,1.4319907098580273,1.3775409716088791,1.4319907098580273,1.3448091551014878,1.3831956015594924,1.4568998299023803,1.5040093992049837,1.4855762617487314,1.5529785712077122,1.362626549217444,1.3896142326958703,1.1317962128452121,1.1649249392331527,1.3875212809341955,1.4210657888913114,1.5000043651030008,1.5718590746384573,1.462589779913162,1.5476264307703675,1.3606405429811177,1.4449595733758314
Calyrex (Ice Rider),Confusion,Glaciate,35,1.2814320580160996,1.275127088748637,1.0823183761931343,1.1102328810191642,1.09849940692215,1.1185861872994087,1.557918567954935,1.587448040852354,1.3136802911094934,1.2982244641030627,1.323867527863737,1.3557222537145748,1.323867527863737,1.3557222537145748,1.2711729542411814,1.3439386092027925,1.45206858563378,1.4693628564817756,1.5332500824324231,1.5175891952594796,1.380209743334044,1.3370496178853095,1.062037090545322,1.0722506646056587,1.383047890594278,1.3689404093771442,1.5129474379092511,1.5545680492953924,1.4773462998774773,1.5224324867771653,1.3293502145289111,1.3744585373877596
Dragonite,Dragon Tail or Dragon Breath,Outrage or Draco Meteor,45,1.1389209244403278,1.117457491357447,1.1315026904079615,1.1394665381934725,1.166137023385897,1.1712584805416228,1.138974369991219,1.2029013239949746,1.1847310096461576,1.1423601772188579,1.188504419873706,1.2048130049396506,1.188504419873706,1.2048130049396506,1.1329465811923503,1.1236894785182276,1.1392647561003184,1.1217922371031945,1.1286528866158585,1.1230037257636334,1.1101022706403785,1.118169161730262,1.1275952446379132,1.114948637943332,1.1580553902623254,1.1553029620000426,1.1987365790517315,1.188396114965345,1.1463481779954348,1.1425891560945565,1.16512011697716,1.1715899273712869
Crabominable,Frost Breath,Glaciate,35,1.558377684218967,1.3612546517461683,1.3944920009533175,1.331185588937604,1.4691953242355427,1.4110271683893043,1.4276334655925385,1.4444639240740103,1.4006556147199278,1.3379455480520517,1.3589301017545454,1.3753990136437813,1.3589301017545454,1.3753990136437813,1.3155042651827182,1.301241184152874,1.3469027138671699,1.3589081221725057,1.526640314274749,1.3618241613134312,1.3395202883888293,1.3042496050833816,1.35469231185537,1.307984820769741,1.5985737789748105,1.3774168101484763,1.7956297260311551,1.4483277445378486,1.9418226465534627,1.4789841568243638,1.3339575890381776,1.3576629578731891
Crabominable,Frost Breath,Avalanche,35,1.5701276290005404,1.452450445808961,1.4601961084588677,1.4342351702264264,1.5526929035818129,1.4926422974161615,1.5209401562560274,1.5373275523516345,1.4761008274012102,1.4316990151470048,1.4420437682784253,1.4945338049054449,1.4420437682784253,1.4945338049054449,1.3915068030491735,1.3995261442391815,1.44611132604558,1.4534360335805394,1.6379178232539722,1.4749348530520263,1.4293351608254907,1.404844361322226,1.4399593144841774,1.3976686156349638,1.5647055148560818,1.4580108749284868,1.7328434275780598,1.526185168082553,1.8425458521816391,1.5388336166761856,1.4513352566611153,1.4712698614941082
