Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Zekrom,Charge Beam,Wild Charge,30,1.2265971934395168,1.2733876039577976,1.2036570631343448,1.2634981626042268,1.1812322451141377,1.2401531465268911,1.2417781457810437,1.2922723626672186,1.2021310785303345,1.2668238872719209,1.173879784229117,1.2175478892365592,1.209430956816188,1.2621414214117603,1.1967030720007699,1.2608734874545935,1.1994855237013908,1.2580932443939823,1.2089305191450275,1.2647295202740196,1.228268902001875,1.2568686924391992,1.2579333029853597,1.2983891099722462,1.2142198079247293,1.2664492066173698,1.204538715931121,1.2761318280305622,1.2681744749596122,1.3386214324178782,1.1993698703197069,1.243765370522178,1.1919677054582152,1.277288036671814,1.2184480896646332,1.2736128542657834,1.2051567944250872,1.279364111498258,1.200690985278406,1.257301827364682,1.2566208281000075,1.3015039773276222
Shadow Latias,Zen Headbutt,Thunder,50,1.7388576924369452,1.7482016921296926,2.024715719127993,2.1191522735725257,2.4277925083720877,2.5254782093279253,2.0620837322431234,2.1920588920226667,1.777578863032487,1.802495009528293,1.6387498097476414,1.6906051902820083,2.4724679940046905,2.5105562019347754,1.738666434121581,1.8098733431162646,1.7398382060743685,1.8131138234459268,1.7113128839051646,1.7682791480893243,2.0805051563447856,2.1828268902001873,1.7709804842949237,1.8421709569890894,1.678787248697189,1.7818295234505972,1.6949823240962483,1.7582734633367545,1.3849649973074851,1.4502638664512655,1.6486780116346829,1.7416172011575424,1.689809467067106,1.7534744598324477,1.7085096757245848,1.777742914684335,1.6896080139372822,1.7896689895470383,1.6885987429063007,1.7913446462516132,2.066836280098333,2.1660816076776914
Thundurus (Therian),Volt Switch,Thunderbolt,35,1.1596273281985876,1.192165698767629,1.1767792485080193,1.2136119520330828,1.164521275977546,1.2049480407571656,1.1813077341061402,1.2236292597096798,1.1506466112320695,1.1980798566003232,1.144502843407978,1.1840931238350132,1.1666438332355245,1.1990066435060698,1.230454184608723,1.2485205321273063,1.1517882486517173,1.1956819472040874,1.1598097935283873,1.2204787692072179,1.1509071857938564,1.1906137980477582,1.1916768234482151,1.2380358008193952,1.1409504996816073,1.1993788093412519,1.1422739194891094,1.2052457520811952,1.2019063004846526,1.2591168551427032,1.1368803642505112,1.1969500933342552,1.1458118016122951,1.2111061123743054,1.165749686232159,1.2174046291701937,1.1620034843205576,1.2190679442508712,1.128650913682341,1.2000666009906897,1.1770098654901076,1.2263373160284692
Nihilego,Poison Jab,Rock Slide,35,1.4888884977108081,1.5758729894557948,1.5035504999604965,1.6100462287620365,1.5130259223408973,1.610165382974237,1.4955908608688901,1.5743951665071025,1.468447997247885,1.5741690468538527,1.4499265675311865,1.5357723850431007,1.4860576343065828,1.582602152340563,1.6817430056051383,1.799712526161322,1.4982436843599205,1.6000957990349134,1.6975353527622035,1.8426491130714324,1.5018915788893177,1.618651078144819,1.7930512929705282,1.935828719951835,1.556836346151347,1.663504399017531,1.5023035693921771,1.6197856083932034,1.7999999999999998,1.9392030156165858,1.518869322166145,1.6336951476063961,1.545821528883917,1.626132315212237,1.2762178570386153,1.3521715653366804,1.2956010452961673,1.3766898954703832,1.5396622774763775,1.6398690180516435,1.5587581720395478,1.6413427372172662
Kyurem (Black),Ice Shard,Glaciate,35,0.9825778173223255,0.99111207838782,0.9910105387703034,1.0049042183986234,0.9526713476197038,0.9904897733517738,0.958113178254457,1.011310062876808,0.981968667532738,1.001713282123474,0.9720482223017274,0.9874304961188518,1.0242634173671759,1.0193968293565674,0.9736612619981236,1.02752351511944,0.9714944649446494,1.0117726369571387,0.9722057444650681,1.022886010065252,0.9845475100645232,1.0301549660839353,0.9670332897693065,1.00400886944008,0.9728651444463216,1.025107538759438,0.9778538031702589,1.0379974911620482,0.9913301023155626,1.055767366720517,0.9744392537210244,1.0205137828521762,0.9429373928480235,1.0009240908040806,0.994819182160474,1.030880593094189,0.9993118466898955,1.047047038327526,0.9720692095294918,1.0086858792024531,0.9658840831749916,1.0361555720159308
Kyurem (Black),Ice Shard,Blizzard,35,1.1488478827575281,1.1757196832097656,1.1677936412809935,1.1876475360397425,1.1234453319696696,1.161550990454907,1.1300424353766139,1.1897534090615054,1.1476975932573183,1.1822846175782293,1.1393872786895616,1.1718853465162569,1.201867297550961,1.2013172504186695,1.1420108734874546,1.2109324256056195,1.142886034629577,1.2073374964518875,1.1329149046097322,1.1897663560343672,1.15555065350466,1.2055589257155461,1.1274614898897195,1.2463325452649818,1.1286306514704545,1.1768184121950902,1.1327289314631086,1.2026114722317254,1.1735487345180398,1.2604200323101775,1.135626030874379,1.1973945421683176,1.1229648723903554,1.1967827049110562,1.1578981932809902,1.2188421236974987,1.1632404181184668,1.2293902439024391,1.0932830125848123,1.1912142193115123,1.1414661900314536,1.2187476517127735
Kyurem (Black),Dragon Tail,Avalanche,35,1.1153605497261132,1.17159897774499,1.12244744585608,1.1890773710306182,1.118653691937061,1.1865369193706117,1.144376018837167,1.2070613501694827,1.1167362994011434,1.1859080847904908,1.1095912885174548,1.159282239621116,1.1374504395265095,1.193645217554887,1.1149895354711443,1.2073239673795375,1.1117868294067557,1.1799318762418394,1.124485734514629,1.191459844237356,1.12525230243203,1.1989080681630178,1.1466100823800645,1.2561417935652506,1.1442513872824858,1.2347528882766508,1.139388755844452,1.23031132398221,1.1899084544964997,1.2898653742595583,1.146905154618811,1.2228466453989668,1.1452768016730908,1.220371338594166,1.3368845042468114,1.466375762528823,1.3794947735191638,1.513554006968641,1.1401118341635332,1.1967504266625966,1.1731667257093168,1.2524341674449562
Kyurem (Black),Dragon Tail,Glaciate,35,1.1007388464905192,1.109645971390302,1.1231199693221388,1.148144008663798,1.1036279323060474,1.1414529992578437,1.1105182808497425,1.1559823530933837,1.1025072310916573,1.133502473734955,1.0822166920007037,1.1179702988889262,1.1530235211604563,1.1532218652936617,1.1086416560417618,1.1748658856359306,1.0959409594095941,1.151323445926767,1.0970359172582713,1.1502037926481563,1.1292229636574203,1.1678155848453096,1.0860071366686737,1.138093070382825,1.1271101638747743,1.1997166954736254,1.106363325350667,1.171308016877637,1.1310285406569736,1.2069036079698436,1.1121986389989036,1.1682485752945708,1.102525442894836,1.1455686198217476,1.4025714369107734,1.4966871953533172,1.4066202090592335,1.5153222996515678,1.1038004190312332,1.148312081142207,1.126351271563986,1.1687116893712495
Kyurem (Black),Ice Shard,Avalanche,35,1.0201314465036415,1.069949575367303,1.023848568527058,1.0780223570694936,1.010391848566908,1.0644729611040364,1.0307371852925193,1.084115196522369,1.0110152497951757,1.0645954888851672,1.0122275437975754,1.0610191201149617,1.0468235289306387,1.0868072524430066,1.0312702975775216,1.0878689648536168,1.0198516889015043,1.088152852682373,1.0144090013203466,1.0781109473966206,1.0376440743396018,1.0857221640103678,1.0494133540874315,1.1204422972437187,1.0269919037284434,1.092970668884586,1.0250655719010149,1.1065229786748774,1.0753473344103393,1.1644803446418954,1.0331558830210668,1.095931811672214,1.024597838113882,1.1023673747309801,1.0375718747263654,1.098289600420303,1.042116724738676,1.112369337979094,1.0372133035478903,1.085929153196154,1.0595364615202945,1.1208656726031367
Kyurem (Black),Ice Shard,Ice Beam,35,1.0965253251356633,1.1616980827117602,1.0977452157374346,1.1658280999188733,1.0804716594249701,1.1472441428592777,1.1003557844075866,1.1734649520014488,1.082968572476134,1.1599463156512961,1.0874310891132164,1.143297088200005,1.1162766921106064,1.1808325955067895,1.0937146671798696,1.1752177103129735,1.0943620493897246,1.1706145330684077,1.0863678983524367,1.1584416081440516,1.1095792202062538,1.174499531241383,1.1223806516982628,1.2048928765473796,1.0929056907822063,1.1661620034048525,1.0981297753449653,1.1874672140494926,1.1563274098007539,1.240204631125471,1.106124504933382,1.1788462108267737,1.0981481706649805,1.181717592986637,1.1051560082893086,1.1900119669595166,1.1191724738675959,1.199581881533101,1.1135130635068198,1.1738979617321808,1.128949148175582,1.2060266443378098
Kyurem (Black),Shadow Claw,Glaciate,35,1.1396223033383315,1.1388733751218207,0.9936775086185134,1.0180829805315055,1.322175530757979,1.3896868498868502,0.9850053044220767,1.0366859005873676,1.1886466202850794,1.2096677092716401,1.1560029807850059,1.1857179283939538,1.3973548662812927,1.38592247402612,1.1553922394091751,1.2313442709711564,1.3976014760147601,1.478143627590122,1.1650050708968789,1.2116381867238177,0.9809959741907021,1.006022169525175,1.0153746751053614,1.0700597659290152,1.4373676071164017,1.5882467608415964,1.4189645341544077,1.5399931577146768,1.1939364566505115,1.306085083467959,1.398512577902004,1.4819998222204664,1.3801539340734166,1.4360979049888742,1.1671361022737223,1.225613671521555,1.1890940766550522,1.2443118466898955,1.5012695813850232,1.5683007034729644,1.0001288203278478,1.047566906057776
Kyurem (Black),Shadow Claw,Blizzard,35,1.3448414368539894,1.356345806402056,1.150215535099366,1.1884645846059572,1.6107215851263244,1.7040589474662917,1.1409436696250679,1.197999844748622,1.4024809773629487,1.4331865236894636,1.355543607817247,1.4141828438823736,1.6837535707055937,1.6880844250780596,1.3790775577954726,1.4786289061560298,1.6932692307692307,1.8295238433153562,1.3636694157944085,1.453443426012744,1.136557657309877,1.185926211878895,1.1766398919220546,1.2310019236699512,1.7156038415054127,1.890576875592925,1.6806819477705555,1.8258524347131944,1.404566505115778,1.5272267097469034,1.7386838388527295,1.8595640450769884,1.7389321887577056,1.84948263074061,1.3763389860190889,1.461559791016024,1.3925087108013938,1.5035017421602788,1.7798559753576335,1.9254762664594638,1.1427436582826103,1.205328867561968
Kyurem (Black),Dragon Tail,Ice Beam,35,1.1811510130534348,1.2509021544488417,1.1895938073885086,1.2684043080041856,1.184117855085265,1.266140239316353,1.21838305689963,1.2865422930628507,1.1827599005979514,1.270300243073316,1.174909617775599,1.2470888918318979,1.200388918083873,1.279679541313856,1.1863738603286103,1.28993360436864,1.1755251206358217,1.269507521998297,1.1850686006238158,1.273378748158212,1.1981139359179396,1.27874041802239,1.2134539420549495,1.335570272691229,1.2140768560994943,1.3123107512768197,1.1975025658569962,1.3090546242444976,1.2736779752288636,1.370016155088853,1.223360230718328,1.309287005303756,1.2116289532239826,1.295684739126734,1.4161437202650244,1.5768439333352793,1.4735191637630662,1.6276045296167247,1.2152183263726049,1.2823743253180893,1.2459824160252488,1.337090592895559
Kyurem (Black),Dragon Tail,Blizzard,35,1.2783948612002374,1.3025493964566734,1.3070445387818654,1.3442029055326135,1.289309794636883,1.345580849378797,1.3007426190907443,1.3578505446735838,1.2870460481348538,1.331675123686748,1.2618959611153828,1.3095667780837188,1.3355144372036338,1.3516232524757232,1.3047794029204456,1.378719719021386,1.2822275049673573,1.346540590405904,1.2826785816797106,1.3386976405977917,1.3023107042408868,1.3391937351789556,1.2691082101058753,1.4064964243234115,1.2840842636031657,1.3474509090436522,1.2938191355912876,1.360109476565173,1.3278298330640816,1.4136348949919224,1.2986004800047408,1.3531096603423243,1.2883284899626715,1.3659034811473316,1.696754327077435,1.8190508157963867,1.7158362369337978,1.846672473867596,1.2471451762844974,1.3485729350224085,1.3123248848668319,1.384313978079074
Kyurem (Black),Shadow Claw,Avalanche,35,1.1362041181450264,1.2079524014511285,1.0283307736332261,1.0835470698981196,1.2932015493965623,1.4037014838145174,1.0434199291018706,1.1058879085051878,1.167041612160003,1.2505714712499039,1.1597526818170139,1.2278561079407875,1.3026465650681218,1.394441047829563,1.163947292453511,1.2485205321273063,1.3290129151291512,1.446416406471757,1.1681145831340056,1.2558410991408178,1.0301659956984504,1.0875310207908233,1.0761244658511873,1.1246861187388948,1.4232933501410023,1.5691821856034516,1.3673394913901242,1.5203557988368115,1.2405385029617662,1.3609477652127087,1.4274116287568273,1.5294274511353199,1.3696484807217635,1.4883211945089552,1.1719082922273139,1.2646595254078983,1.2014808362369338,1.319747386759582,1.474837313205034,1.5486950368386732,1.059407641192447,1.128315781563664
