Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Zapdos (Galarian),Zapdos (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Shadow Weavile,Snarl or Ice Shard,Avalanche,45,1.0437418886113303,1.0550110178862622,0.9676263775650796,0.9969187248646764,1.0357297621281125,1.0810677088954157,1.2519374152613623,1.2520182960962227,0.9782673946231272,1.0130411157399022,1.0592406335296327,1.1017354619977278,1.0949917672615717,1.0916453023974761,1.0975117012814666,1.0978490907864038,1.1898560225167794,1.1525806490413528,1.1602434005109281,1.142038035764973,1.0548996345127155,1.1004133259342888,0.9577234875641096,1.00401477968345,0.9601462576542974,1.0005433266274102,1.0454586804246968,1.1081885404618643,1.0595164785038202,1.1032386817196944,1.089983844911147,1.1374367259019924,1.0162470740451757,1.0973441713004572,1.0539377211434406,1.116678623104702,1.1037331076150725,1.1104608738799218,1.0577613240418118,1.107151567944251,1.0508110058137115,1.0926447530907022,0.9752772320805556,1.0298648460060331
Mega Mewtwo Y,Psycho Cut,Ice Beam,45,0.9308521618901155,1.001222609310714,0.996028450247716,1.0696148502430913,1.0304964809836976,1.115688387329217,0.9075170222230736,0.9635929820976659,1.040401583564054,1.1122208709602297,0.9279267249378738,1.0016725435789264,0.9193646263048346,0.9771875067947271,1.0347715668573088,1.1289400448625801,0.930534172099401,0.9971433039043518,0.9486623616236162,1.0090370422934998,0.9347576494001033,1.0143228917507032,1.0103788672585894,1.1053769370760491,0.9627454147637998,1.0403089619524517,0.9537875735877009,1.0361278249230008,0.9645683658341886,1.043220435625499,0.9127302100161551,0.9499623047926763,0.9556143764382858,1.0048395539709034,0.9499167102367374,1.0414868134674076,0.946995125653075,1.0057937596684277,0.9706881533101045,1.0145644599303136,0.9615518030830709,0.9864577985597536,1.061393621246766,1.1496248107951434
Zapdos,Thunder Shock,Thunderbolt,30,1.3386835826293462,1.3668612066385766,1.3676949788126203,1.396856290021409,1.3221705498431842,1.3879352281840083,1.4625872927694663,1.4967594454980238,1.3475405594224648,1.3823931999896497,1.3385531479578674,1.396979010596548,1.3385325761454179,1.3869920756186414,1.3599905121981641,1.414136415778378,1.3845924847843345,1.438881738795737,1.3775298041441952,1.4341967073516888,1.352752635909604,1.4019499033659273,1.3560690453868638,1.4255556168311918,1.3791538789115847,1.4589054171133204,1.3672692302693992,1.4627350582853578,1.3645683658341887,1.4533356140951077,1.4426709746903608,1.505589660743134,1.3590949046410334,1.43600430621537,1.3543645051858515,1.435307564169595,1.3754852456145472,1.442500218907796,1.3695993031358884,1.446280487804878,1.3701766313773918,1.4523872292600353,1.384861464472427,1.4306248859403348
Luxray,Spark or Snarl,Wild Charge,35,1.3366432333215446,1.3786456241308511,1.3223391483810298,1.3687490485430907,1.314851925704675,1.3573009418909878,1.3995662233119852,1.4764902825933803,1.3572140140243745,1.4058426268533133,1.3415881695266634,1.3844858569352847,1.3135279804390925,1.357876052317916,1.3689466699655861,1.3813380663287318,1.4098035795905604,1.4044239697851764,1.336474595515186,1.399684217996026,1.323724143209782,1.3766623930806177,1.3338884905972537,1.374918656592952,1.3434999045507277,1.411944375100956,1.3206409440018714,1.408842220171802,1.3162846390694491,1.4009351123275173,1.4174367259019924,1.4793645665051156,1.3218303390650772,1.4062262343331786,1.3295356443709494,1.41100154420437,1.3296240623449405,1.4000394034032866,1.3397038327526132,1.4089459930313588,1.3173675958429882,1.4086387035007146,1.3499940957349736,1.4001266733223836
Kyurem (White),Dragon Breath,Blizzard,40,1.2396570292834133,1.267252153568691,1.2634075935414624,1.3181826065005464,1.2003556373163495,1.306279771342805,1.3364642730196434,1.420007790101463,1.3040080730716483,1.4149882267705125,1.2657126303067614,1.3261482611431237,1.243135596068052,1.3088057686491785,1.2953221456336685,1.3432437240440118,1.2818867425244773,1.3833235103081623,1.3017882486517172,1.3718066988362192,1.2571136072255495,1.3225281769647332,1.277141123917719,1.3631500579054763,1.3085361018517159,1.4560272544383912,1.3298288476783324,1.4188618435587206,1.295381457406774,1.3778766107880032,1.35322563274098,1.462089391491653,1.283262056909204,1.3575146421199222,1.2619554247777927,1.364006663181061,1.6119859315256415,1.740214821517177,1.697534843205575,1.8475261324041812,1.2618945206809953,1.3661944471424012,1.3229632969415908,1.4149946861614762
Kyurem (White),Steel Wing,Blizzard,40,1.35684509187973,1.3881752556037594,1.3418057158713612,1.393052389385306,1.313782689328722,1.435240636295262,1.4174536584742896,1.5155323129577485,1.284707739281186,1.3689044427769295,1.3655741192552995,1.4330416755310722,1.3316103552629237,1.3903958632713127,1.3940280012841249,1.4323227324869285,1.1030515528398566,1.1719640838124563,1.3344379789951746,1.4155158955435707,1.0934862894429667,1.144721483380853,1.3601610323719187,1.4375006893509072,1.3623988604825328,1.5225627395409624,1.3855800595199417,1.4643465152243693,1.3258752423309386,1.4052001368457065,1.4094668820678513,1.498255250403877,1.3410799119003645,1.4039052237552962,1.348041778631616,1.4463115401918702,1.080492396602551,1.1357155366159775,1.1136759581881532,1.1832839721254356,1.336806760000555,1.4312969155416189,1.3323886509291165,1.437892499436411
Tapu Koko,Volt Switch,Thunderbolt,40,1.2933254173114437,1.3304789780010338,1.3155773006950695,1.3614071734551711,1.2750527561892018,1.3400370912121722,1.3776539023938599,1.4334531646755084,1.3182834372655057,1.363281755375579,1.2893500391542678,1.3527188451980572,1.2789583856321418,1.3249016123516772,1.3038897942741934,1.3527621976529958,1.3440995693906517,1.380322475883471,1.2982259437978996,1.3618719841044564,1.2922750148299813,1.346370960026024,1.3053548778470192,1.3556830088788396,1.3202249665927548,1.4012981101044069,1.2727001000662777,1.329244044756917,1.3044132740335272,1.360326148933744,1.354744211093161,1.4158427571351642,1.286007763039635,1.3453960039111497,1.2986029206133043,1.357574504821079,1.3160955605498965,1.3797685414903242,1.2987979094076656,1.3619947735191638,1.3013694828710578,1.3626701447184029,1.3358023896170816,1.382961364636673
Crabominable,Frost Breath,Glaciate,30,1.5810562768345942,1.3919711054532535,1.6414197375038782,1.4561289240973445,1.535806966307432,1.4267614590095619,1.7843248685154325,1.6086751080716946,1.4994165135715578,1.4234895334696094,1.6288809121812775,1.4297486431801414,1.6807792736609692,1.4381200497324607,1.593112346615574,1.3966514602831208,1.4515955399456326,1.4063484808390867,1.660665625887028,1.4768875957990348,1.3511261218163377,1.3713810061424825,1.3388849059725363,1.4118678652181107,1.3684048223909309,1.4162616191133497,1.3178598812200288,1.3827730054971474,1.381138100125442,1.4360816512715247,1.3938395261173935,1.4584598815293484,1.3617912275676796,1.4045570820452546,1.3930425689724353,1.4299575647775493,1.3594466010916202,1.3736610139809113,1.3467421602787457,1.3815766550522648,1.3558019175535236,1.4055029068557396,1.3892306205919294,1.441123742659925
Crabominable,Frost Breath,Avalanche,30,1.5442435744999543,1.4770672739172945,1.5678872935458945,1.5034811279124216,1.5232351373653286,1.5158783262133924,1.728370229893131,1.6460122555749246,1.5531528967319583,1.5255763707402903,1.5865739336685964,1.5104630161913082,1.645606801250032,1.5289252767801196,1.5747665366865078,1.4938359959840424,1.495552575236354,1.502189131323823,1.6429747374396821,1.578760999148453,1.4046958418645592,1.4728850532922557,1.48881045607456,1.5201786797551424,1.4413721200017622,1.5215348242999163,1.4120651340498251,1.4942104510779868,1.4489679552970693,1.526810354658456,1.4770490037695205,1.565094238018309,1.4577724224436783,1.509002558049956,1.5111559646413675,1.5194484636990382,1.4587285835206212,1.49672367998599,1.4185278745644598,1.4917508710801393,1.4559392820968213,1.5114123572588143,1.5108048049982288,1.5464450957027684
Crabominable,Bubble,Ice Punch,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabominable,Rock Smash,Ice Punch,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manectric,Thunder Fang,Wild Charge,40,1.3941522788701426,1.3838417137013856,1.3835696158137438,1.4269695398898912,1.3507493786308793,1.3897100941558926,1.4562828445363933,1.5018911216256197,1.3631536729888476,1.439585220068828,1.4464356036773327,1.3975380339578403,1.3633889232605991,1.3620487559966554,1.4625058020770925,1.4175307586765333,1.5135828381726768,1.4314272655103562,1.3194684927618507,1.386758444507522,1.3339329110775175,1.3834554813524942,1.3590911597639663,1.4067280648541334,1.385761905461167,1.4220766824769822,1.3054360680450687,1.3932344799802465,1.3312350325008553,1.390067282472346,1.3804092622509423,1.4536887452880989,1.3304526464458908,1.4057521555768453,1.3369162117140667,1.3921792736159915,1.3419704620413881,1.4057820845859725,1.3367682926829267,1.413719512195122,1.3170484660959332,1.3879507707677152,1.3665689779180488,1.4379139694910523
Shadow Raikou,Thunder Shock or Volt Switch,Wild Charge,45,0.9769400521369258,1.0108258533860996,0.9752650108586526,1.0331463499704205,0.9724322969156516,1.027813428214226,1.0254136096903754,1.0810574956313708,0.9859057624136414,1.0236331409941262,0.9697538939258831,1.0162546792744918,0.9593186099421435,0.9997272225922946,0.9706696057041319,1.0218935116931023,0.9772216074478578,1.0383037840698597,0.9829158387737723,1.03947629860914,0.9820030999445071,1.014906523278287,0.9769260464346771,1.0271990293939226,0.9866077328595134,1.0546850908236538,0.9666272466178898,1.0364267241939467,0.9772722089177786,1.0547040711597675,1.0405815831987075,1.0948949919224555,0.9734910962083576,1.0510523560726526,0.9913305691669807,1.043955108641465,0.9712647033069671,1.020051954116926,0.9810540069686411,1.047369337979094,0.995587684366805,1.0301646986998931,0.9963286206563395,1.0653763163827252
Shadow Mamoswine,Powder Snow,Avalanche,50,0.957723962342353,1.0053289123097875,0.9637935719089453,1.024087516692649,0.9516303364275883,1.0132508936591296,1.0458636902519438,1.0951222471250057,0.9789298005019794,1.0405723600796957,0.979067177859959,1.034485177959542,0.9937972789465257,1.0058429711389643,1.0222922447443916,1.0302341892121238,0.9699535711708244,1.026627414659963,0.9537184217996025,1.0274623900085154,0.9591266576092156,1.016676553320959,0.9524733910549826,1.0200518391882203,0.9964610346701126,1.0812346730495308,0.9601554276208917,1.0412091125290777,0.9630288516364466,1.035408826548067,1.0147011308562197,1.074119547657512,0.9562168515244595,1.0386571719226856,0.9599722772758775,1.0471651082766922,0.960042030296839,1.0404468637809756,0.9669163763066202,1.0404355400696863,0.9431810298178186,1.0161507402422612,0.9871287022425472,1.0536107264392989
Zapdos,Thunder Shock or Charge Beam,Thunderbolt,50,1.1785921749803567,1.2276101668605666,1.1577693803341806,1.2039904343653711,1.1476309939083413,1.1973006762421987,1.228756542301741,1.2868779359210945,1.1807009599710196,1.241073045773281,1.161358585195613,1.214196477473848,1.141397529585477,1.1876155103605999,1.173622684025527,1.2160458358978343,1.1878593422983472,1.2345076860160216,1.1734210899801305,1.2375141924496167,1.1624983256472567,1.2174457988097742,1.1864446037610985,1.2342469530689901,1.2119120691933802,1.2627938736251634,1.1911265903390558,1.2454872707897438,1.17053255787433,1.2197399931577146,1.2393861066235863,1.3289391491653204,1.1788363341860166,1.2399036039862121,1.1854747516505963,1.246744403779045,1.162823618691807,1.2307069262426666,1.1855400696864111,1.2647212543554007,1.18294459630087,1.2491848316243706,1.1776754371839877,1.2568247936190997
Mamoswine,Powder Snow,Avalanche,35,1.284843965286857,1.338769997423559,1.2828491100144332,1.3559364166639367,1.2698161544349236,1.348592642524726,1.453937300325439,1.4864577812684245,1.3222164721711904,1.4012885864362046,1.3110071020862661,1.3887950896474306,1.3450041213108337,1.3506276845349046,1.3387595108056656,1.350245067467677,1.2939720705333302,1.3650135918593183,1.2842463809253477,1.3726653420380357,1.2618304980960215,1.3285080081899767,1.2889979595213148,1.3604478023493078,1.306773961438494,1.4005932539391182,1.282355846079871,1.3791082405229438,1.2842399361386703,1.3616033755274262,1.339310716208939,1.4270328486806676,1.2731878833371193,1.3660776896561941,1.287988035455905,1.372408594044478,1.3009106564315112,1.3940121420857536,1.277630662020906,1.3802787456445993,1.2897143095003538,1.3789735122309945,1.317338142625573,1.4010069455626764
Kyurem (White),Dragon Breath,Blizzard,30,1.4252135965677324,1.4807190991097676,1.419442672673772,1.4832321978799132,1.4189729685754087,1.4959762509982584,1.5364570363133665,1.5841086187043316,1.4390146712552072,1.4739061246668563,1.424477528166177,1.478254670221482,1.430284617528518,1.468975523169278,1.4790276638946198,1.5030681997100495,1.368964853616878,1.4570834034977989,1.3873190462673857,1.4501986942946352,1.4153160221205916,1.474779463824413,1.4385043842717697,1.4757403628743175,1.4012100030837458,1.5030176654576426,1.3953007836359146,1.5176935372779372,1.4321245295928842,1.5318850496065686,1.4352396338179858,1.5315885837372105,1.4264931011664312,1.5147211330482275,1.4031224541906302,1.4919932395462228,1.8605046554391291,2.0492469571816354,1.8107491289198607,1.9737804878048781,1.429964895727824,1.5240526702834705,1.4141144139211834,1.4917179264221228
Kyurem (White),Steel Wing,Blizzard,30,1.4471501521060406,1.4954544217970116,1.4855773585051095,1.541356339159943,1.445308725400507,1.5145832883667414,1.591441104917342,1.65297864958804,1.498058064015318,1.552420627733071,1.4447223215538587,1.5091254339786622,1.5159268403085941,1.5397237041590648,1.4786820952501691,1.4998824248694915,1.2055317664605836,1.2731632947629243,1.4688617655407323,1.5469770082316208,1.1874222621940718,1.23870529478176,1.4902773948050516,1.5411349473335907,1.4953229856532402,1.5874682447613033,1.4587194115583049,1.6215025536394234,1.4430493784924165,1.5524689246208234,1.5250403877221324,1.6564135702746363,1.4667206589694712,1.548163438651246,1.4843694904125577,1.580596524932213,1.175089752196375,1.241717988383293,1.2019076655052265,1.264712543554007,1.4910019286536889,1.5878924949008617,1.481895376423733,1.5518770195270146
Mega Ampharos,Charge Beam or Volt Switch,Zap Cannon,40,1.2105496460994123,1.2137133877319797,1.2039923613667065,1.2312401602494312,1.160574731155124,1.221215708477019,1.2879442858754393,1.3230039993444396,1.1847724273552926,1.235212306259218,1.1934492420367462,1.2325989833469884,1.1834882695831446,1.2009934632254544,1.2572012211455292,1.2375324354001336,1.2297445211575935,1.2637031201135462,1.1606230485381777,1.2279236446210615,1.1828488872730054,1.2259802139344418,1.17575690729609,1.2330667843158882,1.2039236993201075,1.276949734944713,1.1392870602606922,1.2018739684726247,1.1788801459687537,1.2531987683886419,1.2143672590199246,1.2981260096930531,1.1427865954231646,1.2205157581803276,1.1641598677091058,1.2131609985044318,1.2002057733282743,1.2598070692624268,1.192151567944251,1.2482752613240418,1.1596342495594623,1.2294820385453233,1.223234893132803,1.2681287773877383
Vikavolt,Spark,Discharge,50,1.186167871939676,1.227550956723791,1.2332962706743156,1.276509275620928,1.2060969717698353,1.2567744591971761,1.2847388506833368,1.3547837821155448,1.2307281289621443,1.2826364271482908,1.1956264909175678,1.2523209654129757,1.2000842051997698,1.249575514867357,1.1965529016519816,1.2422763363180376,1.2128719719021386,1.2648427915032836,1.214742407039455,1.2772849843883054,1.2065959930346926,1.2463116401002696,1.216941487894998,1.2677328627364473,1.2319270473868926,1.3129855063951013,1.2151035101170904,1.3088409206097544,1.2118257498004334,1.274022123389212,1.2714916532040925,1.3537964458804523,1.212634198856285,1.2807632667976967,1.2434614496066534,1.2870274673832423,1.2189515775955169,1.2815883949680396,1.2143466898954705,1.279102787456446,1.2134978007797868,1.297539925906398,1.241774285315556,1.2897169173295546
Mamoswine,Powder Snow,Avalanche,50,1.140241609363523,1.2148223775910436,1.1415632991033664,1.2153212022175932,1.135598764069009,1.1990124506266822,1.2148152405034194,1.3116104438442235,1.1570898129220897,1.228361839211323,1.1872479302556118,1.2355049995247172,1.1523145558373376,1.2074491952078148,1.1705084766557134,1.2309441385219067,1.1443563713344078,1.233175563520893,1.1311240420096509,1.2115632983252909,1.1531410857459958,1.2272240188292924,1.1434842552252797,1.226272541774665,1.1770070045081427,1.287992481534237,1.1435236325358353,1.2172867743570417,1.1617744326605086,1.2258068194777056,1.2162735595045773,1.2785245018847602,1.1377198787148515,1.2318541417693014,1.1754799800590932,1.2251012244203154,1.1351828609789558,1.2297875134993141,1.1678658536585367,1.2637630662020907,1.1768811311068252,1.218270871779218,1.1809066804075017,1.258778568591457
Shadow Electivire,Thunder Shock,Wild Charge,30,1.1481613652257265,1.099569046220713,1.164488833990762,1.1372275460986894,1.0714329593773193,1.114233960209132,1.1757881092402098,1.2338520348979518,1.1482197842005848,1.179675007115688,1.1848466193797784,1.1494651934401892,1.1433385978055255,1.1293478840972748,1.2108561718764377,1.1498050297618438,1.251145685486781,1.1734736221703672,1.0695394550099346,1.130737297757593,1.1135689546298244,1.1443579096423582,1.0968069265979155,1.125572161252964,1.117152968472371,1.184099619671361,1.0714369257560201,1.1374156909121627,1.0850838179952105,1.155308473029992,1.1439203015616586,1.1862681744749595,1.1071516755721045,1.1467866349297278,1.1030239655654583,1.1509915737509575,1.104703598844167,1.1480254516797526,1.1119163763066202,1.1647735191637631,1.1071582189785074,1.1384190589835024,1.118804547357573,1.1569675694824644
Darmanitan (Galarian Zen),Ice Fang,Avalanche,40,0.9515164996247357,0.9951319665926807,0.9930204011631381,1.026552151400641,0.9605843609237273,1.0127112945563583,1.1297456297743638,1.1246990913676738,0.9684192822211296,1.0298354335394726,0.9564188103439691,1.0151886873588296,0.989274708592686,0.9898044502250413,1.0192209778570245,1.0085410664371055,1.2172532415983064,1.0606341263922634,0.9791796764121488,1.037819330116378,1.0338219254099772,1.031783998928414,0.943826173275244,1.0139083439033805,0.9731860967121397,1.0461387098195274,0.9512534275949005,1.0207150190385839,0.9742501995666553,1.022340061580568,0.9919870759289175,1.066817447495961,0.9505377830892157,0.9968592282392913,0.9703439806427294,1.0198679522877325,0.9546641954408803,1.0224599398733254,0.9694599303135889,1.0226132404181185,0.9339123919468303,1.0189396567273938,0.9820188292379204,1.0319045011969554
Shadow Glaceon,Frost Breath,Avalanche,30,1.2443474322804065,1.2296281123328314,1.2698514860070798,1.2465848718833161,1.1801845927022958,1.214992885593368,1.4422542765741433,1.3993320945794943,1.185088105156933,1.239206147954563,1.3170680922139588,1.254724539541284,1.2722792924391242,1.223734797106978,1.3145144965023954,1.2562503961770701,1.381080252110948,1.2900057735331618,1.3913816349701957,1.302739142776043,1.2268221741709562,1.2441971717790237,1.2301108476258755,1.2443390503501903,1.2251868603063187,1.2714870996637249,1.1759736968641568,1.2297755656343812,1.2053597901699167,1.2682289884821532,1.2444264943457188,1.2967582121701668,1.1863129512390245,1.2258787741113493,1.195712705032647,1.257189061683061,1.2148652987361723,1.2611205160386445,1.2067334494773518,1.260993031358885,1.2065601975829392,1.2588281000679886,1.210911081768703,1.2693847755842538
Shadow Magnezone,Spark,Wild Charge,45,1.0030453213590167,1.042967356011349,0.9960168882397036,1.044286344690437,0.9820587449090901,1.0246887343329476,1.1532883380478347,1.1520027584621575,1.0114316764561284,1.0511359225813128,0.9980626558815142,1.0349038796673924,1.0683406238696045,1.0432668454874117,1.0723649368468189,1.0653431455743698,1.1180837884000097,1.069408693978686,0.9962496451887596,1.0427547544706215,1.026349528310913,1.0455902332612563,1.0208790602768434,1.0562841228699056,1.0372545852362003,1.0956254864241766,0.9849380758684323,1.0643803038376067,1.0269129889383055,1.0837495723571673,1.0700592353257943,1.1121809369951534,1.01109146757005,1.0729784985530721,1.0068820446724949,1.0643337426893473,1.0069320802078165,1.0584921631009019,1.0215156794425087,1.07602787456446,0.9948384232215455,1.0418476224833846,1.0296608804869407,1.0946292658314816
Electivire,Thunder Shock,Wild Charge,35,1.2220140087983062,1.2591483662002936,1.2357050223435806,1.281893317352069,1.233667995464047,1.2806479838087064,1.3044439761869795,1.3847756727476286,1.235912231221052,1.2787577302248556,1.269417574608118,1.2972125782519544,1.2373934339710657,1.2797075351793907,1.2968966299900417,1.3117724399804518,1.341997642473959,1.3279757752171089,1.2286226227646893,1.2726476014760146,1.2420252970780152,1.2911364549646949,1.2551149837313185,1.3117741134947334,1.2886239151823082,1.3405776883654679,1.2259808444554186,1.3125446724453858,1.269278138898392,1.3252822442695862,1.2903392568659127,1.3560581583198708,1.2464419401673104,1.3212377406196605,1.2375278139172938,1.3163916685918557,1.2531595691894575,1.3223344327369313,1.266054006968641,1.3226306620209058,1.2464097903456315,1.300536970487436,1.2783055832877095,1.319270447543289
Shadow Zapdos,Thunder Shock,Thunderbolt,40,1.0570225622626594,1.080801033136873,1.0529135296690761,1.0751588330850714,1.0482866483258315,1.1015923984599012,1.1136077747766733,1.1519431620575233,1.0579721582529045,1.0923292881724325,1.0415668949533996,1.0866259884755185,1.021243034787026,1.0603608963702815,1.048091295555251,1.090628955380749,1.061635473550001,1.1051504727080277,1.0531862049389724,1.1016250354811241,1.055157963221646,1.099877533056507,1.0606628798323499,1.1186786521811063,1.0592372868911437,1.156639598231986,1.0493703621879427,1.1052125433728832,1.0350325008552856,1.1161591971718554,1.0929671513193322,1.1431448572967151,1.0606919574514315,1.105739315943861,1.0387145410551657,1.106987828751383,1.0393012463150522,1.090868626134672,1.0569337979094076,1.1129268292682928,1.0641450791580525,1.0946844084305756,1.0704647193327106,1.1273710991594474
Mega Mewtwo Y,Psycho Cut,Ice Beam,40,0.9599467428823815,1.024269754982053,1.0234072852212486,1.0982500900873124,1.0539217232636946,1.1497993521490157,0.9285268832995975,0.9828639052246891,1.0616542034310554,1.1413175666934043,0.9490813458204517,1.0291144798366838,0.945450448402572,1.0011602923066887,1.0730213127927877,1.1695188007745645,0.9586741321657967,1.0252080877577041,0.9712390008515469,1.0403136531365313,0.9464972540615013,1.0329034233337797,1.052864942370264,1.1194727844261843,1.0025697881026154,1.053862758630817,0.9785442305942897,1.0342694511949473,0.9647622305850154,1.061523548865321,0.9461604738826063,1.005029617662897,0.9864294955999565,1.0641191517940918,0.9644346631324245,1.043091813285021,0.967397332243659,1.0415705904672952,0.9915592334494774,1.0671602787456447,1.0124460601351446,1.0778537830750232,1.067040245617425,1.159425890738892
Shadow Ampharos,Volt Switch,Zap Cannon,45,1.3995163972072018,1.3691736025207515,1.3964265687236121,1.4098500600260917,1.3381194390161697,1.3651425620829523,1.4559146238934757,1.4583155076230188,1.3978872874996764,1.4006158304654952,1.3607103896868111,1.3864254643062452,1.3211855143336622,1.3379850446821253,1.4215835223055358,1.392782727293175,1.430840891048618,1.4286367244821863,1.3515824581322735,1.3917683792222537,1.326795384527067,1.3651906848581103,1.3339767275133734,1.3960624276181548,1.358992055683637,1.4514016358536836,1.2876190723726104,1.3673861908536822,1.3162390238339605,1.3884821530391152,1.3958319870759288,1.4589768443726439,1.2900769390314966,1.3620578968681172,1.272862128083849,1.3417920066145446,1.3373588044715568,1.40829952424039,1.3127264808362369,1.3807404181184668,1.2753534708828795,1.33776414924172,1.3303382607108736,1.3815014009210653
Tapu Koko,Volt Switch,Thunderbolt,30,1.4283197283374913,1.4516789274323765,1.446008313083761,1.4906376640119012,1.4056373993647673,1.460719675775653,1.525719041264125,1.5730385865435577,1.4326635961394156,1.4904817967759463,1.4460712200288792,1.4732687250193508,1.4214153984823297,1.4582087221564437,1.4560115653032721,1.4631846706567235,1.673386417763237,1.5160997377853689,1.397615668464377,1.4662503548112404,1.4107235117396046,1.4649916760749344,1.4220371698009153,1.4685269949815254,1.4431342604149842,1.5039134201676971,1.3903104653731693,1.4661269152295675,1.4324210286235604,1.4906602805336984,1.4780613893376413,1.5407215939687666,1.3993915989293721,1.476972612075181,1.4057609766180708,1.4842357404277566,1.4219155891538484,1.4949943083973032,1.3979355400696865,1.4708275261324042,1.3943472409152087,1.4582841919773557,1.4488744323854303,1.503580131611435
Raikou,Thunder Shock or Volt Switch,Wild Charge,40,1.1933290979415676,1.2381895780557632,1.203817004245184,1.2637968478112156,1.1986604659811821,1.2630969003767232,1.2836618585138786,1.3525212471824737,1.2062333428209175,1.26607239889254,1.2132527011918288,1.2727106069590488,1.197820943374968,1.2446121520358484,1.229447355990913,1.2770356344660758,1.1886802665447809,1.2452999831605283,1.180315072381493,1.244862333238717,1.2165368644635373,1.269915229912551,1.2171289913417527,1.2781999669111563,1.2562005315790248,1.3200487525514326,1.2164290634056323,1.2978466256871435,1.219192610331851,1.3014140723001484,1.2635541195476574,1.339041464728056,1.2165848551590632,1.2766743375243212,1.2107778169570662,1.294420193815887,1.2085680511368613,1.2899871574092994,1.2107229965156794,1.3056881533101046,1.2136920536692983,1.2754505973276353,1.2406793125288504,1.293871372902644
Glaceon,Frost Breath,Avalanche,30,1.4350904874914585,1.4487024178539365,1.4582255015502725,1.4927496574755126,1.3875018885968597,1.4368461511641228,1.67647240367199,1.6112547810151396,1.4649701141097626,1.5040093668331305,1.4340737186596115,1.4945863000801192,1.4657259140513967,1.436825345369801,1.491617404390971,1.479133992708297,1.5524850248983617,1.5443509586470687,1.4542435424354243,1.4855911155265398,1.4557109780133564,1.4972923324212095,1.4012794352837368,1.4489935476755087,1.4352046285554854,1.5221956269548746,1.411584296092217,1.473716357587493,1.4158855057589235,1.4888014596875356,1.4918147549811522,1.5708454496499729,1.4018607591186085,1.459323055042519,1.4335080189195433,1.4827644905949442,1.4397346837512042,1.4950016053238377,1.4153135888501742,1.4897473867595818,1.4329341898960748,1.4984806648998905,1.4289287516236728,1.4856204309039966
Mega Latias,Zen Headbutt,Thunder,45,1.6600650031285356,1.7180205251138996,1.9611150400527229,2.077112812439179,2.3270136593286725,2.4856026657855983,1.3714367203247153,1.4267868811285858,2.0621613579320517,2.1642481952027324,1.6778237469502675,1.7672901172817432,1.6165401941463549,1.674752474268986,2.340751131277234,2.4749340045680492,1.6389226346556327,1.7182846592412615,1.6603356514334373,1.7250993471473175,1.6096366176161043,1.6843797240666678,1.9901946726961892,2.0822037169800915,1.735253087416849,1.8210693255407568,1.6514314675954203,1.7371505802544542,1.6578629262173565,1.7474284410993273,1.3628540656973613,1.441518578352181,1.6268901421248605,1.745488844334265,1.672166628162883,1.7531826416837906,1.6699673097691254,1.7640611774320658,1.680731707317073,1.7772038327526132,1.6624439788541856,1.7336099124474478,2.0482646828336177,2.180434339205393
Mewtwo,Psycho Cut or Confusion,Ice Beam or Thunderbolt,30,1.4376189203591654,1.5137903609097878,1.591599044978138,1.697480060353682,1.6392472841562082,1.7550120455122789,1.2968049941787085,1.3600069812931144,1.6306440344658057,1.7106347193831344,1.4784651527016446,1.5399418796764455,1.4502902707414602,1.522882664205081,1.6684953859429217,1.7811180474758153,1.4628689648536168,1.5288015107411772,1.4306663355095088,1.5200078058472892,1.4499990432270038,1.5190971890009375,1.6180665085755253,1.7205978051067115,1.5259695443398582,1.6020205876738278,1.4587713940402085,1.5672588337730184,1.4754361956893602,1.5765993841943209,1.2916639741518576,1.3678836833602583,1.4687157404023743,1.5540992997461702,1.4918838077404764,1.5675741400483931,1.4340503779807945,1.5256049152097138,1.4801306620209058,1.5780313588850174,1.4702584950951145,1.5390101427758738,1.6384657498953334,1.7368415402617199
