Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Zapdos (Galarian),Zapdos (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Aurorus,Rock Throw,Weather Ball Ice,30,1.5711873872807025,1.6382420670418776,1.5672051350731586,1.6513322323732371,1.6151645611232959,1.7038082414216196,2.0025009205516073,2.042894512235355,1.6040184231635055,1.6819313271405283,1.5839123487581535,1.6612476858243446,1.6640113696786167,1.6488010642272195,1.6872256154291287,1.6894298935280512,1.5970524910389954,1.6798365368423585,1.5978285552086289,1.6790342038035764,1.6037715991503854,1.6738073824604374,1.6117796283019907,1.6920200738984172,1.6841510154334132,1.7933743520462857,1.6546413858529674,1.7648312518681204,1.6333219295244612,1.7341658113810012,1.6936456650511575,1.8052773290253095,1.6295963416922636,1.729834368734506,1.638485950172051,1.7301654852084676,1.585483494352179,1.682525320335075,1.66352787456446,1.7679878048780489,1.6219700018037768,1.7082182847469858,1.662608826339463,1.7482099341942825
Shadow Magneton,Spark or Thunder Shock,Discharge,35,1.316681415858395,1.3376994141397007,1.3035913523888072,1.3358377927355904,1.2731898940559423,1.3235004540933988,1.4533562353802572,1.4830309880019668,1.3060418661215618,1.3536302947188654,1.3113194309277978,1.3385191991707444,1.3893996327388234,1.3200034789002721,1.352009716817742,1.349345362121178,1.4640868195049195,1.374103899540523,1.2789135679818335,1.3221863468634687,1.3577756941388086,1.3328804607818747,1.301042298571665,1.336998841890476,1.3526630346994817,1.4009750510286496,1.2600683569637032,1.3164563542086316,1.4743528338465048,1.3817196943779222,1.3799461497038232,1.41504577275175,1.2865015950774823,1.3420379460537881,1.2807655362766435,1.3491482557786072,1.3162269052275182,1.355323837599603,1.301698606271777,1.3558275261324042,1.2800016650247674,1.3445074995490558,1.3353300484149733,1.3836806114671563
Shadow Ampharos,Volt Switch,Zap Cannon,50,1.3684086715645718,1.3316455777229061,1.2780123366625493,1.318419627664802,1.2545031620507423,1.306459084275418,1.43701192140937,1.42567157698472,1.3265997360726576,1.3229073408026495,1.3190439116245174,1.3511911497775224,1.2803855254028902,1.2991281006192836,1.3063946557502417,1.328795274093189,1.3421570160456109,1.3880385623902427,1.2789277604314504,1.336229775759296,1.285290571958897,1.3063013069519125,1.302167319252192,1.3461534219379032,1.334542357450183,1.415556762948061,1.24572119195831,1.3004717410232751,1.2701334245638043,1.3231611358193638,1.3258266020463112,1.369886914378029,1.2540667068316724,1.3292378196327865,1.2580523570395048,1.3120508736305825,1.282493213858323,1.3460202562680599,1.2639808362369338,1.3378048780487806,1.2140389338291409,1.3008838506472784,1.2691808100651616,1.338690111966335
Mega Latias,Zen Headbutt,Thunder,35,1.7778899747636796,1.8110300483442765,2.2101491306333476,2.3199188347037527,2.581792431998061,2.664630025950566,1.4927090184259313,1.5264107852464845,2.1365604057236007,2.2656985018242035,1.8501953186885811,1.8959673367402827,1.739849418964355,1.8161855835163379,2.591554220538228,2.6803060634005997,1.8285140369024995,1.8823462195385985,1.8041441952881068,1.857468776610843,1.7579459997321034,1.8255420119022558,2.1962058126068493,2.2798102906303424,1.8634194334718572,1.9476497452238652,1.7838568402448374,1.9016751354793433,1.7993955981297753,1.87374843197628,1.4539256865912762,1.524728056004308,1.7845509585279855,1.8791691769795258,1.8074243400654157,1.8688155830891382,1.8442252123405622,1.919923528209918,1.808205574912892,1.915383275261324,1.7870017066503865,1.8705026987276436,2.267506145803141,2.390390003542559
Electivire,Thunder Shock,Wild Charge,30,1.2775851225729844,1.2999937589315291,1.2863196394195102,1.3331496258726907,1.2965520447485386,1.3220393857535875,1.3819682564007605,1.4474859895238035,1.3559694154785622,1.4081895101819029,1.3626545235627217,1.3502428469905532,1.301996216695954,1.3244904695922373,1.3689180429772885,1.345073806510186,1.4953781664220933,1.3763922634655632,1.3046338347998865,1.3664845302299176,1.2902657915382996,1.3398744713829196,1.3157447747201234,1.3460651850217835,1.3562754225465867,1.3998149752566118,1.3073984067369295,1.397055192400161,1.3206979131029764,1.3914357395370054,1.3572428648357564,1.4535918147549811,1.3030449683453664,1.3512824818022895,1.3031868973651253,1.3514220055202266,1.3126149265929192,1.3705452263506612,1.3044773519163764,1.3591202090592334,1.3104716182653218,1.3789873874373881,1.351464794477902,1.4058806479662491
Crabominable,Frost Breath,Glaciate,35,1.4800261804820984,1.3538253749041835,1.6060399929857152,1.4067032668453638,1.4288185768198187,1.3526437865578393,1.6652001694240648,1.4854510277187136,1.4151072528268687,1.3811654203431054,1.5195499748778976,1.3890100986325429,1.4947233384792067,1.3346227666349744,1.5276465139485,1.3497256921085616,1.3264602227621545,1.3270856888546754,1.5802724950326426,1.4202987510644336,1.2710920606976788,1.2938823934633268,1.278332322285336,1.3534109082887553,1.27351356113893,1.3364072893875094,1.2734538460538798,1.366619449245604,1.2754247918804882,1.3667807047553884,1.3537425955842757,1.422154011847065,1.2852373850605932,1.3470849094805875,1.3426309837919337,1.3991342728256508,1.3033843145267214,1.3389641283091562,1.2950871080139372,1.3485452961672473,1.2983863134964133,1.3331714559254069,1.3055725526821464,1.359312099449293
Crabominable,Frost Breath,Avalanche,35,1.4778482076131434,1.4287005935416144,1.5045236356348795,1.4483592547129636,1.4339771442423117,1.4247342266880736,1.621054132691395,1.5552682157474986,1.4599800760731751,1.469082981861464,1.4914992237044011,1.4659471032631575,1.5123214345719667,1.4045288956270618,1.5200296902764343,1.4475052602090996,1.360728547715846,1.4047126464432629,1.5447807266534204,1.4728888731195005,1.3161465010811533,1.394697564055952,1.3984779131969338,1.4384161473556498,1.3690803095493327,1.4610787236229608,1.3772238755539383,1.4564321823545465,1.3921997947314404,1.4495951647850382,1.4352073236402798,1.5143457189014538,1.3466700905687958,1.4351746683917865,1.4695110830101041,1.473742446165631,1.37184407927381,1.4355389509938414,1.3751480836236933,1.4514459930313588,1.3625591430672532,1.4312969155416189,1.4090796861078012,1.4588365377389885
Crabominable,Bubble,Ice Punch,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabominable,Rock Smash,Ice Punch,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxray,Spark or Snarl,Wild Charge,45,1.2195335841496064,1.2523712059504588,1.2270412243395685,1.2843271200386943,1.2230038568883561,1.2785676217294069,1.3188769483235319,1.384120112296654,1.253295210494993,1.2861632209485858,1.2086130336183523,1.2646081630990265,1.224630218597489,1.279571146475538,1.2121116697917795,1.2594423053722632,1.2273418893887271,1.2786782217517862,1.2308295486801022,1.278849701958558,1.2164698903538145,1.2721445109933216,1.226647548668174,1.2683394915347708,1.2686676750025698,1.316392311193997,1.2421733875683894,1.3192244213699982,1.2296841144942412,1.3244725738396625,1.2908669897684437,1.3734733441033924,1.2266985352941757,1.2843287341109542,1.2311807691840033,1.3125007599430953,1.2519117947520506,1.3165114853623654,1.2245296167247386,1.3024564459930315,1.21899238251169,1.3018828655076244,1.249235129303404,1.3125825255225274
Avalugg (Hisuian),Powder Snow,Blizzard,35,1.6667669505019258,1.7447483009091156,1.685037412730927,1.7493029072669148,1.6356776285532602,1.7452378303799276,1.9015446111015333,1.9993486964350708,1.6574481848526403,1.7463412425285274,1.6928449536259569,1.7779025081363928,1.88043256962248,1.7468941920155285,1.8568200732441942,1.7833427734235219,1.7031802545165868,1.821630902836248,1.6192201248935565,1.7381989781436276,1.6530932470961939,1.786180370845213,1.6242651519329399,1.7300391551315282,1.7011997239313352,1.876048106433281,1.6375781361681112,1.7860141132438367,1.6566655262857795,1.7616832021895314,1.6781367797522886,1.864340333871836,1.6148900236051713,1.72455036592954,1.6370025412497111,1.779956956823073,1.675921601821313,1.8102799101018652,1.6491898954703832,1.7697735191637631,1.6193059621761874,1.718347185414383,1.6751366032226551,1.799051023584855
Avalugg (Hisuian),Powder Snow,Glaciate,35,1.3432107576817152,1.4099421821015758,1.356184999836205,1.4140316529239354,1.3229641756004908,1.4180681023876847,1.5733855227562488,1.615509538617406,1.3708851916060754,1.4148239190622816,1.36776947415592,1.4268584697697368,1.548033531854669,1.4041296127549134,1.495698795008271,1.4444707994495438,1.3869921095046789,1.464309341095528,1.3223495600340618,1.396437695146182,1.3391186207160488,1.4487552383321531,1.3293773782606297,1.4153973418629018,1.3779791186361035,1.4592725296994082,1.3043314403046173,1.400304097519136,1.3457178697685026,1.4469152697000798,1.3822724824986536,1.5217447495961227,1.290155952157552,1.3917174490612252,1.2982259888379557,1.417567452549153,1.3436268643647296,1.457663232246578,1.3124303135888502,1.4329006968641116,1.346644281333685,1.4474754061966673,1.3781628074243448,1.4745204126544502
Avalugg (Hisuian),Powder Snow,Avalanche,35,1.4621991284907976,1.5288937466094195,1.4929269415983706,1.55851050504778,1.4615099809230965,1.5417076900343518,1.6979122102390882,1.7042336860163423,1.4816156493388877,1.5565761896136827,1.4820252488446097,1.5551396200451746,1.5906085505834076,1.5578436352926526,1.5890289112133957,1.5815409089886698,1.5096496187062474,1.572575116072073,1.4499929037751915,1.5293996593812091,1.471909144836296,1.5716718651332784,1.448100148899796,1.5242486075111674,1.5115053084479948,1.5866165435615796,1.481877607246358,1.5684544308568011,1.475139696658684,1.5597787661078801,1.5399892299407645,1.646483575659666,1.4819800689389524,1.5527461999624688,1.4996656250379972,1.5591114137373392,1.4983508946031932,1.598800385277721,1.4659756097560976,1.5681968641114983,1.4701891190631462,1.5647486506361783,1.5177074275654032,1.575966420834541
