Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Ground),Groudon,Groudon,Groudon,Mega Aerodactyl,Mega Aerodactyl,Mega Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Claydol,Claydol,Claydol,Donphan,Donphan,Donphan,Golurk,Golurk,Golurk,Hippowdon,Hippowdon,Hippowdon,Marowak,Marowak,Marowak,Nidoking,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidoqueen,Stunfisk,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Gyarados,Waterfall,Aqua Tail or Hydro Pump,40,1.1553271631242166,1.1809503494159417,1.15424571966096,1.089979694091566,1.0521573347505098,1.1977318167667137,1.1484420010106404,1.1495198743172543,1.152292608628637,1.1327762041816125,1.1906057150644878,1.1336704166710827,1.1667107861961226,1.2341894723873956,1.1737714530611283,1.1674503629460136,1.198925247833123,1.1816144289430273,1.1679656858560532,1.2020565672310206,1.1927307582841202,1.167812231687571,1.2181872758348853,1.1702902443218697,1.1203263581725509,1.1713920374657012,1.1267960898470306,1.1892520910771063,1.2352081078876636,1.198596714641881,1.1607863307789055,1.2067641315073303,1.1597808544260784,1.1388436033297555,1.2222113761463176,1.131517195478777
Samurott,Fury Cutter or Waterfall,Hydro Cannon,50,1.2622516883816264,1.2838361469280422,1.2623997074587527,1.248704256789227,1.1482644352690419,1.2723275005906656,1.211067101725992,1.2553909758329647,1.2281912148676422,1.2210284293634017,1.278835889904493,1.2246984953629196,1.190917296524391,1.2859865557540402,1.1938488446310174,1.2282035189642813,1.2703653093101366,1.2296461628514816,1.2680828893253662,1.3129660207499108,1.2795124508282947,1.2540444487179252,1.3059952823240009,1.2486195527761497,1.2172106363736719,1.2924352571190432,1.2258933743019111,1.260792355939982,1.3228168997143739,1.2664808223806987,1.2458791178778879,1.3097233518152527,1.2553611333501136,1.235643704108128,1.3167593763922472,1.2355765264132723
Kyurem,Dragon Breath,Glaciate,50,1.3883604951420467,1.3794405348469279,1.3858383260006524,1.2432093745836132,1.1827136628750095,1.2726678719644315,1.3968734700475316,1.4102352188486924,1.4105484064891263,1.30626402552889,1.38530143066174,1.308646351568231,1.3202608639808757,1.4059538429075638,1.32532087029802,1.318615890743703,1.360044949588223,1.3242719950918556,1.33383176546098,1.4215531307697662,1.3459307206859525,1.311571912507882,1.3653155585305556,1.3221078347075246,1.2778183814982742,1.3584170904550636,1.2834367155293827,1.3364471929970294,1.4193508217154032,1.3464956017186431,1.3643429986487339,1.4446415274826168,1.3689765907185512,1.361830455125418,1.455991444248783,1.358309160911552
Kyurem,Steel Wing,Glaciate,50,1.4842660666640355,1.4837870403627993,1.4807807494271317,1.3356999052138343,1.2721886637117295,1.3664535819779446,1.2063416608046427,1.2199486490285014,1.213932370781265,1.1703101537058196,1.180774285659617,1.1718574119627656,1.4287692184696523,1.5078438747947258,1.4285122076846355,1.391311128779318,1.4133552394755047,1.400532179961123,1.4333001191171484,1.5116966135570662,1.4479134424142976,1.3647729240900415,1.4199936637432362,1.388887604790161,1.3270566383022555,1.412477749089887,1.3612981244842723,1.4055935960211556,1.4976171512487826,1.4244036112402654,1.4148557153713157,1.4948242060983814,1.4177125114031757,1.60842779080565,1.7483176761702512,1.6063782880608621
Kyurem,Dragon Breath,Blizzard,50,1.6350935597464042,1.614902968324517,1.6330281865689797,1.4577388298784542,1.397646548009098,1.4916386188806787,1.6381617932893624,1.6623918595174174,1.6542942200742636,1.5509900994676693,1.6169532345681927,1.5548442858210825,1.5629504733271036,1.6517908841773887,1.562268824631096,1.5600883027774213,1.6199909850408019,1.572151601563845,1.5769518917938246,1.6722030781342079,1.5867432313448642,1.5398939170085968,1.6297413290976568,1.5579211222324336,1.5096956237966355,1.6161640770452106,1.5296820428015447,1.5561160035196775,1.6538395832918307,1.5783883755921413,1.5841619106045906,1.6739203180018614,1.5904027574289188,1.5856265657684165,1.7398044454767743,1.5846596294637212
Kyurem,Steel Wing,Blizzard,50,1.7515049438771408,1.7393350581410743,1.7518057777895453,1.567366152543209,1.5161919524948733,1.6016762275268515,1.3895658180411101,1.4096032110181969,1.405358414331781,1.3361425942966862,1.3514637408091863,1.342956149907897,1.6751308972572847,1.7674819102939308,1.6748040309146885,1.6406271030992052,1.6881154353004517,1.65074357762412,1.6724814996940927,1.7641847435866889,1.706495008392984,1.6044070884715262,1.6974129211561328,1.6265414577951676,1.5610331579622585,1.6624556162448019,1.6005332721008034,1.648815867566307,1.7501032711876958,1.6695910235443274,1.6417874176892735,1.7439875130896965,1.6500015997177044,1.9207706773874267,2.0922193086913268,1.9251119619797565
Kyurem,Ice Shard,Frenzy Plant,50,1.3629780958741993,1.354883805274235,1.1983521575166765,1.1504027848206093,1.147093027294392,1.0219564344488306,1.7947961142202389,1.7701461101254645,1.6037995749302547,1.749771903440273,1.7533013273807843,1.5808036552922704,1.267084402027253,1.3410124206588967,1.1183180144770073,1.2860398661528976,1.3031456886270656,1.1401362886539852,1.2995213738265348,1.3359094206861588,1.154665803134569,1.2777441600730768,1.3468141048280675,1.144256164752538,1.2377405023273922,1.2921736976716278,1.0925330389233385,1.7228534533922752,1.7745837109293805,1.5655336968529256,1.7122338364870355,1.7648399053502335,1.5371649313356957,1.2669657479608485,1.3297908858914436,1.1215510675710265
Shadow Mamoswine,Powder Snow or Mud-Slap,Avalanche,30,1.3395580109393241,1.301467002436345,1.3379992896283237,1.4659588932779224,1.164011234691069,1.4474351758523785,1.3568795067102442,1.2934679053745965,1.356380176715433,1.25597085912186,1.252985900798073,1.2579240748405671,1.2533026737771673,1.2600697507087129,1.2646793525058224,1.2682878463951117,1.2569620996090387,1.3107077682028616,1.3144480714710394,1.2801840208913728,1.3080006611573969,1.2497944414756084,1.261952534780071,1.2652893937348721,1.1965964437777736,1.1973564656591074,1.216728529134515,1.2321533480349907,1.2103420221457029,1.1681867045346483,1.1629575093128721,1.1852815233011629,1.094424214004662,1.124671137721102,1.1764479024047856,1.0552887469705394
Shadow Mewtwo,Confusion or Psycho Cut,Ice Beam,40,1.2804287108052927,1.3233619863230972,1.2798433285758748,1.156342414143283,1.121584795458275,1.3448578166921983,1.2616898650226536,1.2657316217058077,1.2572675983201769,1.2231848283121267,1.2401748833945918,1.2262743834991174,1.3079110567061991,1.386714337951489,1.309180697847846,1.229289336367535,1.2651905192679103,1.2439674898033926,1.304779113580049,1.2773196934285944,1.3119899317960986,1.2249093785845617,1.282804675023376,1.244241803392363,1.1714219653079112,1.2439676113347806,1.1845150871029289,1.0919367284965709,1.1055957760862645,1.105882868108692,1.0561170300289793,1.0898642817791713,1.0633806460783026,1.1903136490237702,1.2811775061834743,1.1966447622877974
Crabominable,Frost Breath,Avalanche,30,1.836119851990914,1.6447996746877387,1.8372139842309476,1.8389443038584472,1.4090341941971596,1.8364805130848119,1.694994308442709,1.5874742109692026,1.6888584949755867,1.5744527300777118,1.5534174153172629,1.5772162425093743,1.5838655942375064,1.5893346421966887,1.5966188861642745,1.641383671029114,1.636132770315743,1.6461941534233369,1.6002581215512732,1.5820855613468323,1.6194438060302283,1.5656409696938318,1.5638437964779537,1.5814296826509224,1.5180832416651464,1.5404399890571692,1.5534565908010813,1.6464173073113746,1.5974282373309088,1.6834343242230418,1.5450820519684851,1.5669592459169557,1.55883691427615,1.4969943431817916,1.5788495616110383,1.5224901627349658
