Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Ground),Groudon,Groudon,Groudon,Mega Aerodactyl,Mega Aerodactyl,Mega Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Claydol,Claydol,Claydol,Donphan,Donphan,Donphan,Golurk,Golurk,Golurk,Hippowdon,Hippowdon,Hippowdon,Marowak,Marowak,Marowak,Nidoking,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidoqueen,Stunfisk,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Darmanitan (Galarian Zen),Ice Fang,Avalanche,30,1.2196840394670914,1.1934829643180607,1.2217965709330099,1.2196529781683292,1.0533870650398003,1.2947941312505575,1.7410267226035467,1.3001504337778458,1.7418692805034748,1.4347597248942454,1.240243523974661,1.461185814744836,1.1997996076031157,1.1915286047368097,1.2144348580542934,1.1908485643364457,1.1642647643433321,1.1942594899661625,1.2539685672565364,1.22457612475087,1.300217896765263,1.273878457898101,1.2280106311047339,1.3538214932239652,1.1929104961039159,1.1705460039552056,1.2085954061349635,1.2439350024864018,1.2101371336128077,1.3525529877980254,1.26358288630299,1.1924509177560993,1.282678044981352,1.1524209337121603,1.175169075695421,1.144038407997806
Clawitzer,Water Gun,Crabhammer,40,1.5028604699143608,1.4682557278087531,1.5048186379147643,1.3698311341204845,1.2060678030962877,1.4558321006561055,1.4142690184379276,1.3896314417145552,1.4030417377291777,1.3697408245504805,1.3730256319574605,1.3791636291135356,1.3434387545003101,1.388257320089174,1.3525851143442424,1.3629483611868445,1.3748337084349342,1.379945221602096,1.4345470124372262,1.4156582484169462,1.4494316841858992,1.425182244427885,1.4562901524831287,1.4412881708619714,1.3139149765152236,1.370524618533246,1.323372313780997,1.422414433384164,1.4305807129639827,1.4579174138714537,1.3997345298532984,1.43307578019435,1.4095875714349324,1.3977703866727833,1.4462543796054534,1.4035240083617384
Mega Blastoise,Water Gun,Hydro Cannon,30,1.2087854292877949,1.2106496803577236,1.2082602937701603,1.169205890039568,1.0856201800080125,1.1778884723982992,1.138012843643641,1.1755661248809566,1.1470765994563425,1.189918242311775,1.2428375688601945,1.1914539419218182,1.1738771669311916,1.2523366225296624,1.1828464632511275,1.1903431162335,1.2478937549496196,1.1987737464354913,1.2353992375676988,1.277547758959724,1.246586380945609,1.1967824543626175,1.248117613992526,1.1984006498977757,1.156614747992342,1.2331869409427676,1.1632247355099892,1.2328779377786867,1.272438169782719,1.234956611066236,1.1835316912715217,1.2197179324221994,1.1867544322554442,1.170649715286564,1.2581299460317212,1.165454420517092
Shadow Feraligatr,Water Gun or Ice Fang or Waterfall,Hydro Cannon,40,1.1979188407853254,1.2112577924825492,1.1974865231702558,1.178105343000614,1.0622801129206614,1.2545426226963023,1.150297434382585,1.1588730358941823,1.1477319421352978,1.1636513594853706,1.1837772221249714,1.167239287961744,1.1544377545042417,1.2049010292226898,1.159598455051946,1.1795602390216264,1.2059716279200798,1.1831373310086426,1.1756214720057816,1.1950468729450228,1.1804264765395125,1.1668199880548003,1.202828633223805,1.184490994564256,1.1368744762144534,1.1945326438943717,1.1461289194053257,1.1812237382027468,1.2108620052614745,1.1991115482935164,1.1555439313730758,1.1998777067049953,1.1598490266204713,1.149617722581166,1.216397522682654,1.151778393848409
Kyurem (Black),Shadow Claw,Glaciate,45,1.1795549336611768,1.1827969660834992,1.178570554344682,1.074487293628993,1.0176283142794225,1.0905677436012122,1.1536867987699226,1.1483922915250333,1.163510859376872,1.1115909826621007,1.176609331747321,1.1123515416283067,0.9502353857062162,0.9960926759134631,0.9492947603089372,1.1051209976554845,1.1711659973268143,1.1257570374590335,0.9926668564085831,1.007732014370605,0.9980280286459011,1.1508649175392889,1.196949721062938,1.1692019398314484,1.0829373317631317,1.149754733140032,1.0849206078190168,1.166789376768249,1.2121628839404752,1.1648087876169295,1.146070062689795,1.196576986893002,1.149674347778832,1.1358621811818426,1.195857845305266,1.1390061311011839
Kyurem (Black),Dragon Tail,Blizzard,45,1.298136748046353,1.3141332491411346,1.2975462203680843,1.178570387906992,1.1347634734695715,1.2143203429586653,1.3078478939807534,1.3266927063310214,1.320731501902371,1.2663385030478194,1.3024175745776345,1.2712907608570014,1.246846473736014,1.3228581014753547,1.2444303626591244,1.2668273917031072,1.2938133277407198,1.2737067602803402,1.269872104317279,1.325164299676907,1.278280229048637,1.263548448634099,1.324332165933498,1.2818092570985493,1.2114104628756635,1.270492552767184,1.2175993582332878,1.2567582018371934,1.3127738471872086,1.2676288521844439,1.2396515498114238,1.308350829592938,1.2483952392468864,1.2469909885220611,1.3113478116954624,1.2357602637462208
Kyurem (Black),Shadow Claw,Ice Beam,45,1.2804119756075751,1.3191853805309204,1.2809406080321954,1.1110904324250057,1.136272997508063,1.1113211055240568,1.2201835174074394,1.26462889365639,1.2175989817780761,1.232125690646935,1.298273977488308,1.2364012519188243,1.0973981229431602,1.1696551651828369,1.092384433612974,1.242266307529056,1.2880727707539699,1.249939352488035,1.1141936647087727,1.152237869572257,1.1125836226209638,1.2477319220985585,1.3570444474851904,1.267457373572262,1.198443591435672,1.2814768128709262,1.187856617253831,1.2604780131036948,1.3538360312891964,1.2761328727131398,1.2661382003323178,1.3408606840318382,1.2587904233801528,1.274056332527798,1.3861663567141342,1.2648245117499786
Kyurem (Black),Dragon Tail,Avalanche,45,1.149145181087328,1.1699063178618512,1.1489597451054543,1.004656763931568,1.0118562544841199,1.0030278888918858,1.132449672722045,1.149892159026009,1.136361970169302,1.1196447988685188,1.165583911899922,1.1237951355381162,1.1206269700119136,1.1957701345866267,1.119659634365789,1.1196767604994537,1.1608134122559621,1.1261209381817954,1.1468856841224853,1.1822157290545467,1.1535614976753488,1.1118508957975455,1.1863882658441862,1.1375633394538618,1.0812375972784338,1.153083587242064,1.074886742208601,1.128932433392433,1.1855181657683922,1.1410920096479158,1.1182827883230329,1.1943068951626992,1.1230329929539422,1.1281206067266316,1.1817491097814679,1.1235776200492444
Kyurem (Black),Shadow Claw,Avalanche,45,1.2094501413499759,1.232031418210593,1.2083485656936441,1.0512480840014538,1.05847423231731,1.043487878295538,1.1602289604602167,1.1851711418912565,1.1593607431675386,1.1567856477028273,1.2121081236375468,1.1640252016912753,1.0294303561060705,1.0937996705124358,1.028371448080807,1.1597152931896366,1.208228294451105,1.1690265722182747,1.0416583568587667,1.082529234732827,1.0440622005772182,1.1723885592350636,1.2680385309746187,1.1967114950669038,1.1297721169497836,1.206656202536796,1.1222316301520971,1.1918147200251386,1.265847757784242,1.198646780964724,1.1833764280402177,1.263447727517585,1.1877708330965655,1.2018991565286932,1.298923639257908,1.195389528046865
Kyurem (Black),Dragon Tail,Ice Beam,45,1.2292549739755187,1.2581254380500446,1.2271448403886762,1.0595874081897159,1.0836637888611325,1.066473726406188,1.1994906923458477,1.2420555122634016,1.2043238669545286,1.1891861353994835,1.2384272159828842,1.1933790790198182,1.1938284646325112,1.2735146519738456,1.1889303187536615,1.1978835192146968,1.2383307926590688,1.2032135512365831,1.2111788132449863,1.2603738766281047,1.2200179473089074,1.1867660990539377,1.2677550790213814,1.2086751244599854,1.152669606036285,1.2240624427114088,1.1413805024158152,1.2008796562713895,1.2710597108557093,1.2081116463964463,1.1898380172768497,1.270109463542078,1.1909399509332959,1.1983587145592873,1.267676057021171,1.1897261695197272
Kyurem (Black),Shadow Claw,Blizzard,45,1.3992140451770407,1.4203908642805438,1.3967520727916158,1.2657116391403083,1.2129835756603704,1.2932181657816981,1.3574135260583202,1.3812291975637345,1.3677946726451562,1.3315298050557736,1.394617255502076,1.3339475183371707,1.114573599317434,1.1677519485506611,1.1093544848447516,1.3175553027054268,1.364751102610895,1.327465653944514,1.1356367026407084,1.1638278236570896,1.1470311612636812,1.3561641053519797,1.445677230587355,1.3730720798516283,1.2711506252066913,1.3398224088645032,1.2778288933436786,1.3529130744142672,1.4239571489409206,1.3620001871849008,1.342861643794712,1.4219984676245676,1.3421145442929312,1.3506424536735009,1.4395952701900405,1.3464956886453943
Kyurem (Black),Dragon Tail,Glaciate,45,1.1102495342869232,1.128458978033929,1.1104914702945243,1.011663199954605,0.9629641123357243,1.0472560501169557,1.1167968173054812,1.1201950328422345,1.1224351782943351,1.0795785987633741,1.1156381095061227,1.0836531462743564,1.0662259519294157,1.1336703787534257,1.0644395893594127,1.0693815362366927,1.0913151667297922,1.0761081669895984,1.0848776755627108,1.1245630667046649,1.081365699026669,1.0853522447175774,1.130917820352328,1.1031914578876227,1.0186243466366354,1.0746900315721732,1.0301947039560573,1.0806649273756415,1.1228679057204534,1.08814322727066,1.0613725726951442,1.134624349275233,1.0702546728567133,1.0799824225970147,1.1413524156068164,1.0749336343524998
Shadow Piloswine,Powder Snow,Avalanche,30,1.9384867085063262,1.7852257678083736,1.9381503560101092,1.9801634666675567,1.5900692750017567,1.9514581525890369,1.832973982627429,1.7464396027961764,1.89160015191791,1.7464716252289767,1.712459595416061,1.745941794637485,1.7033300000131062,1.695926359398325,1.7385082365338014,1.7890465115551117,1.7709248784702116,1.7864291997032575,1.810839116428054,1.7523511518753963,1.7960327554334887,1.7224958379792028,1.7104566419441707,1.7581617828796565,1.6583241518289522,1.646446848623722,1.7152399204271853,1.786723760567208,1.7317848982379436,1.79634014052399,1.6455016420860882,1.655983053459517,1.6894105141035398,1.5912769281578576,1.6655581361179295,1.6196038608229586
Empoleon,Metal Claw or Waterfall,Hydro Cannon,45,1.3238674892057976,1.3418224080800532,1.3233873638766511,1.315855252765664,1.1976546400611061,1.344079103281557,1.2164665710861737,1.253435855273157,1.2112830161284034,1.2212532005893273,1.274549410156914,1.2197929700522927,1.3519650643575452,1.4137438515969138,1.3581489194668959,1.3160731714188232,1.3498954515148573,1.3567160976495372,1.378914107136391,1.395158429184583,1.3751520389970293,1.3469484729189742,1.3839254466660382,1.3653395968587454,1.2888017140862456,1.3267600342172936,1.3075730874311766,1.3728539796148878,1.4039413885736773,1.3934758920506933,1.3394679388032862,1.3842808164613645,1.3483103381887913,1.3158873338628003,1.390964787632463,1.3292280635589209
Shadow Swampert,Water Gun or Mud Shot,Hydro Cannon,40,1.1729130583998453,1.1812137164677843,1.1720535186627428,1.1298436501884401,1.0588835259623608,1.2462189954651128,1.0804888659692795,1.1233484559840385,1.0788321811342132,1.1163856872227302,1.1915547688878783,1.1203178499864035,1.1293156121273442,1.2084160874858947,1.1389729791363863,1.1479880676998393,1.1894650967699527,1.1550452469566688,1.1400312229892156,1.1772068801644713,1.1535966943631077,1.1409199221651263,1.205265903973659,1.1530133585304323,1.1088344377701613,1.1900794087989743,1.1242477402662747,1.1287753183552838,1.1748904611251167,1.1200257398032154,1.1251985314032547,1.189370550801013,1.095339161070774,1.1032004873433334,1.2130140314684996,1.0696189069366013
Mewtwo,Confusion or Psycho Cut,Ice Beam,30,1.6410372025943052,1.6999637820347904,1.640915859921899,1.49147515401737,1.4843182437161877,1.7597361503898392,1.6139151870346218,1.6271924475913608,1.6090229153576203,1.5953468515206093,1.623213504425966,1.5994034031074906,1.7019752215915271,1.801373389095456,1.7111379640709148,1.6233124340702854,1.6674483283198058,1.6325471328986538,1.7124981449506917,1.6672472118913773,1.7187765886492183,1.595285775658296,1.6642611388373711,1.6108892702148474,1.5481171916794974,1.6417928836568894,1.563423675275987,1.3917721711681879,1.4144318806707534,1.4089750649415085,1.3510746571569532,1.3912366329358552,1.3541668801458469,1.5339570149957176,1.6365113458648097,1.5375040986843886
Mega Abomasnow,Razor Leaf,Weather Ball Ice,40,1.3902851927470152,1.3901144437744815,1.2739305084652626,1.3037899761577656,1.184578443332767,1.208828212231159,1.5851336630848418,1.6370619262175337,1.5023992873304826,1.5892181012820565,1.6278028207223991,1.5120387930951702,1.3020459290461506,1.379650407665501,1.2270418333872868,1.3218301932268859,1.3446256131267822,1.2324037700058534,1.341615936970162,1.384463026311025,1.2302739544322967,1.346553797470305,1.3918686656693844,1.2344113598975353,1.2758641057688282,1.3338972216991636,1.181466806521617,1.630866489429879,1.6863737661489262,1.5174989691674894,1.588091948691083,1.6638405551794464,1.5077267381356287,1.3061998877633942,1.3933765936281473,1.1869673379174601
Mega Abomasnow,Powder Snow,Weather Ball Ice,40,1.424115719645973,1.4343378281909651,1.4241958487717612,1.3866941766364143,1.2499447674599553,1.422099881181252,1.4022893900288493,1.4233111381076136,1.4112956580731244,1.391096011527065,1.411668749238463,1.3941121248498887,1.382075299834994,1.4497979693395702,1.386471350702422,1.3974498308130052,1.427182762646767,1.4024496116994138,1.3969928407760757,1.4380884446234714,1.3949113957156474,1.3993238757921092,1.4486044363659227,1.4103746342630004,1.3413837270789792,1.4080773051004543,1.3447853293346481,1.4108371600367002,1.4432829750822318,1.412412689332077,1.3762003874314728,1.4314540780157852,1.3827146852069743,1.3585040184767558,1.4355341546103688,1.3622205927570512
Mega Abomasnow,Razor Leaf,Blizzard,40,1.5447975265877332,1.5033613768621654,1.37206156154881,1.4618114234334458,1.256817553816882,1.3172191288892479,1.8497735536238393,1.884115208706527,1.7165647383796923,1.8137327252465532,1.8260510419889011,1.6898217187188693,1.3748711341895117,1.4374351083809631,1.2774143745175315,1.4026921234924203,1.4272113569704727,1.288201891263315,1.4426439391622623,1.474029966339884,1.306755906655232,1.440417382423298,1.4649337805695113,1.283233050359065,1.3341740851567998,1.3966877978977763,1.2196430464830557,1.8282841647212091,1.8776367041775686,1.6653942102732937,1.7912217824066519,1.8376246050098821,1.6450393245163621,1.3670460637538124,1.459142847089742,1.2130659146189917
Mega Abomasnow,Powder Snow,Blizzard,40,1.6339035123433323,1.6479887039913197,1.6330687007342006,1.5642792647437052,1.4270766735910694,1.6178804038015142,1.6297290618461102,1.6475690452238303,1.630086505233622,1.554405057238775,1.5879418488386474,1.5539386213799118,1.537257913795883,1.6352167684792853,1.538788576191706,1.5410952236367224,1.6221425240007639,1.5397576916696143,1.5913615771117966,1.6217121537577437,1.5690716235710491,1.5780043749757309,1.6390472439440364,1.586941702123201,1.4629048646919125,1.574821143655699,1.4692523343291815,1.5855949378888174,1.611646020573049,1.5962904688681065,1.5320124684148908,1.597774398883419,1.5449124090618918,1.4782993399550655,1.6112179550988004,1.4647198801664842
Mega Abomasnow,Powder Snow,Avalanche,40,1.4269261837904372,1.4395988747952437,1.4297236094674262,1.393838727839212,1.2564367672892736,1.4273703600494037,1.410059715754724,1.4273960776712502,1.4152140350977578,1.3808735975538062,1.4021394450810987,1.3826405945796418,1.365823332280476,1.439130776681088,1.3701091607765632,1.3832367146734112,1.411024465597601,1.3914437707571,1.3843840401407341,1.4185876784951426,1.387017037560832,1.378555438240296,1.4323888581732473,1.3870423549179032,1.3401703200301962,1.3987968914679942,1.3456429258750886,1.408967340745304,1.4350322555667774,1.4151460399305236,1.37223422231625,1.435892214899691,1.3777718369638852,1.3295222934123643,1.4057460775070723,1.3347247538026208
Palkia,Dragon Tail or Dragon Breath,Aqua Tail or Hydro Pump,40,1.5420732861783752,1.5528071420828278,1.542940269331776,1.3021406229039714,1.3119424704719036,1.3347210556005162,1.4657416708895887,1.50614412818324,1.4811360548621062,1.4205255891015545,1.4968681401653448,1.4404585823806815,1.4769290553248153,1.5440957637125936,1.4808405733660288,1.4790256644619664,1.5040541335779058,1.4804578378496818,1.4797961443867191,1.5236310298952334,1.4901592800213581,1.490958198580013,1.5500889418143022,1.4910055510047098,1.4081215166855372,1.470683908545894,1.4125012925318734,1.5021383431730697,1.558728510853905,1.5106936704064806,1.447091763178028,1.5062076414610719,1.460759568323164,1.438143302478463,1.5187758023610922,1.4342454751724252
Shadow Walrein,Waterfall,Icicle Spear,35,1.6173074415679332,1.6195654943202737,1.6185259637850322,1.5760151758902676,1.441824731566247,1.728884322537826,1.596427908550282,1.5965560267029344,1.5920565136055576,1.5987093508173102,1.6157974765731122,1.5998250269814382,1.5533401572470882,1.6227691109995637,1.5662090450496262,1.6007556288716587,1.6070473191452066,1.6202324795207048,1.611337873756085,1.6270833071453215,1.6325083062119339,1.5932949089902733,1.6299636836334122,1.6117346180895202,1.54653716856364,1.5988652895726652,1.5630672000480084,1.584118188095266,1.6147770451171992,1.6162900290963518,1.571855347512461,1.604904143373865,1.572221021469465,1.5491622595000496,1.6111006011584035,1.551897109932757
Avalugg,Ice Fang,Avalanche,30,1.8269942236092176,1.8524923205424801,1.826765525892348,1.6050669055731503,1.6100231746626574,1.7963228705296035,1.8270176060984598,1.819724706007731,1.8285704016848294,1.7510664896759234,1.7829088369874424,1.769317166354678,1.7741417792590595,1.861554541725262,1.7779546083042925,1.7478213848605029,1.7959133750066516,1.7558234132263226,1.7797753002928491,1.8299539197309143,1.7863733659384242,1.7689694768705058,1.8523425659004606,1.791623752087174,1.6936761062677697,1.7796285290062086,1.6952763801446267,1.7732973973405461,1.8348066940026786,1.7879433190589185,1.7531308863619992,1.8326687828783694,1.7799831092167504,1.6968857569868265,1.8134535071032423,1.6910211019758081
Shadow Mamoswine,Powder Snow or Mud-Slap,Avalanche,35,1.2922622940009563,1.245216805735327,1.2924780032061642,1.3954866828008532,1.1066819781160961,1.4104689321585633,1.2847644539269956,1.2277643927735997,1.2875528342095672,1.1894809164605729,1.2091038712646986,1.1947657609974836,1.181540963796997,1.2077971384122999,1.1958831092407238,1.2143229233509354,1.2127620363791165,1.2461567476030537,1.2352817901980975,1.2175126598320802,1.2332537405392483,1.1777554704146738,1.193166658345707,1.1873807714330975,1.138099106204065,1.1658267264195,1.1547868153694991,1.1546472410336366,1.1445674468919225,1.118036618328108,1.0845631103200388,1.1156234799400226,1.0357663173704088,1.0720436245697371,1.1289085715122023,0.9966316174296693
Weavile,Snarl or Ice Shard,Avalanche,50,1.3409148108498032,1.3315430002163087,1.341781194533435,1.3021748134024227,1.1765247315933105,1.484517297370101,1.369042327090561,1.3427549497594453,1.3845561568774145,1.3406673599958003,1.3317123249816358,1.339567937067471,1.1571528552312376,1.20408994460048,1.1731622287199397,1.332278249219799,1.3411363856900043,1.3504746313413822,1.2160255622511396,1.2599713661061525,1.2563909849200203,1.3180630315783506,1.33544027738998,1.3248248437970944,1.2537882410694492,1.2767033529555993,1.2688722600082702,1.3390775543127516,1.3311182493626128,1.3522520260510262,1.3003824908941004,1.3183266658104351,1.3020957555280408,1.2430619299254337,1.3153882078150354,1.2438197788236502
Gyarados,Waterfall,Hydro Pump,45,1.4181547920863995,1.420550922708864,1.4244070619537021,1.218187297354765,1.2031494771605213,1.230905621504326,1.4173856958988242,1.4106496135713333,1.4206437235337221,1.3943798586772256,1.423050993407019,1.401908627793716,1.3771715183295479,1.447703220039764,1.380101913098638,1.343936657390858,1.406518785860287,1.3468220703730251,1.3757320714057493,1.4255819883014162,1.379434177597308,1.397177129811287,1.4573964703105076,1.396636883794407,1.323649409117576,1.376474833165806,1.3239370317581556,1.3666056874891703,1.4215920789965386,1.3635923864608936,1.375050318277768,1.4429528725874219,1.3750784848266564,1.3850023827379112,1.4353236982999191,1.3815938118510105
Shadow Blastoise,Water Gun,Hydro Cannon,45,1.3887804237152237,1.3921248655564153,1.3863078107413993,1.2495425554880666,1.1576585228026717,1.3166737498433685,1.288822393014637,1.3273888179406184,1.2899147500202952,1.3444007495978123,1.3983174451136762,1.3431229500739716,1.3492891902128825,1.4367108648327727,1.3602650317233353,1.3476369381692745,1.407447201449906,1.348789303500496,1.3277036769094157,1.3692316409217404,1.3378347320389483,1.3441126744242666,1.4203244373028012,1.3433668698829953,1.302245127670768,1.3952839254854237,1.3146430145610548,1.3838733818184825,1.4458999928959948,1.3892927229802543,1.3230924695943969,1.390343467097567,1.3217076001597312,1.318710656052129,1.4002061907380767,1.3137748277352652
Mega Swampert,Water Gun or Mud Shot,Hydro Cannon,30,1.1227671124890035,1.1475742206018775,1.1225597958605613,1.1152846773973109,1.023342683246863,1.1092159992407724,1.0561530329759852,1.0998878139162955,1.0695335569425732,1.0610155007501028,1.139820399254869,1.06836578657588,1.1180701779678455,1.19994705132221,1.114455120097824,1.0697433866822759,1.1240035183382424,1.071889447802447,1.1155809695486738,1.167508279007671,1.1215306356585597,1.12793762238745,1.1921549991401676,1.1275806994413864,1.0586612450690365,1.117037387248671,1.0509662650610978,1.1167516202958048,1.1799448293178163,1.0632672748547156,1.1053033106263752,1.1626888346496043,1.04669046692059,1.090662239574892,1.1762713813927688,1.0160115120429918
Clawitzer,Water Gun,Crabhammer,35,1.557628127920854,1.5146965009449143,1.5567033958463738,1.5733527825247038,1.3209303766881784,1.624061306179883,1.5137941140392819,1.443446698378219,1.5038411306297332,1.4737296140144576,1.4740077328414731,1.4843109328653161,1.4939403907979392,1.519099269596581,1.5086497693980234,1.5108157599015868,1.4949116346186955,1.5625084593497334,1.5790177835204828,1.5240910633621054,1.565992663854559,1.492433119515486,1.4971124728721306,1.5101024156054361,1.4219497411048418,1.4856112082366122,1.4509022541060237,1.5438724947575073,1.5266167156116341,1.566283300964378,1.4553659198003335,1.4732186508216307,1.47589350754612,1.4286715010045556,1.4761976498589031,1.43581599672788
Crawdaunt,Snarl or Waterfall,Crabhammer,30,1.7272607378773475,1.5787023877380457,1.7277148362273569,1.6608273685648225,1.4162356243162464,1.68674908892245,1.6809953662891723,1.5820352243560745,1.7588865540132899,1.6102908838410046,1.5102278198635026,1.6008768638495954,1.3686547759314183,1.3867682040568647,1.3886463093854153,1.6717263646864013,1.6206467607185675,1.6646820192256524,1.4847458193145389,1.4707500703089484,1.540055838156774,1.6453764124829193,1.5857892491967194,1.6406143580317913,1.5587350830537043,1.4921148715297132,1.6029492960982337,1.7184192197546977,1.6085579207591438,1.731830322525598,1.6200672315027962,1.54186088614334,1.6304535574850894,1.5956366169035707,1.558040024250894,1.611967506072948
Shadow Glaceon,Frost Breath,Avalanche,40,1.2695702651005185,1.2275144135012581,1.2709518430947826,1.3478928774696433,1.0594694103744797,1.3738684997344597,1.3590035143533457,1.2438761668765312,1.3613829536518054,1.2215201164201142,1.202154937224455,1.2296572260143672,1.2239385297305516,1.2095456636474562,1.230992407631425,1.2435347404599506,1.209260835949654,1.2705431512916745,1.2600254744470358,1.228026319467727,1.256550833416666,1.2175568090413702,1.2014584485169895,1.237735521684113,1.1555360935264858,1.1639871534737314,1.1824162734991726,1.241537306740047,1.2154419273880452,1.267796754785149,1.1923901132398582,1.201180515448522,1.2119942345123826,1.1380604550581557,1.2067697506563386,1.1463685191565265
Samurott,Fury Cutter or Waterfall,Hydro Cannon,45,1.321838533816839,1.345814776829894,1.3223847506880164,1.2677440793378336,1.1792056636064514,1.321694430584312,1.2712122713050742,1.3135907700571516,1.2875090254902375,1.2771828255720514,1.3238747799500368,1.2755859540460919,1.2277006774547414,1.323947874385815,1.2375429716527984,1.2701792036160002,1.3260361725237817,1.2854606393734604,1.3077461418257663,1.3435609479616222,1.3093502927835345,1.3045657722559478,1.3616541050992692,1.3082520498838457,1.2473513434532622,1.3215024110695175,1.2529798956164477,1.3238400268223183,1.37232674214453,1.3329316500724873,1.314314346849319,1.3610533218853729,1.3097999079192666,1.270782455031589,1.3755999390651832,1.2704226529879472
Kyurem,Dragon Breath,Glaciate,45,1.4250303106901945,1.4015301465853451,1.433714279719588,1.2930289452790544,1.20997070713258,1.3394364575901145,1.4255596876813816,1.4450090603584018,1.4228404178886915,1.3487744171081062,1.3935214957756878,1.3591275860516365,1.3576531153874887,1.4486261521907515,1.367599865269206,1.3707704033881223,1.3982802713252305,1.3747796343307175,1.3862567253159306,1.4619239942912323,1.4012810768835622,1.3491797845056335,1.4034247837629108,1.353884563017094,1.3141460052351774,1.3830289687754445,1.3298878338173703,1.3540447725233613,1.438338831733178,1.373928714126183,1.383733457254857,1.462249194285114,1.3976792017068218,1.3794634592717097,1.5179397569360586,1.382924927312044
Kyurem,Steel Wing,Glaciate,45,1.5225794284954959,1.5017418093696124,1.5315804670768705,1.3893779052338615,1.3005994343141436,1.4434667776158865,1.2379599334393565,1.2494751894235379,1.2444176068852286,1.233148933200908,1.2515034954415185,1.2459204200319816,1.456390079724457,1.5440699446791166,1.462667250325359,1.4468901520961346,1.4592666268088608,1.4439688983907673,1.4839955445045794,1.5423036607369502,1.5059139253368685,1.4499874877419938,1.5425883670517113,1.4633286057954562,1.4464320918478057,1.5379043155252832,1.4688983170179961,1.441609587174602,1.5180707852105888,1.464712564053508,1.453136816072622,1.5275171007620771,1.4563621653839822,1.6140325230627364,1.794910942318679,1.6077472427316521
