Attacker,Fast Move,Charged Move,Level,"Dialga, Tier 5","Dialga, Tier 5","Arceus, Tier 5","Arceus, Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Meltan, Tier 5","Meltan, Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Regice, Tier 5","Regice, Tier 5","Regigigas, Tier 5","Regigigas, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Stakataka, Ultra Beast Tier","Stakataka, Ultra Beast Tier"
Emboar,Low Kick or Ember,Focus Blast,30,1.8230946616711587,1.472654126324307,2.07130623637754,1.4553474069543288,1.84106872294854,1.4316202299963858,1.8941185422029159,1.4695071025307065,1.8611634313565544,1.4427070270251048,1.8563953940045148,1.436426948907495,1.493461000598058,1.468120528088406,1.6287347840355766,1.517022929398647,1.739575573655906,1.3723494183974596,1.852209116231488,1.4762425378907496,1.5628292831557988,1.5235257322275542,1.618252007642616,1.4325291158077214,1.5001716017178564,1.5274900455677343,1.4190310065465506,1.3965630502231672,1.5333526296666444,1.5052604222319041,1.504632304656313,1.4428933370560333,1.6532850282391085,1.4943718137313444,1.9068417847069188,1.4480466216219328,1.6237922595456866,1.5377377418649658,1.5245644111332808,1.438752992485217,1.9910288882601592,1.5737182849187883,1.5491844186626644,1.5589867738984908
Lucario,Counter,Aura Sphere,35,1.0439179613045442,1.051252989109785,1.0627321693493739,1.0730021150209657,1.0601190041679946,1.0706820929350622,1.08557913203472,1.093269996463672,1.058451807756476,1.067407616177988,1.067809044633922,1.0795033987168874,1.0797935122280728,1.0919448264859728,1.0580812729581859,1.0675591330991279,1.0644918920524653,0.9842392185832105,1.0693808993430953,1.0748968568236539,1.119697733072953,1.1240622654151016,1.1994449685405346,1.1056179608670262,1.1002924575258004,1.1077888154154258,1.1063732483919053,1.049428971394466,1.1302590975130191,1.1229035776743694,1.189251579160022,1.0939406732660237,1.3579772788849893,1.1381503666036037,1.1729536403231549,1.056483002802214,1.2529752682550472,1.1335388073994523,1.1530206182849292,1.1380752862323438,1.3947440060695893,1.1729540121645152,1.0797925545355687,1.0872827437439805
Conkeldurr,Counter,Dynamic Punch,40,1.0784553777017736,1.0772219334287818,1.0880127971522402,1.114656272971666,1.086759629028898,1.0960165473479555,1.111186996106854,1.1261562519894972,1.0885686203295752,1.1009415866007617,1.091854413216802,1.1063680424608535,1.082348238726826,1.1146049055523148,1.0925408438428972,1.1095541539982736,1.0062622893365638,1.0135208190431062,1.1015092117484386,1.1252167068273877,1.1220062155706867,1.1427924686680428,1.058077905661522,1.079629671714913,1.143516113385452,1.1633427443865838,1.038305082242632,1.0473570543376063,1.0883102819283745,1.1289969928638244,1.069007669211683,1.0818650600011217,1.1071323329329563,1.116533780766986,1.0921619492765666,1.0671260756897007,1.115058480927416,1.12103403190937,1.1499050148532717,1.1420806442843328,1.1320614222150904,1.1512107507175262,1.1113815677406802,1.133492964727974
Infernape,Fire Spin or Rock Smash,Solar Beam or Close Combat,50,1.4670436544332204,1.4182115976189877,1.5194952686283545,1.4658899579047147,1.485517865758883,1.4535449319073248,1.4001354189187756,1.3487167307712349,1.4862911374567072,1.4546146901023829,1.3800384078663084,1.3263490587696107,1.3391647000679376,1.3287613693407785,1.4488728193302445,1.4501839137253738,1.3439512890729353,1.3078655480207007,1.4787752989358427,1.4764722398066037,1.3846617287205785,1.3374917401915423,1.4119841729965172,1.3841042488639257,1.3145640761448667,1.3457555290158052,1.2711913711232943,1.245535732670229,1.3802985960118817,1.3916538918393526,1.5109739865097114,1.4581479891305034,1.346546751868772,1.2977749622274541,1.5906923406611975,1.411096804131827,1.5250713229322836,1.4871845380591275,1.3956252873032953,1.36610986807527,1.7087444030139622,1.5297705182939276,1.471103273062525,1.4791957128798476
Toxicroak,Counter,Dynamic Punch,50,1.2683278019784727,1.1735204480407204,1.408796789063895,1.2576659922216746,1.364033643069396,1.2429854485178784,1.4191290167138473,1.2735098560517555,1.3896256103020181,1.2503446764415753,1.375860512622207,1.2519865440680162,1.2707010090327846,1.235855409069194,1.256952442066344,1.2206078944255048,1.1412342802326347,1.1044173246252091,1.2116150100714986,1.2198073456781386,1.2381405053631422,1.2382623713895677,1.1790801686498775,1.173966323213148,1.229306613848359,1.2515061789830757,1.1092053866861382,1.132951561261676,1.2103903948984565,1.234139857840406,1.2137442699171124,1.206758408444568,1.250779042732102,1.2470591558145543,1.1905832352381975,1.1542497482979324,1.2521572465620199,1.2296325907179086,1.2440849297373535,1.2464228989170212,1.3348916637458883,1.2614025086321328,1.205579859964624,1.2408421982308686
Lucario,Counter,Aura Sphere,40,1.0,1.016016266070769,1.0,1.0137248039676845,1.0,1.0051059713955572,1.024031238001867,1.0290392078225337,1.0,1.0054556988416543,0.9999999999999999,1.0067860866260132,1.0599751072705654,1.0700166724615787,1.0316451664825845,1.0392454406056297,1.025048225796819,0.9474005785750047,1.0468995183153875,1.045844048688753,1.0680718847067874,1.0679970941146832,1.149372543349946,1.047894377472432,1.0564536990872184,1.065740951061431,1.0781688416790105,1.0214568840883786,1.0776973148118352,1.0759351227068874,1.1478308138330917,1.0499570019725528,1.1435589365279093,1.058824063826261,1.1137556158218516,1.0131219296836265,1.1058157640530633,1.0553248541108284,1.0773418410807054,1.066124655441998,1.3310399520288503,1.1137397086540912,1.0212196462867535,1.0307706466605366
Zamazenta (Hero),Snarl or Metal Claw or Quick Attack,Close Combat,50,1.4475589856532498,1.4586836215439778,1.5170762479595854,1.4513947418976967,1.507185740152868,1.4422557824025526,1.3077416544871703,1.2769026100974967,1.2798168127064626,1.249085241571353,1.5190546109252405,1.4883980983786218,1.3028010531181073,1.3121499459923258,1.3041795978727535,1.2841086095499508,1.200086209725107,1.1572984362493626,1.296784758872168,1.2684272794849407,1.4765664595654862,1.5046595460798782,1.4255263216851835,,1.4290316705847386,1.5199768815967174,1.4921878339325214,,1.6297265362145086,,1.4584281405746595,1.4274716695929506,1.2950409493814914,1.272649533636725,1.41465852074223,1.4068377795711375,1.295472432784511,1.2940287137804614,1.4840900291134007,1.5137164153775433,1.2836804907471142,1.287777463412849,1.6177985237594323,1.6897707007500684
Shadow Poliwrath,Bubble or Rock Smash,Dynamic Punch,50,1.178476495111642,1.2284764072038303,1.2051414256386492,1.2530403537866224,1.2084767324062025,1.2431223638458073,1.2359383189077766,1.2716948657444607,1.1552756366856471,1.1842722008125357,1.2104008505537118,1.2494248581282466,1.214380674966378,1.2498911937748378,1.1874892065602447,1.2312999795146788,1.1227351574934405,1.1249781215264203,1.196941602878882,1.2622784672970362,1.2684273532128034,1.2929941036433965,1.173178809067792,1.1956353728918163,1.2519189321141069,1.3071404389093129,1.1640199152829391,1.1851687205491486,1.2236423478743879,1.2634034570641839,1.1999101448774145,1.2452287794506967,1.2455785496778398,1.2574180503167969,1.3124890721941838,1.243240366612636,1.2022422286634384,1.2114286909356502,1.2840347103570882,1.3098868581088319,1.1967830051504238,1.2349053175062323,1.2358243042834873,1.268363880463749
Gallade,Low Kick or Confusion,Close Combat,30,1.859413432196412,1.6010169175653288,1.6832245498690621,1.5463138664713076,1.6213712541906953,1.5213377820429048,1.6573563695060693,1.5573410928977514,1.6209134381358354,1.5238408429247197,1.6207847965355635,1.530015644323519,1.6594317602775424,1.592934344504235,1.8944172112352535,1.6497627319147365,1.6779554932590495,1.4813301967028738,1.7424145289237725,1.6061961069887465,1.6761770183837348,1.617654705319305,1.560775993164777,1.4277292444919811,1.6371685410027692,1.6492478855782788,1.565061220281825,1.4522036191557859,1.589436511741482,1.6092668485525952,1.7511452785044868,1.5899538134969522,1.6928532262391964,1.5874526570170773,1.7330738128110024,1.5260819506024048,1.6635984484615391,1.5986849620003705,1.5834596918625823,1.5418281880986002,1.5875353836495518,1.5354425437096284,1.6998026943045335,1.6745338410752675
Pangoro,Low Kick,Rock Slide or Close Combat,35,1.8133559901066596,1.5796370540412297,1.5486659956108455,1.4745054530866517,1.5263653253474962,1.4619741267419317,1.5620733829650937,1.499344498348174,1.5236800517092457,1.469188989024677,1.5237268219400433,1.469710371164803,1.59672337270283,1.5639371094681356,1.7838067458483653,1.6171783210804107,1.7238671142658204,1.4637377303294796,1.6361959093169782,1.571441627526843,1.684112542209436,1.608911927105793,1.8083584488453475,1.5783979787459292,1.6087607671225694,1.6276082060607382,1.630407514652382,1.451166276083214,1.580100136108181,1.5917433213021313,1.7445263447796513,1.4898410570218372,1.7302674623018193,1.6105384926823614,1.9159975711383472,1.5403453439836186,1.6996863908448974,1.6258428124885365,1.6067132173520482,1.5540319670740126,1.9140090677859936,1.6451804337391458,1.622185426988416,1.651200424320268
Sneasler,Rock Smash,Close Combat,50,1.2756727438313624,1.2290551336306181,1.501145316763499,1.295491011473057,1.4646296431477352,1.285767571542265,1.5081439976649587,1.3201044670632092,1.4739850304578659,1.284679091051749,1.4580735569564567,1.277998588039381,1.2967195008023762,1.2741748024287587,1.271011939314479,1.2692929438703895,1.165631094209354,1.1352391903262111,1.2726279265793363,1.258812317245129,1.2998648698793507,1.287355538341299,1.1916930742864167,1.2192260365994754,1.2708582231574908,1.2739691450915516,1.1884741244320352,1.1832081705428932,1.2803859156471518,1.3006843522066316,1.229616320102706,1.2369633101775213,1.3072161937729039,1.275858972824135,1.345422244892416,1.2215608888823415,1.268135678495368,1.2624235436954734,1.2541776164577214,1.2539197231343617,1.4787714993940266,1.319029541388489,1.2762884409055717,1.285598904323691
Bewear,Low Kick,Superpower,50,1.2016914830418997,1.2433167109429013,1.2682772184754048,1.2669156191007245,1.271508525605303,1.2631270018747964,1.300694482714338,1.2924642270479882,1.274518393190312,1.2631059065988413,1.2740911480755166,1.2667662952321825,1.237973406545569,1.26423042290954,1.2717711543097565,1.2714106442540365,1.2830906802308544,1.1731211139509568,1.2659942084612303,1.2543717795974425,1.2858527544948686,1.3091787762507487,1.1993787245139809,1.2344521159647621,1.311533273768635,1.3748631334928185,1.1974222912174886,1.2187230768291355,1.3393674562120856,1.3451490641748276,1.2835099928765406,1.282996399468756,1.270817394816043,1.268782564213328,1.3634370694191311,1.2188324706946057,1.292349500858768,1.2873546961148015,1.3506595412703462,1.3500563897076634,1.2929362763521095,1.3047225401061617,1.29752108482611,1.3239024870689688
Sawk,Low Kick,Low Sweep or Focus Blast,35,1.8600106192636492,1.505126002173472,1.9785246083233399,1.4667921462566342,1.817298957912335,1.4642996398183246,1.8705376387733335,1.5025563176466032,1.8413974032463198,1.4750619804125449,1.8345003101926391,1.4869721101815332,1.631440248958347,1.4839632481926037,1.8601409419422532,1.5575696476936636,1.8443929470115012,1.3804863992229635,1.9039326188190357,1.510064909551744,1.605887863434453,1.5292586212579065,1.7029632892582223,1.4640275863121253,1.5525397741283802,1.5181676382308122,1.5711404696004518,1.3520672096067767,1.5724539559314399,1.5255062589442832,1.5744814298710397,1.4660648770433553,1.6040224629238522,1.4987760464251734,1.8826240176483777,1.4747646522368225,1.593631106699882,1.507137437784423,1.5402661231725863,1.444607018520868,1.694586495164176,1.5554566479033034,1.537219006900048,1.472692697993924
Terrakion,Zen Headbutt or Smack Down,Sacred Sword,30,1.4707763177918183,1.4631771758502006,1.3018601999147,1.329013478375574,1.2868825679546916,1.3253831047553595,1.1237683774935923,1.145656794725479,1.2860076079094875,1.3306422179852333,1.4367060262341622,1.4689094589969647,1.148159872031264,1.1560342404093074,1.1429648606504514,1.1240476737594998,1.1037613068106715,1.0246333240281895,1.091156701975888,1.1170783038883747,1.511335787632517,1.5571664598881574,1.1317697379127352,1.1594502315290514,1.5250759946689842,1.6133375175895723,1.3050638530457628,1.313940804560731,1.3442141772435952,1.387046641091409,1.4872614916920388,1.3538317484444582,1.1637464592130502,1.1650864302962267,1.3273251079199948,1.2333571646584978,1.3636391426455665,1.4023629244221472,1.5712454505162812,1.6044816018796022,1.3946402374909739,1.2677757461357748,1.6023197950733314,1.6479611072046447
Primeape,Counter,Cross Chop or Close Combat,35,1.733445103232097,1.5783364091299883,1.8084887491123494,1.578300905211849,1.7977076029847185,1.5666774976364748,1.8571522900373079,1.6010239104631478,1.8229017457649497,1.5635762331290364,1.8103072053012452,1.5878402698441423,1.6895729526695589,1.6364842484005606,1.8802246806989515,1.6514059017696416,1.6571663114875674,1.4447934822177046,1.912817110663489,1.5926195340705598,1.7421729167708624,1.645018036171911,1.6923208344877685,1.5757029804815441,1.6097682864170608,1.6208333469860725,1.5923305981841311,1.4923822736316479,1.6679654583318304,1.6340058886549715,1.7087813612513332,1.5492248335012624,1.6692290283059272,1.5936556190059759,1.7081996178087675,1.5444033751785624,1.6529725170359366,1.6025320088313388,1.6645533226677562,1.6002017919487526,1.8239915994183782,1.6860190842971905,1.7013978107463787,1.633768377322116
Toxicroak,Counter,Dynamic Punch,35,1.4619321082110002,1.3570260513823114,1.621032462726702,1.4048563428599357,1.5408370885640985,1.396613971773009,1.6023065630757596,1.4350031283599607,1.5617943712850095,1.4009180258199485,1.5530374911149363,1.393828768034205,1.3878828147493594,1.3833303234725376,1.5365592457655723,1.4108929439155238,1.3466073435284174,1.2565017751709573,1.5357782239899338,1.3788037173030154,1.353789808704334,1.3783387545948964,1.3861124690330666,1.3010056573903002,1.3720264994909026,1.3863385161244839,1.2608659024267013,1.2759427006051807,1.395482013428809,1.4241325959502398,1.3582316128077183,1.3542401664418002,1.4802779027785733,1.4017877906060914,1.3686506973770043,1.3440255113338437,1.3854994051700253,1.3905249654121803,1.3897615403246137,1.391409116596945,1.5520361697964749,1.463374674667489,1.4241500072253925,1.4229042526481668
Hitmonlee,Low Kick or Rock Smash,Brick Break or Close Combat,35,1.8108953039451658,1.659685321290354,1.8662002632493835,1.597160124585919,1.8267221687103077,1.59708827922893,1.8821784871224834,1.6306752747798576,1.8423900678417127,1.5952991352304355,1.8279618505270412,1.6027195095958686,1.7021092735703394,1.6530630662715062,1.8723706955085242,1.7114772015189716,1.7111624877876457,1.5359631387957942,1.94465349115187,1.6640395031166249,1.723463341431614,1.6878917142856484,1.7564626742847835,1.6305418594821823,1.6719945467965336,1.6733166251993343,1.6646535394841457,1.5827251634436608,1.6876928316714475,1.6814537703249552,1.7951961144460298,1.6136172264564184,1.7488954341926857,1.6610726714329944,1.7933080165785,1.6047837894200887,1.7183023397440964,1.6669487473975257,1.6731950762599745,1.5824637894872122,1.899591090991756,1.7133650607310815,1.7706940897902377,1.7125252787830985
Shadow Poliwrath,Mud Shot or Bubble or Rock Smash,Dynamic Punch,35,1.4901482203844933,1.411854055841777,1.4657792301266603,1.440589931558371,1.431201071464816,1.4334264796736822,1.4638538928251954,1.4719073548564074,1.3923085608763899,1.3926793097669217,1.46836501920505,1.4291638799512716,1.3684848845955324,1.4146074188912061,1.3467894604913417,1.3828379272601286,1.2447255929648557,1.2617737757033896,1.3858526071441994,1.412715590347956,1.434063968658478,1.4630664695913436,1.3918203079471503,1.3448869792557343,1.4194024201391395,1.4541162796916687,1.3836538446518751,1.3222692635886617,1.4073583005329697,1.4330653333853174,1.3890019312208697,1.402521373541304,1.4286934486997465,1.412249404746292,1.5678288158931155,1.4282862023993066,1.3787658150363593,1.3806768684953055,1.4218369863758513,1.4396509851928618,1.3830138775694054,1.4082933221851086,1.375556254324135,1.4261034466334108
Sirfetch'd,Counter,Close Combat,30,1.543897547157169,1.3585985267822869,1.7334608910201423,1.4198224306383895,1.639826470059342,1.4239698857495893,1.688525929255333,1.4604188630298933,1.662171743866751,1.4246247056569437,1.6580063496681203,1.424315743450249,1.4894038505710374,1.4150892230454348,1.6108437814018222,1.4373005593773318,1.5152555193527841,1.2638718837989373,1.6804686504777557,1.4048870562085776,1.5030765553735022,1.4360813555696865,1.494602132627848,1.378037789611443,1.4187264774315995,1.3957520356762456,1.444326983032873,1.314639360332086,1.431304064937574,1.4102197419379554,1.5614732085807108,1.3594909763188205,1.4877369090708472,1.4048013884295485,1.542328714844,1.357625018932323,1.463384815179214,1.4097473381768708,1.487547471978146,1.4111153628795081,1.5592817277496491,1.4546016972890954,1.444659667857982,1.43086005584946
Sawk,Low Kick,Low Sweep or Focus Blast,40,1.6976960730017727,1.3560419722684065,1.8681876551771992,1.4278837072034685,1.72795302682579,1.414336984408745,1.7637274341810039,1.4402873695214051,1.7222872983830635,1.4176133284670691,1.7567720702163376,1.4155879094249106,1.564478981451462,1.4366377561531436,1.6917051149606763,1.4262018708497266,1.668168583122622,1.283096838807687,1.767019051165751,1.4706626421345428,1.5593578011888594,1.4760117530707357,1.5878173635532888,1.345936031050128,1.4481286639767774,1.441907771396282,1.5326305458270622,1.3192845414297498,1.530419629135104,1.4824197407517852,1.522664747395551,1.4192257065362484,1.446408996188823,1.3397253839567749,1.7253138852533205,1.3343695432902238,1.436742725075819,1.3516140038096556,1.4851959099544105,1.4103221586424952,1.578796977029308,1.5141305158728486,1.4971543658728959,1.4370356676061022
Toxicroak,Counter,Dynamic Punch,45,1.3404531823506902,1.2405960130095748,1.4554465402006498,1.285177229552642,1.3924205170022488,1.2761939141225758,1.4486382180148119,1.3120401744309258,1.4182863666208638,1.2840774020549446,1.4019801311417728,1.2799755384054763,1.3337018269838856,1.301726964642562,1.3538734548773144,1.278263325458718,1.2417178785969583,1.159345671395108,1.3037511024471764,1.2791748887547216,1.260057836521364,1.2690208378805012,1.2522338286269719,1.1988577982516413,1.2712763669184022,1.2770415927260743,1.1368430533302263,1.1580533820579269,1.2685037949185438,1.3005391435714284,1.2439502260401452,1.2408452581336704,1.2815863985718305,1.2706412621415417,1.262277421484377,1.2199637604265885,1.2749164643389812,1.2588689164133406,1.2760643196905115,1.2666231421053586,1.41061586904777,1.3293987418834026,1.278070368059082,1.3066209623577223
Shadow Hitmonchan,Counter,Brick Break or Power-Up Punch or Close Combat,45,1.4380015018561247,1.2770382451725426,1.5690317906006166,1.3296136291758376,1.5346346372634028,1.33179711605399,1.5783062696483827,1.3642614647259383,1.5418161627845464,1.3332529747708493,1.537761324510731,1.3360231735590695,1.3862649134882552,1.3223256691376637,1.5196268952236478,1.3547945326816468,1.3908999833666673,1.1872571696443643,1.577318458004023,1.336383294832079,1.4134302929786038,1.3570416437243547,1.4078744107814116,1.2942901356197354,1.3473199743659694,1.3383155084933602,1.33851461702302,1.2189262853078282,1.4094482937183241,1.3861739794876153,1.4658624868675716,1.2828757245241433,1.3790905238423123,1.3053790728299817,1.4206955493734263,1.2579064833020366,1.3568835203913798,1.306659866408554,1.3821159362503852,1.3190434097772916,1.4687163072349447,1.3715056437888764,1.3696599705978991,1.3544593589825356
Primeape,Counter,Cross Chop or Close Combat,45,1.5807380993823208,1.421825487756493,1.766462897230887,1.5228591544446923,1.7183587608895758,1.5220651335948197,1.7725528723322874,1.5602668114023295,1.738008873968049,1.5253389529500099,1.7259725121118532,1.5312098200909496,1.537699210006155,1.4993926744613812,1.6303050620294504,1.4977094071177997,1.525724271924249,1.3359228855095726,1.678471250471606,1.4810576757411837,1.5438439967354887,1.5172545007457163,1.5306507027696077,1.449878496205797,1.4662958265637767,1.4788643443762677,1.4896788269403607,1.41609243585904,1.512015856569065,1.4927438462311042,1.5448346168072309,1.4370171684227886,1.4961974318332114,1.4340887207536601,1.5579907752976117,1.3980988034771944,1.4835629942688155,1.4373423640920129,1.5001023582348745,1.4341208395599545,1.5898613650663618,1.5364950937957034,1.5232921633955954,1.5021796466742607
Toxicroak,Counter,Dynamic Punch,40,1.382233616376952,1.2733920244954142,1.5783810858582212,1.3658142099370132,1.4894232464066404,1.3542716603075522,1.546575202392307,1.3908363922576128,1.5117682543817497,1.3574522971983565,1.5032864515887505,1.3579822749488406,1.3574725301278008,1.3415362148359387,1.412543673762208,1.3299312430031287,1.2665938195007038,1.187939270843134,1.4514078256544767,1.315875764025788,1.317952150615576,1.3388670112642236,1.3330101183586804,1.260301577408348,1.3153404325462557,1.326120529621987,1.2186295668478502,1.2357678802515581,1.3155382184558184,1.3311441361233487,1.2683365815577052,1.270579691013096,1.3209175794329788,1.2937498836894255,1.2919157024800998,1.2564008284646382,1.2939777901313398,1.280127340437493,1.3674355822762496,1.3633019983952206,1.4490126642146204,1.3691650795929775,1.3242407484699525,1.3431501662647627
Mega Lopunny,Low Kick,Focus Blast,30,1.5490917267223534,1.228953795458839,1.391335781028171,1.2354229533555556,1.4051793697621877,1.2186947286708532,1.4304074949943737,1.2576619562805038,1.3946422784430859,1.2247129474492342,1.3924435223570333,1.2356093912759274,1.4107756930434951,1.278917152683979,1.422022887931528,1.2718039894979303,1.483563638230499,1.172062408015962,1.4372113321076057,1.3181746134784813,1.4405622800505486,1.3223166829577249,1.868117222807566,1.3365784847460638,1.3591354951732195,1.330587670614757,1.6228029947050773,1.2729945801132032,1.3703451201391204,1.332570943436108,1.553624065230475,1.2463931951351284,1.4209739433541493,1.3014426467612321,1.625523487359193,1.2540935019664297,1.3932813290789097,1.2957313754395614,1.3455066176555395,1.2735080411970272,1.7499852905365367,1.400012386916601,1.342468799624118,1.293756493771227
Shadow Poliwrath,Mud Shot or Bubble or Rock Smash,Dynamic Punch,45,1.2424605376949673,1.3006436902996075,1.2689865362513737,1.318977876028056,1.2635138010294467,1.3093213254970526,1.2940748011367398,1.343367005429362,1.216806749585797,1.2475028906410799,1.2651043846143912,1.316290749165147,1.2714200277398864,1.3124664423163979,1.246503856413866,1.2849517178868333,1.1665769791569953,1.1745752108691532,1.2597859727232483,1.3145642362475358,1.3485144214469456,1.348215777657365,1.2356607873884269,1.252367767279201,1.3025960322215917,1.34866731474017,1.21801394172049,1.217919402206381,1.2889567739123426,1.329118653101675,1.2835722018912383,1.3119726731614283,1.2846086418427054,1.293956971461671,1.3907636044564733,1.3043929434111143,1.2829143477642355,1.2931214452236004,1.3128814440378491,1.3438775358892274,1.245620450799308,1.3033787848716336,1.2968477912499283,1.3291989824709551
Meloetta (Pirouette),Low Kick,Close Combat,35,,,,,,,,,,,,,,,,,,,,,,,1.3268032196208683,1.3150037240103005,,,,,,,,,,,,,,,,,,,,
Hariyama,Counter,Dynamic Punch,30,1.4366946057227206,1.3273345531030578,1.49044289505825,1.4014862584285557,1.4603009199499342,1.3973483115259917,1.4909356742843258,1.433224998501691,1.4529829948953124,1.400171638065509,1.4508438146667442,1.4004812352774647,1.386276121621148,1.3880955266740462,1.4151844804426679,1.3958432005800656,1.3201376250436923,1.2643164398913067,1.3923738231818714,1.3967975221233757,1.4012584986428214,1.4103961458299001,1.363435790223811,1.3315061694249273,1.3850762631434919,1.4120690495294244,1.3847261563393165,1.324026676118488,1.3565152980481374,1.4004077314580434,1.387200927525865,1.3876187823144197,1.4033647788282078,1.3848246901083332,1.370732493298303,1.2919628894246462,1.4028163163845313,1.390978431933348,1.3839228783218027,1.398023476901227,1.391506966936786,1.4129828962018618,1.3497431958194441,1.3992500526767455
Shadow Poliwrath,Bubble or Rock Smash,Dynamic Punch,40,1.3229766210151634,1.3379480050689598,1.358453599843456,1.3650911125060226,1.3334262126086733,1.362280672861388,1.3652241140329413,1.3964020470200078,1.2821659114621422,1.2975984451662836,1.3379022435949697,1.3643612044185798,1.3068961458287744,1.340077459357903,1.3055189011924304,1.3500289169685535,1.2130371792765855,1.2304122323619653,1.2914449977084717,1.3463576658331915,1.3762213395882392,1.3851206133704375,1.2736186146036972,1.2790659903866113,1.3498943700790025,1.3943809131113967,1.3104759295935873,1.2794193619480976,1.3129014202055944,1.3535757346890938,1.3177719767578686,1.337782349847472,1.3162639841943635,1.3190891039374737,1.4505597292344068,1.3480723097341836,1.3244701330933932,1.3229649030929667,1.3432651988591897,1.3685449643043677,1.2946097487848858,1.3361034983186169,1.3121845147321316,1.350490761588682
Shadow Machamp,Counter or Karate Chop,Dynamic Punch,30,1.1519232568711189,1.0680564696340047,1.2713843746025528,1.1154290039173465,1.2220181746640768,1.1001928654473072,1.261112458363051,1.130371585635947,1.2362709329758024,1.1042797491532568,1.2241844203016223,1.1004448752588678,1.1032963846638972,1.0962045962660711,1.2118155675689215,1.1204538003542701,1.1312911803072931,1.0060030598293837,1.2661750415232733,1.109540176420833,1.10514952241194,1.122382530945904,1.0912646586399108,1.0411020276743153,1.078815870986795,1.0911839842060886,1.0883621041606049,1.052376026852488,1.079533107811894,1.1029327477411477,1.1596193166793123,1.0587619499299674,1.0934010911726904,1.085618356834541,1.1221251526670293,1.041519539308106,1.0896159670915424,1.0902311143347014,1.1107862101008836,1.0994813300227206,1.1906593077121226,1.144390908566257,1.1196208162352554,1.122358715317106
Virizion,Zen Headbutt or Quick Attack,Sacred Sword,50,1.375892386382572,1.4016117213541164,1.3119712113128381,1.317627425241581,1.2892235708016047,1.3170754244998317,1.3205048352490376,1.346764128120914,1.400931806654009,1.4378786673133288,1.3984619788079031,1.4373572364455955,1.3027772297707028,1.376958136022483,1.2896650906716638,1.3350204714986333,1.1896121783735003,1.2176867495269539,1.3438092862780162,1.3536844553361862,1.4284939710024545,1.5023839645282857,1.2735499529119407,1.3272960472409632,1.4921037313622936,1.5869550350649904,1.2904029861280037,1.3368901207308292,1.459526896946399,1.5077888609080174,1.3079248696457546,1.3561849889436657,1.3435336669108393,1.3602492731596516,1.2062491166834164,1.231747974759358,1.477287120506976,1.5560337217448306,1.448396085590432,1.5254885185777107,1.3436369957785952,1.377479741057139,1.5505246280941027,1.6321837154987497
Shadow Hitmonlee,Low Kick or Rock Smash,Brick Break or Close Combat,50,1.3637590571906735,1.2478409841455333,1.483443766788659,1.2871464269845065,1.434071753246175,1.284119023752762,1.4737548369669164,1.3173953150733342,1.4378256777836507,1.2862795793378177,1.4432131695549553,1.2903317776868317,1.3067181257439942,1.2534999699660854,1.4104650709479838,1.2488611634026214,1.2914395885532446,1.1287085112463375,1.4769129746379803,1.2786160389408503,1.3214167758179083,1.3026975779602612,1.312574077933384,1.23569963120935,1.2706691283171796,1.2563650390804812,1.2775112116124487,1.1895586485088316,1.2845148578039458,1.2748994890814482,1.3832186543536398,1.241268701189647,1.2863836694238804,1.221146808342593,1.3499777415729872,1.2250823239547173,1.257326518859346,1.218368958017142,1.3455889161478045,1.2648631571316298,1.416553706432892,1.3211607103896672,1.2968143687630531,1.2816748702456713
Conkeldurr,Counter,Dynamic Punch,30,1.2456920288517346,1.1712746964787453,1.2542992077724033,1.230493449000382,1.2399986379684544,1.2234426104002236,1.2642389070412694,1.254618193325592,1.230154020825063,1.2292004315623777,1.2520455581785537,1.2297497055660491,1.224390022840331,1.217081932033688,1.2505227818941806,1.2422924896502867,1.148662869464151,1.1316343527692843,1.1927020315288912,1.2172819668194517,1.2554920379710337,1.24427615728934,1.1804013958202006,1.183326555811882,1.2387537455629039,1.2570513402532815,1.193170107649372,1.1422068483387389,1.2384216895712588,1.2693316834547037,1.2171642895793784,1.223455466147963,1.2428510941839437,1.2273099133535674,1.1934597053417004,1.1503427613615806,1.239864031620082,1.2347543690701537,1.2463059592676011,1.2490137773772236,1.2185757579596497,1.2476705981050835,1.2072633360970122,1.2373292042299628
