Attacker,Fast Move,Charged Move,Level,"Dialga, Tier 5","Dialga, Tier 5","Arceus, Tier 5","Arceus, Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Meltan, Tier 5","Meltan, Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Regice, Tier 5","Regice, Tier 5","Regigigas, Tier 5","Regigigas, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Stakataka, Ultra Beast Tier","Stakataka, Ultra Beast Tier"
Infernape,Fire Spin or Rock Smash,Solar Beam or Close Combat,30,1.89393375540804,1.6485052546406047,2.1811613921358037,1.7772208834997507,2.00378609161042,1.7702274147573003,1.8840309749729836,1.6269513227736188,2.0193446013138026,1.7690406894684645,1.8785539193075629,1.6000620876690572,1.5621014016764843,1.5514112203793549,1.846702887301905,1.792453458236433,1.7840986684742866,1.5607149248607048,2.010318649330771,1.7300536373801707,1.6529324711249542,1.6187093794316882,1.7772885497925401,1.6810857293872954,1.5694304144199984,1.5649153919500562,1.4557474841412894,1.4391718636773576,1.661459411439796,1.6380969608663944,1.9579239312385837,1.69331082280806,1.788324242669796,1.5602984789434267,1.9306202758387654,1.671845782937293,1.785530168124092,1.7245718760093396,1.6257301828690625,1.5548582060411544,2.11437493225905,1.9331423496010147,1.7946792450393036,1.7816030199719541
Shadow Hitmonchan,Counter,Brick Break or Power-Up Punch or Close Combat,30,1.6742280570869423,1.5034284046548947,1.7278382120447207,1.5038921059255013,1.724991498430548,1.47661707862928,1.773962033646491,1.5178913110956824,1.7356675991697716,1.481145018384077,1.7406623348850185,1.501517234465652,1.6242083831593872,1.5409324409654055,1.8584016360724893,1.594500376786605,1.6431241352762969,1.419378588211987,1.8257184148578889,1.5243599949435074,1.757101476198038,1.5621207892262825,1.6508059770486208,1.4624605094536351,1.55454709671773,1.5346870649510653,1.6571536413723942,1.500827389378828,1.5886999680414609,1.5592358379773035,1.681587797585784,1.4637713677421584,1.5971434709068237,1.4957887879097373,1.6667949384290939,1.5009991202512094,1.5781589289064106,1.4899905578756594,1.5604057752287306,1.4761819183869167,1.867334434079786,1.6460432950887287,1.6090014265104904,1.540370610170285
Breloom,Counter,Dynamic Punch,40,1.2569619568200738,1.1389364405033096,1.3986414508790528,1.208593474490514,1.3634712931821864,1.2043206222258624,1.4080623267416688,1.2324054496490133,1.379891940479244,1.2027224704501132,1.374227148572647,1.211279673856128,1.5636372555232079,1.2397669504087183,1.4348935482635232,1.2347083510320827,1.2598421044405614,1.0977246594488146,1.463092362499762,1.237227292272596,1.1904758502445734,1.2026729397035711,1.2797476645219827,1.1898684892208933,1.1776971461688317,1.1957798555543728,1.1615740293032022,1.1268078773887469,1.227211602378991,1.2348737764094257,1.2890584570730383,1.1853179133704674,1.3292055595795147,1.2204812554244686,1.2016320237766958,1.112706822679749,1.189650256676068,1.1879183306944496,1.223419234615784,1.2065323501450729,1.2483357192223832,1.2310028194311309,1.228843363981377,1.2197494201521448
Shadow Hariyama,Counter,Dynamic Punch,30,1.2174657096045538,1.134616504125123,1.3506053059074496,1.1676445316353232,1.2844010889130633,1.162311652402428,1.318793600279739,1.192358756106377,1.2968933999140253,1.1629736105918602,1.2848772834853368,1.1703737371214882,1.176749587118585,1.1918663986677556,1.2991444740945315,1.1910717399778064,1.2386231678622068,1.074996405771756,1.3356276273872527,1.1772284197337923,1.1561273200929016,1.1882385282870924,1.162029128137814,1.1142332302279714,1.1687122345418668,1.2066447229274375,1.1484966903714824,1.11471984849821,1.1610798855559556,1.193035216326837,1.1990364245379346,1.145500717196132,1.1597581970930488,1.1624378461933873,1.2261710303464997,1.1120499804116637,1.15022647976072,1.162972564753558,1.2120250948615756,1.2213899877582024,1.2351037333885115,1.2167634957567774,1.1748911549083827,1.2088127993593216
Sirfetch'd,Counter,Close Combat,40,1.4076629044076783,1.2360770142756428,1.501049617282345,1.2938248772629628,1.4571121637428983,1.2914456852086935,1.4858271345965668,1.3236449359454134,1.456009888415253,1.2990492558127336,1.4726233273174083,1.3071444108343473,1.3238181945745455,1.2739765494807043,1.4659250013836478,1.3015075357038948,1.3174994252857501,1.1707873756006295,1.3833509610996604,1.2850464113788655,1.3056637912814681,1.2705727714765966,1.335135407249525,1.2244998777467295,1.2821430311680935,1.286886256969635,1.3068135973311101,1.1889631880243605,1.3117958025322014,1.2884660202557054,1.3120176428983241,1.2442904777188395,1.339118114542214,1.2843826146792956,1.368004259254741,1.2159469314905413,1.3259423335527352,1.2752637218730718,1.3203535128028114,1.2783536017741546,1.3797236873035512,1.333322410325058,1.323051263152031,1.3091686600408334
Mega Lopunny,Low Kick,Focus Blast,45,1.2464409545694384,1.1349814192188747,1.1687464580935272,1.079613004854898,1.15550367570474,1.0657262120745434,1.1874657817853225,1.095898920093509,1.1543930853998288,1.0743800069437621,1.1606113915460252,1.0832953568671717,1.1484726323110384,1.1177473554871378,1.145853567359837,1.1157013300000163,1.2719155544225154,1.0199012081471657,1.2130478253421064,1.1587334803750982,1.2099926223517619,1.1627819541940465,1.1035114760388693,1.08151749215696,1.1716606976891426,1.174678604833112,1.1325322573934302,1.0767518495024657,1.1800402831213508,1.1553568569053732,1.366044959614751,1.108363938762711,1.173164025677858,1.1075316353772295,1.44504161888509,1.0633916318442362,1.1805609444987397,1.121225573424148,1.235888568335758,1.172829964230225,1.2379156197610734,1.1906174737165114,1.1776980383260662,1.128390787987603
Meloetta (Pirouette),Low Kick,Close Combat,50,,,,,,,,,,,,,,,,,,,,,,,1.1700281077756465,1.1538385082382479,,,,,,,,,,,,,,,,,,,,
Mega Lopunny,Low Kick,Focus Blast,40,1.2425718387520686,1.1673532266757622,1.2586014033664454,1.170042414580855,1.2322861120854038,1.1649858188480242,1.2621565192049993,1.193449870904241,1.2303033428302546,1.1669241311739804,1.2526169809551502,1.1766694392725816,1.1999524600493137,1.1483568634578671,1.258192957732255,1.1989938215120919,1.3469424425619556,1.0913482035534883,1.240081758019495,1.1940436981508173,1.321552931572255,1.1933157031894441,1.1997787137902924,1.1721454989601623,1.1997775889530562,1.2062586058499327,1.1622745376368089,1.1025204170559366,1.2054284111705742,1.1882188787559913,1.3793401331652493,1.135675435958666,1.2190761137863968,1.1392130239708949,1.5891606754592442,1.1446667013471528,1.2016604837552813,1.1450976556034356,1.2682787917032574,1.193800509772843,1.2941511513498223,1.2503628944282807,1.2048775033563763,1.1586412871048133
Cobalion,Zen Headbutt or Metal Claw,Sacred Sword,45,1.4656254084050417,1.515953607336122,1.3796892522793511,1.4135702131841956,1.3749265126117,1.4100147152819942,1.2166646727135702,1.233437269181347,1.188450016248048,1.2082495184487583,1.5429374114927945,1.6014634159198804,1.2387358507026236,1.2932422624824393,1.1866569304503887,1.2133799216886403,1.0917753707230364,1.128311567680741,1.1815811032622674,1.2136506022155833,1.5759015032102335,1.667136633538314,1.3065630638028833,1.3522908371724514,1.6291957994098,1.7526028550678423,1.435528027504573,1.5006122525198349,1.494423055028288,1.5997491930395917,1.3790494378202973,1.4277643155595499,1.2631433147026383,1.2765946417861436,1.2612224134764072,1.299553312270309,1.2725768469925522,1.2988275780414242,1.6121862730398708,1.6952632645562884,1.2336481580795777,1.2666195400794173,1.5763710283550243,1.6985886265053238
Hariyama,Counter,Dynamic Punch,40,1.215307719341223,1.219144944158028,1.2445314837022803,1.2556580868915614,1.2291635880005913,1.2421505142781857,1.2590769424557877,1.2755998890181937,1.2292357282792938,1.248625672982586,1.243701427556248,1.2563536775954158,1.2116237653950497,1.2655903430338833,1.2423097535121097,1.2686877496031426,1.1522824565538279,1.1653816977240075,1.2188307007195742,1.2583138061284107,1.2567084510603324,1.2870387442924636,1.1831617247709516,1.2196624520315078,1.2672853982317254,1.305675138869496,1.1976904667674615,1.2050033094155108,1.2247125748928,1.280630587579183,1.2151585760504149,1.2562107266055094,1.23599063859231,1.248168960176871,1.251704277346906,1.1876709951289264,1.2438321246360413,1.2556804845963043,1.3102010587589816,1.325946103137558,1.253515083182368,1.2874355845146654,1.2412549336515197,1.2792491969319124
Pangoro,Low Kick,Rock Slide or Close Combat,45,1.4719503754542635,1.404796767883721,1.4325805628199757,1.4086856153423124,1.4201637197526624,1.4004254345592806,1.4566454907179247,1.4347818291456298,1.4190289313052096,1.4038767708927447,1.4273823775288563,1.4099385927131556,1.5087575789540182,1.4993926744613812,1.5029091017618335,1.4482313483860292,1.473665666700099,1.3121605602048496,1.5525763586517516,1.5113414787117267,1.5124630627819196,1.4491345610668065,1.4238661915793367,1.3987323053098537,1.4933490725632688,1.521302870848647,1.4840847005884241,1.3737319173209879,1.5208657079234524,1.5110590935461545,1.690234376153239,1.4301844043898055,1.4747284413679678,1.4073196680558482,1.7039166545054787,1.3520768470466267,1.4474172315488634,1.4165963453073744,1.5420761545267467,1.4899529934737874,1.580068606626719,1.5371272206715119,1.4737512382062619,1.4752403149463909
Emboar,Low Kick or Ember,Focus Blast,50,1.3336491177278995,1.2270237306160834,1.338095519676723,1.270406331256485,1.33020198126628,1.2568388227062233,1.3531215089229818,1.2838456169717885,1.3318752025449199,1.2560683458242519,1.343414590387794,1.264225918702501,1.2712201251099342,1.2485221033599458,1.324378654713003,1.3004173171879743,1.2482706560995838,1.1689980761434018,1.2819904912558309,1.2530165077889999,1.30698415061742,1.2865082381433863,1.2656231808748286,1.2192484402970205,1.2722525994198626,1.317254634646889,1.2352384518723225,1.184582170848771,1.2586121068513878,1.2774616655522824,1.2854114799461331,1.220650366780133,1.3123018782161247,1.2362202924476446,1.5354407099494478,1.2239106606126202,1.3130759852421328,1.268622099998837,1.3378371643185372,1.3101185131240969,1.7051741558245959,1.33529665961457,1.271875340582407,1.2692766614972144
