Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Absol, Tier 3","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
(Weather),,,,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Venomoth,Bug Bite,Bug Buzz,30,1.8448457484554905,1.591257574781102,1.5466244044412367,1.8506214740853713,1.5978023767026457,1.5586532313573591,1.740217789653517,1.6221353918186798,1.5199168986586515,2.0562440963599378,1.7108121306833346,1.8079742774930734,1.9301862946515334,1.6627578322250458,1.6137685805836135,1.7425508848199824,1.6808492237905812,1.474614412233409,1.7008250588207994,1.705223286197288,1.5072164118213631,1.5973291188342995,1.5645543473696075,1.3358026152896902,1.672887873069857,1.6326326684885633,1.418568304559989,1.7469475934926115,1.6603641723275033,1.4597360039686937
Shadow Hariyama,Counter,Dynamic Punch,35,1.224910067555707,1.1197939680904057,1.226307300666513,1.1024018817249652,1.0924439670588475,1.1025497613681225,1.1287738943796006,1.12962016878569,1.2301229691649753,1.1083872292415873,1.128878390943642,1.1122798674448973,1.123512031613709,1.130103017982606,1.142550978324644,1.1019999629268618,1.1118217755610373,1.1091019935847524,1.0957357398848897,1.1494457881172535,1.1229625964420582,1.1001984341361493,1.143643238474439,1.0990234965351564,1.0928211189598889,1.1457893970644102,1.1099781488475549,1.1262151657682458,1.196632678964239,1.1262151657682458
Machamp,Counter,Dynamic Punch,45,1.105915770962191,1.123515220062546,1.1075762231542352,1.102430139653212,1.1316223720126732,1.1034380409073579,1.1007407040117043,1.1232568982731526,1.1030389000901413,1.119605186391171,1.1430922054091706,1.1221500886905962,1.1485685289817418,1.1704096746607715,1.1589890526643798,1.120235517629927,1.1621913697233426,1.1316902314739115,1.1369894493721555,1.1743354121882197,1.1535224779290407,1.1539589254162828,1.1916301058585423,1.1514448572943912,1.1187691508931379,1.1566519783200582,1.1335973922743745,1.149242678038993,1.2188521930140557,1.149242678038993
Shadow Machamp,Counter or Karate Chop,Dynamic Punch,35,1.1380674876989365,1.0332455402302372,1.137574786442713,1.0828912584309849,1.0336138073298535,1.0830476787166348,1.124268114366318,1.0544359816614206,1.1343619939005825,1.0356675766846275,1.0499275270223356,1.051390351437164,1.0918195394143804,1.074244505792031,1.0919207900989605,1.0501731773984875,1.0490984993196724,1.0620846172454272,1.0491889653425654,1.0605840783558056,1.0581340762272065,1.049926291363848,1.075114935561893,1.0480624479231335,1.0382435975470412,1.0595383448308215,1.0697431062830285,1.0603281614038567,1.113735894837115,1.0603281614038567
Mega Beedrill,Bug Bite,X-Scissor,45,1.154925214447443,1.0468629662057678,0.9897199907993494,1.0863623442439867,1.0657418064660888,0.901637578573911,1.1578912277193862,1.0823052005187008,1.0094912830638623,1.1441133680791533,1.1171767077668988,0.9776595829904099,1.174048091211668,1.1238359016424857,0.9744018591945863,1.1342228317512693,1.104757039505725,0.9601011534153118,1.1334872507675637,1.1261756667471488,0.9656832372594896,1.0716054543375553,1.1218100345720883,0.9081224486776959,1.109304640758203,1.1142170692903526,0.9712641989567258,1.0930008324716642,1.1342753569532862,0.9414105768477982
Mega Beedrill,Infestation,X-Scissor,45,1.2298437562867257,1.1114485790798423,1.0264975803784016,1.1201374221009053,1.0976857600286123,0.9440052808585012,1.231512074833755,1.1472183515493315,1.0474513657261695,1.1937340981612197,1.178644706802302,1.0101786970558149,1.2142387391286757,1.1608676603624715,1.0242185910501003,1.1689314611354251,1.1514518086741707,0.9815261053248742,1.1712842921532156,1.1729725132545634,0.9817763489439305,1.1086181641955304,1.1457920628127318,0.9257428248263755,1.1428257317391375,1.1522784832166173,0.9942872875189438,1.1307220752081397,1.1720170400094598,0.9738682312355805
Mega Beedrill,Bug Bite,Fell Stinger,45,1.2717985812340196,1.1271544441742327,1.0919960035563507,1.1670961942053535,1.1401580061037127,0.9691419205943781,1.273311952280597,1.1719276939874552,1.096483546327393,1.2689327937295825,1.213696310105821,1.095667741134556,1.2703811056677548,1.2099378244436478,1.0614969050991796,1.2300433182124093,1.181530348582507,1.0472909070022987,1.22499241926731,1.2016240326977405,1.0490894514162254,1.1593080924858006,1.2030339619536103,0.9789718490047516,1.210674878018287,1.2095562639365782,1.0514600564754109,1.175190646249988,1.2144257712349886,1.0101899426384946
Mega Beedrill,Infestation,Fell Stinger,45,1.3480820435271963,1.2175443395524368,1.12812431346731,1.207555800973085,1.1874830241550458,1.0164354647965261,1.3496871654315794,1.2487061732573617,1.1352585889049895,1.3236639507487797,1.2919907359168665,1.1314430034394622,1.3183900832774031,1.268814473429258,1.121119093933395,1.2656887640951837,1.2293437122174837,1.0633653679352832,1.2629748485659313,1.254496300464127,1.0776978609654433,1.1900842476461833,1.2263155027971533,0.9953609957968063,1.244092559315021,1.2435827353647941,1.0746579530480735,1.2220736473334375,1.2706681662061456,1.0390421344039051
Mega Beedrill,Poison Jab,X-Scissor,45,1.4172810225540566,1.2730639377574555,1.260009802396086,1.2422382430148091,1.2442440287201773,1.0976465363371652,1.3436324460999474,1.272364335345491,1.2368370578232302,1.309018600635279,1.3086529110558816,1.1762574067573532,1.3388452179536625,1.3000574683907329,1.2016228597760252,1.318166211989209,1.2866569235624752,1.1632641653548776,1.3034724059024745,1.3038914017969678,1.1595072608280759,1.2510856984900447,1.309444440979876,1.111441868050923,1.2954413166214094,1.3213049219986888,1.2011411157388026,1.3092564181292774,1.3776729276643682,1.1674861940436885
Mega Beedrill,Poison Jab,Fell Stinger,45,1.5087823665113407,1.347754154624342,1.3410119362776602,1.3303721906558204,1.3104146070713991,1.1653303372900057,1.4589306712719894,1.3608697933536997,1.3192192997039547,1.4228092790898508,1.392418033409933,1.269040862713842,1.4323899838623,1.3794802969031312,1.2854753139597233,1.4040653818676079,1.3530976345455386,1.2329093774155535,1.3774666582239925,1.3629009508305916,1.2285580147747828,1.3253593447515335,1.373699770770109,1.1689697425701564,1.3849848533982578,1.3877767637321168,1.258986213896085,1.3766904937279936,1.4430291330120404,1.2142547568070199
Buzzwole,Counter,Fell Stinger or Superpower,35,1.288980369215278,1.2764024227193407,1.2725694561895562,1.245583644311131,1.2272000695060683,1.2295503277919677,1.2618598958355434,1.2751191689370258,1.274824492448386,1.2891547810392827,1.3022269507892579,1.2835201897847353,1.299620599954727,1.2973574746096836,1.2897227765066985,1.278652093335634,1.3162339352225974,1.281401573686062,1.3070151401025447,1.3460557213437931,1.3105842704676325,1.3304872398482315,1.352986538687488,1.3192676320354,1.3057775997152288,1.316411930013438,1.2978720941002129,1.3400567459235797,1.4038125628926912,1.3289138373722216
Golisopod,Fury Cutter,X-Scissor,35,1.571523175919362,1.5406969457328958,1.2980396632077587,1.549467348596551,1.5503460858130018,1.2903367164118675,1.5472246775674057,1.5614783230960432,1.3123353717208313,1.6195336956184645,1.6183290073572307,1.377469614240391,1.6186134148272853,1.6206719095284383,1.3134875383462186,1.639764058930167,1.6432259680634624,1.389606769386721,1.5849649134643804,1.6861097923701482,1.3284377220332442,1.5537255912203756,1.6353795072277308,1.300388657590386,1.5852819454006541,1.654383857231399,1.3247175927168628,1.6807011042142894,1.7747045986723657,1.381379155943407
Golisopod,Waterfall,X-Scissor,35,1.8460661521091177,1.8558157619538138,1.5538874084608245,1.8576429893345303,1.8863951150055505,1.5791684872645315,2.1625013543020497,2.2140537260579594,1.8246703647221771,1.9369785043585708,1.962192749963164,1.6480906107472046,2.268206602205444,2.32794090836769,1.8184756580945736,1.9344214277246436,1.9349448145077421,1.6491899153888667,2.2340707404927316,2.3855851119174343,1.8618558048586464,1.8994653277695726,2.0049590198298017,1.56366749841862,2.220198967366189,2.332188723247996,1.8889745144853358,1.9706799409290994,2.078591593297323,1.6637765944229768
Golisopod,Metal Claw,X-Scissor,35,1.7588942145923603,1.7444825470705507,1.5554486082769539,1.8624608606605777,1.8881031380640199,1.631290446795804,1.9585260784659784,2.0068998949836585,1.7218833247788317,1.9166443500358497,1.9262800054030527,1.6805637872321444,2.047198091053808,2.0906990269434753,1.7580667389592146,1.9378306504805431,1.961420018125974,1.7130691028457794,2.033808761436609,2.170879973602298,1.7605101690937563,1.9131156123474982,2.035671611093872,1.6720008474633685,2.066816591060615,2.195391525206088,1.8032318352622365,1.885575290113316,1.9952502790409559,1.6752381571946744
Shadow Gallade,Low Kick,Close Combat,40,1.3138961871776969,1.238479959209499,1.3187836323129418,1.372734620938872,1.2377810293140157,1.372276325845123,1.3546922239667085,1.2838943565735366,1.48940449832485,1.3533024810814502,1.327473266773767,1.3848812297407007,1.3464846885689739,1.3005845005980692,1.3995458477270468,1.3470047728011258,1.2868146726445218,1.341324410621813,1.3126038652592196,1.3113919085879673,1.3190057421456618,1.2849193019250473,1.311650530836228,1.2850499104003896,1.301551374995133,1.3027159657297704,1.3343082741531287,1.3041886672724263,1.346252772460284,1.3009461857701663
Gardevoir,Charm,Dazzling Gleam,35,1.2832625422067392,1.2829934035891797,1.2842453632672566,1.4242812996622547,1.3617791908616392,1.4238904334681841,1.416088613907372,1.4029639966229912,1.6162804353268274,1.4232078454354689,1.4036876125024567,1.4495082008561813,1.3308740210200531,1.3480996333168642,1.4515808433117385,1.3830601492621237,1.357788095212943,1.3959054379849114,1.3733203470861324,1.4042796290612631,1.4158500633277427,1.3290965620737394,1.3667105805896869,1.3293542776233558,1.3881147722351073,1.3759454988342907,1.3932431187369279,1.3839966905911225,1.440464291186027,1.3826319215361431
Breloom,Counter,Dynamic Punch,45,1.307103942072931,1.1647341976865206,1.3108087706698637,1.1791132999524256,1.123948341133084,1.178287071871299,1.1183185481363045,1.1255173159140137,1.1320882041889953,1.1762141395053067,1.1601214846084782,1.2682196045307066,1.1376079037503208,1.1508845190787054,1.1511643351475487,1.1668247590185112,1.1502415058054563,1.184895234168358,1.1190699113380866,1.1494083263110058,1.1312537586678935,1.1715651716505935,1.1883527323038205,1.172271978144296,1.170948933934119,1.1501962033259892,1.1719935500892205,1.1570118350325103,1.2134164914297374,1.1570118350325103
Machamp,Counter,Dynamic Punch,35,1.2507754592581015,1.2202630980200442,1.2520248819920408,1.2269124818221389,1.2283913836937415,1.22693726022937,1.1785348294576479,1.2166670892194262,1.3214040669586806,1.2357651996613812,1.2561823060178918,1.247348383709696,1.2084175957096142,1.234774198858547,1.2704220758504927,1.2144586479151884,1.2333492056858677,1.2197177626861608,1.2178590189663556,1.2510472015684933,1.2410965773817988,1.231244273836663,1.2681978535251226,1.2310712756182134,1.212341010255484,1.2464399077589243,1.2191481847172032,1.2470817604047408,1.311128137080251,1.2470817604047408
Lucario,Counter,Aura Sphere,30,1.1150152999985403,1.106681572029452,1.1154538797798252,1.2509687302827144,1.1620641214567933,1.2557624558417153,1.2504325029125458,1.1837210655244674,1.245556372646742,1.1785629973965883,1.1778225629161763,1.2938749831022411,1.2183792239762794,1.183858761242295,1.2229766952349252,1.1670883016376825,1.1632421296484847,1.165902913512377,1.1900364236339351,1.188276448765236,1.1997047394909837,1.1588757005314236,1.1851710153688095,1.1582895784236455,1.1958066753384498,1.1904660079883904,1.2151126981167526,1.1861542493701522,1.245418939772979,1.1861542493701522
Shadow Scizor,Fury Cutter,X-Scissor,35,1.2290167124978235,1.2116235570128793,1.0212644432235463,1.4058454793219448,1.2471141063577809,1.1685201618209242,1.385134958617357,1.2483622866133406,1.1568444891411365,1.361448172507869,1.3004622735075686,1.17838433656206,1.3427388537791065,1.273984866436837,1.1131107448269086,1.298640804410029,1.2668390501153308,1.1059306900185801,1.2998495610705825,1.2929397981473352,1.0915705633656272,1.2842934005862008,1.3225601921403158,1.075199590738011,1.3133451270551653,1.320024467680438,1.156588922897304,1.3359625636231485,1.3868178792487802,1.0953130734012255
Conkeldurr,Counter,Dynamic Punch,30,1.2392747348492807,1.221063926719523,1.2392878646478882,1.2138596386527971,1.2247698876768442,1.2143609005590854,1.183919542588216,1.2273250036320251,1.3016193636093614,1.2385844451571784,1.2509127962481514,1.2437447226312686,1.200052923490533,1.2312507631430765,1.2539885537532836,1.200623413387615,1.228295742743603,1.2041838077333016,1.2377874511632525,1.2758678574935984,1.2598637127962,1.2216206004869683,1.2731041451554086,1.2229818789234987,1.2187988407475143,1.2575271730784903,1.2248910041978105,1.242742419132439,1.3091507827568611,1.242742419132439
Genesect (Chill),Fury Cutter,X-Scissor,30,1.355272054768084,1.341290822101644,1.1819279582637974,1.57251764644355,1.481328310310854,1.2875744512057279,1.4515897083540856,1.4338223875979563,1.3404436046534667,1.51941184668201,1.5134095564920271,1.2857528222925785,1.437425792022283,1.426648210994385,1.3057309576207512,1.5421015867325292,1.5396007887409808,1.2682141224871237,1.4984467758794227,1.5046254956677245,1.2776213197713655,1.4728441381563357,1.549662577852047,1.2355338009202386,1.4880181094206857,1.5252396408343771,1.2827558714090148,1.4702344868025086,1.5478811055153776,1.2840287932557184
Shadow Poliwrath,Rock Smash,Dynamic Punch,35,1.4349248459229262,1.4315970873388864,1.435549868844439,1.3887459004916036,1.4071166643329274,1.386857891300607,1.3407881926298686,1.3955285876111483,1.3419944843247362,1.5589761992570512,1.4650098539084475,1.5762250667007058,1.3909947538341811,1.4148761852442582,1.3857935230546485,1.403244546267863,1.4394253823034497,1.4470378883707433,1.3932183295584641,1.459529549642234,1.4006783007539851,1.4002088368194407,1.4594189791642396,1.4074933256354996,1.3821298876416448,1.4193704324114786,1.3792486538302027,1.4529433748203981,1.5385924348840965,1.4529433748203981
Shadow Gallade,Low Kick,Close Combat,50,1.1976845177331505,1.1356508481226792,1.1997245768822256,1.1907971097622285,1.1396969695691637,1.1963261740958309,1.1934873527036896,1.1709739988383834,1.30501544877435,1.2470873921554158,1.2149920803611278,1.2541321679843855,1.1774259285895587,1.1671283154551348,1.2608338783175292,1.2344303062318727,1.1967353846294901,1.240092264720721,1.206292638259424,1.2131724509488557,1.212086231468317,1.1816353668690347,1.2198379108213038,1.1771664810337081,1.2142639588261992,1.2070085346693584,1.2153546725458744,1.173136625119667,1.2282598969792904,1.174795250304014
Hariyama,Counter,Dynamic Punch,35,1.31904520460588,1.3064609380034946,1.3185929164246928,1.289005430583345,1.3036797832659082,1.2909293421048191,1.2510363500923602,1.3296151495836184,1.344726524613897,1.302556590935007,1.337829117647082,1.3219154144126297,1.324180756040844,1.36254779028641,1.3716349474483982,1.2957841352968453,1.3531524912739155,1.3037200900996848,1.2971720985389203,1.3531570389696537,1.2975253921886103,1.3120485303304101,1.3732337529344694,1.314545982335991,1.2861236839069743,1.3664393044098169,1.293427593633373,1.3416558856570764,1.419843667140694,1.342532809085541
Shadow Yanmega,Bug Bite,Bug Buzz,50,1.0523801965962578,1.0290186797422252,0.8685575861394903,1.0358288914963036,1.002610800601936,0.8764243893756938,1.066968078283936,1.059618126622686,0.986224347555454,1.224124629990966,1.0858659173108216,1.0302325329918416,1.074132461887267,1.056135758445089,0.9445174883574561,1.0691845882845294,1.0761798288155593,0.9039829638964106,1.059970473180651,1.08465980146088,0.8976935553551787,1.0450031971521052,1.0838654547896298,0.8718011101430347,1.0346185152968947,1.0484967538850725,0.8867611663717632,1.0743151088175444,1.1298533928370977,0.8832398243855636
Genesect (Douse),Fury Cutter,X-Scissor,40,1.2587573531322982,1.2613007954076505,1.0461843559028192,1.3239068715689815,1.3060755389250855,1.1578442005452516,1.3195738232224175,1.3361426838285975,1.1761064660893463,1.3648010210066805,1.349783860709536,1.1535805548059395,1.314209656172793,1.3328955838181287,1.1100661756559138,1.3741293764380096,1.3810131539436374,1.1686580412046448,1.3683721227603796,1.4172029916575823,1.1757732539455543,1.370388709179076,1.445667589040681,1.1098580745406021,1.3988402396855715,1.4268147205574702,1.1401737766341147,1.380350771868676,1.4567873286499988,1.1376228370189798
Zacian (Hero),Quick Attack,Play Rough,40,1.243020288075793,1.2803345971172482,1.2415203754890962,1.2469781941581164,1.2681817098661503,1.24928806891223,1.2601277217438531,1.3079428101315458,1.2646201063086637,1.2776606167512135,1.3213997237611348,1.2987603621631596,1.2642938763306955,1.3114890304538416,1.2536354612644176,1.2796264480476551,1.3196401460628493,1.2794628744522603,1.3011336365216573,1.3795548369377868,1.3172491868674816,1.3086594227167545,1.3949576468247793,1.3091242388881223,1.3083248755637806,1.337321906215608,1.321177571808821,1.3863096807077222,1.4677082281089733,1.3863096807077222
Escavalier,Bug Bite,Megahorn,30,1.5140533797970945,1.463353530375856,1.258141409800331,1.6917027869065415,1.543127819466423,1.4343773407686833,1.710468205172497,1.5734395468495117,1.5340748123173182,1.6445555982602467,1.5704756645436146,1.3903986305921336,1.683630011055341,1.549866990081471,1.4321886572654046,1.6371034079449063,1.5935962642678707,1.359577394572045,1.6563268879559256,1.6090874350104902,1.348032359930883,1.5082162862263189,1.5651881216812702,1.3170022255443865,1.59648803663913,1.5860390034365506,1.373331086794973,1.6208948764471953,1.6568379986666968,1.3536844581523475
Mega Beedrill,Bug Bite,X-Scissor,35,1.3176241153186208,1.1580692893743523,1.0753689161854187,1.2208550047743247,1.178446391757795,1.0073309290194583,1.3156159708204584,1.1861365711324554,1.1081423321805417,1.3082631224234802,1.2306060458403383,1.1271526317157339,1.2469010792559372,1.1917880334907012,1.0670626089738944,1.2407648520605723,1.1964304724630408,1.0540771737388328,1.2619635719090707,1.2313078266204596,1.0510108386418955,1.1880218602620667,1.2107926937900664,1.0024139984937346,1.2239767307957847,1.2056595839043385,1.0543523537023507,1.2622931291682116,1.2515908674599474,1.0806489857693171
Mega Beedrill,Infestation,X-Scissor,35,1.3658137252772569,1.2069712465421898,1.1414283600801425,1.252603841559905,1.227236920796823,1.0366719899823535,1.365555161211943,1.2512285151646823,1.1415594174578951,1.3538551861862693,1.293083997454146,1.1880269453587087,1.3234708998997844,1.2648565922455777,1.1064700509065533,1.2838627074061033,1.2614321300132365,1.08014685392012,1.2892493491635528,1.274853218879767,1.0734333626316677,1.2252717952219883,1.2379750440435855,1.0199337249004707,1.270791180511171,1.2580131774346948,1.090665203877588,1.2771466362563324,1.2625014031648907,1.094195411204417
Mega Beedrill,Bug Bite,Fell Stinger,35,1.461063960545445,1.2552753750493593,1.1828669391493032,1.3112995125296498,1.265551771898629,1.0799949262257194,1.4121083188692296,1.2766315922160851,1.1939598169508459,1.4608522054387822,1.3346070094851916,1.2533888384449456,1.3592133460590539,1.296516117398223,1.163879703026382,1.354544394939034,1.2939611954975314,1.1365457052552193,1.3531836464576807,1.3181015294099387,1.157794776002989,1.2814402766744968,1.290902906293412,1.0703565522287941,1.3398921552766687,1.292440531421188,1.140065409572478,1.3637743843212136,1.3446271614514302,1.1548280547071361
Mega Beedrill,Infestation,Fell Stinger,35,1.5223165629160367,1.3207682792611137,1.2588425410459758,1.3584200296413014,1.3195257855704055,1.1240920031750103,1.4718649937037303,1.3539249663421824,1.2377913374159528,1.509828804716318,1.4301964386120714,1.3034624403634365,1.4482720972276768,1.3920507272537839,1.2077971691072193,1.3945867061528807,1.3635946477993184,1.1637591825501477,1.3875506656521115,1.3614112196688086,1.1868935702015808,1.3199077254436642,1.3271807984491404,1.0927242895486307,1.3821517726493506,1.3599498555226754,1.1902170509117824,1.3864226830860165,1.368542460362699,1.1780626547617516
Mega Beedrill,Poison Jab,X-Scissor,35,1.5505229309484754,1.3494064618904702,1.3896389243072007,1.3765553458939122,1.3681831965705842,1.216255763352082,1.492360964975847,1.39452147431241,1.3289796255579407,1.5154606859841044,1.4374269476800436,1.4051978021980929,1.4209396254429534,1.3810573552454792,1.27032684587377,1.4328381677569246,1.4115379002966004,1.2614513974148063,1.4268947643686969,1.4171757117781612,1.2610897512643648,1.3728407258441706,1.3955231748931394,1.2237108747695318,1.4310023140070578,1.4282333768857076,1.3003849403579129,1.4374233409971005,1.4424187953047451,1.2923752363216865
Mega Beedrill,Poison Jab,Fell Stinger,35,1.6826055003797404,1.4252168063558552,1.4925518880739415,1.4962367925817457,1.4454862388107041,1.3120303701029432,1.6022292410787629,1.4748711380650288,1.409223972564719,1.6443446158762975,1.5396647014018932,1.5190566401245715,1.5330562926639657,1.4707156808087953,1.357127023939876,1.5266149144260504,1.483802969602662,1.346988140825748,1.5057330011386854,1.4992787353570445,1.3432016504096518,1.4554152409938732,1.4698723395386102,1.2859807858440964,1.5448152361247236,1.4990136632576836,1.3762276159294804,1.5234092854990728,1.518620856543044,1.3582907097935355
Primarina,Charm,Moonblast,50,1.267305831197256,1.2623534491936437,1.268259277115126,1.2459591689807241,1.247809272480658,1.246050743647449,1.2470025200158217,1.2651764966640484,1.2685094619147705,1.2990634444386484,1.3123615874261692,1.2964224235356083,1.2368492137946752,1.2605240321326645,1.2474556451882317,1.2975662592098456,1.3111422475273335,1.3021918529586323,1.2623643171800076,1.3246705435857935,1.2760341302797902,1.2846326428411585,1.3508033218890005,1.2850094267454377,1.2564718864707365,1.309285276758291,1.260367568981907,1.3166872297697962,1.3819248138363858,1.3166872297697962
Genesect (Douse),Fury Cutter,X-Scissor,50,1.2033351379759354,1.2081543526662126,0.9954800111946,1.2346282142338982,1.2362830955168587,1.0324089968182417,1.237327172268635,1.2634964549459928,1.0295979564203046,1.2726205569337417,1.2772972141362533,1.0757450421188788,1.2378821323085794,1.2614410153086775,1.0229417604446982,1.2901412227451807,1.3157732893000125,1.0701860280909412,1.295955127748986,1.358241374524773,1.0592727998700402,1.2572902640559862,1.3409276305358058,1.064736078372378,1.2734523249011969,1.3088987222299202,1.066238331119441,1.320550787326902,1.395820984753919,1.081553629118203
Zacian (Hero),Quick Attack,Play Rough,50,1.1248837011397912,1.1686945010089027,1.1244027499406266,1.1475509865812799,1.166990385134474,1.1502203591203097,1.1740958630425036,1.1979543724140633,1.1663125347254502,1.1800372962919476,1.2131078596146483,1.1750709216754869,1.1558663611377697,1.2003240021906565,1.1546564925514664,1.2215979953220961,1.2869127149281412,1.2293183766917415,1.2126413578033597,1.3068634678151982,1.2263644819351103,1.2301711462051867,1.3273794252659403,1.234138834447397,1.204654959275749,1.2996543619722236,1.236000335892549,1.263753294706082,1.342122379452996,1.2604920835278621
Pinsir,Bug Bite,X-Scissor,40,1.3950082553052399,1.353929477225719,1.1763074697961222,1.417968077819804,1.371313763804209,1.2098062602698592,1.4046157512683566,1.4071051305537825,1.3031120326930299,1.4751765344863794,1.4429327154175748,1.2315497822056347,1.4203818288869303,1.404168209473055,1.2354235542279648,1.4483245078668245,1.4048382925742524,1.2147164324603272,1.4590313076191397,1.4657916267522328,1.2475473083058244,1.4076415447079296,1.4553938182204749,1.1744658441744342,1.425155782563138,1.4303763544220167,1.22476181010536,1.4285652031838951,1.498084016581507,1.1981795254424543
Shadow Scyther,Fury Cutter,Bug Buzz,30,1.4545014201546238,1.2905148198484813,1.2055454839367818,1.3866139030694016,1.292508833765778,1.193883761223037,1.5171331935507766,1.3549362876352051,1.2757773693763472,1.6361609846352212,1.4422667196466874,1.3428309600414965,1.4636175599377985,1.3411054063680439,1.2802701183237968,1.46460222881315,1.3548553309367783,1.2166753735389966,1.4108953840446057,1.3883124466793626,1.183107622428641,1.3718104851961903,1.368875026563514,1.1507743493490388,1.4802642874640497,1.405314121198447,1.2042624498488723,1.4363157928253105,1.3944675783690224,1.2369020566557716
Zacian (Hero),Quick Attack,Play Rough,45,1.1592884468098061,1.1990370650208992,1.1578644200082822,1.2124127378305336,1.2293019110794698,1.210906685151007,1.2057695529100751,1.2292626681112713,1.1995950226300673,1.2398967529414526,1.2764331117233947,1.2537398147791468,1.2289952003944884,1.2763736189909571,1.2222414346436374,1.2335387570537237,1.3040115372314742,1.2350313605750916,1.2354180783684081,1.3146024622281254,1.2521745137688085,1.256112301575964,1.3303117554278399,1.2588551417132,1.214205981692526,1.3021710774025566,1.2413167906857407,1.3539304412299604,1.4353981635677586,1.3539304412299604
Machamp,Counter,Dynamic Punch,30,1.3775530114506087,1.2755097744451926,1.3783004753076114,1.2661713375194432,1.265787746687496,1.2672408684715752,1.282072528825842,1.3047402927036407,1.3920573429926906,1.3038979682845886,1.2959457170351327,1.3073666852417531,1.3095924340554437,1.32287433585902,1.352355466116227,1.289683455859612,1.2930066839944832,1.298571131714238,1.285498231264832,1.3266835489417177,1.3165399292137079,1.2835775816104593,1.3255473637733817,1.2904383180238888,1.2909999296294226,1.321942217050428,1.323293162857587,1.325432240340201,1.3995318330196946,1.325432240340201
Vikavolt,Bug Bite,X-Scissor,45,1.2089914552160819,1.17611243665206,1.025388935790211,1.2665219256217588,1.228944311215108,1.0801541933921996,1.2554134823692698,1.2592869411080798,1.1317002037382256,1.2956825442719961,1.286179942645047,1.0959899916090878,1.2879448321070546,1.3016884194107325,1.0774625741418966,1.296527812704557,1.2868637712988666,1.0930611730919797,1.3079984644885898,1.3232946194702724,1.0972825474704482,1.2637153142974658,1.3225628855257527,1.051954307006119,1.279959185065187,1.2951443576218227,1.0855861590989275,1.3243487910181466,1.4043965541891354,1.0596911900973458
