Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Absol, Tier 3","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
Mega Beedrill,Infestation,Fell Stinger,50,1.2969509187926527,1.1770200352169726,1.0812910278620023,1.1852735235481153,1.153576554413487,0.9810809206428067,1.259791734362188,1.1943779773809955,1.102513874404817,1.2513469939362263,1.221453126813675,1.0587926304000554,1.24564493047812,1.212518751343318,1.0711836446769698,1.2141934950090596,1.1804383732908528,1.0319191966692058,1.216876933683885,1.2055475002064515,1.0246549376515979,1.1508127212648303,1.1846586090593594,0.9633804888753554,1.1902355462069714,1.1990657533343156,1.0203450801394383,1.1884966132176586,1.2355412703039959,0.9985759970735903
Mega Beedrill,Poison Jab,Fell Stinger,50,1.4043605484447024,1.2644137210879873,1.2399984154142802,1.3087424964329983,1.278929458773137,1.1434516682348963,1.3695716794393695,1.3088264793206557,1.2752731184359782,1.3429052896353562,1.328306885398651,1.1785354109253572,1.3780147365443152,1.338356421565836,1.2510497261927287,1.326563687506287,1.299880899113576,1.1710059437300022,1.3333011332755909,1.3318596205514468,1.1825594052655735,1.2930593133856718,1.3476999837033794,1.1405352185582789,1.3133414066217706,1.3260473064853637,1.199154815641931,1.306114061311029,1.3606738732417665,1.1509761960794351
Shadow Venomoth,Bug Bite,Bug Buzz,40,1.6412458760711532,1.4090597353207719,1.377763188115251,1.5033491119294113,1.4105150737714562,1.248261310758701,1.5814848399179324,1.4618067049945511,1.3717102909314003,1.7032602869500444,1.570559790150828,1.5217717591810667,1.6343175209098375,1.5075473812414923,1.365442344326651,1.5388584099598537,1.500470295581281,1.3041860858979566,1.5199507780827073,1.501352901750134,1.2924758259506859,1.4714421661846622,1.4661826645157119,1.2220912899796714,1.5651593334968967,1.5204466668340622,1.2760727636633047,1.6067341130850088,1.5708295385099407,1.3384952086908375
Breloom,Counter,Dynamic Punch,35,1.4635834604859517,1.2770215485853569,1.4680758500234128,1.3362389863684234,1.218671223881176,1.3400447019218158,1.2438005370283258,1.261456662940236,1.318514104325201,1.3745790293181657,1.2869825294278365,1.3848806703362628,1.2579301603164077,1.2650690258853958,1.2972697162361007,1.2888613048344493,1.2705620069763384,1.3103841008006827,1.2395837934484724,1.25340382137226,1.2682395338609531,1.2922559655847272,1.3076852187327077,1.2944829211916367,1.2816403982271036,1.2776754919225268,1.281851709442692,1.2491905243754071,1.3056545001351467,1.2491905243754071
Mega Lopunny,Low Kick,Focus Blast,50,1.1101999248657108,1.0430409090180732,1.1103977755265186,1.20607500551446,1.0807571069054536,1.2136793194882076,1.0965534934408172,1.0790676259195349,1.0875435235768105,1.132757887336275,1.124018230277087,1.1290721893988085,1.1709819035529732,1.1383121862146626,1.17382295939643,1.0966069594729932,1.1109802770204942,1.1106296878184916,1.1212745845520382,1.1538648711453554,1.131818829543905,1.114330635005041,1.1289659055098358,1.1152229206567221,1.1113767719814336,1.1160045027288945,1.110552461601712,1.1021320092911011,1.1530602142496424,1.1021320092911011
Conkeldurr,Counter,Dynamic Punch,30,1.2399986379684544,1.2234426104002236,1.2398850018071401,1.2171642895793784,1.223455466147963,1.2177108853966552,1.1905754930677832,1.2300839092096019,1.3066552566720901,1.239032643277932,1.247914707044814,1.243773767189595,1.1993904045293473,1.2337766298467376,1.2614578928321463,1.198409290717715,1.2253761082950048,1.2017415565568335,1.2366066644517124,1.271888197302493,1.2611194865403117,1.2275739565054662,1.2728005252129981,1.2285668708810955,1.2230439947833207,1.2568248379770877,1.2286399453525298,1.2423561592870749,1.3076341962954203,1.2423561592870749
Shadow Hitmonchan,Counter,Close Combat,45,1.5354306690334563,1.3292220752375545,1.539210840702844,1.466118545498408,1.2864642884406372,1.4676941205943892,1.5734506474722247,1.3715446544097205,1.5597018777222398,1.396037359047534,1.3702021095050008,1.4357357378374913,1.4623140893634923,1.3438828277558459,1.445068327819223,1.3926757728077668,1.333416142952178,1.4046249754046152,1.3851957257784187,1.3661429452106095,1.3859658961058414,1.3668408295295424,1.3804467840588153,1.3631279909323677,1.387782793246875,1.3572699377501665,1.468953678221876,1.2942833261442368,1.3520882816894024,1.2922096203220674
Sneasler,Rock Smash,Close Combat,50,1.4658463913285773,1.279057607702867,1.4707983107247968,1.229616320102706,1.2322994265383236,1.2280084279507844,1.2169233133404262,1.2551520348540532,1.2968245179590108,1.2863741580421297,1.286026130521611,1.2885075383513651,1.2620600667571704,1.295844412072136,1.3128684824959906,1.231168730262922,1.2680556201316386,1.2501711732719014,1.286499712888153,1.3033662183624828,1.2934112728369147,1.2570068407597579,1.3136523400933575,1.258189321710072,1.256047025140438,1.3060716957626732,1.2592107942064727,1.2962635216918243,1.3612569079310821,1.2962635216918243
Zacian (Hero),Quick Attack,Play Rough,30,1.3854466039123243,1.3844965201429333,1.3855849880978028,1.3484175081050964,1.3642241861057536,1.3473289030673894,1.3644012861464756,1.4205904261621243,1.4057878937533212,1.4155778729239343,1.4578350562159195,1.4075141459222413,1.3662654745655916,1.413371494284124,1.3866095477082305,1.3986639645479957,1.4640660321337267,1.403847933607576,1.410950119357868,1.4779991665114278,1.417100227961045,1.4094234335434284,1.5012053020331901,1.412571870837073,1.40874426079041,1.4468031199639637,1.4097019528665569,1.4635692584660196,1.5611419240019901,1.4660941607265587
Gardevoir,Charm,Dazzling Gleam,30,1.3699117439167043,1.3601184700379767,1.369864829496796,1.5770205593412845,1.4517375083244095,1.571980785638701,1.6371771876748598,1.5057475403797675,1.7033866334142358,1.4955664951773329,1.4857073661005216,1.5567552927452208,1.4743851965882935,1.4292998212583194,1.548313710938146,1.4673458587559307,1.434398650131025,1.4729437948827104,1.4612018751572393,1.4641418236499502,1.4810026060921484,1.4130871621669885,1.444663213975955,1.41903507560984,1.4666419304981229,1.4545417692844553,1.4989361229035645,1.4475163284045887,1.5084555635804324,1.4481093508401879
