Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Kubfu, Tier 5","Kubfu, Tier 5","Marshadow, Tier 5","Marshadow, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Virizion, Tier 5","Virizion, Tier 5","Zamazenta (Hero), Tier 5","Zamazenta (Hero), Tier 5","Buzzwole, Ultra Beast Tier","Buzzwole, Ultra Beast Tier","Pheromosa, Ultra Beast Tier","Pheromosa, Ultra Beast Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Heracross, Mega Tier","Mega Heracross, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Mewtwo X, Mega Legendary Tier"
Shadow Gallade,Confusion or Charm,Psychic,40,1.8132915395587197,3.658974,1.4450178252640729,2.2985334000000006,1.8163856870875508,3.6505022,1.3777690958888489,1.9095867,1.389187916662208,1.1028085,1.4083935326187416,1.8772961,1.5265538519936575,1.8651114,2.009027707459707,3.2711976,1.39914575737901,1.7319493,1.582478863473033,2.1574862,1.4828980352972,2.3018382,1.8153698694966263,2.859571,1.8117846093121244,1.3992834,1.3816257590332472,0.9333783,1.5191380723669232,1.0820047000000002,1.6502426032133042,2.0280347,1.983904824575938,1.3517053,1.4871044603364887,1.2503667000000003,1.5569791021675998,1.4758217,1.415108450081076,1.4502199,1.5557456910660992,5.03827
Mega Latios,Zen Headbutt or Dragon Breath,Psychic,50,1.4884204475922649,2.7679873,1.2312778069787258,1.8380791,1.4898663251561393,2.770221,1.1866855557623972,1.5233264,1.2057352594312956,0.91936463,1.2283075045665361,1.4855206,1.2192889636137898,1.4897,1.6129616795981072,2.602173,1.2089539860090093,1.39154,1.4818242664820633,1.7293181,1.2383829308996617,1.8673980000000003,1.55768699800514,2.309839,1.5650448063618803,1.131558,1.2160631338069645,0.74622154,1.147407659327952,0.8145536,1.4365224451962806,1.6649371,1.6220824905631883,1.0837119,1.1807656828940951,1.003443,1.5218512733876504,1.3655705,1.1958886787636045,1.1425129,1.3734987536535008,4.102786
Deoxys,Zen Headbutt,Thunderbolt or Psycho Boost or Hyper Beam,40,,4.03805,,3.1437538000000007,,4.404548,,2.1237702,,1.4441266,,,,2.4739747,,3.5437188,,2.3696144,,2.831904,,3.142542,,3.8196235,,,,,,1.4769615000000003,,2.4163342,,1.968903,,,,1.769832,,,,6.3248377
Mega Pidgeot,Gust or Wing Attack,Brave Bird,40,1.1281036784072163,2.238235,1.4148302912746986,2.2345257000000003,1.121654632195432,2.2312238,1.3789492194707873,1.8521343,1.4089910916525676,1.1227751,1.329702854967338,1.8286003,1.4432435709653841,1.8254035,1.1000680804796203,1.931983,1.409268801088486,1.7087066,1.0071804954306869,1.3296251,1.35316908945627,2.223302,1.1149857304061057,1.7640227,1.133651399432546,0.8485729,1.27126175374256,0.8787942,1.635461222994872,1.0431417000000003,1.1098898335443064,1.3522693,1.0935478220526342,0.8005038,1.4160428809612389,1.2297816000000001,1.1145379482196776,1.0534091,1.2722013115049915,1.3695898,1.130453967651848,3.5492544
Honchkrow,Peck,Sky Attack,50,1.327896253859594,2.4773176,1.6715237105294687,2.473182,1.3241560806440187,2.47419,1.632227791732656,2.0727985,1.6898347819544195,1.2516476,1.6123670986413807,2.0377505,1.8174507978706744,2.0217352,1.3301251604830686,2.1528096,1.7099159879218708,1.9160079,1.317139625389677,1.4926106,1.7516663225133795,2.4086847000000002,1.366351519375191,1.9684259,1.5080802684670895,0.9596701,1.6339432096188853,0.9791361,1.8461581918675292,1.1362677,1.2885688689179957,1.4702128,1.478666828044744,0.91845244,1.9763770409495647,1.351642,1.2893707087449693,1.1380213,1.606905076766361,1.5340053,1.7687068653025575,3.6990592
Gallade,Confusion or Charm,Psychic,30,2.1205678204248013,,1.6532501531286956,,2.125857214390237,,1.6411070176660831,,1.629834778818158,,1.6194599379012882,,1.6626944133016002,,2.307754702894885,,1.6545628131203327,,1.8027667020788616,,1.722983335531108,,2.064757599544457,,2.115453531826975,,1.6518878629520417,,1.714796060883839,,1.893851969215708,,2.3444788310895954,,1.6317272116176742,,1.7907901287661734,,1.6368379838936145,,1.7030886006340988,
Shadow Latios,Zen Headbutt or Dragon Breath,Psychic,30,1.564514714538316,3.4407034,1.2950173325724132,2.3221538000000006,1.5681485912857567,3.4398255,1.2727970215174267,1.8785176,1.2675030362930086,1.112052,1.2717984742262247,1.8892682000000005,1.2961130452456349,1.8661704000000003,1.6616441024399775,3.0774798,1.2763367426032706,1.7249554,1.3841017360184853,2.122838,1.3649143731658262,2.3196680000000005,1.6746799329501219,2.8882477,2.068723321442054,1.4636618,1.310209202104959,0.9546792,1.1635734957821702,1.0423167,1.5147964282829542,2.0533593,1.880398216374475,1.3820224,1.2443436631525437,1.239068,1.556078472395764,1.6439625,1.1747313106967325,1.436359,1.5060936845262394,5.1493273
Tornadus,Air Slash,Hurricane or Grass Knot,50,1.4451561677456506,2.6406796,1.8194755998159133,2.6360161,1.4410293687379587,2.6356466,1.649276953995568,2.0753846,1.7042066454244575,1.2694219,1.7009884605446062,2.1922219,1.8043986350734018,2.164048,1.445578401279849,2.2544825,1.6800117999337936,1.9186898,1.3805680935563138,1.558658,1.7311275477216488,2.6179934000000005,1.3705894247932195,1.9866168,1.3949699528866302,0.9869222,1.6996454234997125,1.0451674,1.8996630630549403,1.1955867,1.4215262685728176,1.6128671,1.4065990301495936,0.91692686,1.7636861917463496,1.420079,1.378739268468471,1.229459,1.739507351164432,1.6215788,1.409025178927703,4.1258144
Scyther,Air Slash or Fury Cutter,Aerial Ace or Bug Buzz,30,1.7956999106556404,,2.2315867214719725,,1.6026867542931502,,2.1749640069242875,,2.090155792156407,,2.213727889627267,,2.2953883676560256,,1.5428580250658832,,2.1234271670290195,,1.7337169379288966,,2.1113151880113104,,1.672326488051461,,1.7094768324909941,,2.187056221362234,,2.2874079904956295,,1.7554505819834296,,1.6575742381562797,,2.2105240862518905,,1.7315159422479742,,2.0118097857406183,,2.081658955705907,
Azelf,Extrasensory or Confusion,Future Sight or Fire Blast,30,2.14802924511801,4.187786,1.6562759101182707,2.8379288000000003,2.1546986818217952,4.167842,1.8041244863927812,2.4538012,1.5496762938197117,1.3701675,1.6175995757056352,2.2989733000000006,1.6603420467732735,2.3035772000000003,2.3024298547101085,3.667986,1.615169146422157,2.1427176,1.8004586631001942,2.715636,1.5933437836652136,2.8558980000000003,2.103925097538349,3.665873,2.446420588398833,1.8199431,1.6571909018802555,1.2203349,1.7777383186492337,1.3665329,2.1057158448414945,2.79654,2.4710260911500983,1.7694098,1.6515556970073286,1.5483682,1.9427947509429357,2.038841,1.6391283559961087,1.8075448,1.8665783838274759,6.8642454
