Attacker,Fast Move,Charged Move,Level,"Marshadow, Tier 5","Marshadow, Tier 5","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Mewtwo X, Mega Legendary Tier"
(Boss weights),,,,50.0,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Zapdos,Thunder Shock,Drill Peck,50,1.6483913671437156,2.1633637,1.4088868162084942,1.5301231,1.4975735872539988,1.2097182,1.2849055059383847,3.7813244
Gengar,Lick or Shadow Claw,Shadow Ball,50,1.3193910294520994,1.7413046,1.6302406111860597,1.4006392,1.302062602885245,1.0144289,1.3949772634335376,3.5978787
Gengar,Lick or Shadow Claw,Shadow Ball,35,1.3806320130865593,1.9325154,1.5212757366901668,1.6169777,1.3622904538445495,1.1598027,1.432864019317201,4.1326613
Zacian (Hero),Snarl or Quick Attack,Play Rough,45,1.6554779782462452,2.1964567,1.3576007445681024,1.6282685,1.5188247661395917,1.2618934,1.2985857868993893,4.0017905
Braviary,Air Slash,Brave Bird,50,1.622333464922085,2.1198225,1.4739388990241002,1.5801399,1.58281125872078,1.2261864,1.4222697182285864,3.9684112
Yveltal,Gust,Hurricane,40,1.574639873956165,2.194498,1.3140202969653005,1.6274747,1.4636724653525837,1.2719699,1.2553857406562428,4.07866
Zapdos,Thunder Shock,Drill Peck,40,1.6483278496950733,2.2912593,1.36627574954864,1.6845839,1.5596686827112243,1.3165039,1.34989278304083,4.217102
Shadow Lugia,Extrasensory,Aeroblast+,45,1.3368017071151028,1.7558832,1.2316626997101936,1.4377016,1.356685074654796,1.1483451,1.2277683543936162,3.6565118
Tornadus,Air Slash,Hurricane,40,,2.3457124,,1.722146,,1.3109055,,4.6323605
Shadow Honchkrow,Peck,Sky Attack,40,1.3338313363263834,1.814863,1.1940702434529675,1.3620157,1.2547150254271062,1.032776,1.379665690293895,3.4057124
Sylveon,Charm,Dazzling Gleam,35,1.8467639461891414,,1.5428543096016831,,1.7089520769892974,,1.444151953488182,
Tornadus (Therian),Gust,Hurricane,40,1.6734316848138806,,1.4306187518095288,,1.5816264188559117,,1.476432431292277,
Ho-Oh,Extrasensory or Hidden Power Flying,Brave Bird,35,1.5668729403765884,2.2323523,1.2976047187992286,1.6719797,1.4607888290517397,1.3049487,1.2519088709173158,4.219218
Shadow Banette,Shadow Claw,Shadow Ball,50,1.3606102547272863,1.7182411,1.609794971563996,1.4022332,1.3251134269183322,1.0133702,1.5843536699053544,3.5355878
Banette,Shadow Claw,Shadow Ball,45,1.6343527395717297,2.1374664,1.60294801610923,1.71284,1.5949081783402976,1.2433716,1.6949969824401987,4.27867
Mega Pidgeot,Gust,Brave Bird,40,1.2618295204963608,1.8286003,1.1098898335443064,1.3522693,1.2595339468189077,1.0534091,1.166581933267718,3.5492544
Primarina,Charm,Moonblast or Psychic,35,1.7717669806847693,,1.587406772436856,,1.623832941976408,,1.506194407385136,
Sylveon,Charm,Dazzling Gleam,30,1.8485199008931004,,1.5430700694425339,,1.7265258878978145,,1.4141242556986973,
Chandelure,Hex,Shadow Ball,35,1.3440972616682656,1.9159285,1.2049849736591394,1.5504718,1.3218105998812142,1.1364007,1.242830470173052,3.9916506
Shadow Honchkrow,Peck,Sky Attack,45,1.32870821351057,1.7255536,1.2001623939450008,1.3037696,1.2443721151251936,0.9898073,1.4195813142780869,3.288316
